en,de,tr,pt,es,title,speaker,duration,tags
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											I'm a scientist,
											and I'm a big fan of Star Trek,
											especially of Mr. Spock.
											Mr. Spock is a scientist as well,
											and at the same time,
he's the first [officer]
											of the starship Enterprise,
											and during the adventures
of the Enterprise crew,
											he and his colleagues are dealing a lot
											with the presence or absence
of Mr. Spock's emotions.
											Mr. Spock is half-human and half-Vulcan,
											and Vulcans are an alien race
											who learn to control
and suppress their feelings
											and to act purely out of logic.
											As Mr. Spock is only half-Vulcan,
											he sees himself constantly in conflict
in between logic and emotions,
											and as he's part of a team,
											the whole crew is struggling with,
											is analyzing,
											and is making fun of this conflict.
											And also the fans of Star Trek
watch with amusement
											this seemingly contradictory behavior.
											They find it quite fascinating.
											And the matter is a golden thread
											through the whole Star Trek series
and movies from the '60s until today.
									","
											Ich bin Wissenschaftlerin,
											und ein großer Star-Treck-Fan,
											besonders von Mr. Spock.
											Spock ist auch Wissenschaftler
											und gleichzeitig Erster Offizier
											des Raumschiffs Enterprise.
											Und im Verlauf der Abenteuer
der Enterprise-Besatzung
											müssen er und seine Kollegen
											oft mit dem (Nicht-)Vorhandensein
von Mr. Spocks Emotionen umgehen.
											Mr. Spock ist halb Mensch
und halb Vulkanier.
											Vulkanier sind eine ausserirdische Rasse,
											die ihre Gefühle zu kontrollieren
und unterdrücken lernen
											und rein logisch zu handeln.
											Da Mr. Spock nur halb Vulkanier ist,
											befindet er sich ständig in einem Konflikt
zwischen Logik und Emotionen,
											und da er Teil eines Team ist,
											kämpft die gesamte Besatzung damit,
											analysiert und macht sich
über diesen Konflikt lustig.
											Auch die Star-Treck-Fans
betrachten belustigt
											dieses scheinbar
widersprüchliche Verhalten.
											Sie finden es ziemlich faszinierend.
											Das Thema läuft wie ein roter Faden
											durch alle Star-Treck-Staffeln
und -Filme der 60er bis heute.
									","
											Ben bilim insanıyım,
											ayrıca büyük bir Star Trek,
											özellikle Mr. Spock hayranıyım.
											Mr. Spock da bilim insanı,
											ayrıca Enterprise uzay gemisinin
											ilk kumandanı,
											Enterprise ekibinin maceraları boyunca
											iş arkadaşlarıyla birlikte
											Mr. Spock'ın duygularının varlığı
ve yokluğuyla uğraşıyorlar.
											Mr. Spock yarı insan yarı Vulkan,
											Vulkanlar duygularını kontrol etmeyi
											ve bastırmayı öğrenen,
böylece tamamen mantıklı davranan
											bir uzaylı ırkı.
											Mr. Spock sadece yarı Vulkan olduğu için
											kendini sürekli bir duygu 
ve mantık karmaşası içinde buluyor,
											üstelik bir ekibin parçası,
											tüm ekip mücadele veriyor,
											analiz yapıyor
											ve bu çelişkiyle dalga geçiyorlar.
											Star Trek hayranları da
bu çelişkili davranışı
											zevkle izliyorlar.
											İzleyiciler bunu çok ilginç buluyorlar.
											60'lı yıllardan günümüze kadar
											tüm Star Trek yapımlarında
bu konu en dikkat çekici nokta oldu.
									","
											Sou cientista
											e uma grande fã de Star Trek,
											em especial do Sr. Spock.
											O Sr. Spock também é cientista,
											e ao mesmo tempo
é o primeiro oficial
											da nave estelar Enterprise
											e, durante as aventuras
da tripulação da Enterprise,
											ele e os seus companheiros têm de lidar
											com a presença ou ausência
das emoções do Sr. Spock.
											O Sr. Spock é metade humano
e metade Vulcano,
											e os Vulcanos são uma raça extraterrestre
											que aprendem a controlar e a reprimir
os seus sentimentos
											e a atuar puramente através da lógica.
											Como o Sr. Spock é apenas metade Vulcano,
											ele vê-se num conflito constante
entre a lógica e as emoções.
											E, como faz parte de uma equipa,
											toda a tripulação tem dificuldades
com este conflito,
											analisa-o,
											e faz troça deste conflito.
											Os fãs de Star Trek
também assistem divertidos
											a este comportamento 
aparentemente contraditório.
											Acham-no fascinante.
											O assunto é um fio condutor
											durante toda a série e filmes
do Star Trek desde os anos 60 até hoje.
									","
											Soy científica,
											y una gran fan de Star Trek,
											especialmente del Sr. Spock.
											El Sr. Spock es un científico también,
											además de ser el primer oficial
											de la nave espacial Enterprise,
											y durante las aventuras de
la tripulación del Enterprise,
											él y sus compañeros
lidiaban mucho
											con las emociones del Sr. Spock, 
estén ausentes o presentes.
											El Sr. Spock es medio humano 
y medio Vulcano,
											y los Vulcanos son una raza alienígena
											que aprenden a controlar
y reprimir sus sentimientos
											y a actuar puramente fuera de lógica.
											Como el Sr. Spock es solo medio Vulcano,
											él se ve constantemente en conflicto
entre la lógica y las emociones;
											y como es parte de un equipo,
											toda la tripulación está luchando,
											está analizando
											y burlándose de este conflicto.
											Los fanáticos de Star Trek
también se divierten
											con este comportamiento 
aparentemente contradictorio.
											Lo encuentran bastante fascinante.
											Y este tema es un hilo conductor
											en todas las series y películas
de Star Trek desde los años 60 hasta hoy.
									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											And that's actually
what I want to talk about today:
											the role of emotions in science.
											We tend to think that science
is all about facts and logic
											and human feelings are often neglected
or considered an obstacle to get rid of.
											I would like to suggest that emotions
are as important in science
											as they are in any other part
of our lives.
											Science is made by humans,
											and as human beings,
											even if we try hard,
we cannot get rid of our emotions.
											So instead of fighting them,
											I believe that even in science,
we should make use of our feelings,
											because for breakthroughs and innovation,
											they are equally important
as facts and logic.
									","
											Und darüber möchte ich heute reden:
											die Rolle von Emotionen
in der Wissenschaft.
											Wir meinen, dass Wissenschaft
nur mit Fakten und Logik zu tun hat,
											menschliche Gefühle werden vernachlässigt
oder als lästiges Hindernis betrachtet.
											Ich möchte vorschlagen,
dass Gefühle in der Wissenschaft
											so wichtig sind wie in jedem
anderen Bereich unseres Lebens.
											Wissenschaft wird von Menschen gemacht,
											und als menschliche Wesen können wir,
											auch wenn wir uns bemühen,
unsere Gefühle nicht loswerden.
											Anstatt sie zu bekämpfen,
											sollten wir auch in der Wissenschaft
unsere Gefühle nutzen.
											Denn für Durchbrüche und Innovationen
											sind sie genauso wichtig
wie Fakten und Logik.
									","
											Benim bugün konuşmak istediğim konu da bu:
											Bilimde duyguların rolü.
											Bilimin gerçekler ve mantıktan ibaret
olduğunu, hislerin bilimde çoğu zaman
											önemsenmediğini veya aşılması gereken bir 
engel olarak görüldüğünü düşünürüz.
											Duyguların bilimde 
en az hayatımızda olduğu kadar
											önemli olduğunu söylemek istiyorum.
											Bilim insanlar tarafından yapılır,
											insan olarak
											ne kadar çalışsak da
duygularımızdan kurtulamayız.
											Bu yüzden onlarla savaşmak yerine
											bilim için bile olsa
duygularımızdan fayda çıkarmalıyız,
											çünkü büyük atılım ve yenilikler
											gerçekler ve mantıkla eşit öneme sahip.
									","
											É exatamente sobre isso
que eu quero falar hoje:
											o papel das emoções na ciência.
											Temos a tendência de pensar
que a ciência só trata de factos e lógica
											e que os sentimentos ou são negligenciados
ou considerados um obstáculo a remover.
											Gostava de sugerir que as emoções
são tão importantes na ciência
											como noutra parte qualquer da nossa vida.
											A ciência é feita por seres humanos,
											e, como seres humanos,
											por mais que queiramos,
não nos conseguimos livrar das emoções.
											Então, em vez de lutarmos contra elas,
											acredito que, mesmo na ciência,
deveríamos usar os nossos sentimentos,
											porque, para haver descobertas e inovação,
											eles são tão importantes
como os factos e a lógica.
									","
											Y de eso es de lo que quiero hablar hoy:
											el papel de las emociones en la ciencia.
											Tendemos a pensar que la ciencia
trata sobre los hechos y la lógica
											y que los sentimientos humanos 
son rechazados
											o considerados un obstáculo 
del que hay que deshacerse.
											Me gustaría sugerir que las emociones
son tan importantes en la ciencia,
											como lo son en cualquier otro campo
de nuestras vidas.

											La ciencia está hecha por humanos,
											y como seres humanos,
											aunque nos esforcemos,
											no podemos librarnos 
de nuestras emociones.
											Así que, en lugar de luchar contra ellas,
											creo que incluso en la ciencia,
											deberíamos hacer uso 
de nuestros sentimientos,
											porque para los avances y la innovación,
											son tan importantes
como los hechos y la lógica.

									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											I will come back to Mr. Spock,
											but first let me share my experience
on the role of emotions in science,
											and one story in particular
kept me thinking about it
											for the last couple of years.
											I'm working in research
on organic light-emitting diodes,
											so-called OLEDs.
											This is how you might know them,
											as new generation of displays.
											OLEDs are more and more used
in smartphone displays and TV screens.
											They make them appear bright,
truly colorful and bendable.
											This is how they look like
											in the research lab
of my physicist colleagues.
											And this is what I, as a chemist,
											have in mind when I think about them.
											I've loved it ever since
I started to work on it.
									","
											Ich komme noch auf Mr. Spock zurück.
											Zuerst möchte ich meine Erfahrung 
mit der Rolle von Gefühlen
											und Wissenschaft teilen.
											Besonders eine Geschichte
brachte mich dazu,
											in den letzten Jahren
darüber nachzudenken.
											Ich arbeite in der Forschung
zu organischen Leuchtdioden,
											sogenannte OLEDs.
											Sie kennen sie vielleicht so,
											als neue Generation von Bildschirmen.
											OLEDs werden immer mehr für
Smartphone- und TV-Displays genutzt.
											Sie lassen sie hell, farbintensiv
und biegbar erscheinen.
											So sehen sie im Forschungslabor
											meiner Physiker-Kollgen aus.
											Und so sehe ich, als Chemikerin, sie,
											wenn ich über sie nachdenke.
											Ich liebte sie, seit ich
mit der Arbeit daran begann.
									","
											Mr. Spock'a geri döneceğim
											ama bilimde duygunun rolüyle ilgili
tecrübelerimi paylaşmak istiyorum,
											özellikle son birkaç yıldır
sürekli düşündüğüm
											bir hikâye var.
											Organik ışık emen diodlar
üzerinde araştırma alanında çalışıyorum,
											sözde OLED'ler yani.
											Onları bu şekilde tanıyorsunuz,
											yeni nesil ekranlar olarak.
											OLED'ler akıllı telefon ve TV ekranlarında
giderek daha çok kullanılıyor.
											Parlak, çok renkli ve bükülebilir
olmasını sağlıyorlar.
											Fizikçi iş arkadaşlarımın
											araştırma laboratuvarında
buna benziyorlar.
											Kimyager olarak onları düşündüğümde
											aklımda beliren görüntü bu.
											Üzerinde çalışmaya başladığımdan beri 
bunu çok sevdim.
									","
											Hei de voltar ao Sr. Spock,
											mas primeiro,
											vou partilhar a minha experiência
sobre o papel das emoções na ciência,
											e há uma história em particular
que me tem feito pensar nisso
											nos últimos anos.
											Estou a trabalhar na investigação
de díodos orgânicos emissores de luz,
											a que chamamos OLED.
											É com este nome que talvez os conheçam,
											como uma nova geração de ecrãs.
											Os OLED são cada vez mais usados
em ecrãs de smartphones e televisões.
											Dão-lhes um aspeto brilhante,
realmente colorido e flexível.
											É este o aspeto deles
											no laboratório de investigação
dos meus colegas físicos.
											E isto é o que eu, enquanto química,
tenho em mente quando penso neles.
											Eu adorei isto desde que
comecei a trabalhar neles.
									","
											Volveré con el Sr. Spock,
											pero primero, 
permítanme compartir mi experiencia
											con el papel de las emociones 
en la ciencia,
											y en particular, una historia 
que me mantuvo pensando en esto
											el último par de años.
											Estoy trabajando en una investigación
sobre diodos orgánicos de emisión de luz
											los llamados OLED.
											Puede que los conozcan como
											la nueva generación de pantallas.
											Los OLED son cada vez más utilizados
en pantallas de smartphones y televisión.
											Las hacen parecer brillantes,
verdaderamente coloridas y flexibles.
											Así es como lucen
											en el laboratorio de investigación
de mis colegas físicos.
											Y eso es lo que yo, como química,
											tengo en mente cuando pienso en ellos.
											Los he amado desde que empecé 
a trabajar en esto.
									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											So I didn't really like the news
											when the company I had been working for —
											that was my previous employer —
											announced that they wanted
to stop OLED research.
											At the time, the management
had reasons for this decision,
											and the company handled it
very well, actually.
											Nobody lost their jobs,
											and everybody was rewarded
for their performed work.
											What I want to show you today
											is what happened
with my scientist colleagues and me
											during the time in between
the announcement
											and the last working day on our project.
											Consider it a small case study
on emotions in science.
									","
											Daher freuten mich
die Neuigkeiten nicht sehr,
											als die Firma, für die ich arbeitete, —
											mein vorheriger Arbeitgeber —
											ankündigte, sie wollten
die OLED-Forschung einstellen.
											Das Management hatte damals
Gründe für diese Entscheidung,
											und die Firma ging wirklich gut damit um.
											Keiner verlor seinen Job
											und jeder wurde für
die geleistete Arbeit honoriert.
											Was ich Ihnen heute zeigen möchte,
											ist das, was mit meinen
Forschungskollegen und mir
											während der Zeit der Ankündigung
											und dem letzten Arbeitstag
an unserem Projekt passierte.
											Betrachten Sie es als kleines Fallbeispiel
zu Emtionen in der Wissenschaft.
									","
											Bu yüzden de
											daha önce çalıştığım şirketin
											OLED araştırmasına son vereceğini
											ilan ettiği haberleri hiç hoşuma gitmedi.
											O zamanlar yönetimin
bu karara ilişkin sebepleri vardı
											ve şirket aslında konuyu 
çok iyi idare etti.
											Hiç kimse işini kaybetmedi
											ve herkes çalıştığı işin karşılığını aldı.
											Bugün size göstermek istediğim,
											bilim insanı iş arkadaşlarımla birlikte
											şirketin bu kararı alması
ve projedeki son günümüz arasında
											geçen zaman diliminde
neler olup bittiği.
											Bilimde duyguların yerine dair
küçük bir örnek çalışma olarak düşünün.
									","
											Por isso não gostei das notícias
											quando a empresa
com quem tinha estado a trabalhar
											— a minha antiga entidade empregadora —
											anunciou que queriam
terminar a investigação com os OLED.
											Na altura, a administração
tinha razões para tomar esta decisão
											e, na verdade, a empresa
lidou muito bem com a questão.
											Ninguém perdeu o seu emprego,
											e todas as pessoas foram recompensadas
pelo trabalho realizado.
											Aquilo que vos quero mostrar hoje
											foi o que aconteceu
com os meus colegas cientistas e eu
											durante o tempo desde o comunicado
											até ao último dia de trabalho
no nosso projeto.
											Considerem-no um pequeno caso de estudo
sobre emoções na ciência.
									","
											Así que realmente no me gustó la noticia
											cuando la empresa 
para la que había estado trabajando,
											que fue mi empresa anterior,
											anunció que querían
detener la investigación OLED.
											En ese momento, la administración
tenía razones para esta decisión,

											y la compañía lo manejó
muy bien, en realidad.

											Nadie perdió su trabajo,
											y todos fueron recompensados
por el trabajo realizado.

											Lo que quiero mostrarles hoy
											es lo que nos pasó
a mis colegas científicos y a mí
											desde que lo anunciaron

											hasta el último día hábil 
en nuestro proyecto.
											Considérenlo un pequeño caso de estudio
sobre las emociones en la ciencia.
									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											In 2015, our research team
had grown to more than 80 people,
											and even after the announcement
that our project was discontinued,
											we could not stop working
from one day to another.
											It took several months
to bring all activities to a sound end
											and to find new jobs
within the company for everyone.
											Here's what happened.
											Even though we knew
that we were working on a project
											that was to be stopped,
											during those months
our output hit the roof.
											We were actually working
on two different OLED projects:
											first, the development of materials
for blue-shining OLEDs,
											which had started in 2001;
											and second, materials for green OLEDs,
which had started in 2014.
											And the results I show you here
concern the green OLED project.
									","
											2015 war unser Forscherteam
auf über 80 Personen angewachsen,
											und nach der Bekanntgabe, dass
unser Projekt eingestellt werden sollte,
											konnten wir nicht von einem
auf den anderen Tag aufhören.
											Es dauerte mehrere Monate, alle 
Tätigkeiten zu einem guten Ende zu bringen
											und für jeden neue Jobs
in der Firma zu finden.
											Folgendes passierte also.
											Obwohl wir wussten, dass wir
an einem Projekt arbeiteten,
											das beendet werden sollte,
											ging unser Output durch die Decke.
											Tatsächlich arbeiteten wir
an zwei verschiedenen OLED-Projekten:
											Erstens an der Materialentwicklung
für blau leuchtende OLEDs,
											die 2001 begonnen hatte;
											und zweitens an Material für grüne OLEDs,
womit wir 2014 begonnen hatten.
											Die Ergbnisse, die ich Ihnen zeige,
betreffen das grüne OLED-Projekt.
									","
											2015'te araştırma ekibimiz
80'i aşan bir grup olarak büyüdü
											ve projemize devam edilmeyeceği
açıklandıktan sonra bile
											günbegün çalışmaktan 
kendimizi alıkoyamadık.
											Tüm faaliyetlere usulüne göre son vermek
											ve herkese şirket içinde 
yeni işler bulmak aylar sürdü.
											Olay şöyle gelişti.
											Son verilecek bir proje üzerinde
											çalıştığımızı bilsek de
											o aylar süresince
verimimiz tavan yaptı.
											İki farklı OLED projesi
üzerinde çalışıyorduk:
											mavi ışıklı OLED'ler için
materyallerin geliştirilmesi,
											buna 2001'de başlanmıştı;
											ikincisi ise 2014'te başladığımız
yeşil OLED'lerin materyalleri.
											Size gösterdiğim sonuçlar
yeşil OLED projesiyle ilgili.
									","
											Em 2015, a nossa equipa de investigação
tinha aumentado para mais de 80 pessoas,
											e, mesmo depois do comunicado
de que o nosso projeto seria descontinuado,
											não podíamos deixar de trabalhar
de um dia para o outro.
											Levou vários meses até conseguirmos
terminar todas as atividades corretamente
											e encontrar novos trabalhos
dentro da empresa para todos.
											Vejam o que se passou.
											Apesar de sabermos
que estávamos a trabalhar num projeto
											que iria ser suspenso,
											durante esses meses a nossa produtividade
atingiu o ponto mais alto.
											Estávamos a trabalhar
em dois projetos OLED diferentes:
											o primeiro, o desenvolvimento
de materiais para OLED azuis,
											que começou em 2001;
											e segundo: materiais para OLED verdes,
que tinha começado em 2014.
											E aqui estão os resultados
do projeto dos OLED verdes.
									","
											En 2015, nuestro equipo de investigación
había crecido a más de 80 personas,
											e incluso después del anuncio
de que nuestro proyecto finalizaba,
											no pudimos dejar de trabajar
de un día para otro.

											Nos llevó varios meses
llevar todas las actividades
											a un final sólido
											y encontrar nuevos trabajos
dentro de la compañía para todos.

											Esto es lo que sucedió.
											Aunque sabíamos
que trabajamos en un proyecto
											que iba a detenerse,
											durante esos meses, 
nuestra producción se incrementó.
											Estábamos trabajando realmente
en dos proyectos OLED diferentes:

											primero, el desarrollo de materiales
para OLEDs azules brillantes,

											que había comenzado en 2001;
											y segundo, materiales para OLEDs verdes,
que había comenzado en 2014.
											Y los resultados que les muestro aquí
conciernen al proyecto OLED verde.
									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
