es,fr,pt,de,title,speaker,duration,tags
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											La primera vez
											que sentí miedo
											tenía cuarenta y un años.
									","
											La première fois
											que j'ai eu peur,
											j'avais 41 ans.
									","
											A primeira vez que senti medo
											tinha 41 anos.
									","
											Als ich das erste Mal
											Angst hatte,
											war ich 41 Jahre alt.
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											Siempre me han dicho que yo era valiente.
											De pequeña me subía al árbol más alto
											y me acercaba a cualquier
animal sin miedo.
											Me gustaban los desafíos.
											Mi padre decía:
											""El buen acero aguanta
											todas las temperaturas"".
									","
											On m'avait toujours dit 
que j'étais courageuse.
											Petite,
je grimpais à l'arbre le plus grand
											et je m'approchais 
de n'importe quel animal.
											J'aimais les défis.
											Mon père disait

											« Le bon fer résiste à
											toutes les températures. »
									","
											Sempre me disseram que eu era corajosa.
											Em pequena, subia à árvore mais alta
											e aproximava-me de qualquer animal, sem medo.
											Gostava de desafios.
											O meu pai dizia:
											""O bom aço aguenta qualquer temperatura"".
									","
											Mir wurde immer gesagt, ich sei mutig.
											Als kleines Mädchen
kletterte ich auf den höchsten Baum
											und näherte mich jedem Tier ohne Angst.
											Ich mochte Herusforderungen.
											Mein Vater sagte:
											""Guter Stahl hält alle Temperaturen aus"".
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											Y cuando yo ingresé
a la política en Colombia,
											yo pensé que yo aguantaba
todas las temperaturas.
											Yo quería acabar
con la corrupción en el país;
											quería cortar los vínculos
											entre la clase política y el narcotráfico.
											Y la primera vez que salí elegida
											fue porque denuncié, con nombre propio,
											a políticos corruptos
											e intocables.
											También denuncié al presidente
de la república
											por sus nexos con los carteles.
											Ahí comenzaron las amenazas.
											Tuve que sacar a mis hijos muy pequeños
											del país una mañana,
											escondidos en el carro blindado
del embajador de Francia
											hasta llevarlos al avión.
											Y días después,
											fui víctima de un atentado
pero salí ilesa.
									","
											Et quand je suis entrée en politique
en Colombie,
											je croyais résister 
à toutes les températures.
											Je voulais éliminer 
la corruption du pays,
											je voulais couper les liens
											entre la classe politique
et le trafic de drogue.
											Et la première fois qu'on a voté pour moi,
											c'est justement parce que j'ai dénoncé,
en mon nom,
											des politiciens corrompus

											et intouchables.
											J'ai aussi dénoncé
le Président de la République
											à cause de ses liens avec les cartels.
											C'est là 
qu'ont commencé les menaces.
											Mes enfants ont dû quitter le pays
											très jeunes, un matin,
											cachés dans la voiture blindée
de l'ambassadeur de France
											jusqu'à l'avion.
											Quelques jours plus tard,
											j'ai été victime d'un attentat
mais j'en suis sortie indemne.
									","
											Quando entrei na política,
na Colômbia,
											pensava que aguentava
qualquer temperatura.
											Eu queria acabar
com a corrupção no país;
											queria cortar os vínculos
											entre a classe política e o narcotráfico.
											A primeira vez que fui eleita
											foi porque denunciei, abertamente,
											políticos corruptos e intocáveis.
											Também denunciei o presidente da república
											pelas suas ligações com os cartéis.
											Aí começaram as ameaças.
											Uma manhã. tive que tirar do país,
os meus filhos muito pequenos
											escondidos no carro blindado
do embaixador de França,
											até chegarem ao avião.
											Dias depois,
											fui vítima de um atentado
mas saí ilesa.
									","
											Als ich in die Politik
in Kolumbien eintrat,
											dachte ich, ich würd alle
Temperaturen aushalten.
											Ich wollte der Korruption
im Land ein Ende setzen;
											ich wollte die Verbindungen
											zwischen Politikern
und Drogenhandel kappen.
											Das erste Mal wurde ich gewählt,
											weil ich unter eigenem Namen
											unantastbare, korrupte
Politiker anzeigte.
											Ich habe auch den Präsidenten der Republik
											für seine Verbindungen
zu den Kartellen angezeigt.
											Dann begannen die Drohungen.
											Ich musste meine noch kleinen Kinder
											eines Morgens aus dem Land schaffen,
											versteckt im Panzerwagen
des französischen Botschafters,
											der sie zum Flugzeug brachte.
											Nur Tage später
											wurde ich Opfer eines Attentats,
blieb jedoch unverletzt.
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											Al año siguiente,
											los colombianos me eligieron
con el mayor número de votos.
											Y yo sentía que la gente
me celebraba por aguerrida.
											Y yo también pensaba que era valiente.
											Pero no lo era.
											Simplemente nunca había experimentado
											lo que era el verdadero miedo.
									","
											L'année suivante,
											le peuple colombien m'a choisie
avec le plus grand nombre de votes.
											Et je sentais que les gens
me considéraient comme une combattante.
											Et moi, je pensais que j'étais courageuse.
											Mais je ne l'étais pas.
											Simplement, je n'avais jamais ressenti
											ce qu'était vraiment la peur.
									","
											No ano seguinte,
											os colombianos elegeram-me
com o maior número de votos.
											Eu sentia que as pessoas
gostavam de mim por eu ser aguerrida.
											E também pensava que era corajosa.
											Mas não era.
											Simplesmente, nunca tinha experimentado
											o que era o verdadeiro medo.
									","
											Im Jahr darauf
											wurde ich von den Kolumbianern
mit der höchsten Stimmanzahl gewählt.
											Ich spürte, dass die Menschen
mich für meinen Mut feierten.
											Ich dachte ebenfalls, ich mutig sei.
											Aber ich war es nicht.
											Ich hatte bloß noch nie erlebt,
											was wirkliche Angst ist.
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											Esto cambió
											el 23 de febrero del 2002.
											Yo en ese momento era candidata
a la presidencia de Colombia
											y estaba alentando mi agenda de campaña
											cuando fui detenida
por un grupo de hombres armados
											y uniformados
											con prendas militares.
											Entonces miré sus botas; eran de caucho.
											Y yo sabía
											que el ejército de Colombia
usaba botas de cuero.
											Yo sabía que ellos eran guerrilleros
											de las FARC.
									","
											Cela a changé
											le 23 février 2002.
											A ce moment-là, j'étais candidate
à la présidence de la Colombie
											et j'étais en train d'établir
mon agenda de campagne
											lorsque j'ai été arrêtée
par un groupe d'hommes armés
											en uniformes,
											en uniformes militaires.
											J'ai regardé leurs bottes,
elles étaient en caoutchouc.
											Je savais
											que dans l'armée colombienne,
ils portaient des bottes en cuir.
											Je savais qu'ils étaient des guérilleros
											des FARC.
									","
											Isso mudou
											a 23 de fevereiro de 2002.
											Nesse momento, eu era candidata
à presidência da Colômbia
											e estava a promover
o meu programa de campanha
											quando fui detida
por um grupo de homens armados
											e fardados com uniformes militares.
											Olhei para as botas; eram de borracha.
											Eu sabia que o exército da Colômbia
usava botas de couro.
											Eu sabia que eles eram
guerrilheiros das FARC.
									","
											Das änderte sich
											am 23 Februar 2002.
											Zu diesem Zeitpunkt war ich
Präsidentschaftskandidatin für Kolumbien
											und ich war dabei, meine Agenda
für die Kampagne voranzutreiben,
											als ich von einer Gruppe
bewaffneter Männer
											in Militäruniformen
											festgenommen wurde.
											Ich besah mir ihre Stiefel;
sie waren aus Gummi.
											Und ich wusste,
											dass die kolumbianische Armee
Lederstiefel verwendet.
											Ich wusste, dass es Guerillakämpfer
											der FARC waren.
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
