en,pt,fr,tr,title,speaker,duration,tags
"
","
","
","
",Why should you read Flannery O'Connor?,Iseult Gillespie,3:56,"TED-Ed,animation,book,books,literature,writing,novel,history"
"
											A garrulous grandmother and a roaming 
bandit face off on a dirt road.
											A Bible salesman lures a one-legged 
philosopher into a barn.
											A traveling handyman teaches a deaf woman 
her first word on an old plantation.
									","
											Uma avó tagarela e um bandido vagabundo
encontram-se numa estrada de terra.
											Um vendedor de Bíblias atrai
um filósofo perneta para um celeiro.
											Um faz-tudo viajante ensina a uma surda
a primeira palavra numa antiga plantação.
									","
											Une grand-mère bavarde et un bandit errant
s'affrontent sur un chemin de terre.
											Un vendeur de Bible attire
un philosophe unijambiste dans une grange.
											Un bricoleur nomade apprend à une sourde
son premier mot dans une plantation.
									","
											Çenesi düşük bir büyükanne ve gezen
bir haydut bir toprak yolda karşılaşıyor.
											Bir İncil satıcısı, tek bacaklı
bir filozofu bir ahıra çekiyor.
											Elinden her iş gelen bir gezgin
											işitme engelli bir kadına
ilk kelimesini öğretiyor.
									",Why should you read Flannery O'Connor?,Iseult Gillespie,3:56,"TED-Ed,animation,book,books,literature,writing,novel,history"
"
","
","
","
",Why should you read Flannery O'Connor?,Iseult Gillespie,3:56,"TED-Ed,animation,book,books,literature,writing,novel,history"
"
											From her farm in rural Georgia,
											surrounded by a flock of pet birds,
											Flannery O’Connor scribbled tales 
of outcasts,
											intruders and misfits staged in 
the world she knew best:
											the American South.
											She published two novels,
											but is perhaps best known 
for her short stories,
											which explored small-town life 
with stinging language, offbeat humor,
											and delightfully unsavory scenarios.
									","
											Da sua quinta na Geórgia rural,
											rodeada por um bando
de aves de estimação,
											Flannery O’Connor escreveu
contos de marginais,
											de intrusos e inadaptados
inseridos no mundo que melhor conhece:
											o Sul dos EUA.
											Publicou dois romances,
											mas talvez seja mais conhecida
pelos seus contos
											que exploram a vida duma pequena cidade
											com uma linguagem picante,
um humor original
											e cenários deliciosamente desagradáveis.
									","
											Depuis sa ferme en Géorgie,
											entourée d'oiseaux domestiques,
											Flannery O'Connor griffonnait
des histoires de marginaux,
											d'intrus et d'inadaptés dans le décor
qu'elle connaissait le mieux :
											le Sud américain.
											Elle a publié deux romans,
											mais est surtout connue pour ses nouvelles
											qui décrivent la vie provinciale 
avec un langage cru, un humour original
											et des scénarios délicieusement douteux.
									","
											Flannery O'Connor, kuş sürüsüyle çevrili
											kırsal Georgia'daki çiftliğinden
											en iyi tanıdığı dünyada sahnelenen,
											kimsesizlerin, işgalcilerin
ve uyumsuzların hikayelerini yazıyordu:
											Amerika'nın güneyi.
											İki roman yayınladı,
											fakat belki de en çok,
iğneleyici dil, alışılmadık mizah
											ve tatlı tatsız senaryolarıyla
kasaba yaşamını keşfettiği
											kısa hikayeleriyle tanınıyor.
									",Why should you read Flannery O'Connor?,Iseult Gillespie,3:56,"TED-Ed,animation,book,books,literature,writing,novel,history"
"
","
","
","
",Why should you read Flannery O'Connor?,Iseult Gillespie,3:56,"TED-Ed,animation,book,books,literature,writing,novel,history"
"
											In her spare time O’Connor drew cartoons,
											and her writing is also 
brimming with caricature.
											In her stories, a mother has a face 
“as broad and innocent as a cabbage,”
											a man has as much drive as a “floor mop,”
											and one woman’s body 
is shaped like “a funeral urn.”
									","
											Nas horas livres, O'Connor
desenhava caricaturas
											e a sua escrita também
está repleta de caricaturas.
											Nas suas histórias, uma mãe tem o rosto
""tão largo e inocente como um repolho"",
											um homem tem tanta energia
como uma ""esfregona""
											e o corpo duma mulher
tem a forma de uma ""urna funerária"".
									","
											Durant son temps libre,
O'Connor dessinait,
											et ses écrits regorgent de caricatures.
											Dans ses récits, une mère a le visage
« aussi large et innocent qu'un chou »,
											un homme est vif comme une « serpillère »,
											et le corps d'une autre femme
à la forme d'une « urne funéraire ».
									","
											O'Connor boş zamanlarında 
karikatür çizerdi
											ve ayrıca yazıları da
karikatürlerle dolup taşar.
											Hikayelerinde bir annenin ""bir kabak
kadar engin ve masum"" bir yüzü var,
											bir adamın ""yer paspası"" kadar gücü var
											ve bir kadının vücudunun şekli
""bir ölü külü vazosu"" gibi.
									",Why should you read Flannery O'Connor?,Iseult Gillespie,3:56,"TED-Ed,animation,book,books,literature,writing,novel,history"
"
","
","
","
",Why should you read Flannery O'Connor?,Iseult Gillespie,3:56,"TED-Ed,animation,book,books,literature,writing,novel,history"
"
											The names of her characters 
are equally sly.
											Take the story “The Life You 
Save May be Your Own,”
											where the one-handed drifter Tom Shiftlet 
wanders into the lives
											of an old woman named Lucynell Crater
											and her deaf and mute daughter.
									","
											Os nomes das suas personagens
são igualmente maliciosas.
											Vejam a história ""The Life You
Save May be Your Own"".
											em que Tom Shiftlet, um vagabundo
maneta se introduz na vida
											de uma velhota chamada Lucynell Crater
											e da sua filha surda-muda.
									","
											Les noms de ses personnages
sont tout aussi malins.
											Prenez l'histoire « La vie que vous 
sauvez peut être la vôtre »,
											où Tom Shiftlet, le vagabond manchot,
fait irruption dans la vie
											d'une vieille dame nommée Lucynell Crater
											et de sa fille sourde-muette.
									","
											Karakterlerinin isimleri de
eşit derecede muzipçe.
											""Kurtardığın Hayat Seninki Olabilir""
hikayesini ele alalım,
											tek elli serseri Tom Shiftlet,
Lucynell Crater adında
											bir yaşlı kadın ve sağır-dilsiz kızının
											hayatlarına dalıyor.
									",Why should you read Flannery O'Connor?,Iseult Gillespie,3:56,"TED-Ed,animation,book,books,literature,writing,novel,history"
"
","
","
","
",Why should you read Flannery O'Connor?,Iseult Gillespie,3:56,"TED-Ed,animation,book,books,literature,writing,novel,history"
"
											Though Mrs. Crater is self-assured,
											her isolated home is falling apart.
											At first, we may be suspicious 
of Shiftlet’s motives
											when he offers to help around the house,
											but O’Connor soon reveals 
the old woman to be
											just as scheming as her unexpected guest–
											and rattles the reader’s presumptions 
about who has the upper hand.
									","
											Embora a Sra. Crater seja
senhora do seu nariz,
											a sua casa isolada
está a cair aos bocados.
											A princípio, podemos desconfiar
dos motivos de Shiftlet
											quando se oferece para reparar a casa,
											mas O'Connor depressa revela
que a velhota
											é tão cheia de segundas intenções
como o seu hóspede inesperado
											e confunde as suposições do leitor
sobre quem é que tem vantagem.
									","
											Bien que Madame Crater soit sûre d'elle,
											sa maison isolée tombe en morceaux.
											Au départ, on peut douter
des motivations de Shiftlet
											quand il offre son aide pour la maison,
											mais O'Connor révèle rapidement
que la vieille dame
											est aussi comploteuse 
que son invité inattendu
											et ébranle les présomptions du lecteur
sur qui a l'avantage.
									","
											Bayan Crater kendine güvenen birisi,
											ıssız evi de yıkılıyor.
											İlk başta Shiftlet evdeki
işlere yardım etmeyi önerdiğinde,
											güdülerinden şüphelenebiliriz,
											fakat O'Connor çok geçmeden
yaşlı kadının da
											beklenmedik misafiri kadar entrikacı
olduğunu gösteriyor —
											ve okuyucunun, kimin galip geleceği
konusundaki olasılıklarını bozuyor.
									",Why should you read Flannery O'Connor?,Iseult Gillespie,3:56,"TED-Ed,animation,book,books,literature,writing,novel,history"
"
","
","
","
",Why should you read Flannery O'Connor?,Iseult Gillespie,3:56,"TED-Ed,animation,book,books,literature,writing,novel,history"
"
											For O’Connor, no subject was off limits.
											Though she was a devout Catholic,
											she wasn’t afraid to explore 
the possibility
											of pious thought and unpious behavior
											co-existing in the same person.
											In her novel The Violent Bear it Away,
											the main character grapples with the 
choice to become a man of God –
											but also sets fires and commits murder.
											The book opens with the reluctant prophet
in a particularly compromising position:
											“Francis Marion Tarwater’s uncle had been 
dead for only half a day
											when the boy got too drunk 
to finish digging his grave.”
											This leaves a passerby to “drag the body 
from the breakfast table
											where it was still sitting and bury it […]
											with enough dirt on top to keep 
the dogs from digging it up.”
									","
											Para O'Connor, nenhum tema
tinha limites.
											Embora fosse uma católica devota,
											não tinha receio de explorar
a possibilidade
											de um pensamento piedoso
e um comportamento pouco piedoso
											coexistirem na mesma pessoa.
											Na sua novela ""The Violent Bear it Away""
											a principal personagem enfrenta
a vocação de ser um homem de Deus
											mas também é um incendiário
e um assassino.
											O livro começa com o profeta relutante
numa posição muito complicada:
											""O tio de Francis Marion Tarwater
tinha morrido apenas há meio dia
											""quando o rapaz ficou demasiado bêbado
para acabar de cavar a sepultura"".
											É um tipo que passa que ""arrasta
o corpo da mesa do pequeno almoço
											""onde ele ainda estava sentado
e o enterra [...]
											""com terra suficiente por cima
para evitar que os cães o desenterrem"".
									","
											O'Connor n'avait pas de limites.
											Fervente catholique,
											elle osait cependant
explorer la possibilité
											d'une pensée pieuse et
d'un comportement impie
											coexistant dans la même personne.
											Dans « Et ce sont les 
violents qui l'emportent »,
											le personnage principal hésite à
devenir un homme de Dieu -
											mais commet des incendies et un meurtre.
											Le livre s'ouvre avec le prophète réticent
dans une situation très compromettante :
											« L'oncle de Francis Marion Tarwater
n'était mort que depuis quelques heures
											quand l'enfant se trouva trop soûl
pour finir de creuser sa tombe. »
											Un passant a dû « traîner le cadavre
depuis la table du petit déjeuner
											où il était assis et l'enterrer [...]
											avec assez de terre par-dessus
pour empêcher les chiens de le déterrer. »
									","
											O'Connor için hiçbir konu
yasak bölge değildir.
											Kendisi sadık bir Katolik olsa da
											aynı kişide var olan
											dini düşünceler ve din dışı davranış
											ihtimalini keşfetmekten korkmazdı.
											The Violent Bear it Away adlı hikayesinde,
											ana karakter, Tanrı'nın adamı
olma tercihi ile boğuşmaktadır -
											ama aynı zamanda
yangın çıkarır ve cinayet işler.
											Kitap gönülsüz peygamberle özellikle
uzlaşmacı bir konumda başlar:
											''Çocuk, mezarını kazmayı bitirmek
için çok fazla sarhoş olduğunda
											Francis Marion Tarwater'ın amcası
bir buçuk gündür ölüydü.''
											Bu yüzden “cesedi hala oturduğu
kahvaltı masasından sürükleyip
											köpeklerin kazamayacağı kadar
											toprağın altına […] gömme işi
yoldan geçen birine kalmıştı. ''
									",Why should you read Flannery O'Connor?,Iseult Gillespie,3:56,"TED-Ed,animation,book,books,literature,writing,novel,history"
"
","
","
","
",Why should you read Flannery O'Connor?,Iseult Gillespie,3:56,"TED-Ed,animation,book,books,literature,writing,novel,history"
