de,en,es,fr,title,speaker,duration,tags
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Falls Sie den Film ""Moneyball"" gesehen haben,
											oder das Buch von Michael Lewis gelesen,
											dann kennen Sie die Geschichte von Billy Beane.
											Bill sollte nach Aussage der Talent-Scouts ein großer Baseball-Spieler werden.
											Sie sagten seinen Eltern,
											dass sie für ihn eine immense Karriere voraussahen.
									","
											Those of you who have seen the film ""Moneyball,""
											or have read the book by Michael Lewis,
											will be familiar with the story of Billy Beane.
											Billy was supposed to be a tremendous ballplayer; all the scouts told him so.
											They told his parents that
											they predicted that he was going to be a star.
									","
											Aquellos que han visto 
la película “Moneyball”
											o han leído el libro de Michael Lewis,
											estarán familiarizados con 
la historia de Billy Beane.
											Billy tenía todo 
para ser un gran jugador,
											todos los reclutadores se lo decían.
											Ellos le dijeron a sus padres
											que predecían que iba a ser una estrella.
									","
											Ceux d'entre vous qui ont vu le film ""Le stratège"",
											ou qui ont lu le livre de Michael Lewis
											sont familiers avec l'histoire de Billy Beane.
											Billy devait devenir un excellent joueur de baseball ; tous les découvreurs de talent le lui avaient dit.
											Ils avaient dit à ses parents
											qu'ils prédisaient qu'il serait une star.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Aber als er dann den Vertrag unterschrieb – den er übrigens nicht
											unterschreiben wollte, denn er wollte aufs College –
											von dem mir meine Mutter, die mich tatsächlich liebt, sagte,
											dass ich es auch tun sollte, und ich tat es –
											na ja, es lief nicht so gut für ihn. Er war am Kämpfen.
											Er wurde ein paar Mal eingetauscht und verbrachte den Großteil seiner Karriere in unteren Ligen,
											und endete dann im Management. Er wurde der General Manager
											der ""Oakland A's"".
									","
											But what actually happened when he signed the contract — and by the way, he didn't
											want to sign that contract, he wanted to go to
college —
											which is what my mother, who actually does
love me,
											said that I should do too, and I did —
											well, he didn't do very well. He struggled
mightily.
											He got traded a couple of times, he ended up in the Minors for most of his career,
											and he actually ended up in management. He ended up as a General Manager of the
											Oakland A's.
									","
											Pero lo que realmente pasó 
cuando firmó el contrato, que por cierto,
											él no quiso firmarlo 
porque quería ir a la universidad,
											que es lo que mi madre, 
que me ama de verdad,
											dijo que yo también debía hacer y lo hice.
											Bueno, a él no le fue muy bien. 
Luchó con fuerza.
											Se cambió de equipo un par de veces,
											fue a parar en las ligas menores
durante gran parte de su carrera,
											y terminó en la administración
llegando a ser director general
											de los Atléticos de Oakland.
									","
											Mais ce qui est arrivé en fait, quand il a signé le contrat,
d'ailleurs, il ne voulait pas
											signer ce contrat, il voulait aller à l'université,
											et c'est ce que ma mère, qui m'aime vraiment en fait,
											a dit que je devrais faire, et que j'ai fait,
											bref, il n'a pas si bien réussi que ça. Il a eu énormément de mal.
											Il a été revendu plusieurs fois, il a fini par faire le plus clair de sa carrière en Minors league (deuxième division)
											et atterit finalement dans le management. Il a fini directeur général
											des Athletics d'Oakland.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Für viele hier im Raum wird eine Endstation im Management, wie es auch mir widerfahren ist,
											als Erfolg gewertet.
											Ich versichere Ihnen aber, für jemanden, der es im Baseball ganz weit bringen will,
											ist eine Managementkarriere keine Erfolgsgeschichte. Es ist Scheitern.
									","
											Now for many of you in this room, ending up in management, which is also what I've done,
											is seen as a success.
											I can assure you that for a kid trying to make it in the Bigs,
											going into management ain't no success story. It's a failure.
									","
											Para muchos de Uds, 
terminar en administración,
											que es también lo hago, 
se ve como un éxito.
											Les puedo asegurar que para un chico 
que trata de llegar a las ligas mayores,
											terminar en administración no es 
ninguna historia de éxito, es un fracaso.
									","
											Pour beaucoup d'entre vous qui êtes dans la salle, finir dan le management, cet c'est aussi ce que j'ai fait,
											est vu comme une réussite.
											Je peux vous assurer que pour un gamin qui tente de réussir dans le baseball,
											atterrir dans le management n'est pas une réussite. C'est un échec.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Und in meinem Vortrag heute möchte ich darüber sprechen,
											dass unser Gesundheitssystem genau so schlecht dabei ist,
											vorherzusagen, was Leuten darin widerfahren wird – Patienten, anderen –
											wie diese Talent-Scouts bei der Karriere von Billy Beane.
											Und doch werden jeden Tag
											Tausende von Leuten in diesem Land
											mit Vorstufen von Erkrankungen diagnostiziert.
									","
											And what I want to talk to you about today, and share with you, is that our
											healthcare system, our medical system, is
just as bad at predicting
											what happens to people in it — patients,
others —
											as those scouts were at predicting what would happen to Billy Beane.
											And yet, every day
											thousands of people in this country
											are diagnosed with preconditions.
									","
											Lo que quiero compartir con Uds.
											es que nuestro sistema de salud 
o médico, es tan malo para predecir
											lo que le sucederá a los pacientes,
											como los reclutadores al predecir 
lo que le pasaría a Billy Beane.
											Y, sin embargo, cada día
											a miles de personas en este país
											se les diagnostican 
enfermedades preexistentes.
									","
											Et aujourd'hui, ce dont je veux vous parler, ce que je veux partager avec vous,
											c'est que notre système de santé, notre système médical, est tout aussi mauvais pour prédire
											ce qui arrive aux gens, aux patients,
											que ces découvreurs de talents était à prédire ce qui arriverait à Billy Beane.
											Et pourtant, chaque jour,
											des milliers de gens dans ce pays
											se voit diagnostiquer des états précurseurs.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Man hört von Vor-Bluthochdruck, Vor-Demenz,
											Vor-Ängste – damit habe ich mich auch im
											Vorbereitungsraum diagnostiziert.
									","
											We hear about pre-hypertension, we hear about pre-dementia,
											we hear about pre-anxiety, and I'm pretty sure that I diagnosed myself with
											that in the green room.
									","
											Oímos hablar de 
prehipertensión, predemencia,
											preansiedad y estoy casi seguro 
de que me autodiagnostiqué eso
											en los camerinos. (Risas)
									","
											On entend parler de pré-hypertension, de pré-démence,
											on entend parler de pré-anxiété (et je suis presque sûr que c'est ce que j'avais moi-même
											en attendant dans les coulisses.)
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Wir kennen auch subklinische Erkrankungen.
											Es gibt subklinische Arteriosklerose, subklinische Arterienverhärtung,
											die potentiell natürlich zu Herzinfarkten führen kann.
											Eine meiner liebsten Erkrankungen ist subklinische Akne.
											Die Suche nach ""subklinischer Akne"" führt zu einer Webseite,
											wo behauptet wird, das sei die am leichtesten zu behandelnde Akne.
											Es gibt keine Pusteln oder Röte oder Entzündung.
											Vielleicht liegt das daran, dass man gar keine Akne hat.
									","
											We also refer to subclinical conditions.
											There's subclinical atherosclerosis, subclinical hardening of the arteries,
											obviously linked to heart attacks, potentially.
											One of my favorites is called
subclinical acne.
											If you look up subclinical acne, you may find a website, which I did,
											which says that this is the easiest type of acne to treat.
											You don't have the pustules or the redness and inflammation.
											Maybe that's because you don't actually
have acne.
									","
											También nos referimos a 
las afecciones subclínicas.
											Hay aterosclerosis subclínica, 
endurecimiento de las arterias subclínico,
											obviamente vinculado a 
ataques cardíacos, potencialmente.
											Uno de mis favoritos 
se llama acné subclínico.
											Si investigan sobre acné subclínico, 
quizá encuentren un sitio, como yo hice,
											que dice que este es el tipo 
de acné más fácil de tratar. (Risas)
											No tienen las pústulas o
el enrojecimiento y la inflamación.
											Tal vez porque 
en realidad no tiene acné.
									","
											On parle aussi de signes infracliniques.
											Il y a l'arthérosclérose infraclinique, le durcissement infraclinique des artères,
											potentiellement lié aux crises cardiaques, bien entendu.
											Une de mes préférées est appelée l'acné infraclinique.
											Si vous vous informez sur l'acné infraclinique, vous trouverez peut-être un site web, ce que j'ai fait,
											qui vous dit que c'est le type d'acné le plus simple à traiter.
											Vous n'avez pas ni boutons, ni rougeurs ni d'inflammation.
											Peut-être parce que vous n'avez pas vraiment d'acné !
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Ich habe einen Namen für alle diese Erkrankungen:
											Sie sind lächerlich.
											In Baseball folgt das Spiel dem Vor-Spiel.
											Eine Saison folgt der Vor-Saison.
											Aber bei vielen dieser Erkrankungen ist das nicht der Fall,
											oder zumindest nicht immer. So als gäbe es jedes Mal eine Verzögerung wegen Regens.
									","
											I have a name for all of these conditions, it's another precondition:
											I call them preposterous.
											In baseball, the game follows the pre-game.
											Season follows the pre-season.
											But with a lot of these conditions, that actually isn't the case, or at least it isn't the
											case all the time. It's as if there's a rain delay, every single time in many cases.
									","
											Mi apelativo para todas esas afecciones,
es otra enfermedad preexistente:
											yo las llamo absurdas. (Risas)
											En el béisbol, el juego sigue el prejuego.
											Las temporadas siguen las pretemporadas.
											Pero en la mayoría de estas enfermedades,
ese no es el caso, o al menos no siempre.
											Es como si siempre hubiese 
un retraso por la lluvia en muchos casos.
									","
											J'ai un nom pour toutes ces maladies, c'est encore un précurseur :
											je les appelle absurdes.
											Au baseball, le match suit l'avant-match.
											La saison suit la pré-saison.
											Mais pour beaucoup de ces maladies, ce n'est pas vraiment le cas, ou au moins ce n'est pas le cas
											à chaque fois. C'est comme s'il y avait un report pour cause de pluie à chaque match, dans la plupart des cas.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Es gibt prä-karzinöse Wunden,
											die sich oft gar nicht zu Krebs entwickeln.
											Und doch,
											wenn man etwa subklinische Osteoporose nähme, eine Knochenschwächung,
											die Vorerkrankung
											ist als Osteopenie bekannt,
											dann müsste man drei Jahre lang 270 Frauen behandeln,
											um einen gebrochenen Knochen zu verhindern.
											Das sind verdammt viele Frauen,
											wenn man mit denen die Anzahl der mit Osteopenie
											diagnostizierten Frauen multipliziert.
									","
											We have pre-cancerous lesions,
											which often don't turn into cancer.
											And yet,
											if you take, for example, subclinical
osteoporosis, a bone thinning disease,
											the precondition,
											otherwise known as osteopenia,
											you would have to treat 270
women for three years
											in order to prevent one broken bone.
											That's an awful lot of women
											when you multiply by the number of women
who were diagnosed
											with this osteopenia.
									","
											Tenemos lesiones precancerosas
											que no siempre se convierten en cáncer.
											Y, sin embargo, si tomamos, por ejemplo,
											la osteoporosis subclínica, un mal
del adelgazamiento de los huesos,
											la enfermedad preexistente,
											también conocida como osteopenia,
											tendríamos que tratar a 
270 mujeres durante 3 años
											para evitar que se rompan un hueso.
											Son muchísimas mujeres,
											cuando se multiplica por el número 
de mujeres diagnosticadas
											con esta osteopenia.
									","
											Nous avons des lésions précancéreuses,
											qui souvent ne deviennent pas des cancers.
											Et pourtant,
											si vous prenez par exemple l'ostéoporose infraclinique, une affection qui réduit la masse osseuse,
											le précurseur,
											aussi connu comme l'ostéopénie
											vous devriez traitez 270 femmes pendant 3 ans
											pour éviter un seul os cassé.
											Cela fait énormément de femmes
											quand vous multipliez par le nombre de femmes à qui l'on a diagnostiqué
											une ostéopénie.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Ist es angesichts all der Kosten
											und Nebenwirkungen der Medikamente, mit denen wir
											diese Vorerkrankungen behandeln, noch eine Überraschung,
											dass wir jedes Jahr mehr als zwei Billiarden Dollar zur Gesundheitsvorsorge ausgeben
											und doch 100.000 Leute pro Jahr – vorsichtig geschätzt – sterben,
											nicht wegen ihrer Erkrankungen,
											sondern wegen der Behandlungen und der damit auftretenden Komplikationen?
									","
											And so is it any wonder,
											given all of the costs and the side effects
											of the drugs that we're using to treat these preconditions, that every year
											we're spending more than two trillion dollars on healthcare and yet
											100,000 people a year — and that's a conservative estimate — are dying
											not because of the conditions they have,
											but because of the treatments that we're giving them and the complications of those treatments?
									","
											¿No es de extrañar,
											teniendo en cuenta todos 
los costos y los efectos secundarios
											de los medicamentos para el tratamiento
de estos males preexistentes, que cada año
											gastemos más de dos billones de dólares 
en atención médica y sin embargo,
											100 000 personas al año 
–y eso es una estimación conservadora–
											mueren no por causa de 
las enfermedades que tienen,
											sino por los tratamientos que les damos 
y las complicaciones de los mismos?
									","
											Et donc est-ce si étonnant,
											vu le coût et les effets secondaires
											des médicaments qu'on utilise pour traiter ces précurseurs, que chaque année
											nous dépensions plus de 2 000 milliards de dollars en soins,
											et que pourtant 100 000 personnes par an, et c'est une estimation basse, meurent
											non pas à cause des maladies qu'ils ont,
											mais à cause des traitements qu'on leur donne et à leurs complications ?
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Wir haben alles in diesem Land
											medikalisiert.
											Werte Damen im Publikum: Ich habe leider
											schlechte Nachrichten, die Ihnen schon bekannt sind,
											nämlich, dass jeder Aspekt Ihres Lebens
									","
											We've medicalized everything
											in this country.
											Women in the audience, I have
some
											pretty bad news that you already know,
											and that's that every aspect of your
life
									","
											Hemos medicalizado todo en este país.
											A las mujeres en la audiencia,
											les tengo muy malas noticias 
que ya conocen
											y es que hemos medicalizado 
cada fase de su vida.
									","
											Nous avons tout médicalisé
											dans ce pays.
											Mesdames dans la salle, j'ai de mauvaises nouvelles
											que vous connaissez déjà,
											c'est que chaque aspect de votre vie
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
