en,pt,de,fr,tr,es,title,speaker,duration,tags
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											Today I'm going to talk
about technology and society.
											The Department of Transport
estimated that last year
											35,000 people died
from traffic crashes in the US alone.
											Worldwide, 1.2 million people
die every year in traffic accidents.
											If there was a way we could eliminate
90 percent of those accidents,
											would you support it?
											Of course you would.
											This is what driverless car technology
promises to achieve
											by eliminating the main
source of accidents —
											human error.
									","
											Hoje, vou falar
sobre tecnologia e sociedade.
											O Departamento de Transportes
estimou que, no ano passado,
											morreram 35 mil pessoas devido
a acidentes rodoviários, somente nos EUA.
											A nível mundial, 1,2 milhões de pessoas 
morrem por ano em acidentes rodoviários.
											Se existisse uma forma de eliminar 
90% desses acidentes,
											vocês iriam apoiá-la?
											Claro que sim.
											É isto que a tecnologia de
carros autónomos pretende alcançar
											ao eliminar a causa principal 
dos acidentes
											— o erro humano.
									","
											Ich werde heute über 
Technologie und Gesellschaft sprechen.
											Das Verkehrsministerium schätzt,
dass im letzten Jahr
											35.000 Menschen bei Verkehrsunfällen
allein in den USA gestorben sind.
											Weltweit sterben jährlich 1,2 Millionen
Menschen bei Verkehrsunfällen.
											Wenn es eine Möglichkeit gäbe,
90 % dieser Unfälle zu vermeiden,
											wären Sie dafür?
											Natürlich wären Sie das.
											Genau das ist es, was die Technologie
fahrerloser Autos erreichen möchte,
											indem sie die Hauptursache
für Autounfälle eliminiert –
											menschliches Versagen.
									","
											Aujourd'hui, je vais parler 
de technologie et de société.
											Le Département du Transport a estimé
que, l'année dernière,
											le nombre de morts dû aux accidents de la
circulation à 35 000, seulement aux USA.
											Au niveau mondial, c'est 1,2 million de
gens qui meurent chaque année.
											S'il y avait une possibilité d'éliminer
90% de ces accidents,
											la soutiendriez-vous ?
											Bien sûr que oui.
											La technologie des voitures sans 
conducteur promet d'y arriver
											en éliminant la principale source 
d'accidents—
											l'erreur humaine.
									","
											Bugün, teknoloji ve toplum
hakkında konuşacağım.
											Ulaştırma Bakanlığı verilere göre 
geçen sene yalnızca ABD'de
											35.000 insanın trafik kazalarında 
yaşamını yitirdiğini bildirdi.
											Dünya çapında, her yıl 1.2 milyon insan
trafik kazalarında hayatını kaybediyor.
											Bu kazaların yüzde 90'ını ortadan 
kaldırabileceğimiz bir yöntem olsaydı,
											bunu destekler miydiniz?
											Elbette desteklerdiniz.
											Sürücüsüz araba teknolojisi
işte bunu vadediyor;
											kazaların ana sebebini,
yani insan hatasını
											ortadan kaldırmayı.
									","
											Hoy voy a hablar de tecnología 
y de la sociedad.
											El Departamento de Transporte
estimó que, el año pasado,
											hubo 35 000 muertos
en accidentes de auto, tan solo en EE.UU.
											A nivel mundial, mueren 1,2 millones
de personas por año en accidentes de auto.
											Si hubiera una manera de eliminar
el 90 % de esos accidentes,
											¿apoyarían la causa?
											Por supuesto que lo harían.
											Esto es lo que promete
la tecnología de vehículos autónomos,
											al eliminar la principal causa
de accidentes:
											el error humano.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											Now picture yourself
in a driverless car in the year 2030,
											sitting back and watching
this vintage TEDxCambridge video.
									","
											Imaginem-se num carro autónomo
no ano de 2030,
											descontraídos e a ver este vídeo
""vintage"" do TEDxCambridge.
									","
											Stellen Sie sich vor, Sie sitzen
im Jahr 2030 in einem fahrerlosen Auto.
											Sie sind entspannt und schauen
dieses alte TEDxCambridge-Video.
									","
											Imaginez vous, en 2030, dans une voiture 
sans conducteur,
											regardant cette ancienne vidéo TED.
									","
											Şimdi kendinizi 2030 yılında
sürücüsüz bir araba içerisinde hayal edin,
											arkada oturuyor ve bu nostaljik
TEDxCambridge videosunu izliyorsunuz.
									","
											Imagínense en el año 2030,
viajando en un vehículo autónomo,
											sentados, mirando este video vintage
de un evento TEDxCambridge.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											All of a sudden,
											the car experiences mechanical failure
and is unable to stop.
											If the car continues,
											it will crash into a bunch
of pedestrians crossing the street,
											but the car may swerve,
											hitting one bystander,
											killing them to save the pedestrians.
											What should the car do,
and who should decide?
											What if instead the car
could swerve into a wall,
											crashing and killing you, the passenger,
											in order to save those pedestrians?
											This scenario is inspired
by the trolley problem,
											which was invented
by philosophers a few decades ago
											to think about ethics.
									","
											De repente,
											o carro sofre uma falha mecânica
e é incapaz de parar.
											Se o carro continuar em frente,
											irá colidir com um monte de peões
que atravessam a rua,
											mas o carro poderá desviar-se,
											atingindo um peão no passeio,
											matando-o para salvar os restantes peões.
											O que deverá o carro fazer, 
e quem deverá decidir?
											E se o carro pudesse desviar-se 
contra uma parede,
											chocando e matando o passageiro,
											de forma a salvar aqueles peões?
											Este cenário é inspirado 
pelo dilema do elétrico,
											inventado por filósofos 
há algumas décadas,
											para pensar sobre a ética.
									","
											Plötzlich tritt ein mechanischer Fehler
auf und das Auto kann nicht anhalten.
											Wenn das Auto weiterfährt,
											wird es in in ein paar Fußgänger fahren,
die gerade die Straße überqueren.
											Das Auto könnte jedoch auch ausweichen,
											einen Beobachter treffen und töten,
											um die Fußgänger zu schützen.
											Was sollte das Auto machen
und wer sollte entscheiden?
											Was wäre, wenn das Auto stattdessen
ausweichen und eine Wand treffen könnte
											und dabei Sie, den Insassen, töten würde,
											um die Fußgänger zu retten?
											Dieses Szenario ist vom
Trolley-Problem inspiriert,
											das vor einigen Jahrzehnten
von Philosophen erfunden wurde,
											um Ethik zu erforschen.
									","
											Quand tout à coup,
											une panne mécanique l'empêche
de s'arrêter.
											Si la voiture roule toujours,
											elle peut écraser les piétons qui sont
en train de traverser;
											mais elle peut aussi faire une embardée,
											touchant un passant en le tuant
											pour sauver les piétons.
											Que devrait faire la voiture
et qui devrait décider ?
											Et si la voiture fonçait dans un mur,
											vous tuant vous, le passager
											pour sauver ces piétons ?
											Ce scénario est inspiré du problème 
venant des trolleybus,
											inventé par des philosophes il y a 
quelques décennies
											pour penser à l'éthique.
									","
											Aniden,
											arabada mekanik bir arıza oluyor
ve duramıyor.
											Araba sürüşe devam ederse,
											yoldan geçen bir grup insana çarpacak,
											fakat araç direksiyon kırabilir,
											görgü tanıklarından birine çarpar
											ve böylece daha çok yaya kurtulmuş olur.
											Araba ne yapmalı
ve buna kim karar vermeli?
											Farz edelim ki,
araba direksiyonu bir duvara kırıyor,
											diğer yayaları kurtarmak adına,
											duvara çarparak arabadaki 
yolcuyu yani sizi öldürüyor.
											Bu senaryo,
bundan 30-40 yıl önce
											ahlak kuramını irdelemek adına
filozoflarca yaratılan tren ikileminden
											esinlenerek ortaya konmuş.
									","
											De pronto,
											el auto tiene una falla mecánica
y no puede detenerse.
											Si el auto continúa,
											va a atropellar a un grupo
de peatones que cruza la calle.
											Pero el auto puede cambiar de dirección,
											atropellar a un solo transeúnte,
											matarlo, y así salvar a los peatones.
											¿Qué debería hacer el auto,
y quién debería decidir?
											¿Y si en cambio el auto
pudiera irse contra una pared,
											chocar y matarte a ti, el pasajero,
											para salvar a los peatones?
											Este caso hipotético está inspirado
en el dilema del tranvía,
											que fue inventado por unos filósofos
hace unas décadas
											para reflexionar sobre la ética.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											Now, the way we think
about this problem matters.
											We may for example
not think about it at all.
											We may say this scenario is unrealistic,
											incredibly unlikely, or just silly.
											But I think this criticism
misses the point
											because it takes
the scenario too literally.
											Of course no accident
is going to look like this;
											no accident has two or three options
											where everybody dies somehow.
											Instead, the car is going
to calculate something
											like the probability of hitting
a certain group of people,
											if you swerve one direction
versus another direction,
											you might slightly increase the risk
to passengers or other drivers
											versus pedestrians.
											It's going to be
a more complex calculation,
											but it's still going
to involve trade-offs,
											and trade-offs often require ethics.
									","
											A forma como pensamos
neste problema é importante.
											Por exemplo, nós podemos
nem sequer pensar nele.
											Podemos dizer que 
este cenário é irrealista,
											extremamente improvável
ou simplesmente absurdo.
											Mas eu acho que esta crítica
perde de vista o objetivo
											porque leva o cenário demasiado à letra.
											É óbvio que nenhum acidente 
se parecerá com este;
											nenhum acidente tem duas ou três opções
											em que alguém acaba morto inevitavelmente.
											Em vez disso, o carro irá calcular algo
											como a probabilidade de embater 
num certo grupo de pessoas
											e, caso se desvie para 
uma direção ou para outra,
											poderá aumentar o risco dos passageiros
ou de outros condutores
											em vez dos peões.
											Irá ser um cálculo mais complexo,
											mas irá envolver na mesma
tomar decisões
											e muitas das vezes, 
tomar essas decisões requer ética.
									","
											Die Art, wie wir über 
das Problem denken, zählt.
											So könnten wir etwa
gar nicht darüber nachdenken.
											Wir könnten sagen, 
dass das Szenario unrealistisch,
											extrem unwahrscheinlich oder albern ist.
											Aber ich denke, dass diese Kritik
am Thema vorbeigeht,
											da sie das Szenario zu wörtlich nimmt.
											Natürlich wird kein Unfall
genauso aussehen.
											Bei keinem Unfall gibt es
zwei oder drei Optionen,
											bei denen immer jemand stirbt.
											Stattdessen wird das Auto
eine Zahl ausrechnen,
											wie die Wahrscheinlichkeit,
eine bestimmte Menschengruppe zu treffen.
											Wenn es in die eine oder
die andere Richtung ausweicht.
											könnte das Risiko für Passagiere
geringfügig höher sein,
											als das Risiko für Fußgänger.
											Die Berechnung wäre komplexer,
											würde aber immer noch
Abwägungen beinhalten
											und Abwägungen beinhalten oft Ethik.
									","
											Il est important de savoir ce que nous
en pensons.
											Peut être que nous n'y pensons
pas du tout.
											On peut trouver ce scénario irréel,
											extrêmement peu probable ou juste stupide.
											Je pense que cette critique manque
d'un point important
											car elle suit ce scénario à la lettre.
											Il est évident qu'aucun accident
ne ressemblera à ça,
											aucun accident n'a deux ou trois options
											où tout le monde finit par mourir.
											Pour contrer tout cela, la voiture
pourrait calculer
											la probabilité d'heurter
un groupe de personnes,
											si on dévie d'un côté ou d'un autre,
											on augmenterait le risque des passagers
ou des conducteurs
											versus les piétons.
											Il s'agit d'un calcul un peu plus 
complexe,
											mais cela impliquerait quand même
des compromis,
											et les compromis demandent souvent 
de l'éthique.
									","
											Bu probleme bakış açımız önem taşıyor.
											Mesela, hiç üzerine kafa yormayabiliriz.
											Bu senaryonun gerçekçi olmadığını,
son derece olağan dışı olduğunu
											veya aptalca olduğunu düşünebiliriz.
											Fakat bu eleştirinin,
işin özünü kaçırdığını düşünüyorum,
											çünkü senaryoyu
fazla direkt yorumluyorlar.
											Elbette hiçbir kaza bu şekilde olmaz,
											herkesin o veya bu şekilde öldüğü
											iki üç olasılığa indirgenemez.
											Buna karşın araba,
											vuracağı kişi sayısı gibi
kendi içinde hesaplamalara gidecek,
											direksiyonu çevireceği
yönleri kıyaslayarak
											yolcu veya diğer sürücülere 
vereceği hasarı, yayalara oranla
											nispeten arttırabilir.
											Çok daha karmaşık bir hesaplama olacaktır,
											ama yine de risk oranını
hesaba katmış olacaktır
											ve risk oranları,
sıklıkla ahlak kuramı içindedir.
									","
											Es importante saber
cómo pensamos en este problema.
											Podríamos, por ejemplo,
no pensar en esto en absoluto.
											Podríamos decir que la situación 
es poco realista,
											remotamente probable,
o simplemente absurda.
											Pero para mí esta crítica
pierde de vista el problema,
											porque se toma la situación
muy al pie de la letra.
											Por supuesto que ningún accidente
es exactamente así;
											ningún accidente tiene dos o tres opciones
											donde de una forma u otra muere alguien.
											Lo que va a ocurrir,
es que el auto va a calcular algo,
											como la probabilidad de atropellar
a un determinado grupo de personas
											si toma una dirección u otra.
											Se podría aumentar levemente el riesgo
de los pasajeros y conductores,
											en favor de los peatones.
											Va a ser un cálculo más complejo,
											pero aun así va a implicar
hacer concesiones,
											y las concesiones normalmente
requieren una ética.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
