fr,pt,de,title,speaker,duration,tags
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Je suis météorologue de formation,
											j'ai une licence, un master
et un doctorat en météorologie physique,
											je suis donc météorologue, j'ai ma carte.
											Avec ce fait, viennent toujours
quatre questions.
											C'est une de mes prévisions
qui est toujours correcte.
									","
											Sou formado em meteorologia.
											Tenho a licenciatura, o mestrado
e o doutoramento em meteorologia física,
											por isso sou meteorologista, diplomado.
											Assim, fazem-me sempre quatro perguntas.
											Esta é uma previsão
em que eu acerto sempre.
									","
											Ich bin studierter Meteorologe.
											Ich habe einen Bachelor, Master und
Dokor in physikalischer Meteorologie;
											also bin ich ein Meteorologe mit Titeln.
											Und dies geht immer
mit vier Fragen einher.
											Das ist die eine Voraussage,
mit der ich immer richtig liege.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											(Risos)
									","
											(Gelächter)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Ces questions sont :
											« Marshall, sur quelle chaîne es-tu ? »
									","
											Essas perguntas são:
											""Marshall, em que canal é que estás?""
									","
											Und diese Fragen sind:
											""Marshall, für welchen
Sender arbeitest du?""
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											(Risos)
									","
											(Gelächter)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											« Dr Shepherd, quel temps
fera-t-il demain ? »
									","
											""Dr. Shepherd, como vai ser
o tempo amanhã?""
									","
											""Dr. Shepherd, wie wird
das Wetter morgen sein?""
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											(Risos)
									","
											(Gelächter)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
