en,tr,de,pt,title,speaker,duration,tags
"
","
","
","
",The discovery that could rewrite physics,Allan Adams,4:42,"astronomy,big bang,physics,space,time,universe"
"
											If you look deep into the night sky,
											you see stars,
											and if you look further, you see more stars,
											and further, galaxies, and 
further, more galaxies.
											But if you keep looking further and further,
											eventually you see nothing for a long while,
											and then finally you see a
faint, fading afterglow,
											and it's the afterglow of the Big Bang.
									","
											Gece vakti gökyüzünün derinliklerine bakarsanız
											yıldızları görürsünüz.
											Daha öteye bakarsanız, daha çok yıldız görürsünüz.
											Daha da ötede gökadalar ve
ötelerde daha çok gökada görünür.
											Ancak eğer bunların da ötesine bakarsanız,
											sonunda bir süreliğine hiç bir şey görünmez.
											Bunun ardından sonuçta ince ve
sönmekte olan bir ışık kalıntısı görürsünüz
											ki bu Büyük Patlamadan arta kalan ışımadır.
									","
											Wenn man tief in den Nachthimmel blickt,
											sieht man Sterne,
											und wenn man tiefer blickt,
sieht man noch mehr Sterne,
											und tiefer, Galaxien,
und tiefer, noch mehr Galaxien.
											Aber wenn man immer
tiefer und tiefer blickt,
											sieht man für lange Zeit nichts,
											und schließlich sieht man ein schwaches,
verblassendes Nachleuchten,
											das Nachleuchten des Urknalls.
									","
											Se olharem pelo céu noturno dentro,
											verão estrelas,
											e se olharem mais além, 
verão mais estrelas,
											mais além, galáxias; 
mais além, mais galáxias.
											E se continuarem a olhar mais e mais além,
											não verão nada durante bastante tempo,
											até que finalmente verão um clarão suave,
											e esse clarão provém do ""Big Bang"".
									",The discovery that could rewrite physics,Allan Adams,4:42,"astronomy,big bang,physics,space,time,universe"
"
","
","
","
",The discovery that could rewrite physics,Allan Adams,4:42,"astronomy,big bang,physics,space,time,universe"
"
											Now, the Big Bang was an era in the early universe
											when everything we see in the night sky
											was condensed into an incredibly small,
											incredibly hot, incredibly roiling mass,
											and from it sprung everything we see.
									","
											Geceleyin gökte gördüğümüz herşey,
											evrenin ilk anlarındaki Büyük Patlama evresinde,
											inanılmaz küçük, inanılmaz sıcak
											ve bulamaça benzeyen bir kütle durumundaydı
											ve gördüğümüz her şey bundan fışkırdı.
									","
											Der Urknall war eine Phase
im frühen Universum,
											wo alles, was wir am Nachthimmel sehen,
											zu einer unglaublich kleinen,
											heißen und aufgewühlten Masse
verdichtet war,
											und daraus entsprang alles, was wir sehen.
									","
											Ora, o ""Big Bang"" foi uma era 
do universo primordial
											em que tudo o que vemos no céu noturno
											estava condensado numa massa
incrivelmente pequena,
											incrivelmente quente e
incrivelmente turbulenta,
											e dela originou-se tudo o que vemos.
									",The discovery that could rewrite physics,Allan Adams,4:42,"astronomy,big bang,physics,space,time,universe"
"
","
","
","
",The discovery that could rewrite physics,Allan Adams,4:42,"astronomy,big bang,physics,space,time,universe"
"
											Now, we've mapped that afterglow
											with great precision,
											and when I say we, I mean people who aren't me.
											We've mapped the afterglow
											with spectacular precision,
											and one of the shocks about it
											is that it's almost completely uniform.
											Fourteen billion light years that way
											and 14 billion light years that way,
											it's the same temperature.
											Now it's been 14 billion years
											since that Big Bang,
											and so it's got faint and cold.
											It's now 2.7 degrees.
											But it's not exactly 2.7 degrees.
											It's only 2.7 degrees to about
											10 parts in a million.
											Over here, it's a little hotter,
											and over there, it's a little cooler,
											and that's incredibly important
to everyone in this room,
											because where it was a little hotter,
											there was a little more stuff,
											and where there was a little more stuff,
											we have galaxies and clusters of galaxies
											and superclusters
											and all the structure you see in the cosmos.
											And those small, little, inhomogeneities,
											20 parts in a million,
											those were formed by quantum mechanical wiggles
											in that early universe that were stretched
											across the size of the entire cosmos.
									","
											Artık biz, arta kalan ışımayı
											büyük doğrulukla belirlemiş durumdayız.
											Biz derken, benim dışımdaki insanlardan söz ediyorum.
											Arta kalan ışımayı müthiş
											bir doğrulukla belirledik
											ve şok edici noktalardan biri
											neredeyse tamamen homojen oluşuydu.
											Şu yönde 14 milyar ışık yılı boyunca ne kadarsa,
											bu yönde de 14 milyar ışık yılı boyunca
											aynı sıcaklıkta.
											Şu anda, Büyük Patlamanın üstünden
											14 milyar yıl geçmiş durumda.
											O yüzden zayıf ve soğuk.
											Şu an 2.7 derece.
											Ama tam olarak 2.7 derece değil.
											Sadece milyonda 10 kadar bir bölümü
											2.7 derece.
											Az beride biraz daha sıcak,
											az ötede biraz daha soğuk.
											Bu odadaki herkes için bu çok önemli.
											Çünkü biraz daha sıcak olduğu yerde
											biraz daha fazla şey olur;
											biraz daha fazla şeyin olduğu yerde de
											gökadalar, gökada kümeleri,
											süper kümeler ve
											evrende görülen tüm o yapılar olur.
											Bu küçük, minik homojensizlikler,
											milyonda 20 kadarlık bölüm,
											şu anda tüm evren boyutuna genişlemiş olan
											erken evrendeki kuantum mekaniksel
											titreşimler tarafından biçimlenmiştir.
											Bu inanılmaz bir şey
									","
											Wir zeichneten also das Nachleuchten
											mit hoher Genauigkeit auf,
											und wenn ich ""wir"" sage,
meine ich andere Leute als mich.
											Wir zeichneten das Nachleuchten
											mit spektakulärer Genauigkeit auf,
											und das Schockierende daran
											ist seine nahezu völlige Gleichmäßigkeit.
											14 Mrd. Lichtjahre in die eine Richtung
											und 14 Mrd. Lichtjahre
in die andere Richtung,
											immer die gleiche Temperatur.
											Nun sind 14 Mrd. Jahre
											seit dem Urknall vergangen,
											und es verblasste und wurde kalt.
											Jetzt beträgt die Temperatur 2,7 Grad.
											Allerdings sind es nicht genau 2,7 Grad.
											Es sind nur 2,7 Grad
											mal 10 hoch -6.
											Hier drüben ist es etwas wärmer,
											dort drüben ist es etwas kälter,
											und dies ist für alle
in diesem Saal äußerst wichtig,
											denn dort, wo es etwas wärmer war,
											gab es etwas mehr Materie,
											und wo es etwas mehr Materie gab,
											haben wir Galaxien, Galaxienhaufen
											und Supergalaxienhaufen,
											und die ganze Struktur,
die man im Universum sieht.
											Und diese winzigen kleinen Abweichungen,
											10 hoch -5,
											die wurden in jenem frühen Universum
											von quantenmechanischen
Fluktuationen gebildet,
											die sich in der Größe
des gesamten Kosmos ausgedehnt haben.
									","
											Bom, nós mapeámos esse clarão
											com grande precisão,
											e quando digo ""nós"", não me refiro a mim.
											Nós mapeámos esse clarão
											com uma precisão fantástica,
											e a conclusão chocante é
											que ele é quase completamente uniforme.
											14 mil milhões de anos-luz
naquela direção
											e 14 mil milhões de anos-luz 
naquela outra
											a temperatura é a mesma.
											Já passaram 13 mil milhões de anos
											desde esse ""Big Bang""
											e por isso tornou-se frio e ténue.
											Agora estão 2,7 graus.
											Mas não estão exatamente 2,7 graus.
											Estão 2,7 graus apenas para cerca de
											10 partes por milhão.
											Aqui está um pouco mais quente,
											e ali, um pouco mais frio,
											e isso é muito importante 
para todos nesta sala,
											porque onde estava um pouco mais quente,
											havia um pouco mais de matéria,
											e onde havia um pouco mais de matéria,
											formaram-se galáxias e 
aglomerados,
											e superaglomerados de galáxias
											e toda a organização que vemos no cosmos.
											E aquelas pequenas não-homogeneidades,
											as 20 partes por milhão,
											foram formadas por sacodidelas
da mecânica quântica
											nesse universo primordial, 
que foram esticadas
											ao longo do cosmos inteiro.
									",The discovery that could rewrite physics,Allan Adams,4:42,"astronomy,big bang,physics,space,time,universe"
"
","
","
","
",The discovery that could rewrite physics,Allan Adams,4:42,"astronomy,big bang,physics,space,time,universe"
"
											That is spectacular,
											and that's not what they found on Monday;
											what they found on Monday is cooler.
											So here's what they found on Monday:
											Imagine you take a bell,
											and you whack the bell with a hammer.
											What happens? It rings.
											But if you wait, that ringing fades
											and fades and fades
											until you don't notice it anymore.
											Now, that early universe was incredibly dense,
											like a metal, way denser,
											and if you hit it, it would ring,
											but the thing ringing would be
											the structure of space-time itself,
											and the hammer would be quantum mechanics.
											What they found on Monday
											was evidence of the ringing
											of the space-time of the early universe,
											what we call gravitational waves
											from the fundamental era,
											and here's how they found it.
											Those waves have long since faded.
											If you go for a walk,
											you don't wiggle.
											Those gravitational waves in the structure of space
											are totally invisible for all practical purposes.
											But early on, when the universe was making
											that last afterglow,
											the gravitational waves
											put little twists in the structure
											of the light that we see.
											So by looking at the night sky deeper and deeper —
											in fact, these guys spent
three years on the South Pole
											looking straight up through the coldest, clearest,
											cleanest air they possibly could find
											looking deep into the night sky and studying
											that glow and looking for the faint twists
											which are the symbol, the signal,
											of gravitational waves,
											the ringing of the early universe.
											And on Monday, they announced
											that they had found it.
									","
											ve Pazartesi günü buldukları bu değildi;
											Pazartesi daha ilgincini buldular.
											Pazartesi günü ne bulduklarını anlatayım:
											Bir çanınız olduğunu varsayın.
											Çana, çekiçle vuruyorsunuz.
											Ne olur? Çan çalar.
											Ama eğer beklerseniz, bu çınlama azalır,
											gitgide azalır ve
											sonunda onu duyamaz olursunuz.
											Erken evren inanılmaz bir yoğunluktaydı,
											metal gibiydi, hatta çok daha yoğundu.
											Ona vursaydınız, çınlardı.
											Tabi bu benzetimde çınlama,
											uzay-zamanın yapısı olurdu ve
											çekiç de kuantum mekaniği.
											Pazartesi günü buldukları şey,
											erken evrenin uzay-zamanının
											çınlamasının kanıtıydı.
											Bunlara, en temel dönemden kalma
											kütleçekim dalgaları diyoruz.
											Nasıl bulduklarını anlatayım.
											Bu dalgalar söneli çok uzun süre geçmişti.
											Bir yürüyüşe çıktığınızda
											titreşmezsiniz.
											Uzayın yapısındaki bu kütleçekimsel dalgalar
											tüm uygulamalı denemelerde bütünüyle görünmezdir.
											Ama daha önceleri, evren bu son kalıntıyı
											oluşturma aşamasındayken,
											kütleçekim dalgaları,
											gördüğümüz ışığın yapısına
											küçük girdaplar koydu.
											Dolayısıyla, gece göğünde daha derinlere bakıp
											—aslına bakarsanız bu arkadaşlar bulabilecekleri
											muhtemelen en soğuk, en temiz ve en açık havada,
											Güney Kutbunda yukarı bakarak 3 yıl geçirdi—
											gece göğünde derinlere bakıp,
											bu kalan ışımayı inceleyerek,
											kütleçekim dalgalarının simgesi ve
											sinyali olan bu erken evren
											çınlamasını aradılar.
											Pazartesi günü de
											bulduklarını duyurdular.
									","
											Das ist spektakulär,
											und das ist nicht,
was sie am Montag entdeckten;
											was sie am Montag entdeckten, ist besser.
											Am Montag haben sie Folgendes entdeckt:
											Stellen Sie sich eine Glocke vor,
											und Sie schlagen die Glocke
mit einem Hammer.
											Was passiert? Es läutet.
											Aber wenn man wartet,
wird das Läuten schwächer
											und immer schwächer,
											bis Sie es nicht mehr wahrnehmen.
											Das frühe Universum war unglaublich dicht,
											wie Metall, nur viel dichter,
											und würde man zuschlagen,
würde es klingen,
											aber das, was klingen würde,
											wäre die Raum-Zeit-Struktur selbst
											und der Hammer wäre die Quantenmechanik.
											Was sie am Montag entdeckten,
											waren Beweise für das Klingen
											der Raum-Zeit des frühen Universums,
											die wir Gravitationswellen

											aus der Anfangszeit nennen.
											Und so entdeckten sie sie:
											Jene Wellen sind längst verblasst.
											Wenn man spazieren geht,
											""wackelt"" man nicht.
											Die Gravitationswellen in der Raumstruktur
											sind praktisch völlig unsichtbar.
											Aber in einer frühen Phase,
als das Universum
											das letzte Nachleuchten erzeugte,
											betteten die Gravitationswellen
											kleine Krümmungen
in die Struktur des Lichtes,
											das wir sehen, ein.
											Wenn man also immer tiefer
in den Nachthimmel blickt...
											Diese Leute verbrachten 
drei Jahre am Südpol damit,
											durch die kältest, klarste
und sauberste Luft, die es gibt,
											gerade nach oben zu blicken,
											tief in den Nachthimmel zu blicken,
											das Leuchten zu untersuchen und
die schwachen Krümmungen zu suchen,
											die das Symbol,
das Signal der Gravitationswellen,
											des Klingens des frühen Universums sind.
											Und am Montag verkündeten sie,
											dass sie es entdeckt haben.
									","
											Isto é espetacular,
											mas não foi o que encontraram
segunda-feira.
											O que encontraram segunda-feira 
é mais fixe.
											Vejam o que encontraram na segunda-feira:
											Imaginem que apanham um sino,
											e vocês batem no sino com um martelo.
											O que acontece? Ele ressoa.
											Mas se esperarem, o som diminui
											e diminui e diminui
											até não o conseguirem ouvir mais.
											Bem, esse universo primordial 
era incrivelmente denso,
											como um metal, muito mais denso,
											e se lhe batessem, ele também ressoaria,
											mas o que estaria a ressoar seria
											a própria estrutura do espaço-tempo,
											e o martelo seria a mecânica quântica.
											O que eles descobriram na segunda-feira
											foram provas do ressoar
											do espaço-tempo do universo primordial,
											aquilo que chamamos de 
ondas gravitacionais
											da era fundamental,
											e eis como eles o encontraram:
											Essas ondas há muito desvaneceram-se.
											Se vocês forem passear,
											não sacodem.
											Essas ondas gravitacionais 
na estrutura do espaço
											são totalmente invisíveis, 
para todos os efeitos.
											Mas no início, quando o universo
estava a fazer
											esse último clarão,
											as ondas gravitacionais
											puseram algumas alterações na estrutura
											da luz que vemos.
											Então, olhando o céu noturno
cada vez mais longe
											— aliás, estes homens estiveram
3 anos no Polo Sul
											observando através do ar
mais frio, límpido
											e limpo que poderiam encontrar —
											observando a fundo 
o céu noturno e estudando
											esse brilho e procurando 
pelas pequenas alterações
											que são a característica, o sinal
											da existência de ondas gravitacionais,
											o ressoar do universo primordial.
											E na segunda-feira anunciaram
											que o encontraram.
									",The discovery that could rewrite physics,Allan Adams,4:42,"astronomy,big bang,physics,space,time,universe"
"
","
","
","
",The discovery that could rewrite physics,Allan Adams,4:42,"astronomy,big bang,physics,space,time,universe"
"
											And the thing that's so spectacular about that to me
											is not just the ringing, though that is awesome.
											The thing that's totally amazing,
											the reason I'm on this stage, is because
											what that tells us is something
deep about the early universe.
											It tells us that we
											and everything we see around us
											are basically one large bubble —
											and this is the idea of inflation—
											one large bubble surrounded by something else.
											This isn't conclusive evidence for inflation,
											but anything that isn't inflation that explains this
											will look the same.
											This is a theory, an idea,
											that has been around for a while,
											and we never thought we we'd really see it.
											For good reasons, we thought we'd never see
											killer evidence, and this is killer evidence.
									","
											Çınlama müthiş olsa da,
											beni asıl heyecanlandıran tek şey değil.
											Bütünüyle muhteşem olan,
											bu sahnede bulunmama neden olan şey şu ki,
											bu durum bize erken evrene ilişkin çok derin bir şey söylüyor.
											Söylediği şey,
											bizim ve çevremizdeki her şeyin
											aslında bir büyük baloncuk olduğu.
											Bu genişleme düşüncesidir;
											başka bir şey tarafından çevrelenmiş bir büyük baloncuk.
											Bu genişleme için nihai bir kanıt değil,
											ancak bunu açıklayan genişleme dışındaki
											herhangi bir durum da aynı görünecektir.
											Bu bir kuram, bir düşünce
											ve ne zamandır ortalıktaydı,
											ama gerçekten görebileceğimizi hiç düşünmüyorduk.
											Sağlam nedenlerden dolayı, kesin bir kanıta asla
											erişemeyeceğimizi düşündük, ama bu kesin bir kanıt.
									","
											Das Spektakuläre daran ist für mich
											nicht nur das Klingen,
obwohl das beeindruckend ist.
											Das absolut Erstaunliche daran ist,
											und auch der Grund,
warum ich auf der Bühne stehe,
											dass es uns etwas Bedeutendes
über das frühe Universum verrät.
											Es verrät uns,
											dass wir und alles um uns herum
											im Grunde eine große Blase sind,
											und das ist die Idee
hinter der Inflation —
											eine große Blase,
die von etwas anderem umgeben ist.
											Das ist kein schlüssiger Beweis
für Inflation,
											aber alles, was keine Inflation ist
und dies erklärt,
											würde gleich aussehen.
											Diese Theorie, diese Idee,
ist nicht gerade neu,
											und wir rechneten nie damit,
sie tatsächlich zu sehen.
											Aus guten Gründen erwarten wir niemals,
											einen unwiderlegbaren Beweis zu finden,
und das ist er.
									","
											E para mim o que é mais espetacular
											não é apenas o ressoar, 
embora isso seja impressionante
											O que é totalmente espantoso,
											e a razão para eu estar aqui neste palco,
											é que isso nos diz algo profundo 
sobre o universo primordial.
											Isso diz-nos que nós
											e tudo o que vemos à nossa volta
											está basicamente contido 
numa grande bolha
											— e aqui está a ideia da expansão —
											uma enorme bolha rodeada de algo mais.
											Isto não são provas 
conclusivas da expansão,
											mas se houver outra coisa que o explique,
											será certamente parecido.
											Isto é uma teoria, uma ideia,
											que já existe há algum tempo,
											mas nunca acreditamos provar.
											Por várias razões, pensamos
que nunca veríamos
											provas irrefutáveis, e estas são-no.
									",The discovery that could rewrite physics,Allan Adams,4:42,"astronomy,big bang,physics,space,time,universe"
