pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
",A promising test for pancreatic cancer ... from a teenager,Jack Andraka,10:49,"cancer,disease,science,health,medicine,medical research,youth,biology,Internet,molecular biology,nanoscale"
"
											Alguma vez já passaram por um momento 
na vossa vida
											tão doloroso e confuso
											que tudo que queriam fazer
											era aprender o máximo que conseguissem, 
para tentarem tirar algum sentido daquilo tudo?
									","
											Hayatınızda, ne olduğunu anlayabilmek için
											her şeyinizle anlamaya çalıştığınız,
											çok acı verici
											ve kafa karıştırıcı bir an yaşadınız mı?
									","
											Avez-vous déjà vécu 
un moment dans votre vie
											qui était si douloureux et déroutant
											que tout ce que vous vouliez faire
											était d'apprendre autant que possible 
afin de trouver un sens à tout ?
									","
											Haben Sie je in Ihrem Leben 
eine Erfahrung gemacht,
											die so schmerzhaft und verwirrend war,
											dass Sie am liebsten so viel wie möglich 
darüber lernen wollten,
											um den Sinn dahinter zu finden?
									",A promising test for pancreatic cancer ... from a teenager,Jack Andraka,10:49,"cancer,disease,science,health,medicine,medical research,youth,biology,Internet,molecular biology,nanoscale"
"
","
","
","
",A promising test for pancreatic cancer ... from a teenager,Jack Andraka,10:49,"cancer,disease,science,health,medicine,medical research,youth,biology,Internet,molecular biology,nanoscale"
"
											Quando eu tinha 13 anos, 
um grande amigo da família,
											que era como um tio para mim,
											morreu de cancro no pâncreas.
											Quando a doença apareceu tão perto 
da minha casa,
											eu sabia que precisava de aprender mais,
											então fui à Internet para encontrar respostas.
									","
											13 yaşındayken, benim için bir amca gibi olan
											çok yakın bir aile dostumuz
											pankreas kanseri sebebiyle vefat etti.
											Hastalık bu kadar yakınımdayken,
											daha fazla şey öğrenmem gerektiğini biliyordum,
											ve bu cevapları internette aradım.
									","
											Quand j'avais 13 ans, 
un ami proche de la famille
											que je considérais comme mon oncle
											est décédé d'un cancer du pancréas.
											Lorsque la maladie a frappé 
si près de chez nous,
											j'ai su que j'avais besoin 
d'en savoir plus,
											je suis donc allé sur Internet 
afin de trouver des réponses.
									","
											Als ich 13 war, 
starb ein enger Freund der Familie,
											der für mich wie ein Onkel war,
											an Bauchspeicheldrüsenkrebs.
											Weil ich so betroffen war,
											wollte ich mehr darüber lernen,
											also suchte ich online nach Antworten.
									",A promising test for pancreatic cancer ... from a teenager,Jack Andraka,10:49,"cancer,disease,science,health,medicine,medical research,youth,biology,Internet,molecular biology,nanoscale"
"
","
","
","
",A promising test for pancreatic cancer ... from a teenager,Jack Andraka,10:49,"cancer,disease,science,health,medicine,medical research,youth,biology,Internet,molecular biology,nanoscale"
"
											Usando a Internet, encontrei várias estatísticas
											sobre o cancro do pâncreas,
											e o que encontrei deixou-me chocado.
											Mais de 85% de todos os cancros no pâncreas
											são diagnosticados tarde,
											quando uma pessoa tem menos de 2%
de hipóteses de sobreviver.
											Porque é que somos tão maus na detecção
do cancro do pâncreas?
											O motivo? O método actual da medicina moderna
											é uma técnica com 60 anos.
											Mais velha do que o meu pai.
									","
											İnternette pankreas kanseri hakkında
											beni inanılmaz derecede şaşırtan
											bir sürü istatistik buldum.
											Pankreas kanserlerinin %85'inden fazlası
											geç teşhis ediliyordu,
											yani %2'den daha düşük hayatta kalma oranı olduğunda.
											Pankreas kanserini tanımlamakta neden bu kadar kötüyüz?
											Nedeni? Günümüz modern tıbbı,
											60 yıllık bir teknik de ondan.
											Babamdan bile yaşlı yani.
									","
											En utilisant Internet, j'ai trouvé
des statistiques variées
											sur le cancer du pancréas,
											et ce que j'ai trouvé m'a fait un choc.
											Plus de 85% des cancers du pancréas
											sont diagnostiqués tard,
											quand une personne a moins 
de 2% de chance de survivre.
											Pourquoi n'arrivons-nous pas
à détecter le cancer du pancréas ?
											Pourquoi ? La médecine 
moderne d'aujourd'hui
											est une technique vieille de 60 ans.
											C'est plus vieux que mon père.
									","
											Im Internet fand ich 
eine Vielzahl von Statistiken
											über Bauchspeicheldrüsenkrebs,
											und was ich gefunden hatte, 
schockierte mich.
											Über 85 Prozent aller Fälle von 
Bauchspeicheldrüsenkrebs
											werden spät diagnostiziert,
											wenn die Überlebenschance bei 
weniger als zwei Prozent liegt.
											Warum können wir Bauchspeicheldrüsenkrebs 
so schlecht aufspüren?
											Der Grund? 
Die heutige moderne Medizin
											benutzt eine 60 Jahre alte Methode.
											Älter als mein Vater.
									",A promising test for pancreatic cancer ... from a teenager,Jack Andraka,10:49,"cancer,disease,science,health,medicine,medical research,youth,biology,Internet,molecular biology,nanoscale"
"
","
","
","
",A promising test for pancreatic cancer ... from a teenager,Jack Andraka,10:49,"cancer,disease,science,health,medicine,medical research,youth,biology,Internet,molecular biology,nanoscale"
"
											(Risos)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Lachen)
									",A promising test for pancreatic cancer ... from a teenager,Jack Andraka,10:49,"cancer,disease,science,health,medicine,medical research,youth,biology,Internet,molecular biology,nanoscale"
"
","
","
","
",A promising test for pancreatic cancer ... from a teenager,Jack Andraka,10:49,"cancer,disease,science,health,medicine,medical research,youth,biology,Internet,molecular biology,nanoscale"
"
											Mas também é extremamente cara,
											custa 800 dólares por teste,
											assim como grosseiramente imprecisa,
											falhando 30% de todos os cancros do pâncreas.
											O vosso médico teria de estar 
mesmo muito desconfiado
											de que tivessem o cancro, 
para vos mandar fazer este teste.
											Sabendo disto, eu percebi que tinha que haver 
uma maneira melhor.
											Então defini um critério científico
											de como o teste deveria ser
											para diagnosticar com eficácia 
o cancro do pâncreas.
											O teste precisava de ser barato, rápido,
											simples, sensível, selectivo
											e minimamente invasivo.
									","
											Ama aynı zamanda, çok da pahalı,
											test başına 800 dolar,
											ve çoğunlukla da yanlış,
											tüm pankreas kanserlerinin %30'unu kaçırıyor.
											Doktorun bu testi yaptırması için
											kanser olduğunuza dair ciddi şüpheleri olmalı.
											Bunu öğrendiğimde, daha iyi bir yol olması gerektiğini biliyordum.
											Efektif olarak pankreas kanserini tanımlayabilecek
											bir sensör için bilimsel kriterler tanımladım.
											bir sensör için bilimsel kriterler tanımladım.
											Bu sensör ucuz, hızlı,
											basit, duyarlı, seçici
											ve olabildiğince az invazif olmalıydı.
									","
											Mais c'est aussi très coûteux,
											800 dollars par test,
											ils sont grossiers et imprécis,
											et ne détectent pas
30% des cancers du pancréas.
											Il faudrait que votre médecin 
ait des soupçons très poussés
											pour qu'il vous fasse le test.
											En apprenant ceci, je savais 
qu'il devait y avoir une meilleure méthode.
											J'ai donc établi 
un critère scientifique
											pour savoir à quoi 
devrait ressembler un détecteur
											pour diagnostiquer efficacement
le cancer du pancréas.
											Ce détecteur devait être 
peu coûteux, rapide,
											simple, pointu, sélectif,
											et minimalement invasif.
									","
											Und außerdem ist sie extrem teuer;
											jeder Test kostet 800 Dollar,
											und sie ist äußerst ungenau;
											ca. 30 % der Fälle von Bauchspeichel- 
drüsenkrebs werden nicht gefunden.
											Ihr Arzt müsste sehr stark 
den Verdacht hegen, dass Sie Krebs haben,
											damit er Ihnen diesen Test verschreibt.
											Als ich dies erfuhr, wusste ich, 
dass es einen besseren Weg geben musste.
											Also habe ich wissenschaftliche Kriterien 
aufgestellt,
											wie so ein Sensor aussehen müsste,
											um effektiv Bauchspeicheldrüsenkrebs 
zu erkennen.
											Er müsste preiswert, schnell,
											einfach, sensitiv und spezifisch sein
											und minimalinvasiv.
									",A promising test for pancreatic cancer ... from a teenager,Jack Andraka,10:49,"cancer,disease,science,health,medicine,medical research,youth,biology,Internet,molecular biology,nanoscale"
