en,tr,es,title,speaker,duration,tags
"
","
","
",How Twitter needs to change,Jack Dorsey,25:47,"social change,social media,Internet,communication,culture,technology,democracy,entrepreneur"
"
											Chris Anderson:
What worries you right now?
											You've been very open
about lots of issues on Twitter.
											What would be your top worry
											about where things are right now?
									","
											Chris Anderson:
Bugün seni kaygılandıran ne?
											Twitter'la ilgili çok sorun hakkında
hep çok dürüst oldun.
											Şu anki gidişatla ilgili
											en büyük endişen nedir?
									","
											Chris Anderson:
¿Qué les preocupa ahora?
											Han sido muy abiertos sobre
muchos problemas en Twitter.
											¿Cuál es su principal preocupación
											sobre el estado actual de la situación?
									",How Twitter needs to change,Jack Dorsey,25:47,"social change,social media,Internet,communication,culture,technology,democracy,entrepreneur"
"
","
","
",How Twitter needs to change,Jack Dorsey,25:47,"social change,social media,Internet,communication,culture,technology,democracy,entrepreneur"
"
											Jack Dorsey: Right now,
the health of the conversation.
											So, our purpose is to serve
the public conversation,
											and we have seen
a number of attacks on it.
											We've seen abuse, we've seen harassment,
											we've seen manipulation,
											automation, human coordination,
misinformation.
											So these are all dynamics
that we were not expecting
											13 years ago when we were
starting the company.
											But we do now see them at scale,
											and what worries me most
is just our ability to address it
											in a systemic way that is scalable,
											that has a rigorous understanding
of how we're taking action,
											a transparent understanding
of how we're taking action
											and a rigorous appeals process
for when we're wrong,
											because we will be wrong.
									","
											Jack Dorsey:
Şu anki endişem, sohbetiin sağlığı.
											Amacımız herkese açık
sohbete hizmet etmek
											ve buna yönelik bir dizi saldırı oldu.
											Suistimal oldu, taciz oldu,
											manipülasyon oldu,
											otomasyon, insan koordinasyonu,
yanlış bilgi aktarımı oldu.
											Bundan 13 yıl önce
şirketi ilk kurduğumuzda
											tüm bunlar beklemediğimiz dinamiklerdi.
											Ama şimdi gözle görülebilir boyuttalar,
											beni en çok endişelendiren de
buna yanıt verme yeteneğimiz;
											ölçeklendirilebilecek
sistematik bir şekilde,
											özenli bir şekilde
harekete geçtiğimizi gösterecek,
											şeffaf bir şekilde
harekete geçtiğimizi gösterecek,
											yanıldığımızda da özenli bir
itiraz süreci olacak bir şekilde
											çünkü yanılacağız da.
									","
											Jack Dorsey: En este momento,
es la salud de la conversación.
											Nuestro propósito es servir
la conversación pública,
											y hemos visto varios ataques contra ella.
											Hemos visto abuso, acoso, manipulación,
											automatización, coordinación humana
y desinformación.
											Son dinámicas que no esperábamos
											cuando iniciamos la compañía hace 13 años.
											Pero ahora vemos su magnitud,
											y lo que más me preocupa es
nuestra habilidad para abordarlos
											de una forma sistemática ampliable
											que comprenda rigurosamente
la forma en la que actuamos,
											una comprensión clara de
la forma en la que actuamos,
											y un proceso riguroso de apelaciones
para cuando nos equivoquemos,
											porque nos equivocaremos.
									",How Twitter needs to change,Jack Dorsey,25:47,"social change,social media,Internet,communication,culture,technology,democracy,entrepreneur"
"
","
","
",How Twitter needs to change,Jack Dorsey,25:47,"social change,social media,Internet,communication,culture,technology,democracy,entrepreneur"
"
											Whitney Pennington Rodgers:
I'm really glad to hear
											that that's something that concerns you,
											because I think there's been
a lot written about people
											who feel they've been abused
and harassed on Twitter,
											and I think no one more so
than women and women of color
											and black women.
											And there's been data that's come out —
											Amnesty International put out
a report a few months ago
											where they showed that a subset
of active black female Twitter users
											were receiving, on average,
one in 10 of their tweets
											were some form of harassment.
											And so when you think about health
for the community on Twitter,
											I'm interested to hear,
""health for everyone,""
											but specifically: How are you looking
to make Twitter a safe space
											for that subset, for women,
for women of color and black women?
									","
											Whitney Rodgers:
Bunun seni endişelendirdiğini söylemene
											gerçekten memnun oldum
											çünkü Twitter'da rahatsız
ve taciz edildiğini söyleyen
											insanlar hakkında çok şey yazıldı,
											bence bunlar, özellikle de kadınlar
ve farklı etnisiteden kadınlar
											ve siyahi kadınlar.
											Yeni çıkan bazı veriler var —
											Amnesty International
birkaç ay önce bir rapor çıkardı,
											buna göre, bir aktif, siyahi kadın
Twitter kullanı grubunun
											ortalama olarak her 10 tweetinden biri
											bir tür taciz oluyormuş.
											Twitter'daki topluluğun
sağlığı hakkında konuşmuşken
											''herkesin sağlığı'' benim için önemli
											ama şunu bilmek istiyorum,
Twitter'ı bu grup için, kadınlar için,
											farklı etnisiteden ve siyahi kadınlar için
nasıl güvenli kılmayı düşünüyorsun?
									","
											Whitney Pennington Rodgers:
Me alegra mucho saber
											que es algo que les preocupa,
											porque se ha escrito mucho sobre personas
											que sufrieron abuso y acoso en Twitter,
											y creo que ningunas más que las mujeres, 
las mujeres de color
											y las mujeres afroamericanas.
											Y ha surgido información como
											el reporte que publicó Amnistía
Internacional hace unos meses
											que muestra que un subconjunto de
usuarias activas afroamericanas en Twitter
											recibían, en promedio, 
en uno de cada 10 tuits,
											algún tipo de acoso.
											Cuando piensan en salud 
para la comunidad en Twitter,
											me interesa escuchar
que habrá salud para todos
											pero ¿cómo harán que Twitter
sea un lugar seguro
											para las mujeres, las mujeres de color
y las mujeres afroamericanas?
									",How Twitter needs to change,Jack Dorsey,25:47,"social change,social media,Internet,communication,culture,technology,democracy,entrepreneur"
"
","
","
",How Twitter needs to change,Jack Dorsey,25:47,"social change,social media,Internet,communication,culture,technology,democracy,entrepreneur"
"
											JD: Yeah.
											So it's a pretty terrible situation
											when you're coming to a service
											that, ideally, you want to learn
something about the world,
											and you spend the majority of your time
reporting abuse, receiving abuse,
											receiving harassment.
											So what we're looking most deeply at
is just the incentives
											that the platform naturally provides
and the service provides.
											Right now, the dynamic of the system
makes it super-easy to harass
											and to abuse others through the service,
											and unfortunately, the majority
of our system in the past
											worked entirely based on people
reporting harassment and abuse.
											So about midway last year,
we decided that we were going to apply
											a lot more machine learning,
a lot more deep learning to the problem,
											and try to be a lot more proactive
around where abuse is happening,
											so that we can take the burden
off the victim completely.
											And we've made some progress recently.
											About 38 percent of abusive tweets
are now proactively identified
											by machine learning algorithms
											so that people don't actually
have to report them.
											But those that are identified
are still reviewed by humans,
											so we do not take down content or accounts
without a human actually reviewing it.
											But that was from zero percent
just a year ago.
											So that meant, at that zero percent,
											every single person who received abuse
had to actually report it,
											which was a lot of work for them,
a lot of work for us
											and just ultimately unfair.
									","
											JD: Evet.
											Bu oldukça kötü bir durum,
											bir ortama giriyorsunuz,
											tercihen dünya hakkında
bir şey öğrenmek istiyorsunuz
											ve zamanınızın çoğunu
taciz ve saldırıya uğrayarak,
											bunları bildirerek geçiriyorsunuz.
											Bizim de en derin baktığımız şey
											bu platform ve hizmetin doğal olarak
sağladığı özendirici ögeler.
											Şu anda sistemin dinamiği
bu hizmet aracılığıyla
											başkalarını saldırmayı
ve onları taciz etmeyi çok kolay kılıyor
											ve ne yazık ki geçmişte
sistemimizin çoğunluğu
											tamamen saldırı ve tacizi bildiren
insanlar için çalıştı.
											Geçen yılın ortasında
bu soruna yönelik olarak
											çok daha fazla makine öğrenimi
ve derin öğrenme uygulamaya karar verdik,
											ve saldırının olduğu yerde
daha proaktif olacağız,
											böylece yükü mağdurun üstünden
tamamen alabileceğiz.
											Son zamanlarda biraz ilerleme kaydettik.
											Saldırı nitelikle tweetlerin yüzde 38'i
artık proaktif şekilde belirleniyor,
											makine öğrenimli algoritmalar tarafından,
											böylece insanlar
bildirmek zorunda kalmıyor.
											Ama belirlenen tweetler hâlâ
insanlar tarafından denetleniyor,
											yani bir insan denetim yapmadan
hiçbir içerik veya hesabı kaldırmıyoruz.
											Ama bu aşamaya geçen yıldan
bu yana yüzde sıfırdan geldik.
											Yüzde sıfır dediğim durumda,
											saldırı alan her kişinin
bunu bildirmesi gerekiyordu,
											ki bu da hem onlar için
hem de bizim için çok iş demek
											ve sonuç olarak da adil değildi.
									","
											JD: Sí.
											Es una situación terrible
											cuando ingresan a un servicio
											en el que, idealmente,
quieren aprender algo del mundo,
											pero la mayor parte del tiempo
reportan abuso, reciben abuso
											y reciben acoso.
											Estamos investigando a fondo 
los incentivos
											que la plataforma ofrece naturalmente
y el servicio que ofrece.
											Por ahora, la dinámica del sistema
hace que sea muy fácil acosar
											y abusar a otros por medio del servicio
											y, por desgracia, 
la mayor parte de nuestro sistema
											se basaba completamente en que
las personas reportaran el acoso y abuso.
											A mediados del año pasado
decidimos aplicarle
											más aprendizaje automático,
más aprendizaje profundo al problema,
											y tratar de ser más proactivos
en donde sucede el abuso
											para quitarle ese peso de encima
a la víctima.
											Y hemos progresado recientemente.
											Alrededor del 38 % de los tuits
abusivos se identifican proactivamente
											por medio del aprendizaje automático
											para que las personas 
no tengan que reportarlos.
											Pero tenemos personas
revisando los tuits identificados,
											así que no borramos contenido 
o cuentas sin que alguien las revise.
											Y hace un año eso estaba en 0 %.
											Eso significa que, en el 0 %
											cada persona que recibía abuso
tenía que reportarlo,
											lo cual era mucho trabajo para ellos,
mucho trabajo para nosotros
											y a final de cuentas era muy injusto.
									",How Twitter needs to change,Jack Dorsey,25:47,"social change,social media,Internet,communication,culture,technology,democracy,entrepreneur"
"
","
","
",How Twitter needs to change,Jack Dorsey,25:47,"social change,social media,Internet,communication,culture,technology,democracy,entrepreneur"
"
											The other thing that we're doing
is making sure that we, as a company,
											have representation of all the communities
that we're trying to serve.
											We can't build a business
that is successful
											unless we have a diversity
of perspective inside of our walls
											that actually feel these issues
every single day.
											And that's not just with the team
that's doing the work,
											it's also within our leadership as well.
											So we need to continue to build empathy
for what people are experiencing
											and give them better tools to act on it
											and also give our customers
a much better and easier approach
											to handle some of the things
that they're seeing.
											So a lot of what we're doing
is around technology,
											but we're also looking at
the incentives on the service:
											What does Twitter incentivize you to do
when you first open it up?
											And in the past,
											it's incented a lot of outrage,
it's incented a lot of mob behavior,
											it's incented a lot of group harassment.
											And we have to look a lot deeper
at some of the fundamentals
											of what the service is doing
to make the bigger shifts.
											We can make a bunch of small shifts
around technology, as I just described,
											but ultimately, we have to look deeply
at the dynamics in the network itself,
											and that's what we're doing.
									","
											Yaptığımız diğer şey de
şirket olarak şundan emin olmak;
											hizmet etmeye çalıştığımız
tüm toplulukların temsil edilmesi.
											Kendi aramızda
bu sorunları her gün hisseden
											bir bakış açısı çeşitliliğimiz olmazsa
											başarılı bir işletme kuramayız.
											Bu yalnızca asıl işi yapan ekip için değil
											yönetimimiz için de geçerli.
											Bu yüzden insanların yaşadıkları için
empati kurmaya devam etmeli
											ve onlara daha iyi araçlar sunmalı
											ve ayrıca kullanıcılarımıza daha iyi
ve daha kolay bir yaklaşım vermeliyiz ki
											gördüklerinin bir kısmını
daha iyi kullanabilsinler.
											Yaptığımız şeyin çoğu
teknoloji ekseninde dönüyor
											ama ayrıca bu hizmetin
özendirici ögeleri de söz konusu:
											İlk açtığınızda Twitter
sizi ne yapmaya teşvik ediyor?
											Geçmişte,
											çok fazla öfke, çok fazla çete davranışı,
											çok fazla grup tacizi teşvik ediyordu.
											Hizmetin daha büyük değişiklikler
geçirebilmesi için
											bunun temeline daha derin inmemiz lazım.
											Teknoloji ekseninde pek çok
küçük değişiklik yapabiliriz
											ama sonuç olarak bu sosyal ağın
dinamiklerine derinden bakmamız lazım
											ve yaptığımız da bu.
									","
											También nos estamos asegurando
que nosotros, como compañía,
											contemos con representación 
de las comunidades a las que servimos.
											No podemos construir un negocio exitoso
											a menos que tengamos 
una perspectiva interna diversa
											que viva estos problemas día a día.
											Eso no solo aplica para el equipo
que realiza ese trabajo,
											sino también para nuestros directivos.
											Necesitamos continuar desarrollando
empatía por lo que viven las personas
											y darles mejores herramientas 
para defenderse,
											y también darles a nuestros clientes
un acercamiento mejor y más sencillo
											para lidiar con algunas 
de las cosas que ven.
											Mucho de lo que estamos haciendo
se centra en la tecnología,
											pero también estamos enfocándonos
en los incentivos del servicio:
											¿Qué es lo que Twitter los incentiva
a hacer cuando lo abren por primera vez?
											En el pasado,
											incentivó mucha indignación,
comportamiento gregario,
											y acoso grupal.
											Tenemos que investigar a fondo
algunos de los fundamentos
											de lo que está haciendo el servicio
para hacer cambios grandes.
											Podemos hacer muchos cambios pequeños 
con tecnología, como describí,
											pero a final de cuentas tenemos que
observar a fondo las dinámicas en la red,
											y eso estamos haciendo.
									",How Twitter needs to change,Jack Dorsey,25:47,"social change,social media,Internet,communication,culture,technology,democracy,entrepreneur"
