es,de,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
											¿Debería pedir que levanten la mano
											o que aplaudan
											según su generación?
											Porque yo estoy interesado
											en gente de 3 a 12 años.
											(Risas)
											Nadie, ¿no?
											Bueno.
											Voy a hablarles de dinosaurios.
											¿Recuerdan los dinosaurios de cuando eran pequeños?
											(Aplausos)
											Los dinosaurios son bien divertidos.
									","
											Darf ich um ein Handzeichen bitten
											oder um ein Händeklatschen
											von Menschen in verschiedenen Generationen?
											Mich interessiert,
											wie viele von euch zwischen 3 und 12 sind.
											(Lachen)
											Niemand, wie?
											Nun gut.
											Ich werde über Dinosaurier sprechen.
											Könnt ihr euch noch an Dinosaurier erinnern, als ihr so alt wart?
											(Applaus)
											Dinosaurier sind irgendwie lustig.
									","
											Devo pedir um levantar de mãos
											ou um bater de palmas
											às pessoas de diferentes gerações?
											Estou interessado em quantos de vós
											têm de 3 a 12 anos de idade.
											(Risos)
											Ninguém, hã?
											Está bem.
											Bem, vou falar sobre dinossauros.
											Lembram-se dos dinossauros
quando tinham essa idade?
											(Aplausos)
											Os dinossauros até são engraçados, sabem.
									","
											Aramızda farklı nesillerden
											olanlar varsa el kaldırabilir ya da
											el çırpabilir mi?
											3 ile 12 yaş arasında
											kaç kişi var merak ediyorum.
											(Kahkahalar)
											Yok, ha!
											Tamam.
											Dinozorlar hakkında konuşacağım.
											Bu yaşlardayken dinozorları hatırlıyor musunuz?
											(Alkışlar)
											Dinozorlar eğlenceli yaratıklardır, bilirsiniz.
									","
											Dois-je demander un vote à main levée
											ou des applaudissements
											de la part des personnes de différentes générations?
											Je voudrais savoir combien
											ont entre 3 et 12 ans.
											(Rires)
											Personne, hein?
											D'accord.
											Je vais parler des dinosaures.
											Vous vous souvenez des dinosaures quand vous aviez cet âge-là?
											(Applaudissements)
											Les dinosaures sont plutôt marrants, vous savez.
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
											(Risas)
									","
											(Lachen)
									","
											(Risos)
									","
											(Kahkahalar)
									","
											(Rires)
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
											Aunque hoy tomaremos una perspectiva diferente,
											espero que lo noten.
											Así que seré claro:
											intenten no extinguirse.
											(Risas)
											Eso es.
									","
											Wir bewegen uns gerade in eine andere Richtung.
											Ich hoffe, ihr merkt das alle.
											Also gebe ich euch die Botschaft im Voraus:
											Versucht, nicht auszusterben.
											(Lachen)
											Das ist alles.
									","
											Vamos numa direção diferente agora.
											Espero que todos se apercebam disso.
											Portanto, só vos vou dar
a minha mensagem, de antemão:
											Tentem não se tornarem extintos.
											(Risos)
											É isso.
									","
											Şu an farklı bir noktaya doğru ilerliyoruz.
											Umarım hepiniz bunu farketmişsinizdir.
											Size baştan mesajımı vereyim:
											Yok olmamaya çalışın.
											(Kahkahalar)
											İşte bu.
									","
											On va plutôt aller dans une direction différente aujourd'hui.
											J'espère que vous le réalisez tous :
											Alors je vais juste vous passer mon message dès le départ :
											Essayez de ne pas disparaitre.
											(Rires)
											Voilà.
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
											(Risas)
									","
											(Lachen)
									","
											(Risos)
									","
											(Kahkahalar)
									","
											(Rires)
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
											A menudo me preguntan...
											es lo que más me suelen preguntar:
											¿por qué a los niños les gustan tanto los dinosaurios?
											¿Qué les fascina tanto?
											Normalmente respondo:
											""Los dinosaurios eran grandes,
											diferentes y ya no existen"".
											Se han extinguido.
											Bueno, eso no es cierto,
											pero ahora nos pondremos a ello.
											Ahí reside su fuerza:
											grandes, diferentes y extintos.
											El título de mi charla es
											""Dinosaurios multiformes:
											la causa de su extinción prematura"".
									","
											Ich werde oft gefragt –
											eine der eigentlich häufigsten Fragen an mich ist:
											Warum mögen Kinder Dinosaurier so gern?
											Wo liegt die Faszination?
											Und ich sage normalerweise,
											""Dinosaurier waren groß,
											anders und sind weg.""
											Sie sind alle weg.
											Okay, das stimmt nicht,
											aber wir sprechen gleich über Gänse.
											Also das ist ungefähr das Thema:
											groß, anders und weg.
											Der Titel meines Vortrags:
											Gestaltwandelnde Dinosaurier:
											Der Grund für ein vorzeitiges Aussterben.
									","
											As pessoas perguntam-me muito
											— de facto, uma das perguntas
que mais me fazem é:
											""Porque é que as crianças
gostam tanto de dinossauros?
											""Qual é o fascínio?""
											E eu costumo simplesmente dizer:
											""Bem, os dinossauros eram grandes,
											""diferentes e desapareceram"".
											Desapareceram todos.
											Bem, isso não é verdade,
											mas já lá chegaremos daqui a nada.
											Então esse é mais ou menos o tema:
											grandes, diferentes e extintos.
											O título da minha palestra:
											""Dinossauros que Mudam de Forma:
											""A Causa de uma Extinção Prematura"".
									","
											İnsanlar bana çok soru sorarlar.
											Aslında en çok aldığım sorulardan biri şudur:
											""Neden çocuklar dinozorları bu kadar severler?""
											Bu cazibe nereden geliyor?
											Ben de genelde şöyle cevaplarım:
											""Çünkü dinozorlar büyükler,
											farklılar ve şu anda yoklar.""
											Hepsinin soyu tükendi.
											Bu doğru değil tabi,
											ama bir dakikalığına öyle sayacağız.
											Evet, ana fikir böyledir:
											Büyükler, farklılar ve şu anda yoklar.
											Konuşmamın başlığı,
											Şekil Değiştiren Dinozorlar:
											Erken Yok Oluşun Sebebi.
									","
											Les gens me demandent souvent —
											en fait, une des questions que l'on me pose le plus souvent
											c'est, pourquoi les enfants aiment tellement les dinosaures ?
											Pourquoi cette fascination ?
											Et généralement je dis juste,
											« Ben, les dinosaures étaient grands,
											différents et ont disparus. »
											Ils ont tous disparus.
											En fait, ce n'est pas vrai,
											mais nous y reviendrons dans une minute.
											Donc c'est un peu le thème :
											gros, différents et disparus.
											Le titre de mon discours:
											Des dinosaures à la structure mutante:
											La cause d'une disparition prématurée
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
											Entiendo que todos los recordamos
											y sabemos que adoptan muchas formas,
											muchas y diferentes.
											Hace mucho tiempo,
											a principios del siglo XX,
											los museos salieron a buscar dinosaurios.
											Los buscaron y los recogieron.
											Esta historia es interesante.
											Todos los museos querían conseguir uno
											mejor o más grande que los demás
											Si el museo de Toronto salía
											y encontraba un tiranosaurio grande,
											el museo de Ottawa quería uno todavía más grande
											y mejor.
											Y eso le pasaba a todos los museos.
											Así que todos salieron a buscar
											los dinosaurios más grandes y mejores.
											Eso pasaba a principios del siglo XX.
									","
											Ich nehme mal an, wir alle erinnern uns an Dinosaurier.
											Es gibt viele verschiedene Formen.
											Viele verschiedene Arten.
											Vor langer Zeit,
											im frühen 20. Jahrhundert,
											waren Museen auf der Suche nach Sauriern.
											Sie gingen raus und sammelten sie ein.
											Das ist eine interessante Geschichte.
											Jedes Museum wollte einen etwas größeren und besseren,
											als alle anderen hatten.
											Wenn also das Museum in Toronto
											einen Tyrannosaurus gefunden hatte, einen großen,
											dann wollte das Museum in Ottawa einen größeren
											und besseren haben.
											Und so passierte das in allen Museen.
											Alle waren also auf der Suche
											nach all diesen größeren und besseren Dinosauriern.
											Und das war im frühen 20. Jahrhundert.
									","
											Agora, eu presumo
que nos lembremos dos dinossauros.
											E há-os de todas as formas e feitios.
											Muitos tipos diferentes.
											Há muito tempo,
											no início de 1900,
											os museus andavam à procura
de dinossauros.
											Exploravam e recolhiam-nos.
											E esta é uma história interessante.
											Todos os museus queriam um
ligeiramente maior ou melhor,
											que ninguém ainda tivesse.
											Por isso, se o museu em Toronto
											fosse recolher um Tiranossauro,
um dos grandes,
											então, o museu em Otava
queria um maior
											e melhor.
											E isso acontecia em todos os museus.
											Por isso, todos andavam à procura
											destes dinossauros maiores e melhores.
											E isto foi nos inícios de 1900.
									","
											Şimdi, dinozorları hatırladığımızı varsayıyorum.
											Farklı farklı birçok şekilleri var.
											Farklı çeşitleri var.
											Uzun zaman önce,
											1900'lü yılların başlarında,
											müzeler dinozorların peşine düşmüştü.
											Sahaya çıkıp onları topladılar.
											Ve şu çok ilginçtir:
											Her müze diğer müzelerin sahip olduklarından
											daha büyük ve daha iyi bir dinozora sahip olmak istiyordu.
											Eğer Toronto'da bir müze büyük bir
											Tyrannosaur'a sahipse
											Ottawa'da bir başka müze daha büyük
											ve daha iyisini istiyordu.
											Ve bu bütün müzelerde yaşandı.
											Herkes daha büyük ve iyi durumda
											dinozorları araştırıyordu.
											Bu 1900'lü yılların başlarında böyleydi.
									","
											Maintenant, je suppose que nous nous souvenons des dinosaures.
											Et il y'en a beaucoup de formes différentes
											beaucoup d'espèces différentes
											Il y a très longtemps,
											au début des années 1900,
											les musées étaient à la recherche de dinosaures.
											Ils ont commencé à les rassembler.
											Et c'est une histoire intéressante.
											Tous les musées en voulaient un qui soit un peu plus grand ou un peu plus beau
											que celui des autres.
											Donc si le musée de Toronto
											récoltait un Tyrannosaure, un gros,
											alors, le musée d’Ottawa en voulait un plus gros
											et un plus beau.
											Et c'est ce qui s'est passé pour tous les musées.
											Donc tout le monde cherchait
											ces dinosaures plus gros et plus beaux.
											Et c'était au début des années 1900.
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
