fr,en,tr,es,title,speaker,duration,tags
"
","
","
","
",Tools for a better world,Jamais Cascio,16:15,"culture,future,global issues,social change,technology"
"
											Le futur que nous allons créer peut être un futur dont nous serons fiers.
											Je pense à cela tous les jours ; c'est littéralement mon travail.
											Je suis le cofondateur et chroniqueur en chef du site worldchanging.com.
											Alex Steffen et moi avons fondé Worldchanging fin 2003,
											et depuis, nous et notre équipe internationale de contributeurs toujours plus nombreux
											avons présenté les diverses solutions qui évoluent en permanence,
											qui sont là, maintenant et dans un futur proche.
									","
											The future that we will create can be a future that we'll be proud of.
											I think about this every day; it's quite literally my job.
											I'm co-founder and senior columnist at Worldchanging.com.
											Alex Steffen and I founded Worldchanging in late 2003,
											and since then we and our growing global team of contributors
											have documented the ever-expanding variety of solutions
											that are out there, right now and on the near horizon.
									","
											Yaratacağımız gelecek gurur duyacağımız bir gelecek olabilir.
											Her gün bu konu üzerine kafa yoruyorum, bu tam olarak benim işim.
											Worldchanging.com web sitesinin kurucu ortağı ve kıdemli köşe yazarıyım.
											Worldchanging'i Alex Steffen ve ben 2003 yılının sonlarına doğru kurduk,
											ve o zamandan bu yana biz ve dünya çapında büyüyen katılımcı ekibimiz
											tam şu anda mevcut olan ve yakın gelecekte olacak bir çok olası
											çözüm önerilerini kaydetmektedirler.
									","
											El futuro que llegaremos a crear puede ser uno del que estemos orgullosos.
											Pienso en esto todos los días, literalmente ese es mi trabajo.
											Soy cofundador y columnista de Worldchanging.com
											Alex Steffen y yo fundamos Worldchanging.com a finales del 2003
											y desde entonces, junto con nuestro creciente equipo mundial de colaboradores
											hemos documentado la variedad de soluciones, continuamente en expansión,
											que ya existen y que están a punto de existir.
									",Tools for a better world,Jamais Cascio,16:15,"culture,future,global issues,social change,technology"
"
","
","
","
",Tools for a better world,Jamais Cascio,16:15,"culture,future,global issues,social change,technology"
"
											En un peu plus de deux ans, nous avons écrit près de 4000 articles
											— des modèles reproductibles, des outils technologiques, de nouvelles idées —
											qui tous offrent une voie vers un avenir
											plus durable, plus équitable et plus désirable.
											L'accent que nous mettons sur les solutions est assez intentionnel
											Il y a des tonnes d’endroits où aller, en ligne ou pas,
											si ce que vous voulez trouver ce sont les dernières informations
											sur la rapidité avec laquelle nous courons vers l'enfer.
											Nous voulons offrir aux gens une idée de ce qu’ils peuvent faire contre ça.
											Nous nous focalisons en premier sur l'environnement de la planète,
											mais nous nous occupons également des problèmes de développement mondial,
											des conflits internationaux, de l’utilisation responsable des technologies émergentes,
											même de la montée de ce qu’on appelle le Deuxième Superpouvoir
											et de bien d’autres choses.
									","
											In a little over two years, we've written up about 4,000 items —
											replicable models, technological tools, emerging ideas —
											all providing a path to a future
											that's more sustainable, more equitable and more desirable.
											Our emphasis on solutions is quite intentional. 

											There are tons of places to go, online and off,
											if what you want to find is the latest bit of news
											about just how quickly our hell-bound handbasket is moving.
											We want to offer people an idea of what they can do about it.
											We focus primarily on the planet's environment,
											but we also address issues of global development,
											international conflict, responsible use of emerging technologies,
											even the rise of the so-called Second Superpower
											and much, much more.
									","
											2 yıl gibi kısa sürede, 4000 tane konu hakkında yazılar kaleme aldık—
											kopyalanabilen modeller, teknolojik aletler, ortaya çıkan fikirler gibi—
											daha tarafsız, daha sürdürülebilir ve daha arzu edilir olan
											geleceğe bir yol açan her şey hakkında.
											Bizim ""çözüm"" üzerindeki vurgumuz tamamen kasıtlı
											Gidilecek, ziyaret edilecek yüzlerce yer var,
											eğer bulmak istediğiniz en son haber kırıntıları ise
											ve bu haberler birinin hızlıca cehenneme gitmesiyle alakalıysa.
											Ancak, biz insanlara ne yapabilecekleri hakkında fikirler öneriyoruz.
											Biz, öncelikle gezegenin habitatına odaklanıyoruz
											ayrıca, şu konulara da eğiliyoruz; küresel gelişme ile ilgili sorunlar,
											uluslararası anlaşmazlıklar, ortaya çıkan teknolojilerin sağduyulu kullanımı,
											yükselen ikinci süper güç hakkında bile
											ve daha, daha fazlası.
									","
											En poco más de dos años hemos escrito acerca de 4.000 artículos
											—modelos replicables, herramientas tecnológicas, ideas emergentes—
											que señalan una ruta hacia un futuro
											más sostenible, más equitativo y más deseable.
											Nuestro énfasis en las soluciones es realmente deliberado.
											Hay miles de sitios que consultar, en línea o no,
											cuando lo que queremos encontrar son las últimas noticias
											sobre la rapidez con la que nos estamos acercando al desastre.
											Nosotros queremos darles a las personas una idea de qué pueden hacer al respecto.
											Nos enfocamos primordialmente en el medio ambiente del planeta,
											pero también enfrentamos problemas de desarrollo a nivel global,
											conflictos internacionales, el uso responsable de las nuevas tecnologías,
											incluso el auge de la llamada Segunda Superpotencia [opinión pública mundial]
											y mucho, mucho más.
									",Tools for a better world,Jamais Cascio,16:15,"culture,future,global issues,social change,technology"
"
","
","
","
",Tools for a better world,Jamais Cascio,16:15,"culture,future,global issues,social change,technology"
"
											L’étendue des solutions dont nous discutons est en fait assez variée,
											mais cela reflète à la fois la variété des défis que nous devons relever
											et les types d’innovations qui nous permettrons de le faire.
											Un petit échantillon en fait ne peut qu'effleurer la surface,
											mais pour vous donner une idée de ce que nous faisons :
											des instruments pour les secours rapides aux populations sinistrées,
											comme cet abri gonflable ;
											des usages innovants des biosciences,
											comme une fleur qui change de couleur en présence de mines;
											des designs à très haut rendement pour les maisons et les bureaux ;
											la génération d’électricité bien répartie à travers l’énergie solaire, l’énergie éolienne,
											l’énergie des océans et d’autres sources d’énergie propres ;
											les véhicules du futur à très très haute efficience énergétique ;
											les véhicules à très haute efficience énergétique qu’on peut avoir aujourd’hui ;
											et un meilleur design urbain,
											pour que vous ne soyez pas obligés de rouler autant en premier lieu.
											les approches biomimétiques à la création qui tirent profit
											des efficiences des modèles naturels tant dans les véhicules que dans les constructions ;
											des projets informatiques bien répartis
											qui aideront à modeler le futur du climat.
											Ensuite, un certain nombre de sujets dont nous avons parlé cette semaine
											à TED sont des choses que nous avons étudiées à Worldchanging :
											les créations du berceau au berceau, les Fab Labs du Mit,
											les conséquences d’une extrême longévité,
											le projet One Laptop Per Child, même Gapminder.
									","
											The scope of solutions that we discuss is actually pretty broad,
											but that reflects both the range of challenges that need to be met
											and the kinds of innovations that will allow us to do so.
											A quick sampling really can barely scratch the surface,
											but to give you a sense of what we cover:
											tools for rapid disaster relief,
											such as this inflatable concrete shelter;
											innovative uses of bioscience,
											such as a flower that changes color in the presence of landmines;
											ultra high-efficiency designs for homes and offices;
											distributed power generation using solar power, wind power,
											ocean power, other clean energy sources;
											ultra, ultra high-efficiency vehicles of the future;
											ultra high-efficiency vehicles you can get right now;
											and better urban design, 

											so you don't need to drive as much in the first place; 

											bio-mimetic approaches to design that take advantage of
											the efficiencies of natural models in both vehicles and buildings;
											distributed computing projects
											that will help us model the future of the climate.
											Also, a number of the topics that we've been talking about this week
											at TED are things that we've addressed in the past on Worldchanging:
											cradle-to-cradle design, MIT's Fab Labs,
											the consequences of extreme longevity,
											the One Laptop per Child project, even Gapminder.
									","
											Çözümlerin kapsamı ise gerçekten epeyce geniş,
											ama bu karşılaşılması gereken zorlukların aralığıyla,
											ortaya koyacağımız çeşitli yenilikleri yansıtıyor.
											Uğraştığımız şeylerle ilgili size bir fikir vermesi açısından
											küçük bir örnek:
											Şişirilebilir beton sığınak gibi
											hızlı afet yardımı aleti;
											yer mayınlarının varlığında renk değiştiren çiçekler gibi
											biyoteknolojinin yenilikçi kullanımı;
											çok yüksek verimli ev ve ofis dizaynları;
											güneş enerjisi, rüzgar enerjisi, okyanus enerjisi ve diğer temiz enerji kaynaklarını
											kullanan enerji jeneratörleri;
											geleceğin çok, çok yüksek verimli araçları;
											şu anda alabileceğiniz çok yüksek verimli araçlar;
											ve daha iyi şehir dizaynları ki
											böylece araç kullanmak için sürücüye ihtiyacınız olmayacak.
											Biyo-taklit yaklaşımları bir avantaj olarak değerlendirip
											verimli doğal ev ve bina modelleri tasarlamak;
											iklimlerin geleceğini modellemeye
											yardımcı olan dağıtılmış bilgisayar projeleri.
											Ayrıca, bu hafta TED'de konuştuğumuz bir kaç tema
											ve geçmişte Worldchanging'de bahsettiğimiz şeyler;
											beşikten beşiğe tasarımlar, MIT'in büyük laboratuarları
											aşırı uzun yaşamın sonuçları,
											her çocuga bir laptop projesi ve Gapminder.
									","
											El ámbito de las soluciones que discutimos es realmente amplio,
											pero eso también refleja la gama de desafíos que debemos enfrentar
											y los tipos de innovaciones que nos permitirán hacerlo.
											Una muestra rápida solo puede ser superficial,
											pero para darles una idea de lo que abarcamos:
											herramientas para la atención rápida de desastres,
											tales como este refugio inflable de concreto;
											usos innovadores de las biociencias,
											como unas flores que cambian de color en presencia de minas terrestres;
											diseños ultraeficientes de casas y oficinas;
											generación de energía distribuida usando energía solar, energía eólica,
											energía oceánica, otras fuentes limpias de energía;
											vehículos ultraeficientes del futuro;
											vehículos ultraeficientes que ya están disponibles;
											y mejor diseño urbano,
											para que, en primer lugar, no sea necesario conducir demasiado;
											enfoques biomiméticos del diseño, para aprovechar las
											eficiencias de los modelos naturales tanto en vehículos como edificios;
											proyectos de computación distribuida
											que nos ayudarán a modelar el futuro del clima.
											También algunos de los temas de los que hemos hablado esta semana
											en TED son cosas que en el pasado hemos trabajado en Worldchanging:
											el diseño ""de la cuna a la cuna"", el programa Fab Labs de MIT,
											las consecuencias de la longevidad extrema,
											el proyecto ""Una laptop por niño"", incluso Gapminder.
									",Tools for a better world,Jamais Cascio,16:15,"culture,future,global issues,social change,technology"
"
","
","
","
",Tools for a better world,Jamais Cascio,16:15,"culture,future,global issues,social change,technology"
"
											En tant qu’enfant de la Génération X, né au milieu des années 60
											qui fonce bien trop vite mon 40ème anniversaire,
											j’ai un penchant naturel pour le pessimisme. Mais travailler à Worldchanging
											m’a convaincu, à ma grande surprise,
											que les réponses efficaces aux problèmes du monde
											sont pourtant possible.
											En outre, je me suis rendu compte que se focaliser uniquement sur des résultats négatifs
											peut vous empêcher de voir la possibilité même de réussite.
											La scientifique sociale Evelin Lindner a observé,
											que le pessimisme est un luxe des périodes où tout va bien ...
											Dans les temps difficiles, le pessimisme est
											une sentence de mort qu’on s’auto-inflige et qui s’auto-accomplit »
											La vérité est que nous pouvons construire un monde meilleur,
											et nous pouvons le faire maintenant.
											Nous avons les outils : nous en avons eu un aperçu il y a un moment,
											et nous en trouvons de nouveaux tout le temps.
											Nous avons les connaissances,
											et notre compréhension de la planète progresse chaque jour.
											Et, plus important, nous savons pourquoi nous le faisons :
											nous avons un monde qui a besoin d’être réparé, et personne ne va le faire à notre place.
									","
											As a born-in-the-mid-1960s Gen X-er,
											hurtling all too quickly to my fortieth birthday,
											I'm naturally inclined to pessimism. But working at Worldchanging
											has convinced me, much to my own surprise,
											that successful responses to the world's problems
											are nonetheless possible.
											Moreover, I've come to realize that focusing only on negative outcomes
											can really blind you to the very possibility of success.
											As Norwegian social scientist Evelin Lindner has observed,
											""Pessimism is a luxury of good times ...
											In difficult times, pessimism is
											a self-fulfilling, self-inflicted death sentence.""
											The truth is, we can build a better world,
											and we can do so right now.
											We have the tools: we saw a hint of that a moment ago,
											and we're coming up with new ones all the time.
											We have the knowledge,
											and our understanding of the planet improves every day.
											Most importantly, we have the motive:
											we have a world that needs fixing, and nobody's going to do it for us.
									","
											1960'larda doğmuş X neslinden biri olarak,
											her şey bana acı veriyordu.
											Ben doğal olarak karamsar olmaya meyilliyim. Ama Worldchanging'de
											çalışmak beni, şaşırmama rağmen,
											dünyanın sorunlarına verilecek başarılı cevapların her şeye rağmen
											mümkün olduğuna ikna etti.
											Dahası, şu sonuca ulaştım ki, sadece olumsuz sonuçlara odaklanmak
											insanı gayet olası başarılara karşı körleştiriyor.
											Norveçli sosyal bilimci Evelin Lindner'in söylediği gibi,
											""Karamsarlık güzel zamanların lüksüdür...
											Zor zamanlarda, karamsarlık
											kendini doğrulayan, kendi kendine olan bir idam""
											Gerçek şu ki, daha iyi bir dünya inşa edebiliriz,
											ve bunu şimdi yapabiliriz.
											Araçlara sahibiz; buna dair bir ipucu gördük demin,
											ve biz yeni şeylerle çıkageliyoruz.
											Bilgiye sahibiz,
											ve gezegeni kavrayışımız her geçen gün gelişiyor.
											Daha da önemlisi, istekliyiz.
											Bizler imar edilmesi gereken bir dünyaya sahibiz ve kimse bunu bizim için yapmayacak.
									","
											Como alguien nacido a mediados de los sesenta, parte de la Generación X
											y acercándome demasiado rápido a mi cuadragésimo cumpleaños,
											estoy inclinado naturalmente hacia el pesimismo. Pero trabajar en Worldchanging
											me ha convencido, para mi sorpresa,
											de que hallar respuestas exitosas a los problemas del mundo
											es posible, a pesar de todo.
											Es más, me he dado cuenta de que concentrarse sólo en los resultados negativos
											puede realmente cegarnos a las diversas posibilidades de éxito.
											Como ha señalado la científica social noruega Evelin Lindner,
											""El pesimismo es un lujo de los buenos tiempos...
											En tiempos difíciles, el pesimismo es
											una sentencia de muerte autoinducida.""
											La verdad es que podemos construir un mundo mejor,
											y que podemos hacerlo ahora mismo.
											Tenemos las herramientas, vimos una muestra hace un momento,
											y estamos ideando nuevas constantemente.
											Tenemos el conocimiento,
											y nuestra comprensión del planeta mejora día con día.
											Pero lo más importante es que tenemos el motivo:
											vivimos en un mundo que debemos reparar, y nadie va hacerlo por nosotros.
									",Tools for a better world,Jamais Cascio,16:15,"culture,future,global issues,social change,technology"
"
","
","
","
",Tools for a better world,Jamais Cascio,16:15,"culture,future,global issues,social change,technology"
"
											Beaucoup des solutions que mes collègues et moi cherchons
											et écrivons chaque jour ont certains aspects importants en commun:
											la transparence, la collaboration, une volonté d’expérimenter,
											et une gratitude envers la science – ou, mieux encore, la science!
											(Rires)
											La plupart des modèles, des instruments et des idées de Worldchanging
											incluent des combinaisons de ces caractéristiques, je veux donc vous donner
											quelques exemples concrets sur la manière dont ces principes se combinent
											pour changer le monde.
									","
											Many of the solutions that I and my colleagues seek out
											and write up every day have some important aspects in common:
											transparency, collaboration, a willingness to experiment,
											and an appreciation of science — or, more appropriately, science!
											(Laughter)
											The majority of models, tools and ideas on Worldchanging
											encompass combinations of these characteristics, so I want to give you
											a few concrete examples of how these principles combine
											in world-changing ways.
									","
											Ben ve meslektaşlarımın arayıp bulduğu ve hergün kaleme aldığı
											bir çok çözümün bazı ortak önemli hususiyetleri var;
											şeffaflık, işbirliği, tecrübe etme istekliliği,
											ve bilimin takdir edilmesi ya da daha yerinde olarak, bilim!
											(Gülüşmeler)
											Wordchanging'deki modeller, araçlar ve fikirlerin çoğunluğu,
											bu özelliklerin kombinasyonlarını kapsıyor, onun için size
											bu prensiplerin dünyayı-değiştirir tarzda nasıl birleştiğine
											dair bir kaç somut örnek vermek istiyorum.
									","
											Muchas de las soluciones que mis colegas y yo buscamos
											y redactamos a diario, tienen algunos aspectos importantes en común:
											transparencia, colaboración, el deseo de experimentar,
											y aprecio por la ciencia o, mejor dicho, ¡la ciencia!
											(Risas)
											La mayoría de los modelos, las herramientas y las ideas en Worldchanging
											incluyen combinaciones de estas características, así que quiero darles
											algunos ejemplos concretos de cómo estos principios se combinan
											en formas capaces de cambiar el mundo.
									",Tools for a better world,Jamais Cascio,16:15,"culture,future,global issues,social change,technology"
