en,fr,pt,title,speaker,duration,tags
"
","
","
",Origami robots that reshape and transform themselves,Jamie Paik,12:26,"robots,future,design,science,demo,space,technology,innovation,engineering"
"
											As a roboticist,
I get asked a lot of questions.
											""When we will they start
serving me breakfast?""
											So I thought the future of robotics
would be looking more like us.
											I thought they would look like me,
											so I built eyes
that would simulate my eyes.
											I built fingers that are dextrous
enough to serve me ...
											baseballs.
									","
											Comme je suis roboticienne,
on me pose beaucoup de questions.
											« Quand vont-ils me servir
le petit déjeuner ? »
											Alors, j'ai imaginé que l'avenir 
de la robotique nous ressemblerait plus.
											J'ai pensé qu'il me ressemblerait,
											j'ai donc construit des yeux,
pour simuler les miens.
											J'ai construit des doigts
suffisamment habiles pour m'envoyer...
											des balles de base-ball.
									","
											Como engenheira de robótica,
fazem-me muitas perguntas.
											""Quando me vão servir o pequeno almoço?""
											Eu pensava que o futuro da robótica
seria mais parecido connosco.
											Pensava que os robôs
seriam parecidos comigo
											por isso construí olhos
que simulavam os meus.
											Construí dedos hábeis para me servir
											bolas de beisebol.
									",Origami robots that reshape and transform themselves,Jamie Paik,12:26,"robots,future,design,science,demo,space,technology,innovation,engineering"
"
","
","
",Origami robots that reshape and transform themselves,Jamie Paik,12:26,"robots,future,design,science,demo,space,technology,innovation,engineering"
"
											Classical robots like this
											are built and become functional
											based on the fixed number
of joints and actuators.
											And this means their functionality
and shape are already fixed
											at the moment of their conception.
											So even though this arm
has a really nice throw —
											it even hit the tripod at the end—
											it's not meant for cooking you
breakfast per se.
											It's not really suited for scrambled eggs.
									","
											Des robots standard comme celui-ci
											sont construits et deviennent fonctionnels
											grâce à un nombre fixe
d'articulations et de mécanismes.
											Ce qui signifie que leurs fonctionnalités
et leur forme sont déjà fixées
											au moment de leur conception.
											Alors, même si ce bras
a un très bon lancer –
											il a même touché le trépied au final –
											il n'est pas conçu pour
vous préparer un petit déjeuner.
											Il n'est pas très adapté
pour préparer les œufs brouillés.
									","
											Robôs clássicos como este
											constroem-se e funcionam
											com base num número fixo
de juntas e atuadores.
											O que significa que a sua funcionalidade
e forma já estão fixos
											no momento da sua conceção.
											Apesar de este braço
ter um ótimo serviço
											— até atingiu o tripé no final —
											não foi feito para nos
cozinhar o pequeno almoço.
											Não é adequado para fazer ovos mexidos.
									",Origami robots that reshape and transform themselves,Jamie Paik,12:26,"robots,future,design,science,demo,space,technology,innovation,engineering"
"
","
","
",Origami robots that reshape and transform themselves,Jamie Paik,12:26,"robots,future,design,science,demo,space,technology,innovation,engineering"
"
											So this was when I was hit
by a new vision of future robotics:
											the transformers.
											They drive, they run, they fly,
											all depending on the ever-changing,
new environment and task at hand.
											To make this a reality,
											you really have to rethink
how robots are designed.
											So, imagine a robotic module
in a polygon shape
											and using that simple polygon shape
											to reconstruct multiple different forms
											to create a new form of robot
for different tasks.
											In CG, computer graphics,
it's not any news —
											it's been done for a while, and that's how
most of the movies are made.
											But if you're trying to make a robot
that's physically moving,
											it's a completely new story.
											It's a completely new paradigm.
									","
											C'est alors que j'ai eu
une nouvelle vision des robots du futur :
											les Transformers.
											Ils conduisent, ils courent, ils volent,
											tout dépend de la tâche à accomplir et du
nouveau contexte en perpétuelle évolution.
											Pour en faire une réalité,
											il faut repenser à
comment les robots sont conçus.
											Imaginons un module robotique
en forme de polygone
											et utilisons cette forme simple
											pour reconstituer
plein de formes différentes
											et créer un nouveau genre de robot
pour des tâches variées.
											En infographie, ce n'est pas nouveau –
											cela existe depuis un moment,
la plupart des films sont faits ainsi.
											Mais, si vous essayez de construire
un robot qui bouge physiquement,
											c'est une tout autre histoire,
											un paradigme totalement nouveau.
									","
											Foi então que tive uma nova visão
da robótica do futuro:
											os ""transformers"".
											Eles conduzem, correm, voam,
											dependendo do novo ambiente
em constante alteração
											e da tarefa em questão.
											Para tornar isto realidade,
											temos de repensar
como são construídos os robôs.
											Imaginem um módulo robótico
em forma de polígono
											e imaginem utilizar
essa forma de polígono
											para reconstruir
várias formas diferentes
											e criar uma nova forma de robô
para diferentes tarefas.
											Em computação gráfica, não é novidade.
											Já se faz há algum tempo, e a maioria
dos filmes são feitos dessa forma.
											Mas, se estamos a tentar fazer um robô
que se move fisicamente,
											é completamente diferente.
											É um paradigma completamente novo.
									",Origami robots that reshape and transform themselves,Jamie Paik,12:26,"robots,future,design,science,demo,space,technology,innovation,engineering"
"
","
","
",Origami robots that reshape and transform themselves,Jamie Paik,12:26,"robots,future,design,science,demo,space,technology,innovation,engineering"
"
											But you've all done this.
											Who hasn't made a paper airplane,
paper boat, paper crane?
											Origami is a versatile
platform for designers.
											From a single sheet of paper,
you can make multiple shapes,
											and if you don't like it,
you unfold and fold back again.
											Any 3D form can be made
from 2D surfaces by folding,
											and this is proven mathematically.
											And imagine if you were to have
an intelligent sheet
											that can self-fold into any form it wants,
											anytime.
											And that's what I've been working on.
											I call this robotic origami,
											""robogami.""
									","
											Pourtant, vous l'avez tous fait.
											Qui n'a pas créé un avion,
un bateau ou une grue en papier ?
											L'origami est un mode d'expression
polyvalent pour les designers.
											D'une feuille de papier, on peut créer
plein de formes différentes
											et si vous n'aimez pas le résultat,
il suffit de déplier et plier à nouveau.
											Chaque forme en 3D peut être réalisée
à partir de surfaces 2D en les pliant,
											c'est démontré mathématiquement.
											Et imaginez que vous ayez
une feuille intelligente,
											capable de se plier elle-même
dans n'importe quelle forme,
											à tout moment.
											C'est sur quoi j'ai travaillé.
											J'appelle cet origami robotique
											un « robogami ».
									","
											Mas já todos fizeram isto.
											Quem já não fez um avião,
um barco ou um pássaro de papel?
											O origami é uma plataforma versátil
para os construtores.
											Com uma só folha de papel,
podemos fazer várias formas
											e, se não gostarmos, desdobramos
e voltamos a dobrar.
											É possível fazer qualquer forma 3D
ao dobrar superfícies 2D,
											e isto prova-se de forma matemática.
											Imaginem que têm uma folha inteligente
											que se dobra sozinha em qualquer forma,
											em qualquer momento.
											É nisso que tenho estado a trabalhar.
											Chamo-lhe origami robótico,
											""robogami"".
									",Origami robots that reshape and transform themselves,Jamie Paik,12:26,"robots,future,design,science,demo,space,technology,innovation,engineering"
"
","
","
",Origami robots that reshape and transform themselves,Jamie Paik,12:26,"robots,future,design,science,demo,space,technology,innovation,engineering"
"
											This is our first robogami transformation
											that was made by me about 10 years ago.
											From a flat-sheeted robot,
											it turns into a pyramid
and back into a flat sheet
											and into a space shuttle.
											Quite cute.
									","
											Voici la première transformation
de notre robogami
											que j'ai réalisée
il y a une dizaine d'années.
											D'une feuille plate, le robot
											se transforme en pyramide,
à nouveau en feuille plate,
											puis en navette spatiale.
											C'est plutôt mignon.
									","
											Esta é a nossa primeira
transformação ""robogami""
											feita por mim há cerca de 10 anos.
											De um robô de folha plana,
											transforma-se numa pirâmide
e novamente numa folha plana
											e depois numa nave espacial.
											Muito querido.
									",Origami robots that reshape and transform themselves,Jamie Paik,12:26,"robots,future,design,science,demo,space,technology,innovation,engineering"
