pt,en,title,speaker,duration,tags
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Sou pintora.
											Faço pinturas figurativas
em grande escala,
											ou seja, pinto pessoas,
											assim.
											Mas estou cá para vos contar algo pessoal,
											que mudou o meu trabalho e perspetiva.
											É algo por que todos passamos,
											e espero que a minha experiência
possa ser útil a alguém.
									","
											I'm a painter.
											I make large-scale figurative paintings,
											which means I paint people
											like this.
											But I'm here tonight to tell you
about something personal
											that changed my work and my perspective.
											It's something we all go through,
											and my hope is that my experience
may be helpful to somebody.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Para vos dar um pouco de contexto,
eu sou a mais nova de oito filhos.
											Sim, oito crianças na minha família.
											Tenho seis irmãos mais velhos e uma irmã.
											Para vos dar uma ideia do que isso é,
											quando a minha família ia de férias,
											levávamos um autocarro.
									","
											To give you some background on me,
I grew up the youngest of eight.
											Yes, eight kids in my family.
											I have six older brothers and a sister.
											To give you a sense of what that's like,
											when my family went on vacation,
											we had a bus.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											(Risos)
									","
											(Laughter)
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											A minha supermãe guiava-nos pela cidade,
											para as nossas várias atividades
extracurriculares
											— não no autocarro.
											Também tínhamos um carro normal.
											Ela levava-me a aulas de arte,
											e não só a uma ou duas.
											Ela levou-me a todas as aulas disponíveis
entre os 8 e os 16 anos,
											porque eu só queria fazer isso.
											Ela até foi a uma aula comigo
em Nova Iorque.
									","
											My supermom would drive us all over town
											to our various after-school activities —
											not in the bus.
											We had a regular car, too.
											She would take me to art classes,
											and not just one or two.
											She took me to every available art class
from when I was eight to 16,
											because that's all I wanted to do.
											She even took a class with me
in New York City.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Sendo a mais nova de oito,
aprendi algumas técnicas de sobrevivência.
											Regra número um:
											não deixes o teu irmão mais velho
ver-te fazer algo estúpido.
											Aprendi a ser calma e arrumadinha,
											a seguir as regras
e manter-me na linha.
									","
											Now, being the youngest of eight,
I learned a few survival skills.
											Rule number one:
											don't let your big brother
see you do anything stupid.
											So I learned to be quiet and neat
											and careful to follow the rules
and stay in line.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
