pt,es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Why work doesn't happen at work,Jason Fried,15:21,"TEDx,business,creativity,culture,design,technology,work"
"
											Vou falar sobre o trabalho,
											especificamente porque é
que parece que as pessoas
											não conseguem fazê-lo
no local de trabalho,
											um problema que,
praticamente, todos nós temos.
											Comecemos pelo princípio.
											Temos empresas, organizações não-lucrativas
e instituições de caridade
											e todos estes grupos
											que têm empregados
ou alguma espécie de voluntários.
											Esperam que as pessoas
que trabalham para elas
											façam um excelente trabalho.
											Eu, pelo menos, espero.
											Pelo menos um bom trabalho, esperemos,
											talvez um excelente trabalho.
											O costume é decidir que todas as pessoas
											devem estar concentradas num só local
											para fazer esse trabalho.
											Numa empresa, numa instituição de caridade
ou numa organização de qualquer tipo,
											— a não ser que trabalhem em África,
se tiverem sorte —
											a maioria das pessoas tem de ir
para o escritório todos os dias.
											Então essas empresas
constroem escritórios.
											Compram um edifício,
ou alugam um edifício.
											ou ocupam algum espaço,
											e enchem o espaço com coisas.
											Enchem-no com mesas, ou secretárias,
											cadeiras, equipamento informático,
											software, acesso à Internet,
											talvez um frigorífico,
talvez outras coisas,
											e esperam que os seus empregados,
ou os voluntários,
											vão para esse local todos os dias
para fazer um excelente trabalho.
											Parece perfeitamente razoável pedir isso.
									","
											Voy a hablar sobre el trabajo,
											y, específicamente, de por qué la gente no puede
											hacer su trabajo en el trabajo,
											que es un problema común a todos.
											Pero empecemos por el principio.
											Existen compañías, ONGs y organizaciones benéficas
											y todos esos grupos
											que tienen empleados
											o voluntarios de algún tipo.
											Y esperan que estas personas que trabajan para ellos
											hagan un gran trabajo;
											al menos yo lo esperaría.
											Por lo menos se espera un buen trabajo, al menos que sea bueno
											y, con suerte, que sea un gran trabajo.
											Y lo que suelen hacer, por lo general,
											es juntar a todas esas personas en un mismo lugar
											para que hagan ese trabajo.
											Así, en una empresa, una organización benéfica o de otro tipo,
											por lo general -a menos que tengamos la suerte
											de estar en África-
											la mayoría de la gente va a la oficina cada día.
											Así que estas empresas
											construyen oficinas.
											Van y compran un edificio, o lo alquilan,
											o arriendan un lugar,
											y llenan el espacio con cosas.
											Lo ocupan con mesas, escritorios,
											sillas, equipos informáticos,
											software,
											acceso a internet,
											quizá un refrigerador, tal vez otras cosas,
											y esperan que sus empleados, o sus voluntarios,
											vayan a ese lugar todos los días a hacer un gran trabajo.
											Parece perfectamente razonable pedir eso.
									","
											iş ile ilgili konuşacağım,
											özellikle neden insanlar iş
											yerinde iş yapmak istemiyor,
											ki bu hepimizde olan bir problem.
											Ama hadi buna baştan başlayalım.
											Şirketlerimiz var, kar amacı gütmeyen kurumlar var ve yardım kuruluşları var
											ve bütün bu grupların
											çalışanları ya da bir çeşit
											gönüllüleri var.
											Ve onlar bu insanların onlar için çalışmalarını bekliyor
											güzel bir iş çıkarmalarını—
											umuyorum ki, en az.
											En azından iyi bir iş, umutla, en azından, bu iyi bir iş—
											umutla iyi iş.
											Ve genelde yaptıkları iş yapmak için
											bütün bu insanların bir yerde
											bir araya gelmeleri gerektiğine karar vermek.
											Bir şirket, ya da hayır kurumu, ya herhangi bir çeşit organizasyon
											genel olarak —Afrikada çalışmadığınız sürece,
											bunu yapacak kadar şanslıysanız —
											genelde çoğu insan her gün ofise gitmek zorundadır.
											Ve bu şirketler,
											ofisleri yaparlar.
											Bina satın alırlar, ya da bir bina kiralarlar,
											ya da bir alan kiralarlar,
											ve bu alanı eşyalarla doldururlar.
											Tablolar ile doldururlar, ya da masalarla,
											sandalyalerle, bilgisayar ekipmanları ile,
											yazılım,
											internet erişimi,
											belki bir buzdolabı, ya da bir kaç başka şey,
											ve çalışanlarından ya da gönüllülerinden,
											her gün oraya gelip iyi iş çıkarmalarını beklerler.
											Görünüyor ki bunu istemek tam olarak mantıklı.
									","
											Je vais donc vous parler du travail,
											en particulier pourquoi les gens ne semblent pas
											parvenir à faire leur travail au travail,
											ce qui est un problème que nous avons tous plus ou moins.
											Mais commençons par le commencement.
											Nous avons donc des entreprises, des organisations bénévoles, et des associations caritatives
											et tous ces groupes qui
											ont des employés
											ou des volontaires.
											Et ils s'attendent à ce que ces gens qui travaillent pour eux
											fassent du super travail —
											j'espère, au moins.
											Au moins du bon travail, on l'espère, au moins, c'est du bon travail —
											avec un peu de chance, du super travail.
											Et donc ce qu'ils font en général, c'est qu'ils décident
											que tous ces gens doivent se réunir en un seul lieu
											pour faire ce travail.
											Donc une compagnie, ou une organisation caritative, ou une organisation quelconque,
											en général, à moins que vous travailliez en Afrique,
											si vous avez cette chance —
											la plupart des gens doivent se rendre au bureau le matin.
											Et donc ces compagnies
											construisent des bureaux.
											Ils vont acheter un immeuble ou louer un immeuble,
											ou prendre un bail pour un espace,
											et ils remplissent l'espace avec des trucs.
											Ils le remplissent avec des tables, des bureaux,
											des chaises, de l'équipement informatique,
											des logiciels,
											l'accès Internet,
											peut-être un réfrigérateur, peut-être un certain nombre d'autres choses,
											et ils attendent de leurs employés, ou leurs bénévoles,
											qu'ils viennent sur ce lieu tous les jours pour faire du super boulot.
											Il semble parfaitement raisonnable de se poser la question.
									","
											Ich werde über Arbeit sprechen,
											im Besonderen darüber, warum die Leute anscheinend
											nicht gut am Arbeitsplatz arbeiten können,
											ein Problem, das wir alle haben.
											Aber lassen Sie mich am Anfang beginnen.
											Es gibt also Firmen und Vereine und karitative Einrichtungen
											und all diese Gruppen,
											die Angestellte haben
											oder ehrenamtliche Kräfte.
											Und sie erwarten von diesen Leuten, die für sie arbeiten,
											dass sie sehr gute Arbeit machen –
											das hoffe ich zumindest.
											Wenigstens gute Arbeit, hoffentlich ist es zumindest gute Arbeit –
											am besten sehr gute Arbeit.
											Normalerweise beschließen sie,
											dass all diese Leute an einem Ort zusammenkommen müssen,
											um diese Arbeit zu verrichten.
											Eine Firma oder eine karitative Einrichtung oder eine sonstwie geartete Organisation
											– wenn man nicht gerade in Afrika arbeitet,
											wenn man das Glück hat, das zu tun –
											die meisten Leute müssen jeden Tag ins Büro.
											Also bauen diese Firmen
											Bürogebäude.
											Sie gehen los und kaufen ein Gebäude oder mieten es,
											oder mieten Bürofläche,
											und stellen die Räume mit Kram zu.
											Sie stellen da Tische hin, Schreibtische,
											Stühle, Computerzubehör,
											Software,
											Internetanschluss,
											vielleicht einen Kühlschrank und ein paar andere Sachen,
											und sie erwarten von ihren Angestellten oder ihren Ehrenamtlichen,
											dass sie jeden Tag dahin kommen, um sehr gute Arbeit zu tun.
											Es ist scheinbar sehr vernünftig, das zu verlangen.
									",Why work doesn't happen at work,Jason Fried,15:21,"TEDx,business,creativity,culture,design,technology,work"
"
","
","
","
","
",Why work doesn't happen at work,Jason Fried,15:21,"TEDx,business,creativity,culture,design,technology,work"
"
											No entanto, se forem falar com as pessoas
											e mesmo se se questionarem a si mesmos,
											perguntam-se:
											""Onde querem ir, quando precisam
de realizar qualquer coisa?""
											Vão descobrir que as pessoas não respondem
											o que as empresas pensariam.
											Se perguntarem às pessoas: 
""Onde precisa de ir
											""quando precisam de fazer qualquer coisa?""
											habitualmente obtêm-se
três tipos de respostas diferentes.
											Uma é um tipo de local, ou uma divisão.
											Outra, é um objeto em andamento.
											E o terceiro é um espaço de tempo.
									","
											Pero si uno habla realmente con la gente
											o se lo cuestiona uno mismo,
											y te preguntas,
											¿dónde quieres ir cuando realmente necesitas terminar algo?
											Verán que las personas no dicen
											lo que las empresas piensan que dirán.
											Si uno hace la pregunta: ¿dónde ir realmente
											cuando se necesita terminar algo?
											Por lo general hay tres tipos de respuestas.
											Una es algún tipo de lugar, ubicación o sala.
											Otra es un objeto en movimiento.
											Y la tercera es algún momento.
									","
											Ama, gerçekte insanlar ile konuşursanız
											ve kendinizi sorgularsanız,
											ve kendinize sorarsanız,
											bir şeyler başarmanız gerektiğinde nereye gitmek istersiniz?
											insanların düşündükleri işi
											söylemediklerini anlayacaksınız.
											insanlara bir şeyleri başarmak için nereye
											gitmek istersin sorusunu sorduğunuzda
											Tipik olarak üç çeşit cevap alırsınız.
											Birincisi bir çeşit alan yer ya da bir oda.
											İkincisi hareket eden bir obje.
											Ve üçüncüsü ise bir zaman.
									","
											Cependant, si vous parlez vraiment aux gens
											et même si vous vous demandez à vous-même,
											et vous vous demandez
											où voulez-vous travailler quand vous avez vraiment besoin de faire quelque chose ?
											Vous découvrirez que les gens ne disent pas
											ce que les entreprises pensent qu'ils diraient.
											Si vous posez la question aux gens : où devez-vous vraiment aller
											quand vous devez obtenir un résultat ?
											En général vous obtenez trois sortes de réponses.
											L'une est un lieu, un endroit précis ou une pièce.
											L'autre est un objet en mouvement.
											Et la troisième est un moment.
									","
											Wenn man aber tatsächlich mit den Leuten spricht
											und auch selber darüber nachdenkt
											und sich fragt:
											Wo gehe ich hin, wenn ich etwas Wichtiges zu erledigen habe?
											findet man heraus, dass die Leute nicht das antworten,
											was die Firmen erwarten.
											Wenn man Leuten die Frage stellt: Wo gehen Sie hin,
											wenn Sie etwas Wichtiges zu erledigen haben?
											bekommt man normalerweise drei Arten von Antworten.
											Eine ist ein Ort, eine Stelle oder ein Raum.
											Eine andere ist ein bewegliches Objekt.
											Und die dritte ist eine Zeit.
									",Why work doesn't happen at work,Jason Fried,15:21,"TEDx,business,creativity,culture,design,technology,work"
"
","
","
","
","
",Why work doesn't happen at work,Jason Fried,15:21,"TEDx,business,creativity,culture,design,technology,work"
"
											Aqui estão alguns exemplos.
											Quando pergunto às pessoas
— e há 10 anos que pergunto isto —
											""Onde vai quando precisa
de fazer qualquer coisa?""
											oiço coisas como, o alpendre
o pátio, a cozinha.
											Oiço coisas como
uma divisão extra da casa,
											a cave,
											o café, a biblioteca.
											Depois oiço coisas como o comboio,
											um avião, um carro — portanto
a viagem diária para o trabalho.
											E oiço as pessoas dizerem,
											""Não importa realmente onde estou,
											""desde que seja muito cedo de manhã
ou muito tarde à noite
											""ou nos fins de semana.""
											Quase nunca se ouve alguém
responder: o escritório.
											As empresas gastam muito dinheiro
num local chamado escritório,
											e obrigam as pessoas a ir para lá.
											Mas elas não trabalham no escritório.
									","
											Aquí hay algunos ejemplos.
											Cuando le pregunto a las personas -y he estado haciéndolo durante unos 10 años-
											les pregunto: ""¿A dónde vas cuando tienes que terminar algo?""
											Escucho cosas como, el porche, la terraza,
											la cocina.
											Escucho cosas como una habitación extra en la casa,
											el sótano,
											la cafetería, la biblioteca.
											Y después escucho cosas como en el tren,
											en el avión o en el auto; de camino al trabajo.
											Y también escucho a la gente decir:
											""Bueno, en realidad no importa dónde esté
											mientras que sea muy temprano por la mañana, o muy tarde por la noche, o el fin de semana"".
											Casi nunca se oye a alguien decir en la oficina.
											Pero las empresas gastan todo este dinero en ese lugar llamado oficina
											y hacen que la gente vaya allí todo el tiempo.
											Sin embargo, la gente no hace el trabajo en la oficina.
									","
											O zaman işte bir kaç örnek.
											İnsanlara sorduğumda —ve bunu insanlara 10 senedir soruyorum—
											onlara,''Bir şeyleri başarmak için nereye gitmek istersin?'' diyorum
											Şöyle şeyler duyuyorum, veranda, güverte,
											mutfak.
											Evin içinde ekstra bir oda gibi şeyler duyuyorum,
											bodrum katı,
											kahve dükkanı, kütüphane.
											Ve sonra şöyle şeyler duyuyorsunuz,
											bir uçak, bir araba — yani evle işe gidiş geliş.
											Sonra da şöyle şeyler duyuyorsunuz,
											''Nerede olduğumun bir önemi yok,
											sabah erken olduğu ya da gece çok geç veya hafta sonları olduğu sürece.''
											Hiç bir zaman birinin ofis dediğini duymazsınız.
											Ama işler bütün bu parayı ofis denen yere harcıyor,
											ve insanların her zaman oraya gitmesini sağlıyor,
											henüz insanlar ofiste iş yapamadılar.
									","
											Donc voici des exemples.
											Quand je demande aux gens — je pose cette question aux gens depuis 10 ans —
											je leur demande : « Où allez-vous quand vous devez vraiment obtenir un résultat ? »
											J'entends des choses comme le porche, le pont,
											la cuisine.
											J'entends des choses comme une pièce supplémentaire dans la maison,
											la cave,
											le café, la bibliothèque.
											Et vous entendrez des choses comme le train,
											un avion, une voiture — donc les aller-retours maison-travail.
											Et puis vous entendrez les gens dire,
											« Et bien, où je suis n'a pas d'importance,
											du moment que c'est très tôt le matin ou très tard le soir ou le weekend. »
											Vous n'entendez presque jamais dire au bureau.
											Mais les entreprises dépensent tout cet argent dans des endroits appelés le bureau,
											et ils obligent les gens à s'y rendre tout le temps,
											et pourtant vous ne travaillez pas au bureau.
									","
											Hier sind einige Beispiele.
											Wenn ich frage – und ich stelle diese Frage seit etwa 10 Jahren –
											""Wo gehen Sie hin, wenn Sie etwas Wichtiges zu erledigen haben?""
											höre ich Sachen wie auf die Veranda, auf die Terrasse,
											in die Küche.
											Ich höre Sachen wie in ein zusätzliches Zimmer im Haus,
											in den Keller,
											ins Café, in die Bücherei.
											Und dann hört man Dinge wie im Zug,
											im Flugzeug, im Auto – also auf dem Weg zur Arbeit.
											Und dann gibt es Leute, die sagen:
											""Na ja, es ist eigentlich egal, wo ich bin,
											solange es sehr früh am Morgen ist oder sehr spät in der Nacht oder Wochenende.""
											Man hört fast nie die Antwort ""im Büro"".
											Die Firmen geben so viel Geld aus für das, was wir Büro nennen,
											und zwingen die Leute, da immer hinzugehen,
											doch die Leute machen die Arbeit nicht im Büro.
									",Why work doesn't happen at work,Jason Fried,15:21,"TEDx,business,creativity,culture,design,technology,work"
"
","
","
","
","
",Why work doesn't happen at work,Jason Fried,15:21,"TEDx,business,creativity,culture,design,technology,work"
"
											O que se passa?
											Porquê isso?
											Porque está isto a acontecer?
											Se estudarmos
um pouco mais a fundo,
											descobrimos que as pessoas
											— é isto que acontece —
											as pessoas vão trabalhar,
											e estão a trocar o seu dia de trabalho
											por uma série de momentos de trabalho.
											É isto que acontece no escritório.
											Não há um dia de trabalho,
há momentos de trabalho.
											É como se a porta do escritório
fosse uma trituradora.
											Ao entrar, o dia é rasgado em pedaços,
											porque há 15 minutos aqui
e 30 minutos ali,
											depois acontece qualquer coisa,
											e tem de ir fazer outra coisa,
depois tem 20 minutos, depois é o almoço.
											Depois tem outra coisa para fazer,
											depois tem 15 minutos, e alguém chama
para fazer uma pergunta.
											Quando dão por isso, são 5 da tarde,
											e olham para trás,
											e percebem que não conseguiram
despachar nada.
											Já todos passámos por isto.
											Provavelmente passámos por isto ontem,
											ou anteontem, ou no dia anterior.
											Olhamos para trás, e pensamos:
""Hoje, não fiz nada.
											""Estive no trabalho.
											""Sentei-me à secretária.
Usei um computador caro.
											""Usei o software
que me disseram para usar.
											""Fui às reuniões que me pediram para ir.
											""Fiz chamadas em conferência.
Fiz isto tudo.
											""Mas, na realidade, não fiz nada.
											""Só fiz tarefas.
											""Não fiz um trabalho significativo"".
									","
											¿De qué se trata?
											¿Por qué pasa?
											¿Por qué sucede eso?
											Y lo que uno encuentra, si hurga un poco,
											encuentra que las personas
											-esto es lo que sucede-
											las personas van al trabajo
											y básicamente sustituyen su jornada laboral
											por una serie de momentos de trabajo.
											Eso es lo que sucede en la oficina.
											Ya no hay jornada laboral; lo que hay son momentos de trabajo.
											Como si la puerta de la oficina fuese una trituradora,
											uno entra y el día se ve reducido a pedazos,
											porque uno tiene 15 minutos aquí, 30 minutos allí,
											y luego sucede algo más que lo distrae de la tarea,
											y uno tiene que hacer otra cosa, después 20 minutos más y llega el almuerzo.
											Después hay algo más para hacer,
											luego uno tiene 15 minutos, y alguien lo interrumpe con una pregunta.
											Y sin darnos cuenta se hicieron las cinco de la tarde
											y uno repasa el día
											y se da cuenta que no terminó nada.
											Quiero decir, todos hemos pasado por esto.
											Quizá nos pasó ayer,
											o anteayer, o el día anterior a ese.
											Repasas el día y te dices, hoy no he terminado de hacer nada.
											Fui a trabajar.
											Me senté en mi escritorio. Usé mi costoso equipo
											y el software que me dijeron que usara.
											Asistí a las reuniones a las que me pidieron que fuese.
											Hice todas esas llamadas. Hice todo eso.
											Pero en realidad no hice nada.
											Sólo hice tareas.
											En realidad no hice un trabajo relevante.
									","
											Bu da ne şimdi?
											Neden böyle?
											Bu neden böyle oluyor?
											Ve bulduğunuz şey şu, biraz daha derine bakarsanız,
											insanların—
											olan şey şu—
											insanlar işe gidiyor,
											ve basitçe iş günlerini
											bir seri iş anları ile değiştiriyorlar.
											Ofiste olan şey bu.
											Artık iş günün yok, iş anların var.
											Sanki ofisin giriş kapısı mutfak robotu gibi,
											gün içinde içeri girersiniz ve parçalara ayrılırsınız,
											çünkü 15 dakika oradasınızdır 30 dakika başka yerdesinizdir,
											ve sonra başka bir şey olur ve işten çekilirsiniz,
											ve başka bir şey yapmanız gerekir,sonra 20 dakikanız daha vardır, sonra yemek vakti.
											Sonra başka bir şey yapmanız gerekir,
											sonra 15 dakikanız vardır, ve birisi sizi kenara çekip size o soruyu sorar.
											Ve bilmeden önce, saat akşam 5 olmuştur,
											ve güne bakarsınız,
											ve farkedersiniz ki hiç bir şey başaramamışsınız.
											Yani, hepimiz bundan geçiyoruz.
											Büyük ihtimalle dün bunu yaşadık,
											veya daha önceki gün, ya da daha önceki.
											Gününüze bakarsınız ve bugün hiç bir şey yapmadım dersiniz.
											İşteydim.
											Masama oturdum.Pahalı bilgisayarımı kullandım.
											Bana kullanmalarını söyledikleri yazılımı kullandım.
											Gitmem istenen toplantılara gittim.
											Konferans görüşmelerini yaptım.Bütün bunları yaptım.
											Ama gerçekten hiç bir şey yapmadım.
											Sadece görevleri yerine getirdim.
											Anlamlı bir iş yapamadım.
									","
											Qu'est-ce qu'il se passe ?
											Pourquoi est-ce ainsi ?
											Pourquoi est-ce le cas ?
											Et ce que vous allez découvrir, si vous creusez un peu,
											vous trouverez que les gens —
											c'est ce qui se passe —
											les gens vont au travail,
											et qu'en gros ils échangent leur journée de travail
											contre une série de moments de travail.
											C'est ce qui se passe au bureau.
											Vous n'avez plus une journée de travail, vous avez des moments de travail.
											C'est comme si la porte d'entrée au bureau était un mixeur,
											vous y entrez et votre journée est déchiquetée en morceaux,
											parce que vous avez 15 minutes par-ci et 30 minutes par-là,
											et puis quelque chose d'autre se présente qui vous sort de votre travail,
											et vous devez faire autre chose, puis vous avez 20 minutes, puis c'est l'heure du déjeuner.
											Puis vous avez quelque chose d'autre à faire,
											puis vous avez 15 minutes, et quelqu'un vous prend à part et vous pose une question.
											Et avant que vous vous en aperceviez, il est 17 heures,
											et vous faites le bilan de votre journée,
											et vous vous rendez compte que vous n'avez rien fait.
											Je veux dire, on a tous vécu ça.
											On l'a probablement vécu hier,
											ou le jour d'avant, ou encore avant cela.
											Vous faites le bilan de votre journée, et vous vous dites, je n'ai rien fait aujourd'hui.
											J'étais au boulot.
											J'étais à mon bureau. J'ai utilisé mon ordinateur coûteux.
											J'ai utilisé le logiciel qu'on ma dit d'utiliser.
											Je suis allé aux réunions où on m'a demandé d'aller.
											J'ai fait ces vidéoconférences. J'ai fait tout ça.
											Mais en fait je n'ai rien fait.
											Ce que j'ai fait ce sont des tâches.
											Je n'ai en fait rien fait de valable.
									","
											Wie kann das sein?
											Wie kommt das?
											Warum passiert das?
											Und wenn man etwas weiter nachforscht,
											findet man heraus, dass die Leute
											– das ist es, was passiert –
											die Leute gehen zur Arbeit
											und tauschen im Grunde ihren Arbeitstag
											gegen eine Reihe von Arbeitsmomenten ein.
											Das ist es, was im Büro passiert.
											Man hat keinen Arbeitstag mehr; man hat Arbeitsmomente.
											Als wäre die Eingangstür zum Büro ein Mixer,
											man spaziert hinein und der Tag wird in Teilchen geschreddert,
											denn man hat mal 15 Minuten hier und 30 Minuten da
											und dann passiert was anderes und man wird aus der Arbeit herausgerissen
											und muss etwas anderes tun, dann hat man 20 Minuten, dann ist Mittag.
											Dann muss man etwas anderes tun,
											dann hat man 15 Minuten, und dann nimmt dich jemand beiseite und fragt dich was.
											Und plötzlich ist es 17 Uhr,
											und man schaut zurück
											und merkt, dass man nichts geschafft hat.
											Ich meine, das haben wir alle mitgemacht.
											Wir haben das wahrscheinlich gestern gemacht
											oder vorgestern oder vorvorgestern.
											Man schaut zurück und denkt sich: Ich habe heute nichts geschafft.
											Ich war bei der Arbeit.
											Ich habe an meinem Schreibtisch gesessen, habe meinen teuren Computer benutzt.
											Ich habe die Software benutzt, die ich benutzen soll.
											Ich war bei diesen Besprechungen, zu denen ich gehen sollte.
											Ich habe diese Telefonkonferenzen gemacht. Ich habe all diese Dinge gemacht.
											Aber ich habe im Grunde nichts getan.
											Ich habe nur Aufgaben ausgeführt.
											Ich habe nichts wirklich Relevantes getan.
									",Why work doesn't happen at work,Jason Fried,15:21,"TEDx,business,creativity,culture,design,technology,work"
"
","
","
","
","
",Why work doesn't happen at work,Jason Fried,15:21,"TEDx,business,creativity,culture,design,technology,work"
"
											Descobrimos que, em especial
com pessoas criativas
											— designers, programadores,
											escritores, engenheiros,
pensadores —
											s pessoas precisam
de longos períodos de tempo
											sem serem interrompidos,
para fazerem alguma coisa.
											Não se pode pedir a alguém
para ser criativo em 15 minutos
											e pensar seriamente num problema.
											Podemos ter uma ideia por alto,
											mas para pensar profundamente num problema
e considerá-lo cuidadosamente,
											é preciso um longo período de tempo.
											Mesmo que o dia de trabalho
seja de 8 horas,
											quantas pessoas aqui tiveram 8 horas
para si mesmas no escritório?
											E que tal 7 horas?
											Seis? Cinco? Quatro?
											Quando foi a última vez
que tiveram 3 horas para si no escritório?
											Duas horas? Uma, talvez.
											Muito poucas pessoas conseguem ter
											longos intervalos de tempo no escritório
sem serem interrompidos.
											É por isso que as pessoas
decidem fazer o trabalho em casa.
											Podem ir para o escritório,
											mas vão muito cedo de manhã,
											ou tarde à noite quando não está ninguém,
											ou ficam quando todos vão embora,
ou vão aos fins de semana,
											ou fazem o trabalho no avião,
											ou fazem o trabalho no carro ou no comboio
											porque não há distrações.
									","
											Y lo que uno descubre, sobre todo con gente creativa
											-diseñadores, programadores,
											escritores, ingenieros,
											pensadores-
											es que esa gente realmente necesita
											largos períodos de tiempo sin interrupciones para hacer algo.
											No se le puede pedir a alguien que sea creativo en 15 minutos
											y pueda pensar realmente en un problema.
											Uno puede hacerse una idea rápida
											pero para pensar con profundidad en un problema y analizarlo detenidamente
											se necesitan largos periodos de tiempo sin interrupciones.
											Y aún cuando la jornada laboral típica es de ocho horas
											¿cuántos de los presentes han tenido ocho horas para sí mismos en la oficina?
											¿Y siete horas?
											¿Seis? ¿Cinco? ¿Cuatro?
											¿Cuándo fue la última vez que tuvieron tres horas para sí en la oficina?
											¿Dos horas? Una, tal vez.
											Realmente muy poca gente dispone de
											largos períodos de tiempo sin interrupciones en una oficina.
											Por eso la gente prefiere hacer el trabajo en la casa,
											o ir a la oficina
											pero hacerlo muy temprano por la mañana,
											o tarde por la noche cuando no hay nadie alrededor,
											o se quedan hasta que se van todos, o van los fines de semana,
											o terminan su trabajo en el avión,
											o terminan el trabajo en el auto, o en el tren,
											porque allí no hay distracciones.
									","
											Ve bulduğunuz şey ise, genelde yaratıcı insanlarda olan —
											tasarımcılar, programcılar,
											yazarlar, mühendisler,
											düşünenler —
											bu insanlar gerçekten uzun
											ve bölünmeyen bir zaman dilimine ihtiyaç duyuyor ki iş yapabilsin.
											Bir insandan 15 dakikada yaratıcı olmasını isteyemezsiniz
											ve bir problem hakkında düşünmesini.
											Hemen bir fikriniz olabilir,
											ama bir problem ile ilgili derin düşünce için ve gerçekten bir problemi dikkatli incelemek için,
											uzun ve bölünmemiş zamana ihtiyacınız var.
											Ve hatta iş günü tipik olarak sekiz saattir,
											buradaki kaç insan ofiste kendine sekiz saat ayırdı?
											Yedi mi yoksa?
											Altı?Beş?Dört?
											En son kendinize ofiste üç saat ayırdınız?
											İki saat?Bir, belki.
											Çok, çok az insan gerçekten
											ofiste uzun ve bölünmemiş bir zaman geçiriyor.
											Ve bu yüzden insanlar ofis yerine evde çalışmak istiyorlar,
											ya da ofise gitmek isterler,
											ama gerçekten çok erken olsun isterler,
											ya da ortada insanların olmadığı geç saatlere kalmak isterler,
											ya da herkes ayrıldıktan sonra kalırlar, ya da haftasonları giderler,
											ya da uçakta işlerini hallederler,
											ya da arabada ya da trende işlerini yaparlar
											çünkü dikkat dağıtıcı bir şey yoktur.
									","
											Et ce que vous découvrez, c'est en particulier le cas des créatifs —
											des designers, des programmeurs,
											des écrivains, des ingénieurs,
											des penseurs —
											c'est que les gens ont vraiment besoin
											de longues périodes ininterrompues pour aboutir à quelque chose.
											Vous ne pouvez pas demander à quelqu'un d'être créatif en 15 minutes
											et de vraiment réfléchir à un problème.
											Vous aurez peut-être une idée fugace,
											mais pour vous plonger dans un problème et l'examiner vraiment soigneusement,
											il vous faut de longues périodes ininterrompues.
											Et même si une journée de travail classique est de huit heures,
											combien de gens ici ont déjà eu huit heures rien que pour eux au bureau ?
											Et sept heures ?
											Six ? Cinq ? Quatre ?
											Quand avez-vous eu trois heures à vous au bureau pour la dernière fois ?
											Deux heures ? Une peut-être.
											Très, très peu de gens ont en fait
											de longues périodes ininterrompues au bureau.
											Et c'est pourquoi les gens ont choisi de travailler chez eux,
											ou alors ils peuvent peut-être aller au bureau,
											mais ils peuvent peut-être aller au bureau très tôt le matin,
											ou tard le soir quand il n'y a personne,
											ou ils restent après que tout le monde soit parti, ou ils y vont le weekend,
											ou ils font le travail dans l'avion,
											ou ils font le travail dans la voiture ou dans le train
											parce qu'il n'y a rien pour les distraire.
									","
											Man erkennt, dass besonders kreative Menschen
											– Designer, Programmierer,
											Schriftsteller, Ingenieure,
											Denker –
											dass die Leute vor allem
											längere Zeiträume ohne Unterbrechungen brauchen, um etwas zu schaffen.
											Man kann niemandem sagen, er soll 15 Minuten lang kreativ sein
											und gründlich über ein Problem nachdenken.
											Man kommt vielleicht auf eine schnelle Idee,
											aber um sich grundlegende Gedanken über ein Problem zu machen und es sorgfältig zu durchdenken,
											braucht man längere Zeiträume ohne Unterbrechungen.
											Wenn auch der typische Arbeitstag acht Stunden hat,
											wer hier hat jemals im Büro acht Stunden für sich gehabt?
											Wie sieht's mit sieben Stunden aus?
											Sechs? Fünf? Vier?
											Wann hatten Sie zuletzt drei Stunden für sich im Büro?
											Zwei Stunden? Eine vielleicht.
											Sehr, sehr wenige Leute haben tatsächlich
											längere Zeiträume ohne Unterbrechungen im Büro.
											Darum arbeiten einige zu Hause
											oder sie gehen zwar ins Büro,
											aber sie gehen sehr früh ins Büro
											oder sehr spät, wenn niemand sonst da ist,
											oder sie bleiben, bis die anderen gegangen sind, oder sie kommen am Wochenende
											oder sie arbeiten im Flugzeug
											oder im Auto oder im Zug,
											weil es da keine Ablenkungen gibt.
									",Why work doesn't happen at work,Jason Fried,15:21,"TEDx,business,creativity,culture,design,technology,work"
