de,en,tr,title,speaker,duration,tags
"
","
","
","""Space Oddity""","Amanda Palmer, Jherek Bischoff, Usman Riaz",6:09,"live music,music,performance,singer,vocals,guitar,TED Fellows,entertainment"
"
											(Musik)
									","
											(Music)
									","
											(Müzik)
									","""Space Oddity""","Amanda Palmer, Jherek Bischoff, Usman Riaz",6:09,"live music,music,performance,singer,vocals,guitar,TED Fellows,entertainment"
"
","
","
","""Space Oddity""","Amanda Palmer, Jherek Bischoff, Usman Riaz",6:09,"live music,music,performance,singer,vocals,guitar,TED Fellows,entertainment"
"
											Amanda Palmer (singt):
Bodenstation an Major Tom.
									","
											Amanda Palmer (singing):
Ground Control to Major Tom,
									","
											Amanda Palmer:
Kumanda merkezinden Binbaşı Tom'a,
									","""Space Oddity""","Amanda Palmer, Jherek Bischoff, Usman Riaz",6:09,"live music,music,performance,singer,vocals,guitar,TED Fellows,entertainment"
"
","
","
","""Space Oddity""","Amanda Palmer, Jherek Bischoff, Usman Riaz",6:09,"live music,music,performance,singer,vocals,guitar,TED Fellows,entertainment"
"
											Bodenstation an Major Tom.
									","
											Ground Control to Major Tom,
									","
											Kumanda merkezinden Binbaşı Tom'a,
									","""Space Oddity""","Amanda Palmer, Jherek Bischoff, Usman Riaz",6:09,"live music,music,performance,singer,vocals,guitar,TED Fellows,entertainment"
"
","
","
","""Space Oddity""","Amanda Palmer, Jherek Bischoff, Usman Riaz",6:09,"live music,music,performance,singer,vocals,guitar,TED Fellows,entertainment"
"
											Nehmen Sie ihre Proteinpillen ein
und Setzen Sie ihren Helm auf.
									","
											Take your protein pills
and put your helmet on.
									","
											Protein haplarını al ve kaskını tak.
									","""Space Oddity""","Amanda Palmer, Jherek Bischoff, Usman Riaz",6:09,"live music,music,performance,singer,vocals,guitar,TED Fellows,entertainment"
"
","
","
","""Space Oddity""","Amanda Palmer, Jherek Bischoff, Usman Riaz",6:09,"live music,music,performance,singer,vocals,guitar,TED Fellows,entertainment"
"
											Al Gore: Zehn, neun, acht, 
sieben, sechs ...
									","
											Al Gore: Ten, Nine, Eight, Seven, Six ...
									","
											Al Gore:
On, dokuz, sekiz, yedi, altı...
									","""Space Oddity""","Amanda Palmer, Jherek Bischoff, Usman Riaz",6:09,"live music,music,performance,singer,vocals,guitar,TED Fellows,entertainment"
