en,pt,de,tr,title,speaker,duration,tags
"
","
","
","
",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
											I'm a relationship builder.
											When you think of a relationship builder,
											don't you just automatically
think ""architect?""
											Probably not.
											That's because most people think
architects design buildings and cities,
											but what we really design
are relationships,
											because cities are about people.
											They're places where people come together
for all kinds of exchange.
											And besides, skylines
are highly specific urban habitats
											with their own insects,
plants and animals,
											and even their own weather.
									","
											Sou uma criadora de relações.
											Quando pensam num criador de relações,
											não pensam automaticamente
em ""arquiteto""?
											Provavelmente não.
											Isso é porque a maioria pensa que
arquitetos projetam edifícios e cidades,
											mas o que realmente projetamos
são relações,
											porque as cidades são acerca de pessoas.
											São locais onde as pessoas se juntam
para todo o tipo de intercâmbios.
											Além disso, os horizontes urbanos
são habitats muito específicos
											com os seus próprios insetos,
plantas e animais,
											e mesmo o seu próprio clima.
									","
											Ich bin ein Relationship Builder
[""Beziehungsbauer""].
											Wenn man an Relationship Builder denkt,
											denkt man nicht
automatisch an Architekten?
											Wahrscheinlich nicht.
											Das liegt daran, dass die meisten denken,
Architekten gestalten Gebäude und Städte,
											aber eigentlich gestalten sie Beziehungen,
											denn in Städten geht es um Menschen.
											Es gibt dort Orte,
											wo sich Menschen für alle Arten
des Austausches treffen.
											Außerdem sind Stadtsilhouetten
sehr spezifische urbane Lebensräume,
											mit ihren eigenen Insekten,
Pflanzen und Tieren,
											und sogar ihrem eigenen Wetter.
									","
											Ben bir ilişki kurucuyum.
											İlişki kurmak derken,
											otomatik olarak ""mimar"" sözü
akla gelmiyor mu?
											Muhtemelen hayır.
											Çünkü çoğu insan mimarların binaları
ve şehirleri tasarladığını düşünür,
											fakat aslında bizim
tasarladığımız şey ilişkiler,
											çünkü şehirler, insanlarla ilgilidir.
											İnsanların her tür değişim için
bir araya geldiği yerlerdir.
											Ayrıca binaların silueti; kendi böcekleri,
bitkileri ve hayvanları
											hatta kendi havaları ile
											özgün, kentsel yaşam alanlarıdır.
									",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
","
","
","
",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
											But today, urban habitats
are out of balance.
											Climate change, together with political
and economic troubles,
											are having an impact;
											they're adding up
and stressing out cities and us,
											the people who live in them.
									","
											Mas hoje, os habitats urbanos
estão desequilibrados.
											As mudanças climáticas, junto com
problemas políticos e económicos,
											estão a causar impacto;
											estão a crescer e a acrescentar
pressão nas cidades e em nós,
											as pessoas que lá vivem.
									","
											Aber heute sind urbane
Lebensräume aus dem Lot geraten.
											Klimawandel, nebst politischen
und wirtschaftlichen Problemen,
											machen sich bemerkbar;
											sie summieren sich auf
und stressen Städte und uns,
											die darin lebenden Menschen.
									","
											Ancak günümüzde kentsel yaşam
alanları dengesini kaybetti.
											Politik ve ekonomik sorunlarla
birlikle iklim değişimlerinin
											bir etkisi var;
											hepsi üst üste geliyor ve şehirler ile 
orada yaşayan insanları,
											bizleri de olumsuz etkiliyor.
									",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
","
","
","
",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
											For me, the field of ecology
has provided important insight,
											because ecologists don't just look
at individual species on their own,
											they look at the relationships
between living things
											and their environment.
											They look at how all the diverse parts
of the ecosystem are interconnected,
											and it's actually this balance,
this web of life, that sustains life.
											My team and I have been applying
insights from ecology to architecture
											to see how physical space
can help build stronger relationships.
											The projects I'm going to show you today
											use the idea of building relationships
as the key driver for design.
									","
											Para mim, o campo da Ecologia
providenciou informação importante,
											porque os ecólogos não olham apenas
para espécies individualizadas só por si,
											eles olham para as relações
											entre os seres vivos e o seu ambiente.
											Eles olham para como as diversas partes
do ecossistema estão relacionadas,
											e é este equilíbrio,
esta rede, que mantém a vida.
											A minha equipa e eu temos aplicado
conhecimentos da ecologia à arquitetura
											para ver como o espaço físico
pode ajudar a criar relações mais fortes.
											Os projetos que vos vou mostrar hoje
											aplicam a ideia de construir relações
como o fator-chave para o planeamento.
									","
											Für mich hat die Ökologie
wichtige Einsichten geliefert,
											denn Ökologen schauen nicht nur
auf die einzelne Spezies an sich,
											sie betrachten die Beziehung
zwischen Lebewesen
											und ihrer Umgebung.
											Sie prüfen, wie die verschiedenen Teile
des Ökosystems miteinander verbunden sind,
											und genau jenes Gleichgewicht,
dieses Lebensnetz, ermöglicht Leben.
											Mein Team und ich habe die Einsichten
der Ökologie auf Architektur angewandt,
											um zu sehen, wie physischer
Raum helfen kann,
											stärkere Beziehungen zu bilden.
											Die Projekte, die ich Ihnen heute zeige,
											nutzen das Konzept des Beziehungsaufbaus
als treibende Kraft für das Design.
									","
											Ekoloji alanı benim
önemli bilgiler edinmemi sağladı,
											çünkü ekolojistler yalnızca
belirli türlerle ilgilenmezler,
											canlıların çevreleriyle arasındaki
											ilişkilerle ilgilenirler.
											Ekosistemin farklı kısımlarının birbirine 
nasıl bağlı olduğuyla ilgilenirler
											ve yaşamı devam ettiren de
bu denge, bu hayat ağacıdır.
											Takımım ve ben, fiziki ortamın
daha güçlü ilişkiler kurulmasına
											nasıl yardımcı olabileceğini görmek için,
ekolojik bilgileri mimariye uyguluyoruz.
											Bugün size göstereceğim projeler,
											tasarımda temel etken olarak 
ilişki kurma fikrine dayalı.
									",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
","
","
","
",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
											Here's an example of what I mean.
											Recently, we were asked to design
a center for social justice leadership
											called the Arcus Center.
											They asked us for a building
that could break down traditional barriers
											between different groups
											and in doing so, create possibilities
for meaningful conversations
											around social justice.
											The students wanted a place
for cultural exchange.
											They thought a place for preparing
food together could do that.
											And they wanted to be welcoming
to the outside community.
											They thought a fireplace
could draw people in
											and help start conversations.
											And everybody wanted the work
of social justice to be visible
											to the outside world.
											There really wasn't a precedent
for this kind of space,
											so we looked around the globe
and found examples
											of community meeting houses.
											Community meeting houses are places
											where there's very specific
relationships between people,
											like this one in Mali,
where the elders gather.
											The low roof keeps everybody seated
and at equal eye level.
											It's very egalitarian.
											I mean, you can't stand up
and take over the meeting.
											You'd actually bump your head.
									","
											Um exemplo do que quero dizer.
											Pediram-nos que planeássemos um
centro para a liderança da justiça social
											chamado Centro Arcus.
											Pediram-nos um edifício
que pudesse quebrar barreiras tradicionais
											entre diferentes grupos
											e ao fazê-lo, criar possibilidades
para conversas significativas
											acerca de justiça social.
											Os estudantes queriam um local
para intercâmbio cultural.
											Eles pensaram que um local
de preparação conjunta de comida ajudava.
											E queriam ser convidativos
para a comunidade envolvente.
											Pensaram que uma fogueira
podia atrair as pessoas
											e ajudar a iniciar conversas.
											Toda a gente queria que o serviço
de justiça social fosse visível
											para o mundo exterior.
											Não havia um precedente
deste tipo de espaço,
											pelo que procurámos pelo globo
											e encontrámos exemplos
de casas de encontro comunitário.
											Casas de encontro comunitário são locais
											onde existem relações
muito específicas entre pessoas,
											como esta no Mali,
onde os anciãos se juntam.
											O teto baixo mantém toda a gente sentada
e ao mesmo nível de visão.
											É muito igualitário.
											Ninguém se pode levantar
e tomar conta do encontro.
											Daria mesmo uma cabeçada.
									","
											Hier ein Beispiel für das,
was ich meine.
											Neulich sollten wir ein Zentrum
für Führung in Sozialer Gerechtigkeit,
											namens Arcus Center, gestalten.
											Sie wünschten sich ein Gebäude,
das die traditionellen Barrieren
											zwischen verschieden Gruppen aufbricht
											und dabei Chancen für bedeutsame Gespräche
											rund um soziale Gerechtigkeit schafft.
											Die Studenten wollten einen Ort
für kulturellen Austausch:
											Ein Ort, an dem man zusammen
essen zubereitet, könnte dazu dienen.
											Sie wollten die umliegende
Gemeinschaft willkommen heißen.
											Sie dachten, eine Feuerstelle
könnte Menschen anziehen
											und helfen, Gespräche zu beginnen.
											Jeder wollte, dass das Ergebnis
sozialer Gerechtigkeit
											für die Außenwelt sichtbar sein sollte.
											Es gab kein Vorbild für einen solchen Ort,
											daher durchforsteten wir die Welt
											und fanden Beispiele
von Gemeinschaftshäusern.
											Gemeinschaftshäuser sind Orte,
											wo es eine bestimmte Beziehung
zwischen Menschen gibt,
											wie bei diesem in Mali,
wo sich die Ältesten versammeln.
											Das niedrige Dach führt dazu,
dass jeder auf gleicher Augenhöhe sitzt.
											Es ist sehr egalitär.
											Man kann nicht aufstehen
und das Treffen an sich reißen.
											Man würde sich den Kopf anstoßen.
									","
											İşte kastettiğim şeye dair bir örnek.
											Yakın zamanda, Arcus Merkezi adlı 
bir sosyal adalet liderliği merkezi
											tasarlamamız istendi.
											
Bizden farklı gruplar arasındaki
geleneksel engelleri kırabilecek
											bir bina yapmamızı,
											bunu yaparken, sosyal adalet
çevresinde anlamlı konuşmalara
											olanak yaratmamızı istediler.
											Öğrenciler, kültürel alışveriş
için bir yer istedi.
											Birlikte yemek hazırlayabilecekleri 
bir yerin buna uygun olduğunu düşündüler.
											Dışarıdan gelenleri de
buyur etmek istediler.
											Bir şöminenin insanları 
bir araya getirebileceğini
											ve sohbetler başlatabileceğini düşündüler.
											Ayrıca herkes sosyal adalet
çalışmalarının dış dünyaya
											görünür olmasını istedi.
											Bu tür bir alan için
örnek teşkil eden bir yer yoktu,
											bu yüzden dünya çapında araştırdık
											ve toplantı salonu örnekleri bulduk.
											Sosyal toplantı salonları
											Mali'deki yaşlıların bir araya
geldikleri bu salonda olduğu gibi
											insanlar arasında çok özel
ilişkilerin olduğu yerlerdir.
											Alçak çatı herkesin aynı
göz hizasında oturmasını sağlar.
											Çok eşitlikçi.
											Yani, ayağa kalkıp
toplantıyı ele geçiremezsiniz.
											Aslında, kafanı çarparsın.
									",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
","
","
","
",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
											(Laughter)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Kahkaha)
									",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
