es,pt,en,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
","
",The future of lying,Jeff Hancock,18:31,"TEDx,communication,technology"
"
											Permítanme decirles que ha sido 
un fantástico mes para el engaño.
											Y ni siquiera estoy hablando de la campaña 
a la presidencia de los EE.UU. (Risas)
											Tenemos a un eminente periodista 
arrestado por plagio,
											a un joven escritor famoso 
cuyo libro contiene
											tantas citas ficticias 
que lo retiraron de la venta;
											un artículo del New York Times 
denuncia falsas críticas literarias.
											Ha sido fantástico.
									","
											Deixem-me dizer-vos, tem sido um mês 
fantástico para fraudes.
											E nem sequer estou a falar da corrida 
presidencial americana. (Risos)
											Temos uma jornalista de alto nível apanhada por plágio,
											um famoso jovem escritor, cujo livro envolve
											tantas citações já criadas que foi retirado das prateleiras;
											uma exposição do New York Times sobre 
críticas de livros falsas.
											Tem sido fantástico.
									","
											Let me tell you, it has been a fantastic month for deception.
											And I'm not even talking about the American presidential race. (Laughter)
											We have a high-profile journalist caught for plagiarism,
											a young superstar writer whose book involves
											so many made up quotes that they've pulled it from the shelves;
											a New York Times exposé on fake book reviews.
											It's been fantastic.
									","
											Laissez-moi vous dire que ça a été 
un mois fantastique pour le mensonge.
											Et je ne parle même pas 
des élections présidentielles américaines. (Rires)
											Nous avons eu un éminent journaliste 
pris en flagrant délit de plagiat,
											un jeune écrivain vedette
dont les livres comprennent
											tellement de fausses citations 
qu'on a dû le retirer des rayons ;
											les révélations du New York Times 
sur les fausses critiques littéraires.
											Ça a été fantastique.
									","
											Lassen Sie mich Ihnen sagen: Das war ein
großartiger Monat für Täuschungen.
											Und ich rede noch nicht einmal vom
amerikanischen Wahlkampf. (Gelächter)
											Wir haben da einen hochkarätigen Journalisten,
der beim Abschreiben erwischt wurde;
											einen jungen Star-Autor,
dessen Buch so viele
											fingierte Zitate enthält, dass man es
aus den Regalen genommen hat;
											ein Exposé über gefälschte Buchrezensionen
in der New York Times.
											Es war fantastisch.
									","
											Sahtekârlıklarla dolu
muazzam bir ay geçirdik.
											ABD başkanlık seçimlerinden
bahsetmiyorum bile. (Kahkaha)
											Bilgi hırsızlığı yaptığı saptanan
üst düzey gazetecimiz,
											çok fazla uydurma alıntı içerdiği için
											kitabı raflardan toplatılmış
son derece popüler genç bir yazarımız,
											New York Times'da skandal olan
sahte kitap incelemelerimiz var.
											Gerçekten harikaydı.
									",The future of lying,Jeff Hancock,18:31,"TEDx,communication,technology"
"
","
","
","
","
","
",The future of lying,Jeff Hancock,18:31,"TEDx,communication,technology"
"
											Pero por supuesto, no todo 
el engaño llega a la prensa.
											Mayormente el engaño es cotidiano. 
De hecho, muchos estudios
											muestran que todos mentimos una o 
dos veces al día, como Dave sugirió.
											O sea que siendo ahora las 18:30, podemos pensar
que la mayoría de nosotros debe haber mentido.
											Veamos qué pasa con Winnipeg. 
¿Cuántos de Uds.,
											en las últimas 24 horas —recuerden—
han dicho una mentirita,
											o una grande? ¿Cuántos aquí 
han dicho una pequeña mentira?
									","
											Agora, é claro, nem todas as fraudes chegam às notícias.
											Grande parte do engano é quotidiano. Na 
verdade, muitos estudos
											mostram que todos nós mentimos uma ou duas vezes
por dia, tal como Dave sugeriu.
											Por isso são perto de 06h30 agora, o que sugere que a maioria de nós deve ter mentido.
											Vamos olhar para Winnipeg. Quantos de vocês,
											nas últimas 24 horas - pensem de novo - 
disseram uma pequena mentira,
											ou uma grande? Quantos já disseram 
uma mentirinha aí?
									","
											Now, of course, not all deception hits the news.
											Much of the deception is everyday. In fact, a lot of research
											shows that we all lie once or twice a day, as Dave suggested.
											So it's about 6:30 now, suggests that most of us should have lied.
											Let's take a look at Winnipeg. How many of you,
											in the last 24 hours — think back — have told a little fib,
											or a big one? How many have told a little lie out there?
									","
											Bon, bien sûr pas toutes les mensonges ne font pas la une.
											L'essentiel des mensonges sont quotidiens. 
En fait, de nombreuses études
											montrent que nous mentons une ou deux fois 
par jour, comme Dave l'a suggéré.
											Il est à peu près 6 heures 30, c'est-à-dire que 
la plupart de nous devrait déjà avoir menti.
											Prenons l'exemple de Winnipeg. 
Combien d'entre vous,
											- souvenez-vous - ont dit un petit mensonge 
ou un gros
											au cours de ces dernières 24 heures ? 
Combien d'entre vous ont dit de petits mensonges là-bas ?
									","
											Natürlich schaffen es nicht alle
Täuschungen in die Nachrichten.
											Viele dieser Täuschungen sind alltäglich.
Tatsächlich zeigen viele Studien,
											dass wir alle ein- bis zweimal am Tag
lügen, wie Dave schon angemerkt hat.
											Jetzt ist es ungefähr halb sieben, also
sollten die meisten von uns gelogen haben.
											Lassen Sie uns einen Blick auf Winnipeg
werfen. Wie viele von Ihnen haben
											in den letzten 24 Stunden – denken
Sie zurück – eine kleine Lüge erzählt,
											oder eine große? Wie viele
hier haben ein wenig geflunkert?
									","
											Tabii ki bütün sahtekârlıklar
haber konusu olmuyor.
											Sahtekârlıklar günlük yaşamın bir parçası;
Dave'in de belirttiği gibi,
											birçok araştırma, herkesin günde bir
iki kez yalan söylediğini ortaya koyuyor.
											Saat şu anda 6:30,
çoğumuz yalan söylemişizdir.
											Winnipeg'e bir bakalım.
Son 24 saat içinde kaçınız
											küçük veya büyük bir yalan söyledi?
											Kaçınız beyaz bir yalan söyledi?
									",The future of lying,Jeff Hancock,18:31,"TEDx,communication,technology"
"
","
","
","
","
","
",The future of lying,Jeff Hancock,18:31,"TEDx,communication,technology"
"
											Bien. Estos son todos los mentirosos.
											Asegúrense de ponerles atención. 
(Risas)
									","
											Certo, excelente. Estes são todos os mentirosos.
											Certifiquem-se que lhes prestem atenção. (Risos)
									","
											All right, good. These are all the liars.
											Make sure you pay attention to them. (Laughter)
									","
											D'accord. Ce sont tous des menteurs.
											Faites bien attention à eux. (Rires)
									","
											Ok, gut. Das sind
die ganzen Lügner.
											Haben Sie ein Auge
auf sie. (Gelächter)
									","
											Güzel, güzel. Bunların hepsi yalancı,
											bu kişilere dikkat edin. (Kahkaha)
									",The future of lying,Jeff Hancock,18:31,"TEDx,communication,technology"
"
","
","
","
","
","
",The future of lying,Jeff Hancock,18:31,"TEDx,communication,technology"
"
											No, se vio bien, fueron alrededor 
de dos tercios de Uds.
											El otro tercio no mintió, 
o tal vez se le olvidó,
											o me está mintiendo sobre 
su mentira, lo cual es muy,
											muy enrevesado (Risas). 
Esto concuerda con muchos estudios,
											que sugieren que mentir es bastante común.
											Esta omnipresencia, 
combinada con la importancia
											de lo que significa ser un ser humano, 
el hecho de que podamos
											decir la verdad o inventar algo,
											ha fascinado a la gente 
a lo largo de la historia.
											Aquí tenemos a 
Diógenes con su linterna.
											¿Alguien sabe lo que estaba buscando?
											Un hombre honesto que murió 
sin encontrar uno solo
											allá en Grecia. Y tenemos a 
Confucio en el Oriente
											que estaba realmente 
interesado en la sinceridad,
											no solo en los hechos 
o en las palabras,
											sino en creer en lo 
que se estaba haciendo.
											Creer en los principios.
									","
											Não, isso pareceu bem, foram cerca 
de dois terços de vocês.
											O outro terço não mentiu, ou talvez esqueceu-se,
											ou então estão-me a mentir acerca da vossa 
mentira, o que é muito,
											muito desonesto. (Risos) Isto enquadra-se 
com muita pesquisa,
											que sugere que a mentira é uma prática comum.
											É esta abrangência, combinada com a centralidade
											do que significa ser humano, o facto 
de que nós podemos
											dizer a verdade ou inventar algo,
											que fascinou as pessoas ao longo da história.
											Aqui temos Diógenes com sua lanterna.
											Alguém sabe de que é que ele estava à procura?
											De um único homem honesto, e 
morreu sem encontrar um
											na Grécia. E temos Confúcio no Oriente
											que estava realmente preocupado com a sinceridade,
											não só que percorressem o caminho 
ou dissessem o correto,
											mas que acreditassem no que estavam a fazer.
											Que acreditassem nos vossos princípios.
									","
											No, that looked good, it was about two thirds of you.
											The other third didn't lie, or perhaps forgot,
											or you're lying to me about your lying, which is very,
											very devious. (Laughter) This fits with a lot of the research,
											which suggests that lying is very pervasive.
											It's this pervasiveness, combined with the centrality
											to what it means to be a human, the fact that we can
											tell the truth or make something up,
											that has fascinated people throughout history.
											Here we have Diogenes with his lantern.
											Does anybody know what he was looking for?
											A single honest man, and he died without finding one
											back in Greece. And we have Confucius in the East
											who was really concerned with sincerity,
											not only that you walked the walk or talked the talk,
											but that you believed in what you were doing.
											You believed in your principles.
									","
											Mais non, ça allait, c'était environ deux tiers d'entre vous.
											L'autre tiers n'a pas menti, ou a peut-être oublié,
											ou vous me mentez à propos de 
vos mensonges, et ça c'est très,
											très sournois. (Rires) Ça correspond à 
de nombreuses études
											qui suggèrent qu'il est très courant de mentir.
											C'est cette omniprésence, associée à 
la prédominance
											de ce qui nous rend humains, le fait de pouvoir
											dire la vérité ou inventer une histoire,
											qui a fasciné tout au long de l'histoire.
											Voici Diogène avec sa lanterne.
											Quelqu'un sait ce qu'il cherchait ?
											Un seul homme sincère, et il mourut sans le trouver,
											en Grèce. Et il y avait Confucius en Orient,
											qui s'inquiétait beaucoup de la sincérité.
											pas seulement dans les actions et dans les mots,
											mais dans le fait de croire en ce qu'on fait.
											Croire en ses principes.
									","
											Nein, das sah gut aus, es waren
ungefähr zwei Drittel von Ihnen.
											Das andere Drittel hat nicht gelogen,
oder es vielleicht vergessen,
											oder Sie belügen mich
bezüglich Ihrer Lügen.
											Sehr hinterhältig. Das entspricht vielen Untersuchungen,
											die nahelegen, dass Lügen
sehr weit verbreitet ist.
											Es ist diese Verbreitung, zusammen
mit der zentralen Bedeutung für das,
											was es heißt, ein Mensch
zu sein; die Tatsache,
											dass wir die Wahrheit sagen
oder etwas erfinden können,
											die die Menschen seit
jeher fasziniert hat.
											Hier haben wir Diogenes
mit seiner Laterne.
											Weiß irgendjemand,
wonach er gesucht hat?
											Einen einzigen ehrlichen Mann, und er starb,
ohne einen zu finden damals in Griechenland.
											Und wir haben Konfuzius im Osten,
											der sich sehr stark mit Ehrlichkeit befasst hat,
											nicht nur damit, dass man das
in die Tat umsetzte, wovon man sprach,
											sondern dass man an
das glaubte, was man tat;
											dass man an seine Prinzipien glaubte.
									","
											Cidden iyiydi, üçte ikiniz el kaldırdı.
											Üçte birlik kısım yalan söylemedi,
ya da yalan söylediğini unuttu
											ya da yalan söylemediği
konusunda yalan söyledi.
											Çok sinsisiniz. (Kahkaha)
Birçok araştırma da bunu gösteriyor,
											yalan söylemek yayılmaya oldukça müsait.
											Bu yayılımcı tutum, insan olmanın
özündeki merkeziyetçilik ile birleşiyor;
											yalan söyleyebiliyor
veya bir şeyler uydurabiliyoruz
											ve bu durum, tarih boyunca
											birçok insanın ilgisini çekti.
											Burada, Diyojen ile fenerini görüyorsunuz.
											Neyi aradığını bilen var mı?
											Dürüst bir insan arıyordu
ve bulamadan Yunanistan'da öldü.
											Ve Doğudaki Konfüçyüs'e bakalım,
											tamamen samimiyet ile ilgilenirdi;
											bol keseden atıp
eyleme dökmeme değil de,
											yapılan işe gerçekten
gönül verilmesindeki samimiyet.
											Kişi, kendi ilkelerine inanmalıydı.
									",The future of lying,Jeff Hancock,18:31,"TEDx,communication,technology"
"
","
","
","
","
","
",The future of lying,Jeff Hancock,18:31,"TEDx,communication,technology"
"
											Mi primer encuentro 
profesional con el engaño
											se dio algo después que el de 
esta gente, hace un par de miles de años.
											Yo era un funcionario de aduanas 
de Canadá allá por la mitad de los 90.
											Sí. Defendía las fronteras de Canadá.
											Podrían pensar que tenía 
un arma allí. En realidad
											tenía un sello. Usaba un sello para 
defender las fronteras del Canadá. (Risas)
											Muy canadiense de mi parte. 
Aprendí mucho sobre el engaño
											cuando trabajaba en la aduana,
											como que gran parte de lo que creía 
saber sobre el engaño era erróneo,
											les hablaré algo sobre eso esta noche.
									","
											O meu primeiro encontro profissional com o engano
											é um pouco mais tarde do que estes 
senhores, um par de mil anos.
											Eu era um funcionário da alfândega para o 
Canadá na década de 90.
											Sim. Eu estava a defender as fronteiras do Canadá.
											Você pode pensar que é uma arma 
ali mesmo. Na verdade
											que é um carimbo. Eu usei um carimbo para 
defender as fronteiras do Canadá. (Risos)
											Muito canadense de mim. Eu aprendi 
muito sobre o engano
											ao fazer o meu trabalho aqui na alfândega,
											uma delas era que a maioria do que eu pensava que 
sabia sobre o engano estava errado,
											e eu vou contar-vos sobre algumas delas esta noite.
									","
											Now my first professional encounter with deception
											is a little bit later than these guys, a couple thousand years.
											I was a customs officer for Canada back in the mid-'90s.
											Yeah. I was defending Canada's borders.
											You may think that's a weapon right there. In fact,
											that's a stamp. I used a stamp to defend Canada's borders. (Laughter)
											Very Canadian of me. I learned a lot about deception
											while doing my duty here in customs,
											one of which was that most of what I thought I knew about deception was wrong,
											and I'll tell you about some of that tonight.
									","
											Ma première rencontre professionnelle 
avec le mensonge
											est un peu plus tardive que ces types-là, 
deux mille ans à peu près.
											J'étais douanier au Canada, 
au milieu des années 90.
											Oui, je défendais la frontière canadienne.
											Vous croyez que c'est une arme, là. En fait,
											c'est un tampon. J'utilisais un tampon
pour défendre la frontière canadienne. (Rires)
											Très canadien de ma part. 
J'ai beaucoup appris sur le mensonge
											quand je travaillais à la douane,
											comme le fait que ce que je pensais 
savoir du mensonge était presque entièrement faux,
											et je vous en parlerai un peu ce soir.
									","
											Meine erste professionelle
Begegnung mit Täuschung
											hatte ich ein wenig später als diese Herren,
einige tausend Jahre später.
											Ich war ein Zollbeamter für Kanada
Mitte der 90er Jahre.
											Ja. Ich verteidigte Kanadas Grenzen.
											Sie denken vielleicht,
das hier ist eine Waffe.
											Es ist aber ein Stempel. Ich verteidigte
Kanadas Grenzen mit einem Stempel. (Gelächter)
											Wie kanadisch von mir.
Ich lernte viel über Täuschung,
											während ich beim Zoll
meine Pflicht erfüllte,
											zum Beispiel, dass fast alles, was ich
dachte über Täuschung zu wissen, falsch war,
											und einiges davon werde ich
Ihnen heute Abend erzählen.
									","
											Benim sahtekârlıkla ilgili
ilk profesyonel deneyimim,
											bu şahıslardan biraz daha sonra,
birkaç bin yıl sonra oldu.
											90'lı yılların ortalarında,
Kanada'da gümrük memuruydum.
											Evet, Kanada'nın sınırlarını koruyordum.
											Şuradakini bir silah zannedebilirsiniz,
											ama işin aslı, o bir kaşe. Sınırları
korurken bir kaşe kullanırdım. (Kahkaha)
											Tam bir Kanadalı hareketi.
											Gümrükteki görevim sırasında,
sahtekârlıkla ilgili birçok şey öğrendim;
											bunlardan biri, sahtekârlıkla ilgili
bildiğimi sandığım çoğu şeyin
											yanlış olmasıydı, bu akşam
bu konudan bahsedeceğim.
									",The future of lying,Jeff Hancock,18:31,"TEDx,communication,technology"
