en,de,fr,title,speaker,duration,tags
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											TED has already persuaded me
to change my life in one small way,
											by persuading me to change
the opening of my speech.
											I love this idea of engagement.
											So, when you leave here today,
											I'm going to ask you
to engage or re-engage
											with some of the most important
people in your lives:
											your brothers and sisters.
											It can be a profoundly
life-affirming thing to do,
											even if it isn't always easy.
									","
											TED hat mich bereits dazu gebracht,
mein Leben ein bisschen zu ändern,
											indem ich den Einstieg 
zu meinem Vortrag geändert habe.
											Es begeistert mich, wenn 
Menschen sich aufeinander einlassen.
											Wenn Sie heute nach Hause gehen,
werde ich Sie deshalb bitten:
											Lassen Sie sich doch wieder einmal
											mit einigen der wichtigsten
Menschen in ihrem Leben ein,
											Ihren Brüdern und Schwestern.
											Das kann sehr lebensbejahend sein,
											auch wenn es nicht immer leicht ist.
									","
											TED m'a déjà persuadé d'apporter
un petit changement dans ma vie,
											en me persuadant de changer
l'introduction de mon discours.
											J'aime cette idée d'engagement.
											Lorsque vous partirez d'ici,
											je vais vous demander de prendre
ou de reprendre contact
											avec les personnes les plus 
importantes de votre vie :
											vos frères et sœurs.
											Ça peut être profondément libérateur,
											même si ce n'est pas toujours facile.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											This is a man named Elliot,
											for whom things were very difficult.
											Elliot was a drunk.
											He spent most of his life
battling alcoholism,
											depression, morphine addiction,
											and that life ended
when he was just 34 years old.
											What made things harder for Elliot
is that his last name was Roosevelt.
											And he could never quite
get past the comparisons
											with his big brother Teddy,
											for whom things always seemed
to come a little bit easier.
									","
											Das ist ein Mann namens Elliot,
											der ein schweres Leben hatte.
											Elliot war Alkoholiker.
											Er kämpfte fast sein ganzes Leben
gegen Alkoholismus,
											Depressionen und Drogenabhängigkeit
											und er starb, als er
gerade mal 34 Jahre alt war.
											Was Elliots Leben noch schwerer machte,
war sein Familienname Roosevelt.
											Und er kam nie ganz über
die ständigen Vergleiche mit Teddy,
											seinem großen Bruder hinweg,
											dem im Leben immer alles
etwas leichter zu fallen schien.
									","
											Voici un homme qui s'appelle Elliot,
											pour qui la vie était très difficile.
											Elliot était alcoolique.
											Il a passé la plupart de sa vie
à lutter contre l'alcoolisme,
											la dépression, la dépendance
à la morphine
											et sa vie a tourné court
lorsqu'il n'avait que 34 ans.
											Son nom de famille ne lui a pas rendu
les choses faciles : Roosevelt.
											Il n'arrivait jamais
à éviter les comparaisons
											avec son grand frère, Teddy,
											pour qui tout semblait arriver
avec un peu plus de facilité.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											It wasn't easy being Bobby, either.
											He was also the sibling of a president.
											But he adored his brother, Jack.
											He fought for him,
											he worked for him.
											And when Jack died, he bled for him, too.
											In the years that followed,
Bobby would smile,
											but it seemed labored.
											He'd lose himself in his work,
											but it seemed tortured.
											Bobby's own death, so similar to John's,
											seems somehow fitting.
											John Kennedy was robbed of his young life;
											Bobby seemed almost
to have been relieved of his.
									","
											Bobby zu sein war auch nicht leicht.
											Auch er war der Bruder eines Präsidenten.
											Aber er vergötterte seinen Bruder Jack.
											Er kämpfte für ihn,
											er arbeitete für ihn.
											Und als Jack starb,
blutete er auch für ihn.
											In den folgenden Jahren
sah man Bobby oft lächeln,
											aber es wirkte gequält.
											Er vergrub sich in seine Arbeit,
											aber es wirkte zwanghaft.
											Bobbys eigener Tod,
der dem von John so ähnlich war,
											passt irgendwie ins Bild.
											John Kennedy wurde seiner
Kindheit und Jugend beraubt;
											Bobby schien fast davon
erlöst worden zu sein.
									","
											Ce n'était pas facile
non plus d'être Bobby.
											Il était aussi le frère d'un président.
											Mais il adorait son frère, Jack.
											Il s'est battu pour lui,
											il a travaillé pour lui.
											Et lorsque Jack est mort,
il a souffert énormément.
											Les années qui ont suivi,
Bobby affichait un sourire,
											mais il semblait forcé.
											Il se réfugiait dans son travail,
											mais il semblait torturé.
											La mort de Bobby,
tellement similaire à celle de John,
											n'a presque rien de surprenant.
											John Kennedy a été privé de sa jeunesse ;
											Bobby semble avoir été
libéré de la sienne.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											There may be no relationship
that effects us more profoundly,
											that's closer, finer, harder,
											sweeter, happier, sadder,
											more filled with joy or fraught with woe
											than the relationship we have
with our brothers and sisters.
											There's power in the sibling bond.
											There's pageantry.
											There's petulance, too,
											as when Neil Bush,
											sibling of both a president
and a governor, famously griped,
											""I've lost patience for being compared
to my older brothers,""
											as if Jeb and George W
were somehow responsible
											for the savings and loan scandal
and the messy divorce
											that marked Neil in the public eye.
									","
											Es gibt wohl keine Beziehung,
die uns tiefer berührt,
											die näher, schöner, schwieriger,
											süßer, glücklicher, trauriger,
											und erfüllter von Freude und Leid ist,
											als die Beziehung zu
unseren Brüdern und Schwestern.
											Die geschwisterliche Bindung ist mächtig.
											Da ist Prunk.
											Da gibt es auch Gereiztheiten.
											So schimpfte bekannterweise Neil Bush,
											gleichzeitig Bruder eines Präsidenten
und eines Gouverneurs:
											""Ich habe es satt, mit meinen 
älteren Brüdern verglichen zu werden.""
											Als ob Jeb und George W.
irgendwie verantwortlich
											für den Sparkassen-Skandal
und die chaotische Scheidung wären,
											die Neils Bild in
der Öffentlichkeit bestimmten.
									","
											Aucune relation ne nous affecte
plus profondément,
											aucune relation n'est plus intime,
plus subtile, plus difficile,
											plus douce, plus joyeuse, plus triste,
											plus remplie de joie
ou parsemée de chagrin
											que la relation que nous entretenons
avec nos frères et sœurs.
											Le lien fraternel est un lien puissant.
											Un lien cérémonial,
											un lien capricieux aussi,
											comme lorsque Neil Bush,
											frère à la fois d'un président
et d'un gouverneur, a répliqué un jour :
											« J'en ai assez d'être comparé 
à mes frères aînés »,
											comme si Jeb et George W
étaient responsables
											du scandale de la caisse d'épargne
et du divorce compliqué
											qui l'ont marqué aux yeux du public.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											But more important
than all of these things,
											the sibling bond can be
a thing of abiding love.
											Our parents leave us too early,
											our spouse and our children
come along too late.
											Our siblings are the only ones
who are with us
											for the entire ride.
											Over the arc of decades,
there may be nothing
											that defines us and forms us
more powerfully
											than our relationship
with our sisters and brothers.
											It was true for me,
											it's true for your children
											and if you have siblings,
it's true for you, too.
									","
											Aber was viel wichtiger ist:
											Geschwisterliche Bindung kann
von dauerhafter Liebe geprägt sein.
											Die Eltern verlassen uns zu früh,
											Ehepartner und Kinder 
treten zu spät in unser Leben.
											Nur unsere Geschwister sind
auf der gesamten Reise dabei.
											Im Laufe der Jahrzehnte 
gibt es wohl nichts,
											das uns stärker definiert und formt
											als unsere Beziehung
zu unseren Brüdern und Schwestern.
											So war es bei mir,
											so ist es bei Ihren Kindern,
											und auch bei Ihnen,
wenn Sie Geschwister haben.
									","
											Mais plus important
que tous ces événements,
											le lien fraternel peut être le seul
d'un amour constant.
											Nos parents nous quittent trop tôt,
											nos conjoints et nos enfants
arrivent trop tard.
											Nos frères et sœurs sont les seuls
qui nous accompagnent
											durant tout le trajet.
											Décennie après décennie,
											rien ne nous définit et nous construit
de façon plus puissante
											que notre relation
avec nos sœurs et nos frères.
											Ça a été le cas pour moi,
											c'est le cas pour vos enfants,
											et c'est peut-être le cas pour vous aussi.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
