en,es,de,tr,title,speaker,duration,tags
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
											Hi.
									","
											Hola.
									","
											Hi
									","
											Merhaba.
									",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
											Thank you.
									","
											Gracias.
									","
											Vielen Dank.
									","
											Teşekkürler.
									",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
											[Jennifer Brea is sound-sensitive.
											The live audience was asked
to applaud ASL-style, in silence.]
									","
											[Jennifer Brea es sensible al ruido.
											Se le pidió al público aplaudir
en lengua de signos.]
									","
											[Jennifer Brea ist geräuschempfindlich.
											Das Live-Publikum wurde gebeten,
											still durch Handzeichen zu applaudieren.]
									","
											[Jennifer Brea sese duyarlı.
											Seyircilerden Amerikan işaret dilinde
alkışlamaları istendi.]
									",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
											So, five years ago, this was me.
											I was a PhD student at Harvard,
											and I loved to travel.
											I had just gotten engaged
to marry the love of my life.
											I was 28, and like so many of us
when we are in good health,
											I felt like I was invincible.
									","
											Así era yo hace cinco años:
											Era estudiante de doctorado en Harvard
											y me encantaba viajar.
											Me acababa de comprometer
con el amor de mi vida.
											Tenía 28 años y,
como la mayoría de nosotros
											cuando gozamos de buena salud, 
me creía invencible.
									","
											Das war ich vor fünf Jahren.
											Ich war eine Doktorandin in Harvard
											und liebte es zu reisen.
											Ich hatte mich gerade 

											mit der Liebe meines Lebens verlobt.
											Ich war 28, und wie so viele von uns,
											wenn wir gesund sind,
											fühlte ich mich unbesiegbar.
									","
											Beş yıl önce böyleydim.
											Harvard'da doktora öğrencisiydim
											ve seyahat etmeye bayılırdım.
											Hayatımın aşkıyla evlemek
için yeni nişanlanmıştım.
											28 yaşındaydım ve sağlıklı
olduğumuzda birçoğumuz gibi
											yenilmezmişim gibi hissediyordum.
									",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
											Then one day I had
a fever of 104.7 degrees.
											I probably should have gone to the doctor,
											but I'd never really been sick in my life,
											and I knew that usually,
if you have a virus,
											you stay home and you make
some chicken soup,
											and in a few days,
everything will be fine.
											But this time it wasn't fine.
											After the fever broke,
											for three weeks I was so dizzy,
I couldn't leave my house.
											I would walk straight into door frames.
											I had to hug the walls
just to make it to the bathroom.
											That spring I got infection
after infection,
											and every time I went to the doctor,
											he said there was absolutely
nothing wrong.
											He had his laboratory tests,
											which always came back normal.
											All I had were my symptoms,
											which I could describe,
											but no one else can see.
											I know it sounds silly,
											but you have to find a way
to explain things like this to yourself,
											and so I thought maybe I was just aging.
											Maybe this is what it's like
to be on the other side of 25.
									","
											Entonces un día tuve 
una fiebre de 40 grados.
											Debí haber ido al médico,
											pero nunca había estado 
realmente enferma en mi vida,
											y sabía que generalmente, 
cuando tienes un virus,
											te quedas en casa, 
preparas un poco de sopa de pollo
											y así en unos cuantos 
días todo está bien.
											Pero esta vez no estuvo bien.
											Tras pasar la fiebre,
											durante tres semanas estuve tan mareada 
que no podía salir de casa.
											Me golpeaba con los marcos de las puertas.
											Tenía que aferrarme a las 
paredes para llegar al baño.
											Esa primavera padecí 
infección tras infección,
											y cada vez que iba al médico,
											me decía que no me pasaba nada.
											Él tenía sus pruebas de laboratorio,
											que siempre arrojaban resultados normales.
											Todo lo que tenía eran mis síntomas,
											que yo podía describir,
											pero nadie más podía ver.
											Sé que suena tonto,
											pero tienes que encontrar 
la manera de explicarte estas cosas.
											Así que pensé que quizás 
solo estaba envejeciendo.
											Quizás así era pasar 
al otro lado de los 25.
									","
											Dann bekam ich eines Tages 40 Grad Fieber.
											Ich hätte wahrscheinlich 
zum Arzt gehen sollen,
											aber ich war vorher nie
richtig krank, und ich wusste,
											dass man mit einer Grippe
											normalerweise zu Hause bleibt,
											eine Hühnersuppe kocht,
											und nach ein paar Tagen 
alles wieder gut ist.
											Aber dieses Mal wurde es nicht wieder gut.
											Nachdem das Fieber gesunken war,
											war mir 3 Wochen lang so schwindlig,
											dass ich das Haus nicht verlassen konnte.
											Ich rannte gegen Türrahmen.
											Ich musste mich an Wänden abstützen,
											um es ins Badezimmer zu schaffen.
											In jenem Frühling bekam ich
											eine Infektion nach der anderen
											und jedes Mal, wenn ich zum Arzt ging,
											sagte er, es wäre absolut
alles in Ordnung.
											Er hatte seine Labortests,
											die immer ohne Befund zurückkamen.
											Ich hatte nur meine Symptome,
											die ich beschreiben konnte,
											aber die niemand anders sehen konnte.
											Ich weiß, es klingt albern,
											aber man hat das Bedürfnis,
											sich selbst so etwas zu erklären.
											Also dachte ich:
Vielleicht werde ich einfach alt.
											Vielleicht fühlt sich das Leben so an,
											wenn man jenseits der 25 ist.
									","
											Sonra bir gün 40 derece ateşlendim.
											Muhtemelen doktora gitmeliydim,
											ama hayatımda hiç ciddi bir
şekilde hasta olmamıştım
											ve biliyordum ki
eğer virüs kapmışsan
											evde kalır ve biraz tavuk
çorbası yaparsın
											ve birkaç güne her şey yoluna girer.
											Ama bu sefer girmedi.
											Ateşim düştükten sonra,
											üç hafta boyunca sersem gibiydim.
Evimden çıkamadım.
											Kapı eşiklerine doğru yürüyordum.
											Banyoya gidebilmek için duvarlara
tutunmak zorunda kaldım.
											O ilkbaharda enfeksiyon
üstüne enfeksiyon kaptım
											ve doktora her gittiğimde
											kesinlikle hiçbir sorun
olmadığını söyledi.
											Onun elinde sürekli normal çıkan
											laboratuvar testleri vardı.
											Benim elimdeyse sadece tarif edebildiğim
											ama kimsenin göremediği
											semptomlarım vardı.
											Kulağa aptalca geliyor biliyorum
											ama bunun gibi şeyleri kendinize
açıklamanın bir yolunu bulmalısınız.
											Belki de yaşlanıyorum diye düşündüm.
											Belki de bu, 25 yaşını geçmiş
olmanın diğer yüzüdür.
									",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
