pt,fr,title,speaker,duration,tags
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											Esta é uma palestra
sobre transmissão genética,
											mas vou começar por contar
uma pequena história.
											Há 20 anos, um biólogo
chamado Anthony James
											ficou obcecado com a ideia
de criar mosquitos
											que não transmitissem a malária.
									","
											Nous allons parler
des systèmes d'entraînement de gènes,
											mais je vais commencer
avec une petite histoire.
											Il y a 20 ans, un biologiste
du nom d'Anthony James
											s'est focalisé sur l'idée
de créer des moustiques
											qui ne transmettraient pas le paludisme.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											A ideia era sensacional,
											mas revelou-se um fracasso total.
											Para começar, mostrou-se
extremamente difícil
											criar um mosquito resistente à malária.
											Finalmente, há uns anos,
James conseguiu essa proeza,
											ao adicionar alguns genes
que tornam impossível
									","
											C'était une bonne idée,
mais un échec quasi complet.
											D'une part,
il s'est révélé très difficile
											d'obtenir des moustiques
résistants au paludisme.
											James a finalement réussi,
il y a juste quelques années,
											en ajoutant des gènes
qui rendent impossible
											pour le parasite du paludisme
de survivre dans le moustique.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											que o parasita da malária
sobreviva dentro do mosquito.
											Mas isso acabou por criar outro problema.
											Após criar um mosquito
resistente à malária,
											o que fazer para substituir todos
os mosquitos transmissores da malária?
											Havia algumas opções,
											mas o plano A era criar
um monte de mosquitos
									","
											Mais cela a créé un autre problème.
											Maintenant que nous avons
des moustiques résistants,
											comment faire pour qu'ils remplacent
les moustiques porteurs ?
											Plusieurs options :
											le plan A consistait en concevoir
											un tas de moustiques
modifiés génétiquement,
											les relâcher dans la nature
											et espérer
qu'ils transmettent leurs gènes.
											Le problème était,
pour que ça marche,
											qu'il fallait relâcher 10 fois plus
de moustiques que ceux déjà présents.
											Donc dans un village avec
10 000 moustiques,
											il fallait en relâcher 100 000.
											Vous vous en doutez,
											l'idée n'était pas très populaire
chez les villageois.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											geneticamente modificados,
											soltá-los na natureza
											e esperar que transmitissem os seus genes.
											O problema é que, para isso,
teríamos de libertar
											dez vezes o número
de mosquitos nativos.
											Assim, numa aldeia com 10 mil mosquitos,
											teríamos de libertar mais de 100 mil.
											Como podem imaginar,
									","
											(Rires)
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											essa estratégia não foi muito
bem recebida pelos habitantes.
									","
											Puis, en janvier dernier,
Anthony James a reçu un courriel
											d'un biologiste appelé Ethan Bier.
											Il disait qu'avec son étudiant,
Valentino Gantz,
											ils étaient tombés sur un outil
qui non seulement garantissait
											le caractère héréditaire
du gène voulu,
											mais qu'il se répandrait extrêmement vite.
											S'ils étaient dans le vrai,
cela réglerait le problème
											sur lequel lui et James
travaillaient depuis 20 ans.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											(Risos)
											Mas, em janeiro passado,
Anthony James recebeu um e-mail
											de um biólogo chamado Ethan Bier.
											Bier dizia que ele e um seu aluno
Valentino Gantz,
											tinham deparado com uma ferramenta
que podia garantir
											o carácter hereditário do gene específico
											e a sua disseminação com incrível rapidez.
											Se estivessem certos, isso praticamente
resolveria o problema
									","
											Pour tester, ils ont conçu deux moustiques
portant le gène anti-paludisme
											et aussi ce nouvel outil,
un gène conducteur,
											que j'expliquerai après.
											Et ils se sont arrangés
pour que tout moustique
											porteur du gène anti-paludisme
											aurait les yeux rouges,
à la place des yeux blancs normaux.
											C'était surtout par souci de facilité
											pour pouvoir les différencier à vue.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
