en,pt,es,fr,de,title,speaker,duration,tags
"
","
","
","
","
",A new way to remove CO2 from the atmosphere,Jennifer Wilcox,14:15,"alternative energy,climate change,electricity,future,engineering,natural resources,sustainability,pollution,technology,science,environment,Anthropocene"
"
											Four hundred parts per million:
											that's the approximate concentration
of CO2 in the air today.
											What does this even mean?
											For every 400 molecules of carbon dioxide,
											we have another million molecules
of oxygen and nitrogen.
											In this room today,
there are about 1,800 of us.
											Imagine just one of us
was wearing a green shirt,
											and you're asked to find
that single person.
											That's the challenge we're facing
when capturing CO2
											directly out of the air.
											Sounds pretty easy,
											pulling CO2 out of the air.
											It's actually really difficult.
									","
											Quatrocentas partes por milhão:
											esta é aproximadamente
a atual concentração de CO2 no ar.
											O que significa realmente?
											Por cada 400 moléculas 
de dióxido de carbono,
											temos outro milhão de moléculas
de oxigénio e azoto.
											Hoje nesta sala,
há cerca de 1800 pessoas.
											Imaginem que apenas um de nós
estava a vestir uma camisola verde,
											e que vos pedem
para encontrar essa pessoa.
											É esse o desafio que enfrentamos
quando captamos CO2
											diretamente do ar.
											Parece bastante fácil
extrair o CO2 do ar.
											Na realidade, é bastante difícil.
									","
											Cuatrocientas partes por millón.
											Esa es la concentración aproximada
del CO2 en el aire hoy en día.
											¿Qué significa esto?
											Por cada 400 moléculas 
de dióxido de carbono,
											hay un millón de moléculas
de oxígeno y nitrógeno.
											En esta sala hay ahora unas 1800 personas.
											Imaginen si hubiera una sola 
persona con una camisa verde
											y se nos pidiera encontrarla.
											Ese es el reto al que nos enfrentamos
cuando hay que capturar CO2
											directamente del aire.
											Extraer CO2 del aire suena fácil.
											En realidad, es muy difícil.
									","
											400 molécules par million :
											c'est à peu près la concentration 
actuelle de CO2 dans l'air.
											Qu'est-ce que ça veut dire ?
											Pour 400 molécules de dioxyde de carbone,
											il y a un million de molécules
d'oxygène et d'azote.
											Aujourd'hui, nous sommes
1 800 personnes dans cette salle.
											Imaginez que l'un d'entre nous
porte une chemise verte
											et que vous deviez trouver cette personne.
											C'est le défi que nous devons relever
lorsque l'on retire directement
											du CO2 de l'air.
											Ça semble facile
											de retirer du CO2 de l'air.
											Mais en fait, c'est très difficile.
									","
											Vierhundert parts per million:
											das ist in etwa die Konzentration
von CO2 in der Luft heutzutage.
											Aber was bedeutet das?
											Pro 400 CO2-Moleküle
											gibt es eine Million
Sauerstoff- und Stickstoffmoleküle.
											Hier in diesem Raum
sind wir etwa 1800 Personen.
											Stellen Sie sich vor, dass nur eine davon
ein grünes T-Shirt trägt,
											und Sie müssen diese eine Person finden.
											Das ist die Herausforderung,
											wenn wir CO2 direkt aus der Luft
einfangen möchten.
											Das klingt recht einfach,
											CO2 aus der Luft ziehen.
											Es ist tatsächlich kompliziert.
									",A new way to remove CO2 from the atmosphere,Jennifer Wilcox,14:15,"alternative energy,climate change,electricity,future,engineering,natural resources,sustainability,pollution,technology,science,environment,Anthropocene"
"
","
","
","
","
",A new way to remove CO2 from the atmosphere,Jennifer Wilcox,14:15,"alternative energy,climate change,electricity,future,engineering,natural resources,sustainability,pollution,technology,science,environment,Anthropocene"
"
											But I'll tell you what is easy:
											avoiding CO2 emissions to begin with.
											But we're not doing that.
											So now what we have to think
about is going back;
											pulling CO2 back out of the air.
											Even though it's difficult,
it's actually possible to do this.
											And I'm going to share with you today
where this technology is at
											and where it just may be heading
in the near future.
									","
											Mas vou dizer-vos o que é fácil:
											evitar as emissões de CO2, para começar.
											Mas não é isso que estamos a fazer.
											Assim, aquilo em que devemos
pensar é voltar atrás,
											extrair o CO2 do ar.
											Apesar de ser difícil,
é possível fazê-lo.
											Hoje vou partilhar convosco
onde está esta tecnologia
											e onde ela nos pode levar
num futuro próximo.
									","
											Pero les diré qué es fácil:
											evitar las emisiones de CO2.
											Pero no lo hacemos.
											Ahora tenemos que pensar
en cómo volver atrás
											y extraer CO2 del aire.
											Es difícil, pero posible.
											Y hoy voy a contarles en qué punto
se encuentra esta tecnología
											y hacia donde podría
dirigirse en el futuro.
									","
											Je vais vous dire ce qui est facile :
											éviter les émissions de CO2.
											Mais ça, nous ne le faisons pas.
											Donc nous devons penser
à retourner en arrière
											en retirant du CO2 de l’atmosphère.
											Même si ça paraît difficile,
c'est tout à fait faisable.
											Aujourd'hui, je vais vous montrer
à quoi ressemble cette technologie
											et ce qu'elle pourrait devenir
dans un futur proche.
									","
											Aber ich sage Ihnen, was einfach ist:
											CO2 Emissionen direkt zu vermeiden.
											Aber das machen wir nicht.
											Also müssen wir zurückgehen;
											CO2 aus der Luft herausziehen.
											Auch wenn es schwierig ist,
ist es trotzdem möglich.
											Ich werde Ihnen heute erzählen,
wo diese Technology aktuell steht
											und wo sie in der Zukunft
noch hingehen könnte.
									",A new way to remove CO2 from the atmosphere,Jennifer Wilcox,14:15,"alternative energy,climate change,electricity,future,engineering,natural resources,sustainability,pollution,technology,science,environment,Anthropocene"
"
","
","
","
","
",A new way to remove CO2 from the atmosphere,Jennifer Wilcox,14:15,"alternative energy,climate change,electricity,future,engineering,natural resources,sustainability,pollution,technology,science,environment,Anthropocene"
"
											Now, the earth naturally
removes CO2 from the air
											by seawater, soils, plants and even rocks.
											And although engineers and scientists
are doing the invaluable work
											to accelerate these natural processes,
											it simply won't be enough.
											The good news is, we have more.
											Thanks to human ingenuity,
we have the technology today
											to remove CO2 out of the air
											using a chemically manufactured approach.
											I like to think of this
as a synthetic forest.
											There are two basic approaches
to growing or building such a forest.
											One is using CO2-grabbing chemicals
dissolved in water.
											Another is using solid materials
with CO2-grabbing chemicals.
											No matter which approach you choose,
they basically look the same.
									","
											A Terra extrai o CO2 do ar,
naturalmente,
											através da água do mar, dos solos,
das plantas e até mesmo das rochas.
											Apesar de engenheiros e cientistas
estarem a fazer um trabalho inestimável
											para acelerar estes processos naturais,
											isso é insuficiente.
											A boa notícia é que há mais coisas.
											Graças ao engenho humano,
temos hoje uma tecnologia
											para extrair o CO2 do ar
											utilizando uma abordagem 
quimicamente fabricada.
											Eu gosto de pensar nisso 
como uma floresta sintética.
											Há duas abordagens básicas para 
construir ou fazer crescer essa floresta.
											Uma é utilizar químicos
que retêm o CO2 dissolvido na água.
											A outra é utilizar materiais sólidos 
com químicos que retêm o CO2.
											Qualquer que seja a abordagem escolhida,
elas são praticamente a mesma coisa.
									","
											La Tierra extrae CO2 
del aire de manera natural
											mediante el agua de mar, el suelo,
las plantas e incluso las piedras.
											Y aunque los ingenieros y los científicos
están haciendo un trabajo inestimable
											para acelerar estos procesos naturales,
											no es suficiente.
											La buena noticia es
que hay otras alternativas.
											Gracias al ingenio humano, 
hoy en día tenemos la tecnología
											para extraer CO2 del aire
											mediante un sistema
de reacciones químicas.
											Imaginémoslo como un bosque sintético.
											Hay dos técnicas básicas 
para construir estos bosques.
											Una utiliza químicos disueltos
en agua capaces de captar CO2.
											La otra se basa en materiales sólidos
											que contienen químicos 
capaces de captar CO2.
											Da igual qué método se elija, 
pues básicamente son lo mismo.
									","
											La Terre retire naturellement 
du CO2 de l'air
											grâce à l'eau de mer, aux sols, 
aux plantes et même aux roches.
											Et même si ingénieurs et scientifiques
font un travail inestimable
											pour accélérer ce processus naturel,
											ça ne suffira pas.
											La bonne nouvelle,
c'est que l'on peut faire mieux.
											Grâce à l'ingéniosité humaine,
nous avons la technologie nécessaire
											pour retirer du CO2 de l'air
											en utilisant une méthode chimique.
											J'imagine ça comme une forêt synthétique.
											Il y a deux méthodes 
pour créer cette forêt.
											La première est de dissoudre dans l'eau
des composants absorbeurs de CO2.
											La seconde est d'utiliser des matériaux 
solides contenant de tels composants.
											Ces deux méthodes sont similaires.
									","
											Die Erde entfernt von sich aus
Kohlenstoffdioxid aus der Luft
											durch Meere, Böden, Pflanzen
und sogar durch Felsen.
											Und obwohl Ingenieure und Wissenschaftler
die unschätzbare Arbeit erledigen,
											diese natürlichen Prozesse
zu beschleunigen,
											wird es einfach nicht genug sein.
											Die gute Nachricht: Wir haben mehr.
											Dank des menschlichen Einfallsreichtums
haben wir heute die Techologie,
											CO2 mit Hilfe chemischer Verfahren
											aus der Luft zu entfernen.
											Ich vergleiche es gern
mit einem künstlichen Wald.
											Es gibt zwei grundsätzliche Ansätze,
so einen Wald zu züchten oder zu bauen.
											Erstens: Der Einsatz von wasserlöslichen
CO2-aufnehmenden Chemikalien.
											Zweitens: Der Einsatz von Feststoffen
mit CO2-aufnehmenden Chemikalien.
											Unabhängig von der Wahl des Ansatzes,
sind sie im Grundsatz gleich.
									",A new way to remove CO2 from the atmosphere,Jennifer Wilcox,14:15,"alternative energy,climate change,electricity,future,engineering,natural resources,sustainability,pollution,technology,science,environment,Anthropocene"
"
","
","
","
","
",A new way to remove CO2 from the atmosphere,Jennifer Wilcox,14:15,"alternative energy,climate change,electricity,future,engineering,natural resources,sustainability,pollution,technology,science,environment,Anthropocene"
"
											So what I'm showing you here
is what a system might look like
											to do just this.
											This is called an air contactor.
											You can see it has to be
really, really wide
											in order to have
a high enough surface area
											to process all of the air required,
											because remember,
											we're trying to capture
just 400 molecules out of a million.
											Using the liquid-based
approach to do this,
											you take this high surface area
packing material,
											you fill the contactor
with the packing material,
											you use pumps to distribute liquid
across the packing material,
											and you can use fans,
as you can see in the front,
											to bubble the air through the liquid.
											The CO2 in the air
is separated [by] the liquid
											by reacting with the really strong-binding
CO2 molecules in solution.
											And in order to capture a lot of CO2,
											you have to make this contactor deeper.
											But there's an optimization,
											because the deeper
you make that contactor,
											the more energy you're spending
on bubbling all that air through.
											So air contactors for direct air capture
have this unique characteristic design,
											where they have this huge surface area,
but a relatively thin thickness.
									","
											Estou a mostrar aqui
o aspeto de um sistema
											para fazer isso.
											Isto chama-se um contactor de ar.
											Podem ver que tem que ser
muito grande
											para ter uma área superficial
suficientemente grande
											para processar todo o ar necessário,
											porque, lembrem-se,
											estamos a tentar captar
apenas 400 moléculas num milhão.
											Usando a abordagem à base
de líquido para fazer isso,
											pegamos neste equipamento
com uma grande área superficial,
											enchemos o contactor
com o material de acondicionamento,
											usamos bombas para distribuir o líquido
pelo material de acondicionamento,
											e usamos ventoinhas,
como podem ver na frente,
											para fazer borbulhar o ar
através do líquido.
											O CO2 do ar é separado do líquido
											reagindo com as moléculas
de CO2, na solução,
											que têm uma forte tendência
para se ligarem.
											Para captar muito CO2,
											este contactor tem que ser mais profundo.
											Mas há uma otimização
											porque, quanto mais profundo
for o contactor,
											mais energia se gasta
para fazer borbulhar todo aquele ar.
											Assim, os contactores de ar para captação
direta do ar têm este ""design"" especial,
											em que há esta enorme superfície,
mas uma espessura relativamente fina.
									","
											Vemos aquí cómo sería el sistema
que puede hacer esta tarea.
											Esto es un contactor de aire.
											Como ven, es fundamental que sea ancho,
											con una gran superficie que permita
procesar el aire necesario.
											Recuerden que estamos intentando 
capturar solo 400 moléculas en un millón.
											Si se usa el sistema a base de líquidos,
											se toma el material de empaque
de esta gran superficie,
											se llena el contactor 
de aire con este material,
											se usan bombas para distribuir 
el líquido por todo el material
											y con esos ventiladores 
ubicados en la parte delantera
											se hace pasar el aire por el líquido.
											El CO2 del aire se separa del líquido
											al reaccionar con las moléculas de CO2
de enlace fuerte que están en la solución.
											Para poder capturar gran cantidad de CO2,
el contactor debe ser bien profundo.
											Hay mayor aprovechamiento,
											porque cuanto más 
profundo sea el contactor,
											más energía se emplea 
para impulsar el aire.
											Los contactores que extraen aire de forma
directa tienen un diseño característico,
											con una enorme superficie 
pero un espesor relativamente fino.
									","
											Ce que vous voyez là,
											c'est ce à quoi un tel système
peut ressembler.
											Ceci est un contacteur d'air.
											Comme vous le voyez, 
il doit être très long
											afin d'avoir assez d'espace
											pour filtrer suffisamment d'air,
											car, ne l'oublions pas,
											nous voulons capturer
400 molécules parmi un million.
											En utilisant la méthode 
qui se base sur un liquide,
											on prend un absorbeur
à superficie étendue,
											on en remplit le contacteur,
											on utilise des pompes pour répandre
le liquide dans l'absorbeur
											et on peut utiliser des ventilateurs,
comme vous pouvez le voir,
											pour faire passer l'air
à travers le liquide.
											Le CO2 présent dans l'air
est séparé grâce au liquide
											en créant une liaison forte
											avec les molécules
présentes dans la solution.
											Et pour capturer beaucoup de CO2,
											il faut que le contacteur
soit plus profond.
											Mais il peut être optimisé,
											car plus le contacteur est profond,
											plus on utilise de l'énergie 
pour y faire passer l'air.
											Donc les contacteurs d'air
ont un aspect caractéristique :
											ils sont très grands mais très peu épais.
									","
											Ich zeige hier eine Version,
wie solch ein System aussehen kann.
											Das ist eine Art Luftfilter.
											Wie man sieht, muss er
sehr, sehr breit sein,
											um eine ausreichend große
Oberfläche zu haben,
											um die benötigte Luft zu verarbeiten.
											Denn bedenken Sie,
											wir versuchen, 400 Moleküle
aus einer Million zu fangen.
											Beim Einsatz der wasserbasierten Idee
											nimmt man ein Füllmaterial
mit großer Oberfläche,
											der Filter wird mit
diesem Material gefüllt,
											mit Pumpen wird Flüssigkeit
über das Füllmaterial verteilt,
											und es können Gebläse verwendet werden,
wie Sie hier sehen können,
											um die Luft durch
die Flüssigkeit zu sprudeln.
											Das CO2 in der Luft wird
durch die Flüssigkeit abgetrennt,
											indem es mit den sehr stark bindenden
CO2 Molekülen in Lösung reagiert.
											Um möglichst viel CO2 einzufangen,
											muss der Filter tiefer sein.
											Hierbei gibt es eine Verbesserung,
											denn je tiefer der Filter wird,
											desto mehr Energie wird gebraucht,
um die Luft hindurchzuleiten.
											Luftfilter zum direkten Filtern von Luft
haben dieses einzigartige Design,
											bei dem es eine riesige Oberfläche gibt,
aber eine relativ geringe Dicke.
									",A new way to remove CO2 from the atmosphere,Jennifer Wilcox,14:15,"alternative energy,climate change,electricity,future,engineering,natural resources,sustainability,pollution,technology,science,environment,Anthropocene"
"
","
","
","
","
",A new way to remove CO2 from the atmosphere,Jennifer Wilcox,14:15,"alternative energy,climate change,electricity,future,engineering,natural resources,sustainability,pollution,technology,science,environment,Anthropocene"
"
											And now once you've captured the CO2,
											you have to be able to recycle
that material that you used to capture it,
											over and over again.
											The scale of carbon capture is so enormous
											that the capture process
must be sustainable,
											and you can't use a material just once.
											And so recycling the material requires
an enormous amount of heat,
											because think about it:
CO2 is so dilute in the air,
											that material is binding it really strong,
											and so you need a lot of heat
in order to recycle the material.
											And to recycle the material
with that heat,
											what happens is that concentrated CO2
that you got from dilute CO2 in the air
											is now released,
											and you produce high-purity CO2.
											And that's really important,
											because high-purity CO2
is easier to liquify,
											easier to transport, whether
it's in a pipeline or a truck,
											or even easier to use directly,
											say, as a fuel or a chemical.
									","
											Depois de captar o CO2,
											temos que reciclar o material
que usámos para o captar,
											uma e outra vez.
											A escala de carbono captado
é tão grande
											que o processo de captação
tem de ser sustentável,
											e não podemos usar o material
apenas uma vez.
											Mas reciclar o material exige
uma grande quantidade de calor,
											porque, pensem nisto,
o CO2 está tão dissolvido no ar,
											o material está a prendê-lo
com tanta força,
											que é preciso muito calor
para reciclar o material.
											Ao reciclar o material com esse calor,
											o CO2 concentrado
que estava dissolvido no ar
											liberta-se
											produzindo CO2 altamente puro.
											Isso é muito importante
											porque o CO2 altamente puro
é mais fácil de liquidificar,
											mais fácil de transportar, quer seja
por uma conduta ou um camião,
											ou ainda mais fácil para usar diretamente,
											digamos, como combustível
ou produto químico.
									","
											Una vez que se ha capturado el CO2,
											se debe poder reciclar el material 
utilizado para capturarlo una y otra vez.
											La magnitud de captura 
del carbono es tan grande
											que ese proceso debe ser sostenible
											y no es ideal usar
el material una sola vez.
											Reciclar el material requiere 
una gran cantidad de calor,
											porque el CO2 está tan diluido en el aire
y el material que lo capta es tan fuerte
											que se necesita mucho calor
para poder reciclar ese material.
											Y al reciclar el material con ese calor,
											el CO2 concentrado que se obtuvo
a partir del CO2 diluido en el aire
											se libera y se obtiene
un CO2 de alta pureza.
											Y esto es muy importante,
											porque el CO2 de alta pureza
es más fácil de licuar,
											más fácil de transportar, 
ya sea en tubos o camiones,
											o incluso más fácil de usar directamente,
como combustible o como químico.
									","
											Lorsque le CO2 a été capturé,
											il faut pouvoir recycler à l'infini
le matériau utilisé pour capturer le CO2.
											L'échelle du captage de CO2 est si grande
											que le procédé doit être durable
											et on ne peut pas utiliser 
un matériau qu'une seule fois.
											Donc recycler le matériau
nécessite beaucoup de chaleur
											et voici pourquoi :
le CO2 est si dilué dans l'air,
											les liaisons avec le matériau
sont très fortes
											et donc il faut beaucoup de chaleur
pour recycler le matériau.
											Pour recycler le matériau 
avec cette chaleur,
											le CO2 concentré que l'on obtient
à partir du CO2 dilué dans l'air,
											est libéré
											et cela produit du CO2 extrêmement pur.
											C'est très important,
											car du CO2 si pur
est plus facile à liquéfier,
											plus facile à transporter,
dans des oléoducs ou en camion,
											et plus facile à utiliser directement,
											comme par exemple en carburant
ou en composant chimique.
									","
											Wenn dann CO2 aufgefangen wurde,
											muss das genutzte Material recycelt werden
											und das immer wieder.
											Es wird so viel CO2 eingefangen,
											dass der Filterprozess
nachhaltig sein muss.
											Also kann ein Material nicht nur
einmal verwendet werden.
											Das Recyceln des Materials verbraucht
eine enorme Menge an Wärme,
											denn bedenken Sie:
CO2 ist so verdünnt in der Luft,
											dass es vom Material sehr
stark gebunden wird.
											Also wird sehr viel Wärme
zum Recyceln dieses Materials benötigt.
											Um das Material zu recyceln,
											wird das konzentrierte CO2 freigegeben,
											und man erhält hochreines CO2.
											Und das ist wirklich wichtig,
											denn hochreines CO2
lässt sich leichter verflüssigen,
											leichter transportieren,
entweder mittels Pipeline oder LKW,
											oder noch einfacher, direkt nutzen,
											zum Beispiel als Treibstoff
oder eine Chemikalie.
									",A new way to remove CO2 from the atmosphere,Jennifer Wilcox,14:15,"alternative energy,climate change,electricity,future,engineering,natural resources,sustainability,pollution,technology,science,environment,Anthropocene"
