en,fr,tr,title,speaker,duration,tags
"
","
","
","Why should you read ""Lord of the Flies"" by William Golding?",Jill Dash,4:25,"TED-Ed,literature,book,animation,education,books,novel,history,war,society,humanity,violence,morality,indigenous peoples"
"
											William Golding was losing 
his faith in humanity.
											Serving aboard a British destroyer 
in World War II,
											the philosophy teacher turned Royal Navy 
lieutenant was constantly confronted
											by the atrocities of his fellow man.
											And when he returned to England 
to find Cold War superpowers
											threatening one another 
with nuclear annihilation,
											he was forced to interrogate 
the very roots of human nature.
											These musings on the inevitability 
of violence
											would inspire his first and most famous 
novel: ""Lord of the Flies.""
									","
											William Golding perdait foi en l'humanité.
											Servant sur un destroyer britannique
pendant la Seconde Guerre mondiale,
											ce professeur de philosophie, devenu
lieutenant dans la Marine anglaise,
											était constamment confronté
aux atrocités de ses semblables.
											Lorsqu'il revint en Angleterre, il trouva
les super-puissances de la Guerre Froide
											se menaçant les unes les autres
d'annihilation nucléaire,
											et cela le poussa à s'interroger sur les
racines profondes de la nature humaine.
											Ces réflexions sur la violence inévitable
											lui inspireront son premier et plus
célèbre roman, « Sa Majesté des mouches ».
									","
											William Golding, insanlığa olan
inancını kaybediyordu.
											Felsefe hocasıyken
Kraliyet Donanması'na geçen teğmen,
											İkinci Dünya Savaşı’nda
bir İngiliz muhribinde çalışırken
											sürekli arkadaşlarının gaddarlığıyla
yüz yüze geliyordu.
											İngiltere’ye döndüğünde,
Soğuk Savaş süper güçlerinin
											birbirlerini nükleer yok oluşla
tehdit ettiklerini görünce
											insan doğasının temellerini
sorgulamaya mecbur kalmıştı.
											Şiddetin kaçınılmazlığıyla alakalı
bu derin düşünceler,
											onun ilk ve en ünlü romanına
ilham verecekti: ""Sineklerin Tanrısı""na.
									","Why should you read ""Lord of the Flies"" by William Golding?",Jill Dash,4:25,"TED-Ed,literature,book,animation,education,books,novel,history,war,society,humanity,violence,morality,indigenous peoples"
"
","
","
","Why should you read ""Lord of the Flies"" by William Golding?",Jill Dash,4:25,"TED-Ed,literature,book,animation,education,books,novel,history,war,society,humanity,violence,morality,indigenous peoples"
"
											After being rejected by 21 publishers,
											the novel was finally published in 1954.
											It takes its title from Beelzebub, 
a demon associated with pride and war—
											two themes very much 
at the heart of Golding’s book.
											The novel was a bleak satire 
of a classic island adventure story,
											a popular genre where young boys 
get shipwrecked in exotic locations.
											The protagonists in these stories 
are able to master nature
											while evading the dangers 
posed by their new environments.
											The genre also endorsed 
the problematic colonialist narrative
											found in many British works at the time,
											in which the boys teach the island’s 
native inhabitants
											their allegedly superior British values.
											Golding’s satire even goes so far 
as to explicitly use the setting
											and character names from R.M. Ballantyne’s
""Coral Island""—
											one of the most beloved 
island adventure novels.
											But while Ballantyne’s book 
promised readers
											""pleasure... profit... and unbounded 
amusement,”
											Golding’s had darker things in store.
									","
											Après avoir été rejeté par 21 éditeurs,
											le roman fut finalement publié en 1954.
											Le titre est inspiré de Belzébuth, un
démon associé à la fierté et à la guerre -
											deux thèmes chers au cœur de Golding
dans son livre.
											Le roman est une satire sinistre du
traditionnel récit d'aventure insulaire,
											un genre ayant le vent en poupe
											dans lequel de jeunes garçons s'échouent
dans des lieux exotiques.
											Les protagonistes de ces histoires
sont capables de maitriser la nature
											tout en échappant aux dangers
de leurs nouveaux environnements.
											Le genre entérine également
la problématique du récit colonialiste
											présente dans de nombreux
ouvrages anglais à l'époque,
											dans lesquels les garçons apprennent
aux habitants natifs de l'île
											leurs valeurs anglaises
soi-disant supérieures.
											La satire de Golding va jusqu'à utiliser
explicitement le cadre
											et les noms des personnages du roman
de R.M. Ballantyne, « L'Île de corail » -
											un des romans d'aventures insulaires
les plus plébiscités.
											Mais si le livre de Ballantyne
promet aux lecteurs
											« du plaisir... du gain...
et un amusement sans limite »,
											Golding avait en tête
des idées plus noires.
									","
											21 yayıncı tarafından reddedildikten sonra
											roman, nihayet 1954’te yayımlandı.
											Roman, başlığını Beelzebub’dan alır:
Golding’in kitabının merkezindeki
											iki konu olan gurur ve savaşla
ilişkilendirilmiş bir iblis.
											Roman, tuhaf yerlerde
gemi kazası geçirmiş çocukları anlatan
											ve popüler olan klasik ada macerası
hikâyelerinin kasvetli bir hicviydi.
											Bu hikâyelerdeki kahramanlar,
yeni çevrelerinin oluşturduğu
											tehlikelerden kurtularak
doğaya hakim olmayı başarıyorlar.
											Bu tür, ayrıca zamanın
birçok İngiliz eserinde bulunan
											ve çocukların adanın yerlilerine
											sözde daha üstün
İngiliz değerlerini öğrettiği
											problematik sömürgeci
yaklaşımı da destekliyordu.
											Golding’in hicvi, en çok sevilen
ada macerası hikâyelerinden biri olan
											R.M. Ballantyne’ın Mercan Adası’ndan
yer ve karakter isimlerini
											açıkça kullanacak kadar ileri gidiyor.
											Ancak Ballantyne’ın kitabı okuyuculara
											“keyif, fayda
ve sınırsız eğlence” sunarken
											Golding’in kitabında
daha karanlık şeyler vardı.
									","Why should you read ""Lord of the Flies"" by William Golding?",Jill Dash,4:25,"TED-Ed,literature,book,animation,education,books,novel,history,war,society,humanity,violence,morality,indigenous peoples"
"
","
","
","Why should you read ""Lord of the Flies"" by William Golding?",Jill Dash,4:25,"TED-Ed,literature,book,animation,education,books,novel,history,war,society,humanity,violence,morality,indigenous peoples"
"
											""Lord of the Flies"" opens 
with the boys already on the island,
											but snippets of conversation hint 
at their terrifying journey—
											their plane had been shot down in 
the midst of an unspecified nuclear war.
											The boys, ranging in age from 6 to 13, 
are strangers to each other.
											All except for a choir, clad in black 
uniforms and led by a boy named Jack.
											Just as in Ballantyne’s ""Coral Island,""
											the boy’s new home appears 
to be a paradise—
											with fresh water, shelter, 
and abundant food sources.
											But even from the novel’s opening pages,
											a macabre darkness hangs over 
this seemingly tranquil situation.
											The boys’ shadows are compared 
to “black, bat-like creatures”
											while the choir itself first appears as
											“something dark... fumbling along” 
the beach.
											Within hours of their arrival,
											the boys are already trading terrifying 
rumors of a vicious “beastie”
											lurking in the woods.
									","
											« Sa Majesté des mouches » débute alors
que les garçons sont déjà sur l'île,
											mais des bribes de conversation
font allusion à leur terrifiant voyage -
											leur avion avait été abattu lors d'une
guerre nucléaire non spécifiée.
											Les garçons, âgés de 6 à 13 ans,
ne se connaissent pas.
											À l'exception d'un chœur,
tous portent des uniformes noirs
											et menés par un garçon appelé Jack.
											Tout comme dans « L'Île de corail »
de Ballantyne,
											la nouvelle demeure des garçons
semble être un paradis -
											avec de l'eau fraiche, un abri
et de la nourriture en abondance.
											Mais dès les premières pages du roman,
											une noirceur macabre plane sur cette
composition à l'apparence tranquille.
											Les ombres des garçons sont comparées
											à « des créatures noires,
des chauves-souris »,
											tandis que le chœur semble
d'abord apparaitre comme
											« quelque chose de sombre... tâtonnant »
sur la plage.
											Quelques heures seulement
après leur arrivée,
											les garçons échangent déjà de rumeurs
terrifiantes d'une « bestiole » vicieuse
											tapie dans les bois.
									","
											“Sineklerin Tanrısı”
çocuklar adadayken başlar
											ama konuşmalarının kesitleri,
korkutucu yolculuklarını hissettirir:
											Uçakları, belirtilmemiş bir
nükleer savaşın ortasında düşürülmüştür.
											6 ve 13 yaşları arasında olan çocuklar,
birbirlerine karşı yabancılardır.
											Siyah üniformalara bürünmüş ve Jack adında
bir çocuğun liderliğindeki koro hariç.
											Tıpkı Ballantyne’ın
Mercan Adası’ndaki gibi
											çocukların yeni evi temiz su, barınak
ve bolca yemek kaynağıyla
											cennet gibi görünür.
											Fakat romanın ilk sayfalarında bile
											korkunç bir karanlık, görünüşte
huzurlu olan ortamın üzerine çöker.
											Çocukların gölgeleri “siyah, yarasayı
andıran varlıklara ” benzetilirken
											Kitabın başında, koronun kendisi
											kumsalda “kara bir şey bocalayarak
ilerliyordu” diye anlatılır.
											Varışlarından saatler sonra
											çocuklar, hemen ormanda gizlenen
korkunç bir canavar söylentileri yayarlar.
									","Why should you read ""Lord of the Flies"" by William Golding?",Jill Dash,4:25,"TED-Ed,literature,book,animation,education,books,novel,history,war,society,humanity,violence,morality,indigenous peoples"
"
","
","
","Why should you read ""Lord of the Flies"" by William Golding?",Jill Dash,4:25,"TED-Ed,literature,book,animation,education,books,novel,history,war,society,humanity,violence,morality,indigenous peoples"
"
											From these ominous beginnings,
											Golding’s narrative reveals 
how quickly cooperation unravels
											without the presence 
of an adult authority.
											Initially, the survivors try 
to establish some sense of order.
											A boy named Ralph blows into a conch shell
to assemble the group,
											and delegate tasks.
											But as Jack vies 
for leadership with Ralph,
											the group splinters 
and the boys submit to their darker urges.
											The mob of children soon forgets 
their plans for rescue,
											silences the few voices of reason,
											and blindly follows Jack to the edge 
of the island, and the edge of sanity.
									","
											Dès ces débuts inquiétants,
											le récit de Golding révèle la rapidité
à laquelle arrive la coopération
											sans la présence d'une autorité adulte.
											Au début, les survivants tentent
d'établir un certain ordre.
											Un garçon, Ralph, souffle dans un
coquillage pour rassembler le groupe
											et assigne des tâches.
											Mais alors que Jack dispute
le pouvoir à Ralph,
											le groupe éclate et les garçons sombrent
dans leurs plus bas instincts.
											Les enfants oublient bien vite
leurs plans de sauvetage,
											font taire les quelques voix de la raison,
											et suivent aveuglément Jack jusqu'à
la limite de l'île et de leur raison.
									","
											Bu uğursuz başlangıçla
											Golding’in anlatımı,
yetişkin otoritesi olmadan
											iş birliğinin nasıl mahvolduğunu
açığa çıkarır.
											Başlarda, hayatta kalanlar
bir düzen oluşturmaya çalışır.
											Ralph adındaki çocuk,
											grubu toplamak ve görevlendirmek için
bir deniz kabuğunu öttürür.
											Ancak Jack liderlik için
Ralph ile yarışınca
											grup bölünür ve çocuklar
karanlık dürtülerine boyun eğer.
											Çocuk çetesi kısa bir süre içinde
kurtulma planlarını unutur,
											mantıklı düşünen birkaç kişiyi susturur
											ve körü körüne Jack’i adanın
ve deliliğin sınırına kadar takip eder.
									","Why should you read ""Lord of the Flies"" by William Golding?",Jill Dash,4:25,"TED-Ed,literature,book,animation,education,books,novel,history,war,society,humanity,violence,morality,indigenous peoples"
"
","
","
","Why should you read ""Lord of the Flies"" by William Golding?",Jill Dash,4:25,"TED-Ed,literature,book,animation,education,books,novel,history,war,society,humanity,violence,morality,indigenous peoples"
"
											The novel’s universal themes 
of morality, civility, and society
											have made it a literary classic,
											satirizing both conventions of its time 
and long held beliefs about humanity.
											While island adventure stories 
often support colonialism,
											""Lord of the Flies"" 
turns this trope on its head.
											Rather than cruelly casting native 
populations as stereotypical savages,
											Golding transforms his angelic British 
schoolboys into savage caricatures.
											And as the boys fight 
their own battle on the island,
											the far more destructive war 
that brought them there
											continues off the page.
											Even if the boys were to be rescued 
from themselves,
											what kind of world would 
they be returning to?
									","
											Les thèmes universels du roman,
la moralité, la civilité et la société
											en ont fait un classique
de la littérature,
											faisant à la fois la satire des
conventions de son temps
											et des vieilles croyances sur l'humanité.
											Bien que les romans d'aventure insulaire
approuvent parfois le colonialisme,
											« Sa Majesté des mouches » retourne
ce sujet contre lui-même.
											Plutôt que de dépeindre les populations
natives comme des sauvages caricaturés,
											Golding transforme ses angéliques
garçonnets anglais en caricatures féroces.
											Tandis que les garçons mènent
leur propre bataille sur l'île,
											la guerre bien plus destructrice qui les a
amenés là continue en arrière-plan.
											Même si les garçons étaient sauvés
d'eux-mêmes,
											dans quel genre de monde
retourneraient-ils vivre ?
									","
											Romanın evrensel ahlak,
nezaket ve toplum konuları
											onu bir edebi klasik yaptı
											ve zamanın gelenekleri ile insanlığa
uzun süredir olan inancı eleştirdi.
											Ada macerası hikâyeleri
genelde sömürgeciliği desteklerken
											“Sineklerin Tanrısı” bu klişeyi
tamamen değiştirir.
											Yerli nüfusu, stereotip vahşiler gibi
zalimce göstermek yerine
											Golding, melek gibi olan İngiliz
çocuklarını vahşi karakterlere dönüştürür.
											Çocuklar, adada kendi savaşlarını verirken
											onları adaya getiren çok daha yıkıcı savaş
sayfa dışında devam eder.
											Çocuklar kendilerinden kurtulsalardı bile
											nasıl bir dünyaya dönerlerdi?
									","Why should you read ""Lord of the Flies"" by William Golding?",Jill Dash,4:25,"TED-Ed,literature,book,animation,education,books,novel,history,war,society,humanity,violence,morality,indigenous peoples"
"
","
","
","Why should you read ""Lord of the Flies"" by William Golding?",Jill Dash,4:25,"TED-Ed,literature,book,animation,education,books,novel,history,war,society,humanity,violence,morality,indigenous peoples"
