en,fr,tr,es,title,speaker,duration,tags
"
","
","
","
",What happened when we paired up thousands of strangers to talk politics,Jochen Wegner,13:46,"politics,society,social change,journalism,culture,communication,media,democracy,news"
"
											Now, this is Joanna.
											Joanna works at a university in Poland.
											And one Saturday morning at 3am,
											she got up, packed her rucksack
											and traveled more than
a thousand kilometers,
											only to have a political argument
											with a stranger.
											His name is Christof,
and he's a customer manager from Germany.
											And the two had never met before.
											They only knew that they were
totally at odds over European politics,
											over migration, or the relationship
to Russia or whatever.
											And they were arguing for almost one day.
											And after that, Joanna sent me
a somewhat irritating email.
											""That was really cool, and I enjoyed
every single minute of it!""
									","
											Voici Joanna.
											Joanna travaille
dans une université en Pologne.
											Un samedi à 3h du matin,
											elle s'est levée, a préparé son sac à dos
											et a parcouru plus de 1 000 kilomètres
											pour avoir une discussion politique
											avec un inconnu.
											Son nom est Christof et il est
responsable clientèle en Allemagne.
											Ils ne s'étaient jamais rencontrés.
											Ils savaient seulement
qu'ils étaient en désaccord complet
											sur la politique européenne
											au sujet de la migration,
de la relation avec la Russie et autres.
											Ils ont débattu
pendant près d'une journée.
											Après cela, Joanna m'a envoyé
un mail quelque peu énervant :
											« C'était vraiment cool,
j'en ai apprécié chaque minute ! »
									","
											Bu, Joanna.
											Joanna, Polonya'da 
bir üniversitede çalışıyor.
											Bir cumartesi sabahı saat 3'te kalktı,
											sırt çantasını topladı
											ve bin kilometreden fazla yol aldı,
											sadece bir yabancıyla
siyasi bir tartışma yapmak için.
											Adı Christof ve Almanya'da
bir müşteri yöneticisi.
											İkisi daha önce hiç tanışmadılar.
											Sadece Avrupa siyaseti, göçmenlik 
veya Rusya'yla ilişkiler hakkında,
											ne olursa olsun tamamen 
karşıt görüşte olduklarını biliyorlardı.
											Neredeyse bir gün boyunca tartıştılar.
											Daha sonra Joanna bana bir parça
sinir bozucu bir e-posta yolladı.
											""Bu gerçekten çok iyiydi,
her bir dakikasından zevk aldım!""
									","
											Bien, esta es Joanna.
											Joanna trabaja en una
universidad en Polonia,
											y un sábado a las 3 de la mañana,
											se levantó, preparó su mochila
											y viajó más de mil kilómetros,
											solo para tener 
una discusión sobre política
											con un desconocido.
											Su nombre es Christof, 
y es un gerente de Alemania.
											Los dos nunca se habían visto.
											Solo sabían que estaban totalmente
en desacuerdo sobre política europea,
											sobre migración, sobre la relación
con Rusia o lo que fuera.
											Y estuvieron discutiendo
casi un día.
											Y después de eso, Joana me envió
un email algo irritante.
											""¡Fue genial, y disfruté cada minuto!"".
									",What happened when we paired up thousands of strangers to talk politics,Jochen Wegner,13:46,"politics,society,social change,journalism,culture,communication,media,democracy,news"
"
","
","
","
",What happened when we paired up thousands of strangers to talk politics,Jochen Wegner,13:46,"politics,society,social change,journalism,culture,communication,media,democracy,news"
"
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What happened when we paired up thousands of strangers to talk politics,Jochen Wegner,13:46,"politics,society,social change,journalism,culture,communication,media,democracy,news"
"
","
","
","
",What happened when we paired up thousands of strangers to talk politics,Jochen Wegner,13:46,"politics,society,social change,journalism,culture,communication,media,democracy,news"
"
											So these are Tom from the UK
and Nils from Germany.
											They also were strangers,
											and they are both supporters
of their local football team,
											as you may imagine, Borussia Dortmund
and Tottenham Hotspurs.
											And so they met on the very spot
where football roots were invented,
											on some field in Cambridge.
											And they didn't argue about football,
											but about Brexit.
											And after talking for many hours
about this contentious topic,
											they also sent a rather unexpected email.
											""It was delightful, and we both
enjoyed it very much.""
									","
											Voici Tom du Royaume-Uni
et Nils d'Allemagne.
											Ils ne se connaissaient pas
											et ils sont tous deux supporters
de leur équipe de football locale,
											vous le devinez aux écharpes :
Borussia Dortmund et Tottenham Hotspurs.
											Ils se sont rencontrés
											là où leurs racines footballistiques
ont été inventées :
											sur un terrain à Cambridge.
											Ils n'ont pas débattu de football
											mais au sujet du Brexit.
											Après avoir parlé de nombreuses heures
de ce sujet conflictuel,
											ils ont aussi envoyé
un mail plutôt inattendu :
											« C'était charmant et nous avons
tous les deux beaucoup apprécié. »
									","
											Bunlar da Birleşik Krallık'tan Tom
ve Almanya'dan Nils.
											Onlar da birbirine yabancıydı
											ve ikisi de kendi yerel 
futbol takımlarının destekçileriydi,
											tahmin edebileceğiniz üzere
Borussia Dortmund ve Tottenham Hotspurs.
											Futbolun kökenlerinin icat edildiği
Cambridge'teki bir sahada,
											tam bu noktada tanıştılar.
											Futbol üzerine değil,
											Brexit üzerine tartıştılar.
											Bu çekişmeli konu hakkında
birkaç saat tartıştıktan sonra
											onlar da oldukça
beklenmedik bir e-posta yolladılar.
											""Pek hoştu ve ikimiz de çok zevk aldık.""
									","
											Así que estos son Tom de
Reino Unido y Nils de Alemania.
											También eran desconocidos,
											y ambos son seguidores de
su equipo de fútbol local,
											como pueden imaginar, 
Borussia Dortmund y Tottenham Hotspurs.
											Se encontraron donde se inventaron
las raíces del fútbol,
											en algún campo de Cambridge.
											Y no discutieron sobre fútbol,
											sino sobre el Brexit.
											Y después de hablar muchas horas
sobre este tema polémico,
											enviaron un email bastante inesperado.
											""Fue encantador, y ambos 
lo disfrutamos mucho"".
									",What happened when we paired up thousands of strangers to talk politics,Jochen Wegner,13:46,"politics,society,social change,journalism,culture,communication,media,democracy,news"
"
","
","
","
",What happened when we paired up thousands of strangers to talk politics,Jochen Wegner,13:46,"politics,society,social change,journalism,culture,communication,media,democracy,news"
"
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What happened when we paired up thousands of strangers to talk politics,Jochen Wegner,13:46,"politics,society,social change,journalism,culture,communication,media,democracy,news"
"
","
","
","
",What happened when we paired up thousands of strangers to talk politics,Jochen Wegner,13:46,"politics,society,social change,journalism,culture,communication,media,democracy,news"
"
											So in spring 2019,
											more than 17,000 Europeans
from 33 countries
											signed up to have a political argument.
											Thousands crossed their borders to meet
a stranger with a different opinion,
											and they were all part of a project
called ""Europe Talks.""
									","
											Au printemps 2019,
											plus de 17 000 Européens issus de 33 pays
											se sont inscrits
pour avoir un débat politique.
											Des milliers de gens
ont traversé des frontières
											pour rencontrer un inconnu
avec une opinion différente.
											Ils faisaient partie d'un projet
appelé « L'Europe se parle ».
									","
											Bu yüzden 2019 ilkbaharında
											33 ülkeden 17 binden fazla Avrupalı
											siyasi bir tartışma yapmak için kaydoldu.
											Binlercesi, farklı düşünen bir yabancıyla
buluşmak için sınırları aştılar
											ve hepsi ""Avrupa Tartışıyor"" adında 
bir projenin parçasıydı.
									","
											Así que, en la primavera de 2019,
											más de 17 000 europeos de 33 países
											se inscribieron para tener 
una discusión sobre política.
											Miles cruzaron sus fronteras para
encontrarse con un desconocido
											con una opinión diferente
											y todos fueron parte de un proyecto
llamado ""Europe Talks"".
									",What happened when we paired up thousands of strangers to talk politics,Jochen Wegner,13:46,"politics,society,social change,journalism,culture,communication,media,democracy,news"
