de,en,es,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											Zweihundertneunundfünfzig Millionen
											einhundertsechstausend Kilogramm Papierhandtücher
											werden durch Amerikaner verbraucht –
											pro Jahr.
											Wenn wir – Berichtigung, falscher Wert –
											6 Milliarden werden pro Jahr verbraucht.
											Wenn wir den Verbrauch von Papierhandtüchern
											um ein Papierhandtuch pro Kopf 
und Tag reduzieren könnten,
											blieben 259.105.570 Kilogramm Papier unverbraucht.
											Das könnten wir schaffen.
									","
											Five hundred seventy-one million
											two hundred thirty thousand pounds of paper towels
											are used by Americans
											every year.
											If we could — correction, wrong figure —
											13 billion used every year.
											If we could reduce the usage of paper towels,
											one paper towel per person per day,
											571,230,000 pounds of paper not used.
											We can do that.
									","
											Doscientos cincuenta y nueve millones
											ciento seis mil kilos de toallas de papel
											usan los estadounidenses
											cada año.
											Si pudiéramos -corrección, cifra incorrecta-
											5900 millones cada año.
											Si pudiéramos reducir el uso
											a una toalla de papel por persona, por día,
											ahorraríamos 259 106 000 kilos de papel.
											Podemos hacerlo.
									","
											Cinq cent soixante-et-onze millions
											deux cent trente mille livres de serviettes en papier
											sont utilisées par les Américains
											chaque année.
											Si l'on pouvait — pardon, je me suis trompé de chiffres —
											13 milliards par an.
											Si l'on pouvait réduire l'usage des serviettes en papier,
											d'une feuille par personne et par jour,
											571 230 000 livres de papier serait économisées.
											Nous pouvons le faire.
									","
											İki yüz elli dokuz milyon
											yüz on beş bin kilo kağıt havlu
											kullanılıyor bir yıl içinde
											Amerika'da.
											Mümkün olsa — lafın gelişi —
											10 milyarını bile kullanabilirdik.
											Herkes günde bir kağıt havlu
											daha az kullansa
											259,115,000 kilo kağıt harcanmazdı.
											Bunu yapabiliriz.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											Es gibt viele verschiedene Sorten 
von Papierhandtuchspendern.
											Es gibt das dreifach-gefaltete. Davon nimmt 
man üblicherweise zwei oder drei.
											Es gibt den, der das Papier abschneidet, 
bei dem das Papier abgerissen werden muss.
											Man nimmt eins, zwei, drei, vier, reißt dann ab.
											So viel, oder?
											Es gibt Papier, das sich selbst abreißen lässt.
											Man reißt eins, zwei, drei, vier ab.
											Oder dasselbe, nur mit Recycling-Papier.
											Davon braucht man gleich fünf, 
weil sie natürlich nicht so saugstark sind.
									","
											Now there are all kinds of paper towel dispensers.
											There's the tri-fold. People typically take two or three.
											There's the one that cuts it, that you have to tear off.
											People go one, two, three, four, tear.
											This much, right?
											There's the one that cuts itself.
											People go, one, two, three, four.
											Or there's the same thing, but recycled paper,
											you have to get five of those because they're not as absorbent, of course.
									","
											Hay todo tipo de dispensadores de toallas de papel.
											Están los de tres pliegues. La gente generalmente toma dos o tres.
											Están los que se arrancan.
											La gente arranca uno, dos, tres, cuatro.
											Un trozo así, ¿cierto?
											Están los de corte automático.
											La gente toma uno, dos, tres, cuatro.
											O están los mismos, pero de papel reciclado,
											y se toman cinco hojas porque no absorben tanto, por supuesto.
									","
											Il y a toutes sortes de distributeurs de serviettes.
											Il y a celui à serviettes pliées. Généralement les gens en prennent deux ou trois.
											Il y a celui qui les découpe, celui où vous devez déchirer.
											Les gens font un, deux, trois, quatre, déchire.
											Tout ça, n'est-ce pas?
											Il y a celui qui coupe tout seul.
											Les gens font un, deux, trois, quatre.
											Ou il y a la même chose, mais avec du papier recyclé,
											celles-là il en faut cinq car elles n'absorbent pas autant.
									","
											Biliyorsunuz ki çeşit çeşit kağıt havlular var.
											Üç katlı bükülmüş olanlar var. İnsanlar ikişer ya da üçer tane kullanıyor.
											Çekerek koparmanız gerekenler var.
											İnsanlar bir, iki, üç, dört, çekip, sonra yırtıyor.
											Bu kadarını, değil mi?
											Kendiliğinden kesilmiş olanlar var.
											Millet çekiyor; bir, iki, üç, dört.
											Aynısının geri dönüşümlü kağıttan olan versiyonu var,
											tabii ki daha az su çektiği için bundan beşer tane alıyoruz.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											Tatsache ist, dass man das alles 
mit einem Handtuch tun kann.
											Der Schlüssel, zwei Wörter:
											Diese Seite des Saals, Ihr Wort ist ""schütteln"".
											Los geht's. Schütteln. Lauter!
									","
											The fact is, you can do it all with one towel.
											The key, two words:
											This half of the room, your word is ""shake.""
											Let's hear it. Shake. Louder.
									","
											El hecho es que puede secarse con una sola toalla.
											La clave está en dos palabras:
											Para esta mitad de la sala la palabra es ""sacudir"".
											Quiero oírlos. ""Sacudir"". Más fuerte.
									","
											Le fait est que vous pouvez le faire avec une seule serviette.
											Le secret tient en deux mots:
											Cette moitié de la salle, dites ""secouer:""
											Je vous écoute. Secouer. Plus fort.
									","
											Ama aslında, sadece bir havlu işimizi görürdü.
											Bunun anahtarı iki kelime:
											Salonun bu yarısı, sizin kelimeniz ""salla.""
											Duyalım. Salla. Daha yüksek.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											(Publikum): Schütteln.
									","
											Audience: Shake.
									","
											Audiencia: ""Sacudir"".
									","
											Public : Secouer.
									","
											Seyirciler: Salla.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											Joe Smith: Ihr Wort ist ""falten"".
									","
											Joe Smith: Your word is ""fold.""
									","
											Joe Smith: Para Uds. la palabra es ""plegar"".
									","
											Joe Smith: dites ""plier.""
									","
											Joe Smith: Sizin kelimeniz ""katla.""
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
