pt,fr,de,title,speaker,duration,tags
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
											Existe uma piada, sobre um polícia
											que está a fazer a sua patrulha 
a meio da noite,
											e encontra um sujeito 
sob a luz do candeeiro,
											a olhar para o chão e a andar 
de um lado para o outro.
											O polícia pergunta-lhe 
o que está a fazer.
											O sujeito diz que está 
à procura das chaves.
											Então, o polícia decide ajudar 
e começa a procurar
											e faz uma espécie de matriz, 
procurando durante dois ou três minutos.
											Não encontram as chaves.
									","
											Il y a une vieille blague 
sur un policier qui fait sa ronde
											au milieu de la nuit,
											et qui rencontre un homme sous un réverbère
											qui regarde le sol,
se balançant d'un pied sur l'autre.
											Le policier lui demande ce qu'il fait.
											L'homme dit qu'il cherche ses clés.
											Alors, le policier prend son temps
et cherche aussi,
											il fait comme un quadrillage, cherche
											pendant environ deux, trois minutes.
Pas de clés.
									","
											Es gibt da einen alten Witz über 
einen Polizisten auf Rundgang,
											mitten in der Nacht,
											und er trifft einen Typ unter einer Straßenlampe,
											der auf dem Boden guckt, während er 
von einer Seite zur anderen läuft,
											und der Polizist fragt ihn, was er da tut.
											Der Typ sagt, er suche seine Schlüssel.
											Also nimmt sich der Polizist etwas Zeit und sucht mit,
											läuft ein kleines Raster ab und sucht
											für etwa 2 bis 3 Minuten. Keine Schlüssel.
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
											O polícia diz: ""Amigo, tem a certeza?
											""Tem a certeza que perdeu as chaves aqui?""
									","
											Le policier dit : « Tu es certain ? Hé, mon gars,
											es-tu certain que tu as perdu tes clés ici ? »
									","
											Der Polizist fragt: ""Bist du sicher? Hey Kumpel,
											bist du sicher, dass du die hier verloren hast?""
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
											E o sujeito diz:
""Não, eu perdi-as ali em baixo,
											""na outra ponta da estrada,
											""mas a luz aqui é melhor.""
											(Risos)
									","
											L'homme répond : « Non, non,
en fait je les ai perdues
											à l'autre bout de la rue,
											mais l'éclairage est meilleur ici. »
									","
											Und der Typ sagt: ""Nein, nein, ich hab sie eigentlich
											am anderen Ende der Straße verloren,
											aber hier sehe ich mehr.""
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
											Existe um conceito em voga 
chamado ""metadados"".
											Significa toda a informação 
que estamos a gerar
											através da nossa interacção
com e através da Internet,
											tudo desde o Facebook e o Twitter,
											até ""downloads"" de músicas,
filmes, ""streaming"", tudo isso,
											como o ""stream"" em tempo real do TED.
											As pessoas que trabalham com metadados
											dizem que o maior problema
											é que temos demasiada informação.
											O maior problema é,
como organizar toda essa informação?
									","
											Il y a un concept
dont les gens parlent aujourd'hui,
											nommé « big data », et ce dont ils parlent,
											c'est toute l'information que nous produisons
											par nos interactions sur Internet,
											de Facebook et Twitter
											aux téléchargements de musique, 
de films, au streaming, toutes ces choses,
											le streaming en direct de TED.
											Pour les personnes qui travaillent
avec les big data,
											le plus grand problème, d'après eux,
											avec tellement d'informations,
											c'est de savoir comment les organiser.
									","
											Es gibt ein Konzept, über das heute gesprochen wird
											namens ""Big Data"", und gemeint ist
											all die Informationen, die wir generieren,
											durch Interaktionen mit und durch das Internet,
											alles von Facebook und Twitter
											bis zum Herunterladen von Musik, 
Filmen, Streaming, all diese Sachen,
											das Livestreaming von TED.
											Und für die Leute, die mit ""Big Data"" arbeiten,
											ist das größte Problem,
											dass es so viele Informationen gibt –
											das größte Problem ist, wie man 
die ganzen Informationen organisiert.
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
											Quando trabalhamos
em programas de saúde mundial,
											esse não é o nosso maior problema.
											Porque para nós,
											apesar de a luz ser melhor na Internet,
											os dados que nos ajudam
a resolver os problemas,
											que queremos resolver,
não se encontram na Internet.
											Assim sendo, não sabemos,
por exemplo,
											quantas pessoas neste momento 
são afectadas por desastres
											ou por situações conflituosas.
											Não sabemos quais as clínicas
											nos países em desenvolvimento,
que têm medicamentos,
											e quais não os têm.
											Não temos ideia de como é 
a cadeia de abastecimento dessas clínicas.
											Não sabemos — e isto surpreende-me —
											não sabemos quantas crianças nasceram,
											nem quantas crianças existem
											na Bolívia, no Botsuana ou no Butão.
											Não sabemos quantas crianças 
morreram a semana passada
											em qualquer um desses países.
											Não sabemos quais as necessidades
dos idosos, dos deficientes mentais.
											Para todos esses problemas diferentes
de importância crítica
											ou áreas de importância crítica
em que queremos resolver problemas,
											basicamente não sabemos nada.
									","
											Je peux vous dire que,
quand on travaille dans la santé,
											ce n'est pas notre plus gros problème.
											Parce que pour nous, même si l'éclairage
											est meilleur sur Internet,
											les données qui nous aideraient 
à résoudre les problèmes
											que nous essayons de résoudre 
ne sont pas sur Internet.
											Donc nous ne savons pas, par exemple, 
combien de personnes
											en ce moment sont concernées
par des catastrophes naturelles
											ou par des conflits.
											Nous ne savons pas vraiment
quels dispensaires
											des pays en voie de développement
ont des médicaments
											et lesquels n'en ont pas.
											Nous n'avons pas la moindre idée de ce qu'est
la chaîne d'approvisionnement de ces cliniques.
											Nous ne savons pas — et ça me paraît incroyable —
											nous ne savons pas
combien d'enfants sont nés,
											ou combien d'enfants il y a en Bolivie,
											ou au Botswana, ou au Bhoutan.
											Nous ne savons pas combien d'enfants
sont morts la semaine dernière
											dans chacun de ces pays.
											Nous ne connaissons pas les besoins 
des personnes âgées, des malades mentaux.
											Pour chacun de ces problèmes différents 
d'une importance cruciale
											ou pour ces domaines d'une importance critique dans lesquels nous voulons résoudre des problèmes,
											nous ne savons, en gros, rien du tout.
									","
											Ich kann Ihnen sagen, 
im weltweiten Gesundheitswesen
											ist das nicht unser größtes Problem.
											Weil für uns, auch wenn wir
											im Internet besser sehen, die Daten,
											die uns bei unseren Problemen helfen würden,
											an denen wir arbeiten, 
sind gar nicht im Internet vorhanden.
											Wir wissen zum Beispiel nicht, wie viele Menschen
											gerade von Naturkatastrophen betroffen sind,
											oder von einer Konfliktlage.
											Wir wissen von quasi keinen der Kliniken
											der Entwicklungsländer, welche Medikamente haben,
											und welche nicht.
											Wir haben keine Ahnung von den Versorgungsketten.
											Wir wissen nicht – und das finde ich unglaublich –
											wir wissen nicht, wie viele Kinder geboren werden,
											oder wie viele Kinder es in Bolivien gibt,
											oder in Botswana oder in Bhutan.
											Wir wissen nicht, wie viele Kinder 
letzte Woche gestorben sind,
											in irgendeinem dieser Länder.
											Wir kennen die Bedürfnisse der Älteren 
und der psychisch Kranken nicht.
											Über all diese verschiedenen 
äußerst wichtigen Probleme,
											und die äusserst wichtigen Bereiche, 
in denen wir Probleme lösen wollen,
											wissen wir quasi überhaupt nichts.
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
											Parte da razão por que não sabemos nada
											é que os sistemas de
tecnologia de informação
											que usamos nos programas de saúde global,
para encontrar os dados
											para resolver estes problemas,
são o que vêem aqui.
											Isto é um tecnologia
com cerca de 5000 anos.
											Talvez vocês já a tenham usado.
											O seu reino está a acabar,
mas nós continuamos a usá-la,
											para 99 % das nossas coisas.
											Isto é um formulário em papel.
											O que vocês estão a ver 
é um formulário em papel,
											na mão de uma enfermeira 
do Ministério da Saúde,
											na Indonésia, que percorre
o interior da Indónesia,
											num dia muito quente e húmido.
											Ela vai bater a milhares de portas
											durante um período de semanas ou meses,
											bater às portas e dizer:
											""Peço desculpa, gostaria de fazer
algumas perguntas.
											""Tem filhos?
Os seus filhos foram vacinados?""
											Porque a única forma de nós descobrirmos
											quantas crianças na Indonésia
foram vacinadas,
											qual a percentagem de crianças vacinadas,
											na realidade não é na Internet, 
mas sim indo bater às portas,
											às vezes dezenas de milhares de portas.
											Às vezes demora meses, ou até mesmo anos,
											para fazer algo deste género.
											Sabem, um censo na Indonésia
											provavelmente demoraria
dois anos a ser completado.
									","
											Une partie de l'explication
de cette ignorance
											est que les technologies de l'information
											que nous utilisons en santé mondiale
pour trouver des données,
											pour résoudre ces problèmes,
c'est ce que vous voyez ici.
											Cette technologie a environ 5 000 ans.
											Certains d'entre vous l'ont peut-être déjà utilisée.
											Ça commence à être démodé en ce moment,
mais nous l'utilisons encore
											pour 99% de notre travail.
											Voici un formulaire papier,
et ce que vous voyez là
											est un formulaire papier dans la main 
d'une infirmière du Ministère de la Santé
											en Indonésie qui traverse la campagne
											pendant, j'en suis sûr, 
une journée très chaude et humide.
											Elle va frapper à des milliers de portes
											pendant des semaines ou des mois,
											en disant : « Excusez-moi,
											nous voudrions vous poser quelques questions.
											Avez-vous des enfants ? 
Ont-ils été vaccinés ? »
											Parce que le seul moyen
que nous avons pour savoir
											combien d'enfants ont été vaccinés
en Indonésie,
											quel pourcentage a été vacciné, 
n'est pas de le chercher
											sur Internet mais d'aller frapper aux portes,
											parfois des dizaines de milliers de portes.
											Cela prend parfois des mois, voire des années,
											pour faire quelque chose comme ceci.
											Vous savez, un recensement en Indonésie
											prendrait probablement deux ans.
									","
											Ein Teil der Gründe, 
warum wir rein gar nichts wissen,
											ist, dass die Informationsverarbeitungssysteme,
											die wir zum Finden von Daten 
im globalen Gesundheitswesen benutzen,
											um diese Probleme zu lösen, so aussehen:
											Es geht um eine 5.000 Jahre alte Technologie.
											Manche von Ihnen haben sie vielleicht schon benutzt.
											Es ist eigentlich schon 'out', 
aber wir benutzen es immer noch
											für 99% unserer Anliegen.
											Dies ist ein Papierformular. Und was Sie hier sehen
											ist ein Formular in den Händen einer Krankenschwester des Gesundheitsministeriums
											in Indonesien, die in der 
ländlichen Gegend herumfährt,
											an einem sicherlich sehr heißen 
und feuchten Tag in indonesien,
											und sie wird an tausende Türen klopfen,
											in einem Zeitraum von Wochen oder Monaten,
											sie wird anklopfen und fragen: ""Entschuldigen Sie,
											wir würden Ihnen gerne ein paar Fragen stellen.
											Haben Sie Kinder? Sind Ihre Kinder geimpft?""
											Denn der einzige Weg, wie wir herausfinden können,
											welcher Prozentsatz von Kinder 
in Indonesien geimpft ist,
											findet man in Wirklichkeit nicht 
über das Internet heraus,
											sondern indem wir Hinausgehen 
und an Türen klopfen,
											manchmal an zehntausende von Türen.
											Manchmal dauert es Monate bis sogar Jahre,
											um so etwas zu bewerkstelligen.
											Wissen Sie, ein Zensus in Indonesien
											würde wahrscheinlich 2 Jahre dauern.
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
											Claro que o problema com tudo isto
											é com todos estes formulários em papel 

											— e digo-vos, nós temos 
formulários em papel para tudo.
											Temos formulários em papel 
para estudos de vacinação.
											Temos formulários em papel para
saber quais as pessoas que vão às clínicas.
											Temos formulários em papel para
acompanhar o fornecimento de medicamentos,
											o fornecimento de sangue,
todos esses diferentes formulários
											para vários tópicos,
											todos têm em comum o mesmo fim,
											e o fim parece-se com isto.
											O que vemos aqui é uma imensidão de dados.
											Isto são os dados de um único questionário 
sobre a cobertura da vacinação
											num único distrito da Zâmbia,
											em que eu participei há uns anos atrás.
											A única coisa que alguém
estava a tentar descobrir
											era qual a percentagem de crianças
da Zâmbia que são vacinadas.
											Estes sãos os dados, recolhidos 
em papel durante semanas
											num único distrito,
											que é quase como um condado
nos Estados Unidos.
											Podem imaginar que, para a Zâmbia completa,
											responder a essa única questão
											parece-se algo como isto.
											Carrinha após carrinha após carrinha,
											cheia de pilhas atrás de pilhas
atrás de pilhas de dados.
									","
											Et bien sûr, le problème avec tout cela,
											c'est qu'avec tous ces formulaires papier
— et croyez-moi,
											nous avons des formulaires papier 
pour absolument tout.
											Nous avons les formulaires 
des études sur la vaccination.
											Nous avons les formulaires pour suivre 
les personnes qui viennent aux dispensaires.
											Nous avons les formulaires 
pour suivre les réserves de médicaments,
											les réserves de sang, 
et tous ces formulaires différents
											pour tous ces sujets différents,
											terminent tous au même endroit.
											Cet endroit où ils terminent tous
ressemble à peu près à ça.
											Ce que nous voyons ici est
une camionnette remplie de données.
											Voici les données
d'un seul sondage de vaccination
											dans une seule région de la Zambie
											auquel j'ai participé il y a quelques années.
											La seule chose que nous essayions de savoir
											était le pourcentage d'enfants zambiens 
qui étaient vaccinés,
											et voici les données, 
collectées sur papier pendant des semaines
											d'une seule région, qui est à peu près 
l'équivalent d'un comté
											aux États-Unis.
											Vous pouvez imaginer 
que pour la Zambie tout entière,
											répondre à cette seule question
											ressemble à quelque chose de ce genre.
											Camion après camion après camion
											remplis avec des piles et des piles 
et des piles de données.
									","
											Und das Problem mit all dem ist natürlich,
											mit all diesen vielen Formularen 
– und ich sage Ihnen,
											wir haben für alles Mögliche Formulare.
											Wir haben Formulare für Impfumfragen.
											Wir haben Formulare, um die Leute, 
die in Klinken kommen, zu verfolgen.
											Formulare, um den Arzneinachschub zu verfolgen,
											die Blutversorgung, all diese Formulare
											für viele verschiedene Themen,
											sie alle haben einen gemeinsamen Endpunkt,
											und der gemeinsame Endpunkt sieht etwa so aus.
											Was wir sehen ist eine Lastwagen voll Daten.
											Das sind die Daten von einer einzigen 
Umfrage zur Durchimpfungsrate
											in einem einzigen Bezirk in Sambia,
											von vor ein paar Jahren, 
an der ich mitgearbeitet habe.
											Das Einzige, was wir da heraus finden wollten,
											war, welcher Prozentsatz an 
sambischen Kindern geimpft ist,
											und das sind die Daten, über 
Wochen auf Papier gesammelt,
											von einem einzigen Bezirk, 
etwa einem Bezirk
											in den USA.
											Sie können sich vorstellen, 
dass für das ganze Land Sambia,
											nur das Beantworten dieser einen Frage,
											ungefähr so aussieht.
											LKW für LKW
											gefüllt mit Stapeln über Stapeln an Datenmenge.
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
											O que torna isto ainda pior
											é que isso é apenas o começo
											porque, assim que se colecionam
todos os dados,
											é óbvio que alguém terá de
											— alguma pessoa pouco sortuda —
											terá de digitar aquilo num computador.
											Quando eu era um recém-licenciado
											fui essa pessoa pouco sortuda 
algumas vezes.
											Posso-vos dizer que às vezes 
não estava a prestar muita atenção.
											Provavelmente, quando o fiz, 
cometi muitos erros

											que nunca ninguém descobriu,
pelo que a qualidade dos dados é menor.
									","
											Le pire, c'est que
											cela n'est que le début,
											parce qu'une fois qu'on a collecté 
toutes ces données,
											bien sûr, quelqu'un va devoir —
											une pauvre personne va devoir 
les entrer dans un ordinateur.
											Quand j'étais un étudiant de deuxième cycle,
j'étais en fait
											cette malheureuse personne, parfois.
											Je peux vous dire que souvent
je ne faisais pas vraiment attention.
											J'ai probablement fait beaucoup d'erreurs 
en faisant ce travail,
											que personne n'a jamais découvertes,
donc la qualité des données diminue.
									","
											Und was das Ganze noch schlimmer macht, ist,
											dass das erst der Anfang ist,
											denn wenn man die Daten erfasst hat,
											muss natürlich irgendwer –
											eine bedauernswerte Person, 
diese in einen Computer tippen.
											Als ich Doktorand war, war ich tatsächlich
											manchmal diese bedauernswerte Person.
											Und ich kann Ihnen sagen, 
ich hab oft nicht wirklich aufgepasst.
											Ich habe dabei wahrscheinlich viele Fehler gemacht,
											die niemand jemals finden wird, 
also verschlechtert sich die Datenqualität.
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
