en,pt,fr,es,tr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											Today I want to talk
about the meaning of words,
											how we define them
											and how they, almost as revenge,
											define us.
									","
											Hoje quero-vos falar sobre 
o significado das palavras,
											como nós as definimos
											e como elas, quase como vingança,
											nos definem.
									","
											Aujourd'hui, je veux parler
du sens des mots,
											comment nous les définissons
											et comment eux, presque pour se venger,
											nous définissent.
									","
											Hoy quiero hablar del
significado de las palabras,
											cómo las definimos,
											y cómo, casi como en venganza,
											ellas nos definen.
									","
											Bugün kelimelerin manasını,
											onları nasıl tanımladığımızı
											ve kelimelerin sanki öç alır gibi
											bizi nasıl tanımladıkları 
hakkında konuşmak istiyorum.
									","
											Heute möchte ich über die
Bedeutung von Wörtern sprechen,
											wie wir sie definieren
											und wie die Wörter
als wollten sie sich rächen,
											uns definieren.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											The English language
is a magnificent sponge.
											I love the English language.
I'm glad that I speak it.
											But for all that, it has a lot of holes.
											In Greek, there's a word, ""lachesism""
											which is the hunger for disaster.
											You know, when you see
a thunderstorm on the horizon
											and you just find yourself
rooting for the storm.
											In Mandarin, they have a word ""yù yī"" —
											I'm not pronouncing that correctly —
											which means the longing
to feel intensely again
											the way you did when you were a kid.
											In Polish, they have a word ""jouska""
											which is the kind of
hypothetical conversation
											that you compulsively
play out in your head.
											And finally, in German,
of course in German,
											they have a word called ""zielschmerz""
											which is the dread
of getting what you want.
									","
											A língua inglesa é uma esponja magnífica.
											Eu adoro a língua inglesa.
Fico feliz por a falar.
											Mas, apesar disso, tem muitos buracos.
											Do grego, temos uma palavra, ""lachesism""
											que descreve a sede de desastre.
											Sabem, quando vemos 
uma tempestade no horizonte
											e estamos a torcer pela tempestade.
											Em mandarim há a palavra ""yù yï""
											— não pronuncio da forma correta —
											que significa o desejo 
de voltar a sentir intensamente
											da maneira que sentíamos 
quando éramos crianças.
											Em polaco, há uma palavra ""jouska""
											que é o tipo de conversa hipotética
											que temos compulsivamente 
nas nossas cabeças.
											E por fim, em alemão,
— claro que tinha de ser em alemão —
											há uma palavra ""zielschmerz""
											que é o medo de conseguirmos 
o que queremos.
									","
											La langue anglaise
est une superbe éponge.
											J'adore la langue anglaise.
Je suis heureux de la parler.
											Mais malgré tout cela, il y a des trous.
											En grec, il y a un mot « lachesism »,
											qui est la soif de désastre.
											Quand vous voyez un orage à l'horizon
											et que vous prenez le parti de l'orage.
											En mandarin, il y a un mot « yù yī » —
											je ne le prononce pas correctement —
											qui signifie l'aspiration à ressentir
quelque chose d'intense à nouveau,
											comme lorsque vous étiez enfant.
											En polonais, ils ont le mot « jouska »
											qui est le genre
de conversation hypothétique
											que vous jouez dans votre tête.
											Pour finir, en allemand,
bien sûr en allemand,
											ils ont le mot « Zielschmerz »
											qui est la peur d'obtenir
ce que vous voulez.
									","
											El idioma inglés es una gran esponja.
											Amo el inglés y me encanta hablarlo.
											Pero por todo ello,
tiene muchos vacíos.
											En griego, existe la palabra ""lachesism""
											que es ""hambre de desastre"".
											Como cuando ven 
una tormenta en el horizonte
											y la alientan.
											En mandarín, tiene la palabra ""yù yī""
											(No lo pronuncio bien)
											que significa la nostalgia 
de sentir de forma intensa
											como cuando eran niños.
											En polaco, tienen la palabra ""jouska""
											que es un tipo de conversación hipotética
											que compulsivamente tienes en tu cabeza.
											Y en alemán, por supuesto,
											tienen la palabra ""zielschmerz""
											que es el miedo a 
obtener lo que quieres.
									","
											İngilizce büyülü bir sünger.
											İngilizce'yi seviyorum.
İngilizce konuşmaktan memnunum.
											Ama buna rağmen bir sürü eksiği var.
											Yunanca'da bir kelime var: Lachesism.
											Anlamı, felakete uğrama arzusu.
											Yani ufukta bir fırtına gördüğünde
											kendini ona tezahürat yaparken bulur gibi.
											Çincedeki bir kelime: ""yù yī""
											-doğru telaffuz etmiyorum-
											anlamı, çocukken hissettiğin gibi

											daha derin hissetme arzusu.
											Lehçede bir kelime var: ""Jouska"",
											kafanın içinde istemsizce yaptığın
											bir tür farazi sohbet anlamına gelir.
											Son olarak Almanca'da,
tabii ki Almanca'da,
											""zielschmerz"" dedikleri bir kelime var.
											İsteğini elde etme korkusu demektir.
									","
											Die englische Sprache
ist wie ein prächtiger Schwamm.
											Ich liebe die englische Sprache
und bin froh, dass ich sie spreche.
											Trotz allem gibt es viele Lücken.
											Im Griechischen gibt es
das Wort ""Lachesismus"".
											Es steht für den Hunger nach Unglück.
											Sie wissen schon, wenn Sie
ein Gewitter am Horizont sehen
											und feststellen, wie Sie
den Sturm heraufbeschwören.
											In Mandarin gibt es das Wort ""yù yī"" —
											ich spreche es nicht korrekt aus.
											Es bedeutet den Wunsch,
wieder intensiv fühlen zu können,
											so wie man es als Kind getan hat.
											Im Polnischen gibt es das Wort ""jouska"".
											Es ist dieses hypothetische Gespräch,
											das man zwanghaft
im eigenen Kopf durchspielt.
											Und schlussendlich, im Deutschen 
— natürlich im Deutschen —
											gibt es das Wort ""Zielschmerz"".
											Es ist die Furcht davor,
zu bekommen, was man will.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Gelächter)
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											Finally fulfilling a lifelong dream.
											I'm German myself,
so I know exactly what that feels like.
									","
											Finalmente cumprir um sonho 
de toda a vida.
											Eu sou alemão, por isso sei exatamente 
o que isto nos faz sentir.
									","
											Finir par accomplir un rêve de toujours.
											Je suis moi-même allemand,
je sais exactement ce que l'on ressent.
									","
											Finalmente cumpliendo 
un sueño de toda la vida.
											Soy alemán y sé cómo se siente.
									","
											Ömür boyu süren bir hayali
sonunda yerine getirmek.
											Ben bir Alman'ım, bu yüzden tam 
olarak nasıl hissettirdiğini biliyorum.
									","
											Sich endlich einen Lebenstraum erfüllen.
											Ich bin selbst Deutscher,
also weiß ich genau, wie sich das anfühlt.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											Now, I'm not sure
if I would use any of these words
											as I go about my day,
											but I'm really glad they exist.
											But the only reason they exist
is because I made them up.
									","
											Eu não tenho a certeza
se usaria estas palavras
											no dia-a-dia,
											mas sinto-me muito feliz
por elas existirem.
											Mas a única razão para elas existirem 
é que fui eu que as inventei.
									","
											Je ne suis pas sûr
que j'utiliserais un de ces mots
											durant ma journée,
											mais je suis heureux qu'ils existent.
											La seule raison pour laquelle ils existent
est car je les ai inventés.
									","
											No estoy seguro 
si usaría alguna de estas palabras
											en mi día a día,
											pero me alegra que existan.
											Pero la única razón de que existan
es que yo las inventé.
									","
											Bu kelimeleri günlük hayatımda
											kullansaydım nasıl olurdu bilemiyorum
											ama var oldukları için memnunum.
											Fakat var olmalarının tek nedeni
onları uydurmuş olmam.
									","
											Ich glaube nicht, dass ich diese Wörter
im täglichen Leben nutzen würde,
											dennoch bin ich froh, dass es sie gibt.
											Aber es gibt sie nur,
weil ich sie mir ausgedacht habe.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
