de,en,fr,title,speaker,duration,tags
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Die Sprache, die ich gerade spreche,
											ist dabei die Allgemeinsprache
der Welt zu werden,
											ob sie es will oder nicht.
											Seien wir ehrlich,
											es ist die Sprache des Internets,
											des Finanzwesens,
											der Flugsicherung,
											beliebter Musik,
											der Diplomatie —
											Englisch ist überall.
									","
											The language I'm speaking right now
											is on its way to becoming
the world's universal language,
											for better or for worse.
											Let's face it,
											it's the language of the internet,
											it's the language of finance,
											it's the language of air traffic control,
											of popular music,
											diplomacy —
											English is everywhere.
									","
											La langue que je parle en ce moment
											est en train de devenir universelle
											pour le meilleur ou pour le pire.
											Soyons réalistes,
											c'est la langue d'Internet,
											c'est la langue de la finance,
											du contrôle du trafic aérien,
											de la musique pop,
											de la diplomatie.
											L'anglais est partout.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Viele Menschen sprechen Mandarin,
											aber mehr Chinesen lernen Englisch
											als englischsprachige Personen
Chinesisch lernen.
											Zuletzt hörte ich,
											dass in China gerade
zwei Dutzend Universitäten
											auf Englisch lehren.
											Das Englische nimmt überhand.
									","
											Now, Mandarin Chinese
is spoken by more people,
											but more Chinese people
are learning English
											than English speakers
are learning Chinese.
											Last I heard,
											there are two dozen universities
in China right now
											teaching all in English.
											English is taking over.
									","
											Il est vrai que les gens qui parlent
mandarin sont plus nombreux,
											mais il y a plus de Chinois
qui apprennent l'anglais,
											que d'Anglais qui 
apprennent le chinois.
											Aux dernières nouvelles,
											la Chine compte 24 universités
											qui enseignent uniquement en anglais.
											L'anglais prend le dessus.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Außerdem wurde vorausgesagt,
dass am Ende des Jahrhunderts
											fast alle aktuell existierenden Sprachen
											— das sind ungefähr 6000 —
											nicht mehr gesprochen werden.
											Es werden nur noch
einige Hundert übrig sein.
											Zusätzlich sind wir an dem Punkt, wo
Sofortübersetzung eines Live-Gesprächs
											nicht nur möglich,
sondern jedes Jahr besser wird.
									","
											And in addition to that,
											it's been predicted
that at the end of the century
											almost all of the languages
that exist now —
											there are about 6,000 —
											will no longer be spoken.
											There will only be some hundreds left.
											And on top of that,
											it's at the point where
instant translation of live speech
											is not only possible,
but it gets better every year.
									","
											De plus, on prévoit que 
d'ici la fin du siècle,
											presque toutes les langues
qui existent actuellement,
											soit environ 6 000,
											ne seront plus parlées.
											Il n'en restera seulement
que quelques centaines.
											En plus de cela,
											nous somme arrivés à un point
où la traduction simultanée de discours
											n'est pas seulement possible,
mais elle s'améliore constamment.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Ich trage Ihnen diese Informationen vor,
											weil wir an den Punkt kommen,
											an dem man sich fragt:
											Warum sollten wir
weitere Fremsprachen lernen —
											zusätzlich, sofern Englisch
eine Fremdsprache ist?
											Warum sollte man sich mit
einer weiteren Sprache plagen,
											wenn fast alle Menschen auf der Welt
in einer kommunizieren können?
									","
											The reason I'm reciting
those things to you
											is because I can tell
that we're getting to the point
											where a question
is going to start being asked,
											which is: Why should we
learn foreign languages —
											other than if English
happens to be foreign to one?
											Why bother to learn another one
when it's getting to the point
											where almost everybody in the world
will be able to communicate in one?
									","
											La raison pour laquelle 
je vous raconte cela,
											c'est parce que je sens que nous
arrivons à un point
											où une question
va être soulevée :
											pourquoi devrions-nous
apprendre des langues étrangères,
											à part si l'anglais n'est pas 
notre langue maternelle ?
											Pourquoi apprendre une autre langue
											si la majorité de la population est
capable de communiquer en anglais ?
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Ich denke, es gibt viele Gründe.
											Zuerst wende ich mich
											dem Grund zu, von dem Sie
am ehesten gehört haben,
											weil es eigentlich gefährlicher ist
als Sie vielleicht denken.
											Es ist das Konzept,
											dass eine Sprache Ihre Gedanken lenkt,
											dass das Vokabular und
die Grammatik anderer Sprachen
											jedem sozusagen einen
anderen Rausch verschafft.
											Das ist eine grandiose Idee,
											aber sie ist belastet.
									","
											I think there are a lot of reasons,
											but I first want to address
											the one that you're probably
most likely to have heard of,
											because actually it's more
dangerous than you might think.
											And that is the idea
											that a language channels your thoughts,
											that the vocabulary
and the grammar of different languages
											gives everybody
a different kind of acid trip,
											so to speak.
											That is a marvelously enticing idea,
											but it's kind of fraught.
									","
											Je pense qu'il y a 
de nombreuses raisons
											mais je vais d'abord vous parler
											de celle dont vous avez probablement
le plus entendu parler,
											parce qu'elle est plus dangereuse
que ce que vous pouvez penser.
											Je veux parler de l'idée
											qu'une langue filtre nos pensées,

											que le vocabulaire et la 
grammaire de différentes langues
											permet à tout le monde 
de faire différents trips d'acide,
											si l'on veut.
											C'est une idée très attrayante
											mais un peu fausse.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
