en,tr,fr,title,speaker,duration,tags
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											The world is filled
with incredible objects
											and rich cultural heritage.
											And when we get access to them,
											we are blown away, we fall in love.
											But most of the time,
											the world's population is living
without real access to arts and culture.
											What might the connections be
when we start exploring our heritage,
											the beautiful locations
and the art in this world?
									","
											Dünya inanılmaz objeler
											ve zengin kültürel mirasla dolu.
											Onlara ulaştığımızda,
											soluğumuz kesilir, âşık oluruz.
											Ama çoğu zaman
											dünya nüfusu sanata ve kültüre 
gerçek bir erişimi olmadan yaşıyor.
											Bu dünyadaki mirasımızı, 
güzel yerleri ve sanatı
											keşfetmeye başladığımızda
bağlantılar ne olabilir?
									","
											Le monde est rempli
d'objets incroyables
											et de riches patrimoines culturels.
											Et quand nous y avons accès,
											nous sommes émerveillés.
Nous tombons amoureux.
											Mais plupart du temps,
											la population mondiale vit
sans accès réel aux arts et à la culture.
											Quelles pourraient être les connexions
quand nous explorons notre patrimoine,
											les lieux magnifiques,
et l'art dans ce monde ?
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											Before we get started
in this presentation,
											I just want to take care
of a few housekeeping points.
											First, I am no expert in art or culture.
											I fell into this by mistake,
but I'm loving it.
											Secondly, all of what
I'm going to show you
											belongs to the amazing museums,
archives and foundations
											that we partner with.
											None of this belongs to Google.
											And finally, what you see behind me
											is available right now
on your mobile phones,
											on your laptops.
									","
											Bu sunuma başlamadan önce,
											hazırlık için birkaç noktaya 
değinmek istiyorum.
											Öncelikle sanat ya da 
kültür uzmanı değilim.
											Buna tesadüfen girdim, 
ama onu seviyorum.
											İkinci olarak, size göstereceğim her şey
											işbirliği yaptığımız harika 
müzelere, arşivlere
											ve derneklere ait.
											Hiçbiri Google'a ait değil.
											Son olarak, arkamda gördüğünüz şey
											şu an cep telefonlarınızda, 
dizüstü bilgisayarlarınızda
											mevcut.
									","
											Avant d'entamer cette présentation,
											j'aimerais préciser certains points.
											D'abord, je ne suis expert
ni en art, ni en culture.
											Je suis tombé dedans par erreur,
mais je me régale.
											Ensuite, tout ce que je m'apprête
à vous montrer
											appartient aux formidables musées,
aux archives et aux fondations
											avec qui nous travaillons.
											Rien de cela n'appartient à Google.
											Et enfin,
ce que vous voyez derrière moi
											vous est disponible à cet instant précis
sur vos téléphones portables,
											sur vos ordinateurs.
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											This is our current platform,
where you can explore
											thousands of museums
and objects at your fingertips,
											in extremely high-definition detail.
											The diversity of the content
is what's amazing.
											If we just had European paintings,
											if we just had modern art,
											I think it gets a bit boring.
											For example, this month,
we launched the ""Black History"" channel
											with 82 curated exhibitions,
											which talk about arts and culture
in that community.
											We also have some
amazing objects from Japan,
											centered around craftsmanship,
called ""Made in Japan.""
											And one of my favorite exhibitions,
											which actually is the idea of my talk,
											is — I didn't expect to become
a fan of Japanese dolls.
											But I am, thanks to this exhibition,
											that has really taught me
about the craftsmanship
											behind the soul of a Japanese doll.
											Trust me, it's very exciting.
											Take my word for it.
									","
											Burası son derece yüksek 
çözünürlüklü detayla,
											parmak ucunuzda binlerce 
müzeyi ve objeyi keşfedebileceğiniz
											mevcut platformumuz.
											İçeriğin çeşitliliği harika olan şey.
											Eğer sadece Avrupa tabloları,
											sadece modern sanat olsaydı,
											bence biraz sıkıcı olurdu.
											Örneğin, bu ay bu toplumdaki 
sanat ve kültürden bahseden
											82 seçilmiş gösterim ile
											""Black History"" (Siyahi Tarih) 
kanalını yayına aldık.
											Aynı zamanda Japonya'dan 
""Made in Japan"" (Japon malı) adı verilen
											ustalığı merkezine alan harika 
objelerimiz de var.
											Aslında konuşmamın ana fikri olan
											en sevdiğim sergilerden biri,
											— Japon bebeklerinin hayranı 
olmayı beklemiyordum.
											Ama bu sergi sayesinde öyleyim,
											bir Japon bebeğinin ruhu 
ardındaki ustalığı
											bana sahiden öğretti.
											Bana güvenin, çok heyecan verici.
											Benim sözüme inanın.
									","
											C'est notre plateforme actuelle.
On peut y explorer
											des milliers de musées et d'objets
du bout de ses doigts,
											et voir les détails en très
haute définition.
											Le plus merveilleux,
c'est la diversité du contenu.
											Si nous n'avions que
des tableaux européens
											ou que de l'art moderne,
											cela deviendrait un peu ennuyeux.
											Par exemple, ce mois-ci, nous avons
lancé la chaîne « l'Histoire des Noirs »
											avec 82 expositions
											qui parlent des arts et de la culture
de cette communauté.
											Nous avons aussi de formidables
objets japonais
											centrés sur l'artisanat, intitulés
« Made in Japan ».
											Et une de mes expositions préférées,
											en fait le sujet de ma présentation,
											c'est — je ne m'attendais pas à devenir
fan de poupées japonaises.
											Mais je le suis,
grâce à cette exposition
											qui m'a éclairé sur l'artisanat
											derrière l'âme d'une poupée japonaise.
											Croyez-moi,
c'est très passionnant.
											Vous avez ma parole.
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											So, moving on swiftly.
											One quick thing I wanted
to showcase in this platform,
											which you can share with your kids
and your friends right now,
											is you can travel to all these
amazing institutions virtually, as well.
											One of our recent ideas was with
The Guggenheim Museum in New York,
											where you can get a taste
of what it might feel like
											to actually be there.
											You can go to the ground floor
											and obviously, most of you,
I assume, have been there.
											And you can see the architectural
masterpiece that it is.
											But imagine this accessibility
for a kid in Bombay
											who's studying architecture,
											who hasn't had a chance
to go to The Guggenheim as yet.
											You can obviously look at objects
in the Guggenheim Museum,
											you can obviously get into them
and so on and so forth.
											There's a lot of information here.
									","
											O zaman hızlıca devam edelim.
											Şimdi çocuklarınız ve arkadaşlarınızla 
paylaşabileceğiniz,
											bu platformda hemen göstermek 
istediğim diğer bir şey de
											bu kurumların hepsini sanal olarak 
seyahat edebilirsiniz.
											En son fikirlerimizden biri de 
New York'daki Guggenheim Müzesi'nde
											gerçekte orada olmanın nasıl olabileceğini
											tadabilirsiniz.
											Giriş katına gidebilirsiniz
											ve tabii ki çoğunuz muhtemelen 
orada bulunmuşsunuzdur.
											Bir mimari şaheser 
olduğunu görebilirsiniz.
											Ancak henüz Guggenheim'a 
gitme şansı olmamış,
											mimari okuyan Bombay'daki
											bir çocuk için bu erişimi bir düşünün.
											Guggenheim Müzesi'nde tabii ki 
objelere bakabilirsiniz,
											tabii ki onları öğrenebilirsiniz vesaire.
											Burada bir sürü bilgi var.
									","
											Alors, avançons.
											J'aimerais vous montrer sur
la plateforme que vous pouvez
											partager avec vos enfants
et vos amis à l'instant,
											que vous pouvez aussi voyager
virtuellement jusqu'à ces institutions.
											Une de nos idées récentes se jouait avec
le musée Guggenheim à New York,
											et on peut voir un aperçu
de ce que ça ferait
											de vraiment y être.
											On peut aller au rez-de-chaussée -
											j'imagine que la plupart
d'entre vous y êtes déjà allés.
											Et on voit que c'est un
chef d'œuvre d'architecture.
											Mais imaginez cette accessibilité
pour un gamin de Bombay
											qui fait ses études
en architecture,
											qui n'a pas encore eu la chance
d'aller au Guggenheim.
											On peut bien sûr voir les objets du musée,
											on peut bien sûr les analyser
et ainsi de suite.
											Il y a beaucoup
de renseignements ici.
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											But this is not the purpose
of my talk today.
											This exists right now.
											What we now have are the building blocks
to a very exciting future,
											when it comes to arts and culture
											and accessibility to arts and culture.
											So I am joined today onstage
by my good friend and artist in residence
											at our office in Paris, Cyril Diagne,
											who is the professor of interactive design
											at ECAL University
in Lausanne, Switzerland.
											What Cyril and our team
of engineers have been doing
											is trying to find these connections
and visualize a few of these.
									","
											Ama bugünkü konuşmamın amacı bu değil.
											Bu şu an mevcut.
											İş, sanat ve kültüre
ve bunlara erişime gelince
											çok heyecanlı bir gelecek için
											artık yapı taşlarımız var.
											Bugün sahnede bana Lausanne, 
İsviçre'deki ECAL Üniversitesi'nde
											interaktif tasarım profesörü,
											Paris'teki ofisimizde yerleşik sanatçı
											ve benim iyi bir arkadaşım olan
Cyril Diagne eşlik edecek.
											Cyril ve mühendis ekibimizin yaptığı şey,
											bu bağlantıları bulmaya çalışmak 
ve bunların birkaçını görselleştirmek.
									","
											Mais cela n'est pas le but
de mon discours aujourd'hui.
											Cela existe déjà maintenant.
											Ce que nous avons maintenant, ce sont les
éléments de base d'un avenir passionnant,
											en terme d'arts et de culture
											et d'accessibilité
aux arts et à la culture.
											Alors je suis accompagné aujourd'hui
de mon grand ami, l'artiste en résidence
											à notre bureau de Paris,
Cyril Diagne,
											professeur en design interactif
											à l'université ECAL de Lausanne.
											Cyril et notre équipe d'ingénieurs œuvrent
											à trouver ces connexions
et à en visualiser quelques-unes.
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
