en,tr,de,title,speaker,duration,tags
"
","
","
",How the teddy bear taught us compassion,Jon Mooallem,14:16,"environment,nature"
"
											So it was the fall of 1902,
											and President Theodore Roosevelt
											needed a little break from the White House,
											so he took a train to Mississippi
											to do a little black bear hunting outside of a town
											called Smedes.
											The first day of the hunt,
they didn't see a single bear,
											so it was a big bummer for everyone,
											but the second day, the dogs cornered one
											after a really long chase, but by that point,
											the president had given up
											and gone back to camp for lunch,
											so his hunting guide cracked the animal
											on the top of the head with the butt of his rifle,
											and then tied it up to a tree
											and started tooting away on his bugle
											to call Roosevelt back so he could have the honor
											of shooting it.
											The bear was a female.
											It was dazed, injured,
											severely underweight, a little mangy-looking,
											and when Roosevelt saw this animal
											tied up to the tree,
											he just couldn't bring himself to fire at it.
											He felt like that would go against his code
											as a sportsman.
									","
											1902 sonbaharında
											Başkan Theodore Roosevelt
											Beyaz Saray'dan biraz uzaklaşmak için
											Mississippi'ye giden bir trene bindi.
											Smedes adlı bir kasabada
											kara ayı avlamayı planlıyordu.
											Avın ilk günü, tek bir ayı bile 
göremediler.
											Bu, herkeste hayal kırıklığı yaratmıştı.
											Fakat ikinci gün uzun bir kovalamacanın 
ardından
											köpekler birini köşeye kıstırdılar.
											Fakat Başkan, o zamana kadar vazgeçip
											öğle yemeği için kampa geri dönmüştü.
											Av rehberi, tüfeğinin kabzasıyla
											hayvanın kafasına vurdu,
											onu, bir ağaca bağladı
											ve Roosevelt'i çağırmak için
											borazanını çalmaya başladı.
											Hayvanı vurma onuru Roosevelt'in olacaktı.
											Dişi bir ayıydı.
											Sersemlemiş, yaralı,
											normalden zayıf ve perişan haldeydi.
											Roosevelt ağaca bağlanmış
											bu hayvanı gördüğünde
											hayvanı vurmaya eli gitmedi.
											Bunu yapmanın, bir sporcu olarak
											prensiplerine aykırı olacağını hissetti.
									","
											Im Herbst 1902
											brauchte Präsident Theodore Roosevelt
											eine kleine Pause vom Weißen Haus,
											also nahm er einen Zug nach Mississippi,
											um außerhalb der Stadt Smedes
											auf Bärenjagd zu gehen.
											Am ersten Tag der Jagd,
sahen sie keinen Bären,
											es war ein großer Reinfall,
											aber am zweiten Tag trieben 
die Hunde einen in die Enge.
											Aber wegen der langen Verfolgungszeit
											hatte der Präsident aufgegeben
											und war zum Mittagessen im Camp.
											Deshalb versetzte der Jagdführer
dem Tier mit seinem Gewehrkolben
											einen Schlag auf den Kopf,
											band es an einen Baum
											und begann sein Jagdhorn zu spielen,
											um Roosevelt zurückzurufen,
											damit dieser den Bären erschießen konnte.
											Der Bär war ein Weibchen.
											Sie war benommen, verletzt,
											stark untergewichtig, sah räudig aus.
											Als Roosevelt das angebundene Tier sah,
											wollte er nicht auf es schießen.
											Es fühlte sich so an, als würde er 
gegen seinen Kodex verstoßen.
									",How the teddy bear taught us compassion,Jon Mooallem,14:16,"environment,nature"
"
","
","
",How the teddy bear taught us compassion,Jon Mooallem,14:16,"environment,nature"
"
											A few days later, the scene was memorialized
											in a political cartoon back in Washington.
											It was called ""Drawing a Line in Mississippi,""
											and it showed Roosevelt with
his gun down and his arm out,
											sparing the bear's life,
											and the bear was sitting on its hind legs
											with these two big, frightened, wide eyes
											and little ears pricked up at the top of its head.
											It looked really helpless, like you just wanted to
											sweep it up into your arms
											and reassure it.
											It wouldn't have looked familiar at the time,
											but if you go looking for the cartoon now,
											you recognize the animal right away:
											It's a teddy bear.
											And this is how the teddy bear was born.
											Essentially, toymakers took
the bear from the cartoon,
											turned it into a plush toy, and then named it
											after President Roosevelt — Teddy's bear.
									","
											Birkaç gün sonra, bu sahne
											Washington'da politik bir karikatürle 
ölümsüzleştirildi.
											Adı ""Mississippi'de çizgiyi çekmek""ti.
											Roosevelt, silahını indirmiş, 
elini kaldırmış,
											ayının hayatını bağışlarken,
											ayı, arka ayakları üzerinde dikilmiş,
											korku dolu gözleri ve havaya dikilmiş
											küçük kulaklarıyla tasvir edilmişti.
											Öyle çaresiz görünüyordu ki,
											içinizden sadece kollarınıza alıp
											onu rahatlatmak geliyordu.
											O zamanlar bilinmiyor olsa da,
											bugün o karikatüre baktığınızda
											o hayvanı hemen tanırsınız:
											Bu bir oyuncak ayı (Teddy bear).
											İşte oyuncak ayı böyle doğdu.
											Oyuncakçılar karikatürdeki ayıyı alıp
											peluş bir oyuncağa dönüştürdüler
											ve Başkan Roosevelt'e hürmeten adını
""Teddy'nin Ayısı"" koydular.
									","
											Ein paar Tage später wurde der Szene
											in einem politischen Cartoon 
in Washington ein Denkmal gesetzt.
											Betitelt ""Grenzziehung in Mississippi"",
											zeigte er Roosevelt, 
der sein Gewehr senkte
											und das Leben des Bären verschonte,
											sowie den sitzenden Bären,
											mit großen, ängstlich geweiteten Augen
											und kleinen gespitzten Ohren.
											Er sah sehr hilflos aus,
											man wollte ihn umarmen und beruhigen.
											Damals sah er ungewohnt aus,
											aber wenn Sie heute den Cartoon betrachten
											erkennen Sie das Tier sofort:
											Es ist ein Teddybär.
											So wurde der Teddybär geboren.
											Spielzeugmacher nahmen 
den Bären aus dem Cartoon,
											machten aus ihm ein Plüschtier
											und benannten es nach Roosevelt
— Teddys Bär.
									",How the teddy bear taught us compassion,Jon Mooallem,14:16,"environment,nature"
"
","
","
",How the teddy bear taught us compassion,Jon Mooallem,14:16,"environment,nature"
"
											And I do feel a little ridiculous
											that I'm up here on this stage
											and I'm choosing to use my time
											to tell you about a 100-year-old story
											about the invention of a squishy kid's toy,
											but I'd argue that the invention of the teddy bear,
											inside that story is a more important story,
											a story about how dramatically our ideas
											about nature can change,
											and also about how, on the planet right now,
											the stories that we tell
											are dramatically changing nature.
									","
											Bu sahneye çıkıp süremi
											size tüylü bir oyuncağın icadının
											100 yıllık hikayesini anlatmak için
											kullandığımdan, kendimi biraz
											gülünç hissediyorum,
											ama oyuncak ayının öyküsünde,
											çok daha önemli bir başka öykü gizli.
											Doğa hakkındaki fikirlerimizin nasıl
											dramatik bir şekilde değişebileceğine
											ve bugün anlattığımız öykülerin
											doğayı ne kadar çarpıcı bir biçimde
											değiştirebileceğine dair bir hikaye.
									","
											Ich fühle mich ein wenig lächerlich,
											ich stehe hier oben auf der Bühne
											und nutze meine Zeit,
											um Ihnen eine 100 Jahre alte Geschichte
											über die Erfindung 
eines Spielzeugs zu erzählen.
											Aber ich denke, in der Geschichte
von der Erfindung des Teddybären
											steckt eine wichtigere Geschichte,
											eine Geschichte darüber,
											wie dramatisch sich unsere Vorstellungen 
über die Natur ändern können
											und auch darüber, dass unsere Geschichten
											hier und heute die Natur
dramatisch verändern.
									",How the teddy bear taught us compassion,Jon Mooallem,14:16,"environment,nature"
"
","
","
",How the teddy bear taught us compassion,Jon Mooallem,14:16,"environment,nature"
"
											Because think about the teddy bear.
											For us, in retrospect, it feels like an obvious fit,
											because bears are so cute and cuddly,
											and who wouldn't want to give
one to their kids to play with,
											but the truth is that in 1902,
											bears weren't cute and cuddly.
											I mean, they looked the same,
											but no one thought of them that way.
											In 1902, bears were monsters.
											Bears were something that frickin' terrified kids.
											For generations at that point,
											the bear had been a shorthand for all the danger
											that people were encountering on the frontier,
											and the federal government was actually
											systematically exterminating bears
											and lots of other predators too,
											like coyotes and wolves.
											These animals, they were being demonized.
											They were called murderers
											because they killed people's livestock.
											One government biologist, he explained this
											war on animals like the bear by saying
											that they no longer had a place
											in our advancing civilization,
											and so we were just clearing them out of the way.
											In one 10-year period, close to half a million wolves
											had been slaughtered.
											The grizzly would soon be wiped out
											from 95 percent of its original territory,
											and whereas once there had been 30 million bison
											moving across the plains, and you would have
											these stories of trains having to stop
											for four or five hours so that these thick,
											living rivers of the animals could pour over the tracks,
											now, by 1902, there were maybe 
less than 100 left in the wild.
											And so what I'm saying is, the teddy bear was born
											into the middle of this great spasm of extermination,
											and you can see it as a sign that
											maybe some people deep down
											were starting to feel conflicted about all that killing.
											America still hated the bear and feared it,
											but all of a sudden, America also wanted
											to give the bear a great big hug.
									","
											Oyuncak ayıyı bir düşünün.
											Geçmişe baktığımızda
bu bize normal geliyor.
											Çünkü ayılar sevimli, yani kim
											oynaması için çocuğuna 
bir tane vermez ki?
											Ama işte, 1902'de
											ayılar sevimli falan değillerdi.
											Yani, görüntüleri aynıydı
											ama kimse şirin bulmuyordu.
											1902'de ayılar canavarlardı.
											Ayılar çocukların ödünü koparan şeylerdi.
											Nesiller boyunca ayı,
											insanların karşılaştığı bütün tehlikelerin
											bir sembolü oldu.
											Federal hükümet aslında
											ayıları ve çakal
											ve kurt gibi yırtıcıları
											sistematik olarak öldürüyordu.
											Bu hayvanlar öcüleştiriliyordu.
											Çiftlik hayvanlarını öldüren
											birer katildiler.
											Bir hükümet biyoloğu,
											ayı gibi hayvanlara karşı verilen
											bu savaşı,
											gelişen medeniyetimizde artık
bu hayvanlara yer olmadığından
											onları yolumuzdan kaldırdığımız 
şeklinde açıklamıştı.
											Bir 10 yıllık dönem içinde, 
yarım milyona yakın
											kurt katledildi.
											Bozayılar, kısa sürede doğal yaşam
											alanlarının yüzde 95'inden silinecekti.
											Bir zamanlar ovalarda gezinen 
30 milyon bizon varken,
											tren raylarının üzerinden adeta
											bir ırmak gibi akıp geçmeleri için
											dört-beş saat beklemek zorunda kalan
											trenlerin hikayelerini duymuşsunuzdur.
											1902 civarında doğada belki 100'den 
az bizon kalmıştı.
											Oyuncak ayı, işte böyle bir
											yok etme çılgınlığının ortasında doğdu.
											Bu açıdan onu, bazı insanların,
											tüm bu katliamlar hakkında, içten içe
											ikileme düşmeye başlamasının 
bir işareti olarak görebiliriz.
											Amerika hala ayıdan korkuyor ve 
nefret ediyordu.
											Ama aynı zamanda
											ayıya sımsıkı sarılmak da istiyordu.
									","
											Denken Sie an den Teddybären.
											Rückblickend erscheint 
er uns selbstverständlich,
											denn Bären sind süß und kuschelig
											und wer will sein Kind nicht
mit einem spielen lassen?
											Aber 1902 waren Bären 
nicht süß und kuschelig.
											Sie sahen zwar genauso aus,
											aber niemand dachte so über sie.
											1902 waren Bären Monster.
											Bären erschreckten Kinder fürchterlich.
											Für Generationen war der Bär
											ein Symbol für alle Gefahren,
											denen Menschen an der Frontier begegneten
											und die Regierung rottete Bären
und andere Raubtiere
											systematisch aus, auch Koyoten und Wölfe.
											Diese Tiere wurden dämonisiert.
											Man nannte sie Mörder,
											weil sie Nutztiere töteten.
											Ein Biologe der Regierung erklärte,
											dass Tiere wie der Bär
											in unserer fortschreitenden Zivilisation
											keinen Platz mehr hätten
											und daher müssten wir 
sie aus dem Weg räumen.
											In nur 10 Jahren wurden fast
eine halbe Millionen Wölfe getötet.
											Der Grizzly verschwand
											aus fast 95 % seines Ursprungsgebiets
											und wo früher 30 Millionen Bisons
über die Ebenen streiften
											und Züge für vier bis 
fünf Stunden anhielten,
											damit diese breiten, lebenden Flüsse
aus Tieren vorbeiziehen konnten,
											lebten 1902 vielleicht weniger als 100.
											Als der Teddybär geboren wurde,
											herrschte die Ausrottung des Wilden.
											Sehen Sie ihn als Zeichen dafür,
											dass einige Menschen begannen,
											Widerstand gegen das Töten zu fühlen.
											Amerika hasste und fürchtete die Bären,
											aber plötzlich wollte Amerika
											den Bären auch ganz fest umarmen.
											In den letzten Jahren machte
mich das sehr neugierig.
											Wie stellen wir uns Tiere vor,
											was denken und fühlen wir über sie
									",How the teddy bear taught us compassion,Jon Mooallem,14:16,"environment,nature"
"
","
","
",How the teddy bear taught us compassion,Jon Mooallem,14:16,"environment,nature"
"
											So this is something that I've been really
curious about in the last few years.
											How do we imagine animals,
											how do we think and feel about them,
											and how do their reputations get written
											and then rewritten in our minds?
											We're here living in the eye of a great storm
											of extinction where half the species on the planet
											could be gone by the end of the century,
											and so why is it that we come to care about
											some of those species and not others?
											Well, there's a new field, a relatively new field
											of social science that started looking at
											these questions and trying to unpack the powerful
											and sometimes pretty schizophrenic relationships
											that we have to animals,
											and I spent a lot of time looking through
											their academic journals,
											and all I can really say is that their findings
											are astonishingly wide-ranging.
											So some of my favorites include that
											the more television a person
watches in Upstate New York,
											the more he or she is afraid
											of being attacked by a black bear.
											If you show a tiger to an American,
											they're much more likely to assume that it's female
											and not male.
											In a study where a fake snake
											and a fake turtle were put on the side of the road,
											drivers hit the snake much
more often than the turtle,
											and about three percent of
drivers who hit the fake animals
											seemed to do it on purpose.
											Women are more likely than men to get a
											""magical feeling"" when they see dolphins in the surf.
											Sixty-eight percent of mothers with
											""high feelings of entitlement and self-esteem""
											identified with the dancing cats
											in a commercial for Purina. (Laughter)
											Americans consider lobsters
											more important than pigeons
											but also much, much stupider.
											Wild turkeys are seen as only slightly
more dangerous than sea otters,
											and pandas are twice as lovable as ladybugs.
									","
											Bu, son birkaç yıldır 
merak ettiğim bir şeydi:
											Hayvanları nasıl hayal ediyoruz,
											onlar hakkında ne hissediyoruz?
											Aklımızdaki itibarlarını 
nasıl şekillendiriyor
											ve sonrasında yenileriyle değiştiriyoruz?
											Şu an, gezegendeki türlerin yarısının
											yüzyılın sonuna kadar silinmesine 
sebep olacak
											yok oluş fırtınasının tam ortasındayız.
											Peki neden bazı türleri önemserken,
											diğerlerini önemsemiyoruz?
											Sosyal bilimlerin bu cevapları arayan,
											hayvanlarla olan güçlü
											ve çoğu zaman şizofrenik ilişkilerimizi
											çözmeye çalışan,
											görece yeni bir dalı var.
											Akademik dergilerini
											uzun süre takip ettim ve
											tek söyleyebileceğim, bulgularının
											şaşırtıcı derecede kapsamlı olduğu.
											Favorilerimin bazıları şunlar:
											Yukarı New York'da bir insan 
ne kadar çok televizyon izlerse,
											bir kara ayının kendisine
											saldırmasından o kadar korkuyor.
											Bir Amerikalı'ya kaplan gösterdiğinizde,
											çoğu, hayvanın erkek değil,
											dişi olduğunu varsayıyor.
											Bir çalışmada yol kenarına
											oyuncak yılan ve kaplumbağa konulmuş
											ve sürücülerin yılana daha fazla çarptığı,
											oyuncak hayvanlara çarpan sürücülerin de
											yüzde 3'ünün bunu kasıtlı yaptığı 
görülmüş.
											Dalgalar arasında yunus gören kadınlar,
											""büyülenmiş"" hissetmeye erkeklerden 
daha yatkınmış.
											""Yüksek özgüven sahibi ve güçlü""
											annelerin yüzde 68'i, 
kendini Purina (kedi maması)
											reklamlarındaki danseden kedilerle
											özdeşleştirmiş. (Gülüşmeler)
											Amerikalılara göre ıstakozlar,
											güvercinlerden daha önemli
											ama çok daha aptalmış.
											Yabani hindiler, su samurundan 
biraz daha tehlikeli,
											pandalar ise uğur böceklerinden 
iki kat daha sevimliymiş.
									","
											und wie ändert sich ihre Reputation
in unseren Köpfen?
											Wir leben heute im Zentrum 
eines großen Sturms des Tötens,
											die Hälfte der Arten des Planeten
											könnte bis Ende des Jahrhunderts
verschwunden sein.
											Warum kümmer wir uns also
											um einige dieser Arten 
und um andere nicht?
											Es gibt ein relativ neues Forschungsfeld
											in den Sozialwissenschaften,
											das sich mit diesen Fragen beschäftigt
											und versucht, die manchmal
schizophrenen Beziehungen
											zwischen uns und Tieren zu verstehen.
											Ich verbringe viel Zeit damit,
											ihre akademischen Zeitschriften zu lesen.
											Was ich sagen kann, ist,
											dass ihre Erkenntnisse 
erstaunlich weitreichend sind.
											Hier einige meiner Favoriten:
											Je mehr eine Person 
in New York fernsieht,
											desto mehr Angst hat sie,
											von einem Schwarzbären
angegriffen zu werden.
											Wenn Sie einem Amerikaner
einen Tiger zeigen,
											nimmt dieser wahrscheinlich an,
											dass er weiblich ist.
											In einer Studie lagen
eine falsche Schlange
											und eine falsche Schildkröte 
auf die Straße
											und Fahrer fuhren viel öfter
über die Schlange,
											circa 3 % der Fahrer, 
die die Tiere überfuhren,
											schienen es absichtlich zu machen.
											Mehr Frauen als Männer
											erleben ein ""magisches Gefühl"",
wenn sie Delfine sehen.
											68 % der Mütter
											mit ""starker Anspruchshaltung
und hohem Selbstwertgefühl""
											identifizierten sich 
mit den tanzenden Katzen
											in einer Werbung für Purina.
											Amerikaner halten Hummer
											für wichtiger als Tauben,
											aber auch für viel, viel dümmer.
											Wilde Truthähne hält man für 
nur wenig gefährlicher als Seeotter
											und Pandas sind zweimal 
so liebenswert wie Marienkäfer.
									",How the teddy bear taught us compassion,Jon Mooallem,14:16,"environment,nature"
