en,fr,pt,tr,es,title,speaker,duration,tags
"
","
","
","
","
",You are not alone in your loneliness,Jonny Sun,10:36,"creativity,compassion,personal growth,writing,empathy,visualizations,art,humanity,community,relationships"
"
											Hello.
											I'd like to introduce you to someone.
											This is Jomny.
											That's ""Jonny"" but spelled
accidentally with an ""m,""
											in case you were wondering,
											because we're not all perfect.
									","
											Bonjour.
											J'aimerais vous présenter quelqu'un.
											Voici Jomny.
											C'est « Jonny » mais écrit
accidentellement avec un « m »,
											si vous vous le demandiez,
											car nous ne sommes pas parfaits.
									","
											Olá!
											Gostava de vos apresentar a uma pessoa.
											Este é o Jomny.
											Igual a ""Jonny"" mas escrito
acidentalmente com um ""m"",
											caso se sintam curiosos,
porque não somos todos perfeitos.
									","
											Merhaba,
											sizi biriyle tanıştırmak istiyorum.
											Bu Jomny.
											Aslında Jonny
											ama yanlışlıkla ""m"" ile telaffuz edilmiş
											çünkü hiçbirimiz mükemmel değiliz.
									","
											Hola.
											Me gustaría presentarles a alguien.
											Este es Jomny.
											Como ""Jonny"" pero escrito
accidentalmente con una ""m"",
											por si se lo preguntan,
											ya que no todos somos perfectos.
									",You are not alone in your loneliness,Jonny Sun,10:36,"creativity,compassion,personal growth,writing,empathy,visualizations,art,humanity,community,relationships"
"
","
","
","
","
",You are not alone in your loneliness,Jonny Sun,10:36,"creativity,compassion,personal growth,writing,empathy,visualizations,art,humanity,community,relationships"
"
											Jomny is an alien
											who has been sent to earth
with a mission to study humans.
											Jomny is feeling lost and alone
and far from home,
											and I think we've all felt this way.
											Or, at least I have.
											I wrote this story about this alien
at a moment in my life
											when I was feeling particularly alien.
											I had just moved to Cambridge
and started my doctoral program at MIT,
											and I was feeling intimidated and isolated
and very much like I didn't belong.
									","
											Jomny est un extraterrestre
											qui a été envoyé sur Terre
avec pour mission d'étudier les humains.
											Jomny se sent perdu,
seul et loin de chez lui,
											et je pense que nous avons
tous ressenti cela.
											En tout cas, moi oui.
											J'ai écrit cette histoire
sur cet extraterrestre
											à un moment de ma vie
où je me sentais comme un étranger.
											Je venais d'emménager à Cambridge
et de commencer un doctorat au MIT,
											je me sentais intimidé, isolé
											et je n'avais pas l'impression
d'être à ma place.
									","
											O Jomny é um extraterrestre
											que foi enviado à terra com a missão
de estudar os seres humanos.
											O Jomny sente-se perdido,
sozinho e longe de casa.
											Penso que já todos nos sentimos assim.
											Pelo menos eu já.
											Eu escrevi esta história
sobre este extraterrestre
											num momento da minha vida
em que me sentia como um deles.
											Tinha acabado de ir para Cambridge
e começado o meu doutoramento no MIT.
											Estava a sentir-me intimidado e isolado,
como se não pertencesse ali.
									","
											Jomny bir uzaylı
											ve insanlar üzerinde çalışma göreviyle
dünyaya gönderilmiş.
											Kaybolmuş, yalnız
ve evden uzakta hissediyor.
											Sanırım hepimiz böyle hissetmişizdir
											ya da en azından
ben böyle hissetmiştim.
											Hayatımda, özellikle uzaylı gibi
hissettiğim bir dönemde
											bu uzaylıyla ilgili bir hikâye yazmıştım.
											Cambridge'e yeni taşınmış
ve MIT'de doktora programına başlamıştım.
											Herkesten uzakta ve korkmuş hissediyordum,
buraya ait değilmişim gibi geliyordu.
									","
											Jomny es un extraterrestre
											que fue enviado a la Tierra 
con la misión de estudiar a los humanos.
											Jomny se siente perdido, 
solo y lejos de su casa,
											y creo que todos nos hemos
sentido así alguna vez.
											O, al menos yo sí.
											Escribí esta historia sobre este
extraterreste en un momento de mi vida
											en que me sentía muy extraño.
											Acababa de mudarme a Cambridge
para empezar un doctorado en el MIT,
											me sentía intimidado y aislado. 
y me parecía estar fuera de lugar.
									",You are not alone in your loneliness,Jonny Sun,10:36,"creativity,compassion,personal growth,writing,empathy,visualizations,art,humanity,community,relationships"
"
","
","
","
","
",You are not alone in your loneliness,Jonny Sun,10:36,"creativity,compassion,personal growth,writing,empathy,visualizations,art,humanity,community,relationships"
"
											But I had a lifeline of sorts.
											See, I was writing jokes
for years and years
											and sharing them on social media,
											and I found that I was turning
to doing this more and more.
									","
											Mais j'avais une sorte
de planche de salut.
											Voyez-vous, pendant des années
et des années, j'ai écrit des blagues,
											je les ai partagées
sur les réseaux sociaux
											et j'ai découvert que je me tournais
de plus en plus vers cela.
									","
											Mas tinha uma espécie
de tábua de salvação.
											Eu escrevia piadas há anos e anos
											e partilhava-as nas redes sociais.
											Percebi que estava a começar
a fazê-lo cada vez mais.
									","
											Ama bir çeşit cankurtaranım vardı.
											Mesela yıllarca espriler yazdım
ve onları sosyal medyada paylaştım
											ve zaman geçtikçe
bunu daha çok yaptığımı fark ettim.
									","
											Pero tenía una especie de salvavidas.
											Les cuento que hace muchos años
que vengo escribiendo chistes
											y los publico en las redes sociales.
											Me di cuenta que lo estaba
haciendo cada vez más.
									",You are not alone in your loneliness,Jonny Sun,10:36,"creativity,compassion,personal growth,writing,empathy,visualizations,art,humanity,community,relationships"
"
","
","
","
","
",You are not alone in your loneliness,Jonny Sun,10:36,"creativity,compassion,personal growth,writing,empathy,visualizations,art,humanity,community,relationships"
"
											Now, for many people,
the internet can feel like a lonely place.
											It can feel like this,
											a big, endless, expansive void
											where you can constantly call out to it
but no one's ever listening.
											But I actually found a comfort
in speaking out to the void.
											I found, in sharing
my feelings with the void,
											eventually the void started to speak back.
											And it turns out that the void
isn't this endless lonely expanse at all,
											but instead it's full of
all sorts of other people,
											also staring out into it
and also wanting to be heard.
											Now, there have been many bad things
that have come from social media.
											I'm not trying to dispute that at all.
											To be online at any given point
is to feel so much sadness
											and anger and violence.
											It can feel like the end of the world.
											Yet, at the same time, I'm conflicted
											because I can't deny the fact
that so many of my closest friends
											are people that I had met
originally online.
											And I think that's partly because
there's this confessional nature
											to social media.
											It can feel like you are writing
in this personal, intimate diary
											that's completely private,
											yet at the same time you want
everyone in the world to read it.
											And I think part of that, the joy of that
											is that we get to experience things
from perspectives from people
											who are completely
different from ourselves,
											and sometimes that's a nice thing.
									","
											Pour beaucoup de gens, Internet
peut sembler être un endroit solitaire.
											Il peut ressembler à cela,
											un énorme vide, vaste et infini
											où vous criez sans cesse
mais personne ne vous écoute jamais.
											Mais j'ai trouvé du réconfort
à parler dans le vide.
											J'ai découvert qu'en partageant
mes sentiments avec le vide,
											le vide a fini par me répondre.
											Il s'avère que le vide n'est pas du tout
cette étendue solitaire infinie
											mais qu'il est plein
de toutes sortes de personnes
											également tournées vers lui
et voulant également être entendues.
											Plein de mauvaises choses
sont venues des réseaux sociaux.
											Je n'essaye pas de discuter cela.
											Être en ligne à n'importe quel moment,
c'est ressentir tellement de tristesse,
											de colère et de violence.
											Cela peut sembler être la fin du monde.
											Pourtant en même temps, je suis partagé
											car je ne peux pas nier le fait
que tant de mes amis les plus proches
											sont des gens
que j'ai rencontrés en ligne.
											Je pense que c'est partiellement
du fait de cette nature confessionnelle
											qu'ont les réseaux sociaux.
											Il peut sembler que vous écrivez
dans ce journal personnel, intime
											qui est totalement privé,
											pourtant en même temps vous voulez
que tout le monde le lise.
											Je crois qu'une partie de cela,
la joie dans cela,
											est que nous pouvons vivre les choses
du point de vue de gens
											qui sont complètement différents de nous
											et parfois, c'est une bonne chose.
									","
											Para muitas pessoas, a Internet
pode ser um sítio solitário.
											Pode parecer isto,
											um enorme vazio, interminável e expansivo
											em que estamos sempre a chamar alguém
mas ninguém nos ouve.
											No entanto, encontrei algum conforto
ao falar para o vazio.
											Descobri que, ao partilhar
os meus sentimentos com o vazio,
											por fim, o vazio começou a responder.
											Afinal, o vazio não é de todo
uma vastidão interminável e solitária,
											mas está cheio de todo o tipo
de outras pessoas,
											que também o encaram
e querem ser ouvidas.
											É verdade que muitas coisas más
têm surgido das redes sociais.
											Não estou a tentar negar isso.
											Estar na Internet, a certa altura,
é sentir muita tristeza,
											fúria e violência.
											Pode parecer-nos o fim do mundo.
											Mas, ao mesmo tempo,
entro em conflito,
											porque não posso negar o facto de que
muitos dos meus amigos mais próximos
											são pessoas que eu conheci
inicialmente na Internet.
											Acho que, em parte, isso é
porque há uma natureza de confissão
											nas redes sociais.
											Pode parecer que estamos a escrever
um diário íntimo, pessoal,
											que é completamente privado,
											mas, ao mesmo tempo, queremos
que toda a gente no mundo o leia.
											Acho que, em parte, a alegria disso
											é que podemos vivenciar as coisas
na perspetiva de outras pessoas
											que são totalmente diferentes de nós
											e, por vezes, isso é uma coisa boa.
									","
											Birçok kişiye göre internet,
yalnız bir yer olabilir.
											Sürekli seslendiğiniz
ama kimsenin dinlemediği,
											büyük, sonsuz ve genişleyen
bir boşluk gibi hissettirebilir.
											Buna rağmen boşlukla konuşmak
beni rahatlattı.
											Duygularımı boşlukla paylaştıkça
zamanla boşluk cevap vermeye başladı.
											Meğer boşluk, o sonsuz
ve yalnız enginlik değilmiş.
											Hatta her çeşit insanla doluymuş;
											aynı benim gibi boşluğa bakan
ve duyulmak isteyen insanlarla.
											Sosyal medya birçok kötü şeye neden oldu,
bunu inkâr etmiyorum.
											Herhangi bir zamanda çevrim içi olmak,
											çok fazla üzüntü, öfke
ve şiddet hissetmeye neden olur.
											Dünyanın sonu gelmiş gibi hissettirir.
											Ama aynı zamanda bir çelişkideyim
											çünkü yakın arkadaşlarımın çoğunun
											aslında internette tanıştığım
kişiler olduğunu yadsıyamam.
											Sanırım bunun nedeni biraz da
sosyal medyanın itiraf etme doğası.
											Sanki kişisel, samimi
ve gizli bir günlük yazıyorsunuz gibi
											ama aynı zamanda tüm dünyanın
bunu okumasını istiyorsunuz.
											Galiba bunun eğlenceli yönü,
											bizden tamamen farklı olan insanların
bakış açılarını deneyimleyebiliyor olmamız
											ve bazen bu iyi bir şey.
									","
											Para muchas personas,
Internet puede parecer un lugar solitario.
											Puede parecer algo así,
											un vacío grande, interminable y amplio
											donde uno puede llamar sin cesar, 
sin que nadie lo escuche.
											Pero en realidad encontré 
consuelo al hablar al vacío.
											Descubrí que, al compartir
mis sentimientos con el vacío,
											el vacío comenzó a responder.
											Resulta que el vacío no es para nada
una extensión solitaria sin fin,
											en cambio está lleno
de todo tipo de personas,
											también mirándolo
y queriendo ser escuchados.
											Han habido muchas cosas malas
venidas de la mano de las redes sociales.
											No trato de ponerlo en duda para nada.
											Hay momentos que estar en línea 
es sentir tanta tristeza,
											tanta ira y tanta violencia.
											Puede sentirse como el fin del mundo.
											Y a la vez, me siento en un conflicto
											porque no puedo negar el hecho
de que muchos de mis amigos más cercanos
											son personas que conocí
originalmente en línea.
											Creo que eso se debe en parte 
a la naturaleza confesional
											de las redes sociales.
											Puede parecer que uno escribe 
en un diario personal e íntimo
											que es completamente privado,
											pero al mismo tiempo queremos
que lo lean todos en el mundo.
											Pienso que parte de eso,
la alegría que trae
											es que podemos experimentar cosas
desde la perspectiva de otros
											que son totalmente distintos a nosotros,
											que puede ser algo agradable.
									",You are not alone in your loneliness,Jonny Sun,10:36,"creativity,compassion,personal growth,writing,empathy,visualizations,art,humanity,community,relationships"
"
","
","
","
","
",You are not alone in your loneliness,Jonny Sun,10:36,"creativity,compassion,personal growth,writing,empathy,visualizations,art,humanity,community,relationships"
"
											For example, when I first joined Twitter,
											I found that so many of the people
that I was following
											were talking about mental health
and going to therapy
											in ways that had none of the stigma
that they often do
											when we talk about these issues in person.
											Through them, the conversation
around mental health was normalized,
											and they helped me realize
that going to therapy was something
											that would help me as well.
									","
											Par exemple, quand j'ai rejoint Twitter,
											j'ai découvert que
tant de personnes que je suivais
											parlaient de santé mentale
et suivaient une thérapie
											de façons qui n'avaient
aucun des stigmates récurrents
											quand nous parlons
de ces sujets en personne.
											A travers elles, la conversation
sur la santé mentale a été normalisée
											et cela m'a aidé à réaliser
que suivre une thérapie était une chose
											qui m'aiderait également.
									","
											Por exemplo, quando eu criei um ""Twitter""
											percebi que muitas das pessoas
que eu seguia
											falavam de saúde mental e de fazer terapia
											de uma forma que não tinha
o estigma que normalmente há,
											quando falamos destes problemas 
cara a cara.
											Através deles, a conversa que rodeava
a saúde mental era normalizada
											e ajudaram-me a perceber
que ir ao psicólogo
											era uma coisa que também me iria ajudar.
									","
											Örneğin, Twitter'a ilk katıldığımda
											takip ettiğim birçok kişinin,
mental sağlık ve terapiye gitmekle ilgili
											bu konu yüz yüze konuşulurken hissedilen
utanç olmadan konuştuğunu fark ettim.
											Aralarında, mental sağlıkla
ilgili konuşmak normalleşmişti,
											ve terapiye gitmenin bana da
yardım edeceğini fark etmemi sağladılar.
									","
											Por ejemplo, cuando me uní a Twitter,
											descubrí que muchas personas
a quienes seguía
											hablaban de salud mental y de ir a terapia
											sin tener el mismo estigma
que se suele tener
											cuando hablamos de estos temas en persona.
											A través de ellos, la conversación 
sobre la salud mental se normalizó,
											y me ayudaron a darme cuenta 
de que ir a terapia
											era algo que también me ayudaría.
									",You are not alone in your loneliness,Jonny Sun,10:36,"creativity,compassion,personal growth,writing,empathy,visualizations,art,humanity,community,relationships"
