es,pt,fr,de,title,speaker,duration,tags
"
","
","
","
",The cheap all-terrain wheelchair,Amos Winter,11:14,"TEDx,culture,design,disability,engineering,innovation,invention,physics,poverty,product design"
"
											Vivir con una discapacidad física no es fácil
											en ningún lugar del mundo,
											pero si vives en un país como Estados Unidos,
											tienes a tus disposición 
equipamiento que hace tu vida mas fácil.
											Si estas en un edificio puedes usar el ascensor,
											si vas a cruzar la calle, dispones de rebajes en las aceras,
											y si tienes que viajar algo más lejos
											de lo que podrías hacerlo por tus propios medios, 
existen vehículos accesibles.
											Si no puedes permitirtelos,
											existe el trasporte público accesible.
									","
											Não é fácil viver 
com uma deficiência física
											em nenhuma parte do mundo,
											mas vivendo num país, 
como os Estados Unidos
											haverá alguns dispositivos disponíveis 
que nos tornam a vida mais fácil.
											Se estivermos num edifício, 
podemos apanhar o elevador.
											Se estivermos a atravessar uma 
estrada, temos rampas nos passeios.
											E se tivermos de percorrer 
distâncias maiores
											do que as que conseguimos pelos 
nossos meios, há veículos acessíveis.
											e se não pudermos pagar 
um desses,
											há transportes públicos acessíveis.
									","
											Ce n'est pas facile de vivre 
avec un handicap physique
											n'importe où dans le monde,
											mais si vous vivez dans un pays 
comme les Etats-Unis,
											il y a certains accessoires 
qui vous rendent la vie plus facile.
											Dans un immeuble, 
vous pouvez prendre un ascenseur.
											Pour traverser la rue, vous avez 
des trottoirs avec des abaissements.
											Et si vous devez aller plus loin
											que vous ne le pouvez tout seul, i
l y a des véhicules accessibles.
											Si vous ne pouvez pas vous en payer un,
											il y a des transports publics accessibles.
									","
											Mit einer körperlichen 
Behinderung zu leben,
											ist nirgends auf der Welt einfach,
											aber wenn man in einem Land 
wie den Vereinigten Saaten lebt,
											erleichtern einem 
gewisse Hilfsmittel das Leben.
											In Gebäuden kann 
man den Aufzug nehmen,
											an Überwegen gibt es 
abgesenkte Bordsteine;
											und für große Distanzen, 
die man nicht von selbst
											zurücklegen kann, gibt es 
behindertengerechte Fahrzeuge;
											wer sich diese
nicht leisten kann,
											nimmt behindertengerechte 
öffentliche Verkehrsmittel.
									",The cheap all-terrain wheelchair,Amos Winter,11:14,"TEDx,culture,design,disability,engineering,innovation,invention,physics,poverty,product design"
"
","
","
","
",The cheap all-terrain wheelchair,Amos Winter,11:14,"TEDx,culture,design,disability,engineering,innovation,invention,physics,poverty,product design"
"
											Pero en el mundo en vías de desarrollo, 
es bastante diferente
											40 millones de personas no tienen acceso
a una silla de ruedas
											y de ellas la mayoría vive en zonas rurales,
											donde la única forma de conectar con la comunidad, la educación y el empleo
											es desplazándose largas distancias en terreno escabroso
											a menudo por sus propios medios.
											La equipación que estas personas tienen a su disposicion
											no ha sido creada para estas situaciones y se rompe facilmente,
											siendo difícil de reparar.
									","
											Mas nos países em desenvolvimento, 
as coisas são bem diferentes.
											Há 40 milhões de pessoas que precisam 
de uma cadeira de rodas mas não a têm,
											e a maioria dessas pessoas 
vive em áreas rurais,
											onde a única ligação à comunidade, 
ao emprego e à educação
											implica percorrer grandes distâncias, 
através de terrenos irregulares
											quase sempre usando a sua 
própria energia.
											Os dispositivos que estão normalmente 
disponíveis para estas pessoas,
											não foram feitos para esse contexto, 
partem-se com facilidade,
											e é difícil repará-los.
									","
											Mais dans le monde en développement, 
les choses sont très différentes.
											Il y a 40 millions de personnes qui ont besoin 
d'un fauteuil roulant et qui n'en ont pas.
											La majorité de ces personnes
vivent dans les zones rurales
											où les seuls accès à la communauté, 
à l'emploi, à l'éducation
											exige de parcourir de longues distances 
en terrain accidenté,
											souvent par leurs propres moyens.
											Les appareils généralement disponibles 
pour ces personnes
											ne sont pas faits pour ce contexte, 
ils se détériorent rapidement
											et sont difficiles à réparer.
									","
											In den Entwicklungsländern aber 
stehen die Dinge anders.
											Dort gibt es 40 Millionen Menschen, die einen 
Rollstuhl benötigen, aber keinen besitzen;
											und die Mehrheit davon
lebt auf dem Land,
											wo Gemeinde, Arbeit und Bildung
nur erreichbar sind,
											wenn man aus eigener Kraft
											lange Strecken auf unebenem 
Gelände zurücklegt.
											Die verfügbaren Hilfsmittel
											sind dafür nicht gemacht, 
gehen schnell kaputt
											und sind schwer zu reparieren.
									",The cheap all-terrain wheelchair,Amos Winter,11:14,"TEDx,culture,design,disability,engineering,innovation,invention,physics,poverty,product design"
"
","
","
","
",The cheap all-terrain wheelchair,Amos Winter,11:14,"TEDx,culture,design,disability,engineering,innovation,invention,physics,poverty,product design"
"
											Comencé a observar las sillas de ruedas en países en desarrollo en el año 2005
											cuando pasé el verano evaluando 
el estado de la tecnología en Tanzania,
											tuve la ocasión de hablar con grupos de discapacitados, usuarios y fabricantes de sillas de ruedas,
											Lo que más llamó mi atención
											fue que no existía ningún dispositivo
											específicamente diseñado para zonas rurales, que fuera rápido
											y eficiente en los distintos tipos de terreno.
											Como ingeniero mecánico,
											del Instituto Tecnologico de Massachussets, con todos 
los recursos a mi alcance
											pensé que debería intentar hacer algo al respecto.
									","
											Comecei a observar cadeiras de rodas em 
países em desenvolvimento, em 2005
											quando passei o Verão a avaliar 
a tecnologia na Tanzânia,
											e falei com utilizadores de cadeiras de rodas, 
fabricantes, grupos de pessoas com deficiências,
											o que me chamou a atenção
											foi que não havia um dispositivo disponível,
											concebido para áreas rurais, 
que andasse com rapidez
											e eficiência em diversos tipos 
de terreno.
											Por isso, sendo engenheiro mecânico,
											tendo frequentado o MIT e com muitos 
recursos disponíveis
											pensei que podia tentar fazer alguma coisa.
									","
											J'ai commencé à observer les fauteuils roulants 
dans les pays en développement
											lorsque j'ai passé l'été 2005 à évaluer 
l'état de la technologie en Tanzanie.
											J'ai parlé aux utilisateurs et aux fabricants 
de fauteuils roulants et aux groupes handicapés.
											J'ai découvert qu'il n'y avait pas
											un appareil conçu pour les zones rurales
											pour se déplacer vite et efficacement
											sur ​​de nombreux types de terrains.
											En tant qu'ingénieur en mécanique au MIT
											et disposant de beaucoup de ressources,
											je voulais essayer d'y faire quelque chose.
									","
											2005 beschäftigte ich mich erstmals 
mit Rollstühlen in Entwicklungsländern,
											als ich im Sommer den Stand
der Technik in Tansania untersuchte.
											Ich sprach mit Rollstuhlfahrern, 
-herstellern, Behindertengruppen,
											und es zeichnete sich ab,
											dass es kein Hilfsmittel
											für ländliche Gebiete gab, 
mit dem man sich
											schnell und effizient auf diesem 
Terrain fortbewegen konnte.
											Als Maschinenbauingenieur am MIT
											mit jeder Menge Ressourcen
											beschloss ich, 
etwas zu unternehmen.
									",The cheap all-terrain wheelchair,Amos Winter,11:14,"TEDx,culture,design,disability,engineering,innovation,invention,physics,poverty,product design"
"
","
","
","
",The cheap all-terrain wheelchair,Amos Winter,11:14,"TEDx,culture,design,disability,engineering,innovation,invention,physics,poverty,product design"
"
											Cuando piensas en intentar viajar
											grandes distancias en terreno escabroso
											lo primero que me vino a la cabeza fue una bicicleta de montaña
											y efectivamente la bicicleta de montaña cumple esta funcion
											porque tiene marchas
											y puedes pasar a una marcha corta si tienes que subir una colina
											o atravesar barro o arena
											obteniendo gran fuerza pero a baja velocidad.
											Si por el contrario, quieres ir mas rápido, 
por ejemplo, sobre asfalto,
											puedes cambiar a una marcha alta,
											donde tendrás menos potencia, pero más velocidad.
											La evolución lógica era por tanto
											hacer una silla de ruedas con los componentes de una bicicleta de montaña
											lo que mucha gente había hecho ya.
											Había un par de estos productos en EE.UU, 
pero su introducción
											a los países en vías de desarrollo sería complejo,
											sobre todo por su alto coste.
											Estoy hablando de un medio en el cual
											necesitas un producto por menos de 200 dolares;
											y que además fuera capaz de
											desplazarse 5 kilómetros al día, para poder ir al trabajo o a clase
											y hacerlo sobre diferentes tipos de terreno.
											Pero cuando llegas a casa o quieres estar en el interior en el trabajo
											tiene que ser lo suficientemente pequeño y manejable para permitir su uso en interiores.
											Más aún, para que tenga una larga vida útil en zonas rurales,
											ha de poderse reparar utilizando las herramientas, materiales
y conocimientos
											disponibles en esas zonas.
											El problema crucial al que nos enfrentamos es
											¿cómo crear una herramienta simple
											que nos aporte una gran ventaja mecánica?
											¿Como construir una bicicleta de montaña para los brazos
											que no tenga su coste ni complejidad?
									","
											Quando se fala de tentar percorrer
											grandes distâncias em terrenos irregulares,
											penso imediatamente 
em bicicletas de montanha
											e uma bicicleta de montanha 
é boa para isso,
											porque tem um trem de engrenagem
											e podemos trocar para uma mudança de velocidade 
mais baixa, se tivermos de subir uma montanha
											ou circular por lama ou areia
											e conseguimos mais rotação, 
mas com menos velocidade.
											Se quisermos andar mais rápido, 
digamos, em pavimento,
											podemos trocar para uma mudança mais alta,
											e obtemos menos rotação, mas maior velocidade.
											Assim, a evolução lógica aqui
											é fabricar uma cadeira de rodas, 
com componentes de bicicleta de montanha,
											o que muitas pessoas já fizeram.
											Mas estes são dois produtos disponíveis 
nos Estados Unidos
											que será difícil transferir para 
países em desenvolvimento
											porque são muito, muito caros.
											O contexto de que estou a falar 
é o de
											termos de conseguir um produto 
de menos de 200 dólares.
											E este produto ideal, também teria 
de percorrer
											cerca de cinco quilómetros por dia, 
para se poder chegar ao trabalho, à escola,
											e fazê-lo em tipos de terreno muito, 
muito diferentes.
											Mas para quando se chega a casa, 
ou se está no trabalho
											precisa de ser suficientemente 
pequeno e manobrável para utilizar no interior.
											Além disso, se queremos que dure 
muito tempo, em áreas rurais.
											tem de ser reparável com ferramentas, 
materiais e conhecimentos locais,
											nesse contexto.
											O ponto crucial do problema é:
											como fabricar um sistema que é 
um dispositivo simples
											mas que nos dá uma grande 
vantagem mecânica?
											Como fazer uma bicicleta de montanha 
para os braços
											que não tenha o custo e a complexidade 
de uma bicicleta de montanha?
									","
											Lorsqu'on parle de parcourir
											de longues distances en terrain accidenté,
											je pense immédiatement à un vélo tout-terrain,
											et un vélo tout-terrain est bien adapté à ça
											car il a un train d'engrenages,
											qui permet de passer à une vitesse inférieure 
pour monter une côte
											ou pour passer dans la boue ou le sable,
											avec beaucoup de couple et une faible vitesse.
											Si l'on veut aller plus vite, par exemple sur le trottoir,
											on passe à une vitesse supérieure.
											On a moins de couple, 
mais des vitesses plus élevées.
											Il s'agit donc de faire un fauteuil roulant
											avec des composantes de vélo tout-terrain,
											ce que beaucoup de gens ont fait.
											Voici deux produits disponibles aux États-Unis
											qu'il serait difficile de transférer 
dans les pays en développement
											car il sont bien trop chers.
											Dans le contexte dont je parle, 
on a besoin d'un produit
											qui coûte moins de 200 dollars.
											Ce produit idéal pourrait aussi parcourir
											cinq kilomètres par jour pour vous permettre 
de vous rendre au travail ou à l'école,
											sur ​​de très nombreux types de terrains.
											Mais quand vous rentrez chez vous ou
dans votre lieu de travail,
											il doit être suffisamment petit et maniable 
pour l'utilisation en intérieur.
											En outre, pour qu'il dure longtemps 
dans les zones rurales,
											on doit pouvoir le réparer en se servant des outils, 
des matériaux et des savoirs locaux
											dans ces contextes.
											Le fond du problème est donc
											comment faire un appareil simple
											mais qui offre un grand avantage mécanique ?
											Comment faire un vélo tout-terrain pour les bras,
											qui soit moins cher et moins complexe 
qu'un vélo tout-terrain ?
									","
											Wenn es darum geht,
											lange Strecken auf unwegsamem
Gelände zurückzulegen,
											denke ich als erstes 
an Mountainbikes,
											denn Mountainbikes sind
											mit ihrer Gangschaltung
dafür wie geschaffen.
											Wenn man den Hügel rauf, 
durch Matsch oder Sand fahren muss,
											kann man in einen
niedrigen Gang wechseln,
											mit großem Drehmoment, 
aber geringer Geschwindigkeit.
											Will man schneller fahren, 
beispielsweise auf Asphalt,
											kann man in einen 
hohen Gang schalten
											mit einem kleineren Drehmoment, 
aber höherer Geschwindigkeit.
											Die logische Konsequenz ist,
											einen Rollstuhl mit 
Mountainbike-Teilen zu bauen,
											was bereits viele 
Leute getan haben.
											Diese zwei in den Staaten verfügbaren 
Produkte kann man nicht so leicht
											in Entwicklungsländer verschiffen,
											weil sie viel zu teuer sind.
											Man braucht dort ein Produkt,
											das weniger als 200$ (150€) kostet.
											Außerdem muss man 
mit dem Idealprodukt
											fünf Kilometer pro Tag zurücklegen können, 
um zur Arbeit oder zur Schule zu kommen,
											auf unterschiedlichem Gelände.
											Wenn man aber zu Hause 
oder in der Arbeit ankommt,
											muss es auch klein und wendig sein, 
um sich drinnen fortbewegen zu können.
											Außerdem muss es, 
um lange am Land zu halten,
											mit dem dort verfügbaren Werkzeugen, 
Materialien und Kenntnissen
											zu reparieren sein.
											Der Knackpunkt ist also:
											Wie entwickelt man 
ein einfaches Hilfsmittel,
											das gleichzeitig einen großen 
mechanischen Vorteil bietet?
											Wie macht man ein 
Mountainbike für die Arme,
											das nicht so teuer und kompliziert 
wie ein Mountainbike ist?
									",The cheap all-terrain wheelchair,Amos Winter,11:14,"TEDx,culture,design,disability,engineering,innovation,invention,physics,poverty,product design"
"
","
","
","
",The cheap all-terrain wheelchair,Amos Winter,11:14,"TEDx,culture,design,disability,engineering,innovation,invention,physics,poverty,product design"
"
											Como sucede con las soluciones simples,
											a menudo la respuesta es evidente y para nosotros fue la palanca.
											Usamos palancas continuamente, en herramientas, pomos, y piezas de bicicleta.
											El momento de inspiración, el momento clave de la creación
											fue sentado frente a mi cuaderno de diseño
											cuando comencé a pensar sobre alguien sujetando una palanca.
											Si se sostiene cerca del final de la misma
											se obtiene una palanca de gran longitud
											que produce un gran torque según se impulsa de un lado a otro,
											obteniendo una marcha corta.
											A medida que se desliza la mano hacia abajo,
											se impulsa con una longitud de palanca eficaz más pequeña,
											pero a través de un angulo mayor, cada impulso
											crea una mayor velocidad de rotación y proporciona una marcha más larga.
											Lo emocionante de este sistema
											radica en que es mecánicamente muy simple
											y puedes hacerlo utilizando tecnologia
											mundialmente utilizada desde hace cientos de años.
											Poniendo esto en practica,
											esta es la silla de ruedas ""LFC"" que
											después de algunos años de desarrollo,
											está ahora en producción.
											Aqui tienen a un usuario de silla de ruedas,
											quien sufre de parálisis, en Guatemala,
											Pueden ver que puede desplazarse por un terreno escabroso.
											La clave, de nuevo, es que cuando él quiere ir deprisa,
											sujeta las palancas cerca del eje y utiliza más angulo con cada movimiento
											y cuando el movimiento se hace mas complicado, solo tiene que deslizar la manos hacia arriba
											creando un mayor par de fuerza, y disminuyendo la fuerza necesaria
											para conseguir atravesar el terreno mas difícil.
									","
											Como é o caso das soluções simples,
											muitas vezes a resposta está em frente dos 
nossos olhos, neste caso, foram as alavancas.
											Estamos sempre a usar alavancas, nas ferramentas, 
maçanetas de porta, peças de bicicleta.
											O momento de inspiração, 
aquele momento-chave da invenção
											foi quando estava sentado com 
o meu bloco de desenho à frente
											e comecei a imaginar alguém 
a agarrar numa alavanca,
											e se essa pessoa pegasse junto 
à extremidade da alavanca,
											podia obter uma alavanca 
efectivamente comprida
											e produzir mais rotação à medida 
que empurrava para trás e para a frente
											e obter, efectivamente, uma mudança 
de velocidade mais baixa.
											E à medida que deslizasse a mão 
para baixo, na alavanca
											podia empurrar com um comprimento 
de alavanca mais pequeno
											mas com um maior ângulo 
em cada movimento
											que produz uma maior velocidade de rotação 
e uma mudança de maior velocidade.
											O que entusiama mais neste sistema
											é que, mecanicamente, 
é muito, muito simples
											e podemos fazê-lo usando tecnologia
											que já existe há centenas de anos.
											Vendo isto na prática,
											esta é a Cadeira da Liberdade de Alavanca que,
											após poucos anos de desenvolvimento,
											vamos começar a produzir
											e este é um utilizador de cadeira, 
a tempo inteiro
											— está paralisado — na Guatemala,
											e podem ver como ele consegue atravessar 
terreno muito irregular.
											Repito, a inovação-chave desta tecnologia 
é, que quando ele quer andar depressa
											segura as alavancas perto dos eixos 
e faz um grande ângulo em cada movimento,
											e, à medida que o caminho se torna mais 
duro, desliza as mãos para cima
											produz mais rotação e como que levanta o peso 
e abre caminho
											através do terreno irregular.
									","
											Comme c'est le cas avec les solutions simples,
											la réponse est souvent juste sous votre nez.
Pour nous c'était les leviers.
											On utilise des leviers tout le temps: les poignées de porte, pièces de vélo ou d'autre outils.
											Quand j'ai eu l'inspiration clé pour cette invention,
											j'étais assis devant mon ordinateur portable
											et je me suis mis à penser 
à quelqu'un qui saisissait un levier.
											En saisissant le levier près de son extrémité,
											le long bras de levier permet d’obtenir
											beaucoup de couple en poussant et en tirant
											et une basse vitesse.
											En saisissant le levier plus loin de l'extrémité,
											le bras de levier est plus court,
											mais l’angle de chaque coup est plus grand,
											ce qui augmente la vitesse de rotation.
											Ce qui est fascinant dans ce système,
											c'est qu'il s'agit 
d'une mécanique vraiment très simple,
											qu'on pourrait fabriquer à l'aide d'une technologie
											qui existe depuis des centaines d'années.
											Et donc, le voilà,
											le fauteuil Leveraged Freedom Chair
											que nous sommes en train de produire
											après quelques années de développement.
											Cet homme passe sa vie dan un fauteuil roulant —
											Il vit au Guatemala et il est paralysé.
											Vous voyez qu'il est en mesure de traverser
un terrain assez accidenté.
											Là encore, l'innovation essentielle de cette 
technologie est que pour aller plus vite,
											il n'a qu'à saisir les leviers près des pivots, 
ce qui augmente l’angle à chaque coup.
											lorsqu'il devient plus difficile d'avancer, 
il déplace ses mains plus haut sur les leviers,
											ce qui crée plus de couple, et il avance 
sur le terrain accidenté
											un peu à la manière 
dont on fait un développé couché,
									","
											Wie das mit einfachen 
Lösungen manchmal ist,
											war die Antwort direkt 
vor unserer Nase: Hebel.
											Hebel werden überall genutzt, 
in Werkzeugen, Türknäufen oder Fahrradteilen.
											Und diese Inspiration, 
dieser Schlüsselmoment,
											kam, als ich vor 
meinem Skizzenbuch saß
											und mir jemanden vorstellte, 
der nach einem Hebel griff.
											Wenn man den Hebel 
am Ende greift,
											erhält man faktisch 
einen langen Hebel,
											mit hohem Drehmoment, 
wenn man ihn vor- und zurückbewegt,
											und nutzt im Grunde
einen niedrigen Gang.
											Wenn man den Hebel 
weiter unten greift,
											bewegt man einen 
effektiv kürzeren Hebel,
											jedoch über einen 
größeren Winkel,
											woraus sich eine größere Drehgeschwindigkeit 
und ein höherer Gang ergibt.
											Das Tolle an diesem System ist,
											dass es mechanisch gesehen 
wirklich einfach ist,
											und man es mit 
jahrhundertealter
											Technik herstellen kann.
											Nach ein paar Jahren der Entwicklung
											geht nun der ""Leveraged Freedom Chair"" (LFC),
											der Hebelrollstuhl für mehr Freiheit,
											in Produktion.
											Das ist ein Vollzeit-Rollstuhlfahrer –
											er ist gelähmt – in Guatemala,
											und Sie sehen, dass er kompliziertes 
Terrain überqueren kann.
											Nochmals, die wesentliche Innovation ist, 
dass er, wenn er schnell fahren möchte,
											den Hebel nahe der Achse greift und 
einen großen Winkel durchläuft,
											und wenns schwieriger wird, rutscht er 
mit den Händen an den Hebeln nach oben,
											erzeugt ein größeres Drehmoment 
und kämpft sich so
											mit ""Bankdrücken"" 
durch das schwierige Terrain.
									",The cheap all-terrain wheelchair,Amos Winter,11:14,"TEDx,culture,design,disability,engineering,innovation,invention,physics,poverty,product design"
