en,tr,es,pt,title,speaker,duration,tags
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											First of all, thank you
for your attention.
											There's nothing quite like
being in a room full of people like this,
											where all of you are giving
your attention to me.
											It's a powerful feeling, to get attention.
											I'm an actor, so I'm a bit
of an expert on, well, nothing, really.
									","
											Öncelikle hepinize dikkatiniz için
teşekkür ediyorum.
											Böyle insanlarla dolu bir salonda
											herkesin dikkatini
bana vermesi gibisi yok.
											İlgi görmek çok güçlü bir his.
											Ben aktörüm, o yüzden bu konuda
uzmanım — aslında hiç de değilim.
									","
											Primero que todo,
gracias por su atención.
											No hay nada como estar
en un salón así, lleno de gente,
											en que todos ustedes me prestan atención.
											Recibir atención es
un sentimiento poderoso.
											Soy actor, entonces soy experto
en,... bueno, en nada, la verdad.
									","
											Primeiro que tudo,
obrigado pela vossa atenção.
											Não há nada como estar numa sala
cheia de pessoas, como esta,
											onde todos me estão a dar atenção.
											Recebermos atenção
é uma poderosa sensação.
											Sou um ator, por isso, de certo modo
sou um especialista em...
											nada, na verdade.
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Risas)
									","
											(Risos)
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											But I do know what it feels like
to get attention —
											I've been lucky in my life
											to get a lot more
than my fair share of attention.
											And I'm grateful for that,
											because like I said,
it's a powerful feeling.
											But there's another powerful feeling
											that I've also been lucky
to experience a lot as an actor.
											And it's funny, it's sort of
the opposite feeling,
											because it doesn't come
from getting attention.
											It comes from paying attention.
									","
											Ama ilgi görmek nasıldır biliyorum.
											Ben de şanslıyım ki
											hayatımda yeterince ilgi gördüm.
											Bunun için minnetarım
											çünkü dediğim gibi, çok güçlü bir his bu.
											Ancak başka bir güçlü his daha var,
											aktör olarak tecrübe etme şansı
edindiğim bir his.
											Aslında tuhaf, o hissin tam tersi sayılır
											çünkü kaynağı dikkat çekmek değil.
											Dikkat vermek.
									","
											Pero sí sé lo que se siente
que te presten atención...
											he sido muy afortunado en la vida de que
me hayan prestado tanta atención.
											Y estoy agradecido por eso,
											porque como ya les dije,
es un sentimiento poderoso.
											Pero hay otro sentimiento poderoso
											que también he tenido la suerte
de experimentar mucho como actor.
											Y es extraño, es como
el sentimiento opuesto,
											porque no viene de recibir atención,
sino de prestar atención.
									","
											Mas sei como é a sensação
de receber atenção...
											Tive a sorte na minha vida
											de receber muito mais
do que a medida certa de atenção.
											E sinto-me grato por isso,
											porque, como eu disse,
é uma poderosa sensação.
											Mas há uma outra sensação poderosa
											que tenho tido a sorte
de sentir muito, como ator.
											É engraçado, é uma espécie
de sensação oposta,
											porque não vem de recebermos atenção.
											Vem de prestarmos atenção.
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											When I'm acting,
											I get so focused that I'm only
paying attention to one thing.
											Like when I'm on set
and we're about to shoot
											and the first AD calls out ""Rolling!""
											And then I hear ""speed,"" ""marker,"" ""set,""
											and then the director calls ""Action!""
											I've heard that sequence so many times,
											like, it's become this Pavlovian
magic spell for me.
											""Rolling,"" ""speed,"" ""marker,""
""set"" and ""action.""
											Something happens to me,
I can't even help it.
											My attention ...
											narrows.
											And everything else in the world,
											anything else that might be bothering me
or might grab my attention,
											it all goes away, and I'm just ... there.
											And that feeling, that is what I love,
											that, to me, is creativity.
											And that's the biggest reason
I'm so grateful that I get to be an actor.
									","
											Oyunculuk esnasında
											öylesine odaklanıyorum ki
sadece tek bir şeye dikkat veriyorum.
											Mesela sette olduğumuzda
ve çekim başlamak üzereyken
											yardımcı direktör
''Başlıyoruz!'' dediğinde.
											Sonra ''hızlanın, yerlerinizi alın''
											ve direktör bağırıyor ''Action!''
											Bu dizilimi o kadar çok duydum ki
											Pavlov'un klasik koşullanma
sihri gibi oldu.
											''Başlıyoruz, hızlanın, yerinizi alın,
hazır ve action.''
											Bana bir şeyler oluyor
ve kendimi tutamıyorum bile.
											Dikkatim...
											daralıyor.
											Dünyadaki diğer her şey,
											beni rahatsız edebilecek
veya dikkatimi dağıtacak her şey
											ortadan kayboluyor
ve sadece ben kalıyorum.
											İşte bu his... Bunu seviyorum.
											Bana göre bu yaratıcılık.
											Aktör olduğum için minnettar olmamın
en büyük sebebi bu.
									","
											Cuando actúo,
											me concentro tanto que solo
presto atención a una cosa.
											Así como cuando estoy
en el set y estamos por rodar
											y el asistente del director 
grita ""¡Rodando!"".
											Y luego oigo ""luces"", ""cámara"",
											y entonces el director grita ""¡Acción!"".
											He oído esa secuencia tantas veces
que ahora me parece un hechizo pavloviano.
											""Rodando,"" ""luces,"" ""cámara,"" y ""acción"".
											Me pasa algo que no puedo controlar.
											Mi atención...
											está centrada.
											Y todo lo demás del mundo,
											todo lo que podría molestarme
o llamarme la atención,
											desaparece del todo y estoy justo... ahí.
											Y ese sentimiento es lo que amo.
											Eso es, para mí, creatividad.
											Esa es la razón principal por la que
estoy tan agradecido de ser actor.
									","
											Quando estou a representar,
											fico tão concentrado
que apenas presto atenção a uma coisa.
											Como quando estou no estúdio
e estamos prestes a filmar,
											e o primeiro realizador assistente
grita: ""Está a gravar!""
											e depois eu ouço ""velocidade"",
""marcação"", ""cena""
											e então, o realizador grita: ""Ação!""
											Ouvi essa sequência tantas vezes,
											que se tornou
uma magia pavloviana para mim.
											""Está a filmar"", ""velocidade"",
""marcação"", ""cena"" e ""ação"".
											Acontece alguma coisa em mim,
não o consigo evitar.
											A minha atenção...
											concentra-se num ponto.
											E tudo o mais no mundo,
											qualquer coisa que me esteja a incomodar
ou que possa desviar a minha atenção,
											desaparece, e fico simplesmente... ali.
											É essa sensação que eu adoro,
											que, para mim, é a criatividade.
											Essa é a maior razão
de estar grato por me ter tornado ator.
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											So, there's these two powerful feelings.
											There's getting attention
and paying attention.
											Of course, in the last decade or so,
											new technology has allowed
more and more people
											to have this powerful feeling
of getting attention.
											For any kind of creative
expression, not just acting.
											It could be writing or photography
or drawing, music — everything.
											The channels of distribution
have been democratized,
											and that's a good thing.
									","
											Yani ortada iki güçlü his var.
											Dikkat çekmek ve dikkat vermek.
											Tabii yaklaşık son on yıldır
											teknolojinin etkisiyle
çok daha fazla insan
											ilgi görme güçlü hissini edinebildi.
											Sadece oyunculuk değil,
her tür yaratıcı ifade için.
											Yazı yazma, fotoğrafçılık,
çizim, müzik, her şey.
											Bu dağıtım kanalları demokratikleştirildi
											ve bu güzel bir şey.
									","
											Así que hay estos dos
sentimientos poderosos.
											Tanto recibir atención
como prestar atención.
											Por supuesto, en la última década,
											nuevas tecnologías han permitido
a cada vez más gente
											experimentar ese sentimiento poderoso
de llamar la atención.
											Para cualquier expresión creativa,
no solo para actuar.
											Puede ser la escritura o la fotografía
o el dibujo, la música... todo.
											Los canales de distribución
se han democratizado,
											que es algo positivo.
									","
											Há estas duas poderosas sensações:
											receber atenção e prestar atenção.
											Claro que na última década,
											as novas tecnologias têm permitido
que cada vez mais pessoas
											tenham esta poderosa sensação
de receber atenção.
											Para qualquer expressão criativa,
não apenas na representação,
											— pode ser na escrita ou na fotografia,
no desenho, na música, em tudo —
											os canais de distribuição
têm sido democratizados,
											e isso é bom.
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											But I do think there's
an unintended consequence
											for anybody on the planet
with an urge to be creative —
											myself included,
because I'm not immune to this.
											I think that our creativity
											is becoming more and more
of a means to an end —
											and that end is to get attention.
											And so I feel compelled to speak up
											because in my experience,
											the more I go after that powerful
feeling of paying attention,
											the happier I am.
											But the more I go after
the powerful feeling of getting attention,
											the unhappier I am.
									","
											Ancak bence yaratıcı olmak
isteyen herkes için
											bunun istenmeyen bir etkisi var —
											buna ben de dâhilim
çünkü buna bağışıklık kazanmış değilim.
											Bence yaratıcılığımız
											git gide sona yaklaşan
bir araç haline geliyor —
											ve bu son da ilgi çekmek.
											Bu konuda konuşmaya
mecbur hissediyorum
											çünkü benim deneyimime göre
											dikkat verme güçlü hissinin
peşine ne kadar çok düşsem
											o kadar mutlu oluyorum.
											Ancak dikkat çekme güçlü hissinin
peşine ne kadar çok düşsem
											o kadar mutsuz oluyorum.
									","
											Pero creo que hay
una consecuencia imprevista
											para todos en el mundo
con el afán de ser creativos,
											yo incluido, porque no soy inmune a esto,
											creo que nuestra creatividad
											se convierte cada vez más
en un medio para un fin...
											y ese fin es llamar la atención.
											Me siento obligado a hablar sobre eso
porque según mi experiencia,
											cuanto más persigo ese sentimiento
poderoso de prestar atención,
											soy más feliz.
											Pero cuanto más persigo el sentimiento
poderoso de llamar la atención,
											soy más infeliz.
									","
											Mas penso que há
uma consequência inesperada
											para qualquer pessoa no planeta
com desejo de ser criativa
											— incluindo eu próprio,
porque não sou imune a isto.
											Penso que a nossa criatividade
											se está a tornar cada vez mais
um meio para alcançar um fim
											— e esse fim é receber atenção.
											Por isso, sinto-me obrigado a falar
											por causa da minha experiência:
											quanto mais eu andar atrás
da poderosa sensação de prestar atenção,
											mais feliz me sinto.
											Mas, quanto mais eu andar atrás
da poderosa sensação de receber atenção,
											mais infeliz me sinto.
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											(One person claps)
									","
											(Tek bir kişi alkışlıyor)
									","
											(Aplaude una persona)
									","
											(Aplauso de uma pessoa)
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											And — thanks.
									","
											Ve — teşekkürler sana.
									","
											Y... gracias.
									","
											E... obrigado.
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Risas)
									","
											(Risos)
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Aplausos)
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											So this is something
that goes way back for me.
											I think the first time I can remember
using my acting to get attention,
											I was eight years old at summer camp.
											And I'd been going on auditions
for about a year by then,
											and I'd been lucky to get some small parts
											in TV shows and commercials,
											and I bragged about it a lot,
that summer at camp.
											And at first, it worked.
											The other kids gave me
a bunch of extra attention,
											because I had been on ""Family Ties.""
											That's a picture of me on ""Family Ties.""
									","
											Benim için uzun süredir
var olan bir konu bu.
											Hatırladığım kadarıyla dikkat çekmek için
oyunculuğumu ilk kullandığımda
											sekiz yaşında ve bir yaz kampındaydım.
											O zamanlar bir yıldır
deneme çekimlerine gidiyordum
											ve TV dizikeri ve reklamlarda
											küçük roller
edinebildiğim için şanslıydım.
											O yaz, kampta da
bu konuda bayağı böbürleniyordum.
											İlk önce işe yaradı.
											Diğer çocuklar bana
çok daha fazla ilgi gösterdiler
											çünkü ''Family Ties''ta oynamıştım.
											''Family Ties''ta bir fotoğrafım.
									","
											Esto es algo que me pasa
desde hace mucho tiempo.
											La primera vez que recuerdo usar
la actuación para llamar la atención
											fue a los ocho años 
en un campamento de verano.
											Hacía más o menos un año
que iba a audiciones,
											tuve la suerte de conseguir
unos papeles pequeños
											en programas de televisión y comerciales,
											y alardeé mucho durante ese verano
en el campamento.
											Al principio funcionó.
											Los otros chicos me prestaron
más atención,
											porque había actuado en ""Family Ties"".
											Aqui una foto mia en ""Family Ties"".
									","
											Isto é algo que já vem de longe.
											Penso que a primeira vez que usei
a representação para receber atenção
											tinha uns oito anos, num campo de férias.
											Por essa altura, já andava em audições
há cerca de um ano,
											e tinha tido a sorte de conseguir
pequenos papéis
											em programas televisivos
e anúncios comerciais,
											e gabei-me muito disso,
no campo, naquele verão.
											E, a princípio, resultou.
											Os outros miúdos davam-me
bastante atenção extra,
											porque eu tinha aparecido
na série ""Quem sai aos seus"".
											Aquele sou eu na série
""Quem sai aos seus"".
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Risas)
									","
											(Risos)
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											Then, the tide turned —
											I think I took it too far
with the bragging.
											And then, the other kids
started to make fun of me.
											I remember there was this one girl
I had a crush on, Rocky.
											Her name was Rachel, she went by Rocky.
											And she was beautiful, and she could sing,
											and I was smitten with her,
and I was standing there, bragging.
											And she turned to me
and she called me a show-off.
											Which I 100 percent deserved.
											But you know, it still really hurt.
											And ever since that summer,
											I've had a certain hesitance
to seek attention for my acting.
									","
											Sonra her şey yön değiştirdi.
											Sanırım böbürlenme işini fazla abarttım.
											Sonra da diğer çocuklar
benimle dalga geçmeye başladı.
											Rocky isminde hoşlandığım bir kız vardı.
											İsmi Rachel'dı ama Rocky diyorduk.
											Çok güzeldi, şarkı da söylerdi.
											Ona tutulmuştum
ve orada durmuş böbürleniyordum.
											Bana döndü ve gösteriş budalası
olduğumu söyledi.
											Bunu tamamen hak etmiştim.
											Ama hâlâ acısını hissediyorum.
											O yazdan beridir de
											oyunculuğum için
dikkat çekmeye tereddüt ediyorum.
									","
											Entonces, cambió la situación;
											creo que por alardear demasiado.
											Entonces, los otros chicos
empezaron a burlarse de mí.
											Recuerdo que había una chica
de la que me enamoriscaba, Rocky.
											Se llamaba Raquel, se hacía llamar Rocky.
											Era linda y podía cantar,
											yo estaba encantado con ella,
estaba ahí parado, alardeando.
											Y ella se volvió hacia mí
y me llamó presumido,
											que sin duda merecí.
											Pero en realidad me dolió.
											Y desde ese verano,
											he sido bastante reacio
a buscar atención con mi actuación.
									","
											Depois, a sorte inverteu-se:
											devo ter ido longe demais
com as gabarolices.
											Então, os outros miúdos
começaram a fazer pouco de mim.
											Lembro-me de ter um fraquinho
por uma miúda, a Rocky.
											O nome dela era Rachel,
mas chamávamos-lhe Rocky.
											Ela era linda e cantava bem,
											e eu estava apaixonado por ela,
e eu estava ali, a gabar-me.
											Ela virou-se para mim
e chamou-me ""convencido"".
											O que era 100% merecido.
											Mas, mesmo assim, doeu muito.
											Então, desde esse verão,
											tenho tido alguma hesitação
em procurar atenção para o meu trabalho.
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
