en,tr,de,fr,title,speaker,duration,tags
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											Ten years ago,
											computer vision researchers
thought that getting a computer
											to tell the difference
between a cat and a dog
											would be almost impossible,
											even with the significant advance
in the state of artificial intelligence.
											Now we can do it at a level
greater than 99 percent accuracy.
											This is called image classification —
											give it an image,
put a label to that image —
											and computers know
thousands of other categories as well.
									","
											On yıl evvel,
											bilgisayarlı görme araştırmacıları,
											bir bilgisayara bir köpekle kedi
arasında ayrım yaptırmanın
											neredeyse imkânsız olacağını düşünürdü,
											hem de yapay zekâ alanındaki
büyük gelişmelere rağmen.
											Şu anda bunu, yüzde 99'ı aşkın
doğruluk payı ile tamamlayabiliyoruz.
											Buna görüntü sınıflandırması deniyor;
											bir görüntü yükleyin,
bu görüntüyü etiketleyin
											ve bilgisayarlar binlerce diğer
sınıflandırmaları da biliyor.
									","
											Vor zehn Jahren
											gingen Forscher für 
Maschinelles Sehen davon aus,
											dass es für einen Computer 
kaum möglich sei,
											eine Katze von einem Hund 
zu unterscheiden,
											trotz großer Fortschritte
auf dem Feld der Künstlichen Intelligenz.
											Mittlerweile ist das zu über 99% möglich.
											Man nennt diese Aufgabe 
""Bildklassifikation"".
											Sie geben dem Computer ein Bild
mit einer expliziten Bezeichnung,
											und der Computer kennt zusätzlich
tausende weiterer Kategorien dafür.
									","
											Il y a dix ans de cela,
											les chercheurs 
en vision artificielle pensaient
											que faire différencier à l'ordinateur
un chat d'un chien
											relevait presque de l'impossible,
											et ce malgré les nets progrès
réalisés en intelligence artificielle.
											Nous y parvenons dorénavant
avec une fiabilité supérieure à 99 %.
											C'est appelé
la classification d'images.
											On prend une image, qu'on étiquette...
											L'ordinateur connaît également
des milliers d'autres catégories.
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											I'm a graduate student
at the University of Washington,
											and I work on a project called Darknet,
											which is a neural network framework
											for training and testing
computer vision models.
											So let's just see what Darknet thinks
											of this image that we have.
											When we run our classifier
											on this image,
											we see we don't just get
a prediction of dog or cat,
											we actually get
specific breed predictions.
											That's the level
of granularity we have now.
											And it's correct.
											My dog is in fact a malamute.
									","
											Washington Üniversitesi mezunuyum
											ve bilgisayarlı görme modellerini
											test etmek ve geliştirmek için kurulan,
											sinirsel ağ sistemi olan ''Darknet''
adlı bir proje üzerinde çalışıyorum.
											Darknet'in şu fotoğraf hakkında
											neler düşündüğüne bir göz atalım.
											Bu fotoğraf için sınıflandırıcımızı
											aktifleştirdiğimizde,
											sadece kedi veya köpek tahmini
elde etmiyoruz,
											belirli tür tahminleri de sonuç veriyor.
											Şu anda, öğe boyu seviyesini görüyorsunuz.
											Ve doğru.
											Köpeğimin cinsi gerçekten Alaska Malamutu.
									","
											Ich studiere an der Universität 
von Washington
											und arbeite an einem 
Projekt namens ""Darknet"",
											einem Framework für neurale Netzwerke,
											mit dem Modelle zur Bilderkennung
trainiert und getestet werden.
											Sehen wir mal, was Darknet
											über das Bild denkt, das wir hier haben.
											Wenn wir unseren Klassifikator
											auf dieses Bild loslassen,
											sehen wir, dass nicht nur
""Hund"" oder ""Katze"" vorausgesagt wird,
											er gibt sogar eine Aussage
über die konkrete Rasse.
											Dieser Genauigkeitsgrad 
ist im Moment möglich.
											Und es stimmt —
											es handelt sich tatsächlich
um einen Alaskan Malamute.
									","
											Je suis diplômé et j'étudie 
à l'université de Washington,
											et je travaille sur le projet Darknet,
											une structure en réseau neuronal
											pour entraîner et tester
les modèles numériques de vision.
											Voyons ce que Darknet pense
											de cette image.
											Si nous analysons cette image
											à l'aide du classifieur
											nous obtenons 
la prédiction « chat » ou « chien »
											mais aussi la race spécifique.
											Voici le niveau de granularité actuel.
											Et c'est exact.
											Mon chien est un malamute.
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											So we've made amazing strides
in image classification,
											but what happens
when we run our classifier
											on an image that looks like this?
											Well ...
											We see that the classifier comes back
with a pretty similar prediction.
											And it's correct,
there is a malamute in the image,
											but just given this label,
we don't actually know that much
											about what's going on in the image.
											We need something more powerful.
											I work on a problem
called object detection,
											where we look at an image
and try to find all of the objects,
											put bounding boxes around them
											and say what those objects are.
											So here's what happens
when we run a detector on this image.
									","
											Görüntü sınıflandırmasında
büyük yol katettik,
											fakat sınıflandırıcımızı,
şöyle bir fotoğrafta aktifleştirirsek
											ne olur dersiniz?
											Evet...
											Sınıflandırıcının oldukça benzer bir
tahmin sunduğunu görebiliriz.
											Sonuç doğru,
görüntüde Alaska Malamutu var,
											fakat yalnızca bu etiket ile birlikte,
											görüntüde neler olduğunu
çok iyi anlayamıyoruz.
											Daha güçlü bir şeye ihtiyacımız var.
											Nesne belirleme dediğimiz
konu üzerine çalışmaktayım;
											görüntüye bakıp içerisindeki
bütün nesneleri bulmaya çalışıyor,
											etrafına sınırlayıcı kutu koyup
											nesneleri tanımlıyoruz.
											Bu görüntü üzerinde
saptama uygulaması yapalım.
									","
											Wir haben beachtliche Fortschritte
in der Bildklassifikation gemacht.
											Was aber passiert,
wenn wir unserem Klassifikator
											ein solches Bild vorlegen?
											Nun ...
											Wir sehen, dass der Klassifikator
so ziemlich das gleiche Ergebnis liefert.
											Und es stimmt wieder —
da ist ein Malamute abgebildet.
											Doch mit dieser Aussage allein
wissen wir noch nicht viel darüber,
											was sich genau in dem Bild abspielt.
											Wir brauchen etwas Leisungsfähigeres.
											Ich arbeite an einer Aufgabe
namens ""Objekterkennung"".
											Hier versuchen wir,
alle Objekte in einem Bild zu erkennen.
											Wir ziehen um jedes Objekt
eine Markierungsbox
											und versehen sie mit einer Bezeichnung.
											Jetzt sehen wir, was der Erkenner
über das Bild sagt.
									","
											Nos avancées en classification d'images
sont donc incroyables.
											Mais que se passe-t-il
si notre classifieur
											analyse une image de ce genre ?
											Eh bien...
											Il fournit une prédiction
relativement similaire.
											Et c'est exact, 
l'image contient un malamute.
											Mais cette information
n'indique pas grand-chose
											sur ce qui se passe dans l'image.
											Il faudrait aller plus loin.
											Je travaille sur la détection d'objets.
											Il s'agit de trouver tous les objets
présents sur une image,
											de les circonscrire
											et de les identifier.
											Voyons ce qui se passe quand
le détecteur analyse cette image.
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											Now, with this kind of result,
											we can do a lot more
with our computer vision algorithms.
											We see that it knows
that there's a cat and a dog.
											It knows their relative locations,
											their size.
											It may even know some extra information.
											There's a book sitting in the background.
											And if you want to build a system
on top of computer vision,
											say a self-driving vehicle
or a robotic system,
											this is the kind
of information that you want.
											You want something so that
you can interact with the physical world.
											Now, when I started working
on object detection,
											it took 20 seconds
to process a single image.
											And to get a feel for why
speed is so important in this domain,
											here's an example of an object detector
											that takes two seconds
to process an image.
											So this is 10 times faster
											than the 20-seconds-per-image detector,
											and you can see that by the time
it makes predictions,
											the entire state of the world has changed,
											and this wouldn't be very useful
											for an application.
									","
											Bu tarz bir bulgu ile,
											bilgisayarlı görme algoritması
bizi daha ileriye taşıyabilir.
											Kedi ve köpek olduğunu
saptadığını biliyoruz.
											Birbirleri arasındaki mesafeyi,
											onların boyutlarını biliyor.
											Daha fazlasını bile biliyor olabilir.
											Arka planda bir kitap var.
											Bilgisayarlı görme üzerine
bir sistem kurmak isterseniz,
											sürücüsüz araç veya robot sistemi gibi,
											bu tarz bir bilgiye ihtiyacınız olacaktır.
											Dış dünya ile temas kurabileceğiniz
bir şey olması gerekir.
											Nesne belirleme üzerine
çalışmaya başladığımda,
											tek bir görüntüyü işlemesi
20 saniye sürüyordu.
											Hızın bu alanda neden bu denli
önemli olduğundan bahsedecek olursak;
											bir görüntüyü işlemesi 2 saniye süren
											bir nesne belirleyicisine göz atalım.
											20 saniyede resmi işleyebilene göre,
											10 kat daha hızlı çalışıyor
											ve gördüğünüz üzere, o tahmin edene kadar,
											dünyadaki bütün durum değişmiş oluyor
											ve uygulamada
											pek de fayda sağlamıyor.
									","
											Mit dieser Art Ergebnis können wir
											viel mehr mit den Algorithmen
des Maschinellen Sehens anfangen.
											Wir sehen, dass eine Katze 
und ein Hund erkannt wird.
											Der Erkenner liefert ihre
relativen Positionen im Bild,
											ihre Größe,
											und vielleicht sogar noch mehr:
											Im Hintergrund ist ein Buch zu sehen.
											Wenn man das Maschinelle Sehen
in einem größeren System nutzen will,
											etwa in einem selbstfahrenden Fahrzeug
oder einem Robotsystem,
											braucht man genau solche Informationen,
											auf deren Basis man mit 
der physischen Welt interagieren kann.
											Als ich damit anfing,
in der Objekterkennung zu arbeiten,
											dauerte die Verarbeitung
zwanzig Sekunden für jedes einzelne Bild.
											Um ein Gefühl dafür zu bekommen,
warum Geschwindigkeit hier so wichtig ist,
											zeige ich Ihnen einen Objekterkenner,
											der zwei Sekunden braucht,
um ein Einzelbild zu verarbeiten —
											was bereits zehnmal schneller ist
											als der Zwanzig-Sekunden-Klassifikator.
											Bis dieser Erkenner 
seine Voraussagen bekannt gibt,
											hat sich der Zustand der Welt
bereits völlig verändert.
											Das wäre für die praktische Anwendung
											völlig ungeeignet.
									","
											Ce genre de résultats démultiplient
											les capacités de nos algorithmes
de vision artificielle.
											On voit qu'il a reconnu
la présence du chat et du chien.
											Il sait où chacun se situe
											et leur taille.
											Il peut même savoir d'autres choses.
											Un livre se trouve au fond.
											Si l'on veut concevoir un système
basé sur la vision artificielle,
											tel un véhicule autoguidé
ou un système robotisé,
											on recherche ce genre d'informations.
											On cherche à pourvoir interagir 
avec le monde physique.
											Quand j'ai débuté
dans la détection d'objets,
											il fallait 20 secondes
pour analyser une seule image.
											Pour que vous saisissiez l'importance
de la rapidité dans ce domaine,
											voici un exemple de détecteur d'objets
											qui analyse une image en deux secondes
											soit dix fois plus rapidement
											que celui à 20 secondes par image.
											On voit que le temps
qu'il fasse des prédictions,
											l'état des choses a changé,
											et son application
											serait peu utile.
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											If we speed this up
by another factor of 10,
											this is a detector running
at five frames per second.
											This is a lot better,
											but for example,
											if there's any significant movement,
											I wouldn't want a system
like this driving my car.
									","
											Bir 10 kat daha hızlandıracak olursak,
											bu işlemci her saniye
5 kare saptama gücüne sahip.
											Durum çok daha iyi,
											ama örneğin;
											kayda değer bir hareket durumu mevcutsa,
											böyle bir sistemin
arabamı sürmesini istemezdim.
									","
											Wenn wir ihn noch einmal
zehnmal schneller machen,
											verarbeitet der Erkenner 
fünf Bilder pro Sekunde.
											Das ist deutlich besser.
											Wenn jedoch beispielsweise
											eine nennenswerte Bewegung stattfindet —
											Ich würde nicht wollen, dass 
ein solches System mein Auto steuert.
									","
											En l'accélérant encore
d'un facteur de dix,
											le détecteur analyse
cinq images par seconde.
											C'est bien mieux.
											Par contre,
											si un mouvement important se produit,
											je ne veux pas que ce système
conduise ma voiture.
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
