en,fr,pt,es,de,title,speaker,duration,tags
"
","
","
","
","
",New nanotech to detect cancer early,Joshua Smith,12:26,"biotech,biology,cancer,disease,health,future,health care,humanity,innovation,invention,nanoscale,motivation,science,technology"
"
											""You have cancer.""
											Sadly, about 40 percent of us will hear
those three words within our lifetime,
											and half will not survive.
											This means that two out of five
of your closest friends and relatives
											will be diagnosed
with some form of cancer,
											and one will die.
											Beyond the physical hardships,
											roughly one-third
of cancer survivors here in the US
											will go into debt from treatment.
											And they're at least two and a half times
more likely to declare bankruptcy
											than those without cancer.
											This disease is pervasive.
											It's emotionally draining
											and, for many,
											financially destructive.
									","
											« Vous avez un cancer. »
											Malheureusement, près de 40% d'entre nous 
entendrons un jour cette phrase
											et la moitié ne survivrons pas.
											Cela signifie que, dans votre entourage,
deux personnes sur cinq
											seront touchées par une forme de cancer,
											et une mourra.
											En plus des douleurs,
											aux États-Unis, près d'un tiers
des personnes survivant à un cancer
											seront endettées après le traitement.
											Ces personnes ont 2,5 fois
plus de risques de faire faillite
											que celles qui n'ont pas de cancer.
											Cette maladie est omniprésente.
											Elle est fatigante émotionnellement
											et, pour beaucoup,
											destructrice financièrement.
									","
											""Você tem cancro.""
											Cerca de 40% de todos nós vamos ouvir
estas três palavras durante a nossa vida,
											e metade não vai sobreviver.
											Isto significa que dois de cinco
dos nossos amigos ou familiares
											vão ser diagnosticados
com alguma forma de cancro,
											e um deles vai morrer.
											Para além das provações físicas,
											cerca de um terço dos sobreviventes
de cancro nos EUA
											irá contrair dívidas para o tratamento.
											E é duas vezes e meia mais provável
que declarem falência
											do que quem não tem cancro.
											Esta doença é disseminada.
											Esgota emocionalmente
											e, para muitos,
											é destrutiva financeiramente.
									","
											""Tienes cáncer.""
											Tristemente, cerca del 40 % 
oiremos esas palabras en nuestra vida
											y la mitad no sobrevivirá.
											Es decir, a dos de cada cinco
de nuestros parientes y amigos cercanos
											se les diagnosticará
algún tipo de cáncer,
											y uno morirá.
											Más allá de las dificultades físicas,
											cerca de un tercio de los 
que sobreviven al cáncer en EE. UU.
											se endeudarán por el tratamiento.
											Y tienen el doble 
de posibilidades de ir a la quiebra
											que aquellas sin cáncer.
											Esta enfermedad es generalizada.
											Es emocionalmente agotadora
											y, para muchos,
											económicamente destructiva.
									","
											„Sie haben Krebs.“
											Traurigerweise werden ca. 40 % von uns
diese drei Worte in ihrem Leben hören
											und die Hälfte wird nicht überleben.
											Das heißt, dass zwei von fünf
unserer engsten Freunde und Verwandten
											mit einer Krebsart diagnostiziert werden
											und einer sterben wird.
											Neben körperlichen Beschwerden
											wird sich ca. ein Drittel
der Krebsüberlebenden in den USA
											für die Behandlung verschulden.
											Außerdem ist es 2,5 Mal wahrscheinlicher,
dass sie Insolvenz anmelden
											im Vergleich zu denen ohne Krebs.
											Diese Krankheit ist tiefgreifend.
											Sie ist emotional zehrend
											und für viele finanziell zerstörend.
									",New nanotech to detect cancer early,Joshua Smith,12:26,"biotech,biology,cancer,disease,health,future,health care,humanity,innovation,invention,nanoscale,motivation,science,technology"
"
","
","
","
","
",New nanotech to detect cancer early,Joshua Smith,12:26,"biotech,biology,cancer,disease,health,future,health care,humanity,innovation,invention,nanoscale,motivation,science,technology"
"
											But a cancer diagnosis
doesn't have to be a death sentence.
											Finding cancer early,
											closer its genesis,
											is one of the critical factors
to improving treatment options,
											reducing its emotional impact
											and minimizing financial burdens.
											Most importantly,
											finding cancer early —
											which is one of the primary
aims of my research —
											greatly enhances your odds of survival.
											If we just look at the case
of breast cancer for example,
											we find that those who are diagnosed
and treated at stage one
											have a five-year survival rate
of nearly 100 percent —
											odds that decrease to just 22 percent
if treated at stage four.
											And similar trends are found
for colorectal and ovarian cancer.
									","
											Mais l'annonce d'un cancer ne devrait pas
être une condamnation à mort.
											Diagnostiquer un cancer assez tôt,
											dès son apparition,
											est un des facteurs critiques
d'amélioration des différents traitements,
											réduction des conséquences émotionnelles
											et diminution du coût de ces traitements.
											Plus important encore,
											le diagnostic précoce
											- un des buts premiers de ma recherche -
											augmente grandement vos chances de survie.
											Analysons le cas
du cancer du sein par exemple.
											On voit que les patients 
diagnostiqués et traités à la phase 1
											ont une chance de survie
à 5 ans de presque 100%.
											Le taux atteint les 22% 
s'ils sont traités à la phase 4.
											C'est pareil pour le cancer colorectal
et le cancer des ovaires.
									","
											Mas um diagnóstico de cancro
não tem de ser uma sentença de morte.
											Detetar o cancro cedo,
											próximo da sua génese,
											é um dos fatores críticos para melhorar
as opções de tratamento,
											reduzindo o impacto emocional
											e minimizando o encargo financeiro.
											E mais importante,
											detetar o cancro cedo,
											que é um dos objetivos primários
da minha investigação,
											aumenta muito
as hipóteses de sobrevivência.
											Se olharmos para o caso
do cancro da mama, por exemplo,
											percebemos que quem é diagnosticado
e tratado no estágio um
											tem um rácio de sobrevivência
de 5 anos de quase 100%
											— a percentagem desce para 22%
se tratados no estágio quatro.
											Encontramos a mesma tendência
nos cancros do cólon e dos ovários
									","
											Pero un diagnóstico de cáncer 


											no tiene que ser 
una sentencia de muerte.
											Descubrirlo en su fase inicial,
											acercarse a su origen,
											es uno de los factores cruciales
para mejorar las opciones de tratamiento,
											reducir su impacto emocional
											y minimizar la carga financiera.
											Más importante aún,
											descubrir el cáncer antes, 

											uno de los objetivos 
principales de mi investigación,
											aumenta enormemente 
las posibilidades de vida.
											Por ejemplo, en el cáncer 
de mama, descubrimos que
											todas las que son diagnosticadas 
y reciben tratamiento en la etapa 1
											tienen una expectativa de vida
de 5 años de casi el 100 %.
											Esta expectativa disminuye a un
mero 22 % si se lo trata en la etapa 4.
											Estos hallazgos son similares 
en el cáncer colorrectal y de ovario.
									","
											Jedoch muss eine Krebsdiagnose
kein Todesurteil sein.
											Eine frühzeitige Krebsdiagnose,
											zeitnah nach Entstehung,
											ist einer der kritischen Faktoren,
um die Behandlungschancen zu verbessern,
											den seelischen Einfluss zu verringern
											und finanzielle Lasten zu minimieren.
											Am wichtigsten dabei ist,
											dass Krebsfrüherkennung —
											was eines der grundlegenden Ziele
meiner Forschung ist —
											die Überlebenschancen erhöht.
											Wenn wir Brustkrebs als Beispiel nehmen,
											sehen wir, dass die, die im Stadium 1
diagnostiziert und behandelt werden,
											eine Wahrscheinlichkeit von 100 % haben,
die nächsten 5 Jahre zu überleben —
											eine Chance, die auf 22 % sinkt,
wenn die Behandlung im Stadium 4 beginnt.
											Es gibt ähnliche Tendenzen
bei Dickdarm- und Eierstockkrebs.
									",New nanotech to detect cancer early,Joshua Smith,12:26,"biotech,biology,cancer,disease,health,future,health care,humanity,innovation,invention,nanoscale,motivation,science,technology"
"
","
","
","
","
",New nanotech to detect cancer early,Joshua Smith,12:26,"biotech,biology,cancer,disease,health,future,health care,humanity,innovation,invention,nanoscale,motivation,science,technology"
"
											Now, we're all aware
that an early diagnosis that is accurate
											is critical for survival.
											The problem is that many
cancer diagnostic tools are invasive,
											costly,
											often inaccurate
											and they can take an agonizing
amount of time to get the results back.
											Still worse, when it comes
to some forms of cancer,
											such as ovarian,
liver or pancreatic cancer,
											good screening methods simply don't exist,
											meaning that often people wait
until physical symptoms surface,
											which are themselves already
indicators of late-stage progression.
											Like a tornado strike in an area
without an early warning system,
											there is no alarm to warn,
											for the danger is already at your doorstep
											when your odds of survival
are greatly reduced.
											Having the convenience and accessibility
of regular screening options
											that are affordable, noninvasive
and could provide results much sooner,
											would provide us with a formidable
weapon in the fight against cancer.
									","
											Nous savons tous
qu'un diagnostic précoce et exact
											est essentiel à la survie.
											Le problème est que beaucoup des outils
de diagnostic sont invasifs,
											coûteux,
											souvent peu précis
											et il faut un temps fou
pour obtenir les résultats.
											Encore pire,
pour certains types de cancers,
											comme le cancer des ovaires,
du foie ou du pancréas,
											il n'existe pas de bonnes
techniques de dépistage.
											Il faut souvent attendre l'apparition
des symptômes physiques,
											qui sont des indicateurs
d'un cancer déjà très avancé.
											Comme une tornade qui frappe
une zone sans système d'alerte,
											il est impossible prévenir
											un danger qui est déjà présent.
											Cela réduit grandement
vos chances de survie.
											L'accès régulier
à des méthodes de dépistage
											qui soient abordables, non invasives,
qui donnent des résultats plus rapidement
											serait une arme merveilleuse 
pour lutter contre le cancer.
									","
											Todos temos consciência
de que um diagnóstico precoce
											é fundamental para a sobrevivência.
											O problema é que muitas das ferramentas
de diagnóstico são invasivas,
											caras,
											muitas vezes imprecisas
											e pode demorar muito tempo
até se saber os resultados.
											Pior ainda, para algumas
formas de cancro,
											como dos ovários, do fígado
ou do pâncreas,
											não existem bons métodos de rastreio,
											o que significa que muitas pessoas
esperam que surja algum sintoma físico,
											que são por si só indicadores
de estágios avançados.
											É como um tornado sem
um sistema de aviso prévio,
											não existe nenhum alarme que avise
											para o perigo que se aproxima
											quando as hipóteses
de sobreviver já são poucas.
											Ter a conveniência de opções
de acesso a rastreios regulares
											que sejam económicas, não invasivas
e mais rápidas a dar os resultados,
											poderia dar-nos uma arma formidável
na luta contra o cancro.
									","
											Todos sabemos 
que un diagnóstico precoz preciso
											es crucial para la supervivencia.
											El problema es
											que muchos métodos
de diagnóstico son invasivos,
											costosos,
											a menudo imprecisos
											y la obtención de resultados
constituye una espera agonizante.
											Aún peor, cuando se trata de 
algunas formas de cáncer,
											como el de ovario, 
hígado o páncreas,
											no existen buenos métodos 
de detección precoz.
											Por eso, las personas 
se realizan los exámenes
											cuando ya aparecieron
los síntomas físicos,
											que ya son indicadores de
las últimas etapas de progresión.
											Como un tornado que azota un área
sin que suene una alarma de advertencia,
											no hay alarma que avise,
											porque el daño ya está causado
											al reducirse enormemente
las posibilidades de vida.
											Contar con opciones de detección
convenientes y accesibles,
											que sean asequibles, no invasivas
y que provean resultados con rapidez,
											nos aportaría un arma formidable 
en la lucha contra el cáncer.
									","
											Uns allen ist bewusst,
dass eine frühe und korrekte Diagnose
											entscheidend für das Überleben ist.
											Das Problem ist,
											dass viele Tools zur Krebsdiagnose
											invasiv, teuer und oft ungenau sind,
											und es vergeht qualvoll viel Zeit,
bis man die Ergebnisse bekommt.
											Schlimmer ist es jedoch,
dass es bei Krebsarten
											wie Eierstock-, Leber-
oder Bauchspeicheldrüsenkrebs
											keine guten Screeningmethoden gibt.
											Daher müssen Menschen oft warten,
bis körperliche Symptome auftreten,
											welche selbst bereits Indikatoren
für ein spätes Stadium sind.
											Das ist wie ein Tornado in einem Gebiet,
das kein Frühwarnsystem hat.
											Es gibt keine Warnung vor der Gefahr,
											da die bereits auf Ihrer Türschwelle ist,
											wenn die Überlebenschancen
extrem gering sind.
											Der Komfort und das Vorhandensein
von regelmäßigen Screeningmöglichkeiten,
											die bezahlbar und nicht-invasiv sind
und viel früher Ergebnisse liefern können,
											würden uns mit einer beeindruckenden Waffe
im Kampf gegen Krebs ausstatten.
									",New nanotech to detect cancer early,Joshua Smith,12:26,"biotech,biology,cancer,disease,health,future,health care,humanity,innovation,invention,nanoscale,motivation,science,technology"
"
","
","
","
","
",New nanotech to detect cancer early,Joshua Smith,12:26,"biotech,biology,cancer,disease,health,future,health care,humanity,innovation,invention,nanoscale,motivation,science,technology"
"
											An early warning would allow us
to get out ahead of the disease
											instead of merely
following in its relentless wake.
											And this is exactly what I've been doing.
											For the past three years,
I've been developing technologies
											that could ultimately aid clinicians
											with rapid, early-stage
cancer diagnostics.
											And I've been fueled
by a deep scientific curiosity,
											and a passion to change these statistics.
									","
											Un diagnostic précoce permettrait
de se battre contre la maladie
											plutôt que de suivre
son impitoyable progression.
											Et c'est exactement ce que je fais.
											Depuis trois ans,
je développe des technologies
											qui pourraient aider les médécins
											à diagnostiquer le cancer
rapidement, dès son apparition.
											Je suis animé par une véritable
curiosité scientifique
											et une envie de changer les choses.
									","
											Um aviso prévio poderia dar-nos
um avanço em relação à doença
											ao invés de apenas seguir
o seu despertar implacável.
											É exatamente isso que temos feito.
											Nos últimos três anos, tenho vindo
a desenvolver tecnologias
											que poderão ajudar os médicos
											com diagnósticos rápidos
nos primeiros estágios de cancro.
											Tenho sido alimentado
por uma curiosidade cientifica profunda,
											e uma paixão para inverter
estas estatísticas.
									","
											Un aviso temprano nos permitiría
adelantarnos a la enfermedad
											en lugar de sólo seguir sus pasos.
											Y esto es exactamente
lo que he estado haciendo.
											Durante los últimos 3 años, 
he estado desarrollando tecnologías
											que finalmente asistan a los clínicos
											en el diagnóstico precoz 
del cáncer en su etapa temprana.
											Mi motor ha sido 
mi profunda curiosidad científica
											y mi pasión 
por cambiar estas estadísticas.
									","
											Eine frühe Warnung würde uns erlauben,
der Krankheit voraus zu sein,
											anstatt bloß ihrem
schonungslosen Erwachen zu folgen.
											Und das ist genau das, was ich mache.
											In den letzten 3 Jahren
entwickelte ich Technologien,
											die Klinikärzten letztendlich
											mit schnellen Krebsdiagnosen
im Anfangsstadium helfen können.
											Und mich treibt eine
große wissenschaftliche Neugier an
											und der Wille,
diese Statistiken zu ändern.
									",New nanotech to detect cancer early,Joshua Smith,12:26,"biotech,biology,cancer,disease,health,future,health care,humanity,innovation,invention,nanoscale,motivation,science,technology"
"
","
","
","
","
",New nanotech to detect cancer early,Joshua Smith,12:26,"biotech,biology,cancer,disease,health,future,health care,humanity,innovation,invention,nanoscale,motivation,science,technology"
"
											Last year however,
											this fight became much more personal
											when my wife was diagnosed
with breast cancer.
											It was an experience that added a strong
and unexpected emotional dimension
											to these efforts.
											I know firsthand how life-altering
treatment can be,
											and I'm keenly aware
of the emotional havoc
											that cancer can wreak on a family,
											which in our case
included our two young daughters.
											Because we found it early
during a routine mammogram,
											we were able to focus
primarily on treatment options
											for the localized tumor,
											reaffirming to me
how important an early diagnosis is.
											Unlike other forms of cancer,
											mammograms do offer an early-stage
screening option for breast cancer.
											Still, not everyone has this done,
											or they may develop breast cancer
											before the middle age recommendation
for having a mammogram.
											So, there's still
a lot of room for improvement,
											even for cancers
that do have screening options,
											and, of course, considerable benefits
for those that don't.
									","
											Mais, l'année dernière,
											ce combat est devenu bien plus personnel
											quand ma femme a été atteinte
d'un cancer du sein.
											Cette expérience a ajouté une dimension
émotionnelle profonde et inattendue
											à tous mes efforts.
											Je sais d'expérience à quel point
le traitement est difficile,
											je connais le chaos émotionnel
											que le cancer jette sur la famille
											et dans notre cas, sur nos deux filles.
											Parce qu'il a été diagnostiqué tôt
lors d'une mammographie,
											nous avons pu nous concentrer 
sur les traitements
											contre cette tumeur,
											ce qui a confirmé pour moi
l'importance d'un diagnostic précoce.
											Contrairement à d'autres cancers,
											le cancer du sein peut être diagnostiqué
rapidement grâce aux mammographies.
											Cependant, tout le monde ne le fait pas
											et certaines ont le cancer
											avant l'âge recommandé
pour une première mammographie.
											Donc des améliorations sont possibles,
											même si des dépistages existent déjà
											et encore plus
quand ils n'existent pas encore.
									","
											No ano passado, no entanto,
											a luta tornou-se muito mais pessoal.
											A minha esposa foi diagnosticada
com cancro da mama.
											Uma experiência que trouxe uma forte
e inesperada dimensão emocional
											aos meus esforços.
											Eu sei em primeira mão como
os tratamentos podem alterar uma vida,
											e estou bem ciente do caos emocional
											que o cancro pode causar numa família,
											que, no nosso caso, inclui
as nossas duas filhas.
											Como foi descoberto cedo
numa mamografia de rotina,
											pudemos focar-nos
nas opções de tratamento
											para o tumor localizado,
											o que prova o quão importante
é um diagnóstico precoce.
											Ao contrário de outras formas de cancro,
											a mamografia oferece um rastreio precoce
para o cancro da mama.
											No entanto, nem toda a gente a faz,
											ou desenvolve cancro da mama
											antes da idade média recomendada
para fazer uma mamografia.
											Há ainda muito para se melhorar,
											mesmo nos cancros
que têm opções de rastreio,
											e, claro, benefícios consideráveis
para os que não têm.
									","
											El año pasado, sin embargo,
											esta lucha se convirtió en algo personal
											cuando a mi esposa 
se le diagnosticó cáncer de mama.
											Fue una experiencia
que le sumó una fuerte
											e inesperada dimensión 
emocional a estos esfuerzos.
											Sé de antemano
											cuánto puede el tratamiento
alterar nuestras vidas,
											y soy profundamente consciente 
de los estragos emocionales
											que el cáncer puede afectar
a una familia.
											En nuestro caso, eso incluyó
nuestras dos jóvenes hijas.
											Debido a que lo detectamos temprano 
durante una mamografía de rutina,
											pudimos enfocarnos primeramente
en las opciones de tratamiento
											del tumor localizado.
											Esto reafirmó la importancia
de un diagnóstico temprano.
											A diferencia de otras formas de cáncer,

											las mamografías constituyen 
un método de detección precoz
											del cáncer de mama.
											Aún así, no todas
las mujeres se las hacen,
											o desarrollan cáncer de pecho
											antes de la edad promedio 
recomendada para hacerse mamografía.
											Por lo tanto, aún queda mucho por hacer,
											incluso para los cánceres
que cuentan con métodos de detección,
											y, por supuesto,


											beneficios considerables
para aquellos que no.
									","
											Jedoch wurde letztes Jahr
											dieser Kampf viel persönlicher,
											als bei meiner Frau
Brustkrebs diagnostiziert wurde.
											Das war eine Erfahrung, die eine starke
und unerwartet emotionale Dimension
											zu dieser Arbeit hinzufügte.
											Ich weiß aus erster Hand, wie
lebensverändernd die Behandlung sein kann,
											und mir ist das emotionale
Chaos sehr bewusst,
											das Krebs bei der Familie anrichten kann,
											die in unserem Fall
zwei junge Töchter einschloss.
											Da wir den Krebs zeitig
während eines Routine-Mammogramms fanden,
											konzentrierten wir uns
primär auf Behandlungsoptionen
											für den lokalisierten Tumor,
											was mir erneut bestätigte,
wie wichtig eine frühe Diagnose ist.
											Anders als bei anderen Krebsarten,
											sind Mammogramme für Brustkrebs
eine Screeningoption des Anfangsstadiums.
											Dennoch lässt sie nicht jeder machen
											oder sie entwickeln Brustkrebs,
											bevor das empfohlene mittlere Alter
für Mammogramme erreicht ist.
											Es gibt also sehr viel
Verbesserungspotenzial,
											sogar für Krebsarten
mit Screeningmöglichkeiten
											und natürlich erhebliche Vorteile
											für die ohne.
									",New nanotech to detect cancer early,Joshua Smith,12:26,"biotech,biology,cancer,disease,health,future,health care,humanity,innovation,invention,nanoscale,motivation,science,technology"
