en,pt,tr,es,de,title,speaker,duration,tags
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											Hello, I'm Joy, a poet of code,
											on a mission to stop
an unseen force that's rising,
											a force that I called ""the coded gaze,""
											my term for algorithmic bias.
									","
											Olá, sou a Joy, uma poetisa de código,
											numa missão de fazer parar
uma força invisível em ascensão,
											uma força a que eu chamo
""olhar codificado,""
											o meu termo para preconceito algorítmico.
									","
											Merhaba ben kodlar şairi Joy
											görünmez bir gücün yükselişini
durdurma görevindeyim,
											algoritmik yanlılık için kullandığım
											""kodlu bakış"" adını verdiğim bir güç.
									","
											Hola, soy Joy, una poetisa del código,
											en una misión para frenar
una fuerza invisible que crece,
											una fuerza que llamo ""mirada codificada"",
											mi término para el sesgo algorítmico.
									","
											Hallo, ich bin Joy, eine Poetin des Codes,
											auf einer Mission, eine unbemerkte,
aufstrebende Macht aufzuhalten.
											Diese Macht nannte ich 
den ""programmierten Blick"".
											Das ist mein Begriff
für algorithmische Vorurteile.
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											Algorithmic bias, like human bias,
results in unfairness.
											However, algorithms, like viruses,
can spread bias on a massive scale
											at a rapid pace.
											Algorithmic bias can also lead
to exclusionary experiences
											and discriminatory practices.
											Let me show you what I mean.
									","
											O preconceito algorítmico, como o
preconceito humano, resulta da injustiça.
											Porém, os algoritmos, tal como os vírus,
											podem espalhar preconceitos
numa grande escala
											num ritmo rápido.
											O preconceito em algoritmos também
pode levar a experiências de exclusão
											e a práticas discriminatórias.
											Vou mostrar o que quero dizer.
									","
											Algoritmik yanlılık, insan yanlılığı gibi,
adaletsizlikle sonuçlanır.
											Ama algoritmalar virüsler gibi büyük çapta
											ve hızda yanlılığı yayabilirler.
											Algoritmik yanlılık dışlayıcı deneyimlere
											ve ayrımcı uygulamalara yol açabilir.
											Ne demek istediğimi göstereyim.
									","
											El sesgo algorítmico, como el humano,
se traduce en injusticia.
											Pero, los algoritmos, como los virus,
pueden propagar sesgos a gran escala
											a un ritmo acelerado.
											El sesgo algorítmico puede también
generar experiencias de exclusión
											y prácticas discriminatorias.
											Les mostraré lo que quiero decir.
									","
											Algorithmische sowie menschliche
Vorurteile führen zu Ungerechtigkeit.
											Trotzdem können Algorithmen,
wie Viren, Vorurteile massiv verbreiten,
											mit rasanter Geschwindigkeit.
											Algorithmische Vorurteile können
auch zu Erfahrungen des Ausschlusses
											und diskriminierendem Verhalten führen.
											Ich zeige Ihnen, was ich meine.
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											(Video) Joy Buolamwini: Hi, camera.
I've got a face.
											Can you see my face?
											No-glasses face?
											You can see her face.
											What about my face?
											I've got a mask. Can you see my mask?
									","
											(Vídeo) Olá, câmara, eu tenho um rosto.
											Podes ver o meu rosto?
											Um rosto sem óculos?
											Podes ver o rosto dela.
											E o meu rosto?
											Tenho uma máscara.
Vês a minha máscara?
									","
											(Video) Joy Boulamwini: Selam kamera.
Bir yüzüm var.
											Yüzümü görebiliyor musunuz?
											Gözlüksüz yüzüm?
											Onun yüzünü görebilirsin.
											Ya benimkini?
											Maskem var. Maskemi görebiliyor musun?
									","
											(Video) Joy Buolamwini: Hola, cámara.
Tengo una cara.
											¿Puedes ver mi cara?
											¿Sin lentes?
											Puedes ver su cara.
											¿Qué tal mi cara?
											Tengo una máscara. ¿Puedes verla?
									","
											(Video) Joy Buolamwini:
Hi, Kamera. Ich habe ein Gesicht.
											Kannst du mein Gesicht sehen?
											Mein Gesicht ohne Brille?
											Du kannst ihr Gesicht sehen.
											Was ist mit meinem Gesicht?
											Ich habe eine Maske. 
Kannst du meine Maske sehen?
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											Joy Buolamwini: So how did this happen?
											Why am I sitting in front of a computer
											in a white mask,
											trying to be detected by a cheap webcam?
											Well, when I'm not fighting the coded gaze
											as a poet of code,
											I'm a graduate student
at the MIT Media Lab,
											and there I have the opportunity to work
on all sorts of whimsical projects,
											including the Aspire Mirror,
											a project I did so I could project
digital masks onto my reflection.
											So in the morning, if I wanted
to feel powerful,
											I could put on a lion.
											If I wanted to be uplifted,
I might have a quote.
											So I used generic
facial recognition software
											to build the system,
											but found it was really hard to test it
unless I wore a white mask.
									","
											Joy: Então, como é que isso aconteceu?
											Porque é que eu estou em frente
de um computador
											com uma máscara branca,
											a tentar ser detetada por
uma câmara de vídeo barata?
											Quando não estou a lutar
contra o olhar codificado
											como uma poetisa de código,
											sou uma estudante de pós-graduação
no laboratório de ""media"" do MIT.
											Aí tenho a oportunidade de trabalhar
em todo tipo de projetos bizarros,
											incluindo o Espelho de Desejar,
											um projeto que fiz para poder projetar
máscaras digitais para o meu reflexo.
											Então, pela manhã,
se quisesse sentir-me poderosa,
											eu podia usar um leão.
											Se quisesse ficar inspirada,
podia ter uma citação.
											Então eu usei o software
genérico de reconhecimento facial
											para construir o sistema,
											mas descobri que era difícil testá-lo
a menos que usasse uma máscara branca.
									","
											Joy Boulamwini: Bu nasıl oldu?
											Neden bilgisayarın önünde bir beyaz maske
											ile oturuyor ve ucuz bir kamera
											tarafından algılanmaya çalışıyorum?
											Kod şairi olarak kodlu bakış ile
											savaşmadığımda
											MIT Medya Lab'ında lisanüstü öğrencisiyim
											ve her tür garip projede
çalışma şansım var.
											Buna yaptığım Aspire Mirror da dâhil.
											Sayesinde yansımamın üzerine
dijital maskeler tasarlayabilirim.
											Sabah eğer güçlü hissetmek istersem,
											bir aslanı takabilirim.
											Sevinçli olmak istiyorsam,
bir alıntı yapabilirim.
											Sistemi oluşturmak için genel yüz tanıma
											yazılımını kullandım.
											Ama beyaz bir maske takmadıkça
sistemi test etmek gerçekten zordu.
									","
											Joy Buolamwini: ¿Cómo ocurrió esto?
											¿Por qué estoy ante una computadora
											con una máscara blanca,
											intentando que una cámara
barata me detecte?
											Cuando no lucho
contra la mirada codificada
											como poetisa del código,
											soy estudiante de posgrado
en el Laboratorio de Medios del MIT,
											y allí puedo trabajar
en todo tipo de proyectos caprichosos,
											incluso el Aspire Mirror,
											un proyecto que realicé para proyectar
máscaras digitales en mi propio reflejo.
											Entonces, de mañana,
si quería sentirme poderosa,
											podía convertirme en león.
											Si quería inspiración,
podía usar una cita.
											Entonces, usé el software
de reconocimiento facial
											para crear el sistema,
											pero me resultó muy difícil probarlo
sin colocarme una máscara blanca.
									","
											JB: Wie konnte das passieren?
											Wieso sitze ich vor einem Computer,
											trage eine weiße Maske und versuche,
											von einer billigen Webcam 
erkannt zu werden?
											Wenn ich nicht gerade 
den programmierten Blick
											als Poetin des Codes bekämpfe,
											dann bin ich Masterstudentin
am MIT Media Lab
											und habe dort die Möglichkeit, an
verschiedensten, wunderlichen Projekten,
											u. a. dem ""Aspire Mirror"", zu arbeiten,
											einem Projekt, das digitale Masken 
auf mein Spiegelbild projiziert.
											Wenn ich mich in der Früh 
mächtig fühlen wollte,
											projizierte ich einen Löwen.
											Wenn ich aufgemuntert werden wollte,
erschien vielleicht ein Zitat.
											Deshalb verwendete ich eine gewöhnliche
Software für Gesichtserkennung,
											um das System zu erstellen.
											Es war aber sehr schwierig zu testen, 
außer wenn ich eine weiße Maske trug.
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											Unfortunately, I've run
into this issue before.
											When I was an undergraduate
at Georgia Tech studying computer science,
											I used to work on social robots,
											and one of my tasks was to get a robot
to play peek-a-boo,
											a simple turn-taking game
											where partners cover their face
and then uncover it saying, ""Peek-a-boo!""
											The problem is, peek-a-boo
doesn't really work if I can't see you,
											and my robot couldn't see me.
											But I borrowed my roommate's face
to get the project done,
											submitted the assignment,
											and figured, you know what,
somebody else will solve this problem.
									","
											Infelizmente, eu já tinha esbarrado
nesse problema.
											Quando era universitária em Georgia Tech
e estudava ciência informática,
											eu costumava trabalhar em robôs sociais,
											e uma das minhas tarefas era fazer
com que um robô jogasse às escondidas,
											um simples jogo de turnos
											em que os parceiros escondem a cara
e depois destapam-na, dizendo ""Espreita!""
											O problema é que isso só
funciona se eu puder ver o outro,
											e o meu robô não me via.
											Pedi emprestada a cara da minha
colega de quarto para terminar o projeto,
											apresentei a tarefa e pensei:
											""Sabem que mais,
outra pessoa que resolva esse problema"".
									","
											Maalesef bu sorunla daha önce karşılaştım.
											Georgia Tech de bilgisayar
bilimleri okurken,
											sosyal robotlar üzerinde çalıştım
											ve görevlerimden biri ce-ee
oynayan bir robot yapmaktı.
											Partnerlerinizin yüzlerini kapayıp
											sonra açıp ce-ee dedikleri bir oyun.
											Problem şu ki sizi göremezsem
ce-ee işe yaramaz
											ve robotum beni göremiyordu.
											Projeyi tamamlamak için
arkadaşımın yüzünü ödünç aldım,
											ödevimi sundum ve bu sorunu
											başkasının çözeceğini varsaydım.
									","
											Desafortunadamente, ya tuve
este problema antes.
											Cuando era estudiante de informática
en Georgia Tech,
											solía trabajar con robots sociales,
											y una de mis tareas fue lograr
que un robot jugara a esconderse,
											un juego de turnos simple
											donde las personas cubren sus rostros y
luego las descubren diciendo: ""Aquí está"".
											El problema es que el juego
no funciona, si no te pueden ver
											y el robot no me veía.
											Pero usé el rostro de mi compañera
para terminar el proyecto,
											entregué la tarea,
											y pensé que otra persona
resolvería este problema.
									","
											Unglücklicherweise ist mir
dieses Problem schon einmal begegnet.
											Als ich Informatik im Bachelor
an der Georgia Tech studierte,
											arbeitete ich mit sozialen Robotern.
											Eine meiner Aufgaben war es, 
mit einem Roboter Kuckuck zu spielen.
											Das ist ein einfaches Wechselspiel,
											bei dem man das Gesicht zudeckt
und beim Aufdecken ""Kuckuck!"" sagt.
											Allerdings funktioniert das Kuckuckspiel
nicht, wenn man sich nicht sieht,
											und mein Roboter konnte mich nicht sehen.
											Um das Projekt abzuschließen, verwendete
ich das Gesicht meines Mitbewohners,
											schickte die Aufgabe ab
											und dachte mir: ""Weißt du was, 
jemand anderes wird das Problem lösen.""
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
