es,pt,tr,de,title,speaker,duration,tags
"
","
","
","
",Your body language may shape who you are,Amy Cuddy,21:02,"body language,brain,business,psychology,self,success,science"
"
											Quiero comenzar ofreciéndoles un
											sencillo truco productivo
											que solo requiere lo siguiente:
											que cambien de postura por 2 minutos.
											Pero antes, quiero pedirles que ahora mismo
											hagan una revisión de su cuerpo 
y de lo que están haciendo con él.
											Veamos, ¿cuántos de Uds. están empequeñecidos?
											Quizás se están encorvando, o están cruzando las piernas,
											o tienen las manos en los tobillos.
											A veces cruzamos los brazos, así,
											o los extendemos. (Risas)
											Puedo verlos. (Risas)
											Quiero que se fijen en lo que están haciendo ahora mismo.
											En unos minutos volveremos a esto
											y espero que si aprenden a hacer un pequeño cambio,
											pueda cambiar notablemente el desarrollo de su vida.
									","
											Quero começar por vos oferecer
											um truque grátis, não tecnológico.
											Só vos é exigido o seguinte:
											que mudem a vossa postura 
durante dois minutos.
											Mas antes de o revelar,
quero pedir-vos que, agora mesmo,
											façam um pequeno exame ao vosso corpo 
e ao que estão a fazer com ele.
											Quantos de vocês estão a parecer
mais encolhidos?
											Talvez estejam curvados,
de pernas cruzadas,
											talvez com os tornozelos cruzados.
											Às vezes, envolvemo-nos
com os braços, assim.
											Às vezes espreguiçamo-nos.
											(Risos)
											Estou a ver-vos.
											Quero que prestem atenção 
ao que estão a fazer agora mesmo.
											Voltaremos a isso dentro 
de alguns minutos.
											Espero que, se aprenderem a ajustar 
um bocadinho esse comportamento,
											isso possa mudar significativamente
a maneira como a vossa vida se desenrola.
									","
											Konuşmama, sizlere ücretsiz olarak, hayata dair
											bir püf noktası vererek başlamak istiyorum.
											Bunun için sizden istenen tek şey ise
											duruşunuzu iki dakikalığına değiştirmeniz.
											Fakat püf noktasını vermeden önce, sizden şu an, vücudunuzu ve
											vücudunuzla ne yaptığınızı birazcık incelemenizi rica ediyorum.
											Şimdi, kaçınız büzülerek oturuyorsunuz?
											Belki oturduğunuz yerde kamburunuzu çıkartmışsınız, belki bacak bacak üstüne atıyorsunuz,
											belki de bacaklarınızı uzatıp
											ayaklarınızı birleştiriyorsunuz. Bazen kollarımızı şu şekilde tutarız.
											Bazen de yayılırız.
											Seni görüyorum.(Kahkahalar)
											Şimdi sizden, neler yaptığınıza dikkat etmenizi istiyorum.
											Birkaç dakika içinde buna geri döneceğiz
											ve umuyorum ki, eğer bunu ayarlamayı öğrenebilirseniz,
											yaşamınızın gidişatını önemli bir şekilde değiştirecektir.
									","
											Ich möchte damit beginnen, 
Ihnen ein kostenloses,
											nicht-technisches Lebens-Upgrade
vorzustellen
											und dafür müssen Sie nur
das Folgende tun:
											Verändern Sie für zwei Minuten
Ihre Körperhaltung.
											Aber bevor ich weitermache, 
möchte ich Sie bitten,
											Ihren Körper kurz zu überprüfen und zu überlegen, 
wie Sie ihn einsetzen.
											Wie viele von Ihnen machen 
sich selbst kleiner?
											Vielleicht ziehen Sie Ihre Schultern hoch,
schlagen die Beine übereinander,
											vielleicht schlagen Sie die 
Fußgelenke umeinander.
											Manchmal halten wir uns so 
an unseren Armen fest.
											Manchmal strecken wir uns aus. (Gelächter)
											Ich sehe Sie. (Gelächter)
											Ich möchte, dass Sie sich darüber bewusst werden,
was Sie gerade tun.
											Wir werden darauf in einigen 
Minuten zurückkommen.
											Ich hoffe, wenn Sie lernen,
dies ein wenig zu verändern,
											dass dies einen bedeutenden Einfluss
auf Ihr Leben haben wird.
									",Your body language may shape who you are,Amy Cuddy,21:02,"body language,brain,business,psychology,self,success,science"
"
","
","
","
",Your body language may shape who you are,Amy Cuddy,21:02,"body language,brain,business,psychology,self,success,science"
"
											Estoy fascinada con el lenguaje corporal,
											y en particular me interesa
											el lenguaje de los demás.
											Es decir, me interesa, ya saben... (Risas)
											una interacción torpe o una sonrisa,
											una mirada despectiva, quizás un guiño extraño,
											o inclusive algo como un apretón de manos.
									","
											Sentimos um enorme fascínio 
pela linguagem corporal,
											e estamos particularmente interessados
											na linguagem corporal das outras pessoas.
											Estamos interessados...
											(Risos)
											... numa interação constrangedora
ou num sorriso,
											num olhar de desprezo, ou talvez
numa piscar de olho muito estranho,
											ou talvez até algo como um aperto de mãos.
									","
											Vücut dili, ilgimizi çok fazla çekmekte
											ve özellikle diğer insanların
											vücut dilleri ilgimizi çekiyor.
											Bildiğiniz gibi, ilgilendiğimiz konular— (Kahkahalar) —
											garip bir etkileşim veya bir gülüş
											veya küçümseyici bir bakış veya belki garip bir göz kırpması,
											belki de yalnızca bir tokalaşma.
									","
											Wir sind sehr von unserer 
Körpersprache fasziniert,
											und ganz besonders von der
											Körpersprache anderer Menschen.
											Sie wissen schon, wir interessieren uns 
für — (Gelächter) —
											eine ungeschickte Berührung oder ein Lächeln
											oder einen abfälligen Blick oder vielleicht
ein eher unangebrachtes Zuzwinkern
											oder vielleicht sogar so etwas 
wie ein Händeschütteln.
									",Your body language may shape who you are,Amy Cuddy,21:02,"body language,brain,business,psychology,self,success,science"
"
","
","
","
",Your body language may shape who you are,Amy Cuddy,21:02,"body language,brain,business,psychology,self,success,science"
"
											Narrador: Aquí están llegando al número 10 y vean este
											afortunado policía que le da la mano 
al Presidente de
											los EE.UU. Ah, aquí llega el
											Primer Ministro de... No. (Risas) (Aplausos)
											(Risas) (Aplausos)
									","
											(Vídeo) Ei-los a chegar ao n.º 10, e vejam,
											este agente felizardo a receber 
um aperto de mão do Presidente
											dos Estados Unidos da América.

											Oh, e aqui vem o primeiro-ministro.
Eles ...? Não.
											(Risos)
											(Aplausos)
									","
											Sunucu: Daire 10'a ulaşıyorlar ve şuna bakın,
											şanslı polis, Birleşik Devletler başkanıyla
											tokalaşma fırsatını yakalıyor.
											Oh, evet şimdi de İngiltere başbakanı -? Hayır. (Kahkalar)(Alkış)
											(Kahkalar)(Alkış)
									","
											Sprecher: Nun kommen sie bei Number 10 an
und schauen Sie sich das an.
											Der glückliche Polizist darf dem 
Präsidenten der Vereinigten Staaten
											die Hände schütteln.
Und hier kommt
											der Prime Minister und ...?
Nein. (Gelächter) (Applaus)
											(Gelächter) (Applaus)
									",Your body language may shape who you are,Amy Cuddy,21:02,"body language,brain,business,psychology,self,success,science"
"
","
","
","
",Your body language may shape who you are,Amy Cuddy,21:02,"body language,brain,business,psychology,self,success,science"
"
											Amy Cuddy: Así que un apretón de manos, o su omisión,
											puede ser tema de conversación durante semanas.
											Aún en la BBC o en el New York Times.
											Obviamente, al hablar de comportamiento no verbal
											o lenguaje corporal no verbal, 
como lo denominamos los sociólogos
											es lenguaje, así que pensamos en comunicación.
											Y cuando nos referimos a comunicación, 
se trata de interacciones.
											¿Qué me comunica tu lenguaje corporal?
											Y ¿qué te dice a ti el mío?
									","
											Um aperto de mão
ou a ausência de um aperto de mão,
											pode pôr-nos a falar
durante semanas e semanas.
											Até a BBC e o The New York Times.
											Obviamente, quando pensamos
em comportamento não verbal
											ou linguagem corporal
											— os cientistas sociais,
chamam-lhe ""não-verbais"" —
											pensamos em comunicação.
											Quando pensamos em comunicação, 
pensamos em interações.
											O que está a vossa linguagem corporal
a comunicar-me?
											O que está a minha a comunicar-vos?
									","
											Amy Cuddy: Demek ki, bir tokalaşma veya bir kaçan tokalaşma fırsatı
											bizleri haftalarca ve haftalarca üzerinde konuşturabiliyor.
											Hatta BBC ve The New York Times'ı bile.
											Belli ki, sözsüz iletişimi veya vücut dilini anlamaya çalıştığımızda
											—biz buna sosyal bilimciler olarak sözsüz dil diyoruz;
											bunun bir dil olduğunu anlıyoruz, yani bir iletişim olduğunu.
											İletişimi anlamaya çalışmak da bize etkileşimi düşündürüyor.
											Vücut dilin bana ne anlatıyor?
											Benimkisi sana ne anlatıyor?
									","
											Amy Cuddy: Ein Händedruck,
oder auch das Fehlen eines Händedrucks,
											kann wochenlang für 
Gesprächsstoff sorgen.
											Sogar bei der BBC und der New York Times.
											Wenn wir also über 
nonverbales Verhalten
											oder Körpersprache nachdenken, wie es 
die Sozialwissenschaftler nennen,
											dann dreht es sich um Sprache. 
Wir denken also über Kommunikation nach.
											Wenn wir über Kommunikation nachdenken, 
denken wir an Interaktionen.
											Was versucht mir Ihre 
Körpersprache mitzuteilen?
											Was teilt Ihnen meine mit?
									",Your body language may shape who you are,Amy Cuddy,21:02,"body language,brain,business,psychology,self,success,science"
"
","
","
","
",Your body language may shape who you are,Amy Cuddy,21:02,"body language,brain,business,psychology,self,success,science"
"
											Hay muchas razones para pensar que esto es una forma
											válida de verlo. Los sociólogos han empleado mucho
											tiempo estudiando los efectos de nuestro 
lenguaje corporal
											o el de los demás, en nuestros juicios.
											Emitimos juicios rápidos e inferencias, 
basados en el lenguaje corporal.
											Esos juicios pueden predecir 
resultados verdaderamente vitales,
											como a quién contrataremos o promoveremos, 
o a quién invitaremos a salir.
											Por ejemplo, Nalini Ambady, investigadora 
de la Universidad de Tufts,
											dice que cuando la gente observa videos mudos de 30 seg.
											de interacciones reales de médicos y pacientes,
											sus juicios sobre la amabilidad del doctor
											pueden predecir si ese médico va a ser demandado.
											No tiene mucha relación con la competencia
											del médico, sino con el hecho de que nos guste la persona
											y la manera en que interactúa.
											Más drástico, Alex Todorov de Princeton, 
ha mostrado
											que los juicios sobre la cara de los candidatos
											en solo un segundo, predice el 70% de los resultados
											electorales para el senado o congreso.
											Vayamos incluso del ámbito digital,
											los emoticones utilizados en negociaciones por Internet
											pueden conducir a mayores ganancias.
											Si los usas mal, malo. ¿Cierto?
											Si pensamos en lo no verbal, 
hablamos de cómo juzgamos
											a los demás, cómo nos juzgan los demás, 
y cuáles son los resultados.
											Tenemos la tendencia, sin embargo, a ignorar al otro,
											que está influenciado por lo no verbal: 
nosotros mismos.
									","
											Há muitas razões para acreditar
											que esta é uma maneira válida
de ver este assunto.
											Os cientistas sociais
têm dedicado muito tempo
											a observar os efeitos no julgamento
da nossa linguagem corporal,
											ou da linguagem corporal
das outras pessoas.
											Fazemos juízos e inferências gerais
a partir da linguagem corporal.
											E esses juízos podem predizer 
ocorrências realmente significativas,
											como quem contratamos ou promovemos,
quem convidamos para um encontro.
											Por exemplo, Nalini Ambady,
uma investigadora da Universidade Tufts,
											mostra que, quando as pessoas
veem um clip de 30 segundos, sem som,
											de interações reais entre 
um médico e o seu doente,
											os seus juízos sobre a simpatia do médico
											predizem se aquele médico
vai ser processado ou não.
											Não tem tanto que ver 
com o facto de aquele médico
											ser ou não incompetente
mas antes se gostamos daquela pessoa
											e como é que ela interage?
											Ainda mais dramático é o que nos mostrou
Alex Todorov, de Princeton, :
											Os juízos formados, num segundo,
sobre as caras dos candidatos políticos,
											predizem 70% do Senado dos EUA
											e os resultados da eleições
para governador.
											Também — passemos para o campo digital —
											os ""emoticons"", se bem usados,
em negociações on-line,
											podem levar-nos a retirar mais dividendos 
na negociação em questão.
											Usá-los mal é má ideia.
											Quando pensamos em ""não-verbais"", 
pensamos em como julgamos os outros,
											como eles nos julgam
e quais são os resultados.
											Mas tendemos a esquecer o outro público
											que é influenciado
pelos nossos ""não-verbais"".
									","
											Bu konuya bu şekilde bakmanın doğruluğunu inandırıcı kılan
											birçok sebep bulunuyor. Sosyal bilimciler, vücut dilimizin
											veya başkalarının vücut dillerinin
											kişinin yargı mekanizmasındaki etkilerini incelemek için çok zaman harcadılar.
											Vücut dili sayesinde geniş kapsamlı hükümler ve mantık çıkarmaları yapıyoruz.
											Ve bu hükümler, kimi işe alacağımız veya terfi ettireceğimiz
											veya kime çıkma teklif edeceğimiz gibi anlamlı ve hayati durumların sonuçlarını önceden haber vermektedir.
											Örnek olarak, Tufts Üniversitesinde bir araştırmacı olan Nalini Ambady,
											insanların hasta doktor etkileşimine ait 30 saniyelik sessiz videolarını izlediklerinde
											o kişilerin doktorun kibarlığı konusundaki
											yargılarının, o doktorun ileride dava edilip edilmeyeceğini
											önceden haber verdiğini gösteriyor.
											Yani bu durum, doktorun yeterli olup olmadığı ile ilgili değil de
											bu kişinin bizim hoşumuza gitmesi ve
											nasıl etkileştikleri ile ilgilidir.
											Daha çarpıcı bir örnek olarak, Princeton'dan Alex Todov,
											Politik adayların yüz ifadelerinden, 1 saniye içinde alınan
											kararlarin, Birleşik Devletler Senatosu ve hükümetle ilgili
											seçim yarışı sonuclarının yüzde 70'ini tahmin ettiğini gösteriyor
											ve şimdi de dijital dünyaya gidelim;
											çevrimiçi yapılan pazarlıklar esnasında, iyi bir şekilde kullanılan duygu sembolleri
											o pazarlıktan, daha kazançlı çıkmanızı sağlayabiliyor.
											İyi bir şekilde kullanmamak, kötü fikir, değil mi?
											Demek ki, sözsüz dil dediğimizde, başkalarını nasıl yargıladığımızdan,
											başkalarının bizi nasıl yargıladıklarından ve bu yargılamaların sonuçlarından bahsediyoruz.
											Sessiz dilimizden etkilenen, başka bir katılımcının olduğunu
											unutmaya eğilimliyizdir. Bu kişi kendimizdir.
									","
											Es gibt viele Gründe dafür,
dies näher zu betrachten.
											Sozialwissenschaftler haben viel
											Zeit darauf verwendet, den Einfluss 
der eigenen Körpersprache
											oder der anderer Menschen auf das
Urteilsvermögen zu untersuchen.
											Wir fällen Pauschalurteile und Rückschlüsse
aufgrund der Körpersprache.
											Diese Urteile können entscheidende
Lebenssituationen beeinflussen.
											Wen wir einstellen oder befördern oder
mit wem wir uns verabreden für ein Date.
											Nalini Ambady, eine Wissenschaftlerin
der Tufts Universität, zeigte zum Beispiel,
											dass, wenn Menschen 30 Sekunden lang
einen Videoclip ohne Ton
											über reale Arzt-Patient-Interaktionen ansehen,
											sagt ihr Urteil über die Freundlichkeit
des Doktors vorher,
											ob der Arzt verklagt wird
oder nicht.
											Es hat also nicht so sehr damit zu tun,
											ob der Arzt inkompetent ist, sondern mehr damit,
ob wir die Person leiden können
											und wie dessen Verhalten war.
											Alex Todorov aus Princeton zeigte etwas
noch viel Dramatischeres:
											Urteile über die Gesichter
politischer Kandidaten,
											die in einer Sekunde gefällt werden,
sagen 70% des US-Senats-Ausgangs
											sowie Rennen um das Gouverneursamt voraus.
											Im Hinblick auf die digitale Welt,
											können in Verhandlungen strategisch 
gut eingesetzte Emoticons,
											zu einem erfolgreicheren
Abschluss der Verhandlungen führen.
											Wenn sie ungeschickt eingesetzt werden,
ist das eine schlechte Idee. Oder?
											Wenn wir nonverbale Aktionen betrachten,
denken wir daran, wie wir andere bewerten,
											wie andere uns bewerten und
was das Resultat davon ist.
											Wir vergessen dabei aber
das andere Publikum,
											welches durch den nonverbalen Teil beeinflusst wird.
Und das sind wir selbst.
									",Your body language may shape who you are,Amy Cuddy,21:02,"body language,brain,business,psychology,self,success,science"
"
","
","
","
",Your body language may shape who you are,Amy Cuddy,21:02,"body language,brain,business,psychology,self,success,science"
"
											Estamos influenciados por nuestros propias 
expresiones no verbales, pensamientos
											sentimientos, y por nuestra fisiología.
											¿A qué lenguaje no verbal me refiero?
											Soy psicóloga social. Estudio los prejuicios
											y enseño en una reconocida escuela de negocios,
											lo que era inevitable interesarme 
en la dinámica del poder,
											especialmente en las expresiones no verbales
											de poder y dominio.
									","
											Também somos influenciados por eles, 
pelos nossos pensamentos,
											pelos nossos sentimentos
e pela nossa fisiologia.
											De que comportamentos não-verbais
estou eu a falar?
											Sou psicóloga social.
											Estudo o preconceito e ensino
numa escola de gestão competitiva.
											Era inevitável que me interessasse
por dinâmicas de poder.
											Interessei-me especialmente
por expressões não-verbais
											de poder e domínio.
									","
											Bizler de kendi sessiz dilimizden, düşüncelerimizden
											duygularımızdan ve fizyolojimizden etkilenmekteyiz.
											Peki bu bahsettiğim sessiz diller nedir?
											Ben bir sosyal psikoloğum. Önyargı üzerinde çalışıyorum
											ve rekabetçi bir işletme fakültesinde öğretmenlik yapıyorum.
											bu yüzden, güç dinamiklerine ilgi duymam kaçınılmaz oldu.
											Özellikle güç ve üstünlüğe dair sözsüz dil ifadelerine
											ilgi duymaya başladım.
									","
											Wir werden von unseren eigenen nonverbalen
Aktionen, unseren Gedanken,
											unseren Gefühlen und unserer
Physiologie beeinflusst.
											Über welche nonverbalen Aktionen
spreche ich?
											Ich bin Sozialpsychologin. 
Ich untersuche Vorurteile
											und ich unterrichte an einer auf
Wettbewerb ausgerichteten Wirtschaftsschule.
											Es war also unausweichlich, dass ich mich
für Machtverhältnisse zu interessieren begann.
											Besonders interessierten mich die 
nonverbalen Ausdrücke
											der Macht und Dominanz.
									",Your body language may shape who you are,Amy Cuddy,21:02,"body language,brain,business,psychology,self,success,science"
"
","
","
","
",Your body language may shape who you are,Amy Cuddy,21:02,"body language,brain,business,psychology,self,success,science"
