en,pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",A simple way to break a bad habit,Judson Brewer,9:24,"TEDMED,brain,choice,cognitive science,curiosity,health,decision-making,mental health,meditation,mindfulness,motivation,neuroscience,nature,mind,obesity,personal growth,science,addiction"
"
											When I was first learning to meditate,
											the instruction was to simply
pay attention to my breath,
											and when my mind wandered,
to bring it back.
									","
											Quando comecei a aprender a meditar,
											as instruções eram simplesmente
prestar atenção à respiração,
											e quando me distraísse,
recuperar o controlo.
									","
											Meditasyonu öğrenmeye başladığımda
											öğretilen ilk şey yalnızca nefesime
dikkat etmemdi
											ve kafam karıştığında,
bunu aklıma getirmek.
									","
											Quand j'ai débuté la méditation,
											la consigne était de
prêter attention à ma respiration
											et de rappeler mon esprit 
quand il s'égarait.
									","
											Als ich mit dem Meditieren begann,
											war die Anweisung, einfach
auf meinen Atem zu achten,
											und wenn mein Geist abschweift,
wieder zu fokussieren.
									",A simple way to break a bad habit,Judson Brewer,9:24,"TEDMED,brain,choice,cognitive science,curiosity,health,decision-making,mental health,meditation,mindfulness,motivation,neuroscience,nature,mind,obesity,personal growth,science,addiction"
"
","
","
","
","
",A simple way to break a bad habit,Judson Brewer,9:24,"TEDMED,brain,choice,cognitive science,curiosity,health,decision-making,mental health,meditation,mindfulness,motivation,neuroscience,nature,mind,obesity,personal growth,science,addiction"
"
											Sounded simple enough.
											Yet I'd sit on these silent retreats,
											sweating through T-shirts
in the middle of winter.
											I'd take naps every chance I got
because it was really hard work.
											Actually, it was exhausting.
											The instruction was simple enough
											but I was missing something
really important.
									","
											Parecia ser fácil.
											No entanto, eu ficava sentado
nestes retiros silenciosos,
											transpirando através de T-shirts
no meio do inverno.
											Dormia sempre que podia
porque era mesmo difícil.
											Na verdade, era exaustivo.
											As instruções eram simples
											mas faltava-me algo
realmente importante.
									","
											Oldukça basit gibi gelmişti.
											Bu sessiz inzivalara çekildiğimde
											kışın ortasında tişört ile terliyordum.
											Bulduğum her fırsatta kestiriyordum
çünkü gerçekten zor bir işti.
											Aslında yorucuydu.
											Eğitim oldukça basitti
											fakat çok önemli bir şeyi 
kaçırıyordum.
									","
											Cela semblait assez simple.
											Pourtant, lorsque j'allais
à des retraites silencieuses,
											je transpirais à travers mes t-shirts
au milieu de l'hiver.
											Je faisais énornément de siestes
parce que c'était beaucoup de travail.
											En réalité, c'était épuisant.
											La consigne était assez simple,
											mais une chose importante m'échappait.
									","
											Das klingt ziemlich einfach.
											Dennoch schwitzte ich
bei diesen Schweige-Retreats
											mitten im Winter T-Shirts durch.
											Ich nickte bei jeder Gelegenheit ein,
weil es wirklich harte Arbeit war.
											Es war wirklich ermüdend.
											Die Anweisung war einfach genug,
											aber ich übersah etwas wirklich Wichtiges.
									",A simple way to break a bad habit,Judson Brewer,9:24,"TEDMED,brain,choice,cognitive science,curiosity,health,decision-making,mental health,meditation,mindfulness,motivation,neuroscience,nature,mind,obesity,personal growth,science,addiction"
"
","
","
","
","
",A simple way to break a bad habit,Judson Brewer,9:24,"TEDMED,brain,choice,cognitive science,curiosity,health,decision-making,mental health,meditation,mindfulness,motivation,neuroscience,nature,mind,obesity,personal growth,science,addiction"
"
											So why is it so hard to pay attention?
											Well, studies show
											that even when we're really
trying to pay attention to something —
											like maybe this talk —
											at some point,
											about half of us
will drift off into a daydream,
											or have this urge
to check our Twitter feed.
									","
											Porque é tão difícil prestar atenção?
											Bem, os estudos demonstram
											que, mesmo quando tentamos
prestar atenção a algo
											— como talvez esta palestra —
											a dada altura,
											metade de nós começam
a sonhar acordados,
											ou teremos vontade
de aceder ao Twitter.
									","
											Dikkat etmek neden bu kadar zordur?
											Pekala, çalışmalar
											bir şeye gerçekten dikkat etmeyi
denediğimiz zamanlarda bile —
											mesela bu konuşma gibi —
											bir noktada insanların
											yarısının bir hayale dalacağını
ya da Twitter'a
											bakma dürtüsüne sahip olacağını
gösteriyor.
									","
											Pourquoi est-il si difficile 
d'être attentif ?
											Eh bien, des études montrent
											que même quand nous essayons 
vraiment d'être attentif à quelque chose,
											comme à cette présentation,
											à un moment donné,
											la moitié d'entre nous 
commencera à rêvasser,
											ou aura envie de regarder 
son flux Twitter.
									","
											Warum ist es also so schwer,
aufmerksam zu sein?
											Studien zeigen,
											dass, auch wenn wir uns wirklich
bemühen, auf etwas zu achten —
											wie etwa auf diesen Vortrag —
											driftet irgendwann die Hälfte von uns
in einen Tagtraum ab,
											oder wir haben das Bedürfnis,
unseren Twitter-Feed zu checken.
									",A simple way to break a bad habit,Judson Brewer,9:24,"TEDMED,brain,choice,cognitive science,curiosity,health,decision-making,mental health,meditation,mindfulness,motivation,neuroscience,nature,mind,obesity,personal growth,science,addiction"
"
","
","
","
","
",A simple way to break a bad habit,Judson Brewer,9:24,"TEDMED,brain,choice,cognitive science,curiosity,health,decision-making,mental health,meditation,mindfulness,motivation,neuroscience,nature,mind,obesity,personal growth,science,addiction"
"
											So what's going on here?
											It turns out that we're fighting one
of the most evolutionarily-conserved
											learning processes
currently known in science,
											one that's conserved
											back to the most basic
nervous systems known to man.
									","
											O que é que acontece aqui?
											Estamos a lutar contra
um dos processos de aprendizagem
											mais conservados pela evolução
que a ciência conhece,
											um processo que está conservado
											nos sistemas nervosos
mais básicos que conhecemos.
									","
											Peki bu esnada neler oluyor?
											Anlaşılan o ki; bilimde halen bilinen, 
evrimsel açıdan en çok korunan
											bir öğrenme süreciyle, insanların bildiği
en temel sinir
											sistemlerinde korunan bir
											öğrenme süreciyle savaşıyoruz.
									","
											D'où vient donc le problème ?
											Il se trouve que nous combattons 
l'un des processus d'apprentissage
											les plus conservés au cours de 
l'évolution de la science,
											qui a été conservé
											dans le système nerveux
le plus basique connu.
									","
											Was passiert hier?
											Es zeigt sich, dass wir
einen der am stärksten
											evolutionär-konservierten
Lernprozesse bekämpfen,
											der heute der Wissenschaft
bekannt ist —
											einer, der bis hin zum elementarsten
Nervensystem konserviert ist.
									",A simple way to break a bad habit,Judson Brewer,9:24,"TEDMED,brain,choice,cognitive science,curiosity,health,decision-making,mental health,meditation,mindfulness,motivation,neuroscience,nature,mind,obesity,personal growth,science,addiction"
"
","
","
","
","
",A simple way to break a bad habit,Judson Brewer,9:24,"TEDMED,brain,choice,cognitive science,curiosity,health,decision-making,mental health,meditation,mindfulness,motivation,neuroscience,nature,mind,obesity,personal growth,science,addiction"
"
											This reward-based learning process
											is called positive
and negative reinforcement,
											and basically goes like this.
											We see some food that looks good,
											our brain says, ""Calories! ... Survival!""
											We eat the food, we taste it —
											it tastes good.
											And especially with sugar,
											our bodies send a signal
to our brain that says,
											""Remember what you're eating
and where you found it.""
											We lay down this context-dependent memory
											and learn to repeat the process next time.
											See food,
											eat food, feel good,
											repeat.
											Trigger, behavior, reward.
									","
											Este processo à base de recompensa
											chama-se reforço positivo e negativo,
											e funciona basicamente assim:
											vemos comida com bom aspecto,
											o nosso cérebro diz:
""Calorias! ... Sobrevivência!""
											Comemos, saboreamos a comida,
sabe bem.
											Especialmente com o açúcar,
											o corpo envia um sinal
para o cérebro que diz:
											""Lembra-te do que estás a comer
e onde o encontraste.""
											Registamos esta memória contextual
											e aprendemos a repetir o processo.
											Ver comida,
											comer, sentir-se bem,
											repetir.
											Estímulo, comportamento, recompensa.
									","
											Ödüle dayalı öğrenme süreci,
											pozitif ve negatif teşvik olarak 
adlandırılır
											ve şu şekilde devam eder.
											Güzel görünen bir yemek görürüz,
											beynimiz ""Kaloriler! ... Hayatta kalma!""
der.
											Yemeği yeriz, tadına bakarız —
											lezzetlidir.
											Özellikle de şeker olduğu zaman
											vücudumuz beynimize ""Ne yediğini ve onu
nereden
											bulduğunu hatırla"" diyen bir sinyal
gönderir.
											Biz de bu bağlama bağlı belleği
bir kenara koyarız ve
											bir sonrakinde bu süreci tekrarlamayı
öğreniriz.
											Yemeği gör,
											yemeği ye, iyi hisset,
											tekrarla.
											Dürtü, davranış, ödül.
									","
											Cet apprentissage basé sur la récompense
											est appelé renforcement positif et négatif
											et fonctionne de la façon suivante :
											nous voyons de la nourriture 
qui paraît bonne,
											notre cerveau nous dit :
« Des calories ! ...Survie ! »
											Nous mangeons cette nourriture
											et ça a bon goût.
											Et, surtout avec le sucre,
											le corps envoie un signal
au cerveau qui dit :
											« Rappelle-toi ce que tu manges 
et où tu l'as trouvé. »
											Nous imposons cette mémoire 
dépendant du contexte
											et apprenons à répéter le processus 
la fois suivante.
											Je vois de la nourriture,
											je mange, je me sens bien,
											je recommence.
											Déclencheur, comportement, récompense.
									","
											Der belohnungsbasierte Lernprozess
											wird positive und negative
Verstärkung genannt.
											Das läuft im Wesentlichen so:
											Wir sehen gut aussehendes Essen,
											unser Gehirn sagt:
""Kalorien! ... Überleben!""
											Wir essen es, wir probieren es —
											es schmeckt gut.
											Vor allem bei Zucker
											sendet der Körper ein Signal
ans Gehirn, das sagt:
											""Merk dir, was du isst
und wo du es gefunden hast.""
											Wir legen diese
kontextabhängige Erinnerung ab,
											und lernen den Ablauf
das nächste Mail zu wiederholen.
											Essen sehen,
											essen, sich gut fühlen,
											wiederholen.
											Auslöser, Verhalten, Belohnung.
									",A simple way to break a bad habit,Judson Brewer,9:24,"TEDMED,brain,choice,cognitive science,curiosity,health,decision-making,mental health,meditation,mindfulness,motivation,neuroscience,nature,mind,obesity,personal growth,science,addiction"
