en,es,de,title,speaker,duration,tags
"
","
","
",How to turn a group of strangers into a team,Amy Edmondson,13:07,"leadership,business,motivation,communication,collaboration,cooperation,goal-setting,potential,personal growth"
"
											It's August 5, 2010.
											A massive collapse at the San José
Copper Mine in Northern Chile
											has left 33 men trapped half a mile —
that's two Empire State Buildings —
											below some of the hardest
rock in the world.
											They will find their way to a small refuge
designed for this purpose,
											where they will find intense heat, filth
											and about enough food
for two men for 10 days.
											Aboveground, it doesn't take long
											for the experts to figure out
that there is no solution.
											No drilling technology in the industry
is capable of getting through rock
											that hard and that deep
											fast enough to save their lives.
											It's not exactly clear
where the refuge is.
											It's not even clear
if the miners are alive.
											And it's not even clear who's in charge.
											Yet, within 70 days, all 33 of these men
will be brought to the surface alive.
											This remarkable story is a case study
											in the power of teaming.
									","
											Es el 5 de agosto, 2010.
											Un derrumbe enorme en la mina de cobre
de San José en el norte de Chile
											atrapó a 33 hombres a más de 800 metros 
—eso es, dos edificios Empire State—
											debajo una de las rocas 
más duras del mundo.
											Ellos encontrarán un pequeño refugio 
designado para este propósito,
											donde hallarán un calor intenso, suciedad
											y comida suficiente como para 
dos hombres durante 10 días.
											En la superficie, 
no les toma mucho tiempo
											a los expertos darse cuenta
de que no hay solución.
											Ninguna tecnología de perforación
es capaz de atravesar una roca
											tan dura ni a tanta profundidad
											con la rapidez suficiente
como para salvarles la vida.
											No está muy claro dónde está el refugio.
											Ni siquiera está claro
si los mineros están vivos.
											Y tampoco está claro quién está a cargo.
											Y sin embargo, dentro de los 70 días,
											todos los 33 hombres 
serán traídos a la superficie con vida.
											Esta notable historia 
es un estudio de caso
											sobre el poder del trabajo en equipo.
									","
											Es ist der 5. August 2010.
											Durch einen gewaltigen Einsturz in der
Kupfermine San José im Norden von Chile,
											sind 33 Männer in 800 Meter
Tiefe gefangen.
											In 800 Meter Tiefe, das ist
zweimal das Empire State Building,
											gefangen unter einem
der härtesten Felsen der Welt.
											Sie finden den Weg
zu einem kleinen Schutzraum,
											der für diesen Zweck gebaut wurde.
											Dort treffen sie auf extreme
Hitze, Schmutz
											und Lebensmittel, die für zwei Männer
circa 10 Tage reichen würde.
											An der Oberfläche dauert es nicht lange,
											bis die Experten feststellen,
dass es hier keine Lösung gibt.
											Keine industrielle Bohr-Technologie
											kann schnell genug so tief und
durch so harten Stein bohren,
											um deren Leben zu retten.
											Man kennt die Position
des Rettungsraumes nicht genau.
											Man weiß nicht einmal,
ob die Bergarbeiter noch leben.
											Man weiß auch nicht,
wer verantwortlich ist.
											Trotzdem werden innerhalb
von 70 Tagen alle 33 Männer
											lebend an die Oberfläche gebracht.
											Diese außergewöhnliche Geschichte
ist ein Paradebeispiel dafür,
											was Teaming leisten kann.
									",How to turn a group of strangers into a team,Amy Edmondson,13:07,"leadership,business,motivation,communication,collaboration,cooperation,goal-setting,potential,personal growth"
"
","
","
",How to turn a group of strangers into a team,Amy Edmondson,13:07,"leadership,business,motivation,communication,collaboration,cooperation,goal-setting,potential,personal growth"
"
											So what's ""teaming""?
											Teaming is teamwork on the fly.
											It's coordinating
and collaborating with people
											across boundaries of all kinds —
											expertise, distance,
time zone, you name it —
											to get work done.
									","
											¿Qué es el trabajo en equipo?
											Es un trabajo de grupo sobre la marcha.
											Es coordinar y colaborar con gente
											traspasando fronteras de todo tipo
											—experiencia, distancia, 
zona horaria, etc.—
											para hacer un trabajo.
									","
											Also, was ist ""Teaming""?
											Teaming ist spontane Teamarbeit.
											Die Koordinierung und
Zusammenarbeit von Menschen,
											damit trotz Hindernisse aller Art —
											wie Fachkenntnis, Entfernung,
Zeitverschiebung, was auch immer —
											die Arbeit erledigt wird.
									",How to turn a group of strangers into a team,Amy Edmondson,13:07,"leadership,business,motivation,communication,collaboration,cooperation,goal-setting,potential,personal growth"
"
","
","
",How to turn a group of strangers into a team,Amy Edmondson,13:07,"leadership,business,motivation,communication,collaboration,cooperation,goal-setting,potential,personal growth"
"
											Think of your favorite sports team,
because this is different.
											Sports teams work together: that magic,
those game-saving plays.
											Now, sports teams win
because they practice.
											But you can only practice
if you have the same members over time.
											And so you can think of teaming ...
											Sports teams embody
the definition of a team,
											the formal definition.
											It's a stable, bounded,
reasonably small group of people
											who are interdependent
in achieving a shared outcome.
											You can think of teaming
as a kind of pickup game in the park,
											in contrast to the formal,
well-practiced team.
											Now, which one is going
to win in a playoff?
											The answer is obvious.
											So why do I study teaming?
											It's because it's the way
more and more of us have to work today.
											With 24/7 global fast-paced operations,
											crazy shifting schedules
											and ever-narrower expertise,
											more and more of us have to work
with different people all the time
											to get our work done.
											We don't have the luxury of stable teams.
											Now, when you can have that luxury,
by all means do it.
											But increasingly for a lot
of the work we do today,
											we don't have that option.
											One place where this is true is hospitals.
											This is where I've done
a lot of my research over the years.
											So it turns out hospitals
have to be open 24/7.
											And patients — well,
they're all different.
											They're all different
in complicated and unique ways.
											The average hospitalized patient is seen
by 60 or so different caregivers
											throughout his stay.
											They come from different shifts,
different specialties,
											different areas of expertise,
											and they may not even
know each other's name.
											But they have to coordinate in order
for the patient to get great care.
											And when they don't,
the results can be tragic.
									","
											Piensen en su equipo deportivo favorito,
aunque esto es diferente.
											Los equipos deportivos trabajan juntos;
hacen jugadas mágicas que salvan el juego.
											Ahora bien, los equipos deportivos 
ganan porque practican.
											Pero uno sólo puede practicar si tiene
los mismos miembros todo el tiempo.
											Y pueden pensar sobre
el trabajo en equipo...
											Los equipos deportivos representan
la definición de equipo,
											la definición formal.
											Es un grupo de gente razonablemente
pequeño, estable, unido
											que son interdependientes para 
lograr un resultado compartido.
											Pueden pensar sobre el trabajo en equipo
como un juego informal en el parque,
											a diferencia del equipo formal,
que ha practicado bien.
											Ahora bien, ¿cuál ganará en una final?
											La respuesta es obvia.
											Entonces, ¿por qué estudio 
el trabajo en equipo?
											Porque es el modo en el que más y más 
de nosotros debemos trabajar hoy en día.
											Con las operaciones globales rápidas 
las 24 horas, los siete días de la semana,
											los horarios de trabajo 
alocados y cambiantes
											y las especializaciones cada 
vez más estrechas,
											más de nosotros debemos estar con 
personas diferentes todo el tiempo
											para hacer un trabajo.
											No tenemos el lujo de equipos estables.
											Ahora bien, si tienen ese lujo,
por supuesto háganlo.
											Pero cada vez más, para mucho 
del trabajo que hacemos hoy,
											no tenemos esa opción.
											Uno de los lugares donde esto es verdad
es en los hospitales.
											Allí realicé mucha de mis investigaciones 
a lo largo de los años.
											Los hospitales deben estar abiertos 
las 24 horas, todos los días de la semana.
											Y los pacientes... bueno, 
son todos diferentes.
											Son todos diferentes en modos
complicados y únicos.
											El paciente hospitalizado promedio
es atendido por unas 60 personas
											durante su estadía.
											Tienen diferentes turnos,
diferentes especialidades,
											diferentes áreas de experiencia,
											e inclusive quizá no conocen 
el nombre de los otros.
											Pero deben coordinarse para que 
el paciente reciba un buen cuidado.
											Y cuando no lo hacen, los
resultados pueden ser trágicos.
									","
											Denken Sie an ihr Lieblingsteam im Sport,
denn das ist etwas anderes.
											Eine Sportmannschaft arbeitet zusammen:
											Diese magischen Momente,
die das Spiel wenden.
											Sportmannschaften gewinnen,
weil sie trainieren.
											Man kann nur trainieren, wenn dieselben
Leute über längere Zeit zusammen sind.
											""Teaming"" ist also —
											Sportmannschaften verkörpern
die Definition eines Teams;
											die formale Definition.
											Es ist eine beständige, abgegrenzte,
relativ kleine Gruppe von Menschen,
											die voneinander abhängig sind,
um ein gemeinsames Ergebnis zu erzielen.
											Sie können sich Teaming wie ein
spontanes Spiel im Park vorstellen,
											im Gegensatz zu einem offiziellen,
eingespielten Team.
											Welches Team gewinnt ein Endspiel?
											Die Antwort ist offensichtlich.
											Warum erforsche ich dann Teaming?
											Weil heutzutage mehr und mehr von uns
auf diese Art arbeiten müssen.
											Globale, tempogeladene Projekte,
rund um die Uhr im Einsatz,
											wahnwitzige Schichtpläne
und spezialisiertes Expertenwissen.
											Immer mehr von uns müssen
ständig mit neuen Leuten arbeiten,
											um die Aufgaben zu erledigen.
											Wir haben nicht den Luxus
beständiger Teams.
											Wenn Sie sich diesen Luxus leisten können,
nehmen Sie ihn sich unbedingt.
											Aber für einen wachsenden Anteil
der heutigen Arbeit
											haben wir diese Möglichkeit nicht.
											Ein Beispiel dafür sind Krankenhäuser.
											Dort habe ich über die Jahre
viele Untersuchungen durchgeführt.
											Es stellte sich heraus, dass Krankenhäuser
											an allen Tagen der Woche
24 Stunden geöffnet sein müssen.
											Und die Patienten —
sind alle unterschiedlich.
											Alle sind auf komplizierte
und einzigartige Weise verschieden.
											Im Durchschnitt werden
Krankenhauspatienten
											während ihres Aufenthalts von circa 60
unterschiedlichen Pflegekräften versorgt.
											Sie haben andere Schichten,
unterschiedliche Fachgebiete,
											unterschiedliche Kompetenzen.
											Sie kennen sich vielleicht
sogar nicht mal beim Namen.
											Aber sie müssen zusammenarbeiten, damit
der Patient die beste Versorgung erhält.
											Arbeiten sie nicht zusammen,
können die Ergebnisse fatal sein.
									",How to turn a group of strangers into a team,Amy Edmondson,13:07,"leadership,business,motivation,communication,collaboration,cooperation,goal-setting,potential,personal growth"
"
","
","
",How to turn a group of strangers into a team,Amy Edmondson,13:07,"leadership,business,motivation,communication,collaboration,cooperation,goal-setting,potential,personal growth"
"
											Of course, in teaming,
the stakes aren't always life and death.
											Consider what it takes
to create an animated film,
											an award-winning animated film.
											I had the good fortune
to go to Disney Animation
											and study over 900 scientists, artists,
											storytellers, computer scientists
											as they teamed up in constantly
changing configurations
											to create amazing outcomes like ""Frozen.""
											They just work together,
and never the same group twice,
											not knowing what's going to happen next.
											Now, taking care of patients
in the emergency room
											and designing an animated film
											are obviously very different work.
											Yet underneath the differences,
they have a lot in common.
											You have to get different expertise
at different times,
											you don't have fixed roles,
you don't have fixed deliverables,
											you're going to be doing a lot of things
that have never been done before,
											and you can't do it in a stable team.
									","
											Pero en el trabajo en equipo, no siempre
los desafíos son la vida y la muerte.
											Consideren lo que implica crear
una película animada,
											una película premiada de animación.
											Tuve la buena suerte
de ir a Disney Animation
											y estudiar a más de 
900 científicos, artistas,
											narradores, científicos en computación,
											y ellos trabajaban en grupos que cambiaban
su configuración constantemente
											para crear resultados maravillosos 
como ""Frozen"".
											Simplemente trabajaban juntos,
y nunca en el mismo grupo dos veces,
											sin saber lo que iba a pasar después.
											Ahora bien, atender a los pacientes
en una sala de emergencias
											y diseñar una película animada
											son, obviamente, trabajos muy diferentes.
											Pero debajo de esas diferencias,
tienen mucho en común.
											Se necesitan diferentes tipos de 
conocimientos en momentos diferentes,
											no hay roles fijos,
no hay productos fijos,
											uno hará muchas cosas
que nunca se han hecho antes,
											y no se puede hacer eso
con un equipo estable.
									","
											Natürlich geht es bei Teaming
nicht immer um Leben oder Tod.
											Überlegen Sie mal, was man braucht,
											um einen Animationsfilm zu produzieren,
einen preisgekrönten Animationsfilm
											Ich hatte das Glück zu den Disney
Animation Studios gehen zu können.
											Dort konnte ich beobachten, wie
über 900 Wissenschaftler,
											Künstler, Geschichtenerzähler und
Informatiker sich zusammenschlossen,
											um in ständig wechselnden Konstellationen
											so erstaunliche Werke
wie ""Die Eiskönigin"" zu erschaffen.
											Sie arbeiten einfach zusammen,
											nie zweimal dieselbe Gruppe,
											und ohne zu wissen,
was als Nächstes passiert.
											Patienten in der Notaufnahme zu versorgen
											und einen Animationsfilm zu gestalten
											sind ganz klar sehr
unterschiedliche Aufgaben.
											Aber trotz der Unterschiede,
haben sie viel gemeinsam.
											Man braucht unterschiedliches
Fachwissen zu unterschiedlichen Zeiten.
											Es gibt keine festen Rollen,
man hat keine gleichbleibenden Resultate.
											Man muss viele Dinge tun,
die man nie zuvor getan hat,
											und man kann das nicht
in einem beständigen Team tun.
									",How to turn a group of strangers into a team,Amy Edmondson,13:07,"leadership,business,motivation,communication,collaboration,cooperation,goal-setting,potential,personal growth"
"
","
","
",How to turn a group of strangers into a team,Amy Edmondson,13:07,"leadership,business,motivation,communication,collaboration,cooperation,goal-setting,potential,personal growth"
"
											Now, this way of working isn't easy,
											but as I said, it's more and more
the way many of us have to work,
											so we have to understand it.
											And I would argue
that it's especially needed
											for work that's complex and unpredictable
											and for solving big problems.
											Paul Polman, the Unilever CEO,
put this really well
											when he said, ""The issues we face today
are so big and so challenging,
											it becomes quite clear
we can't do it alone,
											and so there is a certain humility
in knowing you have to invite people in.""
											Issues like food or water scarcity
cannot be done by individuals,
											even by single companies,
											even by single sectors.
											So we're reaching out
to team across big teaming,
											grand-scale teaming.
									","
											Ahora bien, este modo 
de trabajo no es fácil,
											pero como ya dije, es el modo en que
más de nosotros debemos trabajar,
											por lo que debemos entenderlo.
											Y yo diría que esto 
se necesita especialmente
											para los trabajos complejos 
e impredecibles
											y para resolver problemas grandes.
											Paul Polman, el director general de 
Unilever, lo expresó muy bien
											al decir: ""Los problemas que enfrentamos 
hoy son tan grandes y complejos,
											que está claro que no 
podemos hacerlo solos,
											por lo que hay una cierta humildad
en saber que uno debe invitar a la gente"".
											Asuntos como la falta de alimento o agua 
no pueden ser resueltos por individuos,
											ni por compañías individuales,
											ni por sectores individuales.
											Por lo que tratamos de llegar a formar 
grandes grupos de trabajo,
											equipos de trabajo a gran escala.
									","
											So zu arbeiten ist nicht einfach.
											Aber wie ich sagte, mehr und mehr
von uns müssen so arbeiten.
											Darum müssen wir das verstehen.
											Und ich behaupte, dass es vor allem
											für komplexe und unvorhersehbare Aufgaben,
oder bei großen Problemen gebraucht wird.
											Paul Polman, der Chef von Unilever,
hat das gut formuliert, als er sagte:
											""Die Probleme, die heutzutage auf uns
zukommen, sind so groß und herausfordernd.
											Es ist klar, dass wir das
nicht alleine schaffen.
											Es liegt eine gewisse Demut darin
zu wissen, dass man Leute dazuholen muss.""
											Probleme wie die Nahrungs-
oder Wasserknappheit
											können nicht von
Einzelpersonen gelöst werden,
											auch nicht von einzelnen Firmen
oder von einzelnen Branchen.
											Also versuchen wir den Zusammenschluss
durch großes Teaming,
											Teaming auf der ganz großen Skala.
									",How to turn a group of strangers into a team,Amy Edmondson,13:07,"leadership,business,motivation,communication,collaboration,cooperation,goal-setting,potential,personal growth"
