pt,tr,de,title,speaker,duration,tags
"
","
","
",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
											A voz humana:
											É o instrumento que todos nós tocamos.
											É provavelmente 
o som mais poderoso do mundo.
											É o único que pode iniciar uma guerra
											ou dizer ""Amo-te.""
											Muitas pessoas têm a experiência
											de que, quando falam, 
as pessoas não as ouvem.
											Porque é que isso acontece?
											Como podemos falar de forma poderosa
											que faça diferença no mundo?
									","
											İnsan sesi:
											Hepimizin çaldığı bir enstrüman.
											Muhtemelen dünyadaki en kuvvetli ses.
											Aynı zamanda savaş başlatabilen
											veya ""Seni seviyorum"" diyebilen tek ses.
											Ama bir çok insan konuştukları zaman insanların
											onları dinlemediğini tecrube etmiştir.
											Peki bu neden?
											Nasıl dünyayı değiştirecek
											güçte konuşabiliriz?
									","
											Die menschliche Stimme:
											Das Instrument, 
das wir alle spielen.
											Vermutlich der mächtigste Klang der Welt.
											Nur sie vermag 
Kriege zu beginnen
											oder „Ich liebe dich” zu sagen.
											Trotzdem erleben viele,
											dass man ihnen nicht zuhört.
											Warum passiert das?
											Wie können wir so kraftvoll reden,
											dass wir die Welt verändern?
									",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
","
","
",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
											O que eu gostaria de sugerir,
											é que há uma série de hábitos 
que é preciso mudar.
											Reuni aqui para vosso deleite
											sete pecados mortais da fala.
											Não pretendo que seja uma lista exaustiva,
											mas penso que estes sete pecados
											são hábitos vulgares 
em que todos nós podemos cair.
									","
											Size önereceğim şey, değiştirmemiz gereken
											birkaç alışkanlığın olduğu.
											Sizin için, konuşmanın
											yedi ölümcül günahını getirdim.
											Ayrıntılı bir listeymiş gibi davranmayacağım
											ama bu yedisi, bence hepimizin
											içine düşebileceği alışkanlıklar.
									","
											Es gibt ein paar Gewohnheiten,
											die wir ablegen müssen.
											Zu Ihrer Unterhaltung habe ich hier
											die 7 Todsünden 
der Rhetorik versammelt.
											Diese Liste ist zwar nicht vollständig,
											aber diese sieben sind recht häufig
											und können uns allen passieren.
									",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
","
","
",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
											Primeiro, o mexerico,
											dizer mal de alguém que não está presente.
											Não é um bom hábito, e sabemos muito bem
											que a pessoa que está a falar mal,
											cinco minutos depois 
estará a dizer mal de nós.
									","
											İlk olarak, dedikodu,
											orada olmayan biri hakkında kötü konuşmak.
											İyi bir alışkanlık değil ve gayet iyi biliyoruz ki...
											bizle dedikodu yapan kişi beş dakika sonra
											bizim hakkımızda dedikodu yapacak.
									","
											Erstens: Tratschen,
											schlecht über jemanden reden, 
der nicht anwesend ist.
											Keine gute Angewohnheit,
											und wir wissen nur zu gut, 
dass tratschende Leute
											fünf Minuten später 
über uns tratschen werden.
									",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
","
","
",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
											Segundo, julgar.
											Conhecemos pessoas 
que são assim em diálogo.
											É muito difícil ouvir alguém
											se sabemos que estamos a ser julgados
											e vulneráveis ao mesmo tempo.
									","
											İkincisi yargılamak.
											Bu konuşmadaki gibi insanlar biliyoruz
											ve eğer yargılandığınızı düşünüyorsanız
											ve aynı anda suçlu bulunuyorsanız
											birini dinlemek çok zordur.
									","
											Zweitens: Verurteilen.
											Wir alle kennen Leute, 
die das machen,
											und es ist sehr schwierig zuzuhören,
											wenn man weiß, dass man beurteilt
											und für unzureichend befunden wird.
									",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
","
","
",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
											Terceiro, negativismo.
											Podemos cair neste.
											A minha mãe, nos últimos anos de vida,
											tornou-se muito negativa 
e é difícil ouvi-la.
											Lembro-me que um dia lhe disse:
											""Hoje é dia 1 de outubro.""
											e ela disse: ""Eu sei, não é horrível?""
											(Risos)
											É difícil ouvir quando alguém 
é assim tão negativo.
									","
											Üçüncüsü, olumsuzluk.
											Buna düşebilirsiniz.
											Annem hayatının son 3 senesinde
											çok ama çok olumsuz olmuştu ve dinlemesi çok zordu.
											Bir gün ona şöyle dediğimi hatırlıyorum,
											""Bugün 1 Kasım.""
											ve o da dedi ki, ""Evet biliyorum, çok korkunç değil mi?""
											(Gülüşmeler)
											Birisi böylesine olumsuzsa onu dinlemek zordur.
									","
											Drittens: Negativität.
											Das kann schnell passieren.
											Meine Mutter wurde
											in ihren letzten Jahren sehr negativ.
											Eines Tages sagte ich zu ihr:
											„Heute ist der 1. Oktober”,
											und sie sagte: 
„Ich weiß, ist das nicht furchtbar?”
											[Gelächter]
											Es ist schwer zuzuhören, 
wenn jemand so negativ ist.
									",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
","
","
",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
											Outra forma de negativismo, queixar-se.
											Bem, esta é a arte nacional 
do Reino Unido.
											É o nosso desporto nacional. 
Queixamo-nos do tempo,
											do desporto, da política, de tudo.
											Mas, na verdade, 
queixar-se é uma miséria viral.
											Não está a espalhar a luz do sol 
e a leveza pelo mundo.
									","
											Ve olumsuzluğun bir başka türü, şikayet etmek.
											Pekala, bu Birleşik Krallığın ulusal sanatı.
											Bizim ulusal sporumuz. Hava hakkında şikayet ederiz,
											spor hakkında şikayet ederiz, politika hakkında, her şey hakkında.
											aslında şikayet etmek bulaşıcı bir ızdırap.
											Işık saçan bir güneş değil
ve dünyaya hafiflik vermiyor.
									","
											Eine andere Form der Negativität 
ist das Beschweren.
											Das ist die große Kunst in Großbritannien,
											unser Nationalsport. 
Wir beschweren uns
											über das Wetter, den Sport, 
Politik, über alles,
											aber tatsächlich ist es 
ein virales Elend.
											Es verbreitet weder Sonnenschein 
noch Leichtigkeit in der Welt.
									",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
","
","
",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
											Desculpas. Todo nós 
conhecemos esta figura.
											Talvez tenhamos sido já essa figura.
											Há pessoas que arranjam 
sempre um bode expiatório.
											Passam sempre as culpas para os outros
											e não assumem a responsabilidade 
pelas suas ações.
											Também é difícil ouvir alguém assim.
									","
											Mazeretler. Hepimiz bu arkadaşla tanışmışızdır.
											Belki hepimiz bu adam olduk.
											Bazı insanların alev saçan kuleleri var.
											Onlar bunu diğer herkese paslarlar
											ve hareketleri için sorumluluk almazlar
											ve yine böyle insanları dinlemek zordur.
									","
											Ausreden. 
Wir alle kennen diesen Typen.
											Vielleicht tun wir das alle.
											Manche werfen mit Schuld nur so um sich.
											Sie wälzen sie auf ihre ganze Umgebung ab
											und tragen keine Verantwortung.
											Auch das macht es schwer zuzuhören.
									",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
","
","
",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
											Penúltimo, o sexto dos sete pecados,
											os floreados, o exagero.
											Degrada a nossa língua, às vezes.
											Por exemplo, se vejo qualquer coisa
											que é realmente incrível,
											o que é que lhe chamo?
											(Risos)
											Este exagero torna-se uma mentira,
											são mentiras atrás de mentiras.
											Não queremos ouvir pessoas 
que sabemos que estão a mentir.
									","
											Sondan bir önceki, yedinin altıncısı,
											uydurmak, abartma.
											Aslında bunlar bazen dilimizin şeytanlarıdır.
											Örneğin, eğer gerçekten
											harika bir şey görürsem,
											onu nasıl anlatırım?
											(Gülüşmeler)
											Sonra tabii ki de abartma yalana dönüşüyor
											ve bize yalan söylediğini bildiğimiz
											birini dinlemek istemeyiz.
									","
											Zum sechsten Punkt von sieben:
											Ausschmückungen, Übertreibungen.
											Das erniedrigt manchmal unsere Sprache.
											Wenn ich etwas sehe,
											dass wirklich der Hammer ist,
											wie nenne ich es?
											[Gelächter]
											Aus dieser Übertreibung 
wird natürlich eine Lüge.
											Wir hören nicht gerne zu,
											wenn wir wissen,
dass wir belogen werden.
									",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
","
","
",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
											E, por fim, o dogmatismo,
											a confusão de factos com opiniões.
											Quando essas duas coisas se misturam,
											fazemos orelhas moucas.
											Bombardeiam-nos com as suas opiniões 
como se fossem verdades.
											É difícil ouvir isso.
									","
											Ve son olarak dogmalar,
											fikirlerin gerçekler ile karıştırılması.
											Bu iki taraf birleştiği zaman,
											rüzgarın sesini dinliyorsunuz demektir.
											Bilirsiniz biri sizi fikirleri ile bombalıyor, sanki onlar doğruymuş gibi.
											Bunu dinlemek zordur.
									","
											Zu guter Letzt: Dogmatismus,
											das Verwechseln 
von Tatsachen und Meinungen.
											Wenn diese beiden Dinge verschmelzen,
											steht man im Gegenwind.
											Jemand bombardiert Sie mit Meinungen,
als ob es Tatsachen wären.
											Auch hier ist es schwierig zuzuhören.
									",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
","
","
",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
											Estes são os sete pecados mortais da fala.
											Acho que são coisas 
que precisamos de evitar.
											Mas há uma forma positiva de pensar nisto?
											Sim, há.
											Gostava de sugerir que 
há quatro pilares realmente poderosos
											em que podemos basear-nos,
											se queremos que o nossos discurso 
seja poderoso e faça diferença no mundo.
											Felizmente, estas coisas 
invocam uma palavra.
											A palavra é ""hail"" [granizo/salve!], 
e tem uma ótima definição.
											Não estou a falar daquilo
que cai do céu e nos acerta na cabeça.
											Estou a falar da definição:
											saudar ou aclamar entusiasticamente,
											que é como as nossas palavras 
serão recebidas
											se nos basearmos nestas quatro coisas.
									","
											İşte buradalar, konuşmanın yedi ölümcül günahı.
											Bunlar sanırım uzak durmamız gereken şeyler.
											Ama bunun hakkında olumlu düşünmenin bir yolu var mı?
											Evet. var.
											Size şu çok güçlü 4 köşe taşını,
											temeli önermek istiyorum ki
											eğer dünyayı değişterecek güçte bir
											konuşma yapabilmek istiyorsak
bunların üzerinde durabiliiz.
											Şansa bakın ki, bunlar şu kelime ile telafuz ediliyor.
											Kelime ""selam""(hail) ve tam olarak doğru tanımlama.
											Gökten düşüp kafanıza çarpan şeylerden
											bahsetmiyorum. (hail dolu anlamına da gelir)
											Ben sıcak coşkulu heyecanlı
											bir selamlamadan bahsediyorum ki
											eğer bu dört temel üzerinde durursanız
											söylediğimiz sözcükler anlaşılacaktır.
									","
											Das sind die 7 Todsünden der Rhetorik.
											Das sind Dinge, 
die wir vermeiden müssen.
											Aber kann man dieses Thema
auch positiv angehen?
											Ja.
											Ich behaupte,
											dass es vier mächtige Grundpfeiler gibt,
											Fundamente, auf die wir aufbauen können,
											sodass unsere Rede schlagkräftig ist 
und etwas verändert.
											Glücklicherweise 
ergeben sie ein Wort [im Englischen].
											Es lautet „Hail” und 
hat eine große Bedeutung.
											Ich rede nicht vom Hagel [engl. ""hail""],
											der einen am Kopf trifft.
											Ich meine damit,
											jemandem begeistert zuzustimmen,
											die Art, wie unsere Worte 
aufgenommen werden,
											wenn wir uns daran halten.
									",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
"
","
","
",How to speak so that people want to listen,Julian Treasure,9:58,"culture,sound,speech"
