en,de,tr,title,speaker,duration,tags
"
","
","
",A video game to cope with grief,Amy Green,10:34,"art,children,communication,cancer,collaboration,humanity,death,technology,gaming,life,parenting,TEDNYC"
"
											Two months ago, my kids and I
huddled around a cell phone
											watching the live stream
of the Game Awards,
											one of the video game
industry's biggest nights.
											They announced the nominees
for the Game for Impact,
											an award that's given
to a thought-provoking video game
											with a profound prosocial
message or meaning.
											They opened the envelope
											and they read the title of our video game.
											An award ...
											for impact.
											It was almost funny, actually,
											because I always thought
that winning an award like that
											would have this huge impact on my life,
											but I found that the opposite is true.
									","
											Vor zwei Monaten saßen meine
Kinder und ich vor einem Handy
											und schauten den Livestream
der Game Awards,
											eines der größten Events
der Computerspielbranche.
											Sie gaben die Kandidaten für die
Kategorie ""Game for Impact"" bekannt.
											Diesen Preis bekommen Spiele,
die zum Nachdenken anregen
											und eine starke prosoziale
Botschaft oder Bedeutung haben.
											Sie öffneten den Umschlag
											und lasen den Titel unseres Spiels vor.
											Ein Preis
											für eine große Wirkung.
											Es war fast lustig,
											denn ich dachte immer,
einen solchen Preis zu gewinnen,
											würde riesige Auswirkungen
auf mein Leben haben,
											aber eher das Gegenteil war der Fall.
									","
											İki ay önce, çocuklarımla cep
telefonu etrafında toplanmış,
											Game Awards'ın 
canlı yayınını izliyorduk.
											Video oyunları endüstrisi
için en önemli gecelerden biri.
											Etki Yapan Oyun Ödülü
adaylarını açıkladılar.
											Bu ödül, düşünmeye zorlayan,
											derin bir sosyal mesaj veya
anlam içeren oyunlar içindir.
											Zarfı açtılar
											ve bizim video oyunumuzun adını okudular.
											Etki yapan
											oyun ödülü.
											Bu neredeyse gülünçtü aslında,
											çünkü önceleri böyle bir ödül
kazanmanın hep hayatıma
											ne büyük bir etki yapacağını düşünürdüm
											ancak gerçek tam tersiydi.
									",A video game to cope with grief,Amy Green,10:34,"art,children,communication,cancer,collaboration,humanity,death,technology,gaming,life,parenting,TEDNYC"
"
","
","
",A video game to cope with grief,Amy Green,10:34,"art,children,communication,cancer,collaboration,humanity,death,technology,gaming,life,parenting,TEDNYC"
"
											The big nights,
											the accomplishments —
											they fade.
											But the hardest nights of my life
have stuck with me,
											impacting who I am
											and what I do.
									","
											Die großen Nächte,
											die hervorragenden Leistungen —
											sie verblassen.
											Aber die schwersten Nächte meines Lebens
sind mir in Erinnerung geblieben.
											Sie wirken sich darauf aus, wer ich bin
											und was ich tue.
									","
											Büyük geceler,
											büyük başarılar,
											hepsi solup gider.
											Ama hayatımın en zor gecesini
hiç unutmadım.
											Kişiliğime ve
											yaptığım işe etki eden şey.
									",A video game to cope with grief,Amy Green,10:34,"art,children,communication,cancer,collaboration,humanity,death,technology,gaming,life,parenting,TEDNYC"
"
","
","
",A video game to cope with grief,Amy Green,10:34,"art,children,communication,cancer,collaboration,humanity,death,technology,gaming,life,parenting,TEDNYC"
"
											In 2010, my third son, Joel, was diagnosed
with a rare and aggressive brain tumor.
											And before that year was finished,
											doctors sat my husband and I down
											and let us know
that his tumor had returned
											despite the most aggressive chemotherapy
and radiation that they could offer him.
											On that terrible night,
											after learning that Joel
had perhaps four months to live,
											I cuddled up with
my two older sons in bed —
											they were five and three at the time —
											and I never really knew
how much they understood,
											so I started telling them a bedtime story.
											I told them about this
very brave knight named Joel
											and his adventure fighting
a terrible dragon called cancer.
											Every night, I told them
more of the story,
											but I never let the story end.
											I was just building up a context
that they could understand
											and hoping that our prayers
would be answered
											and I would never
have to tell them that that knight,
											who had fought so bravely,
											was done fighting
											and could rest now, forever.
									","
											2010 wurde bei meinem dritten Sohn, Joel,
											ein seltener und aggressiver
Hirntumor festgestellt.
											Noch bevor das Jahr um war,
											sagten die Ärzte meinem Mann und mir,
											dass der Tumor zurückgekehrt war,
											trotz der aggressivsten Chemotherapie und
Bestrahlung, die sie ihm geben konnten.
											In dieser schrecklichen Nacht,
											nachdem ich erfuhr, dass Joel vielleicht
nur noch vier Monate zum Leben hatte,
											kuschelte ich mich mit meinen
zwei älteren Söhnen ins Bett.
											Sie waren damals fünf und drei,
											und ich wusste nie richtig,
wie viel sie verstanden.
											Also begann ich, ihnen eine
Gutenachtgeschichte zu erzählen.
											Ich erzählte ihnen von einem
sehr tapferen Ritter namens Joel
											und seinem Abenteuer, dem Kampf gegen
einen schrecklichen Drachen namens Krebs.
											Jede Nacht erzählte ich ihnen
mehr von der Geschichte,
											aber ließ das Ende immer offen.
											Ich wollte ihnen einen Bezug geben,
den sie verstehen konnten
											und hoffte, dass
unsere Gebete erhört wurden
											und ich ihnen nie erzählen
müsste, dass der Ritter,
											der so tapfer gekämpft hatte,
											nun seinen Kampf beendete
											und für immer ruhen konnte.
									","
											2010 yılında 3. oğlum Joel'e nadir ve
agresif seyirli beyin tümörü tanısı kondu.
											O yıl sona ermeden,
											doktorlar bana ve kocama
											ona uygulayabildikleri
maksimum kemoterapi
											ve radyasyon tedavisine rağmen 
tümörün yinelediğini söyledi.
											O berbat gecede,
											Joel'in tahmini dört ayı kaldığını
öğrendikten sonra,
											yatakta iki oğluma sarıldım.
											O zaman biri beş, diğeri üç yaşındaydı
											ve durumu anladıklarından
emin değildim.
											Bu yüzden onlara bir masal 
anlatmaya başladım.
											Onlara Joel adında çok cesur bir
şövalyenin maceraya atıldığını
											ve kanser adında korkunç bir
ejderha ile savaştığını anlattım.
											Onlara her gece aynı masalı
anlatmaya devam ettim
											ama masalın sonuna hiç gelmedim.
											Onların anlayabilecekleri 
bir şekle sokmak istiyordum.
											Dualarımızın karşılık görmesini ve
											o şövalyenin çok kahramanca 
savaştığını ancak
											bunun son savaşı olduğunu ve artık
											sonsuza kadar huzur bulduğunu
											anlatmak zorunda kalmamayı
ümit ediyordum.
									",A video game to cope with grief,Amy Green,10:34,"art,children,communication,cancer,collaboration,humanity,death,technology,gaming,life,parenting,TEDNYC"
"
","
","
",A video game to cope with grief,Amy Green,10:34,"art,children,communication,cancer,collaboration,humanity,death,technology,gaming,life,parenting,TEDNYC"
"
											Fortunately, I never did have to
finish that bedtime story.
											My children outgrew it.
											Joel responded better than anyone expected
to palliative treatment,
											and so instead of months,
											we spent years learning how to love
our dying child with all of our hearts.
											Learning to recognize
that shameful feeling
											of holding back just a little love
											to try to spare ourselves
just a little pain
											somewhere further down the road.
											We pushed past that self-preservation
											because Joel was worth loving
even if that love could crush us.
											And that lesson of intense
vulnerability has changed me ...
											more than any award ever could.
									","
											Glücklicherweise musste ich
die Geschichte nie beenden.
											Meine Kinder waren alt genug geworden.
											Die palliative Behandlung schlug
bei Joel besser als erwartet an,
											und so hatten wir anstatt
einiger Monate noch Jahre Zeit,
											unser sterbendes Kind
von ganzem Herzen zu lieben.
											Wir lernten das beschämende Gefühl kennen,
											ein klein wenig Liebe zurückzuhalten,
											um sich ein klein wenig Schmerz
											für die Zukunft zu ersparen.
											Wir überwanden diesen Selbstschutz,
											denn Joel war es wert, geliebt zu werden,
											auch wenn diese Liebe
uns zerschmettern könnte.
											Diese Lektion von absoluter
Verwundbarkeit hat mich verändert,
											mehr als jeder Preis es jemals könnte.
									","
											Çok şükür, o masalı hiç
bitirmek zorunda kalmadım.
											Çocuklar bununla büyüdü.
											Joel palyatif tedavilere herkesin
beklediğinin ötesinde karşılık vermişti
											ve birkaç ay yerine
											ölmekte olan çocuğumuzu bütün

											kalbimizle sevmeyi 
öğreten yıllar geçirdik.
											Bu dönemde, birbirimize
azıcık acı vermemek uğruna
											sevgimizi azıcık saklamanın
											hissettirdiği utancı
											kabullenmeyi öğrendik.
											Nefsimizi korumayı bir kenara ittik,
											çünkü sevgi bizi mahvedecek olsa bile
Joel bu sevgiye değerdi.
											Ve yaşadığım bu derin
çaresizlik beni değiştirdi,
											hiçbir ödülün yapamayacağı kadar.
									",A video game to cope with grief,Amy Green,10:34,"art,children,communication,cancer,collaboration,humanity,death,technology,gaming,life,parenting,TEDNYC"
"
","
","
",A video game to cope with grief,Amy Green,10:34,"art,children,communication,cancer,collaboration,humanity,death,technology,gaming,life,parenting,TEDNYC"
"
											We started living like Joel could live,
											and we began developing a video game
called ""That Dragon, Cancer.""
											It was the story of Joel.
											It was the story of hope
in the shadow of death.
											It was the story of faith
											and doubt,
											and the realization that a wrestle
with doubt is a part of faith —
											maybe the biggest part of it.
											It was a story that began as a miracle
											and ended as a memorial.
									","
											Wir lebten so, als ob Joel
überleben könnte.
											Wir begannen, ein
Computerspiel mit dem Namen
											""That Dragon, Cancer""
[Dieser Drache, Krebs] zu entwickeln.
											Es war Joels Geschichte.
											Es war eine Geschichte der Hoffnung 
im Schatten des Todes.
											Es war eine Geschichte des Glaubens
											und Zweifels,
											und der Erkenntnis, dass das Ringen
mit Zweifeln Teil des Glaubens ist,
											vielleicht sogar der größte Teil.
											Es war eine Geschichte,
die mit einem Wunder begann
											und mit einem Grabmal endete.
									","
											Joel yaşayabilecekmiş gibi
yaşamaya başladık
											ve ""That Dragon, Cancer"" 
(O Ejderha Kanser)
											adında bir video oyunu yazmaya başladık.
											Bu, Joel'in hikâyesiydi.
											Ölümün gölgesindeki umudun hikâyesiydi.
											İnanç ve şüphenin
											hikâyesiydi
											ve şüpheyle mücadele etmenin
inancın bir parçası olduğunu anlamanın —
											Belki de en büyük parçası.
											Bu bir mucize ile başlayan ve
											anma töreniyle biten bir hikâye.
									",A video game to cope with grief,Amy Green,10:34,"art,children,communication,cancer,collaboration,humanity,death,technology,gaming,life,parenting,TEDNYC"
