en,tr,pt,fr,title,speaker,duration,tags
"
","
","
","
",How we can eliminate child sexual abuse material from the internet,Julie Cordua,13:50,"sexual violence,activism,children,Internet,society,social change,software,law,government,trafficking,crime,Audacious Project"
"
											[This talk contains mature content]
									","
											[Bu konuşma yetişkin içeriklidir]
									","
											[Esta palestra contém
conteúdo para adultos]
									","
											[Contient du contenu destiné aux adultes]
									",How we can eliminate child sexual abuse material from the internet,Julie Cordua,13:50,"sexual violence,activism,children,Internet,society,social change,software,law,government,trafficking,crime,Audacious Project"
"
","
","
","
",How we can eliminate child sexual abuse material from the internet,Julie Cordua,13:50,"sexual violence,activism,children,Internet,society,social change,software,law,government,trafficking,crime,Audacious Project"
"
											Five years ago,
											I received a phone call
that would change my life.
											I remember so vividly that day.
											It was about this time of year,
											and I was sitting in my office.
											I remember the sun
streaming through the window.
											And my phone rang.
											And I picked it up,
											and it was two federal agents,
asking for my help
											in identifying a little girl
											featured in hundreds of child
sexual abuse images they had found online.
											They had just started working the case,
											but what they knew
											was that her abuse had been broadcast
to the world for years
											on dark web sites dedicated
to the sexual abuse of children.
											And her abuser was incredibly
technologically sophisticated:
											new images and new videos every few weeks,
											but very few clues as to who she was
											or where she was.
									","
											Beş yıl önce,
											hayatımı değiştiren bir telefon aldım.
											O günü çok berrak hatırlıyorum.
											Yılın bu zamanlarıydı
											ve ofisimde oturuyordum.
											Güneşin pencerenin içinden 
geçtiğini hatırlıyorum.
											Telefonum çaldı,
											cevapladım.
											İki federal ajan yardımımı istiyordu.
											İnternette buldukları, yüzlerce çocuğun 
cinsel istismar fotoğrafları içindeki
											küçük bir kızı teşhis etmeliydim.
											Dava üzerinde çalışmaya 
yeni başlamışlardı.
											Fakat biliyorlardı ki
											kızın istismarı, çocukların
cinsel istismarına adanmış
											karanlık ağ sitelerinde 
yıllarca yayınlanmıştı.
											İstismarcısı teknolojik olarak 
oldukça sofistikeydi:
											Her birkaç haftada 
yeni fotoğraf ve videolar vardı
											ama kızın kim olduğu
											ya da nerede olduğuna dair çok az ipucu.
									","
											Há cinco anos,
											recebi uma chamada
que ia alterar a minha vida.
											Lembro-me desse dia
como se fosse hoje.
											Foi mais ou menos
nesta atura do ano.
											Eu estava no meu escritório.
											Recordo que o sol
brilhava através da janela.
											O telefone tocou.
											Atendi
											e eram dois agentes federais
a pedir-me ajuda
											para identificarem uma rapariguinha
											encontrada em centenas de imagens
de abuso sexual de menores
											que tinham encontrado na Internet.
											Tinham começado a trabalhar nesse caso
											mas só sabiam
											que o abuso tinha sido transmitido
ao mundo, durante anos,
											em sítios da ""darknet"" dedicados
ao abuso sexual de menores.
											O agressor era extremamente
sofisticado tecnologicamente:
											novas imagens e novos vídeos
quase todas as semanas
											mas muito poucas pistas
para se saber quem ela era
											ou onde se encontrava.
									","
											Il y a cinq ans,
											J'ai reçu un appel qui allait 
changer ma vie.
											Je me rappelle très bien cette journée.
											C'était à cette période de l'année,
											j'étais dans mon bureau.
											Le soleil entrait par la fenêtre.
											Mon téléphone a sonné.
											J'ai décroché,
											c'était deux agents fédéraux,
me demandant de les aider
											à identifier une petite fille
											dans des centaines d'images d'abus
sexuels d'enfants trouvées en ligne.
											Ils venaient de commencer
à travailler sur l'affaire,
											mais ils savaient
											que ses abus avaient été diffusés 
mondialement pendant des années
											sur des sites du dark web dédiés
aux abus sexuels sur des enfants.
											Et son agresseur était incroyablement
sophistiqué sur le plan technologique :
											de nouvelles images et vidéos
toutes les semaines,
											mais très peu d'informations
sur qui elle était
											ou sa localisation.
									",How we can eliminate child sexual abuse material from the internet,Julie Cordua,13:50,"sexual violence,activism,children,Internet,society,social change,software,law,government,trafficking,crime,Audacious Project"
"
","
","
","
",How we can eliminate child sexual abuse material from the internet,Julie Cordua,13:50,"sexual violence,activism,children,Internet,society,social change,software,law,government,trafficking,crime,Audacious Project"
"
											And so they called us,
											because they had heard
we were a new nonprofit
											building technology
to fight child sexual abuse.
											But we were only two years old,
											and we had only worked
on child sex trafficking.
											And I had to tell them
											we had nothing.
											We had nothing that could
help them stop this abuse.
											It took those agents another year
											to ultimately find that child.
											And by the time she was rescued,
											hundreds of images and videos
documenting her rape had gone viral,
											from the dark web
											to peer-to-peer networks,
private chat rooms
											and to the websites you and I use
											every single day.
											And today, as she struggles to recover,
											she lives with the fact
that thousands around the world
											continue to watch her abuse.
									","
											Böylece bizi aradılar.
											Çocuk istismarıyla savaşmaya adanmış,
											kâr amacı gütmeyen bir teknoloji 
geliştirdiğimizi duymuşlardı.
											Oysa biz henüz ikinci yılımızdaydık
											ve sadece çocuk seks ticareti
üzerine çalışmıştık.
											Onlara, hiçbir şeyimiz olmadığını
											söylemek zorunda kaldım.
											Bu istismarı durdurmaya yarayacak 
hiçbir şeyimiz yoktu.
											Bu ajanların, sonunda çocuğu bulmaları
											bir yıl sürdü.
											Kurtarıldığı sırada,
											tecavüzünü içeren 
yüzlerce fotoğraf ve video yayılmıştı.
											Karanlık ağ,
											bağlantılı internet ağı, 
özel sohbet odaları,
											ayrıca sizin ve benim 
her gün kullandığımız
											internet sitelerinde.
											Şu anda tedavisi için mücadele ederken
											dünyadaki binlerce insanın,
											istismarını izlemeye devam ettiği 
gerçeğiyle yaşıyor.
									","
											Por isso, contactaram-nos
											porque sabiam que éramos
uma organização sem fins lucrativos,
											que criávamos tecnologia para combater
o abuso sexual de menores.
											Mas só existíamos há dois anos
											e só tínhamos trabalhado
com tráfico sexual de menores.
											Tive de lhes dizer
que não tínhamos nada.
											Não tínhamos nada que pudesse
ajudá-los a pôr fim àquele abuso.
											Aqueles agentes demoraram mais um ano
											até conseguirem encontrar
aquela criança.
											Na altura em que ela foi resgatada,
											centenas de imagens e de vídeos
											exibindo a violação dela
tinham-se tornado virais,
											passando da ""dark web""
											para redes de cúmplices,
salas de conversa privadas
											e para ""websites"" que todos usamos
											todos os dias.
											Hoje, enquanto se debate
para recuperar,
											ela vive sabendo que milhares
de pessoas, no mundo inteiro,
											continuam a assistir à sua violação.
									","
											Ils nous ont appelés,
											car nous étions une association
											créant des technologies
pour lutter contre les abus d'enfants.
											Mais nous n'existions que depuis deux ans,
											et nous n'avions travaillé
que sur le trafic d'enfants.
											Et j'ai dû leur dire
											que nous n'avions rien.
											Nous n'avions rien pour les aider
à mettre fin à cet abus.
											Il leur a fallu un an de plus
											pour enfin trouver cette enfant.
											Lorsqu'elle a été sauvée,
											des centaines d'images et vidéos
de son viol avaient circulé,
											du dark web
											vers des réseaux peer-to-peer, 
des salons de chat privés
											jusqu'aux sites Web
que vous et moi consultons chaque jour.
											Elle doit lutter pour s'en remettre,
											sachant que des milliers
de personnes dans le monde
											continuent de regarder son viol.
									",How we can eliminate child sexual abuse material from the internet,Julie Cordua,13:50,"sexual violence,activism,children,Internet,society,social change,software,law,government,trafficking,crime,Audacious Project"
"
","
","
","
",How we can eliminate child sexual abuse material from the internet,Julie Cordua,13:50,"sexual violence,activism,children,Internet,society,social change,software,law,government,trafficking,crime,Audacious Project"
"
											I have come to learn
in the last five years
											that this case is far from unique.
											How did we get here as a society?
											In the late 1980s, child pornography —
											or what it actually is,
child sexual abuse material —
											was nearly eliminated.
											New laws and increased prosecutions
made it simply too risky
											to trade it through the mail.
									","
											Son beş yılda öğrendim ki
											bu dava benzersiz olmaktan çok çok uzakta.
											Toplum olarak bu noktaya nasıl geldik?
											1980'lerin sonunda, çocuk pornografisi —
											ki bu aslında çocuk
cinsel istismarı materyali —
											neredeyse ortadan kaldırıldı.
											Yeni kanunlar ve artan takipler
											posta yoluyla takasını 
fazlasıyla tehlikeli yaptı.
									","
											Vim a saber, nos últimos cinco anos,
											que este caso está longe de ser único.
											Como é que a nossa sociedade
chegou a este ponto?
											No final dos anos 80,
a pornografia infantil
											— ou, o que é realmente
material de abuso sexual de menores —
											foi quase eliminada.
											Novas leis e o aumento de processos
tornaram-na demasiado arriscada
											para ser divulgada por correio.
									","
											Ces cinq dernières années,
j'ai pu apprendre
											que ce cas était loin d'être le seul.
											Comment notre société
en est-elle arrivée là ?
											Dans la fin des années 80,
la pédopornographie -
											ou plutôt, l'exploitation
sexuelle des enfants,
											a été presque éliminée.
											Les échanges par la poste étaient 
devenus trop risqués,
											suite aux nouvelles lois,
et à l'augmentation des poursuites.
									",How we can eliminate child sexual abuse material from the internet,Julie Cordua,13:50,"sexual violence,activism,children,Internet,society,social change,software,law,government,trafficking,crime,Audacious Project"
"
","
","
","
",How we can eliminate child sexual abuse material from the internet,Julie Cordua,13:50,"sexual violence,activism,children,Internet,society,social change,software,law,government,trafficking,crime,Audacious Project"
"
											And then came the internet,
and the market exploded.
											The amount of content in circulation today
											is massive and growing.
											This is a truly global problem,
											but if we just look at the US:
											in the US alone last year,
											more than 45 million images and videos
of child sexual abuse material
											were reported to the National Center
for Missing and Exploited Children,
											and that is nearly double
the amount the year prior.
											And the details behind these numbers
are hard to contemplate,
											with more than 60 percent of the images
featuring children younger than 12,
											and most of them including
extreme acts of sexual violence.
											Abusers are cheered on in chat rooms
dedicated to the abuse of children,
											where they gain rank and notoriety
											with more abuse and more victims.
											In this market,
											the currency has become
the content itself.
									","
											Sonra internet geldi ve piyasa patladı.
											Günümüzde, dolaşımdaki içerik miktarı
											oldukça büyük ve büyümeye devam ediyor.
											Bu gerçekten de evrensel bir problem.
											Ama sadece ABD'ye bakacak olursak
											geçen yıl sadece ABD'de
											çocuk cinsel istismarına dayalı 
45 milyondan fazla fotoğraf ve video
											Kayıp ve İstismara Uğramış Çocuklar 
Ulusal Merkezi'ne ihbar edildi.
											Bu, önceki yıldakinin neredeyse iki katı.
											Bu sayıların ardındaki detayların 
düşünülmesi çok zor.
											Fotoğrafların yüzde altmışından 
fazlasında 12 yaşından küçük çocuklar var.
											Ayrıca birçoğu cinsel istismarın 
oldukça şiddetli eylemlerini içeriyor.
											Çocuk istismarına adanan 
sohbet odalarında
											istismarcılar daha fazla 
istismar ve kurbanla,
											rütbe ve şöhret kazandılar.
											Bu piyasada
											para, içeriğin kendisi hâline geldi.
									","
											Depois, apareceu a Internet
e o mercado explodiu.
											A quantidade de conteúdos
que circulam atualmente
											é enorme e está a aumentar.
											É, de facto, um problema mundial
											mas se olharmos só para os EUA,
											nos EUA, apenas no ano passado,
											mais de 45 milhões de imagens e vídeos
de materiais de abuso sexual de menores
											foram denunciados ao Centro Nacional
de Crianças Desaparecidas e Exploradas
											e isso é quase o dobro
do número do ano anterior.
											Os pormenores por detrás destes números
são difíceis de contemplar.
											Mais de 60% das imagens apresentam
crianças com menos de 12 anos,
											a maioria das quais incluindo
atos extremos de violência sexual.
											Os agressores são encorajados
											nas salas de conversa
dedicados ao abuso das crianças,
											onde ganham estatuto e notoriedade
											com mais abusos e mais vítimas.
											Neste mercado,
											a moeda é o próprio conteúdo.
									","
											L'arrivée d'internet a permis
l'explosion du marché
											La quantité de contenu
qui circule aujourd'hui
											est massive et en pleine croissance.
											C'est un problème mondial,
											mais en s'intéressant juste aux USA :
											rien qu'aux USA l'année dernière,
											plus de 45 millions d'images
et vidéos pédopornographiques
											ont été signalées au National Center
for Missing and Exploited Children,
											c'est presque le double
de l'année précédente.
											La réalité derrière ces chiffres
est dure à imaginer.
											Plus de 60% des images
représentent des moins de 12 ans,
											la plupart d'entre eux incluent des 
actes de violence sexuelle extrêmes.
											Les agresseurs sont encouragés dans les
chats dédiés à la maltraitance d'enfants,
											où ils gagnent en rang et en notoriété
											faisant plus de victimes.
											Dans ce marché,
											la monnaie est le contenu.
									",How we can eliminate child sexual abuse material from the internet,Julie Cordua,13:50,"sexual violence,activism,children,Internet,society,social change,software,law,government,trafficking,crime,Audacious Project"
