es,pt,en,title,speaker,duration,tags
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Me gustaría hablarles de mis chicos.
											Sé que todo el mundo piensa
que sus chicos son extraordinarios,
											y los más bellos que jamás hayan existido.
											Pero los míos lo son realmente.
									","
											Quero falar-vos das minhas crianças.
											Sei que todos pensam que os seus filhos
são as crianças mais fantásticas,
											as mais belas de todas.
											Mas as minhas são mesmo.
									","
											I want to talk to you about my kids.
											Now, I know everyone thinks
that their kid is the most fantastic,
											the most beautiful kid that ever lived.
											But mine really are.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											(Risas)
									","
											(Risos)
									","
											(Laughter)
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Tengo 696 niños
											y son los más inteligentes,
creativos y originales,
											brillantes y fuertes que jamás conocerán.
									","
											Eu tenho 696 crianças
											e elas são as crianças mais inteligentes,
mais inventivas, mais inovadoras,
											mais brilhantes e mais poderosas
que jamais conhecerão.
									","
											I have 696 kids,
											and they are the most intelligent,
inventive, innovative,
											brilliant and powerful kids
that you'll ever meet.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Todos y cada uno de mis alumnos que
tuve el honor de enseñar son mis chicos.
											Sin embargo, debido a que sus
verdaderos padres no son ricos
											y, además, a menudo de color,
											apenas llegarán a ver en esos chicos
											el potencial que yo veo en ellos.
											Porque lo que yo veo
en ellos es a mí misma
											o lo que yo hubiera llegado a ser.
									","
											Cada estudante que tive a honra
de ensinar na minha aula é meu filho.
											Mas, como os seus pais ""verdadeiros""
não são ricos,
											e como, é o que eu digo,
a maior parte é de cor,
											raramente veem neles mesmos
											as coisas espantosas
que eu vejo.
											Porque o que eu vejo neles
sou eu mesma
											— ou o que eu teria sido.
									","
											Any student I've had the honor of teaching
in my classroom is my kid.
											However, because their ""real""
parents aren't rich
											and, I argue, because they
are mostly of color,
											they will seldom get to see in themselves
											the awesomeness that I see in them.
											Because what I see in them is myself —
											or what would have been myself.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Soy hija de padres que trabajaron duro,
afroestadounidenses con títulos
											universitarios que eligieron 
la carrera de funcionarios públicos:
											mi padre es predicador
y mi madre educadora.
											La riqueza nunca fue
nuestra principal ambición.
											Debido a esta falta de riqueza,
											vivimos en un barrio
que carecía de riqueza
											y atendí un sistema educativo
que carecía de riqueza también.
											Por suerte, sin embargo,
gocé de buena educación
											a través de un programa
de integración voluntario
											que escolarizaba a los niños negros
y mestizos de los barrios pobres
											en instituciones para los ricos
y para los blancos.
									","
											Sou filha de dois afro-americanos,
											com cursos universitários,
trabalhadores esforçados
											que escolheram seguir carreira
no serviço público:
											o meu pai, como ministro,
a minha mãe, como educadora.
											A riqueza nunca foi
a ambição prioritária em nossa casa.
											Por causa da falta dessa riqueza,
											vivíamos num bairro
que não dispunha de riquezas,
											e tínhamos um sistema escolar
que não dispunha de riqueza.
											Mas, felizmente, ganhámos
o ""jackpot"" educativo
											num programa voluntário
de mistura étnica
											que envia crianças do centro da cidade
— negros e mestiços —
											para as escolas dos subúrbios
— ricos e brancos.
									","
											I am the daughter of two hardworking,
											college-educated, African-American parents
											who chose careers as public servants:
											my father, a minister;
my mother, an educator.
											Wealth was never the primary
ambition in our house.
											Because of this lack of wealth,
											we lived in a neighborhood
that lacked wealth,
											and henceforth a school system
that lacked wealth.
											Luckily, however, we struck
the educational jackpot
											in a voluntary desegregation program
											that buses inner-city kids —
black and brown —
											out to suburban schools — rich and white.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
