en,pt,es,tr,title,speaker,duration,tags
"
","
","
","
",How a video game might help us build better cities,Karoliina Korppoo,8:39,"design,infrastructure,future,cities,public spaces,society,software,play,urban planning"
"
											We humans are becoming an urban species,
											so cities, they are our natural habitat.
											That is where we live.
											In 2014, over 54 percent
											of the world population
											was living in cities,
											and I can bet you
											that so many of these people have thought
											of how they would do things differently,
											like if I only had the tools
											to change things in my city,
											what would I do?
											What would my dream city be like?
											And these tools,
											this is just what we gave them.
											Two years ago, my team and I,
											we released a game,
											""Cities: Skylines.""
											It is a game about building cities.
									","
											Nós, humanos, estamos a tornar-nos
uma espécie urbana,
											pelo que as cidades são o nosso
""habitat"" natural.
											É onde vivemos.
											Em 2014, mais de 54%
											da população mundial
											vivia em cidades,
											e posso apostar
											que muitas destas pessoas já pensaram
											em como poderiam fazer as coisas
de maneira diferente,
											por exemplo, se tivesse
as ferramentas certas
											para mudar as coisas na minha cidade,
											o que faria?
											Como seria a minha cidade ideal?
											E estas ferramentas
											foi o que nós demos.
											Há dois anos, a minha equipa e eu
											lançámos um jogo:
											""Cidades: Horizontes"".
											É um jogo sobre a construção de cidades.
									","
											Los humanos nos estamos convirtiendo
en especies urbanas,
											así que las ciudades
son nuestro hábitat natural,
											en ellas vivimos.
											En el 2014 más del 54 %
de la población mundial
											vivía en ciudades,
											y puedo apostarles
											que muchas de estas personas 
han pensado en qué harían diferente.
											Es decir, si yo tuviera las herramientas
											para cambiar las cosas en mi ciudad,
											¿qué haría yo?
											¿Cómo sería la ciudad de mis sueños?
											Pues, esta herramienta
es la que nosotros les ofrecemos.
											Hace dos años mi equipo y yo
lanzamos un videojuego,
											""Cities: Sylines"".
											Es un juego para construir ciudades.
									","
											Biz insanlar
şehirli varlıklar olmaya başladık,
											yani şehirler artık
bizim doğal yaşam alanımız.
											Bu yerlerde yaşıyoruz.
											2014'te dünya nüfusunun
											yüzde 54'ünden fazlası
											şehirlerde yaşıyordu.
											Ve sizi temin ederim ki
											insanların çoğu bazı şeyleri
											nasıl daha farklı kılabilecekleri
hakkında düşünmüştür.
											Elimde gerekli araçlar olsa
											yaşadığım şehirde neleri değiştirirdim
											sorusunu birçok kişi sormuştur.
											Hayallerimdeki şehir nasıl olurdu?
											Ve bu araçlar,
											yalnızca bizim onlara verdiğimiz araçlar.
											İki yıl önce ekibimle birlikte
											bir oyun geliştirdik.
											""Cities:Skylines""
											Şehirler kurmakla ilgili bir oyun.
									",How a video game might help us build better cities,Karoliina Korppoo,8:39,"design,infrastructure,future,cities,public spaces,society,software,play,urban planning"
"
","
","
","
",How a video game might help us build better cities,Karoliina Korppoo,8:39,"design,infrastructure,future,cities,public spaces,society,software,play,urban planning"
"
											So I have always been
interested in cities as systems.
											It's something that I find
immensely interesting.
											But what I didn't understand
											was that I am not alone in this.
											People love cities.
											They are interested. They have ideas.
											The game was an instant hit.
											So far, over three and a half
million people have played it.
									","
											Eu sempre tive interesse
em cidades enquanto sistemas.
											É algo que acho muito interessante.
											Mas o que não conseguia entender
											é que não estava sozinha.
											As pessoas amam cidades.
											Têm interesse nelas.
Têm ideias.
											O jogo foi um sucesso instantâneo.
											Até agora,
											mais de 3,5 milhões de pessoas
já o jogaram.
									","
											Siempre he estado interesada
en las ciudades como sistemas.
											Eso es algo que encuentro
inmensamente interesante.
											Pero lo que no imaginé
											es que no estaba sola en esto.
											Las personas aman las ciudades,
											les interesan, tienen ideas.
											El juego fue un éxito instantáneo.
											Hasta ahora más de tres millones
y medio de personas lo han jugado.
									","
											Sistemli şehirler 
her zaman ilgimi çekmiştir.
											Onları son derece ilginç buluyorum.
											Ancak zamanında anlayamadığım şey
											bu konuda yalnız olmadığımdı.
											İnsanlar şehirleri severler.
											Buna ilgililer ve fikir sahibiler.
											Oyun çok büyük bir patlama yaptı.
											Şimdiye kadar, üç buçuk milyondan
fazla insan oyunu oynadı.
									",How a video game might help us build better cities,Karoliina Korppoo,8:39,"design,infrastructure,future,cities,public spaces,society,software,play,urban planning"
"
","
","
","
",How a video game might help us build better cities,Karoliina Korppoo,8:39,"design,infrastructure,future,cities,public spaces,society,software,play,urban planning"
"
											And it's not just about playing.
											We also have really awesome
sharing systems.
											So people play, they create cities
											and then they are sharing these creations,
											showing off what they have made.
											And what I will show you
											is some of these cities
											created by the players.
									","
											E o importante não é só jogar.
											Também tivemos
partilhas fantásticas.
											As pessoas jogam, criam cidades
											e, depois, partilham as suas criações,
											demonstrando o que conseguiram fazer.
											E o que vos vou mostrar
											são algumas dessas cidades
											criadas pelos jogadores.
									","
											Y no se trata solo de jugar,
											también cuenta con impresionantes
sistemas para compartir.
											Las personas juegan, crean ciudades
y luego comparten sus creaciones,
											mostrando lo que han hecho.
											Y ahora les mostraré
algunas de estas ciudades
											creadas por los jugadores;
									","
											Bu, yalnızca oyun oynamaktan ibaret değil.
											Ayrıca gerçekten harika paylaşım
sistemlerimiz mevcut.
											İnsanlar oynuyor, şehirler oluşturuyor
											ve oluşturdukları bu şehirleri paylaşarak
											ne yaptıklarını gösteriyorlar.
											Şimdi size göstereceklerim
											oyuncular tarafından oluşturulan
											birkaç şehir.
									",How a video game might help us build better cities,Karoliina Korppoo,8:39,"design,infrastructure,future,cities,public spaces,society,software,play,urban planning"
"
","
","
","
",How a video game might help us build better cities,Karoliina Korppoo,8:39,"design,infrastructure,future,cities,public spaces,society,software,play,urban planning"
"
											So the game is about self-expression,
											creativity,
											not just overcoming the challenges
posed by the simulation.
											It is about showing
what your cities look like.
									","
											Este jogo é sobre a autoexpressão,
											criatividade,
											não apenas a superação de desafios
impostos pela simulação.
											É sobre mostrar
como são as vossas cidades.
									","
											y verán que el juego
trata sobre la autoexpresión,
											la creatividad,
											no solo sobre superar los desafíos
planteados por la simulación,
											trata sobre mostrar
cómo lucirían sus ciudades.
									","
											Oyun, sadece simülasyonun oluşturduğu 
zorlukların üstesinden gelmek
											ile ilgili değil,
aynı zamanda yaratıcılık
											ve kendini ifade etmekle de ilgili.
											Sizin şehirlerinizin nasıl göründüğünü
göstermenizle ilgili.
									",How a video game might help us build better cities,Karoliina Korppoo,8:39,"design,infrastructure,future,cities,public spaces,society,software,play,urban planning"
"
","
","
","
",How a video game might help us build better cities,Karoliina Korppoo,8:39,"design,infrastructure,future,cities,public spaces,society,software,play,urban planning"
"
											So I have a couple of videos.
											These are from YouTube.
											And these are some of the most
interesting city designs I have seen.
											So they are all different,
											and I hope you like all of these.
									","
											Então, tenho dois vídeos.
											Foram retirados do YouTube.
											E eles mostram alguns dos desenhos
mais interessantes que já vi.
											São totalmente diferentes
											e eu espero que gostem.
									","
											Así que tengo un par de videos,
son de YouTube.
											Y estos son algunos de los diseños
de ciudades más interesantes que he visto.
											Todos son diferentes,
y espero que les guste todos.
									","
											Birkaç videom var.
											Bunlar YouTube'tan.
											Bu şehirler, şimdiye kadar gördüğüm
en ilginç tasarımlara sahip.
											Hepsi birbirinden farklı
											ve umarım hepsinden hoşlanırsınız.
									",How a video game might help us build better cities,Karoliina Korppoo,8:39,"design,infrastructure,future,cities,public spaces,society,software,play,urban planning"
