fr,tr,de,es,title,speaker,duration,tags
"
","
","
","
",Play! Experiment! Discover!,Kary Mullis,29:32,"DNA,biology,curiosity,history,microbiology,science,technology"
"
											Je vais commencer par parler du 17ème siècle.
											J'espère ne vexer personne.
									","
											Sadece 17. yuzyil hakkinda konusmaya baslayacagim.
											Umarim hickimse konusmaya bu sekilde baslamami hakaret olarak algilamaz.
									","
											Ich fange einfach an, über das 17. Jahrhundert zu sprechen.
											Ich hoffe, das stört niemanden.
									","
											Empezaré hablando sobre el siglo 17.
											Espero que nadie lo encuentre ofensivo.
									",Play! Experiment! Discover!,Kary Mullis,29:32,"DNA,biology,curiosity,history,microbiology,science,technology"
"
","
","
","
",Play! Experiment! Discover!,Kary Mullis,29:32,"DNA,biology,curiosity,history,microbiology,science,technology"
"
											Vous savez, après que j'aie inventé la PCR (RCP)
											J'ai eu besoin de changement.
											Et je suis allé à La Jolla et j'ai appris à surfer.
											Et j'ai commencé à vivre là-bas sur la plage pendant une longue période.
											Et quand les surfeurs sont là à attendre
											les vagues,
											vous vous demandez sans doute, si vous n'avez jamais été là-bas, que font-ils?
											Vous savez, parfois il y a une pause de 10 - 15 minutes là-bas
											où vous attendez qu'une vague arrive.
											En général, ils parlent du 17ème siècle.
											Vous savez, ils ont vraiment une mauvaise réputation dans le monde.
											Les gens pensent qu'ils sont un peu limités.
											Un jour, quelqu'un m'a suggéré de lire ce livre.
											Il s'intitulait -
											Il s'intitulait ""La Pompe à Air""
											ou quelque chose comme ""Léviathan et la pompe à air.""
											C'était un vrai livre étrange sur le 17ème siècle.
											Et j'ai réalisé que les racines
											de ma façon de penser
											n'étaient que le seul moyen naturel de réfléchir aux choses.
											Vous savez, je suis né en pensant aux choses de cette façon,
											et j'avais toujours été un petit scientifique.
											Et quand je voulais découvrir quelque chose,
											j'utilisais des méthodes scientifiques. Je n'étais pas vraiment surpris,
											quand on m'a dit la première fois comment -
											comment on était censé faire de la science,
											parce que j'avais déjà fait ça pour le plaisir.
											Mais il ne m'était pas venu à l'esprit
											qu'il avait fallu l'inventer
											et qu'on l'avait inventé
											il y a seulement 350 ans.
											Vous savez, c'était -
											cela s'est passé en Angleterre, en Allemagne, et en Italie
											quasiment en même temps.
											Et l'histoire de cette invention,
											selon moi, était vraiment fascinante.
									","
											Ben — sizinde bildiginiz gibi, PCR'i icat ettikten sonra
											Benim bir nevi degisiklige ihtiyacim vardi.
											Ve La Jolla kentine tasindim ve sorf yapmayi ogrendim.
											Ve uzun bir sure icin orada, sahilde, yasamaya basladim.
											Ve sorf yapanlar disarida
											dalgalar icin beklerken,
											daha once orada bulunmadiysaniz, muhtemelen bekleyenlerin ne yaptiklarini merak edersiniz.
											Tahmin edersiniz, bazen siz bir dalganin gelmesi icin beklerken
											10-15 dakikalik araliklar olur.
											Onlar (sorf yapanlar) genellikle 17. yuzyil hakkinda konusurlar.
											Bilirsiniz, onlar dunyada gercekten kotu darbeler alirlar.
											Insanlar, onlarin bir nevi kultursuz kimseler olduklarini dusunurler.
											Bir gun, bir kimse bana oneride bulundu, ben bu kitabi okudum.
											Kitabin adi —
											kitabin adi ""Hava Pompasi,""
											ya da ""Dev Gemi ve Hava Pompasi"" gibi bir seydi.
											17. yuzyil hakkinda garip bir kitapti.
											Ve birşeyler hakkında düşünmenin tek doğal yolunun
											Benim dusunce yolumun (koklerinin)
											kökleri üzerine düşünmek olduğunun farkına vardım.
											Bu — Bilirsiniz, Ben birşeyler hakkında bu yolla düşünmek için doğmuşum
											ve her zaman kucuk bir bilim adami gibi oldum.
											Ve bir seyi ortaya cikarmak (kesif) icin gittigimde,
											Bilimsel yontemleri kullanırdım.
											Bilirsiniz, bana ilk kez nasıl bilim
											yapmam gerektiğini anlattıklarında hiç şaşırmadım.
											Çünkü sadece zevk için ya da öylesine zaten (bilim) yapıyordum.
											Fakat olmadi —
											350 yıl önce icat edilmiş şeylerin
											icat edilmesi gerektigini
											hiç göremedim
											Bilirsiniz,
											Ingiltere Almanya, ve Italya yaklaşık
											herbiri ayni zamanda.
											Ve bu hikayeyi
											gerçekten büyüleyici buluyorum
									","
											Ich – als ich – nachdem ich die Polymerase-Kettenreaktion erfunden hatte,
											brauchte ich einen Szenenwechsel.
											Also bin ich nach La Jolla umgezogen und habe Surfen gelernt.
											Und ich fing an, lange Zeit am Strand zu leben.
											Wenn die Surfer draußen sind und
											auf Wellen warten,
											fragt ihr euch vermutlich – wenn ihr nie dort wart – was machen die eigentlich?
											Naja, manchmal gibt es eine 10-, 15-minütige Pause,
											wenn man darauf wartet, dass eine Welle hereinkommt.
											Die Surfer sprechen normalerweise über das 17. Jahrhundert.
											Sie haben wirklich einen schlechten Ruf in der Welt.
											Die Leute denken, sie sind irgendwie niveaulos.
											Eines Tages hat jemand vorgeschlagen, ich solle dieses Buch lesen.
											Es heißt –
											es heißt ""Die Luftpumpe""
											oder so etwas wie ""Leviathan und die Luftpumpe"".
											Es war ein wirklich seltsames Buch über das 17. Jahrhundert.
											Und ich habe die Wurzeln begriffen
											von dem, was ich immer
											für die einzige natürliche Art, über Dinge nachzudenken, hielt.
											Ich wurde mit dieser Denkweise geboren
											und war irgendwie schon immer ein Wissenschaftstyp.
											Wenn ich etwas herausfinden wollte,
											habe ich wissenschaftliche Methoden benutzt. Ich war nicht wirklich überrascht,
											als man mir das erste mal erklärt hat, wie –
											wie man Wissenschaft betreiben sollte,
											weil ich das schon immer gemacht hatte, nur so zum Spaß.
											Aber es – es ist mir nie in den Sinn gekommen,
											dass so etwas erfunden werden musste,
											und dass das erst vor 350 Jahren
											geschehen ist.
											Das war –
											es geschah in England, in Deutschland und Italien,
											überall irgendwie gleichzeitig.
											Und diese Geschichte
											fand ich wirklich faszinierend.
									","
											Yo — ustedes saben, cuando yo — después de haber inventado la PCR,
											Como que necesitaba un cambio.
											Y me trasladé a La Jolla y aprendí a surfear.
											Y empezé a vivir allí en la playa por un largo tiempo.
											Y cuando los surfistas esperan
											por las olas,
											ustedes probablemente se preguntan, si nunca han estado ahí, ¿qué hacen?
											Ustedes saben, a veces hay un intervalo de 10-, 15 minutos
											mientras esperas que llegue una ola.
											A menudo hablan sobre el siglo 17.
											Ustedes saben, a veces son malinterpretados por el mundo.
											La gente cree que son algo ignorantes.
											Un día, alguien sugirió que leyera este libro.
											Se llamaba —
											se llamaba "" La Bomba de Aire""
											o algo así como ""El Leviatán y la Bomba de Aire"".
											Era un libro verdaderamente extraño acerca del siglo 17.
											Y me dí cuenta, las raíces
											de la manera que yo como que creía
											que era la única manera natural de pensar sobre las cosas.
											Que — ustedes saben, yo nací pensando sobre las cosas de esa manera,
											y yo siempre había sido como un pequeño científico.
											Y cuando salía a encontrar algo,
											Usaba métodos científicos. Realmente no estaba sorprendido,
											ustedes saben, cuando me dijeron por primera vez cómo —
											cómo se supone que tú hagas ciencia,
											porque yo ya lo había estado haciendo por diversión, o lo que sea.
											Pero no — nunca se me ocurrió
											que debía ser inventado
											y que había sido inventado
											hacía solamente 350 años.
											Ustedes saben, fue —
											como sucedió en Inglaterra, y Alemania, e Italia
											como en todos al mismo tiempo.
											Y la historia de eso,
											Pensé, era realmente fascinante.
									",Play! Experiment! Discover!,Kary Mullis,29:32,"DNA,biology,curiosity,history,microbiology,science,technology"
"
","
","
","
",Play! Experiment! Discover!,Kary Mullis,29:32,"DNA,biology,curiosity,history,microbiology,science,technology"
"
											Donc, je vais en parler un peu,
											et de ce que les scientifiques sont exactement censés faire.
											Et ça, c'est une sorte de -
											Vous savez, Charles Ier a été décapité
											quelque part au début du 17ème siècle.
											Et les Anglais ont mis Cromwell en place
											et tout un tas de républicains,
											et pas le genre de républicains que nous avons.
											Ils ont changé le gouvernement, et cela n'a pas fonctionné.
											Et
											Charles II, le fils,
											a finalement été remis sur le trône d'Angleterre.
											Il était vraiment inquiet, parce que son père avait été,
											vous savez, décapité pour avoir été le roi d'Angleterre
											Et il était inquiet du fait
											que les conversations qui se tenaient
											dans des bars et les endroits comme ça
											se tournaient vers -
											c'est en quelque sorte - c'est difficile à croire,
											mais les gens au 17ème siècle en Angleterre
											commençaient à parler, vous savez,
											de philosophie et de trucs comme ça dans les bars.
											Ils n'avaient pas d'écrans de télévision,
											et ils n'avaient pas de matchs de football à regarder.
											Et ils se plaignaient,
											et tout d'un coup, les gens se répandaient dans la rue et se battaient
											sur des questions comme de savoir si oui ou non
											c'était bien que Robert Boyle
											ait fabriqué un appareil appelé la pompe à vide.
									","
											Bu sebeple hakkinda biraz konusacagim,
											tam olarak bir bilim adamının yapması gerenler nelerdir.
											Bilirsiniz
											İlk 17. yuzyilin baslarinda
											Charles'ın kafası kesildi.
											ve Ingilizler Cromwell'i kurdu
											ve simdilerdeki cumhuriyetçilere benzemeyen
											bir grup cumhuriyetçiyi yarattı.
											Onlar hukumeti degistirdiler, ve bu ise yaramadi.
											Ve
											Charles II, ogul,
											sonunda Ingiliz tahtina geri yerlestirilmisti.
											O gercek anlamda gergindi, cunku babasi,
											bilirsiniz, Ingilterenin Krali oldugu icin kafasi kesilmisti
											Ve bar ve benzeri yerlerde
											süregelen konusmalar nedeniyle gergindi
											bar ve benzeri yerlerde ki (konusmalar)
											zamanla dönüşüyordu
											bu aslında... inanilmasi guc belki
											fakat 17. yuzyilda Ingilteredeki insanlar
											bar ve benzeri yerlerde
											felsefe ve benzeri konularda konuşuyorlardı.
											Televizyon ekranlari yoktu,
											ve izleyecek futbol maclari yoktu.
											Ve onların sinirlenmeleri gerçekti,
											İnsanlar birdenbire caddelere akar ve kavgalar yaparlardı
											Mesela Robert Boyle
											vakum pompası adında bir alet
											geliştirdi mi geliştirmedi mi diye.
									","
											Also werde ich ein wenig darüber sprechen,
											und darüber, was genau Wissenschaftler tun sollten.
											Und, irgendwie –
											Charles I. wurde geköpft,
											irgendwann im frühen 17. Jahrhundert.
											Und die Engländer setzten Cromwell ein
											und einen Haufen Republikaner –
											nicht die Art von Republikanern, die wir haben.
											Sie haben die Regierung verändert und es hat nicht funktioniert.
											Und
											Charles II., der Sohn,
											wurde letztlich wieder auf den englischen Thron gesetzt.
											Er war furchtbar nervös, weil sein Vater,
											naja, eben als König von England geköpft worden war.
											Und es machte ihn nervös, dass
											Gespräche, die in
											Bars und so weiter stattfanden
											sich darum drehen könnten, dass –
											und es ist schwer zu glauben,
											aber die Leute im England des 17. Jahrhunderts
											fingen an in Bars über
											Philosophie und so zu sprechen.
											Sie hatten keine Fernseher
											und keine Fußballspiele anzuschauen.
											Sie konnten wirklich wütend werden
											und plötzlich nach draußen gehen und sich prügeln –
											über Sachen wie, ob es in Ordnung war
											oder nicht, dass Robert Boyle
											eine Maschine namens Vakuumpumpe gebaut hatte.
									","
											Así es que hablaré un poco sobre eso,
											y qué es exactamente lo que se supone que hacen los científicos.
											Y es, es una especie de —
											Ustedes saben, Carlos I fue decapitado
											comenzando el siglo 17.
											Y los ingleses instauraron a Cromwell
											y a un montón de Republicanos o algo,
											y no la clase de Republicanos que tenemos.
											Cambiaron el gobierno, y no funcionó.
											Y
											Carlos II, el hijo,
											finalmente fue reinstalado en el trono de Inglaterra.
											Estaba realmente nervioso, porque su papá había sido,
											ustedes saben, decapitado por ser el Rey de Inglaterra
											Y estaba nervioso por el hecho
											que las conversaciones que se realizaban
											en, por ejemplo, bares y otros
											podrían transformarse en —
											esto es como — es difícil creer,
											pero la gente en el siglo 17 en Inglaterra
											estaba empezando a hablar de, ustedes saben,
											filosofía y otras cosas en bares.
											No tenían pantallas de televisión,
											y no había juegos de futbol para mirar.
											Y se realmente se enojaban,
											y de repente la gente se salía a la calle a pelear
											sobre asuntos como que si o no
											estaba bien que Robert Boyle
											fabricara un aparato llamado la bomba de vacío.
									",Play! Experiment! Discover!,Kary Mullis,29:32,"DNA,biology,curiosity,history,microbiology,science,technology"
"
","
","
","
",Play! Experiment! Discover!,Kary Mullis,29:32,"DNA,biology,curiosity,history,microbiology,science,technology"
"
											Mais, Boyle était un ami de Charles II,
											C'était un chrétien le week-end,
											mais pendant la semaine, c'était un scientifique.
											(Rires)
											Ce qui était - à l'époque c'était
											un peu, vous savez, eh bien, vous savez -
											si vous aviez fait cette chose - il avait construit ce petit appareil,
											un peu comme une pompe à vélo
											à l'envers qui pourrait aspirer tout l'air de -
											vous savez ce que c'est une cloche de verre? Une de ces choses,
											vous la ramasser, vous la poser, et elle est scellée,
											et vous pouvez voir à l'intérieur,
											vous pouvez voir ce qui se passe à l'intérieur.
											Mais ce qu'il voulait faire, c'était enlever tout l'air en le pompant,
											et voir ce qui se passerait là-dedans.
											La première - je crois que l'une des premières expériences qu'il ait faite
											était de mettre un oiseau là-dedans.
									","
											Simdi, Boyle Charles II nin bir arkadasiydi
											Hafta sonlarinda hristiyan (dindar) bir adamdi
											fakat hafta ici bilim adamiydi
											(gülüşmeler)
											O zamanlar bu
											bir nevi, bilirsiniz, yani, bilirsiniz
											eger bunu yaptiysan — o bu kucuk aleti gelistirdiysen
											bisiklet pompasi gibi bir sey ama
											isleyisi tam tersi, hava basmak yerine içerideki havayı tümüyle emebilen...
											cam fanusun ne oldugunu bilir misiniz? Onun gibi bir sey,
											kaldırıp indirirsiniz, dışı mühürlüdür
											ve icini gerebilirsiniz
											yani siz iceride neler olup bittigini gorebilirsiniz.
											Fakat onun yapmaya calistigi sey butun havayi disariya pompalayabilmekti,
											ve aynı zamanda icinde neler olacagini gormekti.
											Yani, oncelikle — Bana kalirsa onun yaptigi ilk deney
											iceriye bir kus koymak olmalı.
									","
											Nun war Boyle ein Freund von Charles II.
											Am Wochenende war er ein Christ,
											aber unter der Woche war er Wissenschaftler.
											(Lachen)
											Das war – damals war es,
											irgendwie, naja, Sie wissen schon –
											wenn man dieses Teil gebaut hat – er hat dieses kleine Gerät gebaut,
											ein bisschen wie eine umgekehrte
											Fahrradpumpe, das alle Luft heraussaugen konnte –
											wissen Sie was eine Glasglocke ist? Eines dieser Teile,
											das man hoch nimmt und wieder absetzt, mit einer Dichtung,
											und man kann reinschauen,
											so dass man sehen kann, was darin passiert.
											Aber was er tun wollte, war die ganze Luft herauszupumpen
											und zu beobachten, was innen drin passiert.
											Also das erste – eines der ersten Experimente, das er durchführte,
											war einen Vogel da rein zu tun.
									","
											Ahora bien, Boyle era amigo de Carlos II,
											El era un tipo Cristiano los fines de semana,
											pero durante la semana era un científico.
											(Risas)
											Lo que era — entonces era
											una especie de, ustedes saben, bueno, ustedes saben —
											si usted fabricaba esta cosa - el fabricó este pequeño aparato,
											algo así como un inflador de bicicleta
											al revés que podía sacar todo el aire de —
											¿saben lo que es una campana de vidrio? Una de estas cosas,
											ustedes la toman, la ubican, y tiene un sello,
											y se puede ver al interior,
											así es que se puede ver lo que está ocurriendo dentro de esta cosa.
											Pero lo que estaba intentando hacer era sacar todo el aire de ahí,
											y ver que ocurriría en el interior.
											Quiero decir, el primer — creo que uno de los primeros experimentos que realizó
											fue colocar un pájaro ahí.
									",Play! Experiment! Discover!,Kary Mullis,29:32,"DNA,biology,curiosity,history,microbiology,science,technology"
"
","
","
","
",Play! Experiment! Discover!,Kary Mullis,29:32,"DNA,biology,curiosity,history,microbiology,science,technology"
"
											Et les gens au 17ème siècle,
											ne comprenaient pas vraiment ce genre de choses
											de la même façon que nous, que ce truc est
											un tas de différents types de molécules,
											et que nous le respirons dans un but et tout ça.
											Je veux dire, les poissons n'en savent pas beaucoup sur l'eau,
											et les gens n'en savaient pas beaucoup sur l'air.
											Mais les uns et les autres commencèrent à l'explorer.
											Il a mis un oiseau là-dedans, et il a pompé tout l'air,
											et l'oiseau est mort. Alors il a dit, hmm ...
											Il a dit - il a appelé ce qu'il avait fait -
											on ne l'a pas appelé une pompe à vide à l'époque.
											Maintenant, vous appelez ça une pompe à vide; il l'a appelé un vide.
											Vous voyez ? Et aussitôt,
											il a eu des ennuis avec le clergé local
											qui a dit: ""Vous ne pouvez pas créer un vide"".
											Ah, euh -
											(Rires)
											Aristote a dit que la nature déteste le vide.
											Je pense que c'est une mauvaise traduction, sans doute,
											mais les gens étaient tributaires des autorités de ce genre.
											""Et vous savez"", dit Boyle, ""eh bien, merde"".
											""J'en fais tout le temps.""
											""Je veux dire, quoi que ce soit qui tue l'oiseau"" -
											""et je l'appelle un vide"".
											Et les religieux ont dit que
											si Dieu voulait qu'on fasse
											Je veux dire, Dieu est partout,
											c'était l'une de leurs règles, Dieu est partout.
											Et un vide - il n'y a rien dans un vide,
											si vous avez - Dieu ne pouvait pas être là-dedans.
											Ainsi donc l'Église a dit qu'on ne pouvait pas créer un vide.
											Et Boyle a dit que c'était des conneries.
											Je veux dire, vous voulez l'appeler sans Dieu,
											vous savez, vous l'appelez sans Dieu.
									","
											ve 17. yuzyildaki insanlar,
											onların gerçekleri anlama yöntemleri bizimkinden farklıydı
											Bilirsiniz,
											bir amaç dahilince
											onlarca molekülü solurusuz, vesaire.
											Yani, balik su hakkinda cok fazla bilgi sahibi degildir,
											ve insanlar da hava hakkinda cok fazla bigi sahibi degillerdi.
											Bunları onu kesfe basladi.
											Bir nokta, oraya bir kus koydu, ve butun havayi disari pompaladi,
											ve kus oldu. Ve o ""hmmm..."" dedi
											O — yaptigi eylemi gelistirmek olarak adlandirdi —
											o cihazı ilk anda vakum pompasi olarak adlandirmadilar.
											Simdi siz onu vakum pompasi olarak adlandiriyorsunuz; onu vakum olarak adlandirmisti
											Degil mi? Ve aniden,
											Yerli din adamlariyla basi belaya girdi
											Vakum yapamazsin dediler.
											Ah - uh —
											(gülüşmeler)
											Aristo ""doğa tek olana karşıdır"" demiştir.
											Bence burada bir çeviri eksikliği olabilir.
											fakat otoritelerce bu şekilde kabul edilmiş.
											Ve Boyle demiş ki; evet, kahretsin
											bunu hep yapıyorum
											Demek istediğim şu ki; kuşu öldüren
											şeyi vakum olarak adlandırıyorum.
											Din adamları dediler ki,
											eğer tanrı senin vakum yapmanı isteseydi...
											bilirsiniz tanrı her yerdedir.
											bu onların temel kuralıdır, tanrı heryerde.
											ve vakum, bilirsiniz, vakumda hiçbirşey yoktur.
											ve hiçbirşey yoksa, tanrı da yoktur.
											Bu sebepten, kilise Boyle'ye vakum yapamazsın dedi.
											Boyle bunun zırva olduğunu
											""tanrısız"" demek isteyenin onlar olduğunu
											siz bilirsiniz
									","
											Die Menschen im 17. Jahrhundert
											hatten nicht wirklich soviel Ahnung wie wir
											davon, dass dieses Zeug
											ein Haufen verschiedener Moleküle ist,
											und dass wir das aus einem bestimmten Grund einatmen und so.
											So wie Fische nicht viel von Wasser verstehen,
											verstanden die Menschen nicht viel von Luft.
											Aber Boyle fing an, es zu untersuchen.
											Zunächst setzte er einen Vogel hinein und pumpte alle Luft heraus
											und der Vogel starb. Also sagte er, hmm..
											und benannte was er gemacht hatte –
											damals nannte man es nicht Vakuumpumpe.
											Heute nennt man es Vakuumpumpe; er nannte es ein Vakuum.
											Richtig? Und sofort
											bekam er Ärger mit den örtlichen Geistlichen,
											die sagten, man kann kein Vakuum erzeugen.
											Ah, oh –
											(Lachen)
											Aristoteles hat gesagt, die Natur dulde es nicht.
											Das ist vermutlich schlecht übersetzt,
											aber die Leute verließen sich auf solche Autoritäten.
											Und Boyle sagte, ach Mist.
											Ich erzeuge diese ständig.
											Also, egal was es ist, das die Vögel tötet –
											ich nenne es Vakuum.
											Und die Glaubensleute sagten, dass,
											wenn Gott dies gewollte hätte –
											also, wenn Gott überall ist,
											das war eine ihrer Regeln, Gott ist allgegenwärtig.
											Und ein Vakuum – nichts kann in einem Vakuum existieren,
											also könnte Gott nicht darin sein.
											Deshalb sagte die Kirche, dass man kein Vakuum erzeugen könne.
											Und Boyle sagte, Blödsinn.
											Gut, ihr wollt es gottlos nennen,
											von mir aus, nennt es gottlos.
									","
											Y la gente en el siglo 17,
											realmente no entendía de la misma manera que nosotros
											sobre ustedes saben, esta cosa es
											un montón de diferentes clases de moléculas,
											y lo respiramos con un propósito y todo eso.
											Quiero decir, los peces no saben mucho acerca del agua,
											y la gente no sabía mucho acerca del aire.
											Pero ambos empezaron a explorarlo.
											Una cosa, colocó un pájaro ahí, y sacó todo el aire,
											y el pájaro murió. Así es que dijo, hmm ...
											Dijo — llamó a lo que había hecho como hacer —
											no lo llamaron una bomba de vacío entonces.
											Ahora lo llamamos una bomba de vacío; él lo llamó un vacío.
											¿De acuerdo? E inmediatamente,
											entró en problemas con el clero local
											que dijo, usted no puede hacer un vacío.
											Ah, uh —
											(Risas)
											Aristóteles dijo que la naturaleza lo abomina.
											Creo que fue una mala traducción, probablemente,
											pero la gente confiaba en autoridades como esa.
											Y ustedes saben, Boyle dice, bueno, mierda.
											Yo las hago todo el tiempo.
											Quiero decir, lo que sea que mata el pájaro —
											y lo estoy llamando un vacío.
											Y la gente religiosa dijo que
											si Dios quisiera que Ud. hiciera —
											Quiero decir, Dios está en todas partes,
											esa era una de sus reglas, si Dios está en todas partes.
											Y un vacío — no hay nada en un vacío,
											así es que Ud. — Dios no podría estar ahí.
											Así es que la iglesia dijo que no se puede hacer un vacío, ustedes saben.
											Y Boyle dijo, mierda.
											Quiero decir, ustedes quiere llamarlo carente de Dios,
											ustedes saben, si lo llaman carente de Dios.
									",Play! Experiment! Discover!,Kary Mullis,29:32,"DNA,biology,curiosity,history,microbiology,science,technology"
