es,pt,de,title,speaker,duration,tags
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											Me llamo Amy Webb,
											y hace unos años 
me encontré ante el final
											de otra relación estupenda
											que se vino abajo de 
una manera increíble.
											Y pensé, ¿qué pasa conmigo?
											No entiendo por qué 
esto me sigue pasando.
									","
											O meu nome é Amy Webb
											e há alguns anos atrás deparei-me com o fim
											de mais um fantástico relacionamento
											que terminou de uma maneira espectacular.
											Nessa altura pensei, o que há de errado comigo?
											Não entendo porque é que isto 
está sempre a acontecer.
									","
											Mein Name ist Amy Webb
											und vor ein paar Jahren 
befand ich mich am Ende
											einer weiteren fantastischen Beziehung,
											die ein spektakuläres Ende genommen hatte.
											Ich dachte so: Was stimmt nicht mit mir?
											Ich weiß nicht, warum das
immer wieder geschieht.
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											Así que pregunté a 
todos mis seres queridos
											qué pensaban ellos.
											Le pregunté a mi abuela,
											que siempre tenía buenos consejos,
											y me dijo: ""Deja de ser tan exigente.
											Tienes que salir con 
diferentes personas.
											Y lo más importante,
											el amor verdadero aparecerá
cuando menos lo esperes"".
									","
											Por isso, perguntei aos que me são mais próximos
											o que é que eles pensavam.
											Perguntei a minha avó,
											que sempre teve muitos conselhos para dar,
											que me disse: ""Deixa de ser tão exigente!
											""Tens de namorar muito.
											""E lembra-te, o mais importante é que o verdadeiro amor
											""te vai encontrar quando menos esperares"".
									","
											Also fragte ich alle, die mir
nahestehen, was sie dachten.
											Ich wendete mich an meine Großmutter,
											die immer einen guten Rat hat
											und sie sagte: ""Hör auf,
so wählerisch zu sein.
											Du musst mehr ausgehen.
											Und was ganz wichtig ist,
											du findest dann die wahre Liebe, 
wenn du sie am wenigsten erwartest.""
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											Y resulta que
											soy alguien que piensa
mucho en datos,
											como pronto descubrirán.
											Estoy siempre sumergida en números,
											fórmulas y tablas.
											También tengo 
una familia muy unida,
											y tengo una relación muy, 
muy estrecha con mi hermana,
											y por ende, quería tener
											el mismo tipo de familia 
en la que crecí.
									","
											Acontece que
											eu sou uma pessoa que pensa muito em números
											como vão descobrir em breve.
											Estou constantemente rodeada por números
											por fórmulas e gráficos.
											Também tenho uma família muito unida
											e sou muito, muito próxima da minha irmã,
											logo sempre quis
											ter o mesmo tipo de familía quando crescesse.
									","
											Also ich bin ja nun jemand,
											der viel über Daten nachdenkt,
											wie Sie bald sehen werden.
											Ich umgebe mich ständig mit Zahlen,
											Formeln und Tabellen.
											Ich lebe in einem sehr engen Familienband
											und ich stehe meiner Schwester sehr nahe
											und deshalb wollte ich auch
											die gleiche Art Familie haben,
in der ich aufgewachsen bin.
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											Así que ahí estoy en medio 
de esa mala ruptura,
											tengo 30 años de edad,
											imagino que probablemente voy a tener
											que salir con alguien 
por al menos seis meses
											antes de sentirme lista para
una relación monógama
											y antes de que podamos 
más o menos vivir juntos,
											y eso debe darse durante un tiempo
antes de llegar a comprometernos.
											Y si quiero empezar a tener 
hijos para los 35 años,
											significaba que debería haber estado
											en camino al matrimonio 
hace cinco años.
											Así que aquello 
no iba a funcionar.
									","
											Então, aqui estou, após um relacionamento 
que terminou de uma forma má
											e com 30 anos de idade.
											Imagino que vá ter de
											namorar com alguém durante pelo menos seis meses
											até estar pronta para ser monógama
											e antes de termos qualquer tipo de coabitação,
											e temos de conseguir fazer isso durante um tempo 
até podermos ficar noivos.
											Se eu quiser começar a ter filhos quando tiver 35,
											isso significa que eu deveria ter estado a caminho
											de um casamento há cinco anos atrás.
											Portanto isto não ia resultar...
									","
											Ich bin am Ende
einer schlechten Beziehung,
											ich bin 30,
											also schätze ich, dass ich wahrscheinlich
											mit jemandem 6 Monate ausgehen muss,
											bevor ich bereit bin, mich festzulegen,
											und bevor wir zusammenziehen können,
											so dass wir für eine Zeit zusammengelebt 
haben, bevor wir uns verloben.
											Wenn ich mit 35 Kinder bekommen will,
											hieße das, dass ich
bereits fünf Jahre zuvor
											mit all dem hätte anfangen müssen.
											Das funktionierte also nicht.
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											Si mi estrategia era 
""lo menos esperado""
											para el amor verdadero,
entonces la variable con la que tenía
											que lidiar era la casualidad.
											En resumen, estaba 
intentando averiguar, bueno,
											¿cuál es la probabilidad de 
encontrar a mi Hombre Perfecto?
											Bueno, en esa época 
yo vivía en Filadelfia,
											una ciudad grande, y supuse
											que en aquel lugar habrían 
muchas posibilidades.
											Así que, de nuevo, 
empecé a hacer cálculos.
											Población de Filadelfia: 
1.5 millones de personas.
											Supongo que la mitad 
de ellos son hombres,
											eso reduce la cifra a 750 mil.
											Busco a un hombre 
de entre 30 y 36 años,
											lo que supone sólo
el 4% de la población,
											así que me quedan 
30 mil hombres.
											Buscaba a alguien 
que fuese judío,
											porque yo lo soy y 
es importante para mí.
											Eso es sólo el 2.3% 
de la población.
											Supuse que me sentiría
atraída por 1 de cada 10
											de esos hombres,
											y de ningún modo iba
											a salir con un obseso del golf.
											Así que, básicamente, 
habían 35 hombres para mí
											con los que podría salir
											en toda la ciudad de Filadelfia.
									","
											Se a minha estratégia era acreditar 
que o amor verdadeiro
											apareceria quando eu menos esperasse, a variável
											com a qual tinha de contar era o acaso.
											Resumindo, estava a tentar perceber
											que probabilidade tinha eu de encontrar 
o homem perfeito?
											Bom, naquela altura estava a morar em Filadélfia,
											uma cidade grande, e pensei que
											num sítio tão grande como este, 
as possibilidades são muitas.
											Então, comecei a fazer contas novamente.
											População de Filadélfia: 1,5 milhões de pessoas.
											Imagino que cerca de metade sejam homens,
											o que reduz o número para 750 000.
											Procuro um homem entre os 30 e os 36 anos,
											o que representa apenas 4% da população,
											por isso, estou agora reduzida a apenas 
30 000 homens.
											Procuro alguém que seja judeu,
											porque é o que sou e isso é importante para mim.
											O que equivale a apenas 2,3% da população.
											Imagino que me sinta atraída apenas por um em dez
											desses homens,
											e não há a miníma hipótese
											de querer alguém que seja um golfista ávido.
											Ou seja, isto significa que, basicamente, 
há 35 homens
											com quem eu poderia, eventualmente, 
ter uma relação
											em toda a cidade de Filadélfia.
									","
											Wenn es meine Strategie war es,
											zufällig der wahren Liebe zu begegnen,
											also die Variable ""glücklicher Zufall"".
											Ich versuchte herauszufinden,
											wie hoch die Wahrscheinlichkeit war, 
den Richtigen zu finden?
											Zu jener Zeit wohnte ich in Philadelphia.
											Es ist eine große Stadt und ich dachte,
											in dieser großen Stadt gibt es 
bestimmt viele Möglichkeiten.
											Also fing ich an, 
das Ganze durchzurechnen.
											In Philadelphia leben 1,5 Mio. Menschen.
											Ich nehme an, dass die Hälfte Männer sind,
											also bin ich bei 750 000.
											Ich suche nach einem Mann 
zwischen 30 und 36
											und die machen nur 4 % 
der Bevölkerung aus,
											also habe ich jetzt die Auswahl 
zwischen 30 000 Männern.
											Ich suchte jemanden, der jüdisch ist,
											weil ich jüdisch bin und
mir das sehr wichtig ist.
											Das sind nur 2,3 % der Bevölkerung.
											Ich nehme an, mir gefällt vielleicht
einer aus 10 dieser Männer,
											und für mich war auf jeden Fall klar,
											dass ich nichts mit einem 
passionierten Golfer zu tun haben wollte.
											Das hieß also, 
dass es 35 Männer für mich
											in ganz Philadelphia gab,
											mit denen ich hätte ausgehen können.
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											Mientras tanto, en 
mi enorme familia judía
											estaban todos casados 
y con todo en marcha
											para tener montones y 
montones de bebés,
											así que sentía que estaba
bajo una gran presión familiar
											para sentar cabeza.
									","
											Entretanto, a minha grande família judia
											estava já toda casada e a caminho
											de terem muitas e muitas crianças,
											e eu sentia-me sob uma enorme pressão 
por parte deles
											para seguir com a minha vida.
									","
											In der Zwischenzeit waren alle in meiner 
sehr großen jüdischen Familie
											bereits verheiratet und waren dabei,
											viele, viele Kinder zu bekommen.
											Ich fühlte mich wie
unter starkem Gruppenzwang,
											mein Leben endlich
in den Griff zu bekommen.
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
