fr,de,es,title,speaker,duration,tags
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											[MERDE]
											Voici sans doute la dernière étape de la conception des animaux.
											(Rires)
											Mais la raison pour laquelle j'ai mis ça ici
											c'est que quand j'étais en Afrique l'an dernier, ma femme et moi circulions en voiture,
											nous avions un guide formidable
											qui nous a montré quelque chose qui nous a surpris tous les deux,
											et c'était très révélateur en termes de fascination
											qui va de paire avec la façon dont les animaux sont faits.
											Il s'avère que dans les années 1880, les missionnaires sont venus en Afrique
											pour répandre la parole de la chrétienté,
											pour enseigner l'anglais aux indigènes.
											Et ils ont amené des tableaux noirs et de la craie.
											Et j'aimerais que vous imaginiez que ceci est un tableau noir,
											et que je viens d'utiliser de la craie dessus.
											Et ils ont amené pas mal de ces trucs.
											Mais au fil des ans les tableaux noirs allaient bien,
											mais ils se sont trouvés à court de craie.
											Et c'est une vraie crise pour eux.
									","
											[SCHEISSE]
											Das steht wohl am Ende des Entwurfs von Tieren.
											(Lachen)
											Aber ich habe es dort angeschrieben, denn
											während ich letztes Jahr in Afrika war, fuhr ich mit meiner Frau umher,
											wir hatten diesen wunderbaren Führer,
											der uns etwas zeigte, das uns beide überraschte,
											und es war sehr aufschlussreich bezüglich der Faszination
											die von dem Design der Tiere ausgeht.
											In den 1880er Jahren kamen Missionare nach Afrika,
											um das Christentum zu verbreiten,
											und um den Einheimischen Englisch beizubringen.
											Und sie brachten Tafeln und Kreide.
											Ich hätte gern, dass Sie sich das als Tafel vorstellen,
											an der ich gerade Kreide verwendet habe.
											Und sie brachten eine Menge davon mit.
											Über die Jahre ging es den Tafeln weiter gut,
											aber sie hatten keine Kreide mehr.
											Und das war eine ernsthafte Krise für sie.
									","
											(""CACA"")
											Este es posiblemente el diseño final de los animales.
											(Risas)
											Pero la razón por la cual propongo este tema aquí es porque
											cuando estuve en África el año pasado, mi esposa y yo estuvimos conduciendo,
											tuvimos este guía maravilloso
											que nos mostró algo maravilloso que nos asombró a los dos,
											y que fue muy revelador en términos de fascinación,
											que tiene que ver con el diseño de los animales.
											Resulta que alrededor de 1880 los misioneros vinieron a África
											para difundir el cristianismo,
											para enseñar inglés a los nativos.
											Y ellos trajeron pizarras y tizas.
											Y me gustaría que se imaginaran que esto es una pizarra,
											y que he usado tiza sobre ella.
											Y trajeron un montón de este material.
											Pero pasados los años las pizarras estaban bien,
											pero hubo escasez de tizas.
											Y esta fue una verdadera crisis para ellos.
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											Et c'est là que la hyène entre en scène.
											La hyène est probablement l'animal
											charognard le mieux conçu dans le monde.
											Elle nettoie les carcasses, et elle a des dents extraordinaires
											parce qu'elles permettent à la hyène de manger essentiellement des os.
											Maintenant, le produit final de cette action est sur le tableau ici.
											Et ce que les missionnaires faisaient, c'est de se promener
											et de ramasser la merde de hyènes.
											Et ce qu'il y a d'incroyable avec la merde de hyène c'est qu'on en fait de la super craie.
											(Rires)
									","
											An dieser Stelle kommt die Hyäne ins Spiel.
											Die Hyäne ist wahrscheinlich das am perfektesten entworfene
											aasfressende Tier auf dieser Welt.
											Sie baut die Körper regelrecht ab und hat faszinierende Zähne,
											mit denen die Hyäne im Prinzip Knochen fressen kann.
											Das Endprodukt dieser Handlung ist hier an dieser Tafel zu sehen.
											Und die Missionare liefen umher,
											und sammelten die Hyänenscheiße ein.
											Und das Unglaubliche an Hyänenscheiße ist, dass sie tolle Kreide ergibt.
											(Lachen)
									","
											Y es así como la hiena entra a esta historia.
											La hiena es probablemente el animal mejor diseñado
											para buscar comida en el mundo.
											La hiena despieza cadáveres, y tiene unos dientes impresionantes
											porque eso le permite comer huesos.
											Ahora, el producto final de esta acción está aquí en esta pizarra.
											Y lo que los misioneros hicieron fue, darse una vuelta
											y recoger la caca de la hiena.
											Y lo increíble sobre la caca de la hiena es: hace una excelente tiza.
											(Risas)
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											Maintenant, ce n'est pas ce dont je suis venu vous parler,
											mais c'est un aspect fascinant de la création animale.
											Ce dont je suis venu vous parler, c'est du chameau.
											Quand j'ai commencé à parler à Richard
											de ce dont j'allais parler,
											je revenais de Jordanie,
											où j'avais vécu une expérience étonnante avec un chameau.
											(Rires)
											Et nous étions dans le désert —
									","
											Deswegen bin ich aber nicht hergekommen.
											Es ist aber ein faszinierender Aspekt von Tierdesign.
											Ich bin hier, um über das Kamel zu reden.
											Als ich anfing, mit Richard zu besprechen,
											worum es sich bei meinem Vortrag drehen sollte,
											war ich gerade aus Jordan zurückgekommen,
											wo ich ein faszinierendes Erlebnis mit einem Kamel gehabt hatte.
											(Lachen)
											Und wir waren in der Wüste –
									","
											Ahora, de esto no es de lo que voy hablar aquí,
											pero es un aspecto fascinante del diseño de los animales.
											De lo que les voy a hablar es del camello.
											Cuando empecé hablar con Richard
											de lo que iba hablar,
											recién había llegado de Jordania,
											donde tuve una extraordinaria experiencia con un camello.
											(Risas)
											Estuvimos en el desierto...
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											Richard Wurman: C'est la fin de cette allocution!
									","
											Richard Wurman: Der Vortrag ist jetzt vorbei!
									","
											Richard Wurman: ¡este es el final de esta conferencia!
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											Keith Bellows: Oui, Oui.
											Nous étions dans le désert, dans le Wadi Rum, dans une petite jeep.
											Nous étions quatre — deux chauffeurs bédouins —
											et vous pouvez imaginer, cette étendue est un océan de stable:
											41 degrés, une bouteille d'eau.
											Et nous conduisions dans ce qu'ils nous ont dit être
											leur toute meilleure jeep. Ça ne me semblait pas le cas.
											Et alors que nous commencions à traverser le désert, la jeep est tombée en panne.
											Les types sont sortis, ils ont soulevé le capot,
											ils ont commencé à travailler sous le capot,
											l'ont faite redémarrer, après environ 100 mètres, elle est tombée en panne.
											Ça s'est produit six ou sept fois,
											et nous étions de plus en plus inquiets,
											et nous nous enfoncions de plus en plus dans le désert.
									","
											Keith Bellows: Ja, ja.
											Wir waren in der Wüste, im Wadi Rum, in einem kleinen Jeep.
											Wir waren zu viert – zwei Beduinen als Fahrer –
											und stellen Sie sich vor, diese Weite ist ein Ozean aus Sand,
											40°C, eine Wasserflasche.
											Und wir fuhren in etwas, das sie ihren
											aller-allerbesten Jeep nannten. Für mich sah er nicht danach aus.
											Und bei unserer Fahrt durch die Wüste hat der Jeep eine Panne.
											Die Typen steigen aus, klappen die Motorhaube hoch,
											werkeln darunter herum, er geht wieder.
											Hundert Meter weiter die nächste Panne.
											Das ging sechs- oder siebenmal so,
											und uns wurde immer mulmiger zumute,
											wir kamen auch immer weiter in die Wüste.
									","
											Keith Bellows: Sí, sí.
											Estuvimos en el desierto, en Wadi Rum, en un pequeño jeep.
											Estábamos cuatro, dos chóferes beduinos,
											y, se pueden imaginar, esta extensión es un océano de arena:
											40 grados, una botella de agua.
											Y estuvimos conduciendo en lo que nos dijeron
											era su mejor jeep. No me pareció así.
											Y cuando empezamos a cruzar el desierto el jeep se estropeó.
											Los muchachos salieron, levantaron la capota
											y comenzaron a trabajar bajo la capota,
											lo pusieron en marcha de nuevo y, a unos 160 km, se volvió a estropear.
											Esto sucedió más o menos unas seis o siete veces,
											y nos estábamos alarmando más y más,
											y estábamos cada vez más adentro en el desierto.
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
