en,pt,fr,title,speaker,duration,tags
"
","
","
",Big data is better data,Kenneth Cukier,15:51,"data,future,technology"
"
											America's favorite pie is?
									","
											A tarte preferida da América é...?

											Audiência: Maçã!
											Kenneth Cukier: Maçã. Claro que é.
											Como é que sabemos?
											Por causa dos dados!
											Vemos nas vendas dos supermercados.
											Vemos nos supermercados 
as vendas das tartes de 30 cm
											que estão congeladas, 
e a maçã ganha, sem discussão.
											A maioria das vendas são as de maçã.
											Mas depois os supermercados 
começaram a vender
											tartes mais pequenas, de 11 cm.
											De repente, a maçã caiu 
para quarto ou quinto lugar.
											Porquê? O que é que aconteceu?
											Pensem bem.
											Quando vocês compram uma tarte de 30 cm,
											toda a família tem que aceitar,
											mas a maçã é a segunda escolha de todos.
											(Risos)
											Mas quando compram 
uma tarte individual de 11 cm,
											podem comprar aquela que quiserem.
											Podem obter a vossa primeira escolha.
											Vocês têm mais dados.
											Podem ver uma coisa que não viam,
											quando só tinham 
uma quantidade mais pequena.
									","
											Quelle est la tarte préférée 
des Américains ?
											Public : La tarte à la pomme !
K. Cukier : En effet !
									",Big data is better data,Kenneth Cukier,15:51,"data,future,technology"
"
","
","
",Big data is better data,Kenneth Cukier,15:51,"data,future,technology"
"
											Audience: Apple.
Kenneth Cukier: Apple. Of course it is.
											How do we know it?
											Because of data.
											You look at supermarket sales.
											You look at supermarket
sales of 30-centimeter pies
											that are frozen, and apple wins, no contest.
											The majority of the sales are apple.
											But then supermarkets started selling
											smaller, 11-centimeter pies,
											and suddenly, apple fell to fourth or fifth place.
											Why? What happened?
											Okay, think about it.
											When you buy a 30-centimeter pie,
											the whole family has to agree,
											and apple is everyone's second favorite.
											(Laughter)
											But when you buy an individual 11-centimeter pie,
											you can buy the one that you want.
											You can get your first choice.
											You have more data.
											You can see something
											that you couldn't see
											when you only had smaller amounts of it.
									","
											A questão aqui é que mais dados 
não só nos permitem ver mais,
											mais da mesma coisa 
para que estamos a olhar,
											mas mais dados também 
nos permitem ver coisas novas.
											Permitem-nos ver melhor.
											Permitem-nos ver de modo diferente.
											Neste caso, permitem-nos ver
											qual é a tarte preferida da América:
											não é a de maçã.
									","
											Comment le sait-on ?
											Grâce aux données.
									",Big data is better data,Kenneth Cukier,15:51,"data,future,technology"
"
","
","
",Big data is better data,Kenneth Cukier,15:51,"data,future,technology"
"
											Now, the point here is that more data
											doesn't just let us see more,
											more of the same thing we were looking at.
											More data allows us to see new.
											It allows us to see better.
											It allows us to see different.
											In this case, it allows us to see
											what America's favorite pie is:
											not apple.
									","
											Provavelmente, já todos ouviram falar 
do termo ""megadados"".
											Provavelmente já estão enjoados
de ouvir o termo
											Megadados.
											É verdade que há muita publicidade 
em torno deste termo
											e isso é lamentável,
											porque os megadados são uma ferramenta 
extremamente importante
											com a qual a sociedade vai avançar.
											No passado, olhávamos 
para conjuntos reduzidos de dados
											e pensávamos o que significariam
para tentar entender o mundo.
											Agora temos muito mais,
											mais do que alguma vez tivemos.
											Descobrimos que, quando temos 
um grande conjunto de dados,
											podemos fazer coisas 
que não eram possíveis,
											quando só tínhamos 
quantidades mais pequenas.
											Os megadados são importantes
e são uma novidade.
											Pensem nisto.
											A única forma como este planeta
											vai poder lidar com os desafios globais
											— alimentar as pessoas, 
dispensar-lhes cuidados médicos,
											fornecer-lhes energia, eletricidade,
											e garantir que elas 
não vão ficar em torresmos
											por causa do aquecimento global —
											é através do uso eficaz de dados.
									","
											Les ventes de supermarchés.
											Parmi les ventes en supermarché 
de tartes surgelées de 30 cm,
											la tarte à la pomme était n°1, 
haut la main.
											La majorité des ventes se fait 
sur les tartes à la pomme.
											Puis les supermarchés se sont mis à vendre
											des tartes plus petites, de 11 cm.
											Et d'un coup, la pomme a chuté 
à la 4ème ou 5ème place
											Pourquoi ? Que s'est-il passé ?
											Réfléchissez !
											Quand vous achetez une grande tarte,
											il faut que toute la famille 
soit d'accord,
											Or la pomme est le deuxième choix de tous.
											(Rires)
											Mais si vous achetez 
une petite tartelette,
											vous pouvez acheter 
celle que vous préférez.
											Vous pouvez avoir votre premier choix.
											Vous avez plus de données.
											On découvre quelque chose
qui nous aurait échappé
											avec moins de données.
											Mais plus de données ne nous donnent
pas seulement plus d'informations,
									",Big data is better data,Kenneth Cukier,15:51,"data,future,technology"
"
","
","
",Big data is better data,Kenneth Cukier,15:51,"data,future,technology"
"
											Now, you probably all have heard the term big data.
											In fact, you're probably sick of hearing the term
											big data.
											It is true that there is a lot of hype around the term,
											and that is very unfortunate,
											because big data is an extremely important tool
											by which society is going to advance.
											In the past, we used to look at small data
											and think about what it would mean
											to try to understand the world,
											and now we have a lot more of it,
											more than we ever could before.
											What we find is that when we have
											a large body of data, we can fundamentally do things
											that we couldn't do when we
only had smaller amounts.
											Big data is important, and big data is new,
											and when you think about it,
											the only way this planet is going to deal
											with its global challenges —
											to feed people, supply them with medical care,
											supply them with energy, electricity,
											and to make sure they're not burnt to a crisp
											because of global warming —
											is because of the effective use of data.
									","
											Então o que há de novo 
quanto aos megadados?
											O que têm de tão importante?
											Para responder a esta pergunta,
											pensemos em como era a informação,
											qual era o seu aspeto físico, no passado.
											Em 1908, na Ilha de Creta,
											os arqueólogos descobriram 
um disco de barro.
											Dataram-no de 2000 a.C., 
portanto com 4000 anos.
											Há inscrições nesse disco,
											mas não sabemos o que é que significam.
											É um mistério total, mas a questão
											é que era aquele o aspeto das informações
											há 4000 anos.
											Era assim que a sociedade armazenava
											e transmitia as informações.
									","
											plus d'informations sur la même chose.
											Plus de données nous permettent
de voir de nouvelles choses,
											d'y voir plus clair,
											de voir sous un nouvel angle.
											Dans ce cas, ça nous a permis de savoir
											quelle tarte les Américains préfèrent :
											ce n'est pas la pomme.
											Vous avez déjà probablement entendu 
le terme « Big Data ».
									",Big data is better data,Kenneth Cukier,15:51,"data,future,technology"
"
","
","
",Big data is better data,Kenneth Cukier,15:51,"data,future,technology"
"
											So what is new about big 
data? What is the big deal?
											Well, to answer that question, let's think about
											what information looked like,
											physically looked like in the past.
											In 1908, on the island of Crete,
											archaeologists discovered a clay disc.
											They dated it from 2000 B.C., so it's 4,000 years old.
											Now, there's inscriptions on this disc,
											but we actually don't know what it means.
											It's a complete mystery, but the point is that
											this is what information used to look like
											4,000 years ago.
											This is how society stored
											and transmitted information.
									","
											A sociedade não avançou assim muito.
											Continuamos a armazenar 
informação em discos,
											mas agora podemos guardar 
muito mais informações,
											muito mais do que até aqui.
											É mais fácil pesquisar. 
É mais fácil copiar.
											É mais fácil partilhar. 
É mais fácil processar.
											Podemos reutilizar essas informações
											para usos que nunca sequer imaginávamos
											quando a princípio reunimos os dados.
											Neste aspeto, os dados 
passaram de ""stock"" a fluxo,
											passaram duma coisa que é fixa e estática
											para uma coisa que é fluida e dinâmica.
											Há, se quiserem, 
uma liquidez na informação.
											O disco que foi descoberto em Creta
											que tem 4000 anos, é pesado,
											não guarda muitas informações
											e essas informações são imutáveis.
											Em contrapartida, todos os arquivos
											que Edward Snowden levou
											da National Security Agency 
nos Estados Unidos da América
											cabem num cartão de memória
											do tamanho duma unha
											e podem ser partilhados 
à velocidade da luz.
											Mais dados. Mais.
									","
											En fait, vous en avez probablement 
plein les oreilles des Big Data.
											C'est vrai 
qu'il y a beaucoup de bruit autour de ça
											et c'est bien regrettable,
											parce c'est un outil extrêmement important
											qui va faire progresser notre société.
											Jusqu'ici, on n'utilisait que 
de petites quantités de données,
											on cherchait à les interpréter
											afin de comprendre le monde.
											On a à présent infiniment plus de données,
											plus de données que jamais auparavant.
											Et quand on a une telle 
quantité de données,
											on peut accomplir des choses
											inimaginables avec de petites quantités.
											Les Big Data sont à la fois 
nouvelles et importantes.
											Si on y réfléchit,
											le seul moyen qu'on aura
pour faire face aux enjeux mondiaux :
											nourrir l'humanité,
											l'approvisionner en médicaments,
											en énergie, en électricité,
											et éviter d'être rôti 
par le réchauffement climatique,
											ce sera grâce 
à une utilisation efficace des données.
											Qu'y a-t-il de nouveau dans les Big Data ?
Pourquoi tout le monde en parle ?
									",Big data is better data,Kenneth Cukier,15:51,"data,future,technology"
