pt,en,es,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
											Quando era criança, no Havai,
a minha mãe e a minha tia
											contavam-me histórias sobre Kalaupapa,
											a colónia para leprosos do Havai,
cercada pelas arribas mais altas do mundo,
											e sobre o Frei Damião,
											o missionário belga que deu a sua vida
pela comunidade havaiana.
											Quando se iniciou na enfermagem,
											a minha tia ensinava freiras
a cuidar dos últimos leprosos,
											quase 100 anos depois da morte
do Frei Damião, com lepra.
											Recordo-me de histórias
que ela contava,
											de descer as encostas tortuosas,
numa mula,
											enquanto o meu tio tocava
as músicas preferidas dela, no cavaquinho,
											durante toda a descida até Kalaupapa.
									","
											As a little Hawaiian,
											my mom and auntie always told me
stories about Kalaupapa —
											the Hawaiian leper colony
											surrounded by the highest
sea cliffs in the world —
											and Father Damien,
											the Belgian missionary who gave his life
for the Hawaiian community.
											As a young nurse,
											my aunt trained the nuns
caring for the remaining lepers
											almost a 100 years after
Father Damien died of leprosy.
											I remember stories she told
											about traveling down
switchback cliff paths on a mule,
											while my uncle played
her favorite hula songs on the ukulele
											all the way down to Kalaupapa.
									","
											Como a cualquier niño hawaiano,
											mi madre y mi tía siempre me contaron
historias sobre Kalaupapa,
											la colonia de leprosos hawaianos
											rodeada por los acantilados
más altos del mundo.
											Y sobre el padre Damián,
											el misionero belga que dio su vida
por la comunidad hawaiana.
											Como joven enfermera,
											mi tía instruyó a las monjas en el 
cuidado de los leprosos restantes
											casi 100 años después de la muerte
del padre Damián de lepra.
											Recuerdo las historias que contaba
											de cómo descendían por los 
acantilados escarpados, en una mula,
											mientras mi tío tocaba sus canciones
favoritas de hula hula en el ukelele
											todo el trayecto hasta Kalaupapa.
									","
											Comme tout enfant hawaïen,
											ma mère et ma tante me racontaient souvent
les histoires de Kalaupapa,
											la colonie hawaïenne des lépreux
											qui vivait sur les plus hautes
falaises du monde,
											et du Père Damien,
											le missionnaire belge qui a donné sa vie 
pour la communauté hawaïenne.
											Lorsqu'elle était jeune infirmière,
											ma tante a formé les nonnes
qui s'occupaient des lépreux restants
											presque 100 ans après que le Père Damien
ne meure lui-même de la lèpre.
											Elle nous racontait
											ses voyages à dos de mule 
sur les chemins sinueux des falaises
											tandis que mon oncle jouait 
ses chansons hula favorites au ukulele
											sur tout le trajet jusqu'à Kakaupapa.
									","
											Küçük bir Hawaiili iken
											annem ve teyzem bana sürekli
Kalaupapa hakkında hikâyeler anlatırdı.
											Dünyanın en yüksek
											deniz uçurumlarıyla çevrili
Hawaii cüzzamlılar topluluğunu
											ve Peder Damien'ı,
											hayatını Hawaii halkına adayan
Belçikalı misyoneri anlatırdı.
											Teyzem genç bir hemşireyken
											kalan cüzzamlıların bakımı için
rahibeleri eğitmiş.
											Peder Damien'in cüzzamdan
ölmesinden 100 yıl sonra
											teyzemin anlattıklarını
hatırladım.
											Zigzaglı uçurumların kenarında
katır sırtında giderken
											dayım ukulele ile 
teyzemin sevdiği şarkıları çalarmış
											Kalaupapa'ya ulaşana kadar.
									",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
											Em jovem, tinha curiosidade
de saber certas coisas.
											Primeiro, porque é que
um missionário belga
											escolheu viver em completo isolamento
em Kalaupapa
											sabendo que era inevitável
contrair lepra
											da comunidade
que pretendia ajudar.
											Segundo,
											de onde vem a bactéria da lepra,
											e por que é que os Kãnaka Maoli,
o povo indígena do Havai,
											eram tão suscetíveis à lepra,
ou ""mai Pake?""
									","
											You see, as a youngster,
											I was always curious about a few things.
											First was why a Belgian missionary
chose to live in complete isolation
											in Kalaupapa,
											knowing he would inevitably
contract leprosy
											from the community of people
he sought to help.
											And secondly,
											where did the leprosy bacteria come from?
											And why were Kānaka Maoli,
											the indigenous people of Hawaii,
											so susceptible to developing
leprosy, or ""mai Pake?""
									","
											Como comprenderán,
cuando era más joven,
											algunas cosas me intrigaban.
											En primer lugar,
											¿por qué un misionero belga eligió vivir
en completo aislamiento en Kalaupapa
											sabiendo que, inevitablemente,
											contraería la lepra de la comunidad
que intentaba ayudar?
											Y en segundo lugar,
											¿de dónde viene la bacteria de la lepra?
											¿Y por qué los kanaka maoli,
											los indígenas hawaianos,
											son propensos a contraer
la lepra o la ""mai pake""?
									","
											Quand j'étais plus jeune,
											certaines choses m'intriguaient.
											Pourquoi un missionnaire belge
voudrait vivre reclus du monde,
											à Kalaupapa,
											en sachant qu'il serait forcément 
contaminé par la lèpre
											en vivant au contact de cette communauté 
qu'il avait décidé d'aider.
											Ensuite,
											d'où venait la bactérie 
responsable de la lèpre ?
											Et enfin, pourquoi les Kanaka Maoli,
											peuple indigène de Hawaï,
											étaient si vulnérables face à la lèpre ou
la « mai pake », comme ils l'appelaient.
									","
											Gördüğünüz gibi, ben gençken
											birkaç şeyi hep merak ettim.
											Birincisi, Belçikalı bir misyoner 
neden tam bir tecrit içinde
											Kalaupapa'da yaşıyordu.
											Sonunda yardım
etmek istediği insanlardan,
											cüzzam kapacağını bilirken.
											İkincisi,
											bu cüzzam bakterisi nereden gelmişti?

											Ve neden biz Kanaka Maoliler
											Hawaii'nin yerli halkı
											cüzzama, ""mai Pake'ye"" bu kadar
kolay yakalanıyorduk.
									",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
											Tinha curiosidade de saber o que
nos tornava únicos como havaianos,
											isto é, a nossa constituição genética.
											Só quando cheguei ao secundário,
através do Projeto do Genoma Humano,
											é que percebi que não era o único
											a tentar ligar
a nossa genealogia ímpar
											à nossa saúde,
bem-estar e doenças.
											O projeto de 2700 milhões de dólares
											prometia uma era
de medicina preditiva e preventiva,
											baseada na nossa constituição
genética ímpar.
											Sempre me pareceu óbvio que,
											para alcançar este sonho,
											teríamos de sequenciar
o genoma de um grupo variado,
											para obter o espetro completo
da variação genética humana no planeta.
											É por isso que,
dez anos mais tarde,
											continuo a achar chocante saber
que 96% dos estudos do genoma
											que ligam a variação genética
a doenças específicas
											se focam exclusivamente
em indivíduos de ascendência europeia.
									","
											This got my curious about what
makes us unique as Hawaiians —
											namely, our genetic makeup.
											But it wasn't until high school,
											through the Human Genome Project,
											that I realized I wasn't alone
											in trying to connect
our unique genetic ancestry
											to our potential health,
wellness and illness.
											You see,
											the 2.7 billion-dollar project
											promised an era of predictive
and preventative medicine
											based on our unique genetic makeup.
											So to me it always seemed obvious
											that in order to achieve this dream,
											we would need to sequence
a diverse cohort of people
											to obtain the full spectrum
of human genetic variation on the planet.
											That's why 10 years later,
											it continues to shock me,
											knowing that 96 percent of genome studies
											associating common genetic variation
with specific diseases
											have focused exclusively
on individuals of European ancestry.
									","
											Las razones que nos hacen únicos como 
hawaianos despertaron mi curiosidad
											es decir, nuestra composición genética.
											Pero solo en la escuela secundaria,
a través del Proyecto Genoma Humano,
											comprendí que no era el único
que trataba de encontrar conexiones
											entre nuestra herencia genética única
y la salud, el bienestar y la enfermedad.
											Deben saber que este proyecto
de USD 2700 millones
											prometía una nueva era de la 
medicina predictiva y preventiva
											basada en nuestra
composición genética única.
											Así que para mí siempre fue obvio
											que para lograr este sueño,
											debemos secuenciar
un grupo diverso de personas
											para obtener el espectro completo
de la variación genética humana
											a escala mundial.
											Es por eso que incluso 10 años después,
											me sigue sorprendiendo
											que un 96 % de los estudios 
sobre el genoma
											que asocian variaciones genéticas comunes
a patologías específicas
											se ha centrado exclusivamente
en individuos de ascendencia europea.
									","
											Les raisons qui font notre singularité
en tant qu'Hawaïens m'intriguaient
											et notamment notre patrimoine génétique.
											Ce n'est qu'au lycée,
											grâce au projet Génome humain,
											que j'ai pris conscience 
que je n'étais pas seul
											à essayer de faire un lien 
entre nos ascendances génétiques
											et notre santé, notre bien-être 
et nos potentielles maladies.
											Il faut savoir que ce projet
de 2,7 milliards de dollars
											nous assurait une nouvelle ère
											de médecine prédictive et préventive
											en s'appuyant 
sur notre patrimoine génétique.
											Il m'a toujours semblé evident
											que pour arriver à ce rêve médical,
il faudrait établir des classifications
											à partir de diverses cohortes
afin d'obtenir, à l’échelle mondiale,
											un très large spectre
de variations génétiques de l'homme.
											C'est pourquoi, 
encore 10 ans après,
											je suis toujours abasourdi
											de constater que 96% 
des études sur les génomes,
											qui associent les variations génétiques 
à certaines maladies spécifiques,
											se concentrent exclusivement 
sur des individus d'ascendance européenne.
									","
											Bu, biz Hawaiilileri benzersiz yapan
şeyi merak etmeme yol açtı,
											yani genetik yapımızı.
											Ama okulda
											İnsan Genomu Projesi'ni duyduğumda
											yalnız olmadığımı anladım.
											Eşsiz ata genlerimizle
											sağlık potansiyelimiz ve hastalıkları
ilişkilendirmeye çalışırken.
											Yani,
											2,7 milyarlık bir proje
											koruyucu ve önleyici tıp
çağını vaadediyordu,
											benzersiz genetik yapıya dayanarak.
											Bence şu açıktı,
											bu hayali gerçekleştirmek için
											çeşitli insan gruplarının
gen dizilerini çıkarmalıydık.
											Gezegendeki insan geni varyasyonlarının
tam yelpazesini elde etmeliydik.
											Bu nedenle on yıl sonra bile
											şu durum beni çok şaşırtıyor.
											Gen çalışmalarının %96'sı
											yaygın genetik varyasyonlarla, bazı
hastalıkları ilişkilendiren çalışmalar
											sadece Avrupa kökenli bireyler
üzerine odaklanıyor.
									",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
											Não é preciso um doutoramento
											para perceber que só restam 4%,
para representar a restante diversidade.
											Por investigação pessoal,
descobri que bem menos de um 1%
											foca as comunidades
indígenas, como a minha.
											Portanto, a pergunta é:
											para quem é que foi feito
o Projeto do Genoma Humano?
											Tal como temos olhos e cabelos
de cor diferente,
											metabolizamos medicamentos de forma
diferente com base na variação genética.
											Quantos de vocês ficariam
chocados em saber
											que 95% dos testes clínicos
											também foram realizados unicamente
com pessoas de ascendência europeia?
									","
											Now you don't need a PhD
											to see that that leaves four percent
for the rest of diversity.
											And in my own searching,
											I've discovered that far less
than one percent
											have actually focused on indigenous
communities, like myself.
											So that begs the question:
											Who is the Human Genome
Project actually for?
											Just like we have
different colored eyes and hair,
											we metabolize drugs differently
											based on the variation in our genomes.
											So how many of you
would be shocked to learn
											that 95 percent of clinical trials
											have also exclusively featured
individuals of European ancestry?
									","
											No se necesita un doctorado
											para darse cuenta de que eso deja solo
un 4 % para el resto de la diversidad.
											Al llevar a cabo mi propia investigación
descubrí que menos de un 1 % del total
											se han centrado en las comunidades
indígenas como la mía.
											Lo que plantea la pregunta:
											¿a quién se dirige en realidad
el Proyecto del Genoma Humano?
											Al igual que nuestros ojos y pelo
son de diferentes colores,
											también la manera de 
metabolizar los medicamentos
											debido a la variación genómica.
											Entonces, ¿cuántos de Uds.
se sorprenderían al saber
											que un 95 % de los ensayos clínicos
											se han realizado exclusivamente en 
individuos de ascendencia europea?
									","
											Pas besoin d'un doctorat
											pour constater qu'il ne reste que 4%
aux autres diversités ethniques.
											En effectuant mes propres recherches,
											j'ai découvert que moins de 1%
de ces recherches
											se sont réellement concentrées
											sur les communautés indigènes
telles que la mienne.
											Cela m'amène à ce questionnement :
											à qui le projet Génome humain
sert-il réellement ?
											Nous avons tous des yeux et des cheveux 
de couleur différentes
											tout comme nous métabolisions
les drogues différemment
											selon la variation de nos génomes.
											Combien d'entre vous 
seraient choqués d'apprendre
											que 95% des tests cliniques
											ont été réalisés exclusivement
avec des sujets d'ascendance européenne ?
									","
											Doktora derecesine gerek yok,
											diğer çeşitlilik için kalanın %4
olduğunu anlamak için.
											Kendi araştırmalarımla,
											bizim gibi yerli topluluklar için
%1'den çok daha az
											çalışma yapıldığını keşfettim.
											Öyleyse, şu soruyu sormak gerekiyor;
											İnsan Genomu Projesi kimin için?
											Tıpkı, farklı göz ve saç rengine
sahip olup
											ilaçları gen varyasyonlarımıza göre 

											farklı metabolize etmemiz gibi.
											Peki kaçınız şunu öğrendiğinde
şok geçirmez,
											klinik deneylerin %95'i de
											Avrupa kökenli bireyler
üzerine yapılmaktadır.
									",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
											Esta polarização
											e a ausência sistemática
de participação dos povos indígenas,
											tanto em testes clínicos
como em estudos do genoma,
											resulta, em parte,
de uma história de desconfiança.
											Por exemplo, em 1989, investigadores da
Universidade do Estado do Arizona, a ASU,
											obtiveram amostras de sangue
da tribo Havasupai do Arizona
											prometendo aliviar o peso da diabetes
tipo 2, que assolava a comunidade,
											mas acabaram por usá-las,
— sem consentimento dos Havasupai —
											em estudos de esquizofrenia,
de procriação consanguínea,
											e para pôr em causa a história
dos Havasupai, sobre a sua origem.
											Quando os Havasupai descobriram,
											processaram a ASU
em 700 mil dólares, e ganharam,
											e proibiram-na de realizar investigação
na sua reserva territorial.
											Isto culminou num efeito de dominó,
											que levou as tribos locais do Sudoeste,
											— incluindo os Navajos,
uma das maiores tribos do país —
											a declarar uma moratória
sobre a investigação genética.
									","
											This bias
											and systematic lack of engagement
of indigenous people
											in both clinical trials
and genome studies
											is partially the result
of a history of distrust.
											For example,
											in 1989, researchers
from Arizona State University
											obtained blood samples
from Arizona's Havasupai tribe,
											promising to alleviate the burden
of type 2 diabetes
											that was plaguing their community,
											only to turn around and use
those exact same samples —
											without the Havasupai's consent —
											to study rates
of schizophrenia, inbreeding,
											and challenge
the Havasupai's origin story.
											When the Havasupai found out,
											they sued successfully for $700,000,
											and they banned ASU from conducting
research on their reservation.
											This culminated in a sort of domino effect
											with local tribes in the Southwest —
											including the Navajo Nation,
											one of the largest
tribes in the country —
											putting a moratorium on genetic research.
									","
											Esta tendencia y esta falta
de compromiso sistemática
											con las poblaciones indígenas
											tanto en los ensayos clínicos como 
en los estudios del genoma humano
											es en parte el resultado de 
un pasado mutuo de desconfianza.
											Por ejemplo, en 1989, investigadores
de la Universidad Estatal de Arizona
											recolectaron muestras de sangre
de la tribu havasupai de Arizona,
											prometiendo disminuir
la tasa de diabetes de tipo 2
											que afectaba a la comunidad,
											con la única intención 
de usar esas mismas muestras
											sin el consentimiento de los havasupai
											para estudiar la incidencia de 
la esquizofrenia, la endogamia,
											y cuestionar la historia de 
los orígenes de los havasupai.
											Cuando los havasupai lo descubrieron,
											ganaron una demanda por USD 700 000,
											y se prohibió a la universidad
realizar investigaciones en la reserva.
											Esto culminó en una especie
de efecto dominó
											entre las tribus locales del suroeste
											— incluyendo a la Nación Navajo,
una de las mayores tribus en el país —
											y la declaración de una moratoria
sobre la investigación genética.
									","
											Cette tendance 
et ce manque d'engagement permanent 

											vis-à-vis des communautés indigènes
											sur les tests cliniques 
et sur les études sur le génome humain,
											nous vient en partie d'une histoire
très empreinte de méfiance.
											Par exemple,
											en 1989, des chercheurs 
de l'Arizona State University,
											ont récolté des prélèvements sanguins
de la tribu des Havasupai en Arizona.
											Ils leur promettaient de réduire 
le problème du diabète de type 2
											qui sévissait sévèrement
dans leur communauté,
											et ce, dans le seul but d'utiliser
ces prélèvements sanguins —
											sans l'accord des Havasupai —
											pour évaluer le taux de schizophrénie
et de consanguinité
											mais aussi de remettre en cause
les origines de l'histoire des Havasupais.
											Lorsqu'ils l’apprirent,
											ils attaquèrent l'université en justice, 
gagnèrent 700 000$
											et leur interdirent de conduire à nouveau 
des recherches dans leur réserve.
											Cela généra un effet boule de neige
											avec des tribus du sud-ouest —
											dont la nation Navajo,
											une des plus grande tribus du pays —
											décrétant un moratoire 
sur les recherches génétiques.
									","
											Bu taraflılık
											yerlileri sistematik biçimde
işin dışında tutma,
											hem klinik deneylerde,
hem de gen çalışmalarında
											kısmen tarihten gelen
güvensizliğin sonucu.
											Örneğin;
											Arizona Devlet Üniversitesi
araştırmacıları 1989'da
											Arizona'nın yerli Havasupai kabilesinden
kan örnekleri aldılar.
											Tip 2 diabeti azaltmak için dediler.
											Hastalık bu toplulukta çok yaygındı
											ama dönüp bu aynı örnekleri
-Havasupailerin rızası olmadan-
											şizofreni ve akraba evliliği
											oranlarını incelemede ve
											Havasupailerin kökenlerini 
araştırmada kullandılar.
											Havasupailer bunu öğrendi ve
											700.000 dolar tazminat aldı
											ve üniversiteyi rezervasyonda (özel bölge)
araştırma yapmaktan men ettiler.
											Bu dava Güneybatı eyaletlerindeki
kabileler arasında
											en geniş yerel kabilelerden olan
											Navajo Toplumu dâhil
											bir domino etkisi yarattı
											ve genetik araştırmalar askıya alındı.
									",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
