en,fr,es,de,title,speaker,duration,tags
"
","
","
","
",The surprising connection between brain injuries and crime,Kim Gorgens,11:42,"TEDx,prison,crime,justice system,criminal justice,brain,psychology,neuroscience,law,social change,society"
"
											A traumatic brain injury, or TBI,
											is a disruption in brain function
caused by an external blow to the head.
											And when you hear that definition,
											you might think about sports
and professional athletes,
											since it's the kind of injury
we're used to seeing on the playing field.
											And this imagery has really come
to define TBI in the public consciousness.
											I myself do research on TBI
in retired and college athletes.
											I stood on a TED stage in 2010,
											talking about concussions in kids' sports.
											So I have to say, as someone
who researches and treats these injuries,
											that I've been really gratified
to see the growing awareness of TBI
											and specifically, the short-
and long-term risks to athletes.
									","
											Un traumatisme cranio-cérébral, ou TCC,
											est une perturbation
du fonctionnement cérébral
											causée par un coup
porté sur l'extérieur de la tête.
											Cette définition évoque peut-être
le sport et les athlètes professionnels,
											puisque c'est le type de blessures
que nous voyons sur le terrain.
											Cette image en est venue à définir
les TCC dans la conscience publique.
											J'effectue des recherches sur les TCC
											chez les athlètes universitaires
et à la retraite.
											Je me suis tenue sur la scène TED en 2010
											pour parler des commotions cérébrales
durant le sport chez les enfants.
											Je dois dire qu'en tant que personne
qui étudie et traite ces blessures,
											je suis très contente de voir
la sensibilisation croissante aux TCC
											et en particulier, les risques
à court et long termes pour les athlètes.
									","
											Una lesión cerebral traumática, o LCT,
											es una interrupción de la función cerebral
causada por un golpe externo en la cabeza.
											Y cuando uno escucha esta definición
											piensa en los deportes 
y los atletas profesionales,
											ya que es la clase de lesión que estamos
acostumbrados a ver en el campo de juego.
											Y esta imagen es la que ha definido 
a las LCT en la conciencia pública.
											Yo misma estudio las LCT 
en atletas retirados y en universitarios.
											En 2010 estuve en un escenario de TED
											hablando sobre las conmociones cerebrales
en los deportes de niños.
											Y debo decir, como alguien que investiga
y trata estas lesiones,
											que me complace ver cómo 
ha aumentado la conciencia sobre las LCT
											y, específicamente, los riesgos 
para los atletas a corto y a largo plazo.
									","
											Ein Schädel-Hirn-Trauma oder SHT,
											ist eine Verletzung des Gehirns,
bedingt durch einen Schlag auf den Kopf.
											Wenn man diese Definition hört,
											denkt man vermutlich
an Sport und Profisportler,
											da wir solche Verletzungen
üblicherweise auf dem Spielfeld sehen.
											Diese Bilder prägen
das allgemeine Verständnis von SHT.
											Ich selbst forsche über SHT
											unter ehemaligen Sportlern
und Sportstipendianten.
											Ich stand 2010 auf einer TED-Bühne,
											und erzählte über Gehirn-
erschütterung im Kindersport.
											Als jemand, der diese Verletzungen
erforscht und behandelt,
											freut mich das wachsende
Bewusstsein für SHT
											und vor allem für die Kurz- und
Langzeitfolgen für Sportler wirklich.
									",The surprising connection between brain injuries and crime,Kim Gorgens,11:42,"TEDx,prison,crime,justice system,criminal justice,brain,psychology,neuroscience,law,social change,society"
"
","
","
","
",The surprising connection between brain injuries and crime,Kim Gorgens,11:42,"TEDx,prison,crime,justice system,criminal justice,brain,psychology,neuroscience,law,social change,society"
"
											Today, though, I want to introduce you
to a larger but no less controversial
											group of people impacted
by traumatic brain injury,
											who don't often show up in the headlines.
											I've come to recognize
these inmates and probationers
											as surprisingly among the most
vulnerable members of society.
											For the last six years, my colleagues
and I have been doing research
											that has completely changed the way
we think about the criminal justice system
											and the people in it.
											And it may change the way
you think about those things, too.
									","
											Aujourd'hui, cependant,
j'aimerais vous présenter
											un plus grand groupe
mais pas moins controversé
											de personnes affectées
par les traumatismes cranio-cérébraux
											et qui ne font pas souvent
les gros titres.
											J'en suis venue à reconnaître
ces détenus et probationnaires
											comme étant, de façon surprenante,
											parmi les membres
les plus vulnérables de la société.
											Les six dernières années, mes collègues
et moi avons conduit des recherches
											ayant entièrement changé notre vision
du système de justice pénale
											et des gens en son sein.
											Cela pourrait également changer
votre vision des choses.
									","
											Sin embargo, hoy quiero presentarles
a un grupo de personas más grande
											que padece los impactos de 
las lesiones cerebrales traumáticas,
											y que no suele aparecer en los titulares.
											He llegado a reconocer 
que estos reclusos e internos
											se encuentran entre los miembros 
más vulnerables de la sociedad.
											Durante los últimos seis años
mis colegas y yo hemos hecho estudios
											que cambiaron completamente nuestro modo
de pensar sobre el sistema judicial penal
											y la gente en él.
											Y también podría cambiar 
su opinión sobre estas cosas.
									","
											Heute möchte ich Ihnen eine größere,
aber nicht weniger umstrittene
											Menschengruppe vorstellen,
die durch ein SHT beeinträchtigt ist,
											die nicht oft in den
Schlagzeilen erscheint.
											Mittlerweile zähle ich
diese Häftlinge und Probanden
											erstaunlicherweise zum
verletzlichsten Teil unserer Gesellschaft.
											In den letzten sechs Jahren
											haben meine Kollegen und ich
Forschungen angestellt,
											die unsere Sichtweise auf das
Strafrechtssystem und die Leute darin
											komplett veränderten.
											Es könnte Ihre Sichtweise darauf
ebenfalls verändern.
									",The surprising connection between brain injuries and crime,Kim Gorgens,11:42,"TEDx,prison,crime,justice system,criminal justice,brain,psychology,neuroscience,law,social change,society"
"
","
","
","
",The surprising connection between brain injuries and crime,Kim Gorgens,11:42,"TEDx,prison,crime,justice system,criminal justice,brain,psychology,neuroscience,law,social change,society"
"
											So I'll start with a shocking statistic:
											50 to 80 percent of people
in criminal justice
											have a traumatic brain injury.
											Up to 80 percent.
											In the general public,
in this room, for example,
											that number is less than five percent.
											And I'm not just talking about
getting your bell rung.
											These are the kinds of injuries
that require hospitalization.
											Most of them are the product
of a physical assault,
											and some of them
are actually sustained in jail.
											All of these numbers are even higher
among the women in criminal justice.
											Almost every single woman
in the criminal justice system
											has been exposed to interpersonal
violence and abuse.
											More than half of these women have
been exposed to repeated brain injuries.
											In this way, these women's brains look
like the brains of retired NFL players,
											and they'll likely face the same risks
for dementing diseases as they age.
											The same risks.
									","
											Je vais démarrer
par une statistique choquante :
											entre 50% et 80% des gens
dans le système de justice pénale
											ont un traumatisme cranio-cérébral.
											Jusqu'à 80%.
											Au sein du grand public,
par exemple dans cette pièce,
											ce nombre est inférieur à 5%.
											Je ne parle pas de prendre un coup
et d'être sonné,
											mais du genre de lésions
qui nécessitent une hospitalisation.
											La plupart sont le résultat
d'une agression physique
											et certaines sont subies en prison.
											Tous ces chiffres sont encore plus élevés
											parmi les femmes au sein
du système de justice pénale.
											Presque toutes les femmes
au sein du système de justice pénale
											ont été exposées à de la violence
et des agressions interpersonnelles.
											Plus de la moitié de ces femmes ont eu
des lésions cérébrales à répétition.
											Le cerveau de ces femmes
											ressemble au cerveau des joueurs
de football américain à la retraite
											et elles auront probablement
											les mêmes risques de maladies
neurodégénératives avec l'âge.
											Les mêmes risques.
									","
											Así que empezaré 
con una estadística alarmante:
											entre un 50 y un 80 % de la gente
en la justicia penal
											tiene una lesión cerebral traumática.
											Hasta un 80 %.
											En el público en general,
por ejemplo en esta sala,
											ese número es menos de un 5 %.
											Y no solo hablo de un golpe 
fuerte en la cabeza.
											Estas son la clase de lesiones
que requieren hospitalización.
											La mayoría de ellas son 
el resultado de un ataque físico,
											y algunos de ellas ocurren en la cárcel.
											Todos estos número incluso son mayores
entre las mujeres en el sistema penal.
											Casi todas las mujeres en el sistema penal
											han estado expuestas 
a violencia interpersonal y abuso.
											Más de la mitad de esas mujeres estuvieron
expuestas a lesiones cerebrales repetidas.
											Y así, los cerebros de estas mujeres 
se parecen a los de los atletas retirados,
											y quizá enfrenten los mismos riesgos 
de demencia a medida que envejecen.
											Los mismos riesgos.
									","
											Ich beginne mit einer
schockierenden Statistik:
											50 bis 80 Prozent der Menschen
innerhalb der Strafjustiz
											haben ein Schädel-Hirn-Trauma.
											Bis zu 80 Prozent.
											In der allgemeinen Bevölkerung,
in diesem Raum beispielsweise,
											ist die Zahl niedriger als fünf Prozent.
											Ich spreche nicht
von Gehirnerschütterungen.
											Dies sind Verletzungen,
die stationär behandelt werden müssen.
											Sie sind meist das Ergebnis
von körperlichen Übergriffen,
											zum Teil hat man sie aber auch
im Gefängnis erlitten.
											Diese Zahlen sind sogar höher unter
den Frauen innerhalb der Strafjustiz.
											Fast jede Frau im Strafrechtssystem
											war bereits Opfer
von Gewalt und Missbrauch.
											Mehr als die Hälfte dieser Frauen haben
wiederholt Gehirnverletzungen erlitten.
											Daher gleicht das Gehirn dieser Frauen
dem ehemaliger NFL-Spieler,
											und sie haben das gleiche erhöhte Risiko
für Demenzkrankheiten im Alter.
											Die gleichen Risiken.
									",The surprising connection between brain injuries and crime,Kim Gorgens,11:42,"TEDx,prison,crime,justice system,criminal justice,brain,psychology,neuroscience,law,social change,society"
"
","
","
","
",The surprising connection between brain injuries and crime,Kim Gorgens,11:42,"TEDx,prison,crime,justice system,criminal justice,brain,psychology,neuroscience,law,social change,society"
"
											TBI, together with mental illness
and substance abuse and trauma,
											makes it hard for people to think.
											They have cognitive impairments like
poor judgment and poor impulse control,
											problems that make
criminal justice a revolving door.
											People get arrested and booked into jail.
											They oftentimes get into trouble
while they're in there.
											They get into fights.
They fall out of their bunk.
											And then they get released
and do stupid things,
											like forgetting mandatory check-ins,
and they get rearrested.
											Statistically speaking,
											they're actually more likely
to be rearrested than not.
											A colleague calls this ""serving
a life sentence 30 days at a time.""
									","
											Les TCC, avec les maladies mentales,
la toxicomanie et les traumatismes,
											rendent l'exercice de réflexion difficile.
											Ils ont des déficiences cognitives
comme un mauvais jugement,
											un contrôle médiocre de leurs impulsions,
											des problèmes qui font du système
de justice pénale un cercle vicieux.
											Les gens sont arrêtés et emprisonnés.
											Souvent, ils s'attirent des ennuis
pendant qu'ils sont là-bas.
											Ils se battent, ils tombent de leur lit.
											Puis ils sont libérés
et font des trucs stupides,
											comme oublier des contrôles obligatoires,
et sont de nouveau arrêtés.
											Statistiquement,
											ils ont plus de risques d'être arrêtés
que de ne pas l'être.
											Un collègue appelle cela
											« purger une peine à perpétuité
30 jours à la fois ».
									","
											Las LCT, más las enfermedades mentales, 
el abuso de substancias y los traumas,
											hacen que pensar sea más difícil 
para esta gente.
											Tienen deterioro cognitivo, como juicios 
y control de los impulsos deficientes,
											problemas que convierten al sistema
penal en una puerta giratoria.
											Los arrestan y los llevan a la cárcel.
											Muchas veces se meten en problemas 
mientras están allí.
											Se pelean. Se caen del camastro.
											Los liberan y hacen cosas estúpidas,
											como olvidar sus registros obligatorios,
y los vuelven a arrestar.
											Estadísticamente,
											es más probable que sean arrestados
que no lo sean.
											Un colega lo llama ""estar condenado 
de por vida 30 días cada vez"".
									","
											SHT, gepaart mit psychischer Erkrankung,
Drogenmissbrauch und Trauma,
											erschwert das Denken der Menschen.
											Sie haben kognitive Beeinträchtigungen
											wie schlechtes Urteilsvermögen
und Selbstbeherrschung,
											Probleme, die die Strafjustiz
zu einer Drehtür machen.
											Menschen werden verhaftet
und ins Gefängnis gebracht.
											Sie geraten oft in Schwierigkeiten,
wenn sie dort sind.
											Sie geraten in Schlägereien,
fallen von ihren Pritschen.
											Sie werden freigelassen
und machen Dummheiten,
											vergessen z. B. Pflichttermine
und werden erneut verhaftet.
											Statistisch gesehen,
											werden sie eher verhaftet als nicht.
											Ein Kollege nennt das:
											""In jeweils 30 Tagen
eine lebenslange Haftstrafe absitzen"".
									",The surprising connection between brain injuries and crime,Kim Gorgens,11:42,"TEDx,prison,crime,justice system,criminal justice,brain,psychology,neuroscience,law,social change,society"
"
","
","
","
",The surprising connection between brain injuries and crime,Kim Gorgens,11:42,"TEDx,prison,crime,justice system,criminal justice,brain,psychology,neuroscience,law,social change,society"
"
											And oftentimes, these folks don't know
why this is so hard for them.
											They feel out of control and frustrated.
											So knowing that TBI is at the root
of so many of these challenges,
											the mission for a group of us in Colorado
has been to disrupt that cycle,
											to jam the revolving the door.
											So working together
with my state and local partners,
											we crafted a plan
to meet everyone's needs:
											the system, the inmates and probationers,
											my graduate students.
											In this program, we assess
how each person's brain works
											so that we can recommend
basic modifications
											to make this system more effective
											and safer.
											And here when I say ""safer,""
I mean safer not only for the inmates,
											but safer also for correctional staff.
									","
											Souvent, ces gens ignorent
pourquoi c'est si dur pour eux.
											Ils se sentent
hors de contrôle et frustrés.
											Sachant que des TCC sont à l'origine
de tant de ces problèmes,
											la mission de notre groupe
a été d'interrompre ce cycle,
											d'enrayer le cercle vicieux.
											En travaillant avec mes partenaires
ici au Colorado,
											nous avons établi une stratégie
pour satisfaire les besoins de tous :
											le système, les détenus
et probationnaires,
											mes étudiants.
											Dans ce programme, nous évaluons
comment fonctionne le cerveau de chacun
											afin de recommander
des modifications simples
											pour rendre ce système
plus efficace et plus sûr.
											Ici, quand je dis « plus sûr »,
je ne parle pas que des détenus
											j'inclus aussi le personnel correctionnel.
									","
											Y muchas veces esta gente no entiende
por qué les resulta tan difícil.
											Se sienten fuera de control y frustrados.
											Así que, sabiendo que las LCT son 
la raíz de todos estos problemas,
											la misión de nuestro grupo en Colorado
ha sido la de interrumpir este ciclo,
											atascar esa puerta giratoria.
											Y trabajando junto con mi estado
y los socios locales
											elaboramos un plan para satisfacer 
las necesidades de cada uno:
											el sistema, los reclusos y los internados,
											mis estudiantes universitarios...
											En este programa evaluamos 
cómo funciona el cerebro de cada persona,
											de modo que podemos recomendar
modificaciones básicas
											para hacer que el sistema 
sea más eficiente
											y más seguro.
											Y cuando digo ""más seguro"" 
no solo hablo de los reclusos,
											sino también del personal penitenciario.
									","
											Oft wissen diese Leute nicht,
warum es so schwer für sie ist.
											Sie haben die Kontrolle verloren
und sind frustriert.
											Mit dem Wissen, dass SHT die Ursache
vieler dieser Probleme ist,
											war das Ziel unserer Gruppe in Colorado,
den Kreislauf zu durchbrechen;
											die Drehtür zu blockieren.
											In Zusammenarbeit mit
meinen nationalen und lokalen Partnern,
											erstellten wir einen Plan,
um alle berücksichtigen zu können:
											das System, die Häftlinge
und die Probanden,
											meine Absolventen.
											In diesem Programm untersuchen wir,
wie jedes Gehirn funktioniert,
											sodass wir grundsätzliche
Veränderungen vorschlagen können,
											um das System effektiver zu machen
											und sicherer.
											Wenn ich ""sicherer"" sage, meine ich
nicht nur sicherer für die Häftlinge,
											sondern auch für
die Justizvollzugsbeamten.
									",The surprising connection between brain injuries and crime,Kim Gorgens,11:42,"TEDx,prison,crime,justice system,criminal justice,brain,psychology,neuroscience,law,social change,society"
