pt,en,de,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Gostava de experimentar uma coisa nova.
											Todos os que puderem,
											por favor, levantem-se.
											Agora vou referir alguns nomes.
											Quando não reconhecerem
o nome que eu disse,
											quando não puderem
dizer nada sobre eles,
											gostaria que se sentassem
											e se mantenham sentados.
											Veremos o que sabe
a última pessoa que ficar de pé, ok?
									","
											I'd like to try something new.
											Those of you who are able,
											please stand up.
											OK, so I'm going to name some names.
											When you hear a name
that you don't recognize,
											you can't tell me anything about them,
											I'd like you to take a seat
											and stay seated.
											The last person standing,
we're going to see what they know. OK?
									","
											Ich will etwas Neues versuchen.
											Wenn Sie aufstehen können,
											tun Sie es bitte jetzt.
											Ich werde nun einige Namen nennen.
											Wenn Sie einen Namen nicht erkennen,
											mir nichts zu ihm sagen können,
											bitte ich Sie, sich hinzusetzen
											und sitzen zu bleiben.
											Die letzte Person, die noch steht,
testen wir auf ihr Wissen. Okay?
									","
											J'aimerais essayer
quelque chose de nouveau.
											Ceux qui le peuvent,
											levez-vous, s'il vous plaît.
											Je vais donner quelques noms.
											Quand vous ne reconnaissez pas
le nom que j'ai dit,
											quand vous ne pouvez rien en dire,
											j'aimerais que vous vous rasseyez
											et que vous restiez assis.
											Nous verrons ce que connaît
la dernière personne debout, d'accord ?
									","
											Yeni bir şey denemek istiyorum.
											Yapabilecek olanlar
											lütfen ayağa kalkın.
											Tamamdır, şimdi size birkaç isim 
söyleceğim.
											Hatırlamadığınız, hakkında bir şey 
söyleyemeyeceğiniz bir isim duyduğunuzda
											oturmanızı ve ayağa kalkmamanızı
istiyorum.
											Bakalım en son ayakta kalanınız
ne biliyor. Tamam mıyız?
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											(Risos)
									","
											(Laughter)
									","
											(Lachen)
									","
											(Rires)
									","
											(Gülüşmeler)
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Muito bem.
											Eric Garner.
											Mike Brown.
											Tamir Rice.
											Freddie Gray.
									","
											All right.
											Eric Garner.
											Mike Brown.
											Tamir Rice.
											Freddie Gray.
									","
											Also dann:
											Eric Garner.
											Mike Brown.
											Tamir Rice.
											Freddie Gray.
									","
											Très bien.
											Eric Garner.
											Mike Brown.
											Tamir Rice.
											Freddie Gray.
									","
											Pekâlâ.
											Eric Garner.
											Mike Brown.
											Tamir Rice.
											Freddie Gray.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Ora bem, os que ainda estão de pé,
											queria que dessem uma olhadela
à vossa volta.
											Diria que metade ou mais
das pessoas ainda estão de pé.
											Portanto, vamos continuar.
									","
											So those of you who are still standing,
											I'd like you to turn around
and take a look.
											I'd say half to most of the people
are still standing.
											So let's continue.
									","
											Diejenigen, die noch stehen:
Schauen Sie sich einmal im Saal um.
											Ich würde sagen, die Hälfte
oder etwas mehr steht noch.
											Machen wir weiter.
									","
											Pour ceux d'entre vous encore debout,
											j'aimerais que vous regardiez
autour de vous.
											Je dirais que plus de la moitié des gens
sont encore debout.
											Continuons.
									","
											Hâlâ ayakta olanların
											etrafına bir bakmasını istiyorum.
											Yarıdan fazlanız hâlâ ayakta.
											Devam edelim.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Michelle Cusseaux.
											Tanisha Anderson.
											Aura Rosser.
											Megan Hockaday.
									","
											Michelle Cusseaux.
											Tanisha Anderson.
											Aura Rosser.
											Meagan Hockaday.
									","
											Michelle Cusseaux.
											Tanisha Anderson.
											Aura Rosser.
											Meagan Hockaday.
									","
											Michelle Cusseaux.
											Tanisha Anderson.
											Aura Rosser.
											Meagan Hockaday.
									","
											Michelle Cusseaux.
											Tanisha Anderson.
											Auro Rosser.
											Meagan Hockaday.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
