en,tr,de,fr,es,title,speaker,duration,tags
"
","
","
","
","
",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
											Yogi Berra, a US baseball player
and philosopher, said,
											""If we don't know where we're going,
we might not get there.""
											Accumulating scientific knowledge
is giving us greater insights,
											greater clarity, into what our future
might look like in a changing climate
											and what that could mean for our health.
											I'm here to talk about a related aspect,
											on how our emissions of greenhouse gases
from burning of fossil fuels
											is reducing the nutritional
quality of our food.
									","
											Amerikalı beyzbol oyuncusu 
ve filozof Yogi Berra şöyle söylüyor:
											""Nereye gittiğimizi bilmiyorsak
oraya ulaşamayabiliriz.""
											Bilimsel bilgi toplamak, değişen 
bir iklimde geleceğimizin nasıl görüneceği
											ve bunun sağlımız için 
ne anlama geldiği konusunda
											bize daha geniş 
bir kavrayış ve netlik sağlıyor.
											İlgili bir bakış açısı hakkında
konuşmak için buradayım,
											fosil yakıt yakmaktan oluşan 
sera gazı emisyonlarının
											yiyeceklerimizin besin kalitesini
nasıl azalttığı hakkında konuşacağım.
									","
											Yogi Berra, ein US-Baseballspieler 
und Philosoph, sagte:
											""Wenn wir nicht wissen, wohin wir gehen, 
könnten wir dort nicht ankommen.""
											Zunehmende wissenschaftliche Erkenntnisse 
geben uns eine größere Einsicht,
											mehr Klarheit darüber, wie unsere Zukunft 
mit dem Klimawandel aussehen könnte,
											und was das für unsere 
Gesundheit bedeuten könnte.
											Ich bin hier, um über 
einen ähnlichen Aspekt zu reden,
											darüber, wie unsere 
Emissionen von Treibhausgasen
											bei der Verbrennung fossiler Brennstoffe
											die Nährstoffqualität unserer 
Lebensmitten reduziert.
									","
											Yogi Berra, un joueur de baseball
et philosophe américain a déclaré :
											« Si nous ne savons pas où nous allons,
nous pourrions ne pas y arriver. »
											Accumuler des connaissances scientifiques
nous donne un meilleur aperçu,
											une meilleure visibilité, de ce que serait
notre avenir dans un climat en évolution
											et ce que cela signifie pour notre santé.
											Je suis ici pour parler
d'un aspect lié à cette question :
											comment nos émissions de gaz à effet
de serre issues de combustibles fossiles
											réduisent la qualité
nutritionnelle de nos aliments.
									","
											Yogi Berra, un beisbolista
y filósofo estadounidense dijo;
											""Si no sabemos hacia donde vamos,
quizás no lleguemos allí.""
											Acumular el conocimiento científico 
nos está dando mayores perspectivas,
											mayor claridad sobre cómo nuestro futuro
podría verse en un cambio climático.
											y lo que esto podría significar
para nuestra salud.
											Vine a hablar acerca de un aspecto
relacionado con esta pregunta:
											cómo nuestras emisiones
de gases de efecto invernadero
											provenientes de los combustibles fósiles
											están reduciendo la calidad 
nutricional de nuestra comida.
											Empecemos con la pirámide alimenticia.
									",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
","
","
","
","
",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
											We'll start with the food pyramid.
											You all know the food pyramid.
											We all need to eat a balanced diet.
											We need to get proteins,
											we need to get micronutrients,
											we need to get vitamins.
											And so, this is a way
for us to think about
											how to make sure we get
what we need every day
											so we can grow and thrive.
									","
											Besin piramidiyle başlayalım.
											Hepiniz besin piramidini biliyordur.
											Hepimizin dengeli beslenmesi gerekiyor.
											Protein almamız gerekiyor,
											mikro besin almamız gerekiyor,
											vitamin almamız gerekiyor.
											Dolayısıyla bu, her gün 
ihtiyacımız olan şeyleri aldığımızdan
											nasıl emin olacağımız
konusunda düşünmemiz için bir yol
											ki böylece büyüyüp gelişebilelim.
									","
											Lassen Sie uns mit der 
Nahrungspyramide beginnen.
											Sie kennen sie alle.
											Wir müssen uns alle ausgewogen ernähren.
											Wir brauchen Proteine,
											wir brauchen Spurenelemente,
											wir brauchen Vitamine.
											Dies ist eine Möglichkeit für uns, 
darüber nachzudenken,
											wie wir sichergehen können, 
was wir täglich brauchen
											um wachsen und gedeihen zu können.
									","
											Commençons par la pyramide alimentaire.
											Vous la connaissez tous.
											Nous avons tous besoin
d'une alimentation équilibrée.
											Nous avons besoin de protéines,
											de micro-éléments
											et de vitamines.
											C'est une façon de réfléchir
											à comment recevoir tous les jours
ce dont nous avons besoin
											pour nous développer
et être en bonne santé.
									","
											Todos Uds. conocen
la pirámide alimenticia.
											Todos nosotros necesitamos 
tener una dieta balanceada.
											Necesitamos proteínas,
											necesitamos micronutrientes,
											necesitamos vitaminas.
											Eta es una manera para pensar en
											cómo nos estamos asegurando
de conseguir lo que necesitamos cada día
											para poder crecer y desarrollarnos.
											Pero, comemos no sólo porque
lo necesitamos,
									",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
","
","
","
","
",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
											But we eat not just because we need to,
											we also eat for enjoyment.
											Bread, pasta, pizza —
											there's a whole range of foods
that are culturally important.
											We enjoy eating these.
											And so they're important for our diet,
											but they're also important
for our cultures.
									","
											Ancak sadece ihtiyacımız 
olduğu için yemek yemiyoruz,
											aynı zamanda zevk için de yemek yiyoruz.
											Ekmek, makarna, pizza —
											kültürel olarak önemli olan
birçok yiyecek var.
											Bunları yemeyi seviyoruz.
											Bu yüzden diyetimiz için önemliler
											ancak aynı zamanda 
kültürlerimiz için de önemliler.
									","
											Aber wir essen nicht nur, weil wir müssen,
											wir essen auch um zu genießen.
											Brot, Pasta, Pizza —
											es gibt eine Palette an Lebensmitteln, 
die kulturell relevant sind.
											Wir essen diese gerne.
											Sie sind also wichtig 
für unsere Ernährung,
											aber auch wichtig für unsere Kulturen.
									","
											Mais nos besoins ne guident pas
seuls notre alimentation,
											nous mangeons aussi pour le plaisir.
											Du pain, des pâtes, de la pizza –
											toute une gamme d'aliments ont
une grande importance culturelle.
											Nous aimons manger ces aliments.
											Ils sont importants pour
notre régime alimentaire,
											ainsi que pour notre culture.
									","
											sino también comemos por placer.
											Pan, pasta, pizza...
											hay una gama completa de alimentos
que son culturalmente importantes.
											Disfrutamos de comerlos.
											Y así son importantes para nuestra dieta,
											pero también son importantes
para nuestras culturas.
											El dióxido de carbono ha estado aumentado

											desde el inicio
de la Revolución Industrial,
									",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
","
","
","
","
",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
											Carbon dioxide has been increasing since
the start of the Industrial Revolution,
											increasing from about
280 parts per million to over 410 today,
											and it continues to increase.
											The carbon that plants need to grow
comes from this carbon dioxide.
											They bring it into the plant,
											they break it apart
into the carbon itself,
											and they use that to grow.
											They also need nutrients from the soil.
											And so yes, carbon dioxide is plant food.
									","
											Karbondioksit, Sanayi Devrimi'nin 
başından beri artıyor,
											günümüzde yaklaşık olarak milyonda
280'den 410 birimin üzerine artış gösterdi
											ve artmaya da devam ediyor.
											Bitkilerin büyümesi için gerekli olan 
karbon, bu karbondioksitten geliyor.
											Onu bitkiye getiriyorlar,
											karbonun kendisini ayırıyorlar
											ve onu büyümek için kullanıyorlar.
											Aynı zamanda topraktaki 
besinlere de ihtiyaçları var.
											Bu yüzden evet, 
karbondioksit bir gübre.
									","
											Der Kohlenstoffdioxidgehalt ist
											seit dem Beginn der 
industriellen Revolution gestiegen,
											von etwa 280 ppm auf über 410 ppm heute,
											und er steigt weiter an.
											Der Kohlenstoff, den Pflanzen 
zum wachsen brauchen,
											kommt von diesem Kohlenstoffdioxid.
											Sie bringen ihn in die Pflanze,
											zersetzen es in reinen Kohlenstoff
											und benutzen diesen, um zu wachsen.
											Sie brauchen auch Nährstoffe 
aus dem Boden.
											Also ja, Kohlenstoffdioxid 
ist Pflanzenfutter.
									","
											Le dioxyde de carbone a augmenté depuis
le début de la révolution industrielle,
											passant d'environ 280 ppm
à plus de 410 aujourd'hui,
											et son niveau continue de grimper.
											Le carbone qu'utilise la plante
pour pousser vient du dioxyde de carbone.
											Il s'introduit dans la plante,
											il se divise en deux
pour former du carbone
											et la plante l'utilise pour pousser.
											Une plante a aussi besoin
de nutriments venant du sol.
											Oui, le dioxyde de carbone est
un aliment pour les plantes.
									","
											de aproximadamente de 280 partes
por millón a más de 410 hoy,
											y sigue creciendo.
											El carbón que las plantas necesitan
para crecer viene del dióxido de carbono.
											Ellas lo llevan a la planta,
											lo convierten en carbón,
											y lo usan para crecer.
											Ellas también necesitan
nutrientes del suelo.
											Y sí, el dióxido de carbono
es un alimento para las plantas.
											Y esto debería ser una buena noticia;

											el aumento de la concentración
de dióxido de carbono,
									",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
","
","
","
","
",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
											And this should be good news,
of rising carbon dioxide concentrations,
											for food security around the world,
											making sure that people
get enough to eat every day.
											About 820 million people in the world
don't get enough to eat every day.
											So there's a fair amount written
about how higher CO2
											is going to help with
our food security problem.
											We need to accelerate our progress
in agricultural productivity
											to feed the nine to 10 billion people
who will be alive in 2050
											and to achieve the Sustainable
Development Goals,
											particularly the Goal Number 2,
											that is on reducing food insecurity,
											increasing nutrition,
											increasing access to the foods
that we need for everyone.
											We know that climate change
is affecting agricultural productivity.
											The earth has warmed
about one degree centigrade
											since preindustrial times.
											That is changing local temperature
and precipitation patterns,
											and that has consequences
for the agricultural productivity
											in many parts of the world.
											And it's not just local changes
in temperature and precipitation,
											it's the extremes.
											Extremes in terms of heat waves,
floods and droughts
											are significantly affecting productivity.
									","
											Bu; artan karbondioksit yoğunluğu,
dünya genelindeki gıda güvenliği
											ve insanların her gün yeteri kadar
yediklerinden emin olmak açısından
											sevindirici bir haber olmalı.
											Dünyada yaklaşık olarak 820 milyon insan
her gün yeteri kadar yemek yiyemiyor.
											Dolayısıyla yüksek karbondioksitin
gıda güvenliği sorunumuza
											nasıl yardımcı olacağı hakkında
makul sayıda yayın var.
											Tarımsal verimlilik sürecimizi
hızlandırmamız gerekiyor,
											böylece 2050'de hayatta olacak
9 ile 10 milyar insana besin sağlayabilir
											ve Sürdürülebilir Kalkınma
Hedefleri'ne ulaşabiliriz,
											özellikle de iki numaralı hedefe;
											besin güvensizliğini azaltmak,
											besin değerini artırmak,
											herkesin ihtiyaç duyduğu
yiyeceklere erişimi artırmak.
											İklim değişikliğinin tarımsal
verimliliği etkilediğini biliyoruz.
											Dünya, sanayi öncesi zamandan bu yana
bir santigrat derece kadar ısındı.
											Bu ısınma, yerel sıcaklıkları 
ve yağış dağılımlarını değiştiriyor
											ve bunun dünyanın birçok kısmında
											tarımsal verimlilik açısından 
sonuçlar doğuruyor.
											Sorun sadece sıcaklık ve yağıştaki
yerel değişiklikler değil,
											aşırı derecede olması.
											Sıcak hava dalgası,
seller ve kuraklık açısından aşırılık
											önemli derecede verimliliği etkiliyor.
									","
											Und es sollten gute Nachrichten sein,
											dass die Kohlenstoffdioxid-
Konzentration steigt,
											für die Nahrungssicherung weltweit,
											um sicherzustellen, dass Menschen 
jeden Tag genug zu essen haben.
											Etwa 820 Millionen Leute weltweit 
haben täglich nicht genug zu essen.
											Es gibt also ausreichend Belege dafür, 
wie höhere CO2-Level
											dem Problem der 
Nahrungssicherung helfen wird.
											Wir müssen unseren Fortschritt 
in der Agrarproduktivität vorantreiben,
											um die 9 bis 10 Milliarden Menschen, 
die 2050 am Leben sein werden, zu ernähren
											und um die nachhaltigen 
Entwicklungsziele zu erreichen,
											insbesondere das zweite Ziel,
											die Nahrungsunsicherheit zu reduzieren,
											Ernährung zu verbessern,
											den Zugang zu Lebensmitteln, 
die wir alle brauchen zu erleichtern.
											Wir wissen, dass der Klimawandel 
die Agrarproduktivität beeinflusst.
											Die Erde hat sich um 
circa ein Grad erwärmt,
											seit der vorindustriellen Zeit.
											Das ändert lokale Temperaturen 
und Niederschlagsmuster
											und es hat Konsequenzen 
für die Agrarproduktivität
											in vielen Teilen der Welt.
											Und es gibt nicht nur lokale Veränderungen
											bei Temperatur und Niederschlägen,
											es sind Extremwerte.
											Extremwerte hinsichtlich Hitzewellen, 
Überschwemmungen und Dürren
											beeinflussen die Produktivität erheblich.
									","
											L'augmentation de la part de dioxyde de
carbone devrait être une bonne nouvelle
											pour la sécurité alimentaire mondiale,
											en garantissant que les gens aient
assez à manger tous les jours.
											Dans le monde, 820 millions de personnes
ne peuvent pas manger tous les jours.
											Beaucoup de recherches ont été menées
sur la façon dont l'augmentation du CO2
											va aider à résoudre l'enjeu
de la sécurité alimentaire.
											Nous devons accélérer nos progrès
en matière de productivité agricole
											pour nourrir les 9 à 10 milliards
d'humains sur Terre en 2050
											et remplir les Objectifs
de développement durable,
											notamment le deuxième objectif,
											qui vise à réduire
la précarité alimentaire,
											une meilleure nutrition,
											un accès élargi aux aliments de base.
											Nous savons que le changement climatique
affecte la productivité agricole.
											La Terre s'est réchauffée
d'environ 1 degré Celsius
											depuis la période préindustrielle.
											Ce qui modifie les différents types
de climat et de précipitations,
											avec des conséquences
pour la productivité agricole
											dans de nombreuses régions du monde.
											Il n'y a pas que des changements locaux
du climat et des précipitations,
											il y a plus d'extrêmes.
											Des extrêmes comme des vagues de chaleur,
des inondations et des sécheresses
											qui affectent tout particulièrement
la productivité agricole.
									","
											para la seguridad alimentaria 
alrededor del mundo,
											asegurándonos que la gente tenga
la comida suficiente para comer cada día.
											Cerca de 820 millones
de personas en el mundo,
											no tienen comida suficiente
para comer cada día.
											Hay muchos estudios
acerca de cómo el aumento del CO2
											nos ayudará con nuestro problema
de seguridad alimentaria.
											Necesitamos acelerar nuestro progreso
en la productividad agrícola
											para alimentar de 9 a 10 mil millones
de personas que estarán vivas en el 2050.
											Y para alcanzar los Objetivos
de Desarrollo Sostenible,
											particularmente el objetivo número 2,
											que trata sobre reducir 
la inseguridad alimentaria,
											y el incremento de la nutrición,
											incrementando el acceso a la comida
que necesitamos para todos.
											Sabemos que el cambio climático está 
afectando la productividad agrícola.
											El planeta se ha calentado
cerca de 1 º C.
											desde la época preindustrial.
											Este es un cambio de temperatura local
y de los patrones de precipitación,
											que tiene consecuencias
para la productividad agricultural
											en muchas partes del mundo.
											Y no son sólo los cambios locales
en temperatura y precipitación,
											son los extremos.
											Los extremos en términos de 
olas de calor, inundaciones y sequías
											están significativamente
afectando la productividad.
											Y el dióxido de carbono,
									",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
