en,es,tr,de,title,speaker,duration,tags
"
","
","
","
",Two nameless bodies washed up on the beach. Here are their stories,Anders Fjellberg,14:41,"Europe,Middle East,death,global issues,identity,journalism,war,Syria"
"
											So this right here
											is the tiny village of Elle,
close to Lista.
											It's right at the southernmost
tip of Norway.
											And on January 2 this year,
											an elderly guy who lives in the village,
											he went out to see what was cast ashore
											during a recent storm.
											And on a patch of grass
right next to the water's edge,
											he found a wetsuit.
											It was grey and black,
and he thought it looked cheap.
											Out of each leg of the wetsuit
											there were sticking two white bones.
											It was clearly the remains
of a human being.
									","
											Esto de aquí
											es el pequeño pueblo
de Elle, cerca de Lista.
											Justo en la parte más
al sur de Noruega.
											El 2 de enero de este año,
											un anciano habitante de este pueblo,
											salió para ver los efectos en la orilla
											de una reciente tormenta.
											En una zona de hierba
justo hasta donde llega el agua,
											encontró un traje de buzo.
											Era gris y negro y parecía barato.
											Por el final de cada pierna del traje
											salían un par de huesos blancos.
											Sin duda eran los restos de un humano.
									","
											Resimde gördüğünüz
											Lista'nın yakınındaki küçük Elle köyü.
											Norveç'in tam en güney ucunda bulunmakta.
											Bu yıl 2 Ocak tarihinde,
											bu köyde yaşayan yaşlı bir adam
											yakın zamandaki fırtınadan
											kıyıya ne vurdu diye bakmak için 
dışarı çıktı.
											Hemen suyun kenarında, 
bir parça çimenin üzerinde
											bir dalgıç kıyafeti buldu.
											Rengi gri ve siyahtı, ucuz 
bir şey olduğunu düşündü.
											Dalgıç kıyafetinin her bir bacağından
											iki beyaz kemik çıkıyordu.
											Bunlar açıkça bir insanın kalıntılarıydı.
									","
											Das hier ist
											das winzige Dorf Elle, nahe Lista,
											an der südlichsten Spitze Norwegens.
											Am 2. Januar diesen Jahres
											ging ein älterer Bewohner
des Dorfes hinaus,
											um zu sehen, was der letzte Sturm
angeschwemmt hatte.
											Auf einer Grasfläche, direkt am Ufer,
											fand er einen Taucheranzug.
											Er war grau und schwarz 
und sah für ihn billig aus.
											Aus jedem der beiden Anzugbeine
											ragten zwei weiße Knochen hervor.
											Das waren eindeutig menschliche Überreste.
									",Two nameless bodies washed up on the beach. Here are their stories,Anders Fjellberg,14:41,"Europe,Middle East,death,global issues,identity,journalism,war,Syria"
"
","
","
","
",Two nameless bodies washed up on the beach. Here are their stories,Anders Fjellberg,14:41,"Europe,Middle East,death,global issues,identity,journalism,war,Syria"
"
											And usually, in Norway,
dead people are identified quickly.
											So the police started searching
											through missing reports
from the local area,
											national missing reports,
											and looked for accidents
with a possible connection.
											They found nothing.
											So they ran a DNA profile,
											and they started searching
internationally through Interpol.
											Nothing.
											This was a person
that nobody seemed to be missing.
											It was an invisible life
heading for a nameless grave.
											But then, after a month,
											the police in Norway got a message
from the police in the Netherlands.
											A couple of months earlier,
they had found a body,
											in an identical wetsuit,
and they had no idea who this person was.
											But the police in the Netherlands
managed to trace the wetsuit
											by an RFID chip that was sewn in the suit.
											So they were then able to tell
											that both wetsuits were bought
by the same customer at the same time,
											October 7, 2014,
											in the French city of Calais
by the English Channel.
											But this was all
they were able to figure out.
											The customer paid cash.
											There was no surveillance
footage from the shop.
											So it became a cold case.
									","
											En Noruega, los cadáveres
suelen identificarse rápido.
											y la policía empezó a investigar
											en informes de desapariciones de la zona,
											en informes nacionales.
											buscaron en accidentes
que pudieran tener relación.
											No encontraron nada.
											Realizaron una prueba de ADN
											y, a través de la Interpol,
buscaron en el extranjero.
											Nada.
											Era persona que parecía que 
nadie echara de menos.
											Una vida invisible hacia
una tumba sin nombre.
											Entonces, un mes después,
											la policía noruega recibió
un mensaje de la policía holandesa.
											Un par de meses antes,
habían encontrado un cadáver
											en un traje de neopreno idéntico 
y no sabían quién era la persona.
											La policía holandesa
pudo restrear el traje
											a través de un chip
de radiofrecuencia cosido al traje.
											Así pudieron afirmar 

											que ambos trajes los compró
la misma persona, a la misma hora.
											El 7 de octubre de 2014,
											en la ciudad francesa de Calais
en el canal de la Mancha.
											Y eso fue todo lo que pudieron saber. 

											Ese cliente pagó en efectivo.
											No había cámaras
de seguridad en la tienda.
											Fue caso cerrado.
									","
											Genellikle Norveç'te ölüler 
çabuk tespit edilirler.
											Böylece polis
											yöresel kayıp ilanlarını,
											ulusal kayıp ilanlarını
											ve bağlantılı olabilecek kazaları 
araştırmaya başladı.
											Hiçbir şey bulamadılar.
											Bu sebeple DNA profili yaptılar,
											ve Interpol aracılığıyla tüm 
dünyada aramaya başladılar.
											Gene hiçbir şey çıkmadı.
											Görünen o ki, bu kimsenin 
aramadığı bir kişiydi.
											İsimsiz bir mezara girecek olan,
görünmez bir hayattı.
											1 ay sonra,
											Norveç polisi Hollanda polisinden 
bir mesaj aldı.
											Birkaç ay önce
											onlar da aynı dalgıç kıyafetinde 
bir ceset bulmuşlardı
											ve onların da bu kişinin kim 
olduğuna dair fikirleri yoktu.
											Ama Hollanda polisi dalgıç kıyafetinin
											içine dikili bir RFID çipinden 
iz sürmeyi başarmıştı.
											Sonuçta iki kıyafetin de aynı 
müşteri tarafından
											aynı zamanda satın 
alındığını anlamışlardı,
											7 ekim 2014'te,
											Fransız şehri Calais'de,
İngiliz Manşı'nda.
											Ama sadece bu kadarını çözebilmişlerdi.
											Müşteri nakit ödemişti.
											Mağazanın gözetleme görüntüleri yoktu.
											Böylece çözülmemiş bir vaka olarak kaldı.
									","
											In Norwegen werden Tote 
normalerweise schnell identifiziert.
											Die Polizei begann also,
											lokale und nationale
Vermisstenanzeigen durchzusehen
											und suchte Unfälle mit
einer möglichen Verbindung.
											Sie fand nichts.
											Sie analysierte das DNA-Profil
											und begann, international 
durch Interpol zu suchen.
											Nichts.
											Das war eine Person, 
die niemand zu vermissen schien.
											Es war ein unsichtbares Leben, 
das auf ein namenloses Grab zusteuerte.
											Aber dann, nach einem Monat
											erhielt die norwegische Polizei 
eine Nachricht von der niederländischen.
											Die hatte ein paar Monate zuvor eine
Leiche in einem solchen Anzug gefunden
											und sie hatten keine Ahnung,
wer diese Person war.
											Aber die Polizei in den Niederlanden
konnte den Taucheranzug
											durch den RFID-Chip zurückverfolgen, 
der in den Anzug eingenäht war.
											Sie konnten also jetzt sagen,
											dass beide Anzüge gleichzeitig
vom selben Kunden am 7. Oktober 2014
											in der französischen Stadt Calais 
am Ärmelkanal
											gekauft worden waren.
											Aber das war alles, 
was sie herausfinden konnten.
											Der Kunde hatte bar bezahlt.
											Es gab keine Überwachungsvideos vom Laden.
											Der Fall blieb ungelöst.
									",Two nameless bodies washed up on the beach. Here are their stories,Anders Fjellberg,14:41,"Europe,Middle East,death,global issues,identity,journalism,war,Syria"
"
","
","
","
",Two nameless bodies washed up on the beach. Here are their stories,Anders Fjellberg,14:41,"Europe,Middle East,death,global issues,identity,journalism,war,Syria"
"
											We heard this story,
											and it triggered me and my colleague,
photographer Tomm Christiansen,
											and we of course had the obvious question:
who were these people?
											At the time, I'd barely
heard about Calais,
											but it took about two
or three seconds to figure out
											Calais is basically known for two things.
											It's the spot in continental Europe
closest to Britain,
											and a lot of migrants and refugees
are staying in this camp
											and are trying desperately
to cross over to Britain.
											And right there was a plausible theory
about the identity of the two people,
											and the police made this theory as well.
											Because if you or I or anybody else
with a firm connection to Europe
											goes missing off the coast of France,
people would just know.
											Your friends or family
would report you missing,
											the police would come search for you,
the media would know,
											and there would be
pictures of you on lampposts.
											It's difficult to disappear
without a trace.
											But if you just fled the war in Syria,
											and your family,
if you have any family left,
											don't necessarily know where you are,
											and you're staying here illegally
											amongst thousands of others
who come and go every day.
											Well, if you disappear one day,
nobody will notice.
											The police won't come search for you
because nobody knows you're gone.
									","
											Oímos la historia,
											y Tomm Christiansen, fotógrafo,
quedamos impactados.
											Nos hicimos la inevitable pregunta:
¿quiénes eran esas personas?
											Aunque a penas sabía nada de Calais,
											me llevó dos o tres segundos averiguar que
											Calais era conocida por dos cosas.
											Es la zona de Europa continental
más cercana a Gran Bretaña.
											Muchos inmigrantes y refugiados 
viven en un campamento
											e intentan cruzar hasta
Gran Bretaña a toda costa.
											Ahí había una posible teoría
sobre la identidad de los cadáveres
											y la policía intuyó lo mismo también.
											Si Uds. yo u otra persona
conectados a Europa
											desapareciera en la costa de
Francia, la gente lo sabría.
											Amigos o familia
denunciarían su desaparición,
											la policía le buscaría,
la prensa lo anunciaría
											y pondrían fotos en farolas.
											Es difícil desaparecer sin dejar rastro.
											Aunque si huyes de la guerra de Siria
											y tu familia, si es que aún tienes,
											no sabe con certeza dónde estás
											y estás aquí de forma ilegal
											entre miles de personas
que van y vienen a diario.
											Claro que si desapareces un día 
nadie se dará cuenta.
											La policía no te buscará porque
nadie nota que has desaparecido.
									","
											Biz bu hikayeyi duyduk 
ve bu benle
											meslektaşım fotoğrafçı 
Tomm Christiansen'i harekete geçirdi,
											tabii ki aklımızdaki bariz soru şuydu: 
bu insanlar kim?
											O zamanlar Calais hakkında 
çok az şey biliyordum,
											fakat Calais'nin iki şeyiyle ünlü olduğunu
											anlamam 2 ya da 3 saniyemi aldı.
											Burası Avrupa kıtasının 
İngiltere'ye en yakın noktası.
											Bir sürü göçmen ve mülteci 
buradaki kampta kalmakta
											ve umutsuzca İngiltere'ye 
geçmeye çalışmaktalar.
											Bu noktada, bu iki kişinin kimliği 
hakkında makul bir teori ortaya çıktı
											ve polis de bunu öngördü.
											Çünkü Avrupa'yla bağlantısı olan siz, 
ben veya başka biri
											Fransa kıyılarında kaybolsa, 
insanlar bilirler.
											Arkadaşlarınız veya aileniz 
kayıp olduğunuzu bildirirler,
											polis gelip sizi arar, medya bilir,
											muhtemelen lamba direklerinde 
resimleriniz olur.
											İz bırakmadan kaybolmak zordur.
											Fakat Suriye'deki savaştan kaçmışsanız,
											aileniz, tabii hâlâ bir aileniz kaldıysa,
											ister istemez nerede 
olduğunuzu bilemiyorlarsa
											ve burada, her gün gidip gelen 
binlercesi arasında,
											yasadışı olarak kalıyorsanız,
											bir gün kaybolursanız, hiç kimse 
fark etmeyecektir.
											Polis sizi aramayacaktır, 
çünkü kimse kaybolduğunuzu bilmiyordur.
									","
											Als wir die Geschichte hörten,
											rief sie in mir und meinem Kollegen,
dem Fotografen Tomm Christiansen,
											die naheliegende Frage hervor: 
Wer waren diese Leute?
											Damals wusste ich kaum etwas über Calais,
											aber ich fand schnell heraus,
											dass Calais hauptsächlich 
für zwei Dinge bekannt ist.
											Es ist Europas nächstgelegener Ort
zu Großbritannien.
											Viele Migranten und Flüchtlinge
leben in diesem Camp
											und versuchen verzweifelt, 
nach Großbritannien überzusetzen.
											Und genau da lag eine plausible Theorie 
über die Identität der beiden Menschen
											und die Polizei kam auch darauf.
											Denn wenn irgendwer mit einer
klaren Verbindung zu Europa
											an der französischen Küste
vermisst würde, wüsste man es.
											Freunde oder Familie würden
Sie vermisst melden,
											die Polizei würde Sie suchen,
die Medien wüssten Bescheid
											und es gäbe Bilder von Ihnen
an Laternenpfählen.
											Es ist schwierig, spurlos zu verschwinden.
											Aber wenn Sie aus Syrien geflohen sind,
											und Ihre Familie, vorausgesetzt, 
Sie haben noch Familie,
											nicht unbedingt weiß, wo Sie sind,
											und Sie hier illegal sind,
											inmitten Tausender anderer,
die jeden Tag kommen und gehen —
											wenn Sie eines Tages verschwinden,
wird es niemand bemerken.
											Die Polizei sucht Sie nicht, 
denn keiner weiß, dass Sie weg sind.
									",Two nameless bodies washed up on the beach. Here are their stories,Anders Fjellberg,14:41,"Europe,Middle East,death,global issues,identity,journalism,war,Syria"
"
","
","
","
",Two nameless bodies washed up on the beach. Here are their stories,Anders Fjellberg,14:41,"Europe,Middle East,death,global issues,identity,journalism,war,Syria"
"
											And this is what happened
to Shadi Omar Kataf
											and Mouaz Al Balkhi from Syria.
									","
											Eso es lo que le ocurrió 
a Shadi Omar Kataf
											y a Mouaz Al Balkhi, ambos sirios.
									","
											Suriyeli Shadi Omar Kataf ve
											Mouaz Al Balkhi'ye olan da buydu.
									","
											Genau das passierte Shadi Omar Kataf
											und Mouaz Al Balkhi aus Syrien.
									",Two nameless bodies washed up on the beach. Here are their stories,Anders Fjellberg,14:41,"Europe,Middle East,death,global issues,identity,journalism,war,Syria"
"
","
","
","
",Two nameless bodies washed up on the beach. Here are their stories,Anders Fjellberg,14:41,"Europe,Middle East,death,global issues,identity,journalism,war,Syria"
"
											Me and Tomm went to Calais
for the first time in April this year,
											and after three months of investigation,
we were able to tell the story
											about how these two young men
fled the war in Syria,
											ended up stuck in Calais,
											bought wetsuits and drowned
in what seems to have been an attempt
											to swim across the English Channel
in order to reach England.
											It is a story about the fact
that everybody has a name,
											everybody has a story,
everybody is someone.
											But it is also a story about what
it's like to be a refugee in Europe today.
									","
											Tomm y yo fuimos a Calais 
por primera vez en abril
											y después de tres meses
investigando podíamos contar la historia
											de dos jóvenes sirios que
escaparon de la guerra de Siria
											y, al no poder irse de Calais,
											compraron trajes de buzo y
se sumergieron en el intento
											de cruzar a nado el canal
de la Mancha hasta Inglaterra.
											Es la historia de cómo
todos tenemos un nombre
											todo el mundo tiene una historia
y todo el mundo es alguien.
											Pero también es la historia de qué 
significa ser un refugiado en Europa.
									","
											Ben ve Tomm, Calais'ye 
ilk kez bu yılın nisan ayında gittik.
											3 aylık bir soruşturmadan sonra, 
bu 2 genç adamın nasıl
											Suriye'deki savaştan kaçıp 
Calais'de sıkışıp kaldıklarının,
											İngiliz Manşı'nı yüzerek 
İngiltere'ye ulaşmak için
											nasıl dalgıç kıfayeti satın alıp 
boğulduklarının
											hikayesini anlatabilir hale geldik.
											Bu hikaye herkesin bir isminin olduğu 
gerçeğinin hikayesidir.
											Her kişinin bir hikayesi var,
her kişi bir şahsiyettir.
											Bu ayrıca, bugün Avrupa'da
											mülteci olmanın nasıl bir şey 
olduğunun hikayesidir.
									","
											Tomm und ich reisten im April
diesen Jahres erstmals nach Calais,
											und nach einer dreimonatigen Untersuchung
konnten wir die Geschichte
											der beiden jungen Männer erzählen,
die dem Krieg in Syrien entkamen,
											in Calais landeten,
											Taucheranzüge kauften und wahrscheinlich
bei dem Versuch ertranken,
											den Ärmelkanal zu durchschwimmen,
um England zu erreichen.
											Es ist eine Geschichte darüber,
dass jeder einen Namen
											und eine Geschichte hat,
dass jeder jemand ist.
											Aber es ist auch eine Geschichte darüber,
heute ein Flüchtling in Europa zu sein.
									",Two nameless bodies washed up on the beach. Here are their stories,Anders Fjellberg,14:41,"Europe,Middle East,death,global issues,identity,journalism,war,Syria"
