en,es,tr,fr,pt,de,title,speaker,duration,tags
"
","
","
","
","
","
",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
											If you do it right, it should sound like:
											TICK-tat, TICK-tat, TICK-tat,
TICK-tat, TICK-tat, TICK-tat.
											If you do it wrong, it sounds like:
											Tick-TAT, tick-TAT, tick-TAT.
									","
											Si lo haces bien, debe sonar así:
											TIC-tat, TIC-tat, TIC-tat,
TIC-tat, TIC-tat, TIC-tat.
											Si lo haces mal, suena así:
											tic-TAT, tic-TAT, tic-TAT.
									","
											Doğru yapıyorsanız, ritim şöyle olmalı:
											TICK-tat, TICK-tat, TICK-tat,
TICK-tat, TICK-tat, TICK-tat.
											Yanlış yapıyorsanız ritim böyle oluyor:
											Tick-TAT, tick-TAT, tick-TAT.
									","
											Si vous le faites bien,
vous devriez entendre :
											TIC-tat, TIC-tat, TIC-tat
TIC-tat, TIC-tat, TIC-tat
											Sinon, vous entendrez :
											Tic-TAT, tic-TAT, tic-TAT.
									","
											Se fizerem correctamente, deve soar assim:
											TICK-tat, TICK-tat, TICK-tat,
TICK-tat, TICK-tat, TICK-tat.
											Se fizerem mal, vai soar assim:
											Tick-TAT, tick-TAT, tick-TAT.

									","
											Wenn du es richtig machst,
sollte es so klingen:
											TICK-tat, TICK-tat, TICK-tat,
TICK-tat, TICK-tat, TICK-tat.
											Machst du es falsch, klingt es so:
											Tick-TAT, tick-TAT, tick-TAT
									",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
","
","
","
","
","
",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
											[Small thing. Big idea.]
									","
											[Cosa pequeña. Idea grande.]
									","
											[Küçük şey. Büyük fikir.]
									","
											[Petit objet. Grande idée.]
									","
											[Algo pequeno. Ideia grande]
									","
											[Kleine Sache. Große Idee.]
									",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
","
","
","
","
","
",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
											[Kyra Gaunt on
the Jump Rope]
									","
											[Kyra Gaunt habla de la soga de saltar]
									","
											[Kyra Gaunt 
Atlama İpi üzerine]
									","
											[Kyra Gaunt présente la corde à sauter]
									","
											[Kyra Gaunt sobre
a corda de saltar]
									","
											[Kyra Gaunt über das Springseil]
									",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
","
","
","
","
","
",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
											The jump rope is such a simple object.
											It can be made out of rope,
a clothesline, twine.
											It has, like, a twirl on it. (Laughs)
											I'm not sure how to describe that.
											What's important
is that it has a certain weight,
											and that they have
that kind of whip sound.
									","
											La soga de saltar es un objeto muy simple.
											Puede ser de cuerda,
de hilo de tender, del cordel.
											Está como... torcida.
											No sé cómo describirla.
											Lo importante es que sea de cierto peso
											y que haga ese sonido como de látigo.
									","
											Atlama ipi o kadar basit bir nesne ki.
											Halattan da yapılabilir,
çamaşır ipinden ve hasırdan da.
											Üzerinde kıvrımı olur. (Gülüyor)
											Nasıl tarif edeceğimi bilemiyorum.
											Önemli olan şey
belli bir ağırlığı olur
											ve o kırbaç sallama sesini çıkarırlar.
									","
											La corde à sauter est un objet si simple,
											fait d'une corde,
d'une ficelle ou d'un fil à linge.
											Elle tourne sur elle-même. (Rires)
											Vous voyez ce que je veux dire.
											L'important, c'est qu'elle ait
un certain poids
											et qu'elle produise
ce son particulier de fouet.
									","
											A corda de saltar é um objecto simples.
											Pode ser feita de corda,
de estendal, de cordel.
											Parece que... é torcida.
(Risos)
											Não sei como descrever.
											O que é importante
é que tenha um certo peso
											e que faça aquele som de chicote.
									","
											Das Springseil ist
ein so einfaches Objekt.
											Es kann aus Seil, einer Wäscheleine
oder Schnur gemacht sein.
											Es hat sowas wie einen Wirbel. (Lacht)
											Ich bin unsicher,
wie ich es beschreiben soll.
											Wichtig ist, dass es ein
bestimmtes Gewicht hat,
											und dass es diese Art
Peitschengeräusch von sich gibt.
									",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
","
","
","
","
","
",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
											It's not clear what the origin
of the jump rope is.
											There's some evidence
that it began in ancient Egypt, Phoenicia,
											and then it most likely traveled
to North America with Dutch settlers.
											The rope became a big thing
when women's clothes became more fitted
											and the pantaloon came into being.
											And so, girls were able to jump rope
											because their skirts
wouldn't catch the ropes.
											Governesses used it
to train their wards to jump rope.
											Even formerly enslaved African children
in the antebellum South
											jumped rope, too.
									","
											No está claro cuál es el origen
de la soga de saltar.
											Hay evidencia de que se originó
en el Antiguo Egipto, o en Fenicia,
											y que luego probablemente viajó
a Norteamérica con los colonos holandeses.
											La soga se hizo popular
											cuando la ropa femenina
se hizo más ajustada
											y nació el pantalón,
											así que las chicas podían saltar
											porque sus faldas
no se enredaban en las sogas.
											Las institutrices la usaban
											para entrenar a los niños
a saltar la soga.
											Hasta los niños africanos
											previamente esclavizados
en el Sur prebélico
											saltaban la soga también.
									","
											Atlama ipinin nasıl ortaya çıktığı
çok net değil.
											Antik Mısır'da, Fenike'de 
başladığına dair bazı bulgular var.
											Sonra muhtemelen Hollandalılar
tarafından Kuzey Amerika'ya geldi.
											Kadın kıyafetleri daha dar olmaya
ve pantolon giyilmeye başlayınca
											ip bir moda hâline geldi.
											Kızlar artık atlayabiliyordu,
											çünkü etekleri ipe yakalanmıyordu.
											Mürebbiyeler korumalarını eğitmek için
onlara ip atlatıyordu.
											Hatta sivil savaş öncesi Güney'de
köle Afrikalı çocuklar bile
											ip atlıyordu.
									","
											Son origine n'est pas claire.
											Elle pourrait être apparue
dans l'Egypte antique, en Phénicie.
											Sans doute que les colons néerlandais
l'ont amenée en Amérique du Nord.
											Elle est devenue populaire quand
les habits des femmes ont été plus ajustés
											et qu'elles ont porté
ce qu'on appelait des « culottes ».
											Ce qui permettait donc aux filles
de sauter à la corde
											sans être gênées par leurs jupes.
											Ainsi, les gouvernantes pouvaient initier
leurs pupilles à la corde à sauter.
											Même les jeunes esclaves africains,
avant la guerre de Sécession,
											sautaient aussi à la corde.
									","
											Não se conhece ao certo
a origem da corda de saltar.
											Há provas de que começou
no antigo Egipto, na Fenícia,
											e, provavelmente,
viajou até à América do Norte
											com os colonos holandeses.
											A corda tornou-se importante
											quando as roupas das mulheres
ficaram mais adequadas
											e apareceram as culotes .
											Assim, as raparigas
conseguiam saltar à corda
											porque as saias não ficavam
presas nas cordas.
											As governantas treinavam
as suas protegidas a saltar à corda.
											Até as crianças africanas
escravizadas no Sul,
											antes da guerra civil na América
saltavam à corda.
									","
											Es ist unklar, wo der Ursprung
des Springseils liegt.
											Es gibt einige Hinweise darauf,
dass es in Altägypten, Phönizien, begann
											und dann wohl durch niederländische
Siedler nach Nordamerika kam.
											Das Seil gewann an Bekanntheitsgrad
als die Kleidung für Frauen
											praktischer gestaltet wurde 
und Frauenhosen entstanden.
											So konnten auch Mädchen Seil springen,
											weil ihre Röcke sich
nicht mehr im Seil verfingen.
											Gouvernanten benutzen es, um ihren Mündeln
Seilspringen beizubringen.
											Sogar ehemalige versklavte
afrikanische Kinder im Vorkriegs-Süden
											sprangen Seil.
									",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
","
","
","
","
","
",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
