fr,en,pt,tr,de,es,title,speaker,duration,tags
"
","
","
","
","
","
",Einstein's miracle year,Larry Lagerstrom,5:00,"TED-Ed,history,intelligence,universe,physiology,science,animation,space,education"
"
											Au début de l'année 1905,
											le jeune Albert Einstein de presque 26 ans
menait une vie d'universitaire raté.
											La plupart des physiciens 
de son temps auraient ri à l'idée
											que le petit fonctionnaire avait 
beaucoup à apporter à la science.
											Et pourtant, l'année suivante,
											Einstein publia pas un,
											pas deux,
											pas trois,
											mais quatre articles extraordinaires,
chacun sur un sujet différent,
											destinés à transformer radicalement 
notre compréhension de l'univers.
									","
											As 1905 dawned,
											the soon-to-be 26-year-old Albert Einstein
faced life as a failed academic.
											Most physicists of the time
would have scoffed at the idea
											that this minor civil servant
could have much to contribute to science.
											Yet within the following year,
											Einstein would publish not one,
											not two,
											not three,
											but four extraordinary papers,
each on a different topic,
											that were destined to radically transform
our understanding of the universe.
									","
											Com a chegada de 1905,
											Albert Einstein, com quase 26 anos,
encarava a vida como um académico falhado.
											A maioria dos físicos da altura
escarneceriam da possibilidade
											de este mero funcionário público
ter com o que contribuir para a ciência.
											Mas no ano que se seguiu
											Einstein não publicaria um,
											nem dois,
											nem três,
											mas quatro artigos extraordinários,
todos sobre diferentes tópicos,
											destinados a alterar radicalmente
a nossa compreensão do universo.
									","
											1905'te yeni bir gün doğar iken,
											26 yaşlarındaki Albert Einstein hayatla 
başarısız bir akademisyen olarak yüzleşti.
											Çoğu fizikçinin bu küçük halk
hizmetçisinin
											bilime katkı sağlayabileceği konusunda
dalga geçtiği bir dönemdi.
											Ancak sonraki yıllarda,
											Eistein bir değil,
											iki değil,
											üç değil,
											evren anlayışımızı kökünden değişime
yönlendiren ve
											her birinde farklı bir konu olan 
dört olağanüstü makale yayınladı.
									","
											Anfang 1905
											stand dem fast 26-jährigen Einstein
											eine Zukunft als gescheiterter 
Akademiker bevor.
											Viele damalige Physiker hätten
die Vorstellung belächelt,
											dass ein unbedeutender Beamter
einen so großen Einfluss
											auf die Wissenschaftswelt haben könnte.
											Dennoch veröffentlichte Einstein
im folgenden Jahr nicht einen,
											nicht zwei,
											nicht drei,
											sondern vier bahnbrechende Abhandlungen 
zu verschiedenen Themen,
											die die Sicht der Menschen 
auf das Universum stark verändern sollten.
									","
											A comienzos del 1905,
											el joven a punto de cumplir 26 años, 
Albert Einstein,
											se enfrentaba a la vida 
como académico fracasado.
											La mayoría de los físicos de la época 
se habían burlado de la idea
											de que este pequeño funcionario 
pudiera aportar mucho a la ciencia.
											Sin embargo, en el año siguiente,
											Einstein publicaría no uno,
											no dos,
											no tres,
											sino cuatro trabajos extraordinarios, 
cada uno en un tema diferente,
											destinados a transformar radicalmente 
nuestra comprensión del universo.
									",Einstein's miracle year,Larry Lagerstrom,5:00,"TED-Ed,history,intelligence,universe,physiology,science,animation,space,education"
"
","
","
","
","
","
",Einstein's miracle year,Larry Lagerstrom,5:00,"TED-Ed,history,intelligence,universe,physiology,science,animation,space,education"
"
											Le fait qu'Einstein avait été recalé
en mathématique n'est qu'un mythe.
											Il avait maîtrisé le calcul, tout seul,
dès l'âge de 15 ans,
											avait eu de bons résultats 
à son lycée de Munich
											comme à l'École Polytechnique
Fédérale de Zurich
											où il étudiait pour passer le diplôme 
d'enseignant en maths et physiques.
											Mais, en manquant les cours pour 
passer plus de temps au labo
											et à cause de son manque
de considération pour ses professeurs,
											il divergea de son parcours 
professionnel initial.
											Recalé même pour un poste
d'assistant de laboratoire,
											il dut se contenter d'un poste 
au bureau suisse des brevets,
											obtenu à l'aide du père d'un ami.
									","
											The myth that Einstein
had failed math is just that.
											He had mastered calculus on his own
by the age of 15
											and done well at both
his Munich secondary school
											and at the Swiss Polytechnic,
											where he studied for
a math and physics teaching diploma.
											But skipping classes to spend
more time in the lab
											and neglecting to show proper deference
to his professors
											had derailed his intended career path.
											Passed over even
for a lab assistant position,
											he had to settle for a job
at the Swiss patent office,
											obtained with the help
of a friend's father.
									","
											O mito de que Einstein reprovou
em matemática é mesmo isso.
											Por volta dos 15 anos
já dominara os cálculos sozinho
											e tinha-se saído bem nas duas
escolas secundárias de Munique
											e no Politécnico suíço,
											onde estudou para obter um diploma
para ensinar matemática e física.
											Mas como faltava às aulas para passar
mais tempo no laboratório
											e não mostrava a consideração devida
aos seus professores,
											a carreira que pretendia descarrilou.
											Ignorado mesmo como
um assistente de laboratório,
											teve de se contentar com um trabalho
no gabinete de patentes suíço,
											conseguido com a ajuda
do pai de um amigo.
									","
											Einstein'nın matematikten kaldığı hikayesi
sadece efsaneden ibaretti.
											O ,15 yaşında, matematiksel işlemlere 
kendi kendine hakim olmuş
											ve hem Munich ortaokulunda
											hem de matematik ve fizik öğretme 
diploması için çalıştığı
											Swiss Polytechnic'de başarılı olmuştu.
											Fakat derslerini daha çok 
laboratuvarda geçirmesi,
											ve hocalarına göstermesi gereken saygıyı
ihmal etmesi,
											onun müstakbel kariyer yolculuğunu 
raydan çıkarmıştı.
											Laboratuvar asistanlığını 
bile es geçen Einstein,
											arkadaşının babasının yardımıyla 
Swiss patent ofisinde çalışma
											kararı almak zorunda kaldı.
									","
											Der Mythos, dass Einstein in Mathe 
schlecht war, bleibt nur ein Mythos.
											Mit 15 hatte er Mathe allein gemeistert
											und gute Noten sowohl am 
Gymnasium in München
											als auch am 
Schweizer Polytechnikum [ETH],
											wo er Mathematik und Physik
auf Lehramt studierte.
											Aber er schwänzte Seminare,
um mehr Zeit im Labor zu haben
											und zollte seinen Professoren
wenig Achtung,
											was seinen eingeschlagenen
Karriereweg enden ließ.
											Er erhielt nicht einmal
eine Stelle als Laborasisstent
											und musste daher im
Schweizer Patentamt arbeiten,
											eine Stelle, die ihm ein Freund 
seines Vaters vermittelt hatte.
									","
											El mito de que Einstein había fracasado 
en matemáticas es sólo un mito.
											Él dominó el cálculo por su cuenta ya a 
los 15 años y obtuvo buenos resultados
											tanto en su escuela secundaria de Múnich
como en la politécnica de Suiza,
											donde estudió para lograr el diploma 
para enseñar matemáticas y física.
											Pero saltarse las clases para pasar 
más tiempo en el laboratorio
											y no mostrar la debida deferencia 
a sus profesores
											descarriló su carrera prevista.
											No le consideraron ni siquiera 
para un puesto de asistente de laboratorio,
											tuvo que conformarse con un trabajo 
en la oficina de patentes suiza,
											obtenido con la ayuda 
del padre de un amigo.
									",Einstein's miracle year,Larry Lagerstrom,5:00,"TED-Ed,history,intelligence,universe,physiology,science,animation,space,education"
"
","
","
","
","
","
",Einstein's miracle year,Larry Lagerstrom,5:00,"TED-Ed,history,intelligence,universe,physiology,science,animation,space,education"
"
											Travaillant six jours par semaine,
											Einstein arrivait tout de même à trouver
du temps pour la physique,
											afin de discuter de ses derniers travaux 
avec quelques amis proches,
											et publier quelques articles mineurs.
											Ce fut une surprise majeure,
											quand en Mars 1905, il soumit un article
proposant une hypothèse bouleversante.
											Malgré les nombreuses preuves 
que la lumière était une onde,
											Einstein proposa qu'elle pourrait être,
en réalité, une particule,
											montrant que de mystérieux phénomènes,
comme l'effet photoélectrique,
											pourraient être expliqués
par cette hypothèse.
											Cette idée fut raillée pendant des années,
											mais Einstein avait simplement 
20 ans d'avance sur son temps.
											La dualité onde-particule allait devenir
la base de la révolution quantique.
									","
											Working six days a week as a patent clerk,
											Einstein still managed to make
some time for physics,
											discussing the latest work
with a few close friends,
											and publishing a couple of minor papers.
											It came as a major surprise
											when in March 1905 he submitted
a paper with a shocking hypothesis.
											Despite decades of evidence
that light was a wave,
											Einstein proposed that it could,
in fact, be a particle,
											showing that mysterious phenomena,
such as the photoelectric effect,
											could be explained by his hypothesis.
											The idea was derided for years to come,
											but Einstein was simply
twenty years ahead of his time.
											Wave-particle duality was slated to become
a cornerstone of the quantum revolution.
									","
											Era funcionário de patentes
seis dias por semana,
											mas Einstein conseguia
arranjar tempo para a física,
											discutindo trabalhos recentes
com alguns amigos chegados
											e publicando alguns artigos menores.
											Foi uma grande surpresa
											quando, em março de 1905, ele apresentou
um artigo com uma hipótese chocante.
											Apesar de décadas de evidências
de que a luz era uma onda,
											Einstein propôs que poderia ser
na realidade, uma partícula,
											mostrando que fenómenos misteriosos,
como o efeito fotoelétrico,
											poderiam ser explicados pela sua hipótese.
											A ideia foi ridicularizada
nos anos que se seguiram,
											mas Einstein estava apenas
20 anos à frente do seu tempo.
											A dualidade onda-partícula estava destinada
a ser um pilar da revolução quântica.
									","
											Haftanın altı günü tescil memuru 
olarak çalışan Einstein
											fizik çalışmaya,

											yakın arkadaşlarıyla son çalışmalar
hakkında tartışmaya,
											ve birkaç küçük makale yayınlamaya
vakit bulabiliyordu.
											Mart 1905'te , şaşırtıcı bir hipotez sunan
											bir makalesini teslim ettiği an büyük 
bir sürpriz ortaya çıkmıştı.
											Işığın bir dalga olduğuna dair onlarca
yıllık kanıtlara rağmen,
											Einstein ışığın, ancak 
kendi hipoteziyle
											açıklanabilinen fotoelektrik etki gibi
											gizemli olgular gösteren bir parçacık 
olduğunu öne sürdü.
											Bu fikir ile yıllarca dalga geçildi
											ama Einstein kendi döneminin 
adeta 20 yıl ilerisindeydi.
											Dalga-parçacık ikilisinin kuantum devrimi
için bir yapı taş olduğuna karar verildi.
									","
											6 Tage die Woche arbeitete er
als Prüfer im Patentamt,
											aber fand trotzdem
noch Zeit für Physik,
											diskutierte aktuelle Themen
mit ein paar engen Freunden
											und veröffentlichte einige kurze Aufsätze.
											Es war eine große Überraschung,
											als er im März 1905 eine schockierende 
Hypothese veröffentlichte.
											Jahrzehntelang war bewiesen worden, 
dass Licht eine Welle ist,
											aber Einstein behauptete, dass es
auch ein Teilchen sein könnte.
											Er bewies, dass ungeklärte Phänomene
wie der photoelektrische Effekt
											mit seiner Theorie erklärt werden könnten.
											Diese Vorstellung wurde
über Jahre verspottet,
											aber Einstein war seiner Zeit 
einfach nur 20 Jahre voraus.
											Der Welle-Teilchen-Dualismus wurde später
zum Fundament der Quantenrevolution.
									","
											Aún trabajando seis días a la semana 
como un empleado de patentes,
											Einstein se las arregló para sacar 
algo de tiempo para la física,
											discutir el último trabajo 
con amigos cercanos,
											y publicar un par de trabajos menores.
											Fue una gran sorpresa
											cuando en marzo de 1905,
se presentó un documento
											con una hipótesis sorprendente.
											A pesar de décadas de evidencia 
de que la luz era una onda,
											Einstein propuso que podría 
tratarse de una partícula,
											mostrando que fenómenos misteriosos, 
tales como el efecto fotoeléctrico,
											podrían explicarse mediante su hipótesis.
											La idea fue ridiculizada 
en los siguientes años,
											pero Einstein estaba simplemente 
20 años por delante de su tiempo.
											La dualidad onda-partícula 
fue candidata a convertirse
											en la piedra angular 
de la revolución cuántica.
									",Einstein's miracle year,Larry Lagerstrom,5:00,"TED-Ed,history,intelligence,universe,physiology,science,animation,space,education"
"
","
","
","
","
","
",Einstein's miracle year,Larry Lagerstrom,5:00,"TED-Ed,history,intelligence,universe,physiology,science,animation,space,education"
"
											Deux mois plus tard, en mai,
Einstein soumit un deuxième article,
											s'attaquant cette fois à la question
de l'existence de l'atome.
											Bien que certaines théories soient basées
sur l'idée d'atomes invisibles,
											d'importants scientifiques pensaient
encore qu'ils étaient une fiction utile,
											plutôt que de véritables objets physiques.
											Mais en utilisant un argument ingénieux,
											Einstein montra que le comportement
des petites particules
											se déplaçant au hasard dans un liquide,
connu comme le mouvement brownien,
											pouvait être prédit précisément
											par les collisions de millions 
d'atomes invisibles.
											Des expériences confirmèrent rapidement
le modèle d'Einstein,
											et les sceptiques de l'atome 
jetèrent l'éponge.
									","
											Two months later in May,
Einstein submitted a second paper,
											this time tackling the centuries old
question of whether atoms actually exist.
											Though certain theories were built on
the idea of invisible atoms,
											some prominent scientists still
believed them to be a useful fiction,
											rather than actual physical objects.
											But Einstein used an ingenious argument,
											showing that the behavior
of small particles
											randomly moving around in a liquid,
known as Brownian motion,
											could be precisely predicted
											by the collisions of millions
of invisible atoms.
											Experiments soon confirmed
Einstein's model,
											and atomic skeptics threw in the towel.
									","
											Dois meses depois, em maio,
Einstein apresentou um segundo artigo,
											abordando desta vez a dúvida centenária
da existência dos átomos.
											Embora certas teorias 
tivessem sido construídas
											com base na ideia de átomos invisíveis,
											certos cientistas de destaque
acreditavam tratar-se
											de uma ficção pertinente,
e não de objetos físicos reais.
											Mas Einstein usou um argumento genial,
											mostrando que o comportamento
de partículas pequenas
											que se moviam aleatoriamente num líquido,
											— conhecido como movimento Browniano —
											podiam ser previstas com precisão
											através da colisão de milhões
de átomos invisíveis.
											As experiências prontamente confirmaram
o modelo de Einstein
											e os céticos atómicos renderam-se.
									","
											İki ay sonra mayıs ayında, Einstein 
bu kez atomun varlığıyla ilgili
											yüzyıllık soruları cevaplayan ikinci
bir makale sundu.
											Gözle görülmeyen atom fikrine dayanan
belirli teoriler olmasına rağmen,
											bazı önemli bilim adamları hala bunların
fiziksel nesnelerden ziyade
											faydalı bir kurgu olduğuna inanıyordu.
											Fakat Einstein, Brownian 
hareketi olarak bilinen
											küçük parçacıkların 
bir sıvı etrafındaki
											düzensiz hareketini gösteren,
											gözle görülmeyen milyonlarca 
atom kütleleri tarafından
											tamamiyle öngörülen akıllıca
bir gerçeği kullandı.
											Deneyler kısa bir süre içerisinde
Einstein'ın modelini onayladı
											ve atomik şüpheciler pes ettiler.
									","
											Im Mai, 2 Monate später, veröffentlichte
Einstein eine weitere Abhandlung,
											in der er die jahrhundertealte Frage,
ob Atome existierten, beantwortete.
											Manche Theorien gingen
von unsichtbaren Atomen aus,
											aber einige hochrangige Wissenschaftler 
hielten sie nur für eine nette Idee
											anstatt für echte physikalische Objekte.
											Einstein hingegen nutzte
ein geniales Argument
											und zeigte, dass das Verhalten 
von kleinen Teilchen,
											die sich zufällig in einer Flüssigkeit
bewegen (Braun'sche Bewegung),
											dennoch genau vorausgesagt
werden konnte,
											wenn es Millionen unsichtbarer Atome
gibt, die miteinander kollidieren.
											Einsteins Theorie wurde bald
in Experimenten bestätigt
											und Atomskeptiker warfen 
nun endgültig das Handtuch.
									","
											Dos meses después, en mayo, 
Einstein presentó un segundo documento,
											esta vez abordando la centenaria pregunta 
de si realmente existen los átomos.
											Aunque ciertas teorías se construyeron 
bajo la idea de los átomos invisibles,
											algunos científicos prominentes 
todavía creían que eran una ficción útil,
											más que objetos físicos reales.
											Pero Einstein utilizó 
un argumento ingenioso,
											demostrando que el comportamiento 
de las partículas pequeñas
											que se mueven al azar 
alrededor en un líquido,
											conocido como movimiento browniano,
											se podría predecir con precisión
											debido a las colisiones de millones 
de átomos invisibles.
											Los experimentos pronto 
confirmaron el modelo de Einstein,
											y los escépticos atómicos 
tiraron la toalla.
									",Einstein's miracle year,Larry Lagerstrom,5:00,"TED-Ed,history,intelligence,universe,physiology,science,animation,space,education"
"
","
","
","
","
","
",Einstein's miracle year,Larry Lagerstrom,5:00,"TED-Ed,history,intelligence,universe,physiology,science,animation,space,education"
"
											Le troisième article sortit en juin.
											Pendant longtemps,
											Einstein avait été troublé 
par l'incohérence
											entre deux principes fondamentaux 
de la physique.
											Le principe bien établi de la relativité,
											remontant à Galilée,
											déclarait que le mouvement absolu
ne pouvait pas être défini.
											Et pourtant la théorie électromagnétique,
elle aussi bien établie,
											assurait que 
le mouvement absolu existait.
											Son incapacité à résoudre 
cette contradiction
											avait mis Einstein dans un état
qu'il disait de tension psychique.
											Mais en jour, en mai,
											après avoir réfléchi à ce puzzle 
avec son ami Michele Besso,
											le brouillard disparut.
											Einstein réalisa que la contradiction
pouvait être résolue
											si c'était la vitesse de la lumière 
qui restait constante,
											quel que soit le cadre de référence,
											alors que le temps et l'espace
étaient relatifs à l'observateur.
											Einstein mit au point les détails 
en quelques semaines,
											et formula ce qui allait être connu
comme la relativité restreinte.
											Non seulement la théorie bouleversa
notre compréhension de la réalité
											mais elle ouvrit la voie aux technologies,
											allant des accélérateurs de particules,
											aux GPS.
									","
											The third paper came in June.
											For a long time,
											Einstein had been troubled
by an inconsistency
											between two fundamental
principles of physics.
											The well established
principle of relativity,
											going all the way back to Galileo,
											stated that absolute motion
could not be defined.
											Yet electromagnetic theory,
also well established,
											asserted that absolute motion did exist.
											The discrepancy,
and his inability to resolve it,
											left Einstein in what he described
as a state of psychic tension.
											But one day in May,
											after he had mulled over the puzzle
with his friend Michele Besso,
											the clouds parted.
											Einstein realized
that the contradiction could be resolved
											if it was the speed of light
that remained constant,
											regardless of reference frame,
											while both time and space
were relative to the observer.
											It took Einstein only a few weeks
to work out the details
											and formulate what came to be known
as special relativity.
											The theory not only shattered
our previous understanding of reality
											but would also pave the way
for technologies,
											ranging from particle accelerators,
											to the global positioning system.
									","
											O terceiro artigo apareceu em junho.
											Durante muito tempo,
											Einstein andara preocupado
com uma inconsistência
											entre dois princípios
fundamentais da física.
											O bem definido
princípio da relatividade,
											vindo desde o tempo de Galileu,
											referia que os movimentos absolutos
não podiam ser definidos.
											Mas a teoria eletromagnética,
também bem definida,
											afirmava que o movimento absoluto
era real.
											Esta discrepância,
e a sua incapacidade de a resolver,
											deixou Einstein naquilo que ele descreveu
como um estado de tensão psíquica.
											Mas um dia em maio,
											depois de remoer o ""puzzle""
com o seu amigo Michele Besso,
											as nuvens afastaram-se.
											Einstein percebeu que a contradição
podia ser resolvida
											se a velocidade da luz
permanecesse constante
											independentemente
do quadro de referência,
											enquanto o tempo e o espaço
eram ambos relativos ao observador.
											Einstein precisou de apenas
algumas semanas para limar os detalhes
											e formular aquilo que viria a ser
conhecida como relatividade especial.
											A teoria não só estilhaçou a nossa 
compreensão anterior da realidade
											mas também abriria caminho
a tecnologias
											desde aceleradores de partículas
											ao sistema de posicionamento global.
									","
											Üçüncü makale Haziran'da geldi.
											Uzun bir süredir,
											Einstein, iki temel fizik 
kuralı arasındaki
											uyuşmazlık ile uğraşıyordu.
											Bütün yolları Galileo'ya geri getiren

											iyi kurulmuş görecelik kuralı,
											mutlak hareketin 
tanımlanamayacağını söylüyordu.
											Ancak aynı zamanda iyi kurulmuş
olan elektromanyetik teori,
											mutlak hareketin var olduğunu
iddia ediyordu.
											Bu çelişki ve Einstein'ın bunu çözmek
için var olan içgüdüsü,
											onu bir fizik gerginliği olarak
tanımladığı yerde bıraktı.
											Ancak bir Mayıs günü,
											arkadaşı Michele Besso ile yapboz 
üzerine kafa yorduktan sonra,
											bulutlar bölündü.
											Einstein, zaman ve mekan 
gözlemciyle alakalı olduğu sırada,
											referans yapı ne olursa olsun,
											ışığın hızı sürekli kalırsa,
											bu çelişkinin çözülebilirliğini farketti.
											Detaylar üzerinde çalışmak
ve olanları
											özel görecelik olarak formüle etmek 
Einstein'ın sadece bir kaç haftasını aldı.
											Bu teori sadece bizim önceki gerçeklik 
anlayışımızı değiştirmeyecek,
											aynı zamanda parçacık hızlandırıcıdan
											küresel konum sistemine kadar
											yeni teknolojiye yol açacaktı.
									","
											Seine dritte Veröffentlichung 
folgte im Juni.
											Lange Zeit hatte Einstein ein Problem
											mit einer Widersprüchlichkeit
											zwischen zwei fundamentalen
Prinzipien der Physik.
											Das anerkannte Relativitätsprinzip,
											das auf Galileo zurückgeht,
											besagte, dass absolute Bewegung
nicht definiert werden könne.
											Die ebenso anerkannte Theorie 
des Elektromagnetismus aber setzte voraus,
											dass absolute Bewegung
sehr wohl existiert.
											Dieser Zwiespalt und seine Unfähigkeit,
dieses Problem zu lösen,
											verursachten bei Einstein
psychische Probleme.
											Doch eines Tages im Mai,
											nachdem er das Rätsel
											mit seinem Freund 
Michele Besso besprochen hatte,
											lichtete sich der Nebel.
											Einstein erkannte,
dass das Problem lösbar ist,
											vorausgesetzt, die Lichtgeschwindigkeit
bleibt konstant,
											unabhängig vom Bezugssystem,
											während sowohl Zeit als auch Raum
relativ zum Betrachter bleiben.
											Nach wenigen Wochen waren
die Details ausgearbeitet
											und er formulierte die berühmte
Spezielle Relativitätstheorie.
											Diese Theorie erschütterte nicht nur
die bisherige Sicht auf die Realität,
											sondern ebnete auch den Weg
für diverse Technologien,
											vom Teilchenbeschleuniger
											bis hin zum GPS-System.
									","
											El tercer documento llegó en junio.
											Durante mucho tiempo, Einstein había 
tenido problemas por una inconsistencia
											entre dos principios 
fundamentales de la física.
											El principio bien establecido 
de la relatividad,
											que inició su andadura con Galileo,
											afirmaba que el movimiento 
absoluto no podía definirse.
											Sin embargo, la teoría electromagnética, 
también bien establecida,
											afirmó que existía 
el movimiento absoluto.
											La discrepancia y 
la incapacidad para resolverlo,
											dejó a Einstein en lo que describió 
como un estado de tensión psíquica.
											Pero un día de mayo, tras haber 
reflexionado sobre el rompecabezas
											con su amigo Michele Besso,
empezó a ver la luz.
											Einstein se dio cuenta de que 
la contradicción se podría resolver
											si la velocidad de la luz es lo que 
se mantiene constante,
											independientemente del 
marco de referencia,
											mientras que el tiempo y el espacio 
son relativos al observador.
											A Einstein le tomo solo unas semanas 
trabajar en los detalles
											y formular lo que llegó conocerse 
como la relatividad especial.
											La teoría no sólo destrozó nuestro 
entendimiento previo de la realidad,
											sino también allanaría el camino 
para que las tecnologías,
											que van desde los aceleradores de partículas,

											hasta el sistema de posicionamiento global.
									",Einstein's miracle year,Larry Lagerstrom,5:00,"TED-Ed,history,intelligence,universe,physiology,science,animation,space,education"
