de,en,es,fr,pt,title,speaker,duration,tags
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											Wenn Menschen mitbekommen,
dass ich über Zeitmanangement schreibe,
											gehen sie von zwei Annahmen aus.
											Erstens, dass ich immer pünktlich bin,
											bin ich nicht.
											Ich habe 4 kleine Kinder,
											denen ich gern die Schuld
für meine Verspätungen gebe.
											Aber oft liegt es gar nicht an ihnen.
											Einmal kam ich zu meinem eigenen 
Zeitmanagement-Vortrag zu spät.
									","
											When people find out
I write about time management,
											they assume two things.
											One is that I'm always on time,
											and I'm not.
											I have four small children,
											and I would like to blame them
for my occasional tardiness,
											but sometimes it's just not their fault.
											I was once late to my own speech
on time management.
									","
											Cuando la gente descubre
que escribo sobre el manejo del tiempo
											asumen dos cosas:
											Una, que soy siempre puntual,
											cosa que no es cierto.
											Tengo cuatro niños pequeños
											y me gustaría culparlos
por mis tardanzas ocasionales,
											pero a veces no es su culpa.
											Una vez llegué tarde a 
mi propio charla de gestión del tiempo.
									","
											Quand on apprend
que j'écris sur la gestion du temps,
											on suppose deux choses.
											Une, que je suis toujours à l'heure,
											je ne le suis pas.
											J'ai quatre jeunes enfants,
											et je voudrais les blâmer
pour mes retards occasionnels,
											mais parfois, ce n'est pas leur faute.
											Une fois j'étais en retard à
mon discours sur la gestion du temps.
									","
											Quando as pessoas descobrem
que escrevo sobre gestão de tempo,
											assumem duas coisas.
											Primeiro que sou sempre pontual,
											e não sou.
											Tenho quatro crianças pequenas,
											e gostaria de as culpar
pelos meus atrasos ocasionais,
											mas, por vezes, a culpa não é delas.
											Uma vez atrasei-me para um discurso
sobre gestão de tempo.
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											(Gelächter)
									","
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Risos)
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											Diese Ironie müssen wir uns für einen
Moment auf der Zunge zergehen lassen.
									","
											We all had to just take a moment
together and savor that irony.
									","
											Todos tomamos un momento juntos
y saboreemos esa ironía.
									","
											Nous avons tous pris le temps
de savourer cette ironie.
									","
											Tivemos todos que tirar um momento
e saborear essa ironia em conjunto.
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											Die zweite Annahme ist, dass ich
jede Menge Tipps und Tricks habe,
											um hier und da Zeit zu sparen.
											So manche Zeitschriften 
machen eine Story daraus,
											wie man den Lesern helfen kann,
täglich eine Stunde Zeit einzusparen.
											Wir sollen von täglichen Tätigkeiten
Zeit abzwacken,
											diese dann addieren
und so Zeit für Schönes gewinnen.
											Ich habe große Zweifel an diesem Ansatz,
											aber ich bin immer neugierig auf das,
											was sie sich ausdenken, 
bevor sie mich anrufen.
											Hier ein paar meiner Favoriten:
											Bei Besorgungen immer nur rechts abbiegen.
									","
											The second thing they assume
is that I have lots of tips and tricks
											for saving bits of time here and there.
											Sometimes I'll hear from magazines
that are doing a story along these lines,
											generally on how to help their readers
find an extra hour in the day.
											And the idea is that we'll shave
bits of time off everyday activities,
											add it up,
											and we'll have time for the good stuff.
											I question the entire premise
of this piece, but I'm always interested
											in hearing what they've come
up with before they call me.
											Some of my favorites:
											doing errands where you only
have to make right-hand turns —
									","
											Lo segundo que asumen es que
tengo un montón de consejos y trucos
											para ahorrar pizcas de tiempo.
											A veces escucho de revistas que 
hacen historias sobre estos temas,
											sobre cómo ayudar a sus lectores
a encontrar una hora extra en el día.
											La idea es que ahorremos tiempo
en las actividades cotidianas,
											lo sumemos,
											y tengamos tiempo para lo importante.
											Cuestiono toda esta hipótesis,
pero siempre estoy interesada
											en escuchar lo que han propuesto
antes de que me llamen.
											Algunas de mis favoritas:
											hacer tareas cuando solo 
tengan que girar a la derecha,
									","
											On suppose aussi
que j'ai beaucoup d'astuces
											pour gagner un peu de temps ici et là.
											J'ai parfois des nouvelles de magazines
qui font un article sur ce sujet,
											sur comment aider les lecteurs à
trouver une heure en plus dans la journée.
											Et l'idée est d'enlever un peu de temps
aux activités quotidiennes,
											en faire la somme,
											et nous aurions du temps
pour les trucs sympas.
											Je questionne le postulat de cet article
mais je suis toujours intéressée
											d'entendre ce qu'ils trouvent
avant de m'appeler.
											Parmi mes favoris :
											faire des courses en ne faisant
que des virages à droite -
									","
											E segundo, assumem que tenho
muitos truques e dicas
											para poupar tempo aqui e ali.
											Por vezes, oiço falar de revistas
que vão fazer um artigo sobre isso,
											por norma, como ajudar os leitores
a ganharem uma hora extra por dia.
											A ideia é retirar bocados de tempo
de atividades do dia-a-dia,
											somar tudo,
											e termos tempo para as coisas boas.
											Questiono toda a premissa do artigo,
mas fico sempre interessada
											em ouvir o que inventaram
antes de me ligarem.
											Alguns dos meus favoritos:
											fazer recados fazendo
apenas curvas à direita.
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											(Gelächter)
									","
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Risos)
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
