fr,en,tr,de,es,pt,title,speaker,duration,tags
"
","
","
","
","
","
",Lessons from the 1918 flu,Laurie Garrett,21:05,"Vaccines,business,ebola,health,health care,history,technology"
"
											Donc la première question est, pourquoi avons-nous besoin de
											nous inquiéter de la menace d'une pandémie?
											Qu'est-ce qui nous inquiète?
											Quand je dis 'nous', je travaille au Conseil des Relations Étrangères.
											Nous nous inquiétons dans la communauté de la sécurité nationale,
											et bien entendu dans la communauté de la biologie et dans la communauté de la santé publique.
											Alors que la mondialisation a augmenté les voyages,
											elle oblige tout le monde à être partout,
											tout le temps, dans le monde entier.
											Et cela signifie que vos autostoppeurs microbiens se déplacent avec vous.
											Donc une épidémie de peste à Surat en Inde
											devient non pas un obscur évènement, mais un évènement mondial —
											une inquiétude mondialisée qui a changé l'équation du risque.
											Katrina nous a montré
											que nous ne pouvons pas dépendre entièrement du gouvernement
											pour être prêt à réagir, à être capable de gérer les choses.
											En effet, l'apparition d'un foyer d'épidémie équivaudrait à de multiples Katrinas qui surviendraient en même temps.
									","
											So the first question is, why do we need to
											even worry about a pandemic threat?
											What is it that we're concerned about?
											When I say ""we,"" I'm at the Council on Foreign Relations.
											We're concerned in the national security community,
											and of course in the biology community and the public health community.
											While globalization has increased travel,
											it's made it necessary that everybody be everywhere,
											all the time, all over the world.
											And that means that your microbial hitchhikers are moving with you.
											So a plague outbreak in Surat, India
											becomes not an obscure event, but a globalized event —
											a globalized concern that has changed the risk equation.
											Katrina showed us
											that we cannot completely depend on government
											to have readiness in hand, to be capable of handling things.
											Indeed, an outbreak would be multiple Katrinas at once.
									","
											Öncelikle neden bir salgın tehdidinden
											endişe etmemiz gerektiği sorulabilir.
											Bunca endişe uyandıran şey aslında nedir?
											""Biz"" derken kastettiğim, üyesi olduğum dış ilişkiler konseyi.
											Ulusal güvenlik çevreleri ile ve
											elbette biyoloji ve kamu sağlığı çevreleri ile ilgiliyiz.
											Küreselleşmeyle birlikte seyahat sıklığı artınca
											herkesi, her yerde
											herhangi zamanda, dünyanın herhangi yerinde bulunur oldu.
											Demek oluyor ki, otostopçu mikroplarımız da bizimle birlikte seyahat ediyor.
											yani Hindistan'ın Surat bölgesindeki bir salgın
											artık ücra bir olay değil, küresel bir mesele haline geliyor.
											öyle ki, risk dengelerini tümüyle değiştiriyor.
											Katrina kasırgasında görüldüğü gibi
											bir felakete hazırlıklı olmada, sorunları çözebilmede
											artık sadece devlet kurumlarına güvenemeyiz.
											Bir salgınının Katrinandan kat-be-kat büyük olacağına şüphe yok.
									","
											Die erste Frage lautet, warum müssen wir uns
											überhaupt Sorgen über eine pandemische Bedrohung machen?
											Worüber sind wir besorgt?
											Wenn ich sage ""wir"", meine ich den Rat für Aussenbeziehungen.
											WIr sorgen uns in der Gemeinschaft für nationale Sicherheit,
											und natürlich auch in den Gesellschaften für Biologie und öffentliche Gesundheit.
											Während das Reisen durch die Globalisation stark zugenommen hat,
											ist es notwendig geworden, dass jeder überall ist,
											immer und auf der ganzen Welt.
											Das bedeutet, dass wir unsere kleinen mikrobiologischen Anhalter mit uns tragen.
											Eine Seuche, die in Surat, Indien beginnt,
											bleibt nicht unbedeutend, sondern ein globales Ereignis –
											eine globalisierte Besorgnis, die das Risikogleichgewicht verändert hat.
											Der Hurrikan Katrina hat uns gezeigt,
											dass wir uns nicht vollständig darauf verlassen können, das die Regierung
											jederzeit bereit und in der Lage ist, zu handeln.
											Tatsächlich kann der Ausbruch einer Seuche mehrere Katrinas auf einmal bedeuten.
									","
											La primera pregunta es, ¿por qué necesitamos
											siquiera preocuparnos por una amenaza de pandemia?
											¿Qué es lo que nos preocupa?
											Cuando digo ""nosotros,"" estoy en el Consejo de Relaciones Exteriores.
											Estamos preocupados, en la comunidad de seguridad nacional,
											y por supuesto en la comunidad de biología y de salud pública.
											La globalización ha incrementado los viajes,
											e hizo necesario para todos estar en todas partes,
											todo el tiempo, en todo el mundo.
											Y eso significa que los microbios pasajeros viajan con uno.
											Entonces una plaga que brota en Surat, India
											se vuelve, no un evento oculto, sino uno globalizado —
											una preocupación globalizada que cambia la ecuación de riesgo.
											Katrina nos demostró
											que no podemos depender completamente del gobierno
											para tener preparación, para ser capaces de manejar las cosas.
											De hecho, un brote sería como múltiples Katrinas a la vez.
									","
											A primeira pergunta é:
											Porque é preciso preocuparmo-nos
com uma ameaça de pandemia?
											Com que é que nos preocupamos?
											Quando digo ""nós"", refiro-me
ao Conselho de Relações Externas.
											Preocupamo-nos com a segurança
da comunidade nacional
											e com a comunidade biológica
e a saúde pública da comunidade.
											À medida que a globalização
aumenta as viagens,
											torna-se evidente que toda a gente
anda por toda a parte,
											permanentemente, pelo mundo inteiro.
											Isso significa que os nossos micróbios
viajam connosco.
											Assim, uma peste que ocorra
em Surat, na Índia,
											deixa de ser um acontecimento obscuro,
passa a ser um acontecimento global
											— uma preocupação global
que altera a equação do risco.
											O Katrina demonstrou
											que não podemos depender
apenas do governo
											para termos uma resposta atempada,
capaz de resolver as coisas.
											Um surto será como múltiplos Katrinas
ao mesmo tempo.
									",Lessons from the 1918 flu,Laurie Garrett,21:05,"Vaccines,business,ebola,health,health care,history,technology"
"
","
","
","
","
","
",Lessons from the 1918 flu,Laurie Garrett,21:05,"Vaccines,business,ebola,health,health care,history,technology"
"
											Notre grande préoccupation du moment, c'est un virus appelé grippe H5N1.
											Certains d'entre vous l'appellent la grippe aviaire,
											elle est apparue dans le sud de la Chine, dans le milieu des années 1990.
											Mais nous ne l'avons connue qu'en 1997.
											A la fin de Noël dernier, 13 pays seulement avaient connu le virus H5N1.
											Mais nous en sommes maintenant à 55 pays dans le monde,
											où ce virus a émergé,
											soit chez les oiseaux, soit chez les personnes, soit chez les deux.
											En ce qui concerne les oiseaux, nous voyons maintenant
											que quasiment le monde entier a vu ce virus
											à l'exception des Amériques.
											Et je vais en venir dans un moment aux raisons pour lesquelles nous avons jusqu'ici été épargnés.
									","
											Our big concern at the moment is a virus called H5N1 flu —
											some of you call it bird flu —
											which first emerged in southern China, in the mid-1990s,
											but we didn't know about it until 1997.
											At the end of last Christmas only 13 countries had seen H5N1.
											But we're now up to 55 countries in the world,
											have had this virus emerge,
											in either birds, or people or both.
											In the bird outbreaks we now can see
											that pretty much the whole world has seen this virus
											except the Americas.
											And I'll get into why we've so far been spared in a moment.
									","
											Şu andaki başlıca meselemiz H5N1 adlı virüsün neden olduğu grip
											bazılarınız ona kuş gribi diyor.
											Virüs 1990'ların ortalarında güney Çin'de ortaya çıktı.
											Ama 1997'ye kadar hakkında bilgimiz yoktu.
											Son noele kadar sadece 13 ülkede H5N1 görülmüştü.
											ama şimdi dünyanın çeşitli yerlerindeki 55 ülkede
											ya kuşlarda, ya insanlarda ya da her ikisinde birden
											bu virüs görülüyor.
											Kuşlar arasındaki salgından anlaşılıyor ki
											virüs amerika hariç dünyanın
											hemen her yerinde mevcut.
											Şimdi, canımızı nasıl olup da şimdiye dek kurtardığımıza geleceğim.
									","
											Unsere größte Sorge momentan ist das Virus namens H5N1.
											Manche von Ihnen nennen es Vogelgrippe,
											es trat zuerst in Südchina auf, Mitte der 90er Jahre.
											Aber es wurde erst im Jahr 1997 bekannt.
											Vergangenes Weihnachten kannten erst 13 Länder H5N1.
											Momentan sind wir bei 55 Ländern,
											in denen das Virus entweder
											in Vögeln, Menschen oder beiden aufgetreten ist.
											Was die Ausbrüche bei Vögeln angeht, können wir sehen,
											dass das Virus inzwischen mehr oder weniger auf der ganzen Welt war,
											ausser den beiden Amerikas.
											Ich werde darauf zurück kommen, warum wir bisher verschont bieben.
									","
											Nuestra gran preocupación ahora es un virus llamado gripe H5N1.
											Algunos la llaman gripe aviar,
											que apareció por primera vez al sur de China, a mediados de los 90.
											Pero no lo supimos hasta 1997.
											Al fin de la Navidad última, sólo 13 países habían visto el H5N1.
											Pero ahora son más de 55 países en el mundo,
											que han visto surgir este virus,
											ya sea en aves, personas o ambos.
											En los brotes en aves podemos ver
											que casi todo el mundo ha visto este virus
											excepto las Américas.
											Y diré por qué nos hemos salvado por el momento.
									","
											A nossa grande preocupação, agora,
é um vírus chamado gripe H5N1
											— a que chamamos gripe das aves —
											que apareceu primeiro no sul da China,
em meados dos anos 90,
											mas que só viemos a conhecer em 1997.
											No final do Natal passado,
só 13 países conheciam o H5N1,
											Mas agora, mais de 55 países
em todo o mundo
											já viram o aparecimento deste vírus,
											quer nas aves, quer nas pessoas,
ou em ambas.
											No surto em aves, vemos
											que este vírus foi encontrado
praticamente no mundo inteiro,
											exceto nas Américas.
											E vou explicar porque é que,
até agora, temos sido poupados.
									",Lessons from the 1918 flu,Laurie Garrett,21:05,"Vaccines,business,ebola,health,health care,history,technology"
"
","
","
","
","
","
",Lessons from the 1918 flu,Laurie Garrett,21:05,"Vaccines,business,ebola,health,health care,history,technology"
"
											Chez les oiseaux domestiques, notamment les poulets,
											il est 100 % mortel.
											C'est l'une des choses les plus meurtrières nous ayons vu
											circuler dans le monde
											au cours des siècles derniers.
											Nous l'avons combattu en abattant des quantités et des quantités de poulets,
											malheureusement souvent sans rembourser les éleveurs
											ce qui entraîne une dissimulation.
											Il est également transmis sur les schémas de migration
											des oiseaux aquatiques migrateurs sauvages.
											Cet événement centralisé a eu lieu
											dans un endroit appelé le Lac Chenghai, en Chine.
											Il y a deux ans, des milliers d'oiseaux
											migrateurs sont morts en
											raison d'une mutation
											du virus,
											qui a élargi énormément le nombre d'espèces touchées.
											Donc ces oiseaux qui allaient en Sibérie, en Europe et en Afrique
											ont transporté le virus, ce qui n'avait pas été possible auparavant.
									","
											In domestic birds, especially chickens,
											it's 100 percent lethal.
											It's one of the most lethal things we've seen
											in circulation in the world
											in any recent centuries.
											And we've dealt with it by killing off lots and lots and lots of chickens,
											and unfortunately often not reimbursing the peasant farmers
											with the result that there's cover-up.
											It's also carried on migration patterns
											of wild migratory aquatic birds.
											There has been this centralized event
											in a place called Lake Chenghai, China.
											Two years ago the migrating birds
											had a multiple event
											where thousands died because of a mutation occurring
											in the virus,
											which made the species range broaden dramatically.
											So that birds going to Siberia, to Europe, and to Africa
											carried the virus, which had not previously been possible.
									","
											Kümes hayvanlarında, özellikle tavuklarda
											%100 ölümcül olan H5N1
											şimdiye kadar yeryüzünde
											son yüzyıllarda dolaştığını bildiğimiz
											görülmüş en ölümcül şeylerden biri
											Bununla başetmek adına şimdiye dek bir sürü tavuk katledildi
											ve çoğu zaman çiftçiye tazminat ödenmediği
											neticesi de örtbas edildi.
											Hastalık, yabani göçmen kuşların
											göç döngüsüyle de yayılmakta.
											İki yıl önce Çin'deki Çengai gölü çevresinde
											yaşanan toplu kuş ölümleri akıllarda.
											Burada toplanan göçmen kuşlar
											hadisenin katlanmasına yol açtı
											virüsün mutasyona uğraması
											sonucu binlerce kuşun ölmesi, türlerinin çapını
											dramatik şekilde değiştirdi.
											Sibirya'ya, Avrupa'ya ve Afrika'ya giden göçmen kuşlar
											virüsü buralara taşıdı ki, bu daha önce görülmemişti.
									","
											Bei Nutzgeflügel, besonders bei Hühnern,
											ist H5N1 zu 100% tödlich.
											Es ist eine der tödlichsten bekanten Mikroben,
											die in den vergangenen Jahrhunderten
											auf der Welt im Umlauf war.
											Wir haben versucht, damit umzugehen, indem wir sehr viele Hühner getötet haben
											und oftmals geschah das leider, ohne die Kleinbauern zu entschädigen,
											so dass die Fälle jetzt oft vertuscht werden.
											Es wird auch durch die Migratinonsmuster
											von wilden Wasserzugvögeln weiter verbreitet.
											Es gab ein zentrales Ereignis
											am Qinghai-See in China.
											Vor zwei Jahren starben Tausende
											der Zugvögel gleichzeitig,
											aufgrund einer Mutation, die das Virus
											ausgebildet hatte,
											was die Bandbreite der befallenen Arten dramatisch vergrößerte.
											Diese Zugvögel flogen also nach Sibirien, Europa und Afrika
											und trugen das Virus in sich, was zuvor nicht möglich gewesen war.
									","
											En aves domésticas, especialmente gallinas,
											es letal en un 100 por ciento.
											Es una de las cosas más letales que hayamos visto
											en circulación en el mundo
											en cualquier siglo reciente.
											Y lo hemos enfrentado matando muchas, muchas gallinas,
											desafortunadamente a menudo sin compensar a los granjeros
											con el resultado de que hubo encubrimientos.
											También es transportado por patrones migratorios
											de aves acuáticas migratorias.
											Ocurrió este evento centralizado
											en un lugar llamado Lago Chenghai, China.
											Hace dos años las aves migratorias
											tuvieron un evento múltiple
											en que miles murieron por una mutación sufrida
											por el virus,
											que hizo el rango de especies ampliarse dramáticamente.
											Así que las aves yendo a Siberia, a Europa, y África
											llevaron el virus, lo cual no había sido posible anteriormente.
									","
											Nas aves domésticas,
em especial nas galinhas,
											é 100% mortal.
											É uma das coisas mais mortais
que já vimos
											em circulação pelo mundo
											nos últimos séculos.
											Lidámos com isso, matando
uma quantidade enorme de galinhas.
											Infelizmente, nem sempre reembolsamos
os criadores de galinhas
											e, por isso, há um certo encobrimento.
											Também aparece através
de padrões de migração
											das aves selvagens aquáticas
que migram.
											Este acontecimento centralizado ocorreu
											num local chamado Lago Chenghai, na China.
											Há dois anos, as aves migradoras
											tiveram uma ocorrência múltipla
											em que morreram milhares
por causa duma mutação
											que ocorreu no vírus,
											que aumentou muito
o número de espécies atingidas.
											Assim, as aves que partiam para a Sibéria,
para a Europa e para África
											transportaram o vírus, o que nunca
tinha acontecido anteriormente.
									",Lessons from the 1918 flu,Laurie Garrett,21:05,"Vaccines,business,ebola,health,health care,history,technology"
"
","
","
","
","
","
",Lessons from the 1918 flu,Laurie Garrett,21:05,"Vaccines,business,ebola,health,health care,history,technology"
"
											Nous assistons maintenant à des apparitions de foyers dans les populations humaines.
											Jusqu'à présent, fort heureusement, de petits événements,
											de minuscules foyers, des contaminations occasionnelles .
											Le virus a muté de façon spectaculaire au cours des deux dernières années
											pour former deux familles distinctes, si vous voulez,
											de l'arbre généalogique du virus H5N1,
											chacune avec des branches,
											et des attributs différents qui sont préoccupants.
											Alors, qu'est-ce qui nous inquiète? Eh bien, tout d'abord,
											à aucun moment dans l'histoire nous n'avons réussi à faire
											en temps opportun, un vaccin spécifique
											pour plus de 260 millions de personnes.
											Cela ne va pas nous aider beaucoup lors d'une pandémie mondiale.
											Vous avez entendu parler du vaccin que nous stockons.
											Mais personne ne croit qu'il sera particulièrement efficace
											si nous avons une véritable épidémie.
									","
											We're now seeing outbreaks in human populations —
											so far, fortunately, small events,
											tiny outbreaks, occasional clusters.
											The virus has mutated dramatically in the last two years
											to form two distinct families, if you will,
											of the H5N1 viral tree
											with branches in them,
											and with different attributes that are worrying.
											So what's concerning us? Well, first of all,
											at no time in history have we succeeded in making
											in a timely fashion, a specific vaccine
											for more than 260 million people.
											It's not going to do us very much good in a global pandemic.
											You've heard about the vaccine we're stockpiling.
											But nobody believes it will actually be particularly effective
											if we have a real outbreak.
									","
											Salgın şimdi de insan popülasyonunda görülüyor.
											Şimdilik neyse ki küçük çaplı salgınlar,
											ufak gruplar arasında müşahade ediliyor.
											Geçtiğimiz iki yılda virüs büyük bir mutasyona uğrayarak
											iki farklı tür grubuna evrildi
											ve H5N1 virüsünün soyağacı
											gelişen yeni dallarla ve
											farklı niteliklerle endişe verici hale geldi.
											Peki, bizi endişelendiren nedir? Öncelikle
											tarihin hiçbir döneminde belli dönem etkili olan hastalığa karşı
											260 milyondan fazla insana uygulanabilecek
											özel bir aşı geliştirmeyi başaramadık.
											Küresel bir salgın halinde bu durumun bize bir yararı olmayacak.
											Her ne kadar insanlar aşı stoklama yoluna gidiyorsa da
											hiçkimse bu aşının gerçek bir küresel salgın karşısında
											kesin ve kalıcı bir çözüm olduğunu düşünmüyor
									","
											Jetzt sehen wir Krankheitsausbrüche bei Menschen.
											Bisher sind das glücklicherweise kleine Ereignisse,
											winzige Ausbrüche, gelegentliche Ansammlungen.
											Das Virus hat sich in den letzten beiden Jahren dramatisch verändert,
											es haben sich zwei verschiedene Familien
											des H5N1 Virusbaums gebildet,
											mit Ästen und verschiedenen
											Eigenschaften, die besorgniserregend sind.
											Als also macht uns Sorgen? Nun, als erstes
											ist es und noch niemals rechtzeitig gelungen,
											einen gezielten Impfstoff für mehr
											als 260 Millionen Menschen herzustellen.
											Also wird uns das nicht viel helfen bei einer weltweiten Pandemie.
											Sie haben bestimmt von den Vorräten an Impfstoff gehört.
											Aber niemand glaubt, dass es tatsächlich sehr effektiv sein wird,
											wenn es einen echten Ausbruch gibt.
									","
											Ahora vemos brotes en poblaciones humanas.
											Hasta ahora, por fortuna, pequeños eventos,
											diminutos brotes, grupos ocasionales.
											El virus ha mutado dramáticamente en los últimos dos años
											para formar dos familias distintas, por decir así,
											del árbol viral H5N1
											con ramas en ellas,
											y con diferentes atributos preocupantes.
											¿Qué nos preocupa? En primer lugar
											nunca en la historia tuvimos éxito en producir
											de manera oportuna, una vacuna específica
											para más de 260 millones de personas.
											No nos hará ningún bien en una pandemia global.
											Habrán oído de la vacuna que estamos almacenando.
											Pero nadie cree que será particularmente efectiva
											si tenemos un brote real.
									","
											Assistimos agora a surtos 
em populações humanas
											— até agora, felizmente,
em pequenas ocorrências,
											pequenos surtos, grupos ocasionais.
											O vírus alterou-se drasticamente,
nos últimos dois anos,
											e formou duas famílias distintas,
											da árvore viral H5N1,
											que se ramifica,
											e com diferentes atributos preocupantes.
											O que é que nos preocupa?
											Primeiro, em nenhuma altura da história

											conseguimos fazer uma vacina específica,
atempadamente
											para mais de 260 milhões de pessoas.
											Não nos vai servir de muito
numa pandemia global.
											Já ouviram falar da vacina
que estamos a acumular.
											Mas ninguém acredita que seja
especialmente eficaz,
											se tivermos um surto a sério.
									",Lessons from the 1918 flu,Laurie Garrett,21:05,"Vaccines,business,ebola,health,health care,history,technology"
"
","
","
","
","
","
",Lessons from the 1918 flu,Laurie Garrett,21:05,"Vaccines,business,ebola,health,health care,history,technology"
"
											Et donc, voici une première idée,
											après le 11 septembre quand les aéroports ont été fermés
											notre saison de grippe a été retardée de deux semaines.
											Donc, l'idée est, peut-être ce que nous devrions faire, c'est simplement
											immédiatement - nous entendons dire que le virus H5N1 se propage d'homme à homme,
											que le virus a muté pour se transmettre d'homme à homme, —
											fermons les aéroports.
											Toutefois, des analyses faites par d'énormes ordinateurs
											sur l'efficacité probable de cette action,
											montrent que ça ne nous fera pas gagner de temps.
											Et bien sûr cela perturbera beaucoup la préparation des plans.
											Par exemple, tous les masques sont fabriqués en Chine.
											Comment les envoyer dans le monde entier
											si on a fermé tous les aéroports?
											Comment livrer les vaccins dans le monde entier
											et les médicaments, ou n'importe quoi d'efficace?
											Ainsi, il s'avère que la fermeture des aéroports est contre-productive.
									","
											So one thought is:
											after 9/11, when the airports closed,
											our flu season was delayed by two weeks.
											So the thought is, hey, maybe what we should do is just
											immediately — we hear there is H5N1 spreading from human to human,
											the virus has mutated to be a human-to-human transmitter —
											let's shut down the airports.
											However, huge supercomputer analyses,
											done of the likely effectiveness of this,
											show that it won't buy us much time at all.
											And of course it will be hugely disruptive in preparation plans.
											For example, all masks are made in China.
											How do you get them mobilized around the world
											if you've shut all the airports down?
											How do you get the vaccines moved around the world
											and the drugs moved, and whatever may or not be available that would work.
											So it turns out that shutting down the airports is counterproductive.
									","
											Çözüme dari fikirlerden biri, havaalanlarının 2 ay süreyle kapalı tutulduğu
											11 Eylül saldırısında olduğu gibi hava trafiğini durdurmak.
											Bu sayede grip mevsimimiz 2 hafta gecikmişti.
											Yani, H5N1'in insandan insan bulaştığını
											duyar duymaz derhal, bu arada virüs
											insandan insana bulaşacak şekilde mutasyona uğradı,
											havaalanlarını kapatmalıyız şeklinde bir görüş.
											Öte yandan karmaşık bilgisayar analizleri gösterdi ki,
											böylesi bir tedbir
											bize fazlaca zaman kazandırmayacak.
											Üstelik hazırlık planlarını sekteye uğratması da kaçınılmaz.
											Mesela, tüm maskeler Çin'de üretiliyor.
											Bütün hava trafiğini durdurursak
											bu maskeleri ülkeye nasıl getirteceğiz?
											Aşının, ilaçların ve işe yarayabilecek başka şeylerin
											dünyanın değişik yerlerine yollanması nasıl mümkün olacak?
											anlaşılan o ki, havaalanlarını kapatmak, çözüme hizmet etmiyor.
									","
											Ein Gedanke ist,
											als die Flughäfen geschossen wurden nach dem 11. September,
											verzögerte sich unsere jahreszeitliche Grippe um zwei Wochen.
											Der Gedanke ist also, vielleicht sollten wir einfach sofort –
											wir haben gehört, H5N1 wird nun von Mensch zu Mensch übertragen,
											das Virus ist zu einer für Menschen ansteckenden Krankheit mutiert –
											lassen Sie uns die Flughäfen schliessen.
											Analysen von Hochleistungsrechnern,
											welche über die Effektivität dieser Massnahme angestellt wurden,
											haben allerdings gezeigt, dass wir damit kaum Zeit gewinnen.
											Und natürlich wäre das enorm störend für alle vorbereitenden Planungen.
											Alle Gesichtsmasken werden beispielsweise in China hergestellt.
											Wie könnten wir sie überall auf der Welt verteilen,
											wenn wir einfach alle Flughäfen schliessen?
											Wie könnten wir die Impfstoffe rund um die Welt transportieren
											und die Medikamente oder alles andere, was verfügbar ist oder auch nicht?
											Wir sehen also, die Flughäfen zu schliessen, ist kontraproduktiv.
									","
											Así que una idea es
											luego del 11-S cuando los aeropuertos cerraron
											nuestra temporada de gripe se retrasó dos semanas.
											Entonces la idea es, tal vez lo que debamos hacer es
											inmediatamente — oímos que el H5N1 se contagia entre humanos,
											el virus ha mutado para ser transmitido de humano a humano —
											cerremos los aeropuertos.
											Sin embargo, análisis de supercomputadoras,
											sobre la efectividad probable de esto,
											muestran que no nos dará mucho tiempo,
											Y por supuesto será una enorme perturbación en planes de preparación.
											Por ejemplo, las máscaras se hacen en China.
											¿Cómo pueden llevarse hacia todo el mundo
											si cerramos todos los aeropuertos?
											¿Cómo llevamos a todo el mundo las vacunas
											y las drogas, y cualquier cosa que pueda o no estar disponible?
											Resulta que cerrar los aeropuertos es contraproducente.
									","
											Por isso pensámos:
											depois do 11 de setembro,
quando fechámos os aeroportos,
											a nossa estação da gripe
atrasou-se duas semanas.
											Pensámos que talvez devêssemos
fazer o mesmo imediatamente
											— dizem que o H5N1 está
a espalhar-se de pessoa para pessoa,
											o vírus sofreu uma mutação
e contagia pessoa a pessoa —
											toca a fechar os aeroportos.
											Mas as muitas análises
de super computadores,
											feitas sobre a real eficácia disso,
											mostram que não nos vão dar
muito tempo.
											E, claro, seria altamente prejudicial
na preparação de planos.
											Por exemplo, todas as máscaras
são feitas na China.
											Como distribuí-las por todo o mundo
											se fecharmos os aeroportos?
											Como distribuir as vacinas
pelo mundo inteiro,
											assim como os medicamentos
e o que houver disponível, que seja útil?
											Acontece que fechar os aeroportos
é contraproducente.
									",Lessons from the 1918 flu,Laurie Garrett,21:05,"Vaccines,business,ebola,health,health care,history,technology"
