en,pt,es,de,title,speaker,duration,tags
"
","
","
","
",How generational stereotypes hold us back at work,Leah Georges,11:35,"TEDx,business,collaboration,leadership,communication,success,personal growth,productivity,work"
"
											So, for the first time
in America's modern history,
											we have five generations
interacting at work.
									","
											Pela primeira vez
na história moderna americana,
											temos hoje cinco gerações
a interagir no local de trabalho.
									","
											Por primera vez en 
la historia moderna de EE.UU.
											tenemos cinco generaciones
interactuando en el trabajo.
									","
											Zum ersten Mal in der
neueren Geschichte Amerikas
											interagieren fünf Generationen
am Arbeitsplatz.
									",How generational stereotypes hold us back at work,Leah Georges,11:35,"TEDx,business,collaboration,leadership,communication,success,personal growth,productivity,work"
"
","
","
","
",How generational stereotypes hold us back at work,Leah Georges,11:35,"TEDx,business,collaboration,leadership,communication,success,personal growth,productivity,work"
"
											The veterans, born between 1922 and 1943,
											are known as the Greatest Generation,
the matures, the silents.
											They're known for their self-sacrifice,
											respect for authority
and work as its own reward.
									","
											Os veteranos, nascidos
entre 1922 e 1943,
											são conhecidos como a Geração Grandiosa
os veteranos, os silenciosos.
											São caracterizados pelo seu sacrifício,
											o respeito pela autoridade
e o trabalho como própria recompensa.
									","
											A los veteranos, que nacieron
entre 1922 y 1943,
											se los conoce como la Gran Generación, 
los maduros, los silenciosos.
											Se caracterizan por su autosacrificio,
											el respeto a la autoridad y por considerar
al trabajo como su recompensa.
									","
											Die Veteranen, die zwischen
1922 und 1943 geboren wurden,
											werden oft als Kriegskinder bezeichnet,
als reif, als still.
											Sie sind bekannt für ihre Selbstaufgabe
											und ihren Respekt für Autorität.
Für sie ist Arbeit gleich Anerkennung.
									",How generational stereotypes hold us back at work,Leah Georges,11:35,"TEDx,business,collaboration,leadership,communication,success,personal growth,productivity,work"
"
","
","
","
",How generational stereotypes hold us back at work,Leah Georges,11:35,"TEDx,business,collaboration,leadership,communication,success,personal growth,productivity,work"
"
											The boomers came shortly after,
born between 1944 and 1960.
											This is a generation
characterized by hard work.
											In fact, we can thank this generation
for the term ""workaholic.""
											They appreciate competition,
they love effective communication.
											And they're thinking towards retirement,
if they haven't retired already.
									","
											Os ""boomers"" aparecem pouco depois,
nascidos entre 1944 e 1960.
											É a geração caracterizada
pelo trabalho árduo.
											Podemos agradecer a esta geração
o termo ""workaholic"".
											Apreciam a competição
e gostam de uma comunicação eficaz.
											Estão a pensar na reforma,
se não estão já reformados.
									","
											Los ""baby boomers"" vinieron después, 
nacieron entre 1944 y 1960.
											Es una generación caracterizada 
por el trabajo duro.
											Los de esta generación originaron
el concepto de ""adicto al trabajo"".
											Ellos aprecian la competencia 
y aman la comunicación eficaz.
											Y están pensando en su jubilación, 
si es que ya no se han jubilado.
									","
											Kurz darauf folgten die Babyboomer,
geboren zwischen 1944 und 1960.
											Diese Generation zeichnet sich
durch harte Arbeit aus.
											Dieser Generation haben wir
den Ausdruck ""Workaholic"" zu verdanken.
											Sie schätzen Konkurrenz,
und lieben effektive Kommunikation.
											Und sie denken an die Rente,
wenn sie nicht schon im Ruhestand sind.
									",How generational stereotypes hold us back at work,Leah Georges,11:35,"TEDx,business,collaboration,leadership,communication,success,personal growth,productivity,work"
"
","
","
","
",How generational stereotypes hold us back at work,Leah Georges,11:35,"TEDx,business,collaboration,leadership,communication,success,personal growth,productivity,work"
"
											Generation X is known
as the lost generation
											the latchkey generation,
born between 1961 and 1980.
											This is the smallest generation,
											sandwiched between boomers
and the big millennials.
											More parents were divorced
in this generation
											than any generation prior.
											They also were the first generation
to tell us about work-life balance,
											and the first to really
ask for that in the workplace.
									","
											A geração X é conhecida
como a geração perdida,
											a geração fechada,
dos nascidos entre 1961 e 1980.
											É a geração mais pequena,
											encaixada entre os ""boomers""
e a grande ""geração do milénio"".
											Houve mais divórcios nesta geração
											do que em qualquer geração anterior.
											Foi também a primeira geração
a falar do equilíbrio trabalho-vida
											e a primeira a pedir isso
no local de trabalho.
									","
											La generación X es conocida 
como la generación perdida,
											los niños que se cuidaban de sí mismos, 
nacidos entre 1961 y 1980.
											Esta es la generación más pequeña,
											comprimida entre los ""baby boomers""
y los mileniales.
											En esta generación
se divorciaron más padres
											que en cualquier generación anterior.
											Fue la primera generación en hablar 
del equilibrio entre el trabajo y la vida,
											y los primeros en solicitarlo 
en el trabajo.
									","
											Generation X ist die verlorene Generation,
											die Generation der Schlüsselkinder,
die zwischen 1961 und 1980 geboren wurden.
											Sie ist die kleinste Generation,
											eingequetscht zwischen den Babyboomern
und der großen Generation Y.
											In dieser Generation
gab es mehr Scheidungen,
											als in irgendeiner Generation zuvor.
											Diese Generation brachte auch erstmals
den Begriff Work-Life-Balance auf,
											und wollte dies auch am
Arbeitsplatz umgesetzt sehen.
									",How generational stereotypes hold us back at work,Leah Georges,11:35,"TEDx,business,collaboration,leadership,communication,success,personal growth,productivity,work"
"
","
","
","
",How generational stereotypes hold us back at work,Leah Georges,11:35,"TEDx,business,collaboration,leadership,communication,success,personal growth,productivity,work"
"
											And then millennials — you know,
the everybody-gets-a-ribbon generation —
											born between 1981 and 2000.
											Never knew a time where technology
wasn't present in the home.
											They're incredibly pragmatic,
they're hopeful and they're determined.
											They think they're going
to change the world,
											in fact, I believe they're going to do it.
											They might be a little bit
idealistic sometimes,
											but in just the last several years,
											we've seen millennials
overtake Generation X
											to be the most represented
generation in the workforce.
											In fact, more than one in three people
in the United States labor force
											is a millennial.
											And soon to join us there,
Generation Z, born since 2000,
											our high school interns
or soon to be high school graduates.
									","
											A seguir, a geração do milénio
—a geração onde ""todos são premiados"" —
											nascidos entre 1981 e 2000.
											A tecnologia esteve sempre
presente na casa deles.
											São altamente pragmáticos,
esperançosos e determinados.
											Pensam que vão mudar o mundo
											e, de facto, acredito que o mudem.
											Por vezes, podem ser 
um pouquinho idealistas,
											mas nos últimos anos
											vimos muitos da geração do milénio
ultrapassar os da geração X,
											como a geração mais representada
na massa trabalhadora.
											Mais de um terço
dos trabalhadores nos EUA
											são da geração do milénio.
											Logo a seguir vem a geração Z,
os nascidos após 2000,
											os estudantes do secundário
ou os que já são finalistas.
									","
											Y luego, los mileniales —los de 
la generación ""todos reciben un premio""—
											nacidos entre 1981 y 2000.
											La tecnología siempre 
estuvo presente en sus casas.
											Son increíblemente prácticos, tienen
esperanzas y son decididos.
											Piensan que van a cambiar el mundo
											y de hecho, creo que lo van a hacer.
											Puede que a veces sean 
un poquito idealistas,
											pero en los últimos años
											he visto a muchos mileniales
superar a los de la generación X
											en ser la generación más representada
entre los trabajadores.
											De hecho, más de una de cada tres personas
que trabajan en los EE.UU.
											es un milenial.
											Y pronto vendrán los de la generación Z, 
nacidos a partir de 2000,
											nuestros estudiantes de la escuela 
secundaria que pronto se graduarán.
									","
											Und dann die Millennials —
die Dabei-Sein-Ist-Alles-Generation —
											geboren zwischen 1981 und 2000.
											Für sie war Technologie
immer zu Hause präsent.
											Sie sind unglaublich pragmatisch,
voller Hoffnung und entschlossen.
											Sie denken, sie werden die Welt verändern.
											Ehrlich gesagt, ich glaube daran.
											Manchmal sind sie vielleicht
etwas idealistisch,
											aber allein in den letzten paar Jahren,
											überholten die Millenials die Generation X
											und sind nun die größte Generation
in der Arbeitswelt.
											Tatsächlich ist jeder dritte Arbeitnehmer
in den Vereinigten Staaten
											ein Millenial.
											Und bald gesellt sich
Generation Z dazu, geboren seit 2000,
											unsere Praktikanten
oder bald sogar Abiturienten.
									",How generational stereotypes hold us back at work,Leah Georges,11:35,"TEDx,business,collaboration,leadership,communication,success,personal growth,productivity,work"
