en,tr,pt,es,title,speaker,duration,tags
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											When I was young,
											I wanted to be on TV:
											the lights, the cameras,
											the makeup,
											the glamorous life.
											And from my vantage point,
											just outside of a military base
in Lawton, Oklahoma,
											I didn't make the distinction
between TV reporter or actor.
											It was all the same to me.
											It was either,
											""Reporting live from Berlin""
											or ""I shall attend her here and woo her
with such spirit when she comes.""
									","
											Gençken
											TV'de olmak isterdim:
											ışıklar, kamera,
											makyaj,
											göz kamaştırıcı bir yaşam.
											Ve benim bakış açıma göre,
											Lawton, Oklahoma'daki
bir askeri üssün hemen dışında,
											TV muhabiri ile 
oyuncu arasında ayrım yapmadım.
											Hepsi benim için aynıydı.
											Her ikisi de
											""Berlin'den canlı yayın""
											veya ""Ona burada eşlik edeceğim ve
geldiğinde ona kur yapacağım."" aynıydı.
									","
											Quando eu era novo,
											queria estar na televisão:
											as luzes, as câmaras,
											a maquilhagem,
											a vida glamorosa.
											E do meu ponto de vista,
											fora de uma base militar
em Lawton, Oklahoma,
											eu não fazia a distinção
entre jornalista ou ator de TV.
											Era tudo a mesma coisa para mim.
											Ou era: ""Em direto de Berlim""
											ou ""Irei recebê-la aqui e cortejá-la
com tamanho sentimento quando chegar.""
									","
											Cuando era joven,
											quería trabajar en la televisión:
											las luces,
											las cámaras,
											el maquillaje,
											la vida glamorosa.
											Y desde mi óptica,
											allá cerca de una base militar
en Lawon, Oklahoma,
											no había diferencia entre 
un presentador de noticias y un actor.
											Para mí era lo mismo.
											Las opciones eran:
											""Informando en vivo desde Berlín""
											o bien,
											""Aquí la espero. En cuanto llegue 
le voy a hacer la corte como se debe"".
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Risas)
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											It was all special,
											it was all the spotlight,
											and I just knew that it was for me.
											But somewhere along my journey,
											life happened.
									","
											Hepsi özeldi,
											hepsi sahnedeydi
											ve onun benim için olduğunu biliyordum.
											Ama yolculuğum esnasında bir yerde
											yaşam meydana geldi.
									","
											Era tudo especial,
											tudo era o centro das atenções,
											e eu sabia que aquilo era para mim.
											Mas algures no meu percurso,
											aconteceu um imprevisto.
									","
											Todo se veía tan especial.
											Era ser el centro de atención,
											y yo estaba convencido 
de que aquello era para mí.
											Pero en algún punto del camino,
											mi vida dio un giro.
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											Ah, much better.
									","
											Ah, çok daha iyi.
									","
											Ah, muito melhor.
									","
											Ah, mejor así.
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											(Applause)
									","
											(Alkış)
									","
											(Aplausos)
									","
											(Aplausos)
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											I have a disease called vitiligo.
											It started early in my career.
											It's an autoimmune disorder.
											It's where it looks like your skin
is getting white patches,
											but it's actually void of color.
											It affects all ethnicities,
											it affects all ages,
											all genders,
											it's not contagious,
											it's not life-threatening,
											but it is mental warfare.
											It's tough.
											Now, I was diagnosed with this disease
											when I was working on
""Eyewitness News"" in New York City.
											I was in the biggest city in the country,
											I was on their flagship station
											and I was on their top-rated 5pm newscast.
											And the doctor looked me
right in the eye and said,
											""You have a disease called vitiligo.
											It's a skin disorder
where you lose your pigment.
											There is no cure,
but there a-la-la-la-la"".
											Charlie Brown's teacher.
									","
											Vitiligo adında bir hastalığım var.
											Kariyerimin ilk zamanlarında başladı.
											Bir otoimmün hastalığı.
											Cildinizin beyaz parçalar ile 
lekelenmiş gibi görünmesi
											ama aslında rengini kaybetmesi.
											Tüm etnik kökenleri etkiler,
											tüm yaş gruplarını etkiler,
											tüm cinsiyetleri etkiler,
											bulaşıcı değil,
											hayati tehlikesi yok
											ama zihinsel bir mücadeleye neden olur.
											Zor.
											Şimdi, bu hastalık ile tanılandığımda
											New York'ta ""Ewitness News""de çalışırken
											ülkedeki en büyük şehirdeydim.
											En önemli kanalındaydım
											ve en fazla puan alan 
17:00 haberlerindeydim.
											Doktor gözüme baktı ve şöyle dedi:
											""Hastalığının adı vitiligo.
											Pigmentlerini kaybettiğin
bir deri hastalığı.
											Tedavisi yok ama pek çok a-la-la-la-la.''
											Charlie Brown'un öğretmeni.
									","
											Tenho uma doença chamada vitiligo.
											Começou cedo na minha carreira.
											É uma doença autoimune.
											É quando a pele começa a ganhar
umas manchas brancas,
											mas na verdade está a perder cor.
											Afeta todas as etnias,
											todas as idades,
											todos os géneros,
											não é contagiosa,
											não é fatal,
											mas é uma guerra, mentalmente.
											É duro.
											Eu fui diagnosticado com esta doença
											quando trabalhava no
""Eyewitness News"" em Nova Iorque.
											Eu estava na maior cidade do país,
											estava na sua estação principal,
											e estava no noticiário das 17h
mais cotado.
											O médico olhou diretamente
para mim e disse:
											""Você tem uma doença chamada vitiligo.
											""É uma doença cutânea
em que a pele perde o seu pigmento.
											""Não há uma cura, mas há...""
blá-blá-blá.
											Como a professora do Charlie Brown.
									","
											Tengo una enfermedad
que se llama vitiligo.
											Apareció a principios de mi carrera.
											Es un trastorno autoinmune.
											Se manifiesta con la aparición
de manchas blancas en la piel
											pero, en realidad,
es la piel que pierde su color.
											Afecta a todas las etnias,
											a todas las edades,
											a todos los géneros.
											No es contagioso,
											no es potencialmente mortal,
											pero es una batalla mental.
											Es duro.
											Ahora bien, la enfermedad apareció
											cuando trabajaba en ""Eyewitness News""
en la ciudad de Nueva York.
											Estaba en la ciudad más grande del país,
											en la estación central de emisión,
											y trabajaba en el noticiero 
más visto de las 5 de la tarde.
											Y el médico me miró 
directo a los ojos y me dijo:
											""Tiene una enfermedad llamada vitiligo
											que consiste en la pérdida 
de pigmentación de la piel.
											No tiene cura, pero existen
bla, bla, bla, bla...
											La maestra de Charlie Brown.
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Risas)
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											He said there is no cure.
All I heard was, ""My career is over.""
									","
											Hiç tedavisi olmadığını söyledi. 
Tek duyduğum ""Kariyerimin son bulduğu""ydu.
									","
											Ele disse que não havia cura.
											O que ouvi foi: ""A minha carreira acabou.""
									","
											Me dijo que no tenía cura,
											pero lo que yo interpreté fue: 
""Mi carrera está terminada"".
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											But I just couldn't give up.
											I couldn't quit,
											because we put too much into this.
											And by ""we"" I mean Mr. Moss,
											who sent me to speech and drama club
instead of to detention,
											or my sister who paid
part of my college expenses,
											or my mom,
											who simply gave me everything.
											I would not quit.
									","
											Ama vazgeçemezdim.
											Bırakamazdım
											çünkü bunda çok emeğimiz vardı.
											Ve ""biz"" derken Bay Moss demek istedim,
											gözaltına almaktansa, beni konuşma
ve drama kulübüne gönderen kişi
											ya da üniversite masraflarımın yarısının 
ödemesini yapan kız kardeşim
											ya da annem,
											bana her şeyi veren kişi.
											Vazgeçmeyecektim.
									","
											Mas eu não podia desistir.
											Não podia desistir,
											porque nós trabalhámos muito para isso.
											E por ""nós"" eu quero dizer o Sr. Moss,
											que me mandou para o clube de teatro
e dicção, em vez de me suspender,
											ou a minha irmã que pagou
parte das minhas despesas com a faculdade,
											ou a minha mãe,
											que me deu tudo.
											Eu não ia desistir.
									","
											Pero no me podía dar por vencido.
											No podía renunciar,
											porque el esfuerzo 
que pusimos fue inmenso.
											Y al decir ""pusimos""
me refiero al Sr. Moss,
											que me envió a clases de teatro
y oratoria, en lugar de castigarme,
											o a mi hermana, que pagó
parte de mis gastos universitarios,
											o mi madre,
											que, simplemente, me dio todo.
											No iba a darme por vencido.
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
