en,fr,es,de,tr,title,speaker,duration,tags
"
","
","
","
","
",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
											In 2003,
											when we sequenced the human genome,
											we thought we would have the answer
to treat many diseases.
											But the reality is far from that,
											because in addition to our genes,
											our environment and lifestyle
could have a significant role
											in developing many major diseases.
									","
											En 2003,
											lorsqu'on a séquencé le génome humain,
											on pensait trouver les traitements
de beaucoup de maladies.
											Mais on était loin de la vérité
											parce qu'en plus de nos gènes,
											notre environnement et façon de vivre
peuvent jouer un rôle important
											dans le développement de 
beaucoup de maladies graves
									","
											En 2003,
											cuando secuenciamos el genoma humano,
											creímos que encontraríamos la respuesta
para muchas enfermedades.
											Pero la realidad está muy lejos de esto,
											porque además de nuestros genes,
											nuestro ambiente y estilo de vida 
podrían tener un rol importante
											en el desarrollo de 
varias enfermedades importantes.
									","
											Als wir 2003
											das menschliche Genom sequenzierten,
											dachten wir, wir hätten die Antwort,
um viele Krankheiten zu behandeln.
											Aber die Realität ist weit davon entfernt,
											denn neben unseren Genen
											könnten Umwelt und Lebensstil
											eine wichtige Rolle bei der Entwicklung
vieler Krankheiten spielen.
									","
											2003 yılında,
											insan genomunu düzenlediğimizde
											birçok hastalığın tedavisini
bulacağımızı düşünmüştük.
											Fakat gerçekler bundan daha farklı
											çünkü genlerimizin yanı sıra
											ciddi hastalıklara yakalanmamızda
çevrenin ve yaşam biçiminin de
											büyük rolü var.
									",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
","
","
","
","
",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
											One example is fatty liver disease,
											which is affecting over 20 percent
of the population globally,
											and it has no treatment
and leads to liver cancer
											or liver failure.
											So sequencing DNA alone
doesn't give us enough information
											to find effective therapeutics.
									","
											L'un des exemples est 
la stéatose hépatique,
											qui affecte plus de 20 %
de la population mondiale,
											elle n'a pas de traitement
et entraîne le cancer du foie
											ou l'insuffisance hépatique.
											Donc le séquençage de l'ADN seul 
ne nous donne pas assez d'informations
											pour trouver des thérapeutiques efficaces
									","
											Un ejemplo de esto es 
la enfermedad del hígado graso,
											que afecta a más del 20 % 
de la población global,
											no tiene tratamiento 
y puede causar cáncer de hígado
											o insuficiencia hepática.
											Así que, secuenciar el ADN 
no nos da información suficiente
											para encontrar tratamientos efectivos.
									","
											Ein Beispiel ist die Fettleberkrankheit,
											von der über 20 % der Bevölkerung
weltweit betroffen sind,
											die nicht behandelt werden kann
und zu Leberkrebs
											oder Leberversagen führt.
											Die Sequenzierung der DNA allein gibt uns
also nicht genügend Informationen,
											um wirksame Therapeutika zu finden.
									","
											Bunun bir örneği
yağlı karaciğer hastalığı,
											bütün dünyanın %20'sini
etkileyen bir hastalık,
											hiçbir tedavisi yok ve karaciğer kanserine
											veya karaciğer yetmezliğine yol açıyor.
											Yani DNA dizisi bize 
etkili tedavi bulmak için
											yeterli bilgi vermez.
									",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
","
","
","
","
",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
											On the bright side, there are
many other molecules in our body.
											In fact, there are
over 100,000 metabolites.
											Metabolites are any molecule
that is supersmall in their size.
											Known examples are glucose,
fructose, fats, cholesterol —
											things we hear all the time.
											Metabolites are involved
in our metabolism.
											They are also downstream of DNA,
											so they carry information
from both our genes as well as lifestyle.
											Understanding metabolites is essential
to find treatments for many diseases.
									","
											Du bon côté des choses, il y a beaucoup
d'autres molécules dans notre corps.
											En fait, il y a
plus de 100 000 métabolites.
											Les métabolites sont des molécules
de taille extrêmement petite.
											Les exemples connus sont le glucose,
le fructose, les lipides, le cholestérol -
											des termes très familiers.
											Les métabolites sont impliqués 
dans notre métabolisme.
											Ils sont situés en aval de l'ADN,
											et transmettent des informations sur 
nos gènes ainsi que notre style de vie.
											Comprendre les métabolites est essentiel
pour le traitement de nombre de maladies.
									","
											El lado positivo es que hay muchas otras
moléculas en nuestro cuerpo.
											Es más, hay más de 100 000 metabolitos.
											Los metabolitos son moléculas 
muy chiquitas en tamaño.
											Ejemplos conocidos serían la glucosa, 
la fructosa, la grasa, el colesterol,
											cosas que escuchamos a menudo.
											Los metabolitos están involucrados 
en nuestro metabolismo.
											Tienen la carga genética de nuestro ADN
											así que tienen información sobre nuestros 
genes y sobre nuestro estilo de vida.
											Entender los metabolitos
									","
											Glücklicherweise gibt es viele
verschiedene Moleküle in unserem Körper.
											Tatsächlich gibt es
über 100.000 Metaboliten.
											Metaboliten sind alle Moleküle,
die von ihrer Grösse her winzig sind.
											Bekannte Beispiele sind Glukose,
Fruktose, Fette, Cholesterin —
											von denen hören wir immer.
											Metaboliten sind an
unserem Stoffwechsel beteiligt.
											Sie sind auch stromabwärts der DNA,
											sodass sie Informationen unserer
Gene und Lebensstile enthalten.
											Metaboliten zu verstehen ist wichtig,
um Therapien für Krankheiten zu finden.
									","
											Olumlu yönden bakarsak vücudumuzda
birçok diğer molekül bulunmakta.
											Hatta 100.000'den fazla metabolit mevcut.
											Metabolitler, çok küçük moleküllerdir.
											Bilinen örnekleri glikoz,
fruktoz, yağlar, kolesterol.
											Her zaman duyduğumuz şeyler.
											Metabolitlerin 
metabolizmada işlevleri var.
											Ayrıca DNA'nın birer parçası,
											yani hem genlerimiz hem de
yaşam tarzımız ile ilgili bilgi taşırlar.
											Metabolitleri anlamak, birçok hastalığa
tedavi bulmak için önemli.
									",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
","
","
","
","
",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
											I've always wanted to treat patients.
											Despite that, 15 years ago,
I left medical school,
											as I missed mathematics.
											Soon after, I found the coolest thing:
											I can use mathematics to study medicine.
											Since then, I've been developing
algorithms to analyze biological data.
											So, it sounded easy:
											let's collect data from all
the metabolites in our body,
											develop mathematical models to describe
how they are changed in a disease
											and intervene in those
changes to treat them.
									","
											J'ai toujours voulu soigner des patients.
											Malgré cela, il y a 15 ans de cela, 
j'ai abandonné l’école de médecine,
											vu que j'ai raté les mathématiques.
											Peu après, j'ai fait la plus 
cool des découvertes :
											je pouvais étudier la médecine 
à l'aide des maths.
											Dès lors, j'ai développé des algorithmes
pour analyser des données biologiques.
											Cela semblait donc facile :
											collecter des données de tous
les métabolites de notre corps,
											développer des modèles mathématiques pour
décrire leur changement dans une maladie
											et y intervenir
afin de traiter ces maladies.
									","
											puede ayudar a encontrar tratamientos
para muchas enfermedades.
											Siempre quise tratar pacientes.
											A pesar de eso, hace 15 años,
dejé mis estudios de Medicina
											porque extrañaba las matemáticas.
											Poco después, descubrí algo fantástico:
											puedo usar la matemática
para estudiar medicina.
											Desde entonces, fui desarrollando
algoritmos para analizar datos biológicos.
											Parecía fácil:
											juntemos datos de todos los metabolitos
que hay en nuestro cuerpo,
											desarrollemos modelos matemáticos para
describir cómo cambian con enfermedades
									","
											Ich wollte schon immer
Patienten behandeln.
											Trotzdem habe ich vor 15 Jahren
die medizinische Fakultät verlassen,
											da ich Mathematik vermisste.
											Bald darauf fand ich das Coolste:
											Ich kann Mathematik benutzen,
um Medizin zu studieren.
											Seitdem entwickle ich Algorithmen
zur Analyse biologischer Daten.
											Es klang so einfach:
											Wir sammeln Daten von allen
Metaboliten in unserem Körper,
											entwickeln mathematische Modelle,
											die beschreiben, wie sie sich
bei Krankheiten verändern
											und greifen in diese Veränderungen ein,
um sie zu behandeln.
									","
											Her zaman hastaları 
tedavi etmek istemiştim.
											Buna rağmen 15 yıl önce
tıp okulundan ayrıldım
											çünkü matematiği özlemiştim.
											Kısa bir süre sonra
çok güzel bir şey öğrendim.
											Tıp alanında çalışmak için
matematik kullanabilirdim.
											O zamandan beri biyolojik veri
analizi için algoritmalar geliştiriyorum.
											Sözde kulağa kolay geliyor:
											Hadi bütün vücudumuzdaki
metabolitlerden bilgi toplayalım,
											bir hastalıkta nasıl değiştiklerini
açıklayan matematiksel modeller yapalım
											ve bu değişikliklere engel olarak
hastalığı tedavi edelim.
									",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
","
","
","
","
",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
											Then I realized why no one
has done this before:
											it's extremely difficult.
									","
											C'est là que j'ai compris pourquoi
cela n'a jamais été fait avant :
											c'est extrêmement difficile.
									","
											y cómo intervienen en esos cambios
para poder tratarlas.
											Pero me di cuenta por qué
nadie lo había hecho antes:
									","
											Dann wurde mir klar,
warum das noch niemand getan hatte:
											Es ist extrem schwierig.
									","
											Sonra neden bunu daha önce
kimsenin denemediğini anladım,
											bu aşırı derecede zor bir iş.
									",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
