es,pt,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Please don't take my Air Jordans,Lemon Andersen,8:55,"TEDYouth,poetry,spoken word,performance"
"
											Mis Air Jordan cuestan cien, con impuestos.
											Mi chaqueta dice 'Raiders' atrás.
											Estoy a la moda, sonrío,
luzco malo en verdad;
											no se trata de ser escuchado,
sino de ser visto.
											Mi gorra de beisbol Adidas
de cuero hace juego
											con mi falsa mochila Gucci. (Risas)
											Nadie luce mejor que yo
											pero cuesta dinero,
claro que no es gratis,
											y no tengo trabajo, ni dinero,
											pero es fácil robar todo esto
del centro comercial.
											Los padres dicen ""no debes"",
pero sé que debo.
											Tengo que hacer lo que pueda
para asegurar que luzco bien,
											y la razón por la que tengo que verme realmente bien,
bueno, para decirte la verdad, hombre,
											no sé por qué. Supongo que me hace
sentir especial dentro.
											Cuando uso ropa de estilo
no me tengo que ocultar,
											y pronto tengo que conseguir
alguna ropa nueva
											o mi ego explotará
como un globo de 10 céntimos.
											Pero la seguridad es fuerte en todas las tiendas.
Cada día hay más y más policías.
											Mi grupo se ríe de mí
porque uso viejas ropas.
											Se acaba la escuela.
El verano está cerca.
											Uso Jordans anticuados.
											Necesito algo nuevo.
Solo queda una cosa por hacer.
											Salgo el viernes, tomo el metro
del centro de la ciudad,
											chequeo mis víctimas de por ahí.
											Tal vez tenga suerte
y encuentre una presa fácil.
											Tengo que conseguir nueva ropa.
No hay otra manera.
											Estoy listo y dispuesto.
Empuño mi arma.
											Es un asunto serio.
Nada divertido.
											Y no puedo tener
mi pose risueña.
											Robaré algo especial,
esperen, ya verán.
											Salen de la estación 4 Oeste
cerca del parque,
											hermanos tirando al aro
y alguien dice:
											""¡Eh amigo! ¿Dónde conseguiste los Niks?""
											Pensé, ""Sí. Me gustan, me gustan"".
											Eran unos blanquitos,
brillantes, me enceguecieron.
											El emblema rojo de Michael
parecía que pudieran volar.
											Ni una mancha de suciedad.
Los 'Airs' eran nuevos.
											Tenía mi pistola y sabía
exactamente qué hacer.
											Esperé hasta el momento justo,
lo seguí muy de cerca.
											Giro a la izquierda
en Houston, saqué mi arma,
											y dije: ""¡Dame los Jordan!""
											Y el tipo intentó correr.
											Despegó rápido, no llegó lejos.
Dispararé, ¡'Pum'!
											El tonto cayó entre dos autos estacionados.
											Tosía, lloraba, sangre derramada en la calle.
											Le arrebaté los Air Jordans de sus pies.
											Al morir allí tendido,
todo lo que pudo decir
											fue, ""Por favor, hombre,
no te lleves mis Air Jordans"".
											Uno creería que estaría preocupado de vivir.
											Cuando le quité sus zapatillas,
había lágrimas en sus ojos.
											Al día siguiente,
posé en la escuela
											con mis nuevos Air Jordans, hombre, bien.
											Maté por tenerlos, pero bueno, no me importa,
											porque ahora necesito
una nueva chaqueta para usar"".
									","
											""Os meus Air Jordans custaram 100 com IVA.
											""O meu casaco Starters de camurça 
diz Raiders nas costas.
											""Mando estilo, sorrio, com cara de mau,
											""porque não interessa ser ouvido, 
apenas ser visto.
											""O meu boné Adidas de cabedal combina
											""com a minha falsa mochila da Gucci. 
(Risos)
											""Não há ninguém tão elegante como eu,
											""mas isto custa dinheiro, não é de graça,
											""e não tenho trabalho, não tenho dinheiro,
											""mas é fácil roubar isto tudo 
do centro comercial.
											""Os pais dizem que não devia, 
mas eu sei que devia.
											""Tenho que fazer o que posso 
para parecer bem,
											""e a razão para ter que parecer bem, 
bem, para dizer a verdade, meu,
											""não sei. 
Suponho que me faça sentir bem por dentro.
											""Quando uso roupa nova 
não preciso de me esconder,
											""e tenho que arranjar roupa nova em breve
											""ou o meu ego estoura como um balão barato.
											""Mas a segurança é apertada em todas as lojas. 
Todos os dias há cada vez mais polícias.
											""O meu grupo ri-se de mim 
porque uso roupa velha.
											""As aulas estão quase a acabar. 
O Verão está perto.
											""E estou a calçar Jordans rotos.
											""Preciso de algo novo. 
Só há uma coisa a fazer.
											""Faltar à escola na Sexta-feira, 
apanhar o metro na cidade,
											""ver as minhas vítimas que andam por lá.
											""Talvez tenha sorte e encontre 
uma presa fácil.
											""Tenho que arranjar roupa nova. 
Não há outra forma.
											""Estou pronto e com vontade. 
Carrego a minha arma.
											""Isto é um assunto sério. 
Não é nada divertido.
											""E não posso ter a malta a rir-se de mim.
											""Vou fazer algo bom, esperem, vão ver.
											""Saio da estação, West 4th, perto do parque,
											""os manos a jogar basquetebol e alguém diz:
											"" 'Ei, amigo, onde arranjaste esses Nike's?'
											""E digo para mim mesmo: 
'Sim, gosto deles, gosto.'
											""Eram brancos, brilhantes e 
cegavam-me os olhos.
											""O emblema vermelho do Michael 
parecia que podia voar.
											""Nem um ponto de sujidade. 
Os Airs eram novos.
											""Tinha a minha pistola e sabia o que fazer.
											""Esperei que fosse a hora certa, 
segui-o bem de perto.
											""Virou à esquerda na Houston, 
puxei da minha pistola,
											""e disse: 'Dá-me esses Jordans!'
											""E o puto tentou correr.
											""Foi a correr, não foi longe. 
Disparei: 'Pam!'
											""O gajo caiu entre dois carros estacionados.
											""Tossia, chorava, 
o sangue corria para a estrada.
											""E tirei-lhe os Air Jordans dos pés.
											""Deitado e a morrer, tudo que 
conseguia dizer era:
											"" 'Por favor, não me tires os Air Jordans.'
											""Esperava que se preocupasse em ficar vivo.
											""Enquanto fugia com os ténis, 
tinha lágrimas nos olhos.
											""No dia seguinte, entrei na escola
											""com os meus Air Jordans novos em folha, 
ah meu, eu era fixe.
											""Matei para os ter, mas eu não me importo,
											""porque agora preciso de um 
novo casaco para vestir.""
									","
											""My Air Jordans cost a hundred with tax.
											My suede Starters jacket says Raiders on the back.
											I'm stylin', smilin', lookin' real mean,
											because it ain't about being heard, just being seen.
											My leather Adidas baseball cap matches
											my fake Gucci backpack. (Laughter)
											Ain't nobody who looks as good as me,
											but this costs money, it sure ain't free,
											and I gots no job, no money at all,
											but it's easy to steal all this from the mall.
											Parents say I shouldn't, but I knows I should.
											Got to do what I can to make sure I look good,
											and the reason I have to look real good, well, to tell you the truth, man,
											I don't know why. Guess it makes me feel special inside.
											When I'm wearing fresh gear I don't have to hide,
											and I really must get some new gear soon
											or my ego will pop like a 10-cent balloon.
											But security is tight at all the shops. Every day there are more and more cops.
											My crew is laughing at me because I'm wearing old gear.
											School's almost over. Summer is near.
											And I'm sportin' torn Jordans.
											I need something new. Only one thing left to do.
											Cut school Friday, catch the subway downtown,
											check out my victims hangin' around.
											Maybe I'll get lucky and find easy prey.
											Got to get some new gear. There's no other way.
											I'm ready and willing. I'm packing my gun.
											This is serious business. This ain't no fun.
											And I can't have my posse laughin' at me.
											I'mma cop something dope, just wait, you'll see.
											Come out of the station, West 4th near the park,
											brothers shooting hoops and someone remarks,
											'Hey homes, where you get them Nik's?'
											I says to myself, 'Yeah. I likes 'em, I likes.'
											They were Q-tip white, bright and blinding my eyes.
											The red emblem of Michael looked as if it could fly.
											Not one spot of dirt. The Airs were brand new.
											Had my pistol and knew just what to do.
											Waited until it was just the right time, followed him very closely behind.
											He made a left turn on Houston, I pulled out my gun,
											and I said, 'Gimme them Jordans!'
											And the punk tried to run.
											Took off fast, didn't get far. I fired,'Pow!'
											Fool fell between two parked cars.
											He was coughing, crying, blood spilled on the street.
											And I snatched them Air Jordans off of his feet.
											While laying there dying, all he could say
											was, ""Please man, don't take my Air Jordans away.""
											You'd think he'd be worried about staying alive.
											As I took off with his sneakers, there was tears in his eyes.
											Very next day, I bopped into school
											with my brand new Air Jordans, man, I was cool.
											I killed to get 'em, but hey, I don't care,
											because now I needs a new jacket to wear.""
									","
											« Mes Air Jordan coûtent 100 $, taxes comprises.
											Il y a écrit Raiders au dos
de ma veste en daim Starters.
											Je suis stylé, souriant,&lt;br /&gt; j'ai l'air d'un vrai dur,
											parce qu'il ne s'agit pas d'être entendu,
mais juste d'être vu.
											Ma casquette de baseball en cuir Adidas&lt;br /&gt; est assortie
											à mon faux sac à dos Gucci.&lt;br /&gt; (Rires)
											Personne n'est aussi beau que moi,
											mais ça coûte cher,&lt;br /&gt; c'est vraiment pas gratuit,
											et j'ai pas de travail,&lt;br /&gt; pas d'argent du tout,
											mais c'est facile de voler tout ça&lt;br /&gt; au centre commercial.
											Les parents disent que je ne devrais pas,
mais je sais que je devrais.
											Je dois faire tout ce que je peux&lt;br /&gt; pour être sûr d'être beau,
											et la raison pour laquelle je dois être beau,
eh bien, pour dire vrai, mec,
											je la connais pas.
											Je pense que ça me fait
me sentir spécial à l'intérieur.
											Quand je porte des nouvelles fringues,
j'ai pas à me cacher,
											et je dois vraiment trouver vite fait&lt;br /&gt;des fringues neuves
											ou mon égo va se dégonfler
comme un ballon de baudruche.
											Mais dans tous les magasins&lt;br /&gt; la surveillance est étroite.
											Il y a chaque jour&lt;br /&gt; de plus en plus de flics.
											Ma bande se moque de moi
parce que je porte de vieilles fringues.
											L'école est presque finie.&lt;br /&gt;L'été approche.
											Et je porte des Jordan déchirées.
											Il me faut&lt;br /&gt; quelque chose de neuf.
											Il ne me reste&lt;br /&gt; qu'une chose à faire.
											Sécher l'école vendredi,&lt;br /&gt; descendre en ville en métro,
											repérer ma victime&lt;br /&gt; parmi les gens qui trainent là.
											Peut-être que j'aurai de la chance
et trouverai une proie facile.
											Je dois trouver de nouvelles fringues.
Il n'y a pas d'autre moyen.
											Je suis prêt et décidé.&lt;br /&gt;J'empoche mon pistolet.
											C'est une affaire sérieuse.&lt;br /&gt;C'est pas pour rire.
											Et il ne faudrait pas
que mes potes se moquent de moi.
											Je vais chourer un truc classe,
attendez un peu, vous allez voir.
											Descendez à la station West 4th,&lt;br /&gt;près du parc,
											les frères tirent des paniers,&lt;br /&gt;et quelqu'un fait remarquer,
											« Hey les mecs, vous les avez eues où, ces Nikes ?»
											Je me dis :
« Ouais. J'les kiffe, je kiffe. »
											Elles étaient blanches comme un coton-tige,&lt;br /&gt; lumineuses et aveuglantes.
											On aurait dit que l'emblème rouge de Michael
allait s'envoler.
											Pas un seul grain de poussière.&lt;br /&gt;Les Air étaient flambant neuves.
											J'avais mon flingue
et savais ce que je devais faire.
											J'ai attendu le bon moment,&lt;br /&gt; l'ai suivi de très près.
											Il a tourné à gauche dans Houston,&lt;br /&gt; j'ai sorti mon pistolet
											et j'ai dit : &lt;br /&gt;« Donne-moi ces Jordan ! »
											Et le vaurien&lt;br /&gt;a essayé de s'enfuir !
											Il a démarré vite mais n'est pas allé loin.&lt;br /&gt; J'ai tiré, « Pan ! »
											L'idiot est tombé entre deux voitures garées.
											Il toussait, pleurait,&lt;br :&gt;le sang coulait sur la chaussée.
											Et j'ai arraché les Air Jordan de ses pieds.
											Alors qu'il était allongé mourant,&lt;br /&gt; tout ce qu'il a pu dire c'est :
											« Pitié, mec, emporte pas mes Air Jordan ».
											On aurait pu penser&lt;br /&gt; qu'il se préoccuperait de rester en vie.
											Alors que je me tirais avec ses baskets,&lt;br /&gt; ses yeux étaient pleins de larmes.
											Le jour suivant,&lt;br /&gt; j'ai déboulé à l'école
											avec mes Air Jordan flambant neuves,&lt;br /&gt; mec, j'étais cool.
											J'avais tué pour les avoir,&lt;br /&gt;mais je m'en fous,
											parce que maintenant&lt;br /&gt; j'ai besoin d'une nouvelle veste. »
									","
											""Meine Air Jordans kosten
hundert plus Steuer.
											Auf meiner Wildleder-'Starters'-Jacke
stehen die 'Raiders'.
											Ich hab Stil, lache,
seh' echt hart aus,
											weil's nicht drum geht, gehört,
sondern geseh'n zu werden.
											Meine lederne Adidas-
Baseballkappe passt
											zum gefaketen Gucci-
Rucksack. (Lachen)
											So gut wie ich sieht
niemand aus,
											aber für lau gibt's das
nicht, das kostet was,
											und ich hab keinen Job,
überhaupt kein Geld,
											aber das kann ich alles aus
dem Kaufhaus klauen.
											Die Eltern sagen, tu's nicht,
aber ich weiß, was sein muss.
											Ich muss tun was ich kann,
um gut auszusehen
											und der Grund, wenn 
ich ehrlich bin, Mann,
											ich hab keinen Plan. Fühle mich 
wohl wie was Besonderes.
											Mit einem schicken Outfit 
muss ich mich nicht verstecken,
											und ich muss mir echt
was Neues checken,
											oder mein Ego zerplatzt 
wie ein 10-Cent-Luftballon.
											Aber die passen saugut auf in den 
Läden. Jeden Tag mehr Bullen.
											Meine Leute lachen mich aus, 
weil ich altes Zeug trage.
											Die Schule ist fast um. 
Der Sommer ist nah.
											Und meine Jordans 
sind zerrissen.
											Ich brauch was Neues. 
Nur eins bleibt zu tun.
											Freitag schwänz ich die Schule, 
fahr mit der U-Bahn in die Stadt,
											und check meine Opfer ab,
wie sie abhängen.
											Vielleicht hab ich Glück 
und mach leichte Beute.
											Ich brauch neues Zeug. 
Kein Weg dran vorbei.
											Ich bin auf alles vorbereitet. 
Ich pack meine Knarre ein.
											Das ist 'ne ernste Sache. 
Das ist kein Spaß.
											Und es geht nicht, dass 
meine Jungs mich auslachen.
											Ich krieg schon was Cooles,
ihr werdet schon sehen.
											Komm aus der Station,
West 4th gleich beim Park,
											meine Brüder werfen 
Körbe und jemand sagt,
											""Hey Bruder, wo hast du 
denn die Nikes her?""
											Ich so zu mir: 
""Ja, die mag ich, mag ich sehr.""
											Weiß wie Wattestäbchen, 
hell, blenden sie meine Augen.
											Michaels rotes Emblem 
sieht aus, als könnt es fliegen.
											Kein einziger Fleck. 
Die Airs waren brandneu.
											Ich hatte meine Pistole und 
wusste, was zu tun war.
											Ich wartete auf den richtigen 
Moment, folgte ihm ganz nah.
											Er biegt links nach Houston ab, 
ich ziehe die Knarre,
											und sage: 
""Gib mir die Jordans!""
											Und der Penner 
will wegrennen.
											Läuft weg, kommt nicht 
weit. Ich feuer: ""Peng!""
											Der Narr fällt zwischen 
zwei geparkte Autos.
											Er hustet, er weint, 
Blut fließt auf die Straße.
											Und ich schnapp mir die 
Air Jordans von seinen Füßen.
											Da liegt er und stirbt, 
und alles, was er sagt:
											""Bitte, Mann, nimm mir 
die Air Jordans nicht weg.""
											Man glaubt, er würde sich 
ums Überleben sorgen.
											Ich lauf mit seinen Sneakers weg 
und ihm kommen die Tränen.
											Am nächsten Tag 
geh ich zur Schule
											mit meinen brandneuen 
Air Jordans, Mann, bin ich cool.
											Ich hab für sie getötet, 
aber ist mir doch egal,
											denn jetzt brauch ich 
eine neue Jacke dazu.""
									",Please don't take my Air Jordans,Lemon Andersen,8:55,"TEDYouth,poetry,spoken word,performance"
"
","
","
","
","
",Please don't take my Air Jordans,Lemon Andersen,8:55,"TEDYouth,poetry,spoken word,performance"
"
											Gracias. (Aplausos)
									","
											Obrigado. 
(Aplausos)
									","
											Thank you. (Applause)
									","
											Merci.&lt;br /&gt;(Applaudissements)
									","
											Danke. (Applaus)
									",Please don't take my Air Jordans,Lemon Andersen,8:55,"TEDYouth,poetry,spoken word,performance"
"
","
","
","
","
",Please don't take my Air Jordans,Lemon Andersen,8:55,"TEDYouth,poetry,spoken word,performance"
"
											Durante los últimos
15 años que he actuado,
											todo lo que quería era dar
a conocer la poesía al mundo.
											Verán, no fue suficiente para mí
con escribir un libro.
											No fue suficiente para mí
ir a una competencia de poesía,
											y mientras esas cosas soportan peso,
											no fue la fuerza impulsora
que llevó la pluma al pliego.
											El hambre y la sed eran
y siguen siendo:
											¿Cómo hago que personas que odian la poesía
											me amen?
											Porque yo soy una extensión
de mi trabajo,
											y si me aman, entonces
amarán mi trabajo,
											y si aman mi trabajo,
entonces amarán la poesía,
											y si aman la poesía,
habré hecho mi trabajo,
											que es trascenderla al mundo.
									","
											Nos últimos 15 anos 
que tenho dado espectáculos,
											tudo que sempre quis fazer foi 
transcender a poesia para o mundo.
											Sabem, para mim não bastava 
escrever um livro.
											Não me bastava entrar num concurso de poesia,
											e embora essas coisas tenham importância,
											não era a força que me movia para escrever.
											A fome e a sede era, e continua a ser:
											Como é que faço com que 
pessoas que detestam poesia
											gostem de mim?
											Sou uma extensão do meu trabalho,
											e se gostarem de mim, 
então vão gostar do meu trabalho,
											e se gostarem do meu trabalho, 
vão gostar de poesia.
											E se gostarem de poesia, 
então terei feito o meu trabalho,
											que é transcendê-la ao mundo.
									","
											For the last 15 years that I have been performing,
											all I ever wanted to do was transcend poetry to the world.
											See, it wasn't enough for me to write a book.
											It wasn't enough for me to join a slam competition,
											and while those things hold weight,
											it wasn't the driving force that pushes the pen to the pad.
											The hunger and thirst was, and still remains:
											How do I get people who hate poetry
											to love me?
											Because I'm an extension of my work,
											and if they love me, then they will love my work,
											and if they love my work, then they will love poetry,
											and if they love poetry, then I will have done my job,
											which is to transcend it to the world.
									","
											Depuis ces 15 dernières années&lt;br /&gt; où j'ai été sur scène,
											ce que j'ai toujours voulu,&lt;br /&gt;c'est apporter la poésie au monde.
											Vous voyez, ça ne me suffisait pas d'écrire un livre.
											Ça ne me suffisait pas de participer&lt;br /&gt; à une compétition de slam,
											et même si ces choses&lt;br /&gt; ont leur importance,
											ce n'était pas ce qui poussait mon stylo&lt;br .&gt;vers mon bloc-notes.
											Ce dont j'avais faim et soif,&lt;br /&gt; et encore aujourd'hui, c'est :
											Comment faire pour que des gens&lt;br /&gt; qui détestent la poésie
											m'aiment ?
											Parce que je suis une extension&lt;br /&gt;de mon travail,
											et s'ils m'aiment,&lt;br /&gt;alors ils aimeront mon travail,
											et s'ils aiment mon travail,&lt;br /&gt; alors ils aimeront la poésie,
											et s'ils aiment la poésie,&lt;br /&gt; alors j'aurais fait mon boulot,
											qui est de l'apporter au monde.
									","
											In den letzten 15 Jahren
meiner Auftritte
											wollte ich immer nur Poesie
in die Welt bringen.
											Es hat mir nicht gereicht 
ein Buch zu schreiben.
											Es reichte nicht bei einem 
Slam-Contest mitzumachen,
											und während diese 
Dinge auch wichtig sind,
											waren das nicht die treibenden 
Kräfte, die den Stift zu Papier führten.
											Mich hungerte und dürstete, 
und das tut es noch, nach einem:
											Wie bekomme ich Leute, 
die Poesie hassen, dazu,
											mich zu lieben?
											Denn ich bin eine 
Erweiterung meiner Arbeit,
											und wenn sie mich lieben, 
lieben sie meine Arbeit,
											und wenn sie meine Arbeit 
lieben, lieben sie Poesie,
											und wenn sie Poesie lieben, 
habe ich mein Werk verrichtet,
											dann habe ich sie in die Welt gebracht.
									",Please don't take my Air Jordans,Lemon Andersen,8:55,"TEDYouth,poetry,spoken word,performance"
"
","
","
","
","
",Please don't take my Air Jordans,Lemon Andersen,8:55,"TEDYouth,poetry,spoken word,performance"
"
											Y, en 1996, encontré la respuesta
en los principios
											en un maestro de la palabra hablada
llamado Reg E. Gaines,
											que escribió el famoso poema,
""Por favor no te lleves mis Air Jordans"".
											Y lo seguí a todas partes
hasta que lo tuve en la habitación,
											y le leí una de mis obras,
											¿y saben qué me dijo?
											""Apestas.
											¿Sabes cuál es tu problema, amigo?
											No lees la poesía de otras personas,
											y no tienes ninguna subordinación
de las métricas verbales
											a las consideraciones tonales"".
(Risas)
											Y sigue divagando
											sobre poesía, estilo y las noches
'nuyorican' de los viernes.
									","
											E em 1996, encontrei a resposta 
nos princípios
											de um mestre artista das palavras 
chamado Reg E. Gaines,
											que escreveu o famoso poema, 
""Por Favor, Não Me Tires os Meus Air Jordans.""
											E segui este homem por todo lado 
até que o encontrei na sala,
											e li-lhe um dos meus poemas,
											e sabem o que me disse?
											""És maluco.
											""Sabes qual o teu problema, rapaz?
											""Não lês a poesia dos outros,
											""e não te subordinas às medidas verbais
											""para considerações tonais."" 
(Risos)
											E ele continuou a falar
											sobre poesia e estilos e as noites 
""Nuyoricanas"" das sexta-feiras.
									","
											And in 1996, I found the answer in principles
											in a master spoken-word artist named Reg E. Gaines,
											who wrote the famous poem, ""Please Don't Take My Air Jordans.""
											And I followed this guy everywhere until I had him in the room,
											and I read him one of my pieces,
											and you know what he told me?
											""Yo' wack.
											You know what the problem is with you, homie?
											You don't read other people's poetry,
											and you don't got any subordination for verbal measures
											to tonal consideration."" (Laughter)
											Now he kept on rambling
											about poetry and styles and Nuyorican Friday nights.
									","
											En 1996,&lt;br /&gt; j'ai trouvé la réponse de principe
											chez un maître de la poésie orale,&lt;br /&gt; nommé Reg E. Gaines,
											qui a écrit le célèbre poème,&lt;br /&gt; « Pitié, me prend pas mes Air Jordans »
											Et j'ai suivi ce gars partout,&lt;br /&gt; jusqu'à le coincer entre deux portes,
											et je lui ai lu&lt;br /&gt; une de mes compositions,
											et vous savez&lt;br /&gt; ce qu'il m'a dit ?
											« T'es nul.
											Tu sais ce que c'est ton problème,&lt;br /&gt; mon p'tit gars ?
											Tu ne lis pas&lt;br /&gt; la poésie des autres,
											et tu n'as aucune subordination&lt;br /&gt; aux mesures verbales
											de considération tonale. »&lt;br /&gt; (Rires)
											Et il a continué à déblatérer
											sur la poésie, le style&lt;br /&gt; et les vendredis soirs au Nuyorican.
									","
											Und 1996 fand ich die 
grundsätzliche Antwort
											bei einem Meister des gesprochenen Wortes,
namens Reg E. Gaines,
											der das berühmte Gedicht ""Bitte, nimm mir die Air Jordans nicht weg"" schrieb.
											Und ich folgte diesem Typen überallhin, 
bis wir im selben Raum waren
											und ich ihm eines meiner Stücke vorlas,
											und wisst ihr, was er mir sagte?
											""Du spinnst.
											Weißt du, was dein Problem ist, Kumpel?
											Du liest nicht die Poesie anderer Leute
											und du gibst klanglichen 
Erwägungen keinen Vorzug
											gegenüber dem Metrum."" 
(Lachen)
											Und er brabbelte weiter
											über Poesie, Stile und Freitagnächte
von puerto-ricanischen New Yorkern.
									",Please don't take my Air Jordans,Lemon Andersen,8:55,"TEDYouth,poetry,spoken word,performance"
"
","
","
","
","
",Please don't take my Air Jordans,Lemon Andersen,8:55,"TEDYouth,poetry,spoken word,performance"
"
											Ahora pude haber salido.
Debí haber salido.
											O sea, pensé que la poesía
era solo autoexpresión.
											Yo no sabía que realmente tienes
que tener el control creativo.
									","
											Eu podia ter desistido. 
Devia ter desistido.
											Quer dizer, pensava que a poesia 
era apenas auto-expressão.
											Não sabia que precisávamos de ter 
controlo criativo.
									","
											Now I could have quit. I should have quit.
											I mean, I thought poetry was just self-expression.
											I didn't know you actually have to have creative control.
									","
											Bon, j'aurais pu abandonner.&lt;br /&gt; J'aurais dû.
											Je veux dire, je pensais que la poésie&lt;br /&gt; n'était que de l'expression personnelle.
											Je ne savais pas qu'il fallait avoir&lt;br /&gt; un contrôle créatif.
									","
											Ich hätte aufhören können. 
Aufhören sollen.
											Ich hielt Poesie nur für 
Ausdruck des Selbst,
											ich war mir nicht bewusst, dass man 
die kreative Kontrolle haben könnte.
									",Please don't take my Air Jordans,Lemon Andersen,8:55,"TEDYouth,poetry,spoken word,performance"
