en,de,es,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",Don't misrepresent Africa,Leslie Dodson,11:26,"Africa,TEDx,journalism,media,poverty"
"
											I just want to start with a little bit
of a word of warning, and that is:
											my job here tonight is to be
a little bit of a ""doctor bring-me-down.""
											So bear with me for a few minutes,
and know that after this,
											things will get lighter and brighter.
											So let's start.
									","
											Ich möchte mit einer
kleinen Warnung beginnen:
											Meine Aufgabe heute Abend ist es, 
Sie ein wenig zu erden.
											Haben Sie also Geduld mit mir,
											denn danach wird alles
leichter und heiterer.
											Fangen wir an.
									","
											Quiero comenzar con
una pequeña advertencia:
											mi labor aquí hoy es hacer
un poco de médico aguafiestas.
											Así que concédanme unos minutos
y sepan que, después de esto,
											el tono será más ligero y alegre.
											Empezamos.
									","
											Je veux juste commencer par un mot
d'avertissement. Le voici :
											mon rôle ici ce soir est, en quelque
sorte, celui du « docteur rabat-joie ».
											Veuillez donc patienter quelques minutes
et rassurez-vous qu'après cela,
											les choses seront plus claires
et plus évidentes.
											Alors, allons-y.
									","
											Küçük bir uyarı ile başlamak istiyorum:
											bu gece benim görevim sizleri güzel 
uykunuzdan bir nebze uyandırmak olacak.
											Bu yüzden beni birkaç dakika sabırla
dinleyin ve eminim günün sonunda
											her şey daha açık ve anlaşılır olacak.
											Öyleyse başlayalım.
									",Don't misrepresent Africa,Leslie Dodson,11:26,"Africa,TEDx,journalism,media,poverty"
"
","
","
","
","
",Don't misrepresent Africa,Leslie Dodson,11:26,"Africa,TEDx,journalism,media,poverty"
"
											I know that many of you have heard
the traveler's adage,
											""Take nothing but pictures,
leave nothing but footprints.""
											Well, I'm going to say
											I don't think that's either as benign
nor as simple as it sounds,
											particularly for those of us in industries
who are portraying people
											in poor countries,
											in developing countries
											and portraying the poor.
											And those of us in those industries
are reporters, researchers
											and people working for NGOs;
											I suspect there are a lot of us
in those industries in the audience.
											We're going overseas
and bringing back pictures like this:
											of the utterly distressed
											or the displaced
											or the hungry
											or the child laborers
											or the exotic.
									","
											Viele von Ihnen kennen
das Sprichwort für Reisende:
											""Nimm nichts als Bilder mit,
hinterlasse nichts als Fußspuren.""
											Das ist weder so harmlos
noch so einfach, wie es klingt,
											vor allem in Branchen,
in denen Menschen dargestellt werden,
											Menschen in armen Ländern,
in Entwicklungsländern, arme Menschen.
											Die Leute in diesen Branchen
sind Reporter, Forscher,
											oder arbeiten für NGOs.
											Das trifft wohl für viele
der hier Anwesenden zu.
											Wir gehen ins Ausland
und bringen solche Bilder mit:
											völlig verzweifelte
oder vertriebene Menschen,
											Menschen, die Hunger leiden,
											Kinderarbeiter oder exotische Menschen.
									","
											Sé que muchos de Uds.
han escuchado el proverbio del viajero:
											""No tomen nada salvo fotos,
no dejen nada salvo huellas.""
											Bien. Voy a decirles que
no creo que sea tan bueno
											ni tan sencillo como parece,
											en particular para quienes 
nos dedicamos a mostrar a las personas
											en países pobres,
											en países en desarrollo
											y a mostrar la pobreza.
											Y los que trabajamos en este sector
somos reporteros, investigadores
											y gente que trabaja para ONGs.
											Sospecho que hay muchos
de nosotros entre el público.
											Viajamos por el mundo
y traemos fotos como esta:
											de personas que sufren,
											o desplazadas,
											o hambrientas,
											o de niños trabajadores,
											o de lo exótico.
									","
											Je sais que beaucoup parmi vous
ont déjà entendu l'adage du voyageur :
											« Ne prenez que des photos, et ne laissez
que des traces de pas. »
											Eh bien, je dirais que
											je crois que ce n'est ni aussi simple
ou inoffensif qu'il n'y paraît,
											surtout pour ceux parmi nous qui sont
dans des secteurs représentant les gens
											dans des pays pauvres,
											dans des pays émergents
											et représentant les pauvres.
											Et ceux d'entre nous dans ces domaines
sont journalistes, chercheurs
											et travailleurs pour des ONG ;
											je suppose que beaucoup d'entre nous
ici présents sont de ces secteurs.
											On voyage à l'étranger et on revient
avec des photos comme celles-ci :
											photos de gens démunis,
											de réfugiés,
											de faméliques,
											d'enfants ouvriers
											ou de choses exotiques.
									","
											Gezginlerin şu deyişini
kesin duymuşsunuzdur:
											""Resimden başka bir şey almayın,
ayak izinden başka bir şey bırakmayın.""
											Söylemem gerek,
											bence bu, ne naif, ne de 
anlaşıldığı kadar basit.
											Özellikle yoksul ülkelerdeki,
											gelişmekte olan ülkelerdeki
											insanları tasvir eden
											işlerde çalışan bizler için.
											Bu işlerin içinde
gazeteciler, araştırmacılar
											ve STÖ çalışanları var.
											Şu an burada bu işin içinde olan
birçok dinleyen olduğunu düşünüyorum.
											Birçok ülkeye gidip bunun gibi
fotoğraflarla dönüyoruz:
											Tamamen sıkıntılı,
											yerinden edilmişler,
											aç insanlar,
											çocuk işçiler,
											egzotik kareler.
									",Don't misrepresent Africa,Leslie Dodson,11:26,"Africa,TEDx,journalism,media,poverty"
"
","
","
","
","
",Don't misrepresent Africa,Leslie Dodson,11:26,"Africa,TEDx,journalism,media,poverty"
"
											Now, Susan Sontag reminds us
											that photographs, in part, help define
what we have the right to observe,
											but more importantly,
											they are an ethics of seeing.
											And I think right now is a good time
to review our ethics of seeing,
											as our industries of reporting
and research and NGO work
											are collapsing and changing,
											in part, by what's being driven by
what's happening in the economy.
											But it's making us forge
new relationships.
											And those new relationships
have some fuzzy boundaries.
											I worked at the edge
of some of these fuzzy boundaries,
											and I want to share with you
some of my observations.
									","
											Susan Sontag erinnert uns daran,
dass Fotos dazu beitragen,
											zu definieren, was wir beobachten dürfen,
											aber, noch wichtiger,
											sie stellen eine Ethik des Sehens dar.
											Und es ist Zeit, unsere Ethik
des Sehens zu überprüfen,
											denn die Branchen Berichterstattung,
Forschung und NGO-Arbeit
											kollabieren und verändern sich —
											teilweise aufgrund
wirtschaftlicher Ereignisse.
											Doch das lässt uns
neue Beziehungen knüpfen.
											Diese neuen Beziehungen
haben unscharfe Grenzen.
											Ich habe am Rand
solcher Grenzen gearbeitet
											und möchte mit Ihnen
einige Beobachtungen teilen.
									","
											Bien, Susan Sontag nos recuerda
											que los fotógrafos ayudan a definir
lo que tenemos el derecho de observar,
											pero más importante aún,
											son una ética de lo que se puede ver.
											Y pienso que este es buen momento
para revisar nuestra ética de lo que vemos
											porque las industrias de la información
e investigación, y el trabajo de las ONG
											se están derrumbando y cambiando,
											en parte debido a lo que está
ocurriendo con la economía.
											Pero nos está obligando
a forjar nuevas relaciones.
											Y esas nuevas relaciones tienen
algunas fronteras borrosas.
											Trabajé al borde de algunas
de esas fronteras borrosas,
											y quiero compartir con Uds.
algunas de mis observaciones.
									","
											Susan Sontag nous rappelle
											que les photos contribuent en partie
à définir ce qu'on a le droit d'observer,
											mais surtout,
											elles sont une espèce d'éthique de vue.
											Je crois qu'aujourd'hui il est le temps
de réexaminer notre éthique de vue,
											étant donné que le travail de journalisme,
de recherche et des ONG
											s'effrondre et se transforme,
											en partie à cause de ce qui se passe
au niveau économique.
											Mais cela nous oblige à établir
des nouvelles relations.
											Et ces relations ont parfois
des frontières floues.
											J'ai travaillé sur les bords
de certaines de ces frontières,
											et j'aimerais vous faire part
de certaines de mes observations.
									","
											Susan Sontag bu fotoğraflarla bize,
											gözlemleme hakkımızın 
sınırlarını tanımlamaya,
											daha da önemlisi görmenin etiğini
											tanımlamaya yardımcı oluyor.
											Basın, araştırma ve STÖ
çalışmaları sektörlerimiz
											kısmen ekonomide olan
olaylardan etkilenmekle
											çöküntü ve değişim içinde olduğundan
											görmenin etiğini gözden geçirmemizin
zamanı olduğunu düşünüyorum.
											Öte yandan bu, yeni ilişkiler
kurmamızı sağlıyor.
											Bu yeni ilişkilerde de
belirli bir sınır yok.

											Belirsiz sınırlarda biraz çalıştım
											ve bazı gözlemlerimi 
sizinle paylaşmak istiyorum.
									",Don't misrepresent Africa,Leslie Dodson,11:26,"Africa,TEDx,journalism,media,poverty"
"
","
","
","
","
",Don't misrepresent Africa,Leslie Dodson,11:26,"Africa,TEDx,journalism,media,poverty"
"
											My ethics of seeing is informed
by 25 years as a reporter
											covering emerging economies
and international relations.
											And I believe in a free
and independent press.
											I believe that journalism
is a public good.
											But it's getting harder to do that job,
											in part, because of the massive layoffs,
											because the budgets for international
reporting aren't there anymore,
											new technologies and new platforms
begging new content,
											and there are a lot of new journalisms.
											There's activist journalism,
humanitarian journalism, peace journalism,
											and we are all looking to cover
the important stories of our time.
											So we're going to NGOs and asking them
if we can embed in their projects.
											This is in part because they're doing
important work in interesting places.
									","
											Meine Ethik des Sehens
											ist von 25 Jahren Berichterstattung
über Schwellenländer
											und internationale Beziehungen geprägt.
											Ich glaube an eine freie
und unabhängige Presse.
											Ich glaube, dass Journalismus
ein allgemeines Gut ist.
											Aber diese Arbeit wird immer schwieriger,
											teilweise wegen der Massenentlassungen,
											weil es keine Gelder mehr
für internationale Berichterstattung gibt.
											Neue Technologien und Plattformen
verlangen neue Inhalte
											und es gibt viele neue
Formen des Journalismus,
											aktivistischen und humanitären
wie auch Friedensjournalismus,
											und wir wollen alle über wichtige
aktuelle Themen berichten.
											Also fragen wir bei NGOs an, ob wir uns
an ihren Projekten beteiligen können,
											unter anderem, weil sie wichtige Arbeit
an interessanten Orten leisten.
									","
											Mi ética de lo que se ve se basa en
25 años de experiencia como reportera
											cubriendo economías emergentes
y relaciones internacionales.
											Y creo en una prensa libre
e independiente.
											Creo que el periodismo es un bien público.
											Pero se está volviendo
más difícil hacer ese trabajo,
											en parte, por los despidos masivos,
											porque ya no hay presupuesto
para reporteros internacionales,
											por las nuevas tecnologías y plataformas
que piden contenido nuevo,
											y hay muchos periodistas nuevos.
											Existe un periodismo activista,
humanitario, periodismo de paz;
											todos buscamos cubrir las historias
importantes de nuestra época.
											Así que nos vamos a las ONGs y pedimos
incorporarnos a sus proyectos.
											En parte porque realizan una labor
importante en lugares interesantes.
									","
											Mon éthique de vue se base
sur 25 ans de carrière comme journaliste
											couvrant les pays émergents
et les relations internationales.
											Je crois en une presse
libre et indépendante.
											J'estime que le journalisme
est un bien commun.
											Mais ce travail est de plus
en plus difficile à faire,
											à cause des licenciements massifs,
											les budgets pour les correspondants
internationaux n'étant plus là,
											les nouvelles technologies et plateformes
réclamant du contenu différent,
											et parce qu'il y a beaucoup
de nouveaux journalismes.
											Il y a le journalisme militant,
humanitaire et celui de paix,
											En plus, nous cherchons tous à couvrir
les sujets importants de notre temps.
											On s'adresse donc aux ONG et on leur
demande si on peut intégrer leurs projets.
											C'est en partie en raison de leur travail
important dans des endroits intéressants.
									","
											Benim görme etiğim, gelişen
ekonomileri ve uluslararası
											ilişkileri kapsayan 25 yıllık 
muhabirlik kariyerimde gelişti.
											Özgür ve bağımsız bir
basına inanıyorum.
											Haberciliğin halkın yararına
olduğuna inanıyorum.
											Uluslararası habercilik için 
bütçe olmaması,
											yeni teknolojilerin ve platformların
											yeni içerik ihtiyacı, 
büyük çaplı işten çıkarmalar,
											yeni gazetecilik anlayışı
											bu işi yapmayı gittikçe zorlaştırıyor.
											Aktivist basın,
insani basın, barışçıl basın
											ve hepimiz, çağımızın önemli
olaylarını işlemeye çalışıyoruz.
											Bu yüzden STÖ'lere gidiyoruz ve
projelerinde yer almak istiyoruz,
											çünkü ilginç yerlerde
önemli işler yapıyorlar.
									",Don't misrepresent Africa,Leslie Dodson,11:26,"Africa,TEDx,journalism,media,poverty"
"
","
","
","
","
",Don't misrepresent Africa,Leslie Dodson,11:26,"Africa,TEDx,journalism,media,poverty"
"
											That's one example here:
											this is a project I worked on
in the Blue Nile in Ethiopia.
											NGOs understand the benefits
of having reporters tag along
											on their team.
											They need the publicity,
they are under tremendous pressure,
											they're competing in a very crowded
market for compassion.
											So they're also looking to reporters
and to hire freelance reporters
											to help them develop
their public relations material
											and their media material.
											Now, researchers are also under pressure.
											They're under pressure to communicate
their science outside of the academy.
											So they're collaborating with reporters,
because for many researchers,
											it's difficult for them
to write a simple story or a clear story.
											And the benefit for reporters
											is that covering field research
is some of the best work out there.
											You not only get to cover science,
											but you get to meet
interesting scientists,
											like my PhD advisor Revi Sterling,
											she, of the magic research
high tops there.
											And it was a discussion with Revi
											that brought us to the edge
of the researcher and reporter,
											that fuzzy boundary.
											And I said to her,
											""I was looking forward
to going to developing countries
											and doing research and covering stories
at the same time.""
											She said, ""I don't think so, girlfriend.""
											And that confusion, that mutual confusion,
drove us to publish a paper
											on the conflicting ethics
and the contradictory practices
											of research and reporting.
											We started with the understanding
											that researchers and reporters
are distant cousins,
											equally storytellers and social analysts.
											But we don't see nor portray
developing communities the same way.
									","
											Hier ein Beispiel:
											ein Projekt am Blauen Nil in Äthiopien,
an dem ich mitgearbeitet habe.
											NGOs wissen, dass es Vorteile hat,
wenn Reporter ihre Teams begleiten.
											Sie brauchen Öffentlichkeit,
sie stehen unter enormem Druck,
											sie konkurrieren miteinander
auf dem überfüllten Markt für Mitleid.
											Sie setzten also auf Reporter
und freie Journalisten,
											die ihnen bei Öffentlichkeitsarbeit
und Medienauftritten helfen sollen.
											Aber auch Wissenschaftler
stehen unter Druck.
											Sie müssen ihr Wissen
außerhalb der Hochschule verbreiten.
											Also arbeiten sie mit Reportern zusammen,
											denn vielen von ihnen fällt es schwer,
											einfache, klare Geschichten zu schreiben.
											Und der Vorteil für Journalisten ist,
											dass Feldforschung vor Ort
mit zu den schönsten Aufgaben gehört.
											Man schreibt nicht nur über Wissenschaft,
											man trifft auch
interessante Wissenschaftler
											wie meine Doktormutter Revi Sterling.
											Sie gehört in der Forschung
zur absoluten Spitze.
											Bei einem Gespräch
											gerieten wir an die Grenze
der Rollen von Forscher und Reporter,
											diese unscharfe Grenze.
											Ich sagte zu ihr:
											""Ich habe mich darauf gefreut,
in Entwicklungsländer zu reisen,
											gleichzeitig Forschung zu betreiben
und Geschichten zu schreiben.""
											Sie sagte: ""Meine Liebe,
das wird wohl nichts.""
											Aufgrund dieser Unklarheit
veröffentlichten wir einen Aufsatz
											über zwiespältige Moral
und widersprüchliche Praktiken
											von Forschung und Journalismus.
											Wir begannen mit der Erkenntnis,
											dass Forscher und Reporter
entfernte Verwandte sind,
											gleichzeitig Geschichtenerzähler
und Sozialanalytiker.
											Aber sie betrachten und porträtieren
Entwicklungsländer unterschiedlich.
									","
											Les doy un ejemplo:
											este es un proyecto en el que trabajé
en las cataratas del Nilo en Etiopía.
											Las ONGs entienden los beneficios
de tener reporteros que las acompañen
											en su equipo.
											Necesitan la publicidad,
están bajo muchísima presión,
											compiten por la compasión 
en un mercado muy saturado.
											Así que, también buscan reporteros
y contratan a los independientes
											que les ayuden a elaborar
su material de relaciones públicas
											y su material mediático.
											Bien, los investigadores
también están presionados.
											Están bajo la presión de comunicar
su ciencia fuera del mundo académico.
											Así que colaboran con los reporteros,
porque para muchos investigadores,
											es difícil escribir
una historia sencilla o clara.
											Y el beneficio para los reporteros
											es que cubrir el campo de la investigación
es uno de los mejores trabajos que hay.
											No solo cubres la ciencia,
											también llegas a conocer
a científicos interesantes,
											como mi asesora de doctorado,
Revi Sterling,
											que como investigadora,
es de las mejores que hay.
											Y fue una discusión con Revi
											la que nos trajo al borde
de la investigación y del reportaje,
											esa frontera borrosa.
											Y le dije:
											""Esperaba ir a países en desarrollo,
											investigar y cubrir historias
al mismo tiempo"".
											Me contestó: ""No lo creo, amiga"".
											Y esa confusión, esa confusión mutua,
nos llevó a publicar un artículo
											sobre los conflictos de ética
y las prácticas contradictorias
											al investigar e informar.
											Comenzamos con el acuerdo
											de que investigadores
y reporteros son primos lejanos,
											narradores y analistas sociales por igual.
											Pero no vemos ni mostramos 
a las comunidades en desarrollo
											del mismo modo.
									","
											En voici un exemple :
											c'est un projet sur lequel j'ai travaillé
sur le Nil Bleu en Éthiopie.
											Les ONG comprennent les avantages
d'avoir des journalistes
											dans leur équipe.
											Elles ont besoin de la publicité,
et subissent une pression énorme,
											elles rivalisent dans un marché
de la compassion très bondé.
											Donc elles cherchent des journalistes
et des reporters indépendants
											pour les aider à développer
leurs relations publiques
											et leur contenu médiatique.
											Aujourd'hui, les chercheurs sont
aussi sous pression.
											Ils sont sous pression pour promouvoir
leurs travaux au-delà du monde académique.
											Ils collaborent donc avec les journalistes
car, pour beaucoup de chercheurs,
											c'est difficile d'écrire
une histoire simple, une histoire claire.
											L'avantage pour les journalistes
											est que la couverture de recherches sur
le terrain est l'un des meilleurs jobs.
											Non seulement on couvre la science,
											mais on rencontre aussi
des savants intéressants,
											tels que Revi Sterling,
ma directrice de thèse,
											une chercheuse très brillante.
											Et c'était une discussion avec elle
											qui nous a emmenées aux limites
entre recherche et journalisme,
											cette frontière floue.
											Je lui ai dit :
											« J'étais impatiente d'aller
dans des pays émergents
											pour faire des recherches et couvrir
des histoires en même temps. »
											Elle a dit :
« Je ne pense pas, mon amie. »
											Cette confusion mutuelle
nous a poussées à publier un article
											sur les déontologies
et les pratiques contradictoires
											dans les recherches et la presse.
											Nous avons commencé par comprendre
											que les chercheurs et les journalistes
étaient des distants cousins,
											pareillement raconteurs d'histoires
et analystes sociaux.
											Mais nous ne voyons, ni ne décrivons les
pays en développement de la même manière.
									","
											Bir örneği de
											Etiyopya'daki Mavi Nil'de
çalıştığım bir proje.
											STÖ çalışanları, beraberinde
muhabir bulundurmanın faydalarını
											biliyorlar.
											Yaptıklarını tanıtmaları lazım,
büyük bir baskı altındalar;
											çok kalabalık bir pazarda
merhamet için rekabet ediyorlar.
											Ayrıca halkla ilişkiler
											ve medya materyalleri için muhabirlere
											ihtiyaç duyuyorlar.
											Araştırmacılar da artık baskı altında.
											Bilimi, akademi dışında
yaymak için baskı altındalar.
											Muhabirlerle bu nedenle 
işbirliği yapıyorlar,
											zira onlar için hikâyeyi 
basit ve anlaşılır aktarmak zor.
											Muhabirler içinse
											alan çalışması yapmak için 
iyi bir ortam sağlıyor.
											Sadece bilimle uğraşmıyorsun,
											ilginç bilim insanlarıyla da tanışıyorsun,
											tıpkı tez danışmanım Revi Sterling gibi.
											Kesinlikle en iyilerinden biri.
											Revi ile konuşmalarımız bizi,
											araştırmacı ve muhabirlerin
belirsiz sınırlarının
											olduğuna getirdi.
											Ona şunları söyledim,
											""Gelişmekte olan ülkelere
gidip hem araştırma
											hem de haber yapmak istiyorum.""
											O ise, ""Hiç sanmıyorum,
arkadaşım."" dedi.
											Bu karşılıklı karışıklık bizi

											araştırma ve gazeteciliğin
çelişen uygulamaları üzerine
											bir makale yazmaya itti.
											Araştırmacıların ve muhabirlerin
											uzak kuzenler, hikâye anlatıcı
ve sosyal analist
											olduklarının kabulüyle başladık.
											Ancak gelişmekte olan toplulukları 
aynı şekilde görmüyor ve betimlemiyoruz.
									",Don't misrepresent Africa,Leslie Dodson,11:26,"Africa,TEDx,journalism,media,poverty"
