en,fr,pt,de,title,speaker,duration,tags
"
","
","
","
",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
											By 1973,
											Harvey Milk had already been many things:
											naval officer, high school teacher,
											bit-part actor, and wandering hippie.
											But as he embarked on yet another life 
running a camera shop in San Francisco,
											he already found himself distracted.
											From the Watergate hearings 
on national news,
											to the teacher who had to rent a projector
when her school couldn’t afford one,
											Harvey saw a desperate need 
for political reform.
									","
											En 1973,
											Harvey Milk avait déjà été
de nombreuses choses :
											officier de marine, professeur de lycée,
											figurant et vagabond hippie.
											Mais alors qu'il s'embarquait
dans une autre vie
											à tenir un magasin de photo
à San Francisco,
											il était déjà distrait.
											Du procès de Watergate
aux informations nationales,
											à l'enseignante devant louer un projecteur
quand son école ne pouvait en payer un,
											Harvey a vu un besoin désespéré
de réforme politique.
									","
											Em 1973, Harvey Milk
já tinha sido muitas coisas:
											oficial da marinha, professor de liceu,
											ator figurante, e ""hippie"" errante.
											Mas quando embarcou numa nova vida,
											numa loja de equipamento fotográfico
em São Francisco.
											já se encontrava preocupado.
											Das audições Watergate
nos noticiários nacionais
											à professora que tivera
de alugar um projetor
											porque a escola dela não podia comprá-lo,
											Harvey via uma necessidade
desesperada de reforma política.
									","
											1973
											war Harvey Milk bisher schon vieles:
											Marineoffizier, High-School-Lehrer,
											Kleindarsteller und
umherstreifender Hippie.
											Aber als er wieder
ein anderes Leben beginnt,
											indem er in San Francisco
einen Kamerageschäft betreibt,
											fand er sich abgelenkt wieder.
											Von den Watergate-Anhörungen
in den nationalen Nachrichten,
											zu der Lehrerin,
die einen Projektor leihen musste,
											als ihre Schule sich keinen
leisten konnte,
											sah Harvey die verzweifelte
Notwendigkeit einer politischen Reform.
									",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
","
","
","
",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
											Milk strongly believed that tight knit 
neighborhoods
											were essential to the fabric of the city,
											and that government should solve those 
community’s most practical problems.
											From fixing potholes and putting 
up stop signs,
											to promoting a friendly culture 
of cooperation,
											Milk envisioned a more personal 
approach to local government.
									","
											Milk était fermement convaincu
que des quartiers soudés
											étaient essentiels à l'étoffe de la ville
											et que le gouvernement devait résoudre
les problèmes pratiques de la communauté.
											De la réparation de nids-de-poule,
la mise en place de panneaux stop
											à la promotion d'une culture
amicale de coopération,
											Milk imaginait une approche
plus personnelle du gouvernement local.
									","
											Milk acreditava profundamente
que os bairros bem unidos
											eram essenciais para o tecido da cidade
											e que o governo devia resolver
os problemas mais práticos da comunidade.
											Desde consertar os buracos 
e colocar sinais de ""stop""
											à promoção duma cultura
amigável de cooperação,
											Milk visionava uma abordagem
mais pessoal do poder local.
									","
											Milk glaubte fest daran,
dass enge Nachbarschaften
											essentiell für die Struktur
einer Stadt sind
											und, dass die Regierung
											ganz besondere Probleme
dieser Gesellschaft lösen sollte.
											Von Schlaglöcher ausbessern
und Stopschilder aufstellen,
											bis hin zur Förderung einer 
freundlichen Kultur der Zusammenarbeit,
											stellte sich Milk einen viel
persönlicheren Zugang

											zur lokalen Regierung vor.
									",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
","
","
","
",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
											This philosophy led him to run 
for the city’s Board of Supervisors
											as the representative 
for his own district,
											which included the heart of 
American gay culture,
											the Castro.
											At this time, police brutality, 
discrimination and media stereotyping
											plagued the LGBT community,
											labeling Harvey and his supporters as 
political outsiders.
											But Milk refused to 
downplay his sexuality.
											He was sure that gay rights could never 
be won from the closet,
											and he saw the Castro
											as one of many minorities without 
representation in city politics.
											Milk was determined to bring these 
basic government services
											to all of San Francisco’s disenfranchised 
groups,
											regardless of race, age, or sexuality.
									","
											Cette philosophie l'a mené
à se présenter au conseil municipal
											en tant que représentant de son district,
											qui comprenait le cœur
de la culture homosexuelle américaine,
											le Castro.
											A cette époque-là,
la violence policière, la discrimination
											et les stéréotypes
véhiculés par les médias
											étaient un fléau pour la communauté LGBT,
											faisant de Harvey et de ses partisans
des outsiders politiques.
											Mais Milk a refusé
de ne pas afficher sa sexualité.
											Il était certain que les droits gays
											ne pouvaient être gagnés
sans avoir fait son coming out
											et il a vu le Castro
											comme l'une des nombreuses minorités
sans représentation politique municipale.
											Milk était déterminé à offrir
ces services gouvernementaux fondamentaux
											à tous les groupes marginaux
de San Francisco,
											peu importe leur race,
leur âge ou leur sexualité.
									","
											Esta filosofia levou-o a concorrer
ao Conselho de Supervisores da cidade
											como representante do seu bairro,
											que incluía o centro
da cultura ""gay"" americana,
											o bairro Castro.
											Nessa época, a brutalidade da polícia,
											a discriminação
e os estereótipos da imprensa
											atormentavam a comunidade LGBT,
											rotulando Harvey e os seus apoiantes
de intrusos políticos.
											Mas Milk recusou-se 
a minimizar a sua sexualidade.
											Sabia que os direitos dos ""gays""
											nunca seriam conquistados
dentro do armário
											e considerava o bairro Castro
											como uma das minorias
sem representação política na cidade.
											Milk estava decidido a proporcionar
os serviços básicos do governo
											a todos os grupos marginalizados
de São Francisco,
											independentemente da etnia,
da idade ou da sexualidade.
									","
											Diese Philosophie führte ihn dazu
im städtischen Verwaltungsrat
											als Repräsentant
für seinen Bezirk zu kandidieren,
											das auch das Herz des amerikanischen
Schwulenviertelels einschließt,
											dem Castro.
											Zu dieser Zeit plagte 
polizeiliche Brutalität, Diskriminierung

											und Medienstereotypisierung
die LGBT Gemeinde,
											indem Harvey und seine Anhänger als
politische Außenseiter etikettiert wurden.
											Aber Milk verweigerte
das Herunterspielen seiner Sexualität.
											Er war sicher, dass homosexuelle Rechte
											niemals aus dem Versteck heraus
gewonnen werden können
											und sah, die Castro
als eine von vielen Minderheiten
											ohne Repräsentation in der Stadtpolitik.
											Milk war entschlossen diesen
elementaren Regierungsservice zu leisten
											für alle entrechteten Gruppe
aus San Francisco,
											egal welcher Rasse, welchen Alters
oder welcher Sexualität.
									",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
","
","
","
",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
											But despite his flair for public speaking
											and open-hearted approach,
											voters couldn’t see Milk’s radical vision.
											In 1973, he lost his first bid for 
the Board of Supervisors.
											In 1975, he lost again.
											A year later, he ran for the California 
Assembly– and lost.
											Yet he tirelessly continued 
to support his district,
											befriending bartenders, construction 
unions, and local Chinese grocers.
											This earned him the affectionate title, 
the ""mayor of Castro Street.”
											And when he ran his third campaign for 
the Board of Supervisors in 1977,
											Harvey finally won the seat–
											becoming one of the first openly gay 
public officials in US history.
									","
											Malgré son don pour l'art oratoire
											et son approche ouverte,
											les électeurs n'arrivaient pas
à imaginer la vision radicale de Milk.
											En 1973, il a perdu les élections
au conseil municipal.
											En 1975, il a perdu de nouveau.
											Un an plus tard, il s'est présenté
à l'assemblée législative de Californie
											et il a perdu.
											Pourtant, il a continué à soutenir
son district sans relâche,
											se liant d'amitié avec les barmans,
les syndicats de la construction
											et les épiciers chinois.
											Il a ainsi obtenu le titre affectueux
de « maire de Castro Street ».
											Lors de sa troisième campagne
pour le conseil municipal en 1977,
											Harvey a enfin obtenu le siège,
											devenant le premier agent public
ouvertement gay de l'histoire américaine.
									","
											Mas, apesar do seu talento
para falar em público,
											e da sua abordagem de coração aberto,
											os eleitores não acompanhavam
a visão radical de Milk.
											Em 1973, perdeu a primeira eleição
para o Conselho de Supervisores.
											Em 1975, perdeu novamente.
											Um ano depois, concorreu
para a Assembleia da Califórna e perdeu.
											Mas continuou, incansável,
a apoiar o seu bairro,
											travando amizade
com empregados de bares,
											sindicatos da construção
e comerciantes chineses locais.
											Isso granjeou-lhe o título carinhoso
de ""mayor"" da Rua Castro.
											Quando concorreu pela terceira vez
para o Conselho de Supervisores em 1977,
											Harvey finalmente conquistou o lugar,
											tornando-se um dos primeiros
funcionários públicos ""gays"" assumidos
											na história dos EUA.
									","
											Aber ungeachtet seines Gespürs
für öffentliche Reden
											und seiner offenherzigen
Herangehensweise,
											konnten die Wähler Milks
radikale Ansicht nicht teilen.
											1973 verlor er das erste Mal
für den Verwaltungsrat.
											1975 verlor er erneut.
											Ein Jahr später kanditierte er für
das California Assembly — und verlor.
											Dennoch führte er unermüdlich fort
seinen Bezirk, freundliche Barkeeper,
											Gewerkschaften und örtliche chinesische
Lebensmittelgeschäfte zu unterstützen.
											Das brachte ihm den liebevollen Titel des
""Bürgermeisters der Castro Straße"" ein.
											Und als er 1977 seine dritte Wahlkampagne
für den Verwaltungsrat startete,
											gewann Harvey endlich den Sitz —
											als einer der ersten bekennenden
schwulen Beamten in der US-Geschichte.
									",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
","
","
","
",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
											Elated, Milk arrived in office determined 
to make lasting change.
											He immediately introduced a bill outlawing
discrimination on the grounds of sexuality
											and launched a major clean-up of the city.
											But not everyone was happy 
with this direction.
											Anti-gay sentiment was gaining national 
momentum,
											especially in the form of 
California’s Proposition 6.
									","
											Ravi, Milk a pris ses fonctions, déterminé
à changer les choses de façon durable.
											Il a immédiatement institué une loi
proscrivant la discrimination
											en raison de la sexualité
											et a lancé un grand nettoyage de la ville.
											Mais ça ne plaisait pas à tout le monde.
											L'opinion anti-homosexuels
était en plein essor nationalement,
											en particulier sous la forme
de l'initiative de Briggs en Californie.
									","
											Radiante, Milk tomou posse
determinado a fazer mudanças duradouras.
											Apresentou imediatamente
uma proposta de lei
											proibindo a discriminação
com base na sexualidade
											e desencadeou uma importante
limpeza na cidade.
											Mas nem todos ficaram satisfeitos
com esta direção.
											O sentimento anti ""gay"" estava
a ganhar um impulso nacional,
											especialmente sob a forma
da Proposta 6 da Califórnia.
									","
											Beflügelt betrat Milk das Büro,
											entschlossen langfristige
Veränderungen zu erzielen.
											Umgehend leitete er einen
Gesetzesentwurf ein,
											der Diskriminierung aufgrund 
von Sexualität verbietet
											und führte eine Hauptreinigung
der Stadt durch.
											Aber nicht jeder war mit dieser
Leitung glücklich.
											Schwulenfeindliche Stimmungen
gewannen an nationalem Schwung,
											vor allem in Form von
Kaliforniens Gesetzesentwurf Nr. 6.
									",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
","
","
","
",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
