en,fr,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
",What is the coldest thing in the world?,Lina Marieth Hoyos,4:27,"TED-Ed,science,physics"
"
											The coldest materials in the world 
aren’t in Antarctica.
											They’re not at the top of Mount Everest
											or buried in a glacier.
											They’re in physics labs:
											clouds of gases held just fractions
of a degree above absolute zero.
											That’s 395 million times colder 
than your refrigerator,
											100 million times colder 
than liquid nitrogen,
											and 4 million times colder
than outer space.
											Temperatures this low give scientists a
window into the inner workings of matter,
											and allow engineers to build 
incredibly sensitive instruments
											that tell us more about everything
											from our exact position on the planet
											to what’s happening in 
the farthest reaches of the universe.
									","
											Les matériaux les plus froids
ne sont pas en Antarctique.
											Ils ne sont pas au sommet
du Mont Everest
											ou enterrés dans un glacier.
											Ils sont dans les laboratoires :
											des nuages de gaz maintenus à quelques
fractions de degré au-dessus du 0 absolu.
											C'est 395 millions de fois plus
froid que votre réfrigérateur,
											100 millions de fois plus froid
que le nitrogène liquide,
											et 4 millions de fois plus froid
que l'espace.
											Des températures aussi basses permettent
aux scientifiques d’étudier la matière
											et permettent aux ingénieurs de créer
des instruments très sensibles
											qui nous en disent plus sur tout,
											de notre position
exacte sur la planète
											à ce qui se passe
aux confins de l'univers.
									","
											Os materiais mais frios do mundo
não estão na Antártida.
											Não estão no topo do Monte Evereste
											nem enterrados sob um glaciar.
											Estão nos laboratórios de Física:
											nuvens de gases mantidos a frações
de um grau acima do zero absoluto.
											São 395 milhões de vezes mais frios
do que os nossos frigoríficos,
											cem milhões de vezes mais frios
do que o azoto líquido
											e quatro milhões de vezes mais frios
do que o espaço exterior.
											Temperaturas tão baixas permitem
											que os cientistas estudem
o funcionamento interior da matéria
											e permitem que os engenheiros criem
instrumentos extremamente sensíveis
											que nos revelam mais
sobre todas as coisas
											da nossa posição exata no planeta
											do que acontece nos locais
mais longínquos do universo.
									","
											Dünyadaki en soğuk maddeler 
Antarktika'da değil.
											Everest Dağı'nın tepesinde
											ya da bir buz dağında gömülü de değil.
											Onlar fizik laboratuvarlarında:
											Litrelerce gaz mutlak sıfırın sadece 
birkaç derece üstünde tutuluyor.
											Bu buzdolabınızdan 395 milyon kat,
											sıvı nitrojenden 100 milyon kat
											ve uzay boşluğundan 
4 milyon kat daha soğuk.
											Bu denli soğuk dereceler
bilim insanlarına maddenin
											iç yapısına bir göz atma şansı 
ve mühendislere de gezegende
											tam olarak bulunduğumuz yerden
uzay derinliklerinde neler olduğuna kadar
											her şey hakkında bilgi veren
hassas aletler yapma olanağı sunuyor.
									","
											Die kältesten Materialien der Welt
befinden sich weder in der Antarktis,
											noch auf dem Gipfel des Mount Everest,
											noch in einem Gletscher begraben,
											sondern in Physiklaboren:
											Gaswolken, die zu Bruchteilen aus einem
Grad über der absoluten Null bestehen.
											Das ist 395-Millionen-mal kälter
als die Kühlschranktemperatur,
											100-Millionen-mal kälter
als flüssiger Stickstoff
											und 4-Millionen-mal kälter
als die Temperatur im Weltall.
											So niedrige Temperaturen
geben den Wissenschaftlern
											Einblicke in die Funktionweise von Materie
											und ermöglichen Ingenieuren,
äußerst empfindliche Geräte zu bauen,
											die uns alles erklären,
											von unserem genauen
Standpunkt auf der Erde
											bis hin zu den entferntesten Winkeln
des Universums.
									",What is the coldest thing in the world?,Lina Marieth Hoyos,4:27,"TED-Ed,science,physics"
"
","
","
","
","
",What is the coldest thing in the world?,Lina Marieth Hoyos,4:27,"TED-Ed,science,physics"
"
											How do we create such 
extreme temperatures?
											In short, by slowing down 
moving particles.
											When we’re talking about temperature,
what we’re really talking about is motion.
											The atoms that make up solids,
											liquids,
											and gases
											are moving all the time.
											When atoms are moving more rapidly,
we perceive that matter as hot.
											When they’re moving more
slowly, we perceive it as cold.
									","
											Comment pouvons-nous créer
de telles températures ?
											En ralentissant les particules
en mouvement.
											Lorsque nous parlons de température,
nous parlons en réalité de mouvement.
											Les atomes qui forment les solides,
											les liquides
											et les gaz
											sont sans cesse en mouvement.
											Quand les atomes bougent plus rapidement,
nous percevons la matière comme chaude.
											Lorsqu'ils se déplacent plus lentement,
nous la percevons comme froide.
									","
											Como criamos essas temperaturas extremas?
											Resumindo, abrandando
as partículas em movimento.
											Quando falamos da temperatura,
estamos a falar sobre movimento.
											Os átomos que nos tornam
sólidos, líquidos ou gases,
											estão sempre em movimento.
											Quando os átomos se movem
mais rapidamente,
											sentimos que a matéria está quente.
											Quando se movem mais devagar,
sentimo-la fria.
									","
											Peki bu kadar düşük sıcaklıklara
nasıl ulaşıyoruz?
											Kısaca, hareketli 
parçacıkları yavaşlatarak.
											Sıcaklık hakkında konuştuğumuzda 
aslında hareket hakkında konuşuyoruz.
											Katı, sıvı
											ve gazları oluşturan
											atomlar hareket hâlindedir.
											Atomlar hızlandığında maddeyi 
sıcak olarak algılarız.
											Yavaş hareket ettiklerinde ise
soğuk olarak algılarız.
											Günlük hayatta sıcak bir maddeyi
ya da gazı soğutmak için
									","
											Wie erschafft man
solch extreme Temperaturen?
											Kurz gesagt, durch die Abbremsung
der sich bewegenden Partikel.
											Sprechen wir über Temperatur,
sprechen wir eigentlich über Bewegung.
											Die Atome, aus denen Feststoffe,
Flüssigkeiten und Gase bestehen,
											bewegen sich ständig.
											Bewegen sich Atome schneller,
nehmen wir die Materie als heiß wahr.
											Bewegen sie sich nicht so schnell,
nehmen wir sie als kalt wahr.
									",What is the coldest thing in the world?,Lina Marieth Hoyos,4:27,"TED-Ed,science,physics"
"
","
","
","
","
",What is the coldest thing in the world?,Lina Marieth Hoyos,4:27,"TED-Ed,science,physics"
"
											To make a hot object 
or gas cold in everyday life,
											we place it in a colder environment, 
like a refrigerator.
											Some of the atomic motion in the hot
object is transferred to the surroundings,
											and it cools down.
											But there’s a limit to this:
											even outer space is too warm
to create ultra-low temperatures.
											So instead, scientists figured out a way 
to slow the atoms down directly –
											with a laser beam.
									","
											D'habitude, pour rendre froid
un objet ou un gaz chaud,
											nous le plaçons dans un environnement
plus froid, comme un réfrigérateur.
											Une partie du mouvement atomique
de l'objet chaud est diffusée
											et il refroidit.
											Mais il existe une limite :
											même l'espace est trop chaud pour
créer des températures ultra-basses.
											Les scientifiques ont donc trouvé un
moyen de ralentir directement les atomes -
											avec un rayon laser.
									","
											Habitualmente, para arrefecer
um objeto ou um gás quente,
											colocamo-lo num ambiente mais frio,
como um frigorífico.
											Parte do movimento atómico
do objeto quente
											é transferido para o meio envolvente
											o que o arrefece.
											Mas há um limite para isso:
											até o espaço exterior é demasiado quente
para criar temperaturas demasiado baixas.
											Por isso, os cientistas arranjaram forma
de abrandar diretamente os átomos,
											com um raio laser.
									","
											onu soğuk bir ortama koyarız; 
mesela bir buzdolabına.
											Böylece sıcak objedeki atomik hareketin 
bir kısmı çevreye dağılır
											ve sıcak olan madde soğur.
											Ama bunun bir sınırı var:
											Dış uzay bile maddeleri çok
soğutmak için fazla sıcak.
											Bu yüzden bilim insanları 
atomları doğrudan
											yavaşlatmak için bir 
yöntem geliştirdi: Lazer ışını.
											Genelde lazer ışının
									","
											Zur täglichen Kühlung von heißen
Gegenständen oder Gas
											legen wir sie in eine kältere Umgebung,
wie einen Kühlschrank.
											Die atomare Bewegung im heißen Gegenstand
wird an die Umgebung abgegeben
											und er kühlt sich ab.
											Aber es gibt eine Grenze:
											Selbst im Weltall ist es zu warm, um
äußerst niedrige Temperaturen zu schaffen.
											Wissenschaftler fanden eine Methode,
die Atome abzubremsen —
											mit einem Laserstrahl.
									",What is the coldest thing in the world?,Lina Marieth Hoyos,4:27,"TED-Ed,science,physics"
"
","
","
","
","
",What is the coldest thing in the world?,Lina Marieth Hoyos,4:27,"TED-Ed,science,physics"
"
											Under most circumstances,
											the energy in a laser beam 
heats things up.
											But used in a very precise way,
											the beam’s momentum can stall 
moving atoms, cooling them down.
											That’s what happens in a device 
called a magneto-optical trap.
											Atoms are injected into a vacuum chamber,
											and a magnetic field 
draws them towards the center.
											A laser beam aimed 
at the middle of the chamber
											is tuned to just the right frequency
											that an atom moving towards it will absorb
a photon of the laser beam and slow down.
											The slow down effect comes from
the transfer of momentum
											between the atom and the photon.
											A total of six beams, 
in a perpendicular arrangement,
											ensure that atoms traveling 
in all directions will be intercepted.
											At the center, where the beams intersect,
											the atoms move sluggishly, 
as if trapped in a thick liquid —
											an effect the researchers who invented it 
described as “optical molasses.”
											A magneto-optical trap like this
											can cool atoms down 
to just a few microkelvins —
											about -273 degrees Celsius.
									","
											Dans la majorité des cas,
											l'énergie du laser fait monter
la température de l'objet.
											Mais utilisé d'une certaine façon,
											l'énergie du rayon peut bloquer le
mouvement des atomes pour les ralentir.
											C'est ce qui se produit dans l'appareil
appelé piège magnéto-optique.
											Les atomes sont injectés
dans une chambre sous vide,
											et un champ magnétique
les attire vers le centre.
											Un rayon laser visant
le centre de la pièce
											est déclenché à la bonne fréquence
											pour qu'un atome se dirigeant vers lui
absorbe un photon du rayon et ralentisse.
											L'effet de ralentissement
vient du transfert d'énergie
											entre l'atome et le photon.
											Un total de six rayons, arrangés 
de façon perpendiculaire,
											assure que les atomes allant dans
toutes les directions soient interceptés.
											Au centre, à l'endroit où
les rayons se croisent,
											les atomes bougent au ralenti, comme s'ils
étaient piégés dans un liquide épais -
											effet appelé « mélasse optique »
par les chercheurs qui l'ont inventé.
											Un piège magnéto-optique comme celui-ci
											peut refroidir les atomes
à seulement quelques microkelvins,
											soit - 273 degrés Celsius.
									","
											Na maior parte das circunstâncias,
											a energia de um raio laser
aquece as coisas.
											Mas, se for usado de forma muito precisa,
											o ímpeto do raio pode fazer parar
os átomos em movimento, arrefecendo-os.
											É o que acontece num aparelho
chamado armadilha magneto-ótica.
											Injetam-se átomos numa câmara de vácuo
											onde um campo magnético
os atrai para o centro.
											Um raio laser direcionado
para o meio da câmara
											é afinado para a frequência adequada
											para que um átomo
que se move na sua direção
											absorva um fotão do raio laser e abrande.
											O efeito de abrandamento provém
da transferência da energia
											entre o átomo e o fotão.
											Um total de seis raios,
numa disposição perpendicular,
											assegura que os átomos que viajam
em todas as direções sejam intercetados.
											No centro, onde os raios se intercetam,
											os átomos movem-se lentamente,
como envolvidos num líquido espesso
											— um efeito que os investigadores
que o inventaram
											descreveram como ""melaço ótico"".
											Uma armadilha magneto-ótico como esta
											pode arrefecer átomos
até a poucos microkelvins
											— cerca de 273 graus negativos Celsius.
									","
											enerjisi nesneleri ısıtır.
											Fakat özel bir şekilde 
kullanılarak ışının momentumu
											hareketli atomları yavaşlatıp soğutur.
											''Manyetik-optik tuzak''ın
içinde olanlar bundan ibaret.
											Atomlar bir vakum odasına yerleştirilir
											ve bir manyetik alan 
onları merkeze doğru çeker.
											Odanın merkezine tam doğru frekansa
											ayarlanmış bir lazer ışını 
tutulur ve merkeze
											yaklaşan bir atom lazer ışınının 
bir fotonunu yakalayıp yavaşlar.
											Bu yavaşlama etkisi 
atom ve foton arasındaki
											momentum alışverişinden kaynaklanır.
											Birbirine dik yerleştirilmiş altı ışın
											her yönden gelen atomun 
bu olaydan etkilenmesini sağlar.
											Merkezde, ışınların 
kesiştiği yerde, atomlar
											yoğun bir sıvıda takılmış gibi 
ağır ağır hareket eder—
											bu etkiyi keşfeden insanlarının 
deyimiyle ''optik melas''.
											Böyle bir manyetik-optik tuzak, atomları
											birkaç mikrokelvine kadar soğutabilir,
											yaklaşık -273 Santigrat derece.
											Bu yöntem 1980'lerde geliştirilmiş
									","
											Eigentlich heizt die Energie
in einem Laserstrahl Materialien auf.
											Wird er aber auf sehr
präzise Weise verwendet,
											kann die Strahlkraft die sich bewegenden
Atome fast zum Stillstand bringen,
											sie abkühlen.
											Dies alles passiert in einer
sogenannten magneto-optischen Falle.
											Atome werden in eine
Vakuumkammer eingespeist
											und ein magnetisches Feld
zieht sie in die Mitte.
											Ein Laserstrahl, der auf
die Mitte der Kammer zielt,
											wird auf die genau richtige
Frequenz eingestellt,
											so dass sich ein
auf ihn zu bewegendes Atom
											ein Photon des Laserstrahl
absorbiert und abgebremst.
											Der Abbremsungseffekt
geht von der Übertragungskraft
											zwischen dem Atom und dem Photon aus.
											Insgesamt sechs Strahlen
in vertikaler Ausrichtung stellen sicher,
											dass die sich in alle Richtungen
bewegenden Atome abgefangen werden.
											In der Mitte, wo sich
die Strahlen überschneiden,
											bewegen sich die Atome träge,
											als ob sie in einer dickflüssigen
Masse gefangen wären —
											ein Effekt, den die Wissenschaftler
""optische Melasse"" nennen.
											Solch eine magneto-optische Falle
											kann die Atome auf ein paar Mikrokelvin —
											auf ca. -273 °C — abkühlen.
									",What is the coldest thing in the world?,Lina Marieth Hoyos,4:27,"TED-Ed,science,physics"
"
","
","
","
","
",What is the coldest thing in the world?,Lina Marieth Hoyos,4:27,"TED-Ed,science,physics"
"
											This technique was developed in the 1980s,
											and the scientists 
who'd contributed to it
											won the Nobel Prize in Physics in 1997
for the discovery.
											Since then, laser cooling has been 
improved to reach even lower temperatures.
									","
											Cette technique a été développée
dans les années 80,
											et les scientifiques qui y ont contribué
											ont gagné le prix Nobel de physique
en 1997 pour leur découverte.
											La technique a été améliorée pour obtenir
des températures encore plus basses.
									","
											Esta técnica foi desenvolvida nos anos 80
											e os cientistas que contribuíram para tal
											ganharam o Prémio Nobel da Física
em 1997, por essa descoberta.
											Desde então, o arrefecimento por laser
tem sido melhorado
											para obter temperaturas ainda mais baixas.
									","
											ve bu yöntemin keşfedilmesini 
sağlayan bilim insanları
											1997'de Nobel Fizik Ödülü'ne 
layık görülmüştür.
											O zamandan beri lazer soğutma işlemi
											daha düşük sıcaklıklara
inebilecek kadar gelişmiştir.
									","
											Diese Technik wurde
in den 1980ern entwickelt,
											und die Wissenschaftler,
die daran beteiligt waren,
											gewannen 1997 den Nobelpreis
für Physik für diese Entdeckung.
											Seitdem wurde die Laserkühlung verbessert,
											um noch niedrigere
Temperaturen zu erreichen.
									",What is the coldest thing in the world?,Lina Marieth Hoyos,4:27,"TED-Ed,science,physics"
