en,fr,de,tr,es,title,speaker,duration,tags
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											How many people here would like to live
to be at least 80 years old?
											Yeah.
											I think we all have
this hopeful expectation
											of living into old age.
											Let's project out into the future,
											to your future ""you's,""
											and let's imagine that we're all 85.
											Now, everyone look at two people.
											One of you probably has
Alzheimer's disease.
									","
											Combien d'entre vous aimeraient vivre
jusqu'à au moins 80 ans ?
											Ouais.
											Nous avons cette attente pleine d'espoir
											de vivre vieux.
											Projetons-nous dans le futur,
											dans votre futur moi,
											et imaginons que nous ayons tous 85 ans.
											Regardez tous deux personnes.
											L'un d'entre vous
a probablement Alzheimer.
									","
											Wie viele von Ihnen würden gerne
mindestens 80 Jahre alt werden?
											Klar.
											Ich glaube, wir haben alle
die hoffnungsvolle Erwartung,
											alt zu werden.
											Lassen Sie uns in die Zukunft schauen,
											auf das ""Selbst"" in der Zukunft
											und uns vorstellen, alle 85 zu sein.
											Nun betrachtet jeder zwei Menschen.
											Einer von Ihnen hat wahrscheinlich 
die Alzheimerkrankheit.
									","
											Burada kaç kişi en az 80 yaşına
kadar yaşamak ister?
											Evet.
											Sanırım hepimiz geç bir yaşa kadar
											yaşayabilmeyi ümit ediyoruz.
											Haydi bunu geleceğe yansıtalım,
											gelecekteki 'siz'lere,
											ve hepimizin 85 yaşında
olduğunu hayal edelim.
											Şimdi, herkes, iki kişiye baksın.
											Biriniz muhtemelen Alzheimer hastası.
									","
											¿Cuántos aquí quisieran vivir
hasta por lo menos los 80 años?
											Sí.
											Creo que todos tenemos
esa esperanza
											de vivir hasta una edad avanzada.
											Visualicemos el futuro,
											a sus versiones futuras,
											e imaginemos que todos tenemos 85 años.
											Ahora, miren a dos personas.
											Uno de Uds. probablemente tenga
la enfermedad de alzhéimer.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											Alright, alright.
											And maybe you're thinking,
""Well, it won't be me.""
											Then, OK. You are a caregiver.
											So —
									","
											Très bien, très bien.
											Vous pensez peut-être
que ce ne sera pas vous.
											D'accord. Vous apporterez des soins.
											Alors —
									","
											Alles gut.
											Vielleicht denken Sie:
""Also, ich werde es nicht sein.""
											Okay, dann sind Sie ein Betreuer.
											Also –
									","
											Tamam, tamam.
											Belki ''O ben olmayacağım''
diye düşünüyorsunuz.
											O zaman tamam. 
Siz hastaya bakan kişisiniz.
											Yani—
									","
											Bien.
											Y tal vez esté pensando,
""Bueno, no seré yo"".
											Vale. Usted es el cuidador.
											Así que...
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											so in some way,
											this terrifying disease
is likely to affect us all.
									","
											d'une façon ou d'une autre,
											cette maladie terrifiante
nous affectera probablement tous.
									","
											Wahrscheinlich wird diese schreckliche
Krankheit uns alle betreffen.
									","
											yani bir şekilde,
											bu korkutucu hastalık,
muhtemelen hepimizi etkileyecek.
									","
											de alguna manera,
											es probable que nos afecte a todos
esta enfermedad escalofriante.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
